"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"11","3","  Durable goods","DDURRC1",90,90.4,90.6,90.8,89.6,91,92,87.3,98.1,101,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.2,626.9,642.5,652.3,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.1,737.9,769.8,786,826.4,821.3,856.4,873.1,878.6,923.5,905,915,919.5,930.9,923.9,928.9,1001.7,981.3,986.4,1010.4,990.3,979.4,1007.3,1037.5,1035,1045.9,1052.3,1065,1083.1,1089.2,1117.9,1122.5,1092.3,1132.5,1125.1,1132.4,1142.2,1149.8,1158.7,1163.2,1166,1131.1,1117.1,1080.2,1005.6,1012.2,1004.7,1045.2,1043.9,1060.7,1074.1,1087.8,1134.8
"12","4","    Motor vehicles and parts","DMOTRC1",37.6,37.1,37.7,37.3,34.9,36.2,36.4,30.6,41,42.5,43.7,45.8,46.8,48.4,49.6,52.7,57.1,55.8,54,50.5,47,48.1,52.1,45.4,47.7,48.6,55.5,58.9,65.8,67,68.7,71.2,78.3,78.7,79.9,82.3,80.5,92.4,91.2,92.6,92.7,86.8,91.8,89.4,91.8,74.7,84.2,87.1,96.7,89.8,98.8,86.7,97.2,96.9,98.7,107.3,106,121.5,127.1,137.1,143.4,147.2,146.1,152,162.8,165.7,185.4,166.3,169.5,180.3,208.1,192.2,169.5,186.3,204.3,192.6,205.9,202.3,196.8,203.8,206.1,207.7,216.8,200.5,218.4,206.2,202.9,192.9,181.7,181.4,191.7,188.2,198.4,202.3,206.5,212,210.9,223.6,226,238.4,247.1,245.7,247.7,258.9,250.1,251.6,257.6,263.5,269.1,273.4,273.7,277.7,291,279.5,296.9,304.9,294.2,315,320.7,350.9,333.6,357.3,361,350.9,379.3,353.6,358.8,361.3,372.5,365.6,368.9,426.1,393.8,395.3,421.4,395,389.4,403.6,412.8,400.3,400.8,400.7,404.3,413.3,408.6,425.1,425.4,379.5,395.5,394.5,400.4,398.1,399.1,405.3,403.4,402.2,381.5,358.4,334.9,298.1,306.2,306.5,339.1,327,328.3,335.9,342.2,377.7
"13","5","    Furnishings and durable household equipment","DFDHRC1",27.3,27.9,27.5,27.7,27.8,28,28.1,28.7,29,29.5,30.2,31.1,32.3,32.8,34,35,37.1,37.7,38.2,38.9,40.1,41.2,41.8,40.4,40.8,41.9,43.1,44.5,45.8,46.4,47.4,49,51.1,52.6,53.9,55.8,55.3,59,59.9,61.8,62.5,64.3,66.9,67.3,67.4,66,67.4,70.6,71.5,71.8,72,70.6,70.1,71.3,71.9,73.9,76.1,77.9,81.2,83.9,85.8,88.8,89.4,91.4,92,93.4,95.1,97.9,100.1,101.9,105.2,106.5,107.9,108.9,110.7,110.7,112.3,114.5,115.2,118.6,120.1,121.3,121.8,122.4,124.6,121.2,119.8,118.1,118.4,119.9,118.9,117.9,122,123,125.1,127.1,128.3,130.8,132.6,133.8,135.2,139.3,142.5,145.1,144.2,145,148.1,149.7,148.8,153.9,154.4,157.1,157.9,158.9,161.7,163.5,168.1,171.6,174.9,179.6,184.6,188.1,193.6,198.4,204.2,207.7,210.1,210.4,212.7,213.2,214.4,219.5,224.8,226.5,224.8,227.3,224.9,230.6,237.4,240.5,244.1,246.9,251,254.7,257.4,262.5,264.7,271,278.1,275,276,277,280,277.8,277.1,275.9,270.6,272.8,266.6,254.2,249.8,246.4,246.9,249.3,255.3,258.2,258.2,261.4
"14","6","    Recreational goods and vehicles","DREQRC1",16.4,16.7,16.7,17,17.8,17.6,17.9,18.3,18.4,19,19.3,20.1,21.2,22,23,24.2,25.5,25.1,25.5,25.3,25.5,26.6,27.6,26.6,27.8,30.2,31.1,32.4,33.3,33.7,34.3,35.5,35.9,37.3,38.4,39.4,40,41.5,41.7,43.5,44.5,46.3,46.4,46.1,45.5,44.6,46.5,49.3,48.5,49.6,51.2,50.2,49.9,51.1,51.5,52.6,54.9,57.2,59.7,62.9,65.8,67.1,68,70.5,73,73.3,73.7,76.2,77.7,79.6,84.9,89.8,89.8,91.7,93,92.7,96.3,99.3,100.2,103.8,100.8,103.6,105.2,106,106.7,105.7,105.2,104.6,106.2,108.1,109.2,107.5,109.5,108.9,111.3,114.3,118.6,122.2,124.8,128.3,131.8,138.4,142,149.1,148.8,151.3,156.8,157.9,159.7,164.7,166.3,169,170.6,172.4,176.3,179.2,184.1,189.2,195.6,199.4,204.1,210.2,215.5,221.1,231.4,232.8,235.3,236.8,235.5,237.7,239,246.9,251,251.3,250.9,252.8,251.7,257.3,268,273.3,278.2,281.7,286.7,290.6,296.7,302.3,304.2,310.1,322.7,320.3,320.9,329.9,331,333.5,338.6,342.5,334.7,340.5,334.5,316.8,317.8,311.4,317.1,323.9,328.8,331.9,336.9,341.5
"15","7","    Other durable goods","DODGRC1",8.7,8.7,8.7,8.8,9.1,9.1,9.6,9.7,9.7,9.9,10.2,10.4,10.5,10.8,11.1,11.5,12.2,12.7,13.1,13.6,14,14.6,14.8,14.8,15.5,16,17,17.6,18.4,18.9,19.4,19.8,18.7,20.6,21.8,23.2,22.3,23.2,24,24.4,23.6,24.7,25.8,26.2,27.3,26.6,27.3,29.3,29.3,29.7,30,29.3,29.2,29.9,30,30.5,31.9,33,34.3,35.4,36.4,38.1,38.6,40,40.2,40.8,42.2,43.2,44.2,45.4,47.5,52.7,51.3,52.2,52.6,53.9,56,57.1,58.1,60,59.5,60.8,61.8,63,65.7,65.2,65.6,65.3,65.4,65.9,64.5,63.9,66.3,66.8,69.1,69.8,70.1,71.2,73.4,73.3,74.7,75.3,77.1,78.7,78.1,79,80,81.1,82.3,84.4,84.9,85.8,86.1,85.8,87.9,89.5,91.5,93.9,94.8,96.4,99,100.8,103,108.1,108.7,110.9,110.8,111,110.2,107.4,106.5,109.3,111.8,113.3,113.3,115.2,113.4,115.8,119.4,120.9,122.8,123,123.1,124.7,126.5,128,128.1,131.8,136.2,135.4,135,137.2,139.7,142,144.1,145.5,144.3,145.5,144.2,136.5,138.4,140.3,142.1,143.7,148.3,148,150.7,154.2
"16","8","  Nondurable goods","DNDGRC1",208.8,212.2,216,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318,327.7,330.9,336.2,344.8,356,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.3,1320.8,1335.8,1356.2,1385.8,1419.2,1441.3,1484.2,1494.3,1537.7,1560.5,1580.9,1575.9,1594.5,1595.1,1585.2,1588.3,1612.8,1621.6,1648.8,1695.7,1674.8,1732.3,1747.6,1789.2,1810.5,1834.4,1888.7,1908.1,1929.4,2002,2034.2,2048.3,2081.4,2118.1,2106.9,2143.9,2184.7,2206.6,2257.8,2284.3,2341.6,2369.9,2188.4,2146.2,2170.7,2231,2269,2319.3,2303.4,2331.8,2390.8
"17","9","    Food and beverages purchased for off-premises consumption","DFXARC1",93.1,94.1,95.9,98.4,101.6,102.6,104.1,105.7,105.7,107.2,107.1,108.4,109.7,113.8,115.8,118.6,121.1,124,129.7,132,137.6,139.6,145.8,149.1,151.5,154.8,159.8,160.2,163.3,165.8,168.5,171.5,175,178.9,180.3,184.9,188.6,193.8,198.5,203.5,210.9,215.7,220.1,226.8,232.8,236,241.3,246.6,250.6,254,256.7,260.1,262.3,265.9,268.6,271.8,270.9,275.7,279.8,281.7,285.4,290.6,293.5,294.8,297.8,300.5,303.8,309.7,314.5,314.1,316.3,320.7,321.9,324,325.2,326.1,333,339.9,347.1,351.3,357.8,362,367.8,374,383,390,395.8,396,400.6,406.3,405.1,399.9,402.7,402.2,404.9,408,408.3,411.4,414.4,419.7,423.9,430.2,435.2,439.1,440.8,442.5,443.8,447.9,453.4,460.1,464.3,469.8,473.5,471.8,476.4,477.4,478.6,483.7,488.8,495,502.9,509.3,515.6,526.5,524.1,535.6,541.3,548.8,552,559.3,562,565.5,566.2,567.5,569.2,575.5,586.4,585,598.6,602.5,616.1,623.7,629.9,643,650.1,659,671,680,684.9,692.3,699.8,714.8,724,730.2,740.6,755,762.6,777.6,785.2,775.4,773.8,774.2,777,786.5,797.4,794.6,801.4,813.8
"18","10","    Clothing and footwear","DCLORC1",43.4,44,44.8,45.1,44.9,45,45.3,46.6,47.4,49,49.5,50.3,51,52.5,54.2,56.3,58.3,59,59.4,60.3,61.6,62.7,63.6,61.8,64.1,66.5,68.1,68.8,70.3,71,73,74.5,75.7,77.4,79.8,84.3,84.7,89.1,90.5,93,93.2,94.7,98.1,99.5,100.2,100.6,103.9,107.3,110.9,112.5,114.7,114.6,116.1,114.9,117.2,118.9,120.5,125.3,127.9,132.1,134.4,138.2,137.3,140.6,143.1,145.7,148,150.6,153.4,157,158.9,159.5,164.2,166.7,169.5,170.6,172.7,175,179.3,185.8,186.2,189.6,191.5,194.3,195.7,195.7,195.9,193.7,196.2,200.3,201.3,198.5,205.8,208.9,213.5,216.9,215.4,217.9,220.2,222.7,224.9,225.5,227.7,231.7,228.5,229.7,233.4,233.4,235,239.8,240.4,243,243.7,244.4,249.9,252,254.6,257.7,257.4,261.5,267.5,271.5,272.2,273.3,275.9,280.1,282.5,284.8,280.6,278.4,275.3,277.1,279.2,278.7,275.5,282,279.2,283.9,292.5,292.4,298.7,296.6,299.6,305.2,309.7,315.6,313.9,323,326.3,327.2,330.7,336,340.1,337.9,338.2,339.3,336.4,342,335.6,322.3,321.8,319.1,322.4,325.5,333.8,335.5,337.6,344.3
"19","11","    Gasoline and other energy goods","DGOERC1",24.3,25,25.1,25.5,25.9,26.1,26.3,26.9,27.4,27.4,27.7,28.1,28.3,28.4,29.5,31.4,32.5,33.5,34.2,37.1,39.2,44.2,45.6,46.4,45.7,46.9,49.4,50.1,51.1,51.6,53.2,56.1,56.6,57.3,57.9,59.5,60.2,60.6,61.2,63.8,68.8,75.1,86.1,91.6,101.6,102.9,101,102.1,113.4,114.4,112.6,113.3,112,106.1,108.7,106.7,103,105.3,109.3,108.3,108,109.6,107,108.2,108.1,111.5,111,111.4,106.6,89.5,84.8,83.8,91.7,96.2,97.9,99.7,98.4,99.6,100.9,100.5,103.5,116.2,110.7,111.4,116.4,113.8,125.5,141.1,124.7,119.6,119.8,120.4,120.1,124.1,126.8,129,128.6,126.4,125.1,127.4,127.4,124.8,132.2,132.5,134.5,135.8,132.6,130.7,139.1,147.8,143.5,148.6,152.2,144.3,146.5,147.7,136.6,132.6,133.3,130.9,127.9,146.2,155.9,165.2,178.4,187.7,194,195.2,191.1,196.2,185.7,161.4,154.1,174.7,180.4,189.1,219.1,191.8,211.4,216.1,234.9,241.1,247.9,275.8,276.9,275.8,332,334.6,324.5,343.3,363.3,316.7,332.6,365.1,369.5,399.1,419.7,444.4,467,314.4,264.8,279.9,326.2,344.1,364.1,340,348.2,376.5
"20","12","    Other nondurable goods","DONGRC1",48.1,49,50.2,50.8,52.1,52.8,54,55.3,55.4,55.2,56,56.7,57.9,59.6,60.7,61.8,63.5,64.9,66.6,68.3,70.4,71.5,72.7,73.6,75,76.6,78.7,80.6,82.7,84.6,85.8,87.5,89.2,90.1,91.9,95,97.5,101.4,105.5,109,111.7,114.6,118.1,121.5,125.3,126.5,130.3,135.3,139.1,142,145.1,147.7,149.6,151.9,155.3,159.4,162.6,166.7,171.5,174.5,178.6,184,186.8,189.1,193.4,195.1,197.7,201.6,204.7,206.8,211.1,214.9,219.7,225.4,228,230.4,234.2,239,243.5,248.8,255.1,260,266.3,271.7,279.1,281.4,286,288,292.6,295.6,298.2,301.8,309.1,312,315.9,320.9,326.8,330.5,332.9,335.5,340.7,347.7,354.4,359.7,363,369.1,373.8,379.7,383.7,391.8,398.3,407,411.8,417.4,424.9,431.1,437.5,446.8,456.3,468.7,487.4,492.2,497.7,519.3,515.8,534.4,542.6,552.1,552.1,560.6,572.1,581.2,588.8,591.9,596.5,602.2,611,614.1,629.8,636.5,639.5,649.1,657,664.7,671.5,678.9,685.1,696.7,712.6,718.6,724.4,739.3,747.2,751.5,758.3,764.4,765.6,777.5,782,776.3,785.7,797.6,805.5,812.9,824.1,833.3,844.7,856.2
