"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRC1",14.7,13.4,10.7,8.1,8.4,9.2,10.1,11.4,12.1,11.6,11.6,12.2,13.9,16.4,18.1,19.2,20.9,26.8,31.7,34.1,33.3,34.4,38.7,40.8,41.8,43.3,44.8,46.8,49.8,52.4,54,54.9,56.1,56.7,57.7,61,65.7,71.3,73,78.2,83.6
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRC1",NA,NA,NA,NA,0.2,1.5,2,2.5,2.6,2.4,2.4,2.6,3,3.6,4,4.7,5.1,5.7,5.9,5.2,5,5.1,5.1,5.5,5.6,5.6,5.7,5.9,5.9,6,6.4,6.5,6.6,7,7.3,7.6,7.9,8.5,8.9,9.9,11
"13","6","    Food produced and consumed on farms","DFFDRC1",1.6,1.4,1.2,0.9,0.9,1,1.2,1.3,1.3,1.1,1.1,1.1,1.3,1.6,2.1,2.1,2.2,2.5,2.6,2.5,2.1,1.9,2.2,2.1,1.9,1.7,1.6,1.5,1.4,1.4,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7
"14","7","  Clothing, footwear, and related services","DCAFRC1",10.1,8.8,7.5,5.5,5.1,6.1,6.5,7.1,7.4,7.4,7.7,8.1,9.5,11.8,14.4,15.7,17.6,19.7,20.4,21.8,21.1,21.4,23.1,23.9,24.2,24.3,25.4,26.5,26.8,27.1,28.6,29.3,29.9,31.3,32.1,34.7,36.5,39.8,41.7,45.6,48.8
"15","8","    Clothing","DCLTRC1",8.4,7.3,6.3,4.5,4.1,5,5.4,5.9,6.1,6,6.4,6.8,8,9.9,12.4,13.6,15.2,16.7,17.3,18.6,17.8,17.9,19.6,20.5,20.7,20.8,21.5,22.5,22.7,22.7,24,24.5,25.1,26.2,27,29.3,30.8,33.6,35.1,38.2,40.7
"16","9","      Garments","DGARRC1",7.1,6.1,5.3,3.7,3.5,4.3,4.6,5,5.1,5.1,5.5,5.7,6.6,7.9,9.6,10.7,12,13.8,14.3,15.4,14.7,14.8,16.1,17,17.2,17.3,18,18.8,18.9,19,20.2,20.6,21.2,22.2,22.9,25,26.4,28.8,30.2,33.1,35.5
"17","10","        Women's and girls' clothing","DWGCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,12.7,13.1,13.8,14.3,15.6,16.3,17.7,18.3,20.1,21.3
"18","11","        Men's and boys' clothing","DMBCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,7.6,7.8,8.1,8.2,9,9.6,10.6,11.4,12.4,13.4
"19","12","        Children's and infants' clothing","DCICRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.8
"20","13","      Other clothing materials","DOCMRC1",0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,1,1.4,1.5,1.6,0.9,0.8,0.8,0.8,0.8,1,0.9,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.9,1,1,1.1,1.1
"21","14","      Cleaning, repair, and rental of clothing","DCRCRC1",1,0.9,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,1,1.1,1.4,1.5,1.6,2,2.2,2.3,2.3,2.3,2.5,2.6,2.7,2.7,2.8,2.9,3,2.9,3,3.1,3.1,3.1,3.2,3.4,3.6,3.7,3.9,4.1,4.2
"22","15","        Laundry and dry cleaning services","DDRYRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,1.7,1.7,1.7,1.9,2.1,2.3,2.4,2.5,2.6
"23","16","        Clothing repair, rental, and alterations","DLGRRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6
"24","17","    Footwear \2\","DFTWRC1",1.8,1.4,1.3,1.1,0.9,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.5,1.9,2,2.1,2.4,2.9,3.1,3.3,3.3,3.5,3.5,3.5,3.5,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,5,5.1,5.4,5.7,6.3,6.6,7.3,8.1
"25","18","  Housing, utilities, and fuels","DHUFRC1",14.5,14,13.1,11.6,10.5,10.4,10.5,11,11.6,11.9,12.3,12.8,13.7,14.8,15.5,16.2,16.9,18.8,21.2,23.9,25.6,28.4,31.6,34.6,37.9,40.9,43.8,46.8,50,53.3,56.9,60.5,64,68.2,72.2,76.2,81,85.9,91.1,97.4,105.5
"26","19","    Housing","DHSGRC1",11.4,11,10.2,9,7.9,7.6,7.7,8,8.5,8.9,9.1,9.4,10.2,10.9,11.4,12,12.4,13.7,15.4,17.3,19.1,21.1,23.7,26.3,29.1,31.5,33.6,35.8,38.3,41,44,47,50,53.4,56.5,59.8,63.6,67.5,71.9,77.3,84.2
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6
"29","22","      Rental value of farm dwellings","DFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3
"30","23","      Group housing","DGRHRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5
"31","24","    Household utilities and fuels","DUTFRC1",3.1,3.1,2.9,2.6,2.6,2.7,2.8,3,3,3,3.1,3.4,3.6,3.9,4.1,4.2,4.5,5,5.8,6.6,6.5,7.3,7.9,8.3,8.7,9.4,10.2,11,11.6,12.3,12.9,13.5,14.1,14.8,15.7,16.5,17.4,18.3,19.3,20.1,21.3
"32","25","      Water supply and sanitation","DWRSRC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8
"33","26","      Electricity, gas, and other fuels","DEGFRC1",2.8,2.8,2.5,2.3,2.3,2.4,2.5,2.7,2.7,2.6,2.8,3,3.2,3.5,3.7,3.8,4.1,4.6,5.3,6.1,6,6.7,7.2,7.6,8,8.5,9.3,10,10.6,11.2,11.7,12.2,12.6,13.2,13.9,14.5,15.3,16.2,17,17.7,18.5
"34","27","        Electricity","DELCRC1",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.8
"35","28","        Natural gas","DGHERC1",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.8,2.1,2.3,2.4,2.7,3,3.3,3.5,3.8,4,4.2,4.3,4.5,4.7,4.9,5.2
"36","29","        Fuel oil and other fuels","DFULRC1",1.6,1.5,1.3,1.1,1.1,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.8,2,2,2.2,2.5,2.9,3.4,3,3.3,3.5,3.4,3.4,3.5,3.7,3.9,4,4.1,4,3.8,3.7,3.7,4,4.1,4.4,4.6,4.8,4.7,4.5
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRC1",6.7,5.5,4.7,3.4,3.2,3.7,4.1,5,5.5,4.9,5.5,6,7.1,7.4,7.4,8,8.9,12.7,15.5,16.8,16.3,18.7,19.7,19.3,20,19.9,22.3,23.6,23.9,24.1,25.6,26.2,26.8,28.3,29.8,32.7,34.7,37.8,39.7,43.2,45.4
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRC1",2.1,1.7,1.4,1,0.9,1,1.2,1.5,1.7,1.5,1.7,1.9,2.3,2.3,2.4,2.5,2.8,4,4.5,4.9,4.8,5.5,5.9,6,6.3,6.3,7.2,7.6,7.7,7.7,8.2,8.2,8.3,8.9,9.7,10.9,11.6,12.5,13,14.3,15
"39","32","    Household textiles","DTEXRC1",0.7,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.5,2,2.1,2.3,2.3,2.7,2.9,2.7,2.6,2.4,2.6,2.7,2.7,2.6,2.8,2.8,3,3.2,3.3,3.6,3.9,4.3,4.5,4.8,4.7
"40","33","    Household appliances \6\","DHAPRC1",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.7,0.7,0.8,1.1,0.8,0.3,0.2,0.4,1.7,2.9,3.2,2.9,3.7,3.6,3.6,3.8,3.8,4.2,4.5,4.5,4.3,4.7,4.6,4.6,4.6,4.8,5.2,5.2,5.7,6,6.7,7.3
"41","34","    Glassware, tableware, and household utensils \7\","DUTERC1",0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.8,1.3,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,2,2.2,2.4,2.8,3,3.3,3.5
"42","35","    Tools and equipment for house and garden","DTOORC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.5
"43","36","    Other household goods and services \8\","DOGSRC1",2.3,2,1.6,1.2,1.1,1.3,1.4,1.5,1.8,1.6,1.7,1.9,2,2.3,2.5,2.9,3.1,3.3,4.1,4.3,4.3,4.7,5,4.9,5.2,5.2,6,6.4,6.7,7.1,7.6,8.1,8.5,8.9,9.3,9.9,10.5,11.3,11.9,12.7,13.4
"44","37","  Health","DHLTRC1",3,2.9,2.6,2.2,2,2.2,2.3,2.5,2.7,2.7,2.8,3,3.2,3.6,4,4.5,4.8,5.9,6.6,7.6,7.9,8.5,9.3,10.1,11,11.9,12.8,14.1,15.5,17.1,18.8,20.4,21.8,24.3,26.4,29.8,32,35,38.4,43.8,50
"45","38","    Medical products, appliances, and equipment","DMPARC1",0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.3,1.3,1.4,1.6,1.6,1.8,1.9,2.1,2.4,2.5,2.6,2.7,2.8,3.2,3.5,3.7,4,4.3,4.7,5.2,5.4,5.7,5.9,6.3,6.5,7.2,8
"46","39","      Pharmaceutical and other medical products \9\","DPHMRC1",0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.8,1.9,1.9,2,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.5,4.7,4.9,5.2,5.7,6.3
"47","40","        Pharmaceutical products","DPNPRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.3,3.7,4,4.3,4.4,4.5,4.7,5.1,5.6,6.1
"48","41","        Other medical products","DOMPRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2
"49","42","      Therapeutic appliances and equipment","DTAERC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.1,1,1.2,1.3,1.4,1.3,1.5,1.7
"50","43","    Outpatient services","DOUTRC1",1.7,1.6,1.4,1.1,1,1.1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.7,1.8,2.1,2.2,2.9,3.3,3.8,3.8,4,4.2,4.6,5.1,5.7,6,6.5,7.1,7.9,8.7,9.2,9.6,10.7,11.5,13.5,14.5,15.4,16.3,17.8,19.9
"51","44","      Physician services \10\","DPHYRC1",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1.1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.8,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,7,8.2,8.6,9.1,10.1,10.9,12.4
"52","45","      Dental services","DDENRC1",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3
"53","46","      Paramedical services","DPMSRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,1.2,1.4,1.6,1.9,2.2,2.7,3,3.3,2.8,3.1,3.2
"54","47","        Home health care","DHHCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","        Medical laboratories","DMLBRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","        Other professional medical services \11\","DOMDRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Hospital and nursing home services","DHPNRC1",0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.4,1.7,2,2.2,2.4,2.7,3,3.3,3.6,3.9,4.4,4.9,5.5,6.2,6.9,7.5,8.4,9.5,10.6,11.6,13.3,15.7,18.8,22.1
"58","51","      Hospitals \12\","DHSPRC1",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.6,1.9,2,2.3,2.5,2.9,3.1,3.4,3.7,4.1,4.6,5.3,5.9,6.3,6.8,7.5,8.3,9.1,10,11.3,13.2,15.7,18.3
"59","52","      Nursing homes","DNRSRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.7,0.9,1.1,1.5,1.6,2,2.4,3,3.8
"60","53","  Transportation","DTRNRC1",7.5,6.1,4.9,3.9,3.9,4.5,5.2,6,6.4,5.5,6.3,7,8.3,5.4,5.4,5.7,6.6,12.1,15.4,18,21.2,24.6,24.2,24.4,28,27.4,33.4,32.7,35.7,33.7,38.8,40.8,39.3,44.1,47.8,50.7,56.5,59,61,69.8,75.9
"61","54","    Motor vehicles","DMTRRC1",2.7,1.7,1.2,0.7,0.8,1.1,1.6,2,2.1,1.3,1.8,2.3,2.8,0.4,0.4,0.3,0.3,2.7,5.1,6.6,9.3,12.1,10.6,9.7,12.4,11.4,16.1,14,15.5,12.9,16.4,17.1,15.2,18.6,21.2,22.6,26.2,26.2,25.6,30.8,32
"62","55","      New motor vehicles","DNMVRC1",2.6,1.7,1.2,0.6,0.8,1,1.5,2,2,1.2,1.7,2.2,2.7,0.1,0.1,0.1,0,2.2,4.3,5.4,8,10.7,9,8.3,11.4,11.1,14.2,12,13,10.1,13.6,14.5,12.5,15.6,17.9,19,22.2,22,21.1,26,26.8
"63","56","      Net purchases of used motor vehicles","DNPVRC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.8,1.3,1.3,1.5,1.6,1.4,1,0.3,1.9,2,2.5,2.8,2.8,2.6,2.7,3,3.3,3.6,4,4.1,4.5,4.8,5.2
"64","57","    Motor vehicle operation","DMVORC1",3.3,2.9,2.5,2.2,2.2,2.5,2.6,2.9,3.1,3.1,3.3,3.5,4.1,3,2.3,2.6,3.5,6.5,7.4,8.4,9,9.7,10.7,11.6,12.6,13,14.4,15.7,17,17.8,19.1,20.3,20.7,22,23,24.3,26.2,28.4,30.5,33.5,37.4
"65","58","      Motor vehicle parts and accessories","DMVPRC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2,2.1,2.4,2.5,2.6,2.8,3,3.2,3.5,3.8,4,4.6,5.4
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRC1",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5
"67","60","      Motor vehicle maintenance and repair","DVMRRC1",0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.6,0.9,1.6,1.8,2,2.2,2.3,2.7,2.8,3.2,3.3,3.6,4,4.3,4.4,4.8,5.1,5.4,5.8,6.2,6.6,7,7.6,8.2,9.1,10.1
"68","61","      Other motor vehicle services","DOVSRC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4
"69","62","    Public transportation","DPUBRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.3,1.4,1.9,2.7,2.8,2.8,2.9,2.9,3,2.9,2.8,3,3.1,3.1,3,3,3.1,3.2,3.1,3.2,3.4,3.4,3.6,3.6,3.8,4.1,4.4,4.9,5.6,6.5
"70","63","      Ground transportation \13\","DGRDRC1",1.6,1.5,1.2,1,0.9,1,1,1.1,1.2,1.2,1.2,1.2,1.4,1.9,2.6,2.8,2.8,2.8,2.8,2.9,2.8,2.7,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.6,2.6,2.7,2.6,2.7,2.7,2.7,2.8,3,3.1,3.3,3.6
"71","64","      Air transportation","DAITRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.3,1.5,1.8,2.2,2.8
"72","65","      Water transportation","DWATRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","66","  Communication","DCMCRC1",0.7,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.3,3.6,3.9,4.3,4.5,4.8,5.2,5.6,5.9,6.4,6.9,7.5,8.1,8.9,9.7,10.7
"74","67","    Telephone and facsimile equipment","DTCERC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","68","    Postal and delivery services","DPSSRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4
"77","70","      Other delivery services (by non-USPS facilities)","DODSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"78","71","    Telecommunication services","DTCSRC1",0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2.2,2.4,2.7,2.8,3.1,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.5,6,6.5,7,7.7,8.3,9.3
"79","72","    Internet access","DINTRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","73","  Recreation","DRRLRC1",4.5,4.1,3.4,2.5,2.3,2.5,2.7,3.2,3.5,3.4,3.6,3.9,4.5,4.9,5.3,5.8,6.5,9,9.8,10.3,10.6,11.7,12.3,13,13.8,14.3,15.4,16.4,16.8,17.3,18.8,19.7,20.5,22.1,23.9,26.3,28.9,33.4,35.8,39.9,43.7
