"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"11","4","  Consumption of fixed capital","A456RD3",0.024,0.026,0.028,0.028,0.03,0.035,0.043,0.044,0.046,0.049,0.055,0.064,0.071,0.08,0.079,0.076,0.077,0.08,0.079,0.08,0.083,0.086,0.091,0.09,0.092,0.091,0.094,0.095,0.095,0.097,0.099,0.103,0.112,0.115,0.115,0.114,0.118,0.122,0.127,0.135,0.143,0.135
"12","5","  Taxes on production and imports less subsidies plus business current transfer payments (net)","W330RD3",0.03,0.032,0.034,0.034,0.035,0.037,0.041,0.042,0.043,0.044,0.045,0.05,0.058,0.061,0.064,0.065,0.067,0.072,0.072,0.073,0.074,0.078,0.084,0.088,0.089,0.092,0.088,0.088,0.086,0.083,0.085,0.085,0.087,0.091,0.094,0.096,0.101,0.102,0.102,0.105,0.109,0.106
"13","6","  Net interest and miscellaneous payments","A471RD3",0.007,0.009,0.009,0.009,0.01,0.013,0.014,0.012,0.012,0.013,0.016,0.021,0.025,0.029,0.028,0.028,0.029,0.03,0.028,0.03,0.037,0.039,0.038,0.03,0.026,0.024,0.026,0.024,0.025,0.028,0.03,0.034,0.035,0.029,0.025,0.022,0.024,0.025,0.035,0.042,0.036,0.031
"14","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.041,0.034,0.038,0.041,0.042,0.037,0.048,0.054,0.059,0.061,0.057,0.052,0.061,0.057,0.069,0.082,0.079,0.068,0.076,0.084,0.077,0.074,0.073,0.078,0.089,0.104,0.108,0.117,0.12,0.105,0.098,0.081,0.066,0.075,0.084,0.111,0.127,0.141,0.126,0.111,0.108,0.135
"15","8","  Taxes on corporate income","A465RD3",0.018,0.015,0.016,0.017,0.019,0.02,0.02,0.024,0.025,0.026,0.027,0.026,0.024,0.018,0.022,0.025,0.022,0.024,0.028,0.029,0.028,0.026,0.024,0.025,0.028,0.032,0.032,0.033,0.033,0.031,0.031,0.03,0.02,0.017,0.023,0.031,0.043,0.047,0.044,0.035,0.028,0.043
"16","9","  Profits after tax with IVA and CCAdj","A466RD3",0.023,0.018,0.022,0.024,0.023,0.016,0.028,0.03,0.034,0.035,0.031,0.025,0.037,0.038,0.047,0.057,0.057,0.044,0.049,0.056,0.05,0.048,0.049,0.053,0.061,0.072,0.076,0.084,0.087,0.074,0.066,0.052,0.046,0.058,0.061,0.081,0.083,0.094,0.082,0.076,0.08,0.091
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
