"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"13","5","  Taxes on corporate income","W025RC1",11.6,10.9,10.8,11.8,12.1,12.8,12.6,12.2,11,9.7,10.1,9.9,13.6,16.3,19.9,21.8,26.3,22.3,20.1,21.5,19.8,18.7,18.6,20.5,21.6,21.7,21.2,16.6,16.4,16.9,17.9,19.3,21.3,21.6,22.2,23.1,22,22.5,21.1,22.3,22.8,21.9,21.4,19.6,16.9,17.2,19.4,22.3,23.4,25.6,23,22.5,25,23,21.9,20.8,20.6,22,23.3,25.3,23.8,23.5,24.2,24.3,24.4,26.1,26.9,27.5,27.7,27.8,28.4,28,29.4,30.3,30.9,32.9,34,34,33.6,33,32.3,32,32.2,34.2,38.5,39.2,39.4,40.4,41.2,40.1,38.8,38.5
"14","6","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
"15","7","Contributions for government social insurance","W782RC1",6.3,6,5.2,4.8,4.8,4.6,4.6,4.5,5.2,5.1,4.8,4.5,5.3,5.3,5.5,5.8,6.6,6.7,6.6,6.7,7,6.8,6.9,7.1,7.1,7.2,7.2,7.1,8.1,8.1,8.1,8.2,8.9,9.1,9.2,9.3,9.9,10,10,10.2,11.4,11.5,11.5,11.4,11.4,11.3,11.5,11.6,13.7,13.9,13.9,14,16.5,16.5,16.5,16.4,16.8,17,17.1,17.4,18.9,19.2,19.3,19.3,21.4,21.6,21.8,22.1,22.1,22.3,22.6,22.8,23,23.3,23.6,24.1,30.5,30.9,32,32.3,33.7,34.7,35.3,36.1,37.7,38.6,39.2,39.9,43.1,43.9,44.8,45.5
"16","8","Income receipts on assets","W058RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,2.6,2.7,2.8,2.7,2.8,2.9,2.8,3,3,3.3,3.3,3.2,3.3,3.4,3.5,3.5,3.7,3.8,3.9,3.6,4.1,4.2,4.1,4,4.5,4.6,4.8,5,5.1,5.3,5.7,5.9,6.3,6.3,6.6,6.5,6.6,6.9,7.2,7.4
"17","9","  Interest and miscellaneous receipts \1\","W059RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,2.6,2.7,2.8,2.7,2.8,2.9,2.8,3,3,3.3,3.3,3.2,3.3,3.4,3.5,3.5,3.7,3.8,3.9,3.6,4.1,4.2,4.1,4,4.5,4.6,4.8,5,5.1,5.3,5.7,5.9,6.3,6.3,6.6,6.5,6.6,6.9,7.2,7.4
"18","10","  Dividends","W065RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","Current transfer receipts","W060RC1",0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.1,1.1,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.7,1.8,1.9,1.9,2,2,2.1,2.2,2.2,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8
"20","12","  From business (net)","W061RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.7,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
"21","13","  From persons","W062RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1,1,1,1,1,1.1,1.1,1.1,1.2
"22","14","Current surplus of government enterprises \2\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.9,0.9,0.9,1.3,1.3,1.4,1.5,1.4,1.4,1.1,1.5,1.4,1.5,1.3,1.2,1.1,1,0.8,1,0.9,1.1,1,0.7,1.2,1.2,1.2,1.1,0.9,1,1,1.2
"23","15","    Current expenditures","W022RC1",47.8,47.9,51.2,47.7,49.1,50.4,53.6,54.5,57.1,58.5,58.2,57.1,65.3,59,54.2,58.4,63.4,67.8,72.1,75.5,74.9,79.4,81.7,82.9,84.7,85.9,85,86.4,84.3,83.6,84.3,85.3,86.5,85.5,89.2,88.6,88.9,92.5,91.8,95.8,99.5,101.7,102.2,106,105.4,110.9,113,113.6,113.6,115.3,116.4,118.5,119.1,122.1,123.6,127.1,127.9,132.5,133.1,135.3,139.6,142,143.7,146.4,148.5,149.4,151.8,155,157.5,159.7,159.6,160.4,163.3,167,173.6,178.4,182.6,189.9,195.9,202.8,213.4,217,221.7,228,237.3,244.6,250.1,256.1,256.2,264.4,270.5,277
"24","16","Consumption expenditures","A955RC1",32,32.3,31.6,31.1,31.3,33,34.2,35.4,37,37.7,36.8,36.2,36.5,36.7,35.6,38.9,44.4,48.5,53.6,55.3,57.3,61.1,62.4,64.4,65.7,67.2,65.9,67.3,64.8,63,63.1,63.6,64.4,64.1,66.9,66.5,66.4,69.2,67.6,70.6,73.9,74.5,75.2,77.5,76.7,80.2,79.6,81.5,78.3,80.7,81.6,82.2,80.6,82,84.4,86.2,85.3,87.6,88.9,90.8,94.1,95.6,98,99.4,100.2,100.6,104.1,106,107.1,108.2,109.6,109.4,110.6,112.6,117.5,122.8,124.9,129.7,135.2,137.5,145,147.5,150.6,155,161,163.6,167.1,171,171.2,176,181.3,184.2
"25","17","Current transfer payments","A084RC1",11.1,11.1,15.2,12.2,13.3,13,14.6,14,15.3,16.1,16.5,16.1,23.7,17,13.4,13.9,13.3,13.7,13.9,13.9,12.3,13.1,14,13.2,13.6,13.6,13.7,14.1,14.7,15.1,16,16.8,17.2,16.8,16.8,16.8,17.1,17.4,17.8,18.1,18.7,20.2,20.1,21.3,22.7,24.6,25,24.5,26.8,26.9,26.4,27.5,26.8,28.2,27.9,29.6,31.1,32.8,31.7,31.8,32.5,33,32.1,33.4,34.8,34.9,33.3,34.1,35,35.6,34.5,35.1,36.4,37.7,39.4,38.4,39.8,41.5,41.3,45.3,48.6,49.8,50.9,51.9,54.4,58.2,59.6,61.4,61.4,64.1,64.2,66.8
"26","18","  Government social benefits","W063RC1",9.4,9.2,13.1,10.1,10.3,10.1,9.7,9.4,10.1,10.7,11.2,11.4,19.8,13.3,10.2,10.4,10.3,10.5,10.7,10.6,10.5,10.6,11.4,11.5,11.5,11.4,11.7,12.1,12.9,13.6,13.9,14.6,14.6,14.7,14.9,14.9,15.2,15.4,15.8,16,16.8,18,18.2,19.4,20.8,22.6,23,22.5,22.7,22.6,22.8,23.5,23.6,24.2,25,26,27.8,28.6,28.8,28.3,28.8,28.7,29.1,29.8,31.2,30.2,30.4,30.9,31.8,31.4,31.6,31.8,33.1,33,36.3,35.1,36.1,36.2,38.1,41.5,44.4,45.5,47.2,48.2,50.4,53.7,55.1,56.2,57.7,58.8,60.1,61.6
"27","19","    To persons","A063RC1",9.4,9.2,13.1,10.1,10.3,10.1,9.7,9.4,10.1,10.7,11.2,11.4,19.8,13.3,10.2,10.4,10.3,10.5,10.7,10.6,10.5,10.6,11.4,11.5,11.5,11.4,11.7,12.1,12.9,13.6,13.9,14.6,14.6,14.7,14.9,14.9,15.2,15.4,15.8,16,16.8,18,18.2,19.4,20.8,22.6,23,22.5,22.7,22.6,22.8,23.5,23.3,24,24.7,25.7,27.5,28.3,28.5,28,28.5,28.5,28.9,29.5,30.9,29.9,30.1,30.6,31.5,31,31.3,31.5,32.7,32.3,35.9,34.7,35.7,35.8,37.5,41,43.9,45,46.4,47.7,49.9,53.2,54.5,55.7,57.2,58.2,59.5,61
"28","20","    To the rest of the world \3\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
"29","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",1.7,1.9,2.1,2.1,3,3,4.9,4.6,5.1,5.4,5.3,4.7,3.9,3.8,3.1,3.5,3,3.1,3.2,3.3,1.8,2.5,2.6,1.7,2.1,2.2,2,2,1.8,1.5,2.1,2.2,2.6,2.1,2,2,1.9,2.1,2,2.1,1.9,2.2,1.9,1.9,1.8,2,2.1,2.1,4.1,4.3,3.6,4,3.3,4,2.9,3.6,3.3,4.2,2.9,3.5,3.7,4.3,3,3.5,3.6,4.7,2.9,3.2,3.2,4.3,2.9,3.3,3.3,4.7,3.1,3.3,3.7,5.3,3.2,3.8,4.2,4.3,3.8,3.7,4,4.5,4.5,5.2,3.6,5.3,4.1,5.1
"30","22","Interest payments \1\","A180RC1",4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,5,5,5,5.1,5.1,5.2,5.2,5.3,5.3,5.2,5.1,5.3,5.5,5.5,5.7,5.8,6.3,6.1,6.2,6.3,6.6,6.1,6,6.1,6.4,7.3,6.8,7.3,7.7,10.7,10.6,10.3,10,9.9,10,10.2,10.4,10.7,11,11.3,11.4,11.5,11.8,12.1,12.5,12.7,13,13,13.1,13.4,13.7,13.7,14,14.4,14.8,15.3,15.8,15.8,15.8,16.4,17.4,17.9,18.7,19.1,19.4,19.3,19.9,20.4,21.3
"31","23","  To persons and business \1\","A204RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,10.3,10,9.8,9.6,9.8,10,10.1,10.4,10.6,10.9,11.1,11.2,11.4,11.7,12,12.3,12.5,12.5,12.6,12.9,13.2,13.3,13.5,13.8,14.3,14.7,15.2,15.3,15.2,15.8,16.7,17.2,17.9,18.5,18.7,18.5,19.1,19.6,20.5
"32","24","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8
"33","25","Subsidies \2\","A107RC1",0.3,0.2,0.2,0.1,0.2,0.1,0.4,0.6,0.3,0.2,0.3,0.2,0.4,0.6,0.5,0.8,0.9,0.8,0.6,0.7,0.5,0.4,0.4,0.3,0.3,0.1,0.3,-0.2,-0.3,0.3,-0.1,-0.3,-0.2,-0.1,-0.4,-0.2,-0.1,0.2,0.5,0.8,0.9,0.8,0.6,0.5,0.6,0.8,1,1.2,1.1,0.9,1.1,1.1,1,1.3,1,1.2,1.6,2,2.2,2.3,2.3,2.4,2.2,2.2,2,2.2,2.3,2.4,2.7,2.9,2.6,2.7,2.9,3,3,3.1,3.6,3.9,4.1,4.2,4,3.9,3.7,3.7,4,4.2,4.2,4.2,4.3,4.5,4.7,4.7
"34","26","Less: Wage accruals less disbursements","A184RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.6,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0.1,0.5,-0.6,0,0,0,0,0,0,0,0,0,0.6,0.6,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","27","    Net government saving","A922RC1",7.6,6.9,3.2,9.3,8.8,6.3,2.7,1.7,-1.9,-5.1,-4.8,-4.8,-7.3,3.5,15.3,16,19.9,12.6,7.8,8.7,9.8,5.8,4.4,6.9,7.2,6.6,6.9,0.4,0.2,1.3,1.6,3,6.5,10,8.6,11.6,12.7,11.1,12.2,11.6,10.9,8.6,8.4,2,-0.6,-5.8,-3.9,0.1,6.2,8.7,7,6.4,15.9,12.4,10.9,6.5,6.5,4.7,6.9,9.2,7.2,7.1,8.6,7.7,9.4,11.8,11.8,11,8.3,3.6,7.7,9.5,13.7,13.2,6,6.1,12.7,11.4,9.5,6.5,-2,-3.5,-2.1,-1.6,1.1,0.7,8.8,9.7,21.8,19.1,13.9,11.2
"36","28","Social insurance funds","A221RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,-3.5,-3.4,-2.4,-0.6,-0.3,-0.6,-1.1,1.4,0.8,0.2,-0.8,-2.1,-2.7,-2.7,-1.8,-0.7,-0.3,-0.5,-0.8,-0.2,1.2,1.2,1.2,0.5,1.4,1.5,1.7,0.9,1.7,-1.2,0.6,6.5,6.8,6.3,4.8,3.8,4.3,4.1,4.7,4.7,3,2.8,2.8,5.3,5.6,6.1,6.4
"37","29","Other","A391RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,-2.3,-0.5,2.4,6.8,8.9,7.6,7.5,14.6,11.5,10.7,7.3,8.7,7.4,9.6,11,7.9,7.4,9.1,8.6,9.6,10.6,10.6,9.8,7.8,2.2,6.1,7.8,12.8,11.5,7.2,5.5,6.2,4.6,3.2,1.7,-5.9,-7.8,-6.2,-6.3,-3.6,-2.3,6,6.9,16.6,13.5,7.8,4.8
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Total receipts","W066RC1",56.4,55.7,55.4,58,59,58,57.2,57.1,56.2,54.4,54.3,53.2,58.7,63.3,70.4,75.2,84.2,81.2,80.8,85.2,85.7,86.3,87.2,90.8,93.1,93.6,93.1,88,85.7,86.1,87.1,89.6,94.3,96.6,99.1,101.6,103.1,105.3,105.6,109,112,112.2,112.5,109.6,106.6,106.8,110.7,115.3,121.4,125.7,125.3,126.7,137,136.8,136.7,136.1,137,139.6,142.5,147,149.2,151.8,154.9,156.9,160.8,164.1,166.6,168.8,168.8,166.7,170.7,173.4,180.6,183.6,183.3,188.3,199.3,205.3,209.2,213.1,215.4,217.4,223.7,230.2,242.1,249.3,263.1,270.1,282.6,288.3,289,292.8
