"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","          Value added","W102RL1",NA,-15.7,-5.4,-7.9,-1.3,-6.2,3.2,2.9,-0.6,-0.4,-2,-6.3,-5,6.5,8.3,35.3,11.7,32.7,21.2,4,7.8,6.1,3,-0.6,3.2,2,1.5,-1.7,-0.6,0.2,1.5,1.1,-0.4,-1.9,2.6,2.1,0.7,1.9,4.6,2.8,1.1,2.3,2.9,-2.8,-0.9,2.7,5.2,1.9,-1.9,1.4,2.1,2.7,4.2,6.7,1.2,2.6,3.9,2.4,4.8,7.3,3.3,3,2.7,0.9,3.2,4.2,4.7,2,3.3,4.1,3.4,3.3,0.5,4.6,5.6,6.1,5.3,6.7,8.4,8,4.7,2.1,5.2,2.6,5.6,4.7,3,0,3.2,3.2,3.2,1.5
"12","4","            Compensation of general government employees","A194RL1",NA,-14.6,1.5,-3.3,6,-1.8,12.4,11.2,3.3,3.9,1.5,-4.7,-3.3,11.8,13.7,51.4,15.9,43.2,26.3,2.8,6.9,4.8,1.3,-3.4,1.3,-0.1,-0.1,-4.2,-3.2,-1.2,0.5,0.5,-1.3,-3.1,2.9,2.4,0.5,2,5.2,3.2,1,2.5,3.3,-4.1,-1.5,3.1,6.1,2,-3.6,0.8,1.9,2.3,4.4,7.8,0.7,2.4,4.5,2.1,5.6,8.3,2.9,3,2.3,0.1,3,4.5,5,1.5,3.4,4.4,3.7,3.5,0.2,5.2,6.3,7.1,5.8,7.6,9.6,9,4.8,1.7,5.4,2.4,6.2,5.1,3.1,-0.5,3.5,3.6,3.5,1.5
"13","5","            Consumption of general government fixed capital \2\","A265RL1",NA,-17.8,-16.2,-15.4,-13.4,-14,-12.9,-12.8,-9,-9.9,-10.1,-10.3,-9.1,-6.7,-5.6,-3.3,-0.8,2.7,4.7,8,10.9,10.9,9,10.2,10,9.5,6.7,7.1,8.1,4.8,4.8,2.9,2.6,1.9,1.8,1.1,1.6,1.8,2.8,1.2,1.5,2,1.4,1.6,1.3,1.4,2.3,1.7,4.1,3.4,2.8,4.1,3.6,3.1,3.1,3.3,2,3.5,2.2,4.1,4.9,3.3,4.5,3.7,3.7,3.2,3.6,4.1,2.9,3,2.3,2.7,1.9,2.5,2.9,2,3.2,3.2,3.7,3.7,4.2,3.8,4.1,3.7,3.3,3,2.9,2.2,1.7,1.4,1.5,1.4
"14","6","          Intermediate goods and services purchased \3\","W104RL1",NA,146.8,-3.9,-19.5,9.4,150.5,22.7,57.1,24.1,49.3,-10.9,-20,29.8,28.8,-66.3,42.6,285.5,31,106.7,12,49.8,53.1,3.8,19.2,24.9,12.3,-13.8,12.2,-37.8,-27.6,-14.8,-0.8,4.1,8.1,3,-19.7,-17.3,41.1,-40.6,52.7,36.8,-0.8,-0.7,35.1,-26,55.4,-31.6,27.1,-29.5,34.4,19.6,1.4,-34.8,1.3,18.3,7,-19,22.5,6,3.6,24.7,10,25.1,4.9,-1.5,-11.6,43.2,-5.8,0.1,-3.5,-4,-11.5,5.4,8.5,35,22.8,4.3,32.3,2.2,-2,53.5,0.5,1.2,7.6,23.2,-3.9,-0.5,11.1,-12,9.2,-2.7,-0.9
"15","7","            Durable goods","W105RL1",NA,-14.2,17.7,-15.8,833.2,-26,37.3,100.2,-35.5,52.9,58.6,-25.4,251.3,6.1,84.6,36.2,200.5,224.8,99,137.9,70,52.3,21.4,30.9,25.3,28.4,-47.1,-22.4,-41.2,11,-45.7,2.7,-18.9,16.4,-29.8,-35,6.8,61.2,-31.6,20.4,3.7,27,-10.9,-5.1,16,24.9,-28.5,5.7,-73.1,14.5,16.8,-8.1,-42.9,-13.5,18.2,-9.7,-53.1,9.4,19,3.1,82,8.1,10.2,-5.6,15.2,-8.8,-0.7,5.8,-32.7,-5.4,-10.7,8.1,5,45.6,-21.5,24.2,63.6,102.6,-17.4,99.5,-42.6,-7.2,-2.5,-1.7,81.3,-8.6,6.3,1.6,-28.7,-21.1,0.2,-17.5
"16","8","            Nondurable goods","W106RL1",NA,255,-22.2,-18.2,-52.7,508.5,59.3,70.5,136.1,-10.7,18.2,-7.5,-38.7,61.5,-94.6,192.3,282.9,-10.6,36.2,-17.7,44.9,66.8,-1.8,44.8,370.6,37,-26.8,2.9,-49,-30.8,-13.2,153.9,-81.9,124.4,-9.4,-41.3,-47.3,4.8,-61.3,54.7,139.3,-71.3,16.6,431.1,-81.4,250.8,-13.2,87,38.3,135,14.3,-22.4,-75.7,37.1,26.8,24.4,-67.1,122.5,28.2,-2.7,-20.1,112.3,93,-13.2,-37.9,-41,167.1,-43.9,31,4.1,17,-34.2,-5.4,7.9,149.6,8.4,-29.5,101.3,-50.4,-17.1,367.7,-0.2,-10.2,10.2,59.9,3.4,-1.6,16.4,-3.4,13.4,14.2,-29.5
"17","9","            Services","W107RL1",NA,129.2,9.8,-20.5,18.2,82.2,-3.4,37.8,-24,153.6,-41.8,-30.4,100.9,10.6,-36.8,-4,327.5,4.2,167.1,-17,37.8,45.9,-6.5,-1.6,-54.5,-24,77.8,67.9,-23,-47,22.8,-62.3,442,-35.7,43.1,8.8,-8.2,51,-34.4,72.8,25.2,37.6,-0.2,-5.3,0.3,31.4,-39.4,17.2,-23,0.5,24.9,25.8,13.6,-6.7,14.4,5.1,36.7,0.5,-5.1,6.5,34.8,-16.1,4.3,19.4,17,3.1,22,13.4,-0.8,-6,-10.4,-4.3,10.2,1.2,18.3,29.6,10.9,-2.6,47.9,-14.7,25.9,2.9,8,8.6,-1.6,-6.3,-1.6,11.1,-11.6,15.7,-11.3,23.2
"18","10","        Less: Own-account investment \4\","W108RL1",NA,15.7,15.7,16.4,32.1,69.6,75.2,38.6,-8.1,59.5,49.5,-2.2,-29.8,5.5,108,5.8,11.1,85.6,48.3,-1.9,69.8,19.1,14.7,1.9,7.1,-20.4,-4.5,-10.7,10.7,-4,-8.1,-17.5,-5.4,-7.6,-1.9,-8.1,17.1,26.7,14.4,-17.7,14.7,4.9,5.1,9.1,-3.5,7.5,25.6,31.4,53.9,25.4,-6.3,-12.1,-21.3,19.3,-7.4,3.3,37.9,-42.9,24.6,67,-27.2,-26.4,93,9.7,-20.7,14.6,10.9,-18.3,-5.1,5.8,1,-0.4,-12.8,24,15,1.4,8.3,14.4,-11.2,8.4,-4.7,-29.7,-8.7,-0.2,16.5,17.9,-18.7,2.7,-2.7,1.9,5.9,-5.2
"19","11","              Sales to other sectors","W109RL1",NA,-38.5,-78.6,-4.5,138.3,-52.4,-1.1,104,-45.7,15.6,47.1,-13.1,11.7,342.4,-78.9,-1.2,1094.8,-90.5,-1.8,-5.3,-5.8,46.3,-26.2,17.9,4.4,-1.8,0.8,6.8,3.1,99.2,-39.9,23.4,71,689.1,-85.6,4.2,-16.3,61.2,-39.6,8.1,52.6,31.5,12.4,9.1,-22.3,150.3,-62.3,56.4,13,-35.8,9.1,34.2,-5.8,-1.6,-0.7,-4.8,7.3,17.7,2.6,-1.5,33.6,11.4,-0.1,3.2,65.5,-28.6,18.6,3.7,32.1,-14.9,26.5,7.8,15.1,2.4,26.5,2.7,32,21.2,-17,3.8,7.2,8.6,9.4,4.6,9.1,11,7.8,9,-1,7.7,2.5,0.1
"20","12","Federal consumption expenditures \1\","A957RL1",NA,1.2,0,-17.4,-3,32.5,11,13.8,5.3,10.6,-15.8,-20.1,-1.1,6.6,-24.6,76,73.4,88.2,72,9.4,34.2,22.3,11,6.2,12.5,9.6,-9.7,5.2,-25.8,-19.5,-7.4,-1.5,-7.3,-14.9,20.4,-10.9,-7.7,14.1,-19.3,23.7,14.9,-2.9,-2.6,9.6,-18.6,17.2,-11.7,9.5,-21.8,20.7,9.3,-1.3,-19.2,2.8,9.3,3.3,-12.9,10.3,9.3,7.4,15.1,5.6,12.5,0.3,-3.4,-2.8,21,-4.6,-3.6,0.1,-4.1,-8.1,-1.3,3.9,17.6,16,1.8,20.6,10.3,2.9,35.7,-0.4,1.1,3.1,13.8,-1.7,-2.1,1,-8.4,4.2,-2.7,-3.9
"21","13","      Gross output of general government","W110RL1",NA,-3.8,-11.7,-17.6,4.7,23.4,11,18.9,-0.6,10.5,-13.5,-21.2,-1.5,21.7,-33.6,74.7,114.8,52.6,71.6,9,33.4,24.4,9.5,6.8,12.7,8.9,-9.8,4.8,-25.3,-16.8,-10.4,-1.2,-4.9,0.3,2.1,-11,-8.6,17.5,-21.5,23.1,17.6,-1.3,-2,9.5,-20.4,24.5,-17.9,12.6,-21,16.3,9.4,0.9,-20,2.9,8.8,2.9,-12.7,10.2,8.8,6.9,15.2,6.1,12.3,0.2,-1.4,-5.5,22.1,-5.4,-1.6,-2.4,-2.7,-8.1,-1.2,3.6,19.2,14.9,4.4,21.4,7.1,2.4,34,-0.6,1.4,2.4,13.4,-1.6,-2.1,1.5,-9,4.8,-2.7,-4.1
"22","14","        Value added","W111RL1",NA,-23.6,-10.2,-13.8,-2.1,-9.8,3.1,1.1,-5.7,-5.7,-8,-13.9,-9.5,10.2,13.6,64.3,17.8,54.2,32.5,4.1,10.9,8,2.5,-3.2,2.6,0.6,-0.8,-5.3,-3.4,-2,-0.3,-1.5,-2.7,-5.8,0.1,-0.9,-1.6,-2.6,2.9,0.5,-0.5,0.6,0.2,-9.6,-5,-1,4.1,-0.6,-5.1,0.1,0.3,1.2,2.6,7.5,-3,0.4,0.9,2.5,4.7,11.3,5,1.4,0.3,-2.8,1.6,3.5,2.5,-0.8,-0.3,2.3,2.2,-0.3,-2.7,1,3.6,5.8,6.4,7.6,11.2,9.2,9.9,0.6,3.8,-0.4,2.6,4.4,0.9,-4.7,1.4,2.1,1.8,-2.3
"23","15","          Compensation of general government employees","B568RL1",NA,-26.1,-2.2,-9.8,11.5,-3.7,20.7,15.7,-1.5,-0.9,-4.7,-13.9,-7.7,23.1,27.2,114.6,27.5,80.3,43.9,2.2,10.1,6.3,-0.1,-8.2,-0.7,-3.2,-3.8,-10.1,-8.2,-4.7,-2.4,-3.1,-4.7,-8.6,-0.2,-1.2,-2.5,-4.1,3.4,0.8,-0.8,0.5,0.3,-13.9,-7.2,-1.4,5.5,-1,-8.6,-1,-0.4,0.1,2.4,10,-5.4,-0.6,1,2.3,6.4,14.9,5.1,0.8,-1.3,-5.3,0.9,4.1,2.4,-2.6,-1.1,2.6,2.8,-1,-3.9,1,4.6,8,8.2,9.9,14.6,11.7,12.4,-0.2,4.1,-1.5,2.8,5.4,0.6,-6.5,1.9,2.9,2.5,-2.9
"24","16","          Consumption of general government fixed capital \2\","B995RL1",NA,-20.4,-18.9,-18.2,-16.1,-17.2,-16,-16.1,-11.8,-12.9,-13.3,-13.9,-12.5,-9.5,-8.3,-5.6,-2.4,2.2,5,9.4,13.3,13.1,10.7,12.1,11.9,11.1,7.3,7.7,9,4.7,4.5,2.2,1.7,0.9,0.8,-0.1,0.5,0.8,1.8,-0.1,0.2,0.8,0.1,0.1,-0.2,0,1.2,0.3,2.9,2.7,1.9,3.5,3,2.3,2.3,2.5,0.8,2.8,1.1,3.7,4.7,2.6,4.1,3,3.1,2.3,2.8,3.3,1.6,1.8,0.9,1.3,0.3,1.1,1.5,0.3,1.9,1.8,2.6,2.5,3.3,2.7,3.2,2.7,2.1,1.7,1.6,0.7,0,-0.4,-0.2,-0.4
"25","17","        Intermediate goods and services purchased \3\","W113RL1",NA,739,-20.9,-38.4,62.8,441,48.3,101.5,16.6,67.7,-26.3,-38.8,23.3,53.8,-86.4,124.8,988.4,49.1,173.3,17,78.8,53.9,20.2,21.4,26.7,19.7,-19.7,18.1,-45.6,-33.8,-23.8,-0.7,-8.1,10.5,5.3,-24.8,-19.4,59.3,-50.4,74.9,51.6,-4.1,-5.2,43.7,-38.1,72.8,-41.9,35.9,-41.4,49.9,26.1,0.7,-48.2,-5.2,35.3,7.6,-33.4,26.6,16.7,-0.7,36.3,14.8,34.8,5.1,-5.9,-18.9,63.1,-12.2,-3.7,-9.9,-10.7,-20.8,1.4,8.4,52.1,31.6,1.3,47,1,-7.1,79.8,-2.1,-1.8,6.4,30.3,-9.4,-6.1,11,-22.1,8.9,-9.1,-6.9
"26","18","          Durable goods","W114RL1",NA,-22,15.7,-20,1125.1,-29.2,50.6,127.4,-38.9,53.6,60.5,-30.9,329.4,7.5,99.3,42,214.9,247.3,104.9,146.2,71.1,54.1,22.1,31.7,25.9,29,-48.1,-23.2,-42.7,11.7,-47.2,2.6,-18.9,16.5,-30.7,-36,5.2,64.1,-33.2,21.1,1.5,27.5,-12.2,-6,19,25.8,-29.9,5.3,-76,15.7,17.4,-8.7,-46.1,-15.7,20.2,-11.1,-58.1,11.6,20.5,3,91.9,9.7,9.8,-6.9,15.2,-9.2,-1.6,5.3,-36.7,-6.7,-13.5,7.8,2.2,53.7,-25.9,27,74.6,119.7,-19.9,114.9,-47.1,-7.8,-2.4,-2.7,89.2,-12.3,4.4,-0.1,-33.4,-26.1,-2.2,-23.1
"27","19","          Nondurable goods","W115RL1",NA,12095.7,-58.2,-34.1,-86.6,15746.6,153.9,130.2,197.7,-32.6,20.3,-10.5,-63.4,205.2,-100,3010.8,92774,-5.7,95.9,-26.9,101.2,68.5,35.2,66.2,781.8,62.2,-36,7.3,-59.5,-40.8,-28.1,267.8,-93.8,258.4,-12.8,-56.5,-60.6,13.2,-85.2,144,459.2,-91.6,10.5,1959.9,-97.6,1222.4,-35.5,207.9,19.6,331,19.7,-36.3,-95,102.4,64.3,48.5,-95,705.2,69.8,-11.3,-43.4,443.8,228.3,-24.8,-63.5,-72.2,729.2,-72.3,70.5,-4.6,27.1,-64.9,-24.8,10,669.1,13.7,-55.5,297.6,-76.4,-40.5,1961.6,-2.5,-20,10.4,110.7,0.5,-9,19.3,-10.9,18.9,18,-50
"28","20","          Services","W116RL1",NA,518.2,6.2,-41,75.5,165.7,4.8,73.9,-51.1,378.5,-64.5,-57.6,170.3,16.6,-58.9,-8.1,1277.9,10.5,320.8,-22.1,70.7,42.8,9.8,-4.7,-68.6,-27.7,109,114.2,-33.4,-59.8,24.7,-78.2,951.9,-46.7,71.3,13.3,-9,77.4,-43.6,109.7,32.9,47.8,-3.2,-8.8,-7.8,40.9,-50,24.5,-23.7,-1.2,36.9,38,16.1,-18.7,34.1,4.9,41,-7.8,4.7,0.9,49,-22,4.3,26.1,19.9,0.6,26.2,13.8,-4.8,-12.1,-18.5,-10.1,8.1,-3.2,21.7,39.4,10,-7.9,70.6,-23.9,32.9,0.1,6.6,7.8,-5.3,-13,-8.5,11.3,-22.9,18.2,-21.8,31.4
"29","21","      Less: Own-account investment \4\","W117RL1",NA,89.6,-15.9,-7.7,121.3,77.4,272,102.1,-60.3,46.3,138.7,-10.2,-57.6,11,639.2,-13.4,26.8,187.7,149.6,10.1,32.7,53,40,2.3,42.8,-29.8,-22.7,-33.4,32.9,-13.5,-21.7,-34.6,5.3,-25.2,-7.2,-20.5,-14.6,59.7,44.1,-39.7,29.3,17.5,26.2,12.8,-26.2,19.1,35.2,63.8,-36.4,50.5,-19.8,5.6,-25.9,27.9,-21.2,35.5,19.1,-27.8,-0.1,32.2,-39.9,37.5,35.8,1.8,-79.3,225.5,44.1,-45.8,-7.2,-7.7,0.7,14.2,-28.3,71.5,0.4,-11.1,23.8,14,-1,20.5,-48.3,-29.3,8.4,-21.1,3.6,-18.4,-17.6,11.5,-15,8,-4.7,-17.4
"30","22","            Sales to other sectors","W118RL1",NA,-65.9,-99.5,-33.3,4198.4,-97,-24.1,1750.2,-98.6,-13.9,859.5,-82.5,-3.6,76255.8,-100,24.2,2092126.7,-100,-22.2,-45.4,-64.7,2250,-94.4,292.4,3.5,-43.6,7.5,10.6,6.1,4839.8,-98.3,279.1,1408.4,30781.9,-99.7,-5.5,-61.7,881.2,-93.8,29.7,694.3,145,19.8,5.3,-78,2267.3,-99,716.8,70.5,-93.8,58.7,450.1,-58.8,-5.7,-5.6,-39.4,-13.5,56.8,-27.7,-46.5,140.6,36.7,-22.4,-10.4,1021.2,-95.4,173.6,-37.4,498,-89.8,321.6,-21.1,31.5,-45.6,313.2,-37.2,450.9,78.1,-82.6,-40.8,-24.2,-6.3,38.1,-46.4,-20.3,26,16.3,56.5,-48.6,90.7,-6.7,-24.5
"31","23","    Defense consumption expenditures \1\","A997RL1",NA,-24.2,7.2,-0.3,-10.3,-6.8,-3.7,15.7,1.2,-1.4,-3.4,-19.8,1.3,4.1,20,68.2,112.3,98.2,83.6,15.8,25.2,29.6,8.5,7.6,4.5,-3.4,-2.4,4.7,-33.1,-10.8,-8.5,-13,2.3,-22.8,21.8,-7.2,-6.2,16.7,-13,21.8,8.9,10.3,-0.4,-3.8,-5.7,4.3,-11,1,-29.2,2,10.8,1.2,-5.5,0.3,9,-2.2,-0.7,1.5,9.6,8.6,14.4,-0.3,4.9,-0.2,-1.4,-1.3,10.1,-1.1,-7,-5.8,0,-9.5,-4.2,3.8,13.7,23.1,6.4,18.1,19.6,9.1,26.2,6.7,3.9,0,17.4,1.3,-7.5,0.6,-12.3,3.9,-5.2,0.3
"32","24","      Gross output of general government","W085RL1",NA,-24.1,7.2,-0.5,-8.6,-6.5,-3.4,15.6,0.2,-1.2,-3.5,-19.7,1,4.5,19.9,68.3,166.2,57,83.8,16,25,29.5,8.8,7.6,4.7,-3.4,-2.6,4.5,-32.8,-10.6,-8.7,-13,5.1,-22.7,21.9,-7.1,-7.4,18.4,-14.2,21.6,9.6,9.9,1.2,-3.8,-5.3,5,-13.1,4.3,-31.8,2.1,10.5,1.8,-5.1,0.5,8.5,-2.7,-1,2.3,8.3,8.4,14.6,0.8,4.5,0,-3.2,0.2,10.3,-1.6,-6.6,-6.1,0.5,-8.9,-4.6,4.2,15.3,21.9,8.7,20.3,15.8,8.4,23.8,7.3,1.9,0.1,17.2,1.3,-7.6,1,-12.5,4.3,-5.5,0.1
"33","25","        Value added","W086RL1",NA,-29.4,-7.1,5.9,-24.2,-14.2,0.6,0.2,-1.8,-7.7,-8.7,-13,-13.1,3.1,11.3,69.1,48,61.5,45.4,9.4,10.7,8.7,2.6,-3.1,5.4,2.2,1.1,-4.9,-3.4,-2.8,0.9,-3.2,-2.7,-6.1,-1.4,-1,-2.3,-2.3,2.6,-0.3,-1.3,-0.1,0.7,-9.2,-8.6,-1.3,3.4,-0.6,-5.1,-0.4,0.1,1.4,-0.6,5.2,-1.2,0.9,0.2,1.7,4.2,13.3,4.7,0.3,-1.2,-3.2,-1.4,3,2.1,-0.6,-1.4,1.4,1.9,-0.8,-3.6,0.2,2.5,6.5,8.2,7.2,10.6,10.1,12.1,-0.9,2.9,0.4,1.7,4.4,0.8,-4.7,0.2,2.4,1.9,-2.8
"34","26","          Compensation of general government employees","B237RL1",NA,-36.4,9.7,44.5,-32,-10.1,22.5,19.5,8.8,-2.2,-4.2,-11.4,-12.5,13.8,27.6,141.2,83.1,96.8,64.4,9.1,9.4,6.8,-0.9,-8.9,2.4,-1.7,-1.8,-10.5,-8.7,-6.6,-0.8,-6,-5,-9.6,-2.3,-1.6,-3.9,-3.9,3,-0.4,-2.3,-0.4,1,-14,-12.7,-2.2,4.7,-1.2,-9.2,-2.1,-1,0.1,-2.7,6.9,-3.4,0.2,-0.3,1.2,5.9,19.4,4.7,-0.8,-3.8,-6.2,-3.4,3.8,2.1,-2.2,-2.8,1.8,2.8,-1.4,-4.8,0.3,3.7,10.4,12.2,10.4,14.8,13.9,16.3,-2.2,3.1,-0.5,1.8,5.6,0.7,-6.4,0.5,3.7,2.9,-3.6
"35","27","          Consumption of general government fixed capital \2\","B432RL1",NA,-21.6,-20,-19.6,-17.3,-18.5,-17.6,-17.3,-13,-14.3,-14.5,-15.2,-14.1,-10.4,-9.2,-6.6,-3.1,2.2,5.8,10.3,14.5,14.1,12.4,13.6,13.1,12,8,9.1,9,5.7,4.6,2.7,1.9,1.2,0.6,0,0.8,0.8,2,0,0.5,0.6,0.2,0.3,-0.6,0.4,1.1,0.6,3.1,2.8,2.2,3.8,3.3,2.4,2.8,2.3,1,2.7,1.2,2.9,4.6,2.4,3.8,2.5,2.4,1.7,2.3,2.3,1.1,0.6,0.1,0.3,-1.1,-0.1,0.2,-0.9,0.1,0.6,1.6,1.6,2.4,2.1,2.5,2.4,1.4,1.5,1.1,0,-0.5,-0.9,-0.8,-0.9
