"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","      Gross investment \2\","A782RA3",7.931,7.896,8.141,8.74,10.507,11.059,11.369,12.726,13.538,15.303,17.136,17.085,15.237,15.85,16.973,16.744,19.719,24.191,27.938,32.509,31.994,31.939,32.2,33.03,34.782,36.128,35.739,34.428,35.647,34.382,31.918,31.163,31.206,32.287,29.798,28.625,29.816,29.855,31.478,31.02,31.248,30.457,31.146,31.408,32.487,32.444,34.734,35.741,38.523,37.394,37.255,35.415,35.391,35.187,36.873,36.728,39.916,38.013,39.548,41.277,41.559,40.879,41.94,41.579,40.769,40.372,42.936,41.53,41.871,42.124,42.283,42.412,41.509,41.889,43.829,43.838,46.024,44.609,46.853,48.378,49.888,48.057,48.804,48.506,47.686,48.258,47.939,46.691,47.882,44.731,44.555,40.795
"12","4","        Structures","A760RA3",11.045,12.374,13.83,15.491,16.079,17.897,19.271,19.851,21.482,24.209,27.456,27.961,27.573,29.09,29.363,30.421,31.284,34.662,35.801,36.546,38.455,38.668,38.808,39.968,41.15,40.368,40.434,42.256,44.738,43.346,44.156,43.402,44.324,44.605,42.832,42.374,43.302,44.28,44.875,44.903,46.997,46.474,46.834,47.927,51.172,51.072,53.144,55.597,55.912,55.517,53.464,50.046,50.874,52.762,54.887,55.695,59.693,55.469,56.494,60.41,58.482,58.782,58.439,59.656,60.695,60.89,64.669,61.88,63.175,65.145,65.336,65.181,64.58,67.143,70.522,71.521,72.409,71.386,71.213,73.605,75.409,73.596,72.16,73.676,74.311,76.479,76.664,76.153,74.625,73.98,71.468,66.943
"13","5","        Equipment and software","A871RA3",4.714,3.932,3.478,3.377,5.487,5.207,4.837,6.41,6.607,7.511,8.22,7.879,5.599,5.614,6.941,6.075,9.53,13.726,18.237,24.138,22.348,22.153,22.437,22.921,24.677,27.023,26.435,23.532,23.802,22.852,19.022,18.421,17.99,19.291,16.911,15.583,16.674,16.2,18.068,17.433,16.601,15.82,16.556,16.315,16.022,16.014,17.964,17.997,21.534,20.24,21.13,20.487,20.024,18.778,19.887,19.28,21.387,21.076,22.551,22.797,24.156,23.109,24.673,23.573,21.979,21.356,22.755,22.357,22.131,21.44,21.552,21.808,20.934,20.072,20.854,20.318,22.785,21.412,24.585,25.343,26.412,24.908,26.745,25.484,23.988,23.545,22.995,21.545,24.109,20.014,21.251,18.566
"14","6","Federal","B823RA3",25.544,25.597,25.611,24.718,25.559,27.116,27.669,29.169,29.756,30.874,30.534,29.021,27.64,28.254,27.251,30.451,36.413,44.208,51.849,56.15,58.6,60.92,62.487,63.469,65.942,68.018,66.162,65.201,61.731,58.425,55.519,54.873,53.552,52.337,52.889,50.91,50.53,51.855,50.911,52.735,53.672,52.858,53.05,53.793,51.864,53.53,53.321,54.566,53.666,54.95,56.085,55.268,52.782,52.58,54.212,54.41,54.339,54.847,56.387,57.381,59.488,59.733,61.53,61.199,59.714,59.161,62.445,60.783,60.473,60.07,59.598,58.76,58.02,58.132,60.48,62.158,63.579,65.262,67.904,68.469,73.163,72.103,73.249,73.097,74.368,73.771,73.136,72.689,72.285,71.132,71.182,69.277
"15","7","    Consumption expenditures","B957RA3",31.197,31.291,31.288,29.83,29.607,31.765,32.608,33.677,34.114,34.981,33.513,31.683,31.598,32.109,29.922,34.462,39.548,46.323,53.046,54.249,58.384,61.398,63.019,63.979,65.893,67.424,65.718,66.552,61.775,58.516,57.4,57.178,56.104,53.892,56.451,54.838,53.748,55.544,52.651,55.523,57.485,57.06,56.691,57.999,55.084,57.316,55.561,56.842,53.447,56.025,57.288,57.107,54.141,54.52,55.745,56.195,54.286,55.629,56.883,57.905,59.972,60.793,62.611,62.654,62.118,61.685,64.694,63.943,63.36,63.38,62.713,61.401,61.196,61.788,64.346,66.785,67.085,70.304,72.042,72.563,78.315,78.242,78.453,79.056,81.653,81.3,80.866,81.07,79.304,80.116,79.576,78.798
"16","8","    Gross investment","B787RA3",7.626,7.563,7.669,8.458,12.273,12.053,11.777,14.325,15.27,17.006,19.931,19.439,14.423,15.29,17.728,16.979,24.856,34.845,44.352,56.527,54.252,54.507,55.77,56.726,60.517,63.919,61.82,55.994,56.466,53.293,45.604,43.814,41.882,43.647,38.335,35.484,37.193,37.109,41.693,40.458,38.468,36.639,38.343,37.472,38.443,38.358,42.569,43.586,49.717,47.247,47.915,45.426,44.486,42.703,45.322,44.783,49.897,47.992,50.201,51.032,53.083,51.676,53.268,51.909,47.843,46.992,50.776,46.617,47.117,45.505,45.653,46.3,44.023,42.683,44.221,43.406,48.222,44.991,50.247,50.909,51.97,47.891,51.906,49.384,46.337,44.997,43.746,41.194,45.213,37.819,39.765,34.28
"17","9","      Structures","B801RA3",4.048,30.434,48.123,65.76,71.764,74.563,79.437,73.483,81.335,87.124,118.433,123.163,106.727,121.314,118.912,133.223,161.018,198.528,218.809,240.458,260.792,271.938,285.021,286.459,297.144,282.617,265.741,257.011,260.461,235.72,226.159,215.228,193.422,183.166,167.023,158.513,157.658,173.929,194.876,194.682,193.603,189.417,197.202,190.968,214.313,213.703,225.079,242.856,237.564,236.952,220.125,197.884,200.402,211.494,222.676,234.315,255.601,232.794,223.754,230.823,225.343,235.608,212.713,225.869,211.737,219.367,243.438,183.352,204.123,200.471,201.751,207.713,194.877,201.718,206.105,211.15,218.115,208.957,202.987,193.106,176.691,155.497,167.302,163.078,158.647,150.966,149.958,153.678,145.793,147.317,145.241,134.781
"18","10","      Equipment and software","B872RA3",6.776,5.398,4.591,4.387,7.571,7.192,6.646,9.363,9.803,11.113,12.158,11.471,7.698,7.75,10.076,8.693,14.402,21.591,29.282,39.399,36.21,35.855,36.32,37.128,40.065,44.059,43.035,38.057,38.304,36.706,30.097,29.029,28.401,30.568,26.528,24.351,25.954,25.045,28.164,27.038,25.269,23.81,24.971,24.493,24.18,24.129,27.406,27.414,33.311,31.079,32.539,31.389,30.404,28.226,30.05,28.97,32.561,31.972,34.427,34.827,36.965,35.169,37.766,35.87,32.884,31.729,33.963,33.189,32.605,31.323,31.394,31.685,30.264,28.682,29.863,28.846,32.904,30.402,35.588,36.732,38.6,35.968,39.051,36.942,34.353,33.533,32.423,29.833,34.047,27.012,28.968,24.42
"19","11","  National defense","B824RA3",31.436,29.376,30.894,31.105,31.023,30.767,30.306,31.82,32.659,33.252,33.158,31.069,29.815,30.075,32.052,36.49,46.253,57.332,69.12,75.329,77.918,82.119,84.015,85.514,88.146,88.851,87.687,86,80.234,76.861,72.895,70.391,70.015,67.475,68.187,65.896,65.645,67.397,67.18,69.335,69.727,70.307,70.885,70.028,69.252,69.937,69.907,70.429,68.471,67.637,69.36,68.473,67.262,66.276,68.396,67.605,69.396,68.962,70.943,72.173,74.862,74.047,75.231,74.353,72.589,71.841,74.401,72.52,71.463,70.08,69.847,68.412,66.894,66.584,68.92,71.525,74.143,75.702,80.666,82.713,87.664,87.721,89.921,88.963,91.161,91.079,89.282,88.483,87.542,85.578,85.448,83.658
"20","12","    Consumption expenditures","B997RA3",40.066,37.39,38.05,38.023,37,36.355,36.012,37.349,37.465,37.33,37.008,35.024,35.139,35.492,37.151,42.311,51.073,60.6,70.54,73.179,77.403,82.58,84.284,85.845,86.805,86.065,85.549,86.543,78.268,76.064,74.384,71.846,72.254,67.729,71.156,69.848,68.738,71.445,69.006,72.486,74.052,75.889,75.81,75.07,73.98,74.769,72.628,72.806,66.796,67.126,68.872,69.076,68.104,68.154,69.638,69.245,69.126,69.378,70.992,72.465,74.946,74.884,75.79,75.758,75.499,75.246,77.072,76.854,75.476,74.361,74.357,72.531,71.751,72.427,74.785,78.781,80.005,83.401,87.214,89.143,94.478,96.033,96.967,96.957,100.917,101.234,99.278,99.425,96.214,97.143,95.853,95.936
"21","13","    Gross investment","B788RA3",4.413,4.308,8.599,9.532,12.259,13.178,12.386,14.349,17.284,20.032,20.649,18.327,13.041,13.041,15.891,18.054,30.148,45.016,61.246,76.839,74.749,76.005,78.266,79.502,86.631,91.354,88.459,79.288,81.072,74.511,64.204,61.922,59.283,62.758,55.354,50.313,52.637,51.561,57.739,55.994,53.012,49.977,52.357,51.22,51.391,51.712,57.819,59.252,68.948,64.787,66.297,62.394,60.597,56.744,60.536,58.639,65.809,63.417,66.319,66.78,69.909,66.968,68.88,65.621,59.594,57.436,61.966,55.277,55.237,53.119,52.207,52.062,48.358,45.019,47.158,45.206,52.157,47.762,56.169,58.515,62.028,57.245,63.488,59.471,55.758,54.353,53.136,49.145,55.818,44.315,48.062,39.959
"22","14","      Structures","B808RA3",-6.385,18.234,44.624,67.378,72.6,69.675,73.148,61.323,72.405,61.384,63.432,76.072,66.48,68.011,83.394,134.617,219.236,318.579,377.919,426.325,467.734,520.565,563.451,568.265,588.42,555.734,518.283,493.11,516.006,450.877,429.263,423.696,384.223,368.402,334.424,312.448,300.762,317.428,341.763,345.008,341.71,326.539,338.098,328.27,350.352,347.649,375.622,414.679,398.732,385.299,353.245,300.794,297.591,301.719,329.491,342.102,380.949,348.183,310.193,313.389,304.734,309.175,248.538,256.204,237.79,242.419,298.534,136.789,183.101,166.271,176.668,175.813,146.419,151.319,164.344,161.829,167.168,161.138,171.226,156.742,161.172,138.99,156.08,146.96,143.756,131.988,151.372,161.625,155.265,163.407,164.505,149.3
"23","15","      Equipment and software","B873RA3",4.598,3.58,6.874,7.01,9.508,10.519,9.621,11.96,14.45,17.52,18.049,15.351,10.519,10.466,12.726,13.196,22.169,33.341,47.236,60.925,57.451,56.869,57.603,58.653,64.989,70.856,69.317,61.092,62.043,57.84,48.437,46.394,45.141,49.083,42.977,38.779,41.425,39.834,45.065,43.25,40.448,37.987,39.929,39.142,38.583,38.982,44.023,44.112,54.139,50.515,53.038,50.943,49.295,45.415,48.207,45.947,51.678,50.413,54.443,54.786,58.105,55.096,58.926,55.502,50.24,47.994,50.579,49.308,47.779,46.271,45.044,44.931,42.291,38.874,40.528,38.709,45.303,41.21,49.097,51.892,55.177,51.256,56.781,53.166,49.639,48.684,46.789,42.484,49.306,37.596,41.276,33.846
"24","16","  Nondefense","B825RA3",13.977,18.864,15.864,12.865,15.421,20.669,23.35,24.89,24.988,27.223,26.389,26.008,24.348,25.669,18.579,19.298,17.63,19.115,18.678,19.293,21.497,20.147,21.073,21.064,23.251,27.937,24.776,25.207,26.162,22.967,22.101,25.092,21.918,23.265,23.517,22.124,21.481,21.994,19.532,20.745,22.844,19.104,18.53,22.595,18.276,21.963,21.37,24.069,25.209,30.684,30.675,29.984,24.925,26.29,26.983,29.123,25.41,27.746,28.434,28.977,29.969,32.266,35.273,36.001,35.047,34.87,39.556,38.309,39.44,40.91,39.991,40.29,41.029,41.944,44.321,44.216,43.347,45.264,43.469,41.198,45.384,42.201,41.337,42.729,42.237,40.671,42.232,42.448,43.058,43.445,43.841,41.734
"25","17","    Consumption expenditures","B542RA3",13.505,19.967,18.608,14.406,15.612,23.514,26.878,27.414,28.569,31.521,27.687,26.115,25.65,26.413,16.388,19.904,17.499,18.983,19.469,17.813,21.846,20.686,22.156,21.962,25.717,31.553,27.585,28.107,30.091,24.757,24.733,29.04,25.091,27.346,28.241,25.988,24.928,24.942,21.034,22.756,25.599,20.484,19.537,25.114,18.459,23.612,22.567,26.006,27.638,34.592,34.911,33.967,27.069,28.115,28.846,30.934,25.574,28.988,29.538,29.689,30.953,33.457,37.024,37.213,36.154,35.374,40.614,38.842,39.792,41.976,40.064,39.74,40.62,41.048,43.96,43.415,41.966,44.814,42.62,40.469,46.933,43.788,42.623,44.393,44.386,42.777,45.211,45.518,46.483,47.069,47.957,45.571
"26","18","    Gross investment","B798RA3",14.066,14.098,6.912,7.485,13.586,11.101,11.682,15.489,12.816,12.88,20.452,23.47,18.497,21.138,23.012,16.446,16.64,17.851,14.96,21.468,18.617,16.957,16.407,16.89,14.611,15.693,14.977,15.115,13.158,16.23,13.043,12.073,11.369,9.914,8.242,9.483,10.133,12.084,13.957,13.608,13.41,13.841,14.371,13.941,16.69,15.753,16.596,16.886,16.437,17.139,16.164,16.277,16.984,19.206,19.748,21.908,23.442,22.306,23.371,25.073,25.182,26.713,27.836,30.184,29.608,31.284,33.989,34.411,36.019,35.23,37.411,39.656,39.925,42.364,42.867,44.209,45.314,44.025,43.654,41.119,37.589,34.484,34.652,34.737,32.674,31.338,29.917,29.818,29.202,28.907,27.638,26.58
"27","19","      Structures","B830RA3",12.016,38.485,51.05,65.933,72.731,79.442,85.471,83.053,89.16,105.173,155.729,155.532,134.47,157.487,144.13,135.691,127.088,124.674,119.566,123.989,130.839,114.698,108.597,107.934,112.742,109.827,106.012,107.696,98.842,99.598,97.629,83.32,72.654,65.884,61.079,61.171,67.261,83.429,102.448,100.001,100.277,103.077,108.518,104.613,128.982,129.805,130.56,134.677,136.245,144.04,136.901,134.072,140.389,156.202,156.726,168.01,178.254,161.593,171.009,180.734,177.202,191.274,192.542,209.465,197.871,207.496,211.123,215.511,220.28,225.051,220.526,230.934,228.398,236.567,235.606,245.464,253.628,242.373,225.991,218.884,189.051,168.15,176.816,175.684,170.41,165.226,151.135,150.621,141.55,138.564,134.313,126.909
"28","20","      Equipment and software","B880RA3",9.853,7.933,1.459,0.751,4.827,2.233,2.147,5.484,2.764,1.481,3.309,5.756,3.522,3.726,6.161,1.927,2.664,3.741,1.957,6.782,3.897,3.939,4.006,4.425,2.239,3.326,3.052,3.016,2.19,4.735,2.186,2.662,3.025,2.416,1.452,2.506,2.499,2.672,2.5,2.426,2.215,2.326,2.266,2.259,2.332,1.445,2.107,1.972,1.468,1.378,1.226,1.524,1.56,1.95,2.28,2.943,3.255,3.686,3.736,4.203,4.53,4.572,5.244,5.638,6.062,6.513,8.069,8.045,8.763,7.965,9.621,10.391,10.751,11.825,12.246,12.447,12.603,12.54,13.497,12.267,12.022,11.415,10.9,11.04,10.009,9.47,9.519,9.49,9.74,9.761,9.192,9.012
"29","21","State and local","B829RA3",12.014,12.177,12.461,12.663,12.644,13.008,13.239,13.559,14.12,14.925,15.546,15.843,16.237,16.375,16.387,16.397,16.235,16.511,16.591,16.564,16.616,16.969,16.51,16.9,17.262,17.232,17.693,18.124,18.775,18.848,19.373,19.463,20.28,20.546,20.514,20.634,20.857,21.113,21.218,21.434,21.973,22.158,22.471,23.03,23.681,24.023,24.548,24.996,25.203,25.272,25.294,25.159,25.597,26.223,26.614,26.919,27.792,27.604,27.838,28.61,28.403,28.607,28.972,29.288,29.839,30.11,30.915,31.346,31.813,32.544,32.899,33.247,33.562,34.414,35.383,35.893,36.338,36.619,37.042,37.995,38.465,38.675,38.827,39.504,40.197,40.979,41.568,41.927,42.268,42.623,42.713,42.625
"30","22","  Consumption expenditures","B991RA3",13.781,14.024,14.281,14.365,14.143,14.212,14.246,14.448,14.943,15.334,15.748,16.074,16.511,16.535,16.467,16.443,16.339,16.37,16.471,16.569,16.389,16.999,16.503,16.75,17.082,17.025,17.399,17.389,17.647,17.757,18.132,18.28,18.899,19.033,19.213,19.404,19.394,19.704,19.972,20.255,20.354,20.65,21.078,21.46,21.923,22.394,22.753,23.002,23.117,23.287,23.565,23.869,24.237,24.76,24.928,25.289,25.833,26.22,26.178,26.42,26.463,26.787,27.044,27.348,27.588,27.97,28.478,28.874,29.412,29.868,30.277,30.805,31.197,31.814,32.377,32.865,33.317,33.745,34.224,34.811,34.866,35.241,35.866,36.381,37.076,37.532,38.2,38.776,39.407,39.985,40.564,41.241
"31","23","  Gross investment","B799RA3",8.164,8.148,8.497,8.975,9.421,10.472,11.158,11.761,12.49,14.284,15.413,15.648,15.949,16.383,16.598,16.694,16.387,17.257,17.286,16.962,17.574,17.313,16.932,17.676,18.118,18.153,18.846,20.415,22.119,22.098,23.037,22.967,24.338,24.971,24.352,24.284,25.135,25.254,24.929,24.98,26.685,26.582,26.598,27.636,28.806,28.791,29.783,30.795,31.279,31.068,30.354,28.94,29.57,30.489,31.539,31.675,33.541,31.601,32.683,35.102,34.111,33.939,34.637,34.986,36.506,36.423,38.16,38.695,38.93,40.529,40.702,40.467,40.525,42.119,44.374,44.95,45.358,45.155,45.39,47.528,49.372,49.03,47.578,48.783,49.446,51.303,51.602,51.202,50.539,50.127,48.55,45.85
"32","24","    Structures","B842RA3",11.152,11.079,11.565,12.26,12.517,14.223,15.362,16.308,17.54,20.043,21.595,21.84,22.415,23.113,23.525,23.791,23.099,24.447,24.466,23.995,24.799,24.375,23.769,24.886,25.494,25.521,26.566,28.967,31.353,31.353,32.751,32.602,34.847,35.752,34.851,34.867,35.873,35.947,35.353,35.39,37.627,37.327,37.25,38.76,40.766,40.7,42.188,43.689,44.337,43.96,42.821,40.576,41.294,42.607,44.164,44.303,47.212,44.159,45.782,49.472,47.775,47.469,48.5,48.977,50.923,50.669,53.182,53.873,53.985,56.278,56.402,55.877,56.024,58.301,61.581,62.324,62.836,62.315,62.495,65.597,68.472,67.844,65.628,67.474,68.408,71.146,71.402,70.639,69.517,68.746,66.232,62.117
"33","25","    Equipment and software","B881RA3",1.71,1.772,1.833,1.88,2.433,2.298,2.179,2.15,2.008,2.315,2.536,2.68,2.536,2.498,2.403,2.266,2.524,2.512,2.545,2.512,2.68,2.709,2.737,2.764,2.852,2.885,2.906,2.914,3.197,3.159,3.217,3.265,3.12,3.203,3.139,3.01,3.347,3.47,3.577,3.625,4.081,4.254,4.38,4.483,4.225,4.279,4.319,4.383,4.497,4.565,4.622,4.723,5.032,5.152,5.219,5.305,5.245,5.343,5.387,5.408,5.634,5.687,5.735,5.807,6.295,6.46,6.641,6.805,7.126,7.32,7.505,7.723,7.648,7.853,8.061,8.238,8.386,8.674,8.915,9.118,9.018,9.167,9.183,9.163,9.266,9.376,9.65,9.864,10.025,10.237,10.429,10.485
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
