"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","  Personal current taxes","A074RU1",7.9,3.3,4.1,3.5,8.4,3.1,3.5,3.1,6.3,2.5,3.6,2.9,6.1,3.1,4.1,4.1,9.4,4.9,5.6,5.4,10.8,6.1,6.9,6.3,11.3,5.9,7.6,6.5,10.5,4.8,6.7,6.1,8.3,7.8,7.7,6.8,9.1,9,8.4,7.5,9.6,9.9,8.8,7.7,9.1,9.3,8.9,8.1,9.3,10.5,9.7,8.9,10.1,12.1,10.4,9.2,9.5,12.5,10.7,9.9,10.7,14,11.5,10.4,11.4,14.2,12.3,11.3,11,13.7,11.3,10,11.2,16,12.8,11,12.7,17.9,14.1,13.9,15.6,17.9,16.5,14.4,16.2,21.2,20.8,18.2,20.7,27.1,23.5,20.3
"12","4","  Taxes on production and imports","W007RU1",1.9,1.8,1.9,2.1,1.8,1.9,2,2.1,1.9,1.9,2.1,2,1.9,2.1,2.5,2.3,2.4,2.2,2.3,2.4,2.3,2.5,2.6,2.7,2.6,2.7,2.7,2.7,2.4,2.4,2.3,2.5,2.4,2.7,2.6,2.7,2.5,2.7,2.7,3,2.8,2.9,2.9,2.9,2.6,2.9,2.7,3,2.8,3.1,3,3.2,3.1,3.5,3.1,3.3,3,3.5,3.2,3.6,3.2,3.7,3.4,3.8,3.3,3.9,3.5,3.9,3.4,4.2,3.7,4.1,3.9,4.2,3.4,3.9,3.1,4.1,3.5,3.8,3.4,3.9,3.7,4.2,3.8,4.3,4.2,4.6,4.1,4.6,4.4,4.6
"13","5","  Taxes on corporate income","B075RU1",2.6,2.5,2.6,3,2.7,2.9,3,3.1,2.4,2.3,2.4,2.5,3,3.9,4.9,5.3,5.9,5.5,4.9,5.4,4.6,4.6,4.5,4.9,5,5.3,5.1,4,3.9,4.2,4.2,4.6,4.8,5.4,5.3,5.6,5.2,5.4,4.9,5.4,5.3,5.3,5.1,4.8,3.9,4.1,4.6,5.3,5.2,6.2,5.5,5.5,5.6,5.6,5.2,5,4.5,5.4,5.4,6.1,5.2,5.8,5.6,5.8,5.4,6.4,6.2,6.6,6,6.8,6.6,6.7,6.6,7.4,7.1,7.8,7.5,8.2,7.7,8,7.1,7.7,7.2,8,8.2,9.4,8.9,9.6,8.8,9.6,8.7,9.1
"14","6","  Taxes from the rest of the world","W008RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"15","7","Contributions for government social insurance","W780RU1",1.6,1.5,1.2,1,1.2,1.2,1.1,0.9,1.3,1.3,1.2,1,1.4,1.4,1.3,1.1,1.8,1.8,1.6,1.3,2,1.7,1.6,1.4,2,1.8,1.7,1.3,2.3,2.1,1.8,1.5,2.3,2.7,2.1,1.7,2.6,3,2.2,1.8,3.1,3.5,2.5,1.9,3.1,3.5,2.5,2,3.7,4.2,3.1,2.5,4.6,5.1,3.7,2.7,4.8,5.2,3.7,2.8,5.6,5.9,4.1,3,6.4,6.7,4.6,3.4,6.6,6.9,4.7,3.5,6.8,7.2,4.9,3.8,8.4,9.1,7.3,5.8,9.6,10.5,7.9,6.2,10.4,11.1,8.9,7.5,12.1,12.6,10.3,8.3
"16","8","Income receipts on assets \1\","W009RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.6,0.7,0.6,0.8
"17","9","Current transfer receipts","W011RU1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"18","10","Current surplus of government enterprises \2\","B097RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,-0.1,-0.2,0,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0,0,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.1,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,0,-0.1,-0.1,-0.2,0
"19","11","    Current expenditures","W013RU1",9.2,9.6,9.6,9.1,8.7,9.4,9.8,10.8,10.9,11,10.7,10.8,12.6,10.5,9.2,11,11.6,13,13.9,14.8,14.2,15.3,15.8,16.9,16.2,17.1,15.7,17.8,15.8,16.3,15.1,16.9,15.8,15.8,16.6,17.2,16,17.4,16.1,18.8,18.1,19,18.7,20.2,18.9,20.4,20.5,21.7,19.7,21.4,21.2,21.5,20.6,21.8,21.7,22.7,22.3,24,22.5,24.2,24.3,25.6,25,26.3,25.9,26.3,27.3,27,26.9,28.2,28.2,27.5,27.3,29.1,30.6,30.8,31,33.5,35.9,35.4,37.5,38.8,39.8,40.2,40.7,44.2,44,44.8,42.9,46.5,48,46.7
"20","12","Consumption expenditures","A957RU1",5.2,5.5,5.1,5.1,4.5,5.1,5.3,6.2,6,5.7,5.7,5.9,5.6,5,5,6.4,7,8,9.5,9.9,9.9,10.7,11.2,12.5,11.6,12.3,11.2,13.2,10.9,11.1,10.2,11.7,10.4,10.4,11.3,11.8,10.4,11.6,10.4,12.6,11.9,12.1,11.9,13.5,11.8,12.8,12.3,13.9,11.3,13.1,12.8,12.8,11.6,12.4,12.7,13.1,12.2,13.3,12.5,13.6,13.4,15,14.3,15,14.3,15.1,15.8,15.6,14.8,16.4,16.1,15.5,14.8,16.3,16.7,17.9,17,18.9,20.1,19.7,20.6,22.1,21.4,22.8,22.7,24.6,23,25.1,23.1,25.3,25.1,24.8
"21","13","Current transfer payments","W014RU1",2.8,2.8,3.5,2.9,3.1,3.1,3.3,3.3,3.8,4,3.8,3.6,5.7,3.9,2.9,3.2,3.2,3.4,3.2,3.4,2.9,3.1,3.3,3.1,3.2,3.4,3.2,3.4,3.6,3.6,3.7,3.9,4.2,4,3.9,4,4.1,4.2,4.2,4.3,4.6,4.9,4.8,5.1,5.6,6,5.9,6,6.7,6.5,6.5,6.6,6.8,7,6.8,7,8,8.1,7.7,7.6,8.4,8.1,7.9,8,9,8.7,8.3,8.3,9.2,9,8.6,8.6,9.3,9.8,9.9,9.5,10.7,11.2,10.9,11.6,13,13.1,13.4,13.3,14.1,15.5,14.8,15.2,15.6,16.8,16.1,16.9
"22","14","  Government social benefits","W015RU1",2,1.9,2.5,2,1.9,1.8,1.7,1.8,2,2.1,2,2.1,4.3,2.4,1.7,1.9,1.9,2,2,2,2,1.9,2.1,2.1,2.2,2.1,2.1,2.3,2.6,2.7,2.6,2.8,3,2.9,2.8,2.8,3.1,3.1,3,3.1,3.5,3.7,3.5,3.8,4.5,4.8,4.5,4.4,4.8,4.6,4.5,4.6,5,5,4.9,5.2,6.1,5.9,5.7,5.6,6.2,5.9,5.8,5.9,6.7,6.2,6,6.1,6.7,6.3,6.2,6.2,6.9,6.6,7.3,7,7.5,7.2,7.5,8.2,9.2,9.2,9.3,9.4,10.2,10.7,10.7,10.8,11.5,11.6,11.5,11.7
"23","15","    To persons","B087RU1",2,1.9,2.5,2,1.9,1.8,1.7,1.8,2,2.1,2,2.1,4.3,2.4,1.7,1.9,1.9,2,2,2,2,1.9,2.1,2.1,2.2,2.1,2.1,2.3,2.6,2.7,2.6,2.8,3,2.9,2.8,2.8,3.1,3.1,3,3.1,3.5,3.7,3.5,3.8,4.5,4.8,4.5,4.4,4.8,4.6,4.5,4.6,5,4.9,4.9,5.1,6,5.9,5.7,5.6,6.1,5.8,5.7,5.9,6.6,6.1,5.9,6,6.6,6.3,6.1,6.2,6.8,6.5,7.2,6.9,7.4,7.1,7.3,8.1,9.1,9,9.1,9.3,10.1,10.5,10.5,10.7,11.4,11.5,11.3,11.6
"24","16","    To the rest of the world \3\","W016RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2
"25","17","  Other current transfer payments","W010RU1",0.8,0.9,1,0.9,1.2,1.2,1.7,1.5,1.7,1.9,1.8,1.6,1.4,1.5,1.2,1.3,1.2,1.4,1.2,1.4,0.9,1.2,1.2,1,1,1.2,1.1,1.1,1,0.9,1.1,1.2,1.2,1.1,1.1,1.2,1,1.1,1.2,1.2,1.1,1.2,1.2,1.3,1.1,1.2,1.4,1.6,1.9,1.9,2,1.9,1.8,2,1.8,1.9,1.9,2.1,2,2,2.2,2.2,2.1,2.1,2.3,2.5,2.2,2.2,2.4,2.6,2.4,2.3,2.5,3.1,2.6,2.6,3.2,4,3.4,3.4,3.8,3.9,4.1,3.9,3.9,4.8,4.1,4.4,4.1,5.2,4.7,5.1
"26","18","    Grants-in-aid to state and local governments","B089RU1",0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.6,0.7,0.9,1.1,0.9,0.8,1.1,0.9,0.9,1,1.1,1,1.1,1.1,1.2,1.1,1.3,1.2,1.4,1.2,1.4,1.3,1.5,1.4,1.6,1.6,1.7,1.6,1.6,1.9,1.8,1.8,2.3,2.7,2.6,2.5,2.8,2.8,3.1,3,2.9,3.7,3,3.1,3.2,3.9,3.7,3.9
"27","19","    To the rest of the world (net) \3\","W017RU1",0.5,0.5,0.5,0.4,0.8,0.8,1.2,1,1.3,1.5,1.3,1,1,1.1,0.7,0.8,0.8,0.9,0.7,0.8,0.5,0.7,0.6,0.4,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.5,0.5,1,1.1,0.9,1,0.8,1,0.7,0.9,0.8,1.1,0.8,0.9,0.9,1.1,0.8,0.9,0.9,1.2,0.7,0.8,0.8,1.1,0.7,0.8,0.8,1.2,0.8,0.8,0.9,1.3,0.8,0.9,1.1,1.1,0.9,0.9,1,1.1,1.1,1.3,0.9,1.3,1,1.3
"28","20","Interest payments \1\","A091RU1",1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.1,1.2,1.3,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.3,1.5,1.4,1.5,1.3,1.4,1.3,1.4,1.4,1.6,1.6,1.7,2.1,2.2,2,2.1,1.9,2,1.9,2.1,2,2.2,2.1,2.3,2.2,2.4,2.3,2.5,2.4,2.6,2.4,2.6,2.5,2.7,2.6,2.8,2.7,3,2.8,3.2,3,3.2,3,3.4,3.4,3.7,3.5,4,3.6,4,3.8,4.4
"29","21","  To persons and business \1\","B092RU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.1,1.9,2,1.9,1.9,1.8,2,1.9,2.1,2,2.2,2.1,2.3,2.2,2.4,2.3,2.4,2.3,2.5,2.4,2.6,2.4,2.6,2.6,2.8,2.7,3,2.9,3.1,2.8,3.3,3.2,3.6,3.4,3.8,3.5,3.8,3.6,4.2
"30","22","  To the rest of the world","B093RU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"31","23","Subsidies \2\","B096RU1",0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.5,0.3,0.6,0.6,0.1,0.4,0.4,0.7,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.5,0.2,0.5,0.4,0.9,0.5,0.3,0.6,0.9,0.4,0.3,1,0.6,0.6,0.3,1.1,0.7,0.6,0.3,1.5,0.6,0.6,0.4,2.2,0.8,0.7,0.3,2.1,0.7,0.6,0.3,2.7,0.6,0.6,0.3,3,0.6
"32","24","Less: Wage accruals less disbursements","B098RU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","25","    Net federal government saving","A923RU1",4.9,-0.4,0.2,0.6,5.5,-0.3,0,-1.5,1,-2.9,-1.3,-2.3,-0.2,0.1,3.8,1.9,7.9,1.4,0.5,-0.2,5.6,-0.2,-0.1,-1.5,4.9,-1.3,1.4,-3.2,3.4,-2.7,-0.1,-2.3,2,2.7,1.1,-0.2,3.5,2.8,2.2,-1,2.7,2.6,0.7,-2.7,-0.1,-0.5,-1.6,-3.1,1.4,2.9,0.2,-1.2,3.1,4.9,0.9,-1.9,-0.1,2.9,0.9,-1.2,0.8,4.3,0,-2.7,1.1,5.4,-0.2,-1,0.7,3.9,-1.3,-2.4,2,6.5,-1.8,-3.5,1.3,6.6,-2.7,-3,-1.1,2,-3.8,-6.4,-1.1,2.7,-0.3,-3.8,3.7,8.3,-0.3,-3.2
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross government investment","A787RU1",0.4,0.4,0.5,0.5,0.7,0.7,0.7,0.9,0.9,1,1.2,1.2,0.9,0.9,1.1,1.1,1.6,2.3,3,3.8,3.6,3.6,3.8,3.9,4,4.2,4.1,3.8,3.7,3.5,3.1,3,2.8,2.9,2.7,2.6,2.7,2.7,3.1,3.1,3,2.8,3,3.1,3,3,3.4,3.6,4,3.8,4,3.6,3.6,3.5,3.7,3.6,4,3.9,4.1,4.2,4.3,4.3,4.5,4.4,3.9,4,4.3,3.9,3.9,3.9,4,3.9,3.7,3.6,3.8,3.7,4,3.8,4.4,4.4,4.5,4.2,4.6,4.4,4.1,4.1,4,3.8,4.2,3.6,3.8,3.3
"36","27","  Consumption of fixed capital","A918RU1",2.3,2.2,2.2,2.1,2,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,3,3,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.5,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Beginning with 1959, includes royalties paid from production on the Outer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Continental Shelf.  Beginning with 1960, includes interest receipts.  Prior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
