"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Income taxes","W833RC1",1.1,1.3,1.5,2,2,2.3,2.5,2.8,3.2,3.4,3.6,3.5,4.3,4.9,5.1,5.6,6,6.8,6.8,9.1,9.4,10,10.3,11.4,11.3,12,13.3,13.7,14.9,16.2,17.1,18.1,17.6,17.1,18.2,20.3,22.5,23.1,25.3,26.8,23.9
"12","5","    Other","W834RC1",0.9,0.9,1,1,1,1.1,1.2,1.3,1.3,1.5,1.5,1.7,1.8,2,2.1,2.2,2.2,2.1,2.3,2.6,2.8,3,3.2,3.3,3.5,3.8,3.9,4.1,4.3,4.6,4.8,5,5.3,5.7,6.1,6.9,7.5,8.1,8.3,8.4,8.6
"13","6","  Taxes on production and imports","W8735C1",36.1,40.6,45.2,48.8,52.7,56.4,61.4,67.3,73.6,75.3,77.3,83.3,93,103,112.1,122.7,133.1,144.7,157.3,169.4,185.6,198.7,214.5,224.2,230.5,245.4,251,262.9,278.4,290,307.1,326.5,341.6,366.4,388.6,416.8,446,478.6,507.9,523.6,533.5
"14","7","    Sales taxes","W836RC1",2.9,3.5,4,4.6,5.2,6.1,7,7.9,9,10.2,11.5,12.8,14.3,15.9,17.7,20.1,22.1,24.1,25.7,27.2,30.1,31.8,33.2,34.6,37,39.7,42.2,44.4,47.4,50.6,55.6,61.3,61.9,63.2,66.8,70.2,76.5,84.2,88.5,88.9,85.6
"15","8","    Property taxes","W837RC1",31.9,35.7,39.5,42.2,45.2,47.9,51.9,56.7,61.7,61.8,62.1,66.2,74.4,82.5,88.9,96.3,104,112.6,122.7,132.7,145.6,157,171.1,178.6,181.3,192.4,195.3,204.2,215.5,222.5,233.7,246.9,260,281.7,297.7,318.4,337.8,360.3,386.2,401.9,414.7
"16","9","    Other","W838RC1",1.4,1.5,1.8,2,2.3,2.4,2.5,2.7,2.9,3.3,3.7,4.2,4.3,4.6,5.5,6.3,7,8.1,8.9,9.4,10,9.9,10.2,11,12.1,13.3,13.4,14.4,15.6,16.9,17.8,18.3,19.8,21.5,24.2,28.2,31.7,34.1,33.2,32.8,33.2
"17","10","  Taxes on corporate income","W839RC1",0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,1,1,1,1.4,1.5,2,2.1,2.3,1.8,2,2.1,2.1,2.4,2.5,2.5,3.1,3.1,3.4,3.5,3.5,3,3.1,3.5,4.6,5.8,7.2,7,5.7,7.2
"18","11","Contributions for government social insurance","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","Income receipts on assets","W841RC1",2.2,2.6,2.8,3,3.9,5.2,5.6,5.1,5.6,7.2,9.8,12.9,16.4,19.2,21.9,25.2,28.9,31.1,29.9,30,33.3,34.5,33.6,30.9,28.8,29.5,31.9,34.2,36.4,38.1,38.7,44.8,43.1,36.7,31.9,32.6,37.7,44,51.2,50.9,51.3
"20","13","  Interest receipts","W842RC1",1.8,2.2,2.3,2.4,3.3,4.5,4.9,4.4,4.9,6.5,8.9,11.8,15.3,17.8,19.8,22.8,26.2,27.5,27.2,28.3,31.6,32.7,31.6,28.8,26.7,27.5,29.9,32.2,34.3,35.9,36.2,42.1,40.3,33.8,28.7,29.2,33.9,40.1,47.1,46.6,46.7
"21","14","  Dividends","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Rents and royalties","W844RC1",0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.9,1.1,1.1,1.4,2.1,2.4,2.7,3.5,2.7,1.7,1.7,1.8,1.9,2,2.1,2,2,2,2.1,2.2,2.5,2.7,2.8,2.9,3.2,3.4,3.8,3.9,4,4.3,4.7
"23","16","Current transfer receipts","W845RC1",27.7,33.6,38.2,44.4,51.8,56.6,65,72.6,79.9,91.4,97.8,106.4,111.3,114.8,119.5,130.6,142.7,152.4,157.4,168.8,178.8,189.6,203.5,218.6,233.1,250.3,265.9,280.9,297.6,321,348.6,373.7,395.2,415.2,447.5,456.1,476.6,500.9,528,548.1,562
"24","17","  Federal grants-in-aid","W846RC1",1.3,3.2,3.8,5.9,9,8.7,11.2,13.6,16,20.4,18.1,17.6,14.8,13.5,13,13.3,13.6,13.2,9,9.5,6.8,6.7,7,7.4,8.1,9.9,10.6,12.7,14.1,18,20.2,20.6,22.5,23.8,36.5,28.7,31.1,26.6,27,24.9,23.4
"25","18","  State government grants-in-aid","W847RC1",25.4,29.2,33,36.9,41.1,45.9,51.4,56.2,60.7,67.3,75.4,83.8,90.4,94.5,99,108.7,120,128.9,137.8,148.1,159.5,169.4,181.9,194.8,206,218.9,231.6,242.4,255.1,273.3,296.4,318.7,336.7,351.9,366.7,379.5,397.8,423,445.9,463.4,474.5
"26","19","  From business (net)","W848RC1",0.4,0.4,0.5,0.5,0.7,0.9,1,1.1,1.3,1.5,1.8,2,2.4,2.7,3,3.4,3.5,3.9,4,4.3,5.1,5.5,5.9,6.7,7.7,8.6,9.4,10.2,11.1,11.8,12.7,13.5,13.7,15.4,17.2,18.8,18.1,20,21.7,24.1,25.6
"27","20","  From persons","W849RC1",0.7,0.8,0.9,1.1,1,1.1,1.4,1.7,1.9,2.2,2.6,3,3.7,4.1,4.5,5.2,5.7,6.5,6.7,6.9,7.5,8,8.7,9.8,11.4,12.9,14.3,15.7,17.3,17.9,19.3,20.8,22.3,24.1,27.1,29.1,29.6,31.3,33.4,35.8,38.5
"28","21","Current surplus of government enterprises","W850RC1",0.9,0.9,0.8,1.1,1,0.7,0.5,0.4,0.3,0.2,-0.3,-0.9,-1.7,-1.1,-0.1,1.2,2.3,2,2.7,4,5.3,5.6,6.1,6.6,7.5,7.9,10.5,12.7,11.8,10.5,12,10.4,8.9,7.5,3.6,-0.1,-1.1,-0.5,-3.8,-5.9,-3.1
"29","22","    Current expenditures","W851RC1",62.4,72,81.6,90.6,100.4,112.5,129.1,140.9,153.9,168.5,182.8,201,219.4,237.9,256,275.9,304,336.1,354.4,375,402.5,435.3,463.4,488.6,508.3,533.3,559,583.8,609.5,638.7,674,721.1,767.8,812.6,862,900.7,953.2,1011.6,1086,1140.2,1114.6
"30","23","Consumption expenditures","W852RC1",56.6,64.9,72.9,80.6,89.5,100.1,114.1,123.9,135.3,148.5,161.3,177.2,192.5,208.2,221.5,237.4,263,293.7,305.8,324.1,346.5,375.5,397.9,419.9,438.4,460.4,484.2,506.6,529.3,556.6,590.1,632.8,675.3,717.4,763,799.5,851.4,907.9,973.3,1021.5,994.6
"31","24","Current transfer payments","W853RC1",3.2,4.1,5,5.6,5.9,6.7,8.3,9.5,10.4,11.3,11.1,12.3,13,13.3,15.2,16.4,17.2,18.2,18.8,19.6,20.7,22.9,26.5,29.5,31.7,33.4,34,33.8,34.2,34.5,34.9,37,38.9,41.3,43.8,46.7,47.5,46.7,50.7,53,55
"32","25","  Government social benefit payments to persons","W854RC1",2.4,3.2,4,4.5,4.7,5.4,6.6,7.3,8,8.7,8.9,9.9,10.4,10.2,11,11.4,12.1,12.9,13.4,14.1,15,16.6,18.9,20.5,21.6,22.4,22.9,21.8,20.8,21.1,22.1,23,24,25.8,27.3,29.1,30.9,31.7,33.6,35.1,36.6
"33","26","  Grants-in-aid to state governments","W855RC1",0.8,0.9,1,1.1,1.2,1.3,1.7,2.3,2.4,2.5,2.2,2.3,2.7,3.1,4.2,5,5.2,5.3,5.5,5.6,5.8,6.2,7.6,9,10.1,11,11.1,12,13.5,13.3,12.9,14,14.9,15.5,16.4,17.6,16.6,15,17.1,17.9,18.4
"34","27","Interest payments","W856RC1",2.5,3.1,3.8,4.3,4.9,5.6,6.4,7.2,7.9,8.6,9.9,11.2,13.4,15.8,18.8,21.5,23,23.1,28.6,30,34,35.6,37.7,37.9,36.8,38.2,39.4,42,44.5,46,47.4,49.7,51.9,52.2,53.8,52.9,52.4,54.7,59.7,63.4,62.7
"35","28","Subsidies","W857RC1",0,0,0,0,0,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,1,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.6,1.5,1.6,1.6,1.7,1.6,1.4,1.6,1.9,2.2,2.2,2.3,2.4
"36","29","Less: Wage accruals less disbursements","W858RC1",0,0,0.1,-0.1,0,0,0,0,0,0.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","30","    Net local government saving","W859RC1",6.9,8.3,8.2,9.9,12.4,10.1,7.4,9.1,10.6,11.2,7.7,6.6,6.8,5.8,5.7,13.1,12.8,4.9,4.1,11.1,14.6,8.1,9.9,8.5,8.8,18.1,19.9,27.7,37,45.2,57.9,61,46.8,39.1,37.6,36.6,41.9,49.9,37.9,17.4,68.8
"38","31","Social insurance funds","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","Other","W861RC1",6.9,8.3,8.2,9.9,12.4,10.1,7.4,9.1,10.6,11.2,7.7,6.6,6.8,5.8,5.7,13.1,12.8,4.9,4.1,11.1,14.6,8.1,9.9,8.5,8.8,18.1,19.9,27.7,37,45.2,57.9,61,46.8,39.1,37.6,36.6,41.9,49.9,37.9,17.4,68.8
"40",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","  Total receipts","W862RC1",72.4,83.2,93.1,104.2,117,128.3,143,157.4,172.8,188.4,200.5,218.5,237.3,254.5,272.4,300.3,328.2,352.9,370.3,397.7,429.1,456.1,486.4,510.6,531,565.6,594.9,628.3,663.8,701.3,750.3,802.3,838.3,874.5,923.1,961.6,1021.1,1085.7,1150.8,1184.9,1214.4
"42","34","    Current receipts","W830RC1",69.2,80.3,89.8,100.5,112.8,122.6,136.5,150.1,164.5,179.6,190.4,207.6,226.1,243.7,261.7,288.9,316.8,341,358.5,386.1,417.1,443.3,473.3,497.1,517.1,551.4,578.9,611.5,646.5,683.8,731.8,782,814.6,851.7,899.6,937.2,995,1061.5,1123.9,1157.6,1183.5
"43","35","    Capital transfer receipts","W864RC1",3.2,2.9,3.4,3.7,4.2,5.7,6.5,7.3,8.3,8.8,10.1,10.9,11.1,10.8,10.8,11.3,11.4,11.9,11.8,11.6,12,12.7,13.1,13.5,13.9,14.2,16,16.7,17.3,17.5,18.5,20.2,23.7,22.8,23.5,24.4,26.1,24.2,26.9,27.3,30.9
"44","36","  Total expenditures","W865RC1",73.9,82.4,91.9,100.4,111.5,127,145.6,156.9,168.5,186.8,203.3,224.1,240.9,258.2,275.8,298.8,331,367.3,387.1,410.2,442.3,481.3,510.5,534.7,551.2,577.4,608.8,639.9,673.2,705.5,750.6,804.3,857.4,910.5,962.8,1001.9,1054.3,1121.5,1208.5,1267.2,1230.8
"45","37","    Current expenditures","W851RC1",62.4,72,81.6,90.6,100.4,112.5,129.1,140.9,153.9,168.5,182.8,201,219.4,237.9,256,275.9,304,336.1,354.4,375,402.5,435.3,463.4,488.6,508.3,533.3,559,583.8,609.5,638.7,674,721.1,767.8,812.6,862,900.7,953.2,1011.6,1086,1140.2,1114.6
"46","38","    Gross government investment","W867RC1",15.9,15.4,16,16,18.1,23.1,26.6,27.1,26.7,31.7,35.7,40.5,41.2,41.8,42.4,46.3,51.6,57.2,60.4,64.9,71.5,79.9,83.5,84.5,83.9,87.3,95.7,105,115.4,120.2,133.3,144.8,154.1,165.2,171.7,178.5,185.8,201.8,222.7,235.7,231.5
"47","39","    Capital transfer payments","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","    Net purchases of nonproduced assets","W868RC1",0.8,0.9,0.9,0.9,1.1,1,1,0.9,0.9,1,1.2,1.4,1.5,1.4,1.4,1.7,2,2.4,2.6,2.8,3.3,4,4,4,4.2,4.6,5,4.4,4.2,5.6,6.2,6,7.5,8,8,8.2,8.5,9,10.1,10.3,9.8
"49","41","    Less: Consumption of fixed capital","W869RC1",5.3,5.9,6.6,7.2,8,9.6,11.2,12,13,14.4,16.3,18.7,21.1,22.9,24,25.1,26.6,28.4,30.3,32.4,34.9,37.8,40.3,42.4,45.1,47.9,50.8,53.3,56,59,62.8,67.7,71.9,75.3,78.9,85.4,93.2,100.8,110.3,119.1,125.1
"50","42","  Net lending or net borrowing (-)","W870RC1",-1.5,0.8,1.2,3.8,5.5,1.3,-2.5,0.5,4.3,1.6,-2.8,-5.6,-3.6,-3.7,-3.4,1.5,-2.8,-14.4,-16.8,-12.5,-13.2,-25.3,-24.1,-24.1,-20.2,-11.7,-13.9,-11.7,-9.4,-4.1,-0.3,-2,-19.1,-36.1,-39.7,-40.3,-33.2,-35.9,-57.8,-82.3,-16.5
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
