"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Taxes on production and imports \2\","W007RC1",1.1,1,0.8,0.9,1.6,2.1,2.1,2.2,2.4,2.2,2.3,2.6,3.5,4,4.8,6,6.9,7.7,7.7,7.8,7.9,8.7,9.2,10.1,10.7,9.5,10.4,11,11.5,11.2,12.2,13.1,13.2,14.1,14.7,15.4,15.4,14.4,15.2,16.9,17.8
"12","5","    Excise taxes","B234RC1",0.6,0.5,0.5,0.6,1.2,1.8,1.7,1.7,1.8,1.7,1.8,2.1,2.8,3.4,4.1,5.2,6.2,7.2,7.2,7.4,7.5,8.2,8.6,9.6,10.1,9,9.8,10.2,10.7,10.4,11.2,12,12.1,12.9,13.5,14.1,13.8,12.6,13.3,14.6,15.4
"13","6","    Customs duties","B235RC1",0.6,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.8,1,1.1,1,1.2,1.2,1.3,1.6,1.9,1.9,2.3,2.4
"14","7","  Taxes on corporate income","B075RC1",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.7,11.8,9.6,17.2,21.7,18.6,19.5,16.9,21.1,20.9,20.4,18,22.5,21.4,21.5,22.5,24.6,26.1,28.9,31.4,30,36.1,36.1
"15","8","    Federal Reserve banks","B677RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3
"16","9","    Other","A678RC1",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.6,11.6,9.4,17,21.4,18.3,19.1,16.6,20.8,20.5,19.9,17.4,21.6,20.6,20.8,21.7,23.7,24.6,27.6,29.8,28.1,33.6,33
"17","10","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"18","11","Contributions for government social insurance","W780RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.5,5.4,4.4,4.7,5.3,6.4,6.7,6.8,7.8,8.8,9.6,11,11,13.5,16,16.6,18.6,21.1,21.8,22.7,30.6,34.1,37.9,43.3
"19","12","Income receipts on assets","W009RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.4,1.5,1.7,1.8,1.8,1.9,2.1,2.5,2.9,2.7
"20","13","  Interest receipts \3\","B094RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.6,1.7,1.7,1.8,2,2.3,2.7,2.5
"21","14","  Dividends","W053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Rents and royalties \4\","B1040C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
"23","16","Current transfer receipts","W011RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,1.1,1.2,1.1,1.1,1.1
"24","17","  From business","W012RC1",0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,1,1.1,1,1,1.1
"25","18","  From persons","B233RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1
"26","19","Current surplus of government enterprises \5\","B097RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.3,-0.5,-0.5,-0.3,-0.3,-0.3,-0.6,-0.6,-0.3,-0.4
"27","20","    Current expenditures","W013RC1",2.6,2.7,4,3,3.4,5.5,5.6,7.8,6.4,7.3,8.3,8.5,12.7,31,52.6,66.9,70.4,44.4,37.5,38.7,43.5,43.2,53.2,62.1,66.8,64.2,65.4,68.3,76.1,81.5,83.7,86.8,92.9,101.2,106.5,110.9,117.7,135.7,156.2,173.7,184.1
"28","21","Consumption expenditures","A957RC1",1.5,1.6,1.5,1.4,1.7,2.4,2.2,4.3,3.9,4.5,4.9,4.9,9.4,27.1,48.2,61,60.7,26.9,20.8,21.2,23.3,22,34.4,44.2,48.3,43.9,43.9,45,49.5,50.9,49.9,49.7,51.6,57.8,60.8,62.8,65.7,75.7,87,95.3,98.3
"29","22","Current transfer payments","W014RC1",0.8,0.8,2,1,1.1,2.2,2.3,2.7,1.5,1.8,2,2.1,1.9,2.1,1.9,2.4,5.2,11.9,11.9,12.8,15.2,15.7,13.1,12.4,13.1,14.9,16.1,16.9,19.4,23.5,26.4,27.6,31.4,32.5,34.2,35.4,38.5,44.4,52.8,59.7,65.5
"30","23","  Government social benefits","W015RC1",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,20.1,23.4,23.8,25,25.5,27.7,30.3,37.1,42.4,46.3
"31","24","    To persons","B087RC1",0.6,0.7,1.7,0.9,0.6,0.5,0.5,2,0.7,1.1,1.1,1.3,1.2,1.3,1.1,1.7,4.1,8.7,8.4,7.2,8.2,10.2,7.9,8.1,8.7,10.7,11.5,12.3,14.5,18.2,18.6,19.9,23.1,23.5,24.6,25.2,27.3,29.9,36.5,41.9,45.8
"32","25","    To the rest of the world \6\","W016RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6
"33","26","  Other current transfer payments","W010RC1",0.2,0.2,0.4,0.2,0.5,1.6,1.7,0.8,0.8,0.7,0.9,0.8,0.6,0.9,0.8,0.8,1.2,3.3,3.6,5.6,7,5.5,5.2,4.3,4.3,4.2,4.6,4.6,4.9,5.3,7.8,7.5,8,8.7,9.2,9.9,10.8,14.1,15.7,17.3,19.1
"34","27","    Grants-in-aid to state and local governments","B089RC1",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.7,0.9,0.7,0.6,0.8,0.9,0.9,0.8,1,1.6,1.7,1.9,1.9,2,2.2,2.3,2.3,2.4,2.5,2.9,3.3,3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6
"35","28","    To the rest of the world (net) \6\","W017RC1",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.2,2.2,2.1,1.9,2.2,2,2,2,4,3.5,3.5,3.6,3.6,3.4,3.6,4,4,4.5,4.5
"36","29","Interest payments \3\","A091RC1",0.2,0.2,0.3,0.3,0.4,0.5,0.4,0.4,0.6,0.5,0.5,0.7,0.8,1,1.6,2.2,3.1,4,4.1,4.2,4.3,4.5,4.6,4.6,4.7,4.8,4.8,5.2,5.7,5.4,6.3,8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8
"37","30","  To persons and business \3\","B092RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.6,8.3,8.9,9.6,10.1,11.1,12.1,13.9,15
"38","31","  To the rest of the world","B093RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8
"39","32","Subsidies \5\","B096RC1",0.1,0.1,0.2,0.1,0.2,0.5,0.7,0.4,0.4,0.6,0.9,0.9,0.6,0.7,0.8,1.3,1.4,1.6,0.6,0.6,0.7,1,1.2,0.9,0.7,0.6,0.6,1.2,1.6,1.8,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.1,4.5
"40","33","Less: Wage accruals less disbursements","B098RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","34","    Net federal government saving","A923RC1",1,0.2,-2.1,-1.3,-0.9,-2.2,-1.9,-3.2,0.2,-1.3,-2.1,-0.3,2.2,-8.7,-14.1,-26.9,-28.9,-5,5.3,3.7,-5.6,5.6,9.7,3.7,1.8,-1.7,5.7,7.5,3.3,-5.4,3.3,7.1,2.6,2.4,5.3,0.9,3.2,2.3,-9.3,-2.4,8.6
"42","35","Social insurance funds","B243RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.7,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.4,-2.3,-0.6,0.8,1.3,0.4,6,4.1,3.2,5.7
"43","36","Other","B244RC1",1,0.2,-2.1,-1.4,-0.9,-2.2,-1.9,-3.5,-1.2,-2.3,-3.1,-1.3,0.6,-10.9,-17.4,-30.7,-33.2,-8.2,2.1,1.3,-7.1,5.8,7,1.1,-0.3,-2.9,4.1,5.8,2.2,-2.8,3.9,6.7,4.9,3,4.5,-0.3,2.8,-3.7,-13.4,-5.6,2.9
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Total receipts","W018RC1",3.8,3,2,1.7,2.6,3.5,3.9,5,7,6.4,6.6,8.5,15.3,22.7,38.9,40.6,42.2,40.2,43.6,43.3,38.6,49.4,63.6,66.7,69.5,63.4,72,77.1,80.8,77.4,88.4,95.7,97.4,105.7,114,114.4,123.8,141,150,174.4,196.2
"46","38","    Current receipts","W005RC1",3.7,2.9,1.9,1.6,2.6,3.4,3.7,4.6,6.6,6,6.3,8.2,14.9,22.3,38.5,40.1,41.5,39.5,42.8,42.4,37.9,48.8,62.9,65.8,68.6,62.5,71.1,75.8,79.3,76.1,87,93.9,95.5,103.6,111.8,111.8,121,138,146.9,171.3,192.7
"47","39","    Capital transfer receipts","B232RC1",0.1,0.1,0.1,0,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.7,0.6,0.7,0.8,0.9,0.9,1,1.3,1.4,1.3,1.4,1.8,2,2.1,2.2,2.6,2.8,3,3.1,3.1,3.6
"48","40","  Total expenditures","W019RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7,101.7,110.8,114.7,118.9,124.3,144.3,164.1,180.1,189.7
"49","41","    Current expenditures","W013RC1",2.6,2.7,4,3,3.4,5.5,5.6,7.8,6.4,7.3,8.3,8.5,12.7,31,52.6,66.9,70.4,44.4,37.5,38.7,43.5,43.2,53.2,62.1,66.8,64.2,65.4,68.3,76.1,81.5,83.7,86.8,92.9,101.2,106.5,110.9,117.7,135.7,156.2,173.7,184.1
"50","42","    Gross government investment","A787RC1",0.2,0.3,0.3,0.4,0.6,0.9,1.2,1.2,1.2,1.2,1.1,1.6,8.6,27,38.2,35.9,23.3,1.9,1.8,3,4.4,3.9,10.7,15,16.1,13.3,10.9,11.6,11.9,12.9,15.4,14.3,16.3,17.4,16.1,15.6,14.7,16.7,17.7,16,15
"51","43","    Capital transfer payments","W020RC1",NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1.3,2.3,3.1,2.6,2.9,3.1,3.6,4.1,4,4.4,4.3,6,5.9
"52","44","    Net purchases of nonproduced assets","AD08RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.5,0.6,0.5,0.6,-0.2,-0.9,0.1
"53","45","    Less: Consumption of fixed capital","A918RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.8,2.1,4.8,7.5,8.7,9.3,8.8,7.5,6.6,5.8,6.1,6.8,7.6,8.2,8.6,9.2,9.7,9.9,10.2,10.6,10.9,11.5,12.1,12.3,12.6,13.1,13.9,14.7,15.4
"54","46","  Net lending or net borrowing (-)","AD02RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-4.3,-5.1,-0.6,-4.5,-0.5,-3.3,-14.1,-5.7,6.6
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Prior to 1960, interest payments to persons and business (line 29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","and interest receipts (line 13) are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","included in interest payments (line 28), which is shown net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4. Beginning with 1959, includes royalties paid from petroleum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","production on the Outer Continental Shelf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Prior to 1959, subsidies (line 31) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","government enterprises (line 18) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","(line 24) are included in line 27, ""other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
