"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"34","27","  State and local","B842RG3",5.842,5.477,4.893,3.905,4.546,5.361,5.147,5.601,5.692,5.657,5.515,5.494,6.1,7.17,7.732,7.547,7.462,8.148,9.511,10.651,10.456,10.054,11.59,11.92,11.841,11.477,11.457,12.605,13.156,12.929,12.962,12.774,12.805,13.064,13.267,13.422,13.791,14.369,14.825,15.525,16.631
"35","28","    New","B843RG3",5.864,5.494,4.909,3.912,4.586,5.415,5.194,5.656,5.738,5.701,5.556,5.526,6.137,7.227,7.792,7.591,7.479,8.152,9.501,10.646,10.448,10.034,11.58,11.91,11.827,11.456,11.429,12.594,13.157,12.927,12.961,12.765,12.8,13.066,13.271,13.424,13.792,14.372,14.828,15.523,16.632
"36","29","      Buildings","B844RG3",4.688,4.341,3.763,3.127,3.068,3.534,3.475,3.65,4.227,4.345,4.278,4.422,4.822,5.126,5.51,5.759,6.116,7.004,8.739,9.666,9.461,9.443,10.613,10.892,10.948,10.72,10.904,11.788,12.233,11.916,12.51,12.605,12.603,12.739,12.779,12.934,13.242,13.679,14.048,14.658,15.977
"37","30","        Residential","B845RG3",5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.61,5.244,5.297,5.769,6.242,6.661,7.346,7.872,8.551,9.653,10.486,10.636,10.913,11.667,12.013,12.084,12.163,12.474,12.807,12.872,12.879,12.968,12.997,12.983,13.072,12.961,12.991,13.228,13.687,13.98,14.681,16.102
"38","31","        Industrial","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RG3",4.303,3.984,3.454,2.87,2.816,3.243,3.189,3.352,3.881,3.99,3.936,4.092,4.465,4.676,4.995,5.151,5.47,6.427,8.475,9.422,9.169,9.105,10.343,10.606,10.658,10.387,10.557,11.46,11.925,11.583,12.222,12.322,12.322,12.462,12.519,12.681,12.988,13.419,13.782,14.371,15.658
"40","33","        Hospital","B848RG3",4.311,3.995,3.461,2.874,2.822,3.25,3.197,3.356,3.89,3.995,3.942,4.101,4.476,4.687,5.004,5.162,5.478,6.434,8.495,9.433,9.182,9.114,10.346,10.607,10.658,10.394,10.564,11.464,11.925,11.582,12.224,12.325,12.324,12.464,12.519,12.688,12.983,13.413,13.793,14.375,15.696
"41","34","        Other \5\","B849RG3",4.455,4.124,3.575,2.97,2.914,3.357,3.3,3.463,4.012,4.124,4.068,4.23,4.617,4.835,6.078,6.571,7.064,6.651,8.776,9.756,9.494,9.428,10.71,10.984,11.039,10.763,10.939,11.875,12.357,12.003,12.665,12.769,12.769,12.914,12.973,13.138,13.462,13.888,14.284,14.91,16.226
"42","35","      Highways and streets \9\","B851RG3",7.242,6.727,5.985,4.56,5.698,6.607,6.38,7.008,6.493,6.266,6.092,5.919,6.775,8.822,9.959,9.103,8.702,9.324,10.631,11.909,11.497,10.368,12.701,13.062,12.568,11.869,11.534,13.041,13.604,13.289,13.219,12.704,12.768,13.181,13.539,13.689,14.149,14.926,15.462,16.287,17.241
"43","36","      Conservation and development","B857RG3",5.477,5.317,4.892,4.146,4.947,5.637,5.637,5.797,6.222,6.222,6.222,6.167,6.272,6.487,6.912,7.393,7.818,8.138,9.268,10.405,10.723,10.109,10.73,11.41,11.723,11.549,11.329,12.197,13.102,13.064,12.809,12.731,12.892,13.057,13.27,13.448,13.783,14.225,14.768,15.412,16.282
"44","37","      Sewer systems","B858RG3",4.645,4.586,4.226,3.572,3.69,4.462,4.344,4.88,5.181,5.417,5.24,5.299,5.594,5.77,5.711,6.725,6.549,6.909,7.89,9.041,9.296,9.793,10.435,10.737,11.332,11.57,11.985,12.86,13.675,14.069,11.973,11.988,12.109,12.462,12.72,12.946,13.122,13.565,13.996,14.596,15.581
"45","38","      Water systems","B859RG3",4.806,4.743,4.372,3.693,3.815,4.615,4.493,5.05,5.357,5.601,5.415,5.479,5.786,5.972,5.908,6.952,6.766,7.137,8.146,9.334,9.601,10.115,10.786,11.103,11.723,11.97,12.401,13.303,14.148,14.557,14.259,14.391,14.469,14.377,14.335,14.194,14.601,14.965,15.2,15.842,16.482
"46","39","      Other \7\","B860RG3",6.088,5.798,5.568,4.99,5.572,8.181,6.731,7.426,8.062,8.062,7.772,7.597,8.12,8.643,7.713,7.365,7.83,9.048,10.368,11.67,11.625,10.675,12.227,12.815,12.704,12.272,11.952,13.198,13.943,13.776,13.805,13.654,13.542,13.719,13.929,14.253,14.582,15.209,15.885,16.53,17.688
"47","40","    Net purchases of used structures","B870RG3",4.736,4.546,4.018,3.368,3.25,3.669,3.671,3.848,4.328,4.385,4.342,4.535,4.976,5.529,5.985,6.126,6.488,7.409,9.191,9.988,9.973,10.075,11.067,11.369,11.474,11.433,11.653,12.281,12.497,12.355,12.355,12.371,12.295,12.356,12.518,12.727,13.08,13.599,14.031,14.806,15.765
"48","41","Equipment and software \2\","A871RG3",29.293,28.53,26.7,26.272,25.381,26.238,28.3,26.884,27.514,26.804,26.691,27.754,31.179,27.601,26.982,25.083,23.001,25.33,28.158,29.834,30.504,31.602,33.828,34.273,33.34,33.993,35.316,38.248,40.01,40.344,41.016,41.127,41.674,42.167,42.604,42.903,42.502,42.928,43.856,45.043,46.848
"49","42","  Federal","B872RG3",27.488,26.333,24.912,25.102,23.346,24.35,27.476,25.567,24.972,24.01,24.07,25.202,28.679,25.277,24.709,22.964,21.05,23.165,25.43,26.782,27.476,28.489,30.372,30.787,29.901,30.487,31.535,34.268,36.173,36.558,37.387,37.486,38.033,38.547,38.982,39.269,38.805,39.151,39.976,41.012,42.741
"50","43","    National defense","B873RG3",21.041,19.576,17.617,17.904,16.367,18.037,19.195,18.581,21.055,21.395,21.339,20.786,23.725,20.229,19.845,18.391,16.878,18.935,21.51,22.868,23.474,24.347,26.055,26.366,25.603,26.173,27.096,29.529,31.179,31.489,32.082,32.09,32.602,32.987,33.27,33.178,33.272,33.563,34.093,34.846,36.449
"51","44","      Aircraft","B874RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","      Missiles","B875RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","      Ships","B876RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","      Vehicles","B877RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","      Electronics and software","B878RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","      Other equipment","B879RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Nondefense","B880RG3",32.642,32.184,32.616,32.42,30.896,31.181,35.525,32.741,29.842,27.864,28.025,31.061,35.437,40.374,34.056,40.122,34.087,33.712,34.455,35.414,36.297,37.561,38.98,40.857,39.809,37.27,37.564,37.234,38.941,40.393,49.042,54.181,53.219,55.573,58.041,63.141,57.665,58.233,61.235,64.322,65.582
"58","51","  State and local","B881RG3",22.599,22.074,20.607,20.162,19.754,20.368,20.038,19.916,22.007,21.858,21.542,22.134,23.527,25.377,24.944,25.224,25.882,28.702,34.364,37.355,37.539,38.711,42.753,42.989,43.047,43.874,48.032,50.287,48.616,48.124,46.28,46.437,46.513,46.306,46.421,46.63,46.902,47.672,48.866,50.514,52.054
"59",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Government enterprise gross fixed investment","A882RG3",4.593,4.463,4.131,3.548,3.767,4.659,4.339,4.753,5.083,5.175,5.012,5.044,5.455,4.985,4.911,5.013,5.835,6.002,6.871,7.676,7.766,7.827,8.499,8.757,8.894,8.883,9.044,9.741,10.188,10.22,10.015,10.004,10.01,15.673,15.85,16.099,12.146,15.639,16.124,15.59,16.585
"61","53","    Federal","A883RG3",18.583,16.994,14.916,12.708,12.362,14.114,14.152,14.865,16.469,16.499,16.343,16.396,18.278,14.266,13.961,14.157,17.331,19.487,22.35,23.593,23.944,23.711,24.693,25.482,25.158,24.149,23.267,25.069,26.701,25.964,27.449,27.86,27.673,27.963,28.675,30.265,29.772,30.66,31.668,33.134,35.054
"62","54","      Structures","B884RG3",6.669,6.099,5.346,4.475,4.346,4.956,4.969,5.22,5.783,5.794,5.739,5.758,6.093,6.222,6.377,6.942,6.908,8.095,9.957,10.85,10.916,10.508,11.456,12.115,12.386,12.179,11.988,13.011,13.816,13.505,13.649,13.623,13.696,13.892,14.04,14.241,14.56,15.025,15.612,16.276,17.35
"63","55","      Equipment and software","B885RG3",42.849,38.784,34.61,34.667,34.743,41.32,42.613,41.455,42.775,37.47,35.323,35.236,46.725,32.268,31.534,31.932,44.236,45.11,44.448,43.903,45.549,47.387,47.076,47.892,46.344,43.343,40.49,43.141,46.171,44.534,50.645,52.695,51.508,51.674,55.44,67.391,56.713,57.975,58.991,62.139,64.972
"64","56","    State and local","A886RG3",3.589,3.492,3.238,2.784,2.994,3.739,3.46,3.803,4.057,4.135,4,4.026,4.339,4.657,4.676,5.019,5.089,5.183,5.93,6.657,6.733,6.803,7.434,7.658,7.813,7.835,8.01,8.627,9.009,9.064,8.814,8.787,8.801,14.318,14.454,14.603,10.731,14.156,14.591,13.987,14.89
"65","57","      Structures","B887RG3",4.27,4.153,3.85,3.285,3.561,4.515,4.162,4.593,4.895,4.994,4.828,4.855,5.235,5.618,5.646,6.087,6.166,6.25,7.133,8.023,8.117,8.194,8.95,9.229,9.424,9.443,9.618,10.375,10.881,10.957,10.702,10.678,10.694,10.835,10.94,11.056,11.301,11.7,12.06,12.59,13.419
"66","58","      Equipment and software","A888RG3",6.435,6.285,5.868,5.741,5.625,5.799,5.706,5.671,6.266,6.224,6.134,6.302,6.699,7.226,7.103,7.182,7.37,8.173,9.777,10.627,10.68,11.013,12.164,12.231,12.247,12.482,13.666,14.307,13.832,13.691,12.174,11.995,12.031,68.44,68.838,69.192,14.725,59.769,61.617,28.556,29.722
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
