"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","  Structures","B009RA3",29.902,29.743,29.945,29.515,30.127,30.967,31.892,32.349,31.74,30.997,29.626,28.813,30.186,31.709,33.545,34.404,34.516,35.688,35.472,34.108,34.149,34.395,34.682,36.01,37.095,37.807,38.017,38.688,39.082,39.353,39.267,39.101,40.312,41.312,42.683,43.738,45.096,46.703,46.999,46.887,46.482,46.45,46.458,46.194,45.328,43.825,42.825,43.486,43.334,44.676,46.005,45.655,47.56,48.124,48.216,50.051,49.824,48.994,49.022,48.764,49.678,51.488,52.844,51.563,49.768,52.126,52.488,53.562,54.952,56.815,58.681,59.147,62.18,66.513,67.213,70.307,71.978,70.59,72.162,69.704,70.424,68.421,69.145,69.26,70.618,70.02,69.568,70.99,72.087,72.659,76.085,75.553
"12","4","    Commercial and health care","W001RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.473,25.754,26.087,26.245,26.291,28.488,29.313,28.259,29.2,29.103,29.204,32.084,33.788,33.536,34.376,34.737,34.236,36.268,42.873,38.669,36.755,37.87,37.067,35.543,36.327,39.555,41.956,42.214,44.942,46.06,46.884,49.734,48.391,44.135,46.094,44.542,45.429,43.774,42.856,44.071,47.158,48.705,48.205,48.704,51.814,53.572,58.429,58.6
"13","5","    Manufacturing","C307RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.798,66.121,56.515,53.273,51.081,53.821,60.242,63.796,72.399,74.893,79.467,83.549,82.003,76.787,72.873,71.884,72.792,82.122,72.072,79.619,69.065,74.315,79.585,84.827,83.068,87.027,96.997,102.857,114.315,127.627,126.96,142.632,153.18,161.339,166.003,155.27,152.28,134.273,141.563,131.145,136.901,132.094,129.158,140.416,143.706,139.051,143.291,140.251
"14","6","    Power and communication","W003RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.273,63.228,61.87,62.931,61.472,60.165,59.603,59.729,61.005,62.06,59.615,60.49,57.366,57.116,57.384,55.938,57.683,56.611,56.863,57.974,58.089,62.147,60.895,63.389,64.854,66.343,67.007,68.041,70.347,72.461,74.291,77.496,80.892,83.438,86.617,84.969,87.273,91.354,92.606,96.202,99.259,99.872,104.044,105.245,101.943,101.187,101.351,103.946
"15","7","    Mining exploration, shafts, and wells","E318RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.148,53.518,50.733,52.436,55.086,55.286,54.084,54.051,52.026,51.205,51.292,50.584,50.263,51.097,53.006,54.513,55.862,56.253,54.633,52.35,51.78,51.859,51.803,50.194,52.077,55.489,55.351,57.419,54.397,58.674,52.828,51.748,53.247,50.621,52.831,49.55,48.941,50.57,49.249,48.403,50.254,48.036,49.555,50.501,48.992,51.368,53.582,52.778
"16","8","    Other structures \1\","W004RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.219,51.605,53.17,55.787,55.663,57.671,60.934,59.547,63.398,64.835,65.132,66.297,65.41,63.87,62.797,61.672,64.561,65.991,64.771,63.665,63.628,67.143,69.263,73.957,77.847,75.649,74.937,72.048,75.849,84.876,88.497,88.634,91.089,88.281,86.063,85.161,86.705,84.206,85.918,86.275,80.501,77.31,73.097,72.408,73.549,74.367,78.119,74.854
"17","9","  Equipment and software","B010RA3",4.483,4.388,4.24,4.487,4.865,4.542,4.484,4.628,4.336,4.125,3.908,3.865,3.931,4.374,4.844,4.768,4.565,4.573,4.674,4.627,4.653,4.716,4.018,4.523,4.842,4.839,5.002,4.85,4.582,4.48,4.693,4.683,4.726,5.145,5.467,5.627,5.349,5.361,5.412,5.399,5.496,5.474,5.667,5.445,4.86,4.615,4.571,4.813,5.076,5.23,5.402,5.393,5.59,5.689,5.451,5.265,5.093,5.336,5.408,5.734,5.884,6.035,6.061,6.089,6.21,6.35,6.634,6.902,7.069,7.214,7.464,7.678,8.268,8.423,8.885,9.243,9.758,10.114,10.178,10.341,9.939,10.05,9.911,10.224,10.613,10.376,10.632,11.002,11.415,11.558,11.741,11.678
"18","10","    Information processing equipment and software","B679RA3",0.147,0.139,0.145,0.142,0.15,0.144,0.141,0.154,0.146,0.132,0.125,0.123,0.127,0.146,0.149,0.16,0.148,0.157,0.167,0.169,0.178,0.198,0.172,0.19,0.202,0.204,0.214,0.193,0.189,0.178,0.182,0.183,0.177,0.196,0.227,0.241,0.226,0.255,0.243,0.249,0.254,0.277,0.3,0.271,0.253,0.237,0.243,0.252,0.256,0.26,0.266,0.294,0.311,0.333,0.327,0.35,0.331,0.364,0.37,0.381,0.408,0.4,0.392,0.407,0.437,0.469,0.495,0.504,0.53,0.538,0.539,0.577,0.588,0.628,0.664,0.713,0.773,0.834,0.883,0.927,0.904,0.913,0.896,0.951,0.97,0.96,0.987,0.983,1.06,1.153,1.235,1.294
"19","11","      Computers and peripheral equipment \2\","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.008,0.009
"20","12","      Software \3\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.003,0.009,0.023,0.036,0.046,0.051,0.049,0.05,0.052,0.057,0.06,0.065,0.073,0.089,0.107,0.135,0.162,0.18,0.184,0.184,0.18,0.176,0.195,0.215,0.244,0.276,0.307,0.341,0.375,0.412,0.419,0.423,0.416,0.426,0.442,0.462,0.482,0.505,0.541,0.6,0.669,0.735
"21","13","      Other \4\","B937RA3",2.17,2.041,2.13,2.091,2.216,2.116,2.07,2.263,2.144,1.948,1.843,1.807,1.877,2.151,2.19,2.353,2.186,2.311,2.455,2.488,2.621,2.911,2.535,2.801,2.975,3.01,3.144,2.835,2.777,2.624,2.677,2.695,2.606,2.889,3.342,3.544,3.331,3.759,3.579,3.664,3.735,4.083,4.42,3.988,3.732,3.488,3.572,3.702,3.771,3.837,3.908,4.257,4.364,4.625,4.446,4.697,4.434,4.896,4.888,5.027,5.361,5.226,4.98,4.964,5.117,5.299,5.441,5.437,5.652,5.74,5.722,6.151,6.156,6.454,6.756,6.951,7.401,7.724,7.886,7.985,7.722,7.759,7.623,8.04,8.174,7.892,7.994,7.899,8.489,9.045,9.579,9.907
"22","14","    Industrial equipment","B680RA3",31.023,28.852,29.063,26.273,28.525,26.747,24.855,26.448,24.125,20.579,19.178,18.24,19.726,23.495,24.001,27.641,23.905,26.023,28.705,27.878,28.2,30.267,25.751,26.478,28.898,30.216,31.262,31.536,30.895,30.831,32.897,31.052,28.521,30.15,31.819,34.226,32.945,33.555,36.11,35.094,35.178,35.042,35.299,33.913,30.864,29.012,27.669,28.657,29.484,28.83,28.926,30.719,31.361,33.678,31.624,30.524,28.571,29.695,29.927,32.203,32.308,32.646,31.334,30.293,31.987,33.554,35.101,36.097,36.774,36.873,38.817,42.079,42.637,44.487,47.076,47.998,49.608,52.674,53.368,53.882,54.388,53.297,50.779,51.904,52.718,51.302,50.565,51.611,53.472,54.568,56.213,55.639
"23","15","    Transportation equipment","B681RA3",15.212,15.561,14.741,16.814,17.498,16.164,15.98,15.226,15.624,16.213,16.215,16.446,15.674,16.497,20.552,18.674,18.603,17.498,16.875,15.603,15.552,14.251,11.884,14.932,16.241,16.801,17.201,17.13,15.51,14.093,14.448,14.945,17.032,18.896,20.084,19.08,17.427,17.022,15.976,17.046,17.614,17.577,18.756,18.159,14.297,12.52,11.986,13.783,15.953,17.669,19.148,16.918,19.106,18.239,18.23,16.212,15.578,16.241,16.954,19.086,19.772,20.64,21.586,21.668,20.295,19.286,19.987,21.424,22.008,22.848,24.494,22.28,27.983,27.805,28.916,30.086,32.167,32.091,30.961,31.02,28.815,30.041,31.323,31.887,36.273,34.763,36.776,38.963,39.836,38.99,37.997,35.815
"24","16","    Other equipment \5\","B862RA3",18.08,18.121,16.519,19.558,22.392,20.88,21.731,23.214,20.238,19.397,17.412,17.211,18.021,20.056,21.115,19.317,19.681,19.281,19.176,20.749,20.553,20.912,18.064,20.174,20.9,18.962,19.715,18.244,16.976,17.89,18.941,19.456,19.502,21.297,21.951,23.282,22.91,21.868,22.584,21.421,21.868,20.607,20.787,20.599,20.046,20.984,21.961,22.056,22.321,22.732,23.033,23.256,22.033,21.848,20.086,19.905,20.546,21.112,20.794,20.566,20.782,22.041,22.578,23.175,24.25,25.157,26.275,27.289,27.506,28.204,28.181,30.159,30.76,30.208,32.222,33.522,35.014,35.619,35.726,36.126,33.267,34.026,33.075,34.227,33.117,33.094,34.092,35.968,36.858,36.109,36.005,36.507
"25","17","Residential","B011RA3",14.61,13.883,16.011,19.105,18.877,19.979,19.342,17.91,16.564,16.277,17.672,19.843,22.094,24.236,25.569,24.364,23.07,19.963,18.689,18.862,19.355,19.712,19.514,20.562,20.882,20.941,20.147,19.974,20.183,21.497,22.809,24.246,26.046,26.431,25.867,24.769,24.115,23.972,23.501,23.133,22.802,22.252,21.952,21.92,21.053,21.105,22.644,25.057,27.908,28.899,28.353,27.526,28.316,25.987,25.199,25.165,25.263,25.354,26.723,27.62,28.118,28.997,28.973,28.935,29.98,32.137,32.732,33.728,35.795,33.993,33.437,32.827,32.942,33.199,33.329,32.608,33.348,30.673,29.676,26.563,25.764,28.693,30.131,31.886,32.081,32.892,33.482,33.9,35.12,34.743,34.459,31.939
"26","18","  Structures","B012RA3",14.945,14.205,16.396,19.68,19.415,20.596,19.918,18.377,17.004,16.7,18.195,20.467,22.798,24.97,26.365,25.042,23.765,20.538,19.18,19.377,19.909,20.247,20.096,21.106,21.443,21.51,20.712,20.546,20.773,22.119,23.453,24.935,26.834,27.2,26.621,25.454,24.725,24.577,24.073,23.758,23.345,22.782,22.48,22.462,21.669,21.597,23.114,25.546,28.545,29.584,29.098,28.264,29.052,26.633,25.789,25.776,25.887,25.963,27.377,28.321,28.857,29.747,29.694,29.64,30.72,32.955,33.565,34.603,36.741,34.848,34.257,33.626,33.698,33.958,34.083,33.287,34.063,31.305,30.239,27.035,26.202,29.244,30.713,32.472,32.651,33.487,34.045,34.475,35.716,35.28,34.974,32.329
"27","19","    Permanent site","B943RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.551,25.29,26.934,29.782,34.163,35.282,34.45,33.105,33.816,30.16,28.783,28.277,28.4,28.803,30.745,32.426,33.1,34.418,34.925,34.836,36.048,38.55,39.833,41.296,44.545,41.399,40.607,39.665,39.36,39.682,40.515,39.375,40.714,36.804,33.332,28.601,28.689,31.194,35.266,37.782,37.736,39.053,39.582,39.834,41.777,41.238,39.757,37.943
"28","20","      Single family","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.871,23.626,25.157,27.808,31.905,32.896,32.093,30.842,31.833,28.277,26.793,26.03,25.782,25.726,27.174,28.33,28.252,28.848,28.75,28.292,28.633,30.158,30.946,32.139,35.698,33.131,32.634,32.262,31.887,32.361,33.55,32.869,33.965,30.738,27.77,23.894,24.49,27.045,30.463,32.046,31.064,31.68,31.314,31.318,32.121,30.589,29.085,27.246
"29","21","      Multifamily","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.797,36.429,38.835,43.027,49.291,51.386,50.415,48.424,46.58,42.547,42.3,44.121,47.483,51.858,57.879,63.941,71.122,78.608,84.355,87.521,96.23,106.967,112.415,116.05,116.125,108.339,105.062,99.25,99.588,98.533,96.142,91.141,94.422,85.049,77.621,66.036,61.651,63.381,72.643,83.003,91.151,98.442,106.756,109.144,120.82,129.046,127.951,126.612
"30","22","    Other structures \6\","B863RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.676,15.901,17.223,19.014,19.907,20.818,20.855,20.794,21.695,21.151,21.114,21.839,21.929,21.514,22.127,21.962,22.286,22.526,21.632,21.632,22.503,24.322,23.919,24.314,24.78,24.766,24.48,24.326,24.974,25.14,24.189,23.907,23.798,22.808,25.477,24.636,22.374,26.245,23.694,24.276,24.801,24.888,25.493,26.202,26.353,26.079,27.563,23.69
"31","23","  Equipment","B013RA3",5.27,4.958,5.544,5.15,5.477,5.172,5.294,5.765,5.232,5.288,4.873,4.961,5.397,6.446,6.489,7.308,6.182,5.713,6.02,5.803,5.588,6.114,5.304,6.581,6.574,6.483,5.991,5.762,5.656,6.106,6.719,7.071,6.865,7.422,7.256,7.548,8.271,8.234,8.427,7.26,8.409,8.182,7.978,7.709,5.802,7.945,9.508,11.034,10.738,10.666,9.263,8.759,9.379,9.113,9.438,9.065,8.91,9.245,9.539,9.413,9.148,9.655,10.131,10.384,10.616,10.934,11.13,11.173,11.529,11.726,11.933,11.813,12.717,12.856,13.058,13.889,13.808,13.209,13.746,12.963,12.966,13.17,13.768,15.187,15.69,15.851,17.031,17.121,17.732,18.714,18.96,19.517
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RA3",19.457,18.868,20.555,22.864,22.832,23.931,23.691,22.687,21.5,21.065,21.789,23.237,25.348,27.385,28.935,28.196,27.286,25.246,24.188,23.941,24.345,24.665,24.638,25.759,26.315,26.568,26.045,26.117,26.396,27.455,28.406,29.444,31.181,31.736,31.704,31.159,31.029,31.392,31.116,30.858,30.446,30.041,29.831,29.738,28.915,28.414,29.188,31.105,33.183,34.322,34.377,33.682,34.81,33.265,32.692,33.227,33.237,33.044,34.06,34.655,35.307,36.479,36.845,36.425,36.654,38.943,39.481,40.536,42.459,41.69,41.836,41.532,42.497,43.988,44.288,44.662,45.712,43.351,43.072,40.07,39.698,41.242,42.497,43.774,44.31,44.723,44.982,45.712,46.92,46.781,47.593,45.569
"34","25","  Private fixed investment in equipment and software","A327RA3",4.479,4.381,4.245,4.481,4.857,4.535,4.481,4.629,4.335,4.129,3.909,3.868,3.939,4.39,4.852,4.789,4.574,4.575,4.678,4.629,4.651,4.721,4.024,4.537,4.851,4.846,5,4.848,4.583,4.489,4.706,4.701,4.741,5.16,5.475,5.636,5.371,5.383,5.435,5.409,5.517,5.493,5.681,5.46,4.862,4.642,4.615,4.87,5.127,5.278,5.433,5.42,5.62,5.716,5.484,5.296,5.125,5.368,5.443,5.763,5.909,6.063,6.094,6.124,6.246,6.387,6.67,6.935,7.105,7.25,7.499,7.71,8.302,8.456,8.915,9.277,9.786,10.133,10.202,10.355,9.958,10.069,9.937,10.26,10.65,10.417,10.681,11.048,11.463,11.613,11.797,11.739
"35","26","  Private fixed investment in new structures \7\","W040RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.865,31.201,31.94,33.971,36.072,37.24,37.285,36.543,37.734,36.16,35.593,36.222,36.259,36.065,37.135,37.737,38.453,39.697,40.052,39.549,39.732,42.122,42.65,43.752,45.882,45.132,45.349,45.026,45.993,47.586,47.939,48.346,49.512,47,46.854,43.715,43.285,44.855,46.073,47.387,48.051,48.493,48.684,49.423,50.844,50.7,51.653,49.409
"36","27","    Nonresidential structures","A771RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.441,43.975,42.996,43.683,43.656,45.052,46.437,46.139,48.029,48.605,48.734,50.622,50.424,49.653,49.754,49.568,50.55,52.402,53.794,52.535,50.744,53.063,53.413,54.476,55.904,57.748,59.569,59.941,62.886,67.101,67.703,70.66,72.33,70.899,72.398,69.874,70.53,68.492,69.147,69.223,70.598,70.026,69.623,71.059,72.154,72.742,76.196,75.706
"37","28","    Residential structures","A756RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.857,24.589,26.153,28.814,31.922,32.965,32.357,31.408,32.244,29.646,28.754,28.771,28.922,29.008,30.527,31.498,32.077,33.011,32.862,32.729,33.865,36.26,36.869,37.981,40.435,38.414,37.838,37.177,37.162,37.446,37.672,36.819,37.724,34.71,33.761,30.36,29.408,32.722,34.2,36.1,36.407,37.334,37.814,38.205,39.765,39.27,38.991,35.912
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
