"","Table 3#8# Current Surplus of Government Enterprises            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","  Federal Housing Administration","L312121","230.0","250.0","282.0","285.0","260.0","127.0","181.0","191.0","183.0","193.0","262.0","393.0","468.0","526.0","514.0","437.0","546.0","623.0","425.0","543.0","1,025.0","1,287.0","1,576.0","1,755.0","2,768.0","1,751.0","1,328.0","1,972.0","2,160.0","2,749.0","3,108.0","2,871.0","2,774.0","2,589.0","2,575.0","2,561.0","1,876.0","2,122.0","2,399.0","2,702.0","2,446.0","-351.0","-3,696.0","-9,561.0"
"23","5","  Tennessee Valley Authority","L312131","-68.0","-75.0","-93.0","-102.0","-108.0","-137.0","-191.0","-226.0","312.0","347.0","562.0","731.0","600.0","738.0","911.0","1,143.0","1,499.0","1,577.0","1,793.0","1,785.0","1,636.0","670.0","2,071.0","2,353.0","1,800.0","1,926.0","1,492.0","1,836.0","2,247.0","2,643.0","2,715.0","1,607.0","156.0","1,859.0","1,862.0","1,823.0","1,897.0","2,118.0","1,828.0","948.0","1,901.0","1,010.0","775.0","788.0"
"24","6","  Other \1\","L312141","506.0","400.0","417.0","404.0","338.0","578.0","582.0","568.0","105.0","27.0","-86.0","-150.0","-180.0","-224.0","253.0","442.0","461.0","331.0","386.0","72.0","109.0","383.0","374.0","-226.0","86.0","609.0","-61.0","-1,499.0","156.0","586.0","430.0","372.0","-146.0","196.0","328.0","-482.0","-1,958.0","-1,597.0","-2,211.0","-2,309.0","-559.0","317.0","1,409.0","933.0"
"25","7","State and local","B115RC1","1,268.0","1,264.0","1,083.0","1,221.0","1,181.0","567.0","65.0","200.0","95.0","48.0","-545.0","-1,410.0","-2,558.0","-1,654.0","-368.0","1,311.0","2,930.0","2,550.0","2,666.0","4,383.0","5,605.0","5,565.0","5,712.0","5,809.0","7,315.0","7,789.0","10,569.0","12,430.0","10,880.0","8,711.0","8,968.0","5,410.0","2,364.0","140.0","-2,791.0","-6,682.0","-7,340.0","-11,106.0","-18,486.0","-22,049.0","-21,380.0","-19,801.0","-16,484.0","-14,287.0"
"26","8","  Water and sewerage","L312181","134.0","199.0","185.0","184.0","162.0","-75.0","-368.0","-652.0","-914.0","-989.0","-1,126.0","-1,412.0","-1,814.0","-1,811.0","-1,195.0","-398.0","323.0","679.0","1,064.0","1,706.0","1,824.0","1,686.0","1,907.0","1,800.0","2,230.0","2,951.0","3,572.0","4,357.0","4,454.0","4,913.0","5,302.0","4,960.0","4,661.0","5,140.0","5,655.0","4,910.0","4,910.0","4,436.0","3,527.0","3,043.0","3,587.0","5,856.0","8,832.0","11,941.0"
"27","9","  Gas and electricity","L312191","728.0","736.0","697.0","761.0","881.0","864.0","930.0","1,075.0","1,134.0","1,268.0","1,277.0","1,176.0","1,475.0","1,786.0","2,184.0","3,003.0","3,202.0","3,391.0","4,095.0","4,744.0","5,022.0","5,222.0","5,481.0","5,564.0","5,763.0","5,859.0","6,201.0","6,371.0","6,697.0","7,271.0","7,946.0","8,276.0","8,521.0","7,479.0","5,371.0","4,826.0","5,623.0","4,782.0","4,335.0","5,892.0","7,463.0","8,045.0","8,864.0","10,029.0"
"28","10","  Toll facilities","L312201","502.0","499.0","479.0","544.0","563.0","467.0","483.0","546.0","580.0","593.0","544.0","528.0","565.0","582.0","679.0","857.0","933.0","1,030.0","1,217.0","1,136.0","1,323.0","1,340.0","1,543.0","1,431.0","1,459.0","1,470.0","1,464.0","1,518.0","1,565.0","1,728.0","1,930.0","1,923.0","1,537.0","1,260.0","1,629.0","1,703.0","1,648.0","1,356.0","897.0","1,169.0","1,257.0","1,946.0","2,338.0","2,591.0"
"29","11","  Liquor stores","L312211","360.0","365.0","376.0","376.0","394.0","408.0","403.0","395.0","408.0","431.0","490.0","515.0","459.0","446.0","426.0","403.0","405.0","422.0","405.0","400.0","433.0","478.0","483.0","476.0","447.0","465.0","545.0","571.0","631.0","672.0","699.0","764.0","790.0","822.0","1,078.0","1,288.0","1,319.0","1,172.0","1,080.0","1,140.0","1,128.0","1,138.0","1,252.0","1,429.0"
"30","12","  Air and water terminals","L312221","79.0","73.0","83.0","120.0","149.0","110.0","65.0","108.0","192.0","253.0","302.0","292.0","227.0","198.0","273.0","453.0","637.0","751.0","838.0","942.0","1,030.0","1,186.0","1,237.0","1,316.0","1,468.0","1,545.0","1,664.0","1,935.0","2,084.0","2,159.0","2,392.0","2,503.0","2,224.0","1,830.0","1,856.0","1,916.0","2,182.0","2,065.0","1,920.0","1,399.0","823.0","1,300.0","1,839.0","2,124.0"
"31","13","  Housing and urban renewal","L312231","-19.0","-15.0","-4.0","73.0","-53.0","152.0","132.0","109.0","128.0","58.0","-118.0","-305.0","-281.0","373.0","744.0","259.0","76.0","-813.0","-1,917.0","-2,301.0","-2,187.0","-2,027.0","-1,679.0","-1,725.0","-2,058.0","-2,805.0","-1,796.0","-1,924.0","-4,424.0","-7,073.0","-7,585.0","-9,371.0","-11,166.0","-12,338.0","-14,148.0","-16,028.0","-17,939.0","-20,381.0","-23,685.0","-24,662.0","-24,156.0","-27,235.0","-28,554.0","-30,965.0"
"32","14","  Public transit","L312241","-348.0","-423.0","-609.0","-835.0","-1,040.0","-1,515.0","-1,780.0","-1,649.0","-1,810.0","-2,100.0","-2,580.0","-2,956.0","-4,135.0","-4,693.0","-5,595.0","-6,152.0","-6,561.0","-7,488.0","-8,092.0","-8,478.0","-8,998.0","-10,024.0","-11,215.0","-11,898.0","-12,302.0","-13,368.0","-13,927.0","-14,355.0","-15,009.0","-16,219.0","-17,683.0","-19,328.0","-21,127.0","-23,086.0","-24,522.0","-26,640.0","-28,540.0","-30,544.0","-33,332.0","-35,944.0","-37,701.0","-37,935.0","-38,426.0","-39,563.0"
"33","15","  Other \2\","L312251","-169.0","-169.0","-124.0","-2.0","125.0","154.0","199.0","266.0","377.0","534.0","667.0","753.0","946.0","1,464.0","2,116.0","2,886.0","3,914.0","4,578.0","5,058.0","6,233.0","7,160.0","7,705.0","7,955.0","8,845.0","10,308.0","11,672.0","12,846.0","13,956.0","14,882.0","15,261.0","15,967.0","15,681.0","16,925.0","19,034.0","20,290.0","21,341.0","23,458.0","26,008.0","26,771.0","25,915.0","26,219.0","27,083.0","27,371.0","28,127.0"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists largely of the Bonneville Power Administration, other electric power agencies, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","insurance agencies other than those insuring deposits in financial institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists of lotteries, gaming administered by Indian tribal governments, off-track betting,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","local parking, and miscellaneous activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
