"","Table 1#1#6A# Real Gross Domestic Product, Chained (1937) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"20","2","Personal consumption expenditures","DPCEAX1","63,057.0","59,679.0","57,815.0","52,639.0","51,478.0","55,156.0","58,504.0","64,455.0","66,839.0","65,771.0","69,450.0","73,046.0","78,209.0","76,354.0","78,482.0","80,715.0","85,706.0","96,369.0","98,215.0"
"21","3","  Goods","DGDSAX1","35,814.0","32,984.0","31,787.0","28,075.0","27,873.0","30,419.0","32,895.0","37,264.0","38,373.0","37,528.0","40,132.0","42,620.0","45,989.0","42,439.0","42,021.0","42,335.0","45,226.0","53,595.0","55,151.0"
"22","4","    Durable goods","DDURAX1","7,840.0","6,491.0","5,609.0","4,263.0","4,153.0","4,752.0","5,752.0","7,027.0","7,393.0","6,127.0","7,261.0","8,311.0","9,588.0","6,086.0","5,463.0","5,037.0","5,595.0","10,107.0","11,855.0"
"23","5","    Nondurable goods","DNDGAX1","27,855.0","26,403.0","26,120.0","23,817.0","23,733.0","25,670.0","27,139.0","30,237.0","30,980.0","31,430.0","32,865.0","34,269.0","36,326.0","36,423.0","36,650.0","37,417.0","39,738.0","43,327.0","43,071.0"
"24","6","  Services","DSERAX1","27,325.0","26,756.0","26,076.0","24,501.0","23,593.0","24,750.0","25,615.0","27,191.0","28,466.0","28,238.0","29,336.0","30,467.0","32,276.0","34,053.0","36,769.0","38,823.0","40,906.0","42,765.0","42,942.0"
"25","7","Gross private domestic investment","A006AX1","13,100.0","8,922.0","5,800.0","2,139.0","2,894.0","4,786.0","8,327.0","10,529.0","12,967.0","8,921.0","11,190.0","15,241.0","18,655.0","10,388.0","6,481.0","7,735.0","9,954.0","23,843.0","22,949.0"
"26","8","  Fixed investment","A007AX1","13,845.0","10,759.0","7,644.0","4,706.0","4,250.0","5,373.0","6,828.0","8,916.0","10,341.0","8,414.0","9,913.0","11,764.0","13,532.0","8,078.0","6,351.0","7,560.0","10,065.0","17,857.0","21,211.0"
"27","9","    Nonresidential","A008AX1","10,229.0","8,524.0","5,742.0","3,625.0","3,334.0","4,188.0","5,219.0","6,912.0","8,180.0","6,239.0","6,858.0","8,341.0","9,923.0","6,216.0","5,225.0","6,630.0","9,051.0","13,077.0","15,019.0"
"28","10","      Structures","B009AX1","4,967.0","4,250.0","2,735.0","1,675.0","1,299.0","1,465.0","1,626.0","2,134.0","2,706.0","2,165.0","2,285.0","2,594.0","3,080.0","1,904.0","1,384.0","1,812.0","2,443.0","4,826.0","4,389.0"
"29","11","      Equipment","Y033AX1","5,005.0","3,968.0","2,647.0","1,550.0","1,587.0","2,195.0","2,991.0","4,103.0","4,770.0","3,321.0","3,832.0","4,966.0","5,822.0","3,340.0","3,001.0","4,012.0","5,745.0","7,165.0","9,740.0"
"30","12","      Intellectual property products","Y001AX1","481.0","485.0","465.0","452.0","471.0","542.0","599.0","669.0","704.0","758.0","741.0","775.0","1,012.0","964.0","833.0","831.0","937.0","1,140.0","1,142.0"
"31","13","    Residential","A011AX1","3,650.0","2,261.0","1,922.0","1,087.0","913.0","1,184.0","1,612.0","2,005.0","2,161.0","2,170.0","3,034.0","3,406.0","3,607.0","1,875.0","1,154.0","1,004.0","1,146.0","4,558.0","5,839.0"
"32","14","  Change in private inventories","A014AX1","2,087.0","-923.0","-2,142.0","-4,825.0","-2,471.0","-1,183.0","1,533.0","1,571.0","2,626.0","-618.0","314.0","3,264.0","5,344.0","2,082.0","-731.0","-869.0","-1,630.0","5,149.0","-721.0"
"33","15","Net exports of goods and services","A019AX1","753.0","447.0","226.0","35.0","-56.0","177.0","-508.0","-313.0","78.0","917.0","985.0","1,487.0","848.0","-447.0","-1,922.0","-1,937.0","-1,066.0","4,603.0","6,068.0"
"34","16","  Exports","A020AX1","4,810.0","3,975.0","3,304.0","2,589.0","2,605.0","2,895.0","3,053.0","3,207.0","4,039.0","3,996.0","4,218.0","4,798.0","4,920.0","3,249.0","2,739.0","2,942.0","4,122.0","8,903.0","10,150.0"
"35","17","    Goods","A253AX1","4,308.0","3,538.0","2,926.0","2,269.0","2,258.0","2,488.0","2,609.0","2,745.0","3,451.0","3,505.0","3,699.0","4,250.0","4,359.0","2,677.0","2,092.0","2,245.0","3,369.0","7,785.0","8,953.0"
"36","18","    Services","A646AX1","513.0","446.0","383.0","319.0","343.0","405.0","443.0","462.0","588.0","500.0","529.0","570.0","584.0","516.0","545.0","587.0","659.0","1,070.0","1,164.0"
"37","19","  Imports","A021AX1","4,056.0","3,528.0","3,078.0","2,554.0","2,660.0","2,718.0","3,561.0","3,520.0","3,961.0","3,079.0","3,233.0","3,311.0","4,072.0","3,697.0","4,661.0","4,879.0","5,187.0","4,299.0","4,082.0"
"38","20","    Goods","A255AX1","3,143.0","2,650.0","2,314.0","1,870.0","2,101.0","2,149.0","2,953.0","2,845.0","3,181.0","2,424.0","2,640.0","2,770.0","3,270.0","2,267.0","2,623.0","2,721.0","2,712.0","3,133.0","3,007.0"
"39","21","    Services","B656AX1","886.0","861.0","749.0","663.0","557.0","567.0","609.0","675.0","780.0","651.0","607.0","572.0","811.0","1,323.0","1,870.0","1,979.0","2,266.0","1,083.0","996.0"
"40","22","Government consumption expenditures and gross investment","A822AX1","9,497.0","10,458.0","10,897.0","10,554.0","10,200.0","11,446.0","11,805.0","13,704.0","13,148.0","14,146.0","15,378.0","15,927.0","26,770.0","62,132.0","93,183.0","104,663.0","91,953.0","32,482.0","27,649.0"
"41","23","  Federal","A823AX1","2,017.0","2,234.0","2,311.0","2,356.0","2,890.0","3,816.0","3,918.0","5,842.0","5,274.0","5,822.0","6,243.0","7,082.0","18,741.0","56,017.0","89,221.0","101,596.0","87,871.0","24,683.0","18,531.0"
"42","24","    National defense","A824AX1","1,078.0","1,151.0","1,157.0","1,153.0","1,104.0","997.0","1,209.0","1,420.0","1,433.0","1,495.0","1,650.0","2,865.0","14,901.0","53,080.0","87,185.0","99,655.0","86,275.0","21,488.0","14,846.0"
"43","25","    Nondefense","A825AX1","903.0","1,044.0","1,116.0","1,166.0","1,766.0","2,819.0","2,699.0","4,421.0","3,841.0","4,326.0","4,593.0","4,212.0","3,731.0","2,843.0","2,279.0","2,303.0","1,928.0","2,784.0","3,268.0"
"44","26","  State and local","A829AX1","7,406.0","8,144.0","8,501.0","8,121.0","7,256.0","7,600.0","7,855.0","7,861.0","7,874.0","8,322.0","9,135.0","8,851.0","8,312.0","7,566.0","6,933.0","6,699.0","6,934.0","7,611.0","8,633.0"
"45","27","Residual","A960AX1","-1,300.0","200.0","1,000.0","2,600.0","1,600.0","900.0","400.0","200.0","-100.0","1,400.0","1,100.0","0.0","-400.0","-2,000.0","-6,100.0","-7,800.0","-3,800.0","8,100.0","10,800.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1937) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index rebased with the reference year 1937 equal to 100 and of the 1937 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
