"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"21","3","  Nonfarm \2\","A364RC1","688,555.0","713,397.0","770,790.0","848,952.0","942,510.0","1,016,363.0","1,096,062.0","1,243,494.0","1,397,432.0","1,589,359.0","1,774,507.0","1,910,687.0","2,132,817.0","2,169,820.0","2,403,239.0","2,698,277.0","2,906,732.0","3,052,830.0","3,221,502.0","3,471,024.0","3,731,423.0","3,910,889.0","3,992,386.0","4,240,638.0","4,479,517.0","4,779,572.0","5,018,523.0","5,319,368.0","5,696,859.0","6,028,574.0","6,418,607.0","6,806,767.0","6,931,556.0","7,104,318.0","7,436,545.0","7,954,178.0","8,530,690.0","9,032,975.0","9,402,453.0","9,354,786.0","8,946,226.0","9,382,755.0","9,802,122.0","10,368,617.0"
"22","4","  Farm","A365RC1","18,059.0","18,625.0","19,932.0","23,802.0","40,409.0","36,758.0","36,677.0","33,032.0","32,338.0","38,207.0","45,825.0","35,005.0","46,937.0","41,327.0","25,990.0","45,519.0","45,546.0","42,040.0","44,608.0","44,095.0","56,357.0","59,832.0","52,116.0","61,603.0","52,984.0","64,824.0","48,830.0","72,351.0","67,029.0","56,980.0","48,305.0","53,220.0","54,928.0","50,474.0","68,763.0","93,103.0","76,670.0","69,811.0","82,566.0","93,486.0","75,622.0","94,695.0","128,870.0","128,014.0"
"23","5","Households and institutions","W503RC1","72,351.0","78,745.0","86,990.0","94,466.0","102,252.0","111,260.0","122,076.0","132,073.0","141,896.0","157,895.0","174,527.0","198,457.0","225,468.0","252,690.0","279,761.0","306,813.0","329,649.0","358,204.0","393,494.0","436,898.0","474,200.0","517,329.0","553,355.0","592,415.0","635,323.0","677,156.0","720,912.0","758,880.0","802,205.0","854,940.0","911,128.0","972,677.0","1,029,202.0","1,090,573.0","1,136,263.0","1,187,514.0","1,237,454.0","1,293,209.0","1,335,884.0","1,440,686.0","1,510,347.0","1,527,055.0","1,569,039.0","1,615,524.0"
"24","6","  Households","W504RC1","46,041.0","49,359.0","54,129.0","58,190.0","61,957.0","66,443.0","72,124.0","77,690.0","82,478.0","91,586.0","100,162.0","113,375.0","129,009.0","144,393.0","159,263.0","173,559.0","186,777.0","201,695.0","217,468.0","238,056.0","256,290.0","277,490.0","293,645.0","312,142.0","335,000.0","361,472.0","388,102.0","409,402.0","433,015.0","459,924.0","491,688.0","526,536.0","563,052.0","588,143.0","606,837.0","631,299.0","663,845.0","693,091.0","710,652.0","774,197.0","812,704.0","818,830.0","838,483.0","855,552.0"
"25","7","  Nonprofit institutions serving households \3\","W505RC1","26,310.0","29,386.0","32,861.0","36,276.0","40,295.0","44,817.0","49,952.0","54,383.0","59,418.0","66,309.0","74,365.0","85,082.0","96,459.0","108,297.0","120,498.0","133,254.0","142,872.0","156,509.0","176,026.0","198,842.0","217,910.0","239,839.0","259,710.0","280,273.0","300,323.0","315,684.0","332,810.0","349,478.0","369,190.0","395,016.0","419,440.0","446,141.0","466,150.0","502,430.0","529,426.0","556,215.0","573,609.0","600,118.0","625,232.0","666,489.0","697,643.0","708,225.0","730,556.0","759,972.0"
"26","8","General government \4\","A194RC1","116,051.0","128,334.0","141,192.0","154,332.0","165,297.0","178,275.0","196,570.0","209,779.0","225,951.0","246,047.0","266,151.0","292,349.0","320,681.0","346,832.0","368,593.0","395,743.0","428,145.0","454,908.0","482,649.0","518,212.0","559,586.0","604,689.0","645,038.0","684,892.0","707,268.0","731,603.0","752,980.0","773,546.0","802,430.0","838,368.0","886,795.0","942,844.0","1,005,587.0","1,072,754.0","1,143,446.0","1,210,543.0","1,268,656.0","1,325,879.0","1,395,059.0","1,467,923.0","1,517,365.0","1,572,165.0","1,581,235.0","1,589,566.0"
"27","9","  Federal","B568RC1","51,433.0","55,172.0","58,823.0","62,622.0","64,575.0","67,770.0","72,534.0","76,454.0","80,865.0","87,130.0","91,950.0","100,753.0","112,226.0","121,997.0","127,713.0","136,537.0","144,950.0","149,079.0","153,078.0","161,932.0","168,456.0","176,006.0","186,491.0","189,571.0","188,055.0","186,073.0","183,338.0","182,172.0","183,457.0","185,846.0","191,682.0","202,444.0","211,183.0","236,362.0","266,924.0","284,247.0","303,686.0","314,780.0","329,561.0","350,247.0","375,491.0","404,756.0","413,246.0","411,081.0"
"28","10","  State and local","B251RC1","64,618.0","73,162.0","82,369.0","91,710.0","100,722.0","110,505.0","124,036.0","133,325.0","145,086.0","158,917.0","174,201.0","191,596.0","208,455.0","224,835.0","240,880.0","259,206.0","283,195.0","305,829.0","329,571.0","356,280.0","391,130.0","428,683.0","458,547.0","495,321.0","519,213.0","545,530.0","569,642.0","591,374.0","618,973.0","652,522.0","695,113.0","740,400.0","794,404.0","836,392.0","876,522.0","926,296.0","964,970.0","1,011,099.0","1,065,498.0","1,117,676.0","1,141,874.0","1,167,409.0","1,167,989.0","1,178,485.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
