"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"43","24","    National defense","A824BX1","23,205.0","21,979.0","22,830.0","23,370.0","23,024.0","22,443.0","22,242.0","23,080.0","23,657.0","24,060.0","24,019.0","22,626.0","21,834.0","22,033.0","23,362.0","26,752.0","33,496.0","40,915.0","48,752.0","52,837.0","54,481.0","57,297.0","58,539.0","59,475.0","61,152.0","61,618.0","60,946.0","59,864.0","56,189.0","53,922.0","51,495.0","49,831.0","49,725.0","48,074.0","48,580.0","47,135.0","46,972.0","48,134.0","48,000.0","49,441.0","49,908.0","50,303.0","50,760.0","50,175.0","49,780.0","50,333.0","50,333.0","50,712.0","49,102.0","48,447.0","49,221.0","48,822.0","48,139.0","47,791.0","49,290.0","48,783.0","50,073.0","49,868.0","51,385.0","52,328.0","54,236.0","53,680.0","54,592.0","54,631.0"
"44","25","    Nondefense","A825BX1","4,922.0","6,589.0","5,605.0","4,488.0","5,421.0","7,152.0","8,056.0","8,580.0","8,618.0","9,414.0","9,081.0","8,970.0","8,429.0","8,941.0","6,543.0","6,860.0","6,213.0","6,739.0","6,595.0","6,737.0","7,519.0","7,106.0","7,437.0","7,434.0","8,110.0","9,623.0","8,596.0","8,742.0","9,016.0","8,006.0","7,728.0","8,695.0","7,695.0","8,132.0","8,202.0","7,760.0","7,581.0","7,746.0","6,966.0","7,370.0","8,070.0","6,871.0","6,690.0","8,026.0","6,653.0","7,904.0","7,700.0","8,610.0","9,006.0","10,740.0","10,747.0","10,553.0","8,976.0","9,448.0","9,707.0","10,432.0","9,328.0","10,034.0","10,289.0","10,480.0","10,921.0","11,693.0","12,732.0","13,004.0"
"45","26","  State and local","A829BX1","18,084.0","18,329.0","18,742.0","19,031.0","18,991.0","19,507.0","19,839.0","20,309.0","21,133.0","22,311.0","23,225.0","23,666.0","24,241.0","24,443.0","24,462.0","24,474.0","24,243.0","24,649.0","24,771.0","24,737.0","24,807.0","25,324.0","24,657.0","25,227.0","25,758.0","25,721.0","26,398.0","27,031.0","27,990.0","28,102.0","28,871.0","29,009.0","30,203.0","30,595.0","30,556.0","30,742.0","31,068.0","31,455.0","31,614.0","31,939.0","32,725.0","33,000.0","33,469.0","34,294.0","35,251.0","35,765.0","36,543.0","37,205.0","37,350.0","37,454.0","37,495.0","37,305.0","37,936.0","38,858.0","39,430.0","39,874.0","41,154.0","40,876.0","41,224.0","42,337.0","42,024.0","42,310.0","42,836.0","43,282.0"
"46","27","Residual","A960BX1","-800.0","-300.0","200.0","100.0","-800.0","-1,300.0","-1,300.0","-1,700.0","100.0","500.0","-500.0","-200.0","-1,000.0","-1,000.0","-1,000.0","-1,700.0","-1,000.0","-800.0","-600.0","200.0","-200.0","300.0","-100.0","300.0","0.0","0.0","300.0","1,300.0","1,400.0","1,400.0","1,400.0","800.0","-300.0","-800.0","-800.0","-1,500.0","-1,100.0","-300.0","-100.0","-300.0","100.0","0.0","-100.0","2,100.0","2,200.0","2,500.0","1,100.0","0.0","500.0","-1,400.0","600.0","-300.0","-2,900.0","-100.0","-200.0","2,900.0","2,100.0","700.0","-500.0","-100.0","-700.0","-100.0","0.0","700.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Chained (1952) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","index rebased with the reference year 1952 equal to 100 and of the 1952 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
