"","Table 3#7# Government Current Transfer Receipts                 ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","    Deposit insurance premiums \1\","B1041C1","257.0","224.0","200.0","217.0","364.0","444.0","391.0","431.0","480.0","553.0","567.0","659.0","1,170.0","1,562.0","1,811.0","1,958.0","3,169.0","3,426.0","3,515.0","3,481.0","4,035.0","4,589.0","7,532.0","7,943.0","8,703.0","7,793.0","4,508.0","7,218.0","1,993.0","1,949.0","2,148.0","3,298.0","3,687.0","3,489.0","3,043.0","2,606.0","2,358.0","2,495.0","3,269.0","9,616.0","26,314.0","18,933.0","18,372.0","18,203.0"
"23","5","    Other \2\","B1042C1","680.0","647.0","663.0","768.0","556.0","522.0","590.0","646.0","929.0","1,492.0","1,791.0","2,251.0","1,699.0","2,119.0","2,429.0","3,288.0","4,232.0","2,867.0","4,662.0","3,297.0","4,666.0","5,307.0","5,772.0","6,373.0","6,409.0","8,155.0","6,854.0","8,340.0","10,151.0","10,744.0","10,293.0","10,059.0","10,354.0","10,185.0","11,424.0","13,266.0","14,492.0","16,974.0","18,202.0","19,454.0","20,405.0","24,832.0","27,558.0","10,526.0"
"24","6","  State and local (net)","W076RC1","530.0","560.0","598.0","682.0","880.0","1,084.0","1,211.0","1,365.0","1,582.0","1,866.0","2,169.0","2,457.0","2,869.0","3,249.0","3,645.0","4,185.0","4,399.0","6,720.0","4,889.0","5,381.0","6,394.0","7,090.0","7,949.0","9,237.0","10,527.0","11,955.0","13,495.0","15,168.0","17,687.0","21,607.0","24,010.0","28,562.0","29,841.0","32,554.0","33,839.0","36,497.0","36,547.0","38,820.0","40,511.0","43,564.0","44,021.0","43,428.0","44,183.0","41,854.0"
"25","7","    Fines","S230561","184.0","208.0","245.0","271.0","212.0","243.0","301.0","375.0","435.0","501.0","594.0","693.0","865.0","990.0","1,145.0","1,298.0","1,433.0","3,628.0","1,699.0","1,784.0","1,965.0","2,251.0","2,409.0","2,816.0","3,512.0","4,196.0","4,886.0","5,584.0","6,125.0","6,165.0","6,757.0","7,396.0","8,019.0","8,720.0","9,814.0","10,973.0","11,309.0","12,122.0","12,479.0","12,712.0","12,953.0","12,937.0","13,122.0","13,522.0"
"26","8","    Net insurance settlements","W098RC1","9.0","5.0","-33.0","-49.0","-20.0","66.0","21.0","-25.0","-47.0","-33.0","17.0","41.0","34.0","114.0","147.0","249.0","136.0","-243.0","-354.0","-234.0","45.0","-6.0","-14.0","295.0","-62.0","-34.0","-5.0","-35.0","-115.0","153.0","108.0","52.0","-1,021.0","-339.0","-482.0","-231.0","-1,937.0","-673.0","-438.0","547.0","-365.0","-230.0","225.0","-2,513.0"
"27","9","    Other \3\","S230571","337.0","347.0","386.0","460.0","688.0","775.0","889.0","1,015.0","1,194.0","1,398.0","1,558.0","1,723.0","1,970.0","2,145.0","2,353.0","2,638.0","2,830.0","3,335.0","3,544.0","3,831.0","4,384.0","4,845.0","5,554.0","6,126.0","7,077.0","7,793.0","8,614.0","9,619.0","11,677.0","15,289.0","17,145.0","21,114.0","22,843.0","24,173.0","24,507.0","25,755.0","27,175.0","27,371.0","28,470.0","30,305.0","31,434.0","30,720.0","30,837.0","30,845.0"
"28","10","From persons","W062RC1","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,509.0","66,899.0","71,625.0","76,634.0","80,955.0","82,752.0","83,540.0","83,858.0","85,296.0","88,481.0"
"29","11","  Federal \4\","B233RC1","61.0","88.0","65.0","135.0","128.0","115.0","125.0","146.0","168.0","183.0","185.0","232.0","259.0","700.0","980.0","1,028.0","1,195.0","1,318.0","2,029.0","2,829.0","3,086.0","3,413.0","3,883.0","4,103.0","5,042.0","5,643.0","6,174.0","7,169.0","7,920.0","8,773.0","9,829.0","10,726.0","10,881.0","10,754.0","11,040.0","13,155.0","15,117.0","17,358.0","19,509.0","19,495.0","19,523.0","20,622.0","20,125.0","21,006.0"
"30","12","  State and local","B246RC1","1,067.0","1,193.0","1,390.0","1,651.0","1,707.0","1,953.0","2,368.0","2,872.0","3,298.0","3,673.0","4,143.0","4,720.0","5,692.0","6,366.0","7,150.0","8,140.0","9,230.0","10,641.0","11,165.0","12,017.0","13,407.0","14,939.0","18,688.0","21,892.0","23,527.0","25,249.0","26,474.0","27,762.0","30,279.0","31,090.0","34,233.0","38,024.0","42,040.0","45,626.0","49,469.0","53,744.0","56,508.0","59,276.0","61,446.0","63,257.0","64,017.0","63,236.0","65,171.0","67,475.0"
"31","13","    Fines","S210661","559.0","654.0","811.0","936.0","734.0","834.0","998.0","1,210.0","1,385.0","1,602.0","1,906.0","2,224.0","2,751.0","3,162.0","3,650.0","4,164.0","4,620.0","5,276.0","5,432.0","5,666.0","6,223.0","6,668.0","7,203.0","8,074.0","8,192.0","8,525.0","8,696.0","8,746.0","9,185.0","9,248.0","10,136.0","11,093.0","12,027.0","13,080.0","14,719.0","16,458.0","16,961.0","18,183.0","18,718.0","19,068.0","19,429.0","19,406.0","19,682.0","20,283.0"
"32","14","    Other \5\","S210671","508.0","539.0","579.0","715.0","973.0","1,119.0","1,370.0","1,662.0","1,913.0","2,071.0","2,237.0","2,496.0","2,941.0","3,204.0","3,500.0","3,976.0","4,610.0","5,365.0","5,733.0","6,351.0","7,184.0","8,271.0","11,485.0","13,818.0","15,335.0","16,724.0","17,778.0","19,016.0","21,094.0","21,842.0","24,097.0","26,931.0","30,013.0","32,546.0","34,750.0","37,286.0","39,547.0","41,094.0","42,728.0","44,189.0","44,588.0","43,830.0","45,489.0","47,192.0"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Beginning in 2008, includes receipts for the U.S. Treasury's Temporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Guarantee Program for Money Market Funds and the Federal Deposit Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Corporation's (FDIC) Temporary Liquidity Guarantee Program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists largely of fines and fees, less net insurance settlements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Consists largely of donations.  Beginning with 1997, includes settlements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","of lawsuits with tobacco companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Consists of fines, immigration fees, certain penalty taxes, and excise taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","5. Consists largely of donations and other miscellaneous transfers, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","unclaimed bank deposits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
