"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"21","3","  Nonfarm \2\","A358RX1","3,105,701.0","3,101,713.0","3,217,680.0","3,433,217.0","3,681,448.0","3,626,136.0","3,566,085.0","3,820,376.0","4,037,974.0","4,305,423.0","4,448,252.0","4,408,619.0","4,510,836.0","4,366,751.0","4,650,791.0","5,039,717.0","5,254,913.0","5,455,166.0","5,650,245.0","5,907,540.0","6,125,414.0","6,219,771.0","6,182,238.0","6,433,305.0","6,632,866.0","6,939,866.0","7,180,950.0","7,505,832.0","7,897,713.0","8,313,642.0","8,794,221.0","9,178,009.0","9,241,914.0","9,404,656.0","9,695,909.0","10,131,503.0","10,513,917.0","10,848,979.0","11,100,138.0","10,957,175.0","10,486,909.0","10,818,169.0","11,089,075.0","11,499,690.0","11,751,249.0"
"22","4","  Farm","B359RX1","27,308.0","28,067.0","29,545.0","29,549.0","29,226.0","28,565.0","34,040.0","32,487.0","34,257.0","33,053.0","35,996.0","34,864.0","46,052.0","48,355.0","31,503.0","42,701.0","52,591.0","50,473.0","51,038.0","45,489.0","51,744.0","55,490.0","55,602.0","64,442.0","56,777.0","69,040.0","54,921.0","63,611.0","71,154.0","67,693.0","70,734.0","83,897.0","77,692.0","80,927.0","89,831.0","96,079.0","101,647.0","102,414.0","86,173.0","94,713.0","109,800.0","111,455.0","105,818.0","104,636.0","125,414.0"
"23","5","Households and institutions","A193RX1","608,263.0","619,993.0","647,853.0","674,127.0","697,967.0","727,266.0","753,148.0","764,047.0","770,921.0","804,483.0","832,710.0","861,189.0","879,790.0","904,658.0","933,452.0","961,054.0","987,221.0","1,019,397.0","1,061,611.0","1,117,974.0","1,162,203.0","1,199,653.0","1,225,988.0","1,260,056.0","1,322,845.0","1,365,374.0","1,406,390.0","1,434,766.0","1,478,333.0","1,528,409.0","1,571,782.0","1,633,509.0","1,670,669.0","1,697,746.0","1,731,976.0","1,775,277.0","1,829,216.0","1,855,151.0","1,857,156.0","1,909,769.0","1,913,615.0","1,930,472.0","1,948,755.0","1,960,332.0","1,970,294.0"
"24","6","  Households","B701RX1","352,995.0","361,705.0","379,553.0","395,887.0","409,773.0","428,760.0","441,597.0","448,336.0","449,113.0","475,092.0","490,416.0","507,597.0","515,054.0","520,419.0","532,756.0","548,602.0","570,164.0","582,895.0","601,629.0","626,306.0","644,814.0","657,569.0","669,298.0","687,196.0","718,611.0","752,866.0","779,236.0","795,390.0","817,312.0","839,011.0","873,183.0","912,827.0","943,505.0","951,284.0","976,904.0","1,015,453.0","1,066,392.0","1,092,611.0","1,084,728.0","1,115,657.0","1,110,087.0","1,115,450.0","1,118,982.0","1,115,985.0","1,119,608.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","254,736.0","257,081.0","266,571.0","276,199.0","286,107.0","296,008.0","309,333.0","313,410.0","319,973.0","326,560.0","339,539.0","350,692.0","362,220.0","383,057.0","400,197.0","411,924.0","415,672.0","435,846.0","460,034.0","492,663.0","519,248.0","545,114.0","560,144.0","576,488.0","608,351.0","615,528.0","629,858.0","642,086.0","664,083.0","693,349.0","701,367.0","722,972.0","728,461.0","748,541.0","756,649.0","760,629.0","762,913.0","762,388.0","772,409.0","794,091.0","803,528.0","815,011.0","829,721.0","844,218.0","850,529.0"
"26","8","General government \4\","A765RX1","1,141,889.0","1,147,587.0","1,150,246.0","1,149,722.0","1,156,037.0","1,179,643.0","1,198,215.0","1,209,293.0","1,222,736.0","1,246,956.0","1,262,014.0","1,281,727.0","1,291,473.0","1,307,575.0","1,319,557.0","1,339,757.0","1,381,429.0","1,419,773.0","1,455,414.0","1,496,881.0","1,534,215.0","1,573,123.0","1,589,559.0","1,596,692.0","1,600,809.0","1,602,642.0","1,605,298.0","1,608,838.0","1,620,984.0","1,639,009.0","1,653,789.0","1,680,884.0","1,711,172.0","1,743,478.0","1,765,185.0","1,777,826.0","1,794,109.0","1,809,048.0","1,834,658.0","1,872,931.0","1,907,619.0","1,919,475.0","1,912,209.0","1,912,056.0","1,904,998.0"
"27","9","  Federal","A766RX1","496,669.0","480,812.0","463,594.0","446,359.0","434,109.0","434,776.0","433,741.0","435,500.0","437,892.0","444,389.0","446,028.0","454,062.0","462,394.0","471,676.0","484,346.0","497,653.0","514,652.0","527,959.0","545,205.0","556,209.0","565,218.0","575,574.0","579,188.0","569,990.0","560,701.0","545,281.0","528,044.0","515,731.0","506,991.0","501,739.0","498,048.0","500,856.0","503,011.0","511,625.0","525,266.0","533,434.0","540,787.0","545,294.0","553,128.0","574,161.0","603,629.0","624,258.0","630,453.0","630,063.0","619,159.0"
"28","10","  State and local","A767RX1","613,347.0","640,718.0","666,981.0","690,160.0","714,484.0","740,488.0","762,994.0","773,131.0","785,061.0","803,557.0","818,257.0","829,623.0","829,466.0","835,133.0","831,874.0","837,084.0","861,214.0","886,310.0","903,847.0","934,834.0","963,704.0","992,557.0","1,005,543.0","1,022,733.0","1,036,745.0","1,054,796.0","1,075,648.0","1,092,260.0","1,113,809.0","1,137,564.0","1,156,285.0","1,180,686.0","1,208,872.0","1,232,584.0","1,240,452.0","1,244,778.0","1,253,628.0","1,264,062.0","1,281,838.0","1,298,891.0","1,303,990.0","1,295,199.0","1,281,702.0","1,281,939.0","1,285,847.0"
"29","11","Residual","A961RX1","-142,800.0","-152,400.0","-151,000.0","-142,600.0","-136,900.0","-164,600.0","-168,200.0","-153,900.0","-133,800.0","-127,800.0","-119,300.0","-142,100.0","-115,500.0","-141,200.0","-146,800.0","-100,500.0","-83,600.0","-86,600.0","-87,900.0","-97,600.0","-93,000.0","-100,800.0","-113,000.0","-97,400.0","-103,300.0","-82,700.0","-84,900.0","-65,400.0","-48,200.0","-39,500.0","-22,400.0","-14,100.0","-19,100.0","-19,900.0","-15,000.0","-7,900.0","-3,600.0","-600.0","-1,500.0","-1,200.0","0.0","-300.0","-3,400.0","-5,800.0","9,600.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","12","  Gross housing value added","A2009X1","450,410.0","465,938.0","488,394.0","512,140.0","529,523.0","556,225.0","574,574.0","581,168.0","590,481.0","616,203.0","633,864.0","659,490.0","674,281.0","688,278.0","706,803.0","726,267.0","764,395.0","787,535.0","809,825.0","836,357.0","852,957.0","870,261.0","889,619.0","913,999.0","944,994.0","983,249.0","1,018,592.0","1,036,464.0","1,060,813.0","1,085,465.0","1,123,536.0","1,163,670.0","1,199,411.0","1,204,195.0","1,219,117.0","1,260,245.0","1,318,128.0","1,352,070.0","1,358,663.0","1,398,481.0","1,409,013.0","1,428,975.0","1,453,519.0","1,464,236.0","1,474,842.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
