"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Nonfarm \2\","A364RC1","73,493.0","63,555.0","51,368.0","37,471.0","35,741.0","44,159.0","48,684.0","57,959.0","63,453.0","58,418.0","64,558.0","72,875.0","92,467.0","114,572.0","135,058.0","145,739.0","143,092.0","150,107.0","171,367.0","190,351.0","189,371.0","211,590.0","242,471.0","254,396.0","272,194.0","269,254.0","298,381.0","312,618.0","327,881.0","323,778.0","358,182.0","369,118.0","379,626.0","410,826.0","433,403.0","469,512.0","509,898.0","558,860.0","584,735.0","639,412.0","686,903.0","712,914.0","770,937.0","849,032.0","942,825.0","1,017,379.0","1,098,223.0","1,243,632.0","1,396,171.0","1,588,092.0","1,771,516.0","1,906,895.0","2,125,834.0","2,161,979.0","2,392,200.0","2,681,820.0","2,877,766.0","3,036,188.0","3,212,977.0","3,463,452.0","3,718,443.0","3,906,881.0","3,996,754.0","4,246,305.0","4,488,664.0","4,788,242.0","5,018,549.0","5,313,317.0","5,691,410.0","6,024,458.0","6,415,112.0","6,810,180.0","6,952,634.0","7,143,027.0","7,465,295.0","7,976,551.0","8,535,362.0","9,054,443.0","9,469,086.0","9,551,974.0"
"22","4","  Farm","A365RC1","8,213.0","6,240.0","5,002.0","3,357.0","3,556.0","3,618.0","5,903.0","5,305.0","7,060.0","5,326.0","5,089.0","5,231.0","7,621.0","11,563.0","13,796.0","13,710.0","14,253.0","16,888.0","17,797.0","20,524.0","15,748.0","16,674.0","19,315.0","18,270.0","16,063.0","15,527.0","14,565.0","14,236.0","13,991.0","16,018.0","14,161.0","15,072.0","15,228.0","15,252.0","15,240.0","13,957.0","16,341.0","16,949.0","15,937.0","16,031.0","18,066.0","18,629.0","19,936.0","23,812.0","40,419.0","36,773.0","36,709.0","33,062.0","32,371.0","38,264.0","45,862.0","35,033.0","46,988.0","41,367.0","25,991.0","45,523.0","45,264.0","41,700.0","44,055.0","43,466.0","56,176.0","59,326.0","52,381.0","62,225.0","53,155.0","65,192.0","49,710.0","73,054.0","66,965.0","57,204.0","48,404.0","50,358.0","52,324.0","47,650.0","66,658.0","90,887.0","72,523.0","61,778.0","83,314.0","97,434.0"
"23","5","Households and institutions","W503RC1","7,872.0","7,392.0","6,636.0","5,730.0","4,974.0","4,816.0","4,921.0","5,108.0","5,432.0","5,474.0","5,614.0","5,813.0","6,136.0","6,926.0","7,638.0","8,514.0","9,256.0","9,754.0","10,639.0","11,701.0","12,812.0","14,298.0","15,941.0","17,820.0","20,024.0","21,933.0","24,192.0","26,246.0","28,556.0","31,215.0","34,010.0","37,590.0","40,131.0","43,566.0","46,445.0","49,396.0","52,877.0","57,010.0","61,433.0","66,181.0","72,810.0","79,077.0","87,276.0","94,813.0","102,825.0","111,875.0","122,791.0","133,366.0","144,817.0","161,320.0","179,845.0","206,628.0","235,489.0","263,587.0","290,030.0","318,777.0","345,308.0","373,072.0","408,679.0","450,171.0","488,974.0","533,382.0","571,089.0","612,164.0","646,862.0","688,482.0","733,399.0","772,806.0","818,006.0","870,622.0","932,523.0","994,660.0","1,057,850.0","1,112,521.0","1,146,715.0","1,201,626.0","1,261,335.0","1,334,746.0","1,405,788.0","1,516,039.0"
"24","6","  Households","W504RC1","6,570.0","6,062.0","5,346.0","4,534.0","3,876.0","3,712.0","3,795.0","3,923.0","4,193.0","4,191.0","4,314.0","4,443.0","4,689.0","5,337.0","5,848.0","6,536.0","7,139.0","7,237.0","7,687.0","8,290.0","9,048.0","10,214.0","11,465.0","12,959.0","14,668.0","16,129.0","17,852.0","19,352.0","20,975.0","22,834.0","24,809.0","27,103.0","28,965.0","31,264.0","33,081.0","34,825.0","36,825.0","38,961.0","41,280.0","43,371.0","46,500.0","49,691.0","54,416.0","58,539.0","62,527.0","67,053.0","72,834.0","78,975.0","85,373.0","94,984.0","105,444.0","121,524.0","138,987.0","155,255.0","169,524.0","185,522.0","202,423.0","216,750.0","233,105.0","254,210.0","274,352.0","296,957.0","314,859.0","333,964.0","352,440.0","380,444.0","405,589.0","428,570.0","454,264.0","481,588.0","518,373.0","554,945.0","591,855.0","611,019.0","616,464.0","642,593.0","682,973.0","725,600.0","765,887.0","841,873.0"
"25","7","  Nonprofit institutions serving households \3\","W505RC1","1,302.0","1,330.0","1,290.0","1,196.0","1,098.0","1,104.0","1,126.0","1,185.0","1,239.0","1,283.0","1,300.0","1,370.0","1,447.0","1,589.0","1,790.0","1,978.0","2,117.0","2,517.0","2,952.0","3,411.0","3,764.0","4,084.0","4,476.0","4,861.0","5,356.0","5,804.0","6,340.0","6,894.0","7,581.0","8,381.0","9,201.0","10,487.0","11,166.0","12,302.0","13,364.0","14,571.0","16,052.0","18,049.0","20,153.0","22,810.0","26,310.0","29,386.0","32,860.0","36,274.0","40,298.0","44,822.0","49,957.0","54,391.0","59,444.0","66,336.0","74,401.0","85,104.0","96,502.0","108,332.0","120,506.0","133,255.0","142,885.0","156,322.0","175,574.0","195,961.0","214,622.0","236,425.0","256,230.0","278,200.0","294,422.0","308,038.0","327,810.0","344,236.0","363,742.0","389,034.0","414,150.0","439,715.0","465,995.0","501,502.0","530,251.0","559,033.0","578,362.0","609,146.0","639,901.0","674,166.0"
"26","8","General government \4\","A194RC1","4,363.0","4,575.0","4,689.0","4,477.0","4,726.0","5,613.0","5,984.0","7,308.0","6,946.0","7,673.0","7,649.0","7,831.0","9,467.0","15,167.0","25,616.0","32,252.0","35,339.0","22,383.0","17,643.0","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,359,422.0","1,428,882.0"
"27","9","  Federal","B568RC1","907.0","945.0","952.0","912.0","1,195.0","1,729.0","1,806.0","3,612.0","3,057.0","3,552.0","3,464.0","3,542.0","5,079.0","10,694.0","20,953.0","27,314.0","29,969.0","16,188.0","10,305.0","9,556.0","10,679.0","11,095.0","16,582.0","19,275.0","19,075.0","18,346.0","18,958.0","19,604.0","20,227.0","21,325.0","21,728.0","22,604.0","23,657.0","25,211.0","26,483.0","28,535.0","29,986.0","34,304.0","37,875.0","41,903.0","44,862.0","48,335.0","51,659.0","55,384.0","57,434.0","62,044.0","68,384.0","73,307.0","79,930.0","85,758.0","91,808.0","102,536.0","115,089.0","125,308.0","132,317.0","149,362.0","158,952.0","163,082.0","170,292.0","177,973.0","185,701.0","193,865.0","205,860.0","210,697.0","210,944.0","208,854.0","205,811.0","209,699.0","212,095.0","214,253.0","220,592.0","232,963.0","242,096.0","268,381.0","297,768.0","323,011.0","344,448.0","360,145.0","379,481.0","401,969.0"
"28","10","  State and local","B251RC1","3,456.0","3,630.0","3,737.0","3,565.0","3,531.0","3,884.0","4,178.0","3,696.0","3,889.0","4,121.0","4,185.0","4,289.0","4,388.0","4,473.0","4,663.0","4,938.0","5,370.0","6,195.0","7,338.0","8,521.0","9,442.0","10,145.0","11,159.0","12,252.0","13,334.0","14,698.0","15,838.0","17,620.0","19,556.0","21,578.0","23,133.0","25,470.0","27,934.0","30,243.0","32,857.0","35,873.0","39,294.0","44,115.0","49,530.0","55,898.0","62,599.0","71,058.0","79,236.0","87,693.0","97,984.0","107,695.0","121,214.0","133,046.0","145,065.0","158,914.0","174,296.0","192,966.0","210,095.0","227,411.0","242,963.0","261,066.0","284,737.0","307,550.0","329,257.0","354,346.0","381,400.0","415,871.0","441,650.0","466,564.0","489,710.0","515,223.0","537,726.0","557,063.0","580,081.0","606,411.0","642,463.0","678,997.0","725,042.0","765,758.0","811,655.0","842,913.0","883,338.0","927,128.0","979,941.0","1,026,913.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
