"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"32","14","Net exports of goods and services","A019CX1","4,502.0","6,334.0","9,330.0","6,716.0","3,962.0","1,732.0","-1,654.0","-2,230.0","1,469.0","-811.0","-3,372.0","6,538.0","14,952.0","22,813.0","13,563.0","7,013.0","9,434.0","18,392.0","37,582.0","36,754.0","27,899.0"
"33","15","  Exports","A020CX1","38,416.0","41,163.0","46,009.0","47,299.0","50,577.0","51,743.0","55,809.0","58,508.0","64,798.0","65,897.0","70,843.0","84,198.0","90,852.0","90,277.0","94,219.0","96,487.0","106,660.0","117,232.0","129,859.0","131,455.0","121,410.0"
"34","16","    Goods","A253CX1","28,014.0","30,215.0","34,354.0","34,535.0","36,934.0","37,107.0","40,047.0","42,145.0","46,950.0","46,767.0","51,794.0","63,691.0","68,749.0","67,152.0","70,340.0","71,258.0","79,223.0","88,583.0","99,140.0","98,066.0","89,204.0"
"35","17","    Services","A646CX1","10,343.0","10,868.0","11,518.0","12,690.0","13,562.0","14,632.0","15,756.0","16,342.0","17,797.0","19,170.0","19,049.0","20,396.0","21,987.0","23,338.0","24,028.0","25,579.0","27,718.0","28,571.0","30,354.0","33,586.0","32,655.0"
"36","18","  Imports","A021CX1","33,914.0","34,829.0","36,679.0","40,583.0","46,614.0","50,011.0","57,463.0","60,738.0","63,329.0","66,709.0","74,216.0","77,659.0","75,900.0","67,464.0","80,656.0","89,473.0","97,226.0","98,840.0","92,277.0","94,702.0","93,511.0"
"37","19","    Goods","A255CX1","22,660.0","23,577.0","25,133.0","28,692.0","33,214.0","34,964.0","42,187.0","44,496.0","46,240.0","50,117.0","56,934.0","60,952.0","59,259.0","51,791.0","63,502.0","71,240.0","77,629.0","78,961.0","73,099.0","74,605.0","72,731.0"
"38","20","    Services","B656CX1","11,230.0","11,222.0","11,511.0","11,850.0","13,355.0","14,987.0","15,257.0","16,219.0","17,064.0","16,579.0","17,282.0","16,699.0","16,680.0","15,957.0","17,058.0","17,908.0","19,185.0","19,449.0","19,015.0","20,110.0","21,182.0"
"39","21","Government consumption expenditures and gross investment","A822CX1","213,507.0","219,006.0","223,827.0","230,559.0","250,874.0","270,130.0","278,608.0","277,959.0","271,248.0","265,344.0","263,419.0","262,496.0","269,107.0","275,172.0","276,408.0","279,436.0","287,667.0","293,037.0","298,749.0","301,473.0","306,766.0"
"40","22","  Federal","A823CX1","124,336.0","124,414.0","122,769.0","122,712.0","136,291.0","149,856.0","151,065.0","145,881.0","135,129.0","124,726.0","119,628.0","114,594.0","115,611.0","115,987.0","116,042.0","118,497.0","121,467.0","124,401.0","130,301.0","136,530.0","141,810.0"
"41","23","    National defense","A824CX1","102,019.0","99,578.0","95,630.0","93,621.0","107,054.0","121,081.0","123,042.0","116,965.0","106,362.0","94,304.0","86,932.0","82,111.0","81,473.0","80,701.0","80,425.0","81,359.0","82,053.0","84,549.0","88,235.0","93,822.0","100,912.0"
"42","24","    Nondefense","A825CX1","22,868.0","25,313.0","27,513.0","29,377.0","29,680.0","29,401.0","28,705.0","29,474.0","29,164.0","30,540.0","32,696.0","32,495.0","34,182.0","35,349.0","35,685.0","37,219.0","39,532.0","39,949.0","42,186.0","42,749.0","40,698.0"
"43","25","  State and local","A829CX1","89,948.0","95,362.0","101,834.0","108,661.0","115,482.0","121,317.0","128,496.0","132,833.0","136,518.0","140,699.0","143,791.0","147,889.0","153,453.0","159,091.0","160,265.0","160,846.0","166,102.0","168,543.0","168,419.0","165,030.0","165,110.0"
"44","26","Residual","A960CX1","-8,900.0","-7,900.0","-6,400.0","-4,400.0","-3,900.0","-6,000.0","-5,000.0","-3,500.0","-1,900.0","-1,200.0","0.0","1,500.0","2,400.0","3,800.0","400.0","-2,700.0","-2,400.0","-200.0","6,300.0","5,500.0","4,000.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note. Chained (1972) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","quantity index and the 1972 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
