"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","    Crops","B1005C1","5,130.0","3,868.0","2,540.0","1,996.0","2,391.0","2,866.0","2,947.0","3,724.0","3,816.0","2,886.0","3,552.0","3,259.0","4,652.0","6,357.0","8,300.0","9,095.0","10,068.0","11,239.0","13,073.0","12,089.0","11,999.0","13,116.0","13,447.0","13,832.0","12,478.0","13,801.0","14,407.0","14,469.0","12,692.0","12,815.0","16,186.0","14,797.0","14,987.0","16,120.0","17,464.0","17,720.0","17,681.0","18,862.0","18,209.0","17,419.0","19,617.0","21,770.0","21,944.0","25,997.0","42,137.0","51,449.0","45,809.0","48,374.0","45,042.0","54,151.0","64,181.0","72,276.0","70,457.0","65,018.0","70,579.0","71,711.0","66,526.0","63,741.0","71,602.0","79,774.0","82,506.0","82,826.0","84,833.0","86,593.0","91,814.0","92,817.0","107,040.0","108,561.0","112,233.0","103,855.0","96,071.0","97,971.0","95,176.0","101,812.0","111,472.0","116,860.0","114,966.0","123,767.0","151,744.0","185,894.0"
"22","4","    Livestock","B1006C1","6,182.0","5,187.0","3,841.0","2,752.0","2,846.0","3,336.0","4,143.0","4,742.0","4,940.0","4,523.0","4,536.0","4,913.0","6,492.0","9,039.0","11,493.0","11,351.0","12,008.0","13,786.0","16,527.0","17,129.0","15,409.0","16,106.0","19,619.0","18,238.0","16,923.0","16,275.0","15,967.0","16,363.0","17,376.0","19,227.0","18,904.0","18,989.0","19,514.0","20,158.0","20,047.0","19,948.0","21,886.0","25,026.0","24,383.0","25,487.0","28,573.0","29,532.0","30,479.0","35,584.0","45,772.0","41,326.0","43,089.0","46,323.0","47,635.0","59,162.0","69,235.0","67,991.0","69,150.0","70,259.0","69,607.0","72,894.0","69,822.0","71,554.0","75,996.0","79,640.0","83,604.0","89,110.0","85,787.0","85,750.0","90,545.0","88,294.0","87,217.0","92,949.0","96,475.0","94,249.0","95,714.0","99,618.0","106,697.0","93,957.0","107,017.0","123,524.0","125,079.0","118,704.0","138,631.0","141,180.0"
"23","5","  Farm products consumed on farms","B1008C1","1,713.0","1,552.0","1,265.0","993.0","1,030.0","1,125.0","1,320.0","1,394.0","1,434.0","1,235.0","1,209.0","1,210.0","1,429.0","1,758.0","2,253.0","2,181.0","2,356.0","2,662.0","2,765.0","2,733.0","2,230.0","2,063.0","2,304.0","2,220.0","2,007.0","1,789.0","1,678.0","1,585.0","1,484.0","1,505.0","1,289.0","1,134.0","1,109.0","993.0","921.0","835.0","811.0","824.0","736.0","719.0","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","301.0","343.0","414.0","387.0","376.0"
"24","6","  Other farm income","B1009C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","42.0","70.0","84.0","101.0","123.0","141.0","169.0","222.0","227.0","244.0","243.0","257.0","285.0","336.0","387.0","416.0","484.0","521.0","559.0","542.0","610.0","615.0","749.0","805.0","998.0","1,079.0","1,120.0","1,692.0","2,130.0","2,410.0","3,027.0","4,817.0","4,144.0","3,529.0","4,639.0","4,446.0","5,131.0","5,412.0","5,157.0","4,932.0","5,145.0","4,682.0","5,144.0","5,070.0","6,338.0","6,098.0","7,414.0","8,529.0","9,399.0","8,426.0","9,566.0","9,577.0","10,749.0","12,293.0","11,306.0","13,082.0","12,581.0","14,626.0"
"25","7","  Change in farm finished goods inventories","W248RC1","-122.0","-269.0","460.0","110.0","-99.0","-775.0","728.0","-881.0","924.0","446.0","-121.0","491.0","387.0","1,268.0","-226.0","-320.0","-852.0","-194.0","-1,790.0","2,663.0","-604.0","-85.0","998.0","1,381.0","724.0","201.0","-564.0","-963.0","92.0","1,970.0","-1,562.0","552.0","880.0","583.0","492.0","-1,179.0","822.0","-500.0","885.0","1,372.0","18.0","-838.0","1,661.0","289.0","1,527.0","-2,781.0","3,360.0","-838.0","4,533.0","1,371.0","3,568.0","-6,114.0","8,760.0","5,754.0","-15,355.0","5,728.0","5,754.0","-1,450.0","-6,418.0","-11,877.0","-14.0","2,380.0","-1,107.0","4,977.0","-5,889.0","10,804.0","-9,178.0","7,759.0","2,843.0","807.0","-1,585.0","-2,016.0","610.0","-3,729.0","324.0","9,020.0","-213.0","-3,308.0","-397.0","-6,812.0"
"26","8","    Crops","B1010C1","-210.0","-308.0","385.0","25.0","-129.0","-537.0","726.0","-795.0","998.0","366.0","-319.0","432.0","81.0","703.0","-661.0","322.0","-607.0","285.0","-1,208.0","2,719.0","-799.0","-692.0","-19.0","801.0","805.0","-61.0","-603.0","-641.0","286.0","1,372.0","-1,980.0","464.0","508.0","-2.0","96.0","-1,140.0","997.0","-721.0","803.0","1,154.0","-204.0","-1,503.0","1,200.0","-156.0","-292.0","-3,235.0","4,404.0","-151.0","5,778.0","2,646.0","2,709.0","-7,453.0","8,474.0","6,401.0","-14,978.0","7,374.0","7,573.0","12.0","-5,588.0","-10,300.0","662.0","1,943.0","-2,114.0","3,999.0","-6,959.0","9,692.0","-9,426.0","8,906.0","3,217.0","1,069.0","-932.0","-1,390.0","1,022.0","-3,159.0","1,155.0","8,436.0","-1,515.0","-3,799.0","-84.0","-5,121.0"
"27","9","    Livestock","B1011C1","88.0","39.0","75.0","85.0","30.0","-238.0","2.0","-86.0","-74.0","80.0","198.0","59.0","306.0","565.0","435.0","-642.0","-245.0","-479.0","-583.0","-56.0","196.0","607.0","1,017.0","580.0","-81.0","261.0","39.0","-323.0","-195.0","598.0","418.0","89.0","372.0","585.0","396.0","-38.0","-175.0","221.0","82.0","218.0","222.0","665.0","460.0","445.0","1,818.0","454.0","-1,045.0","-688.0","-1,245.0","-1,275.0","859.0","1,339.0","286.0","-646.0","-377.0","-1,646.0","-1,819.0","-1,462.0","-830.0","-1,577.0","-676.0","436.0","1,007.0","978.0","1,070.0","1,112.0","248.0","-1,147.0","-374.0","-261.0","-653.0","-626.0","-412.0","-570.0","-831.0","584.0","1,303.0","492.0","-313.0","-1,691.0"
"28","10","Less: Intermediate goods and services consumed","A2003C1","3,968.0","3,382.0","2,440.0","1,902.0","2,057.0","2,389.0","2,706.0","3,128.0","3,457.0","3,133.0","3,468.0","4,014.0","4,642.0","6,039.0","7,208.0","7,732.0","8,431.0","9,651.0","11,516.0","12,515.0","11,450.0","12,495.0","14,750.0","14,953.0","13,543.0","13,970.0","14,340.0","14,526.0","14,894.0","16,652.0","17,729.0","17,546.0","18,401.0","19,700.0","20,715.0","20,320.0","21,647.0","23,803.0","24,577.0","25,021.0","26,673.0","28,097.0","30,067.0","33,723.0","44,537.0","47,744.0","48,759.0","53,102.0","55,958.0","66,865.0","80,357.0","86,427.0","87,656.0","86,566.0","85,091.0","90,728.0","84,240.0","79,695.0","85,583.0","92,941.0","98,155.0","102,628.0","104,661.0","102,185.0","110,796.0","113,598.0","122,755.0","122,534.0","131,431.0","128,605.0","128,760.0","130,699.0","136,120.0","129,594.0","137,425.0","143,744.0","149,463.0","159,610.0","186,788.0","203,189.0"
"29","11","      Other than rent","W249RC1","3,301.0","2,877.0","2,127.0","1,683.0","1,779.0","2,058.0","2,311.0","2,668.0","3,023.0","2,788.0","3,094.0","3,564.0","3,971.0","5,141.0","6,160.0","6,696.0","7,386.0","8,295.0","10,026.0","11,084.0","10,253.0","11,166.0","13,259.0","13,419.0","12,191.0","12,645.0","13,072.0","13,249.0","13,725.0","15,307.0","16,399.0","16,138.0","16,843.0","18,002.0","18,811.0","18,413.0","19,488.0","21,574.0","22,460.0","22,784.0","24,372.0","25,794.0","27,676.0","30,292.0","39,128.0","42,719.0","43,789.0","48,618.0","51,516.0","61,530.0","73,538.0","78,872.0","79,666.0","78,561.0","77,903.0","80,556.0","74,466.0","72,210.0","76,955.0","84,094.0","87,641.0","91,510.0","93,915.0","91,087.0","99,941.0","102,457.0","111,273.0","110,191.0","118,356.0","116,456.0","118,984.0","120,571.0","125,348.0","120,290.0","129,046.0","135,396.0","141,520.0","151,807.0","179,771.0","194,982.0"
"30","12","        Intermediate goods and services purchased, other than rent","B1012C1","3,301.0","2,877.0","2,127.0","1,683.0","1,779.0","2,058.0","2,311.0","2,668.0","3,023.0","2,788.0","3,094.0","3,564.0","3,971.0","5,141.0","6,160.0","6,696.0","7,386.0","8,295.0","10,026.0","11,084.0","10,253.0","11,166.0","13,259.0","13,419.0","12,191.0","12,645.0","13,072.0","13,249.0","13,725.0","15,307.0","16,399.0","16,138.0","16,843.0","18,002.0","18,811.0","18,413.0","19,488.0","21,574.0","22,460.0","22,784.0","24,372.0","25,794.0","27,676.0","30,292.0","39,128.0","42,719.0","43,789.0","48,618.0","51,516.0","61,530.0","73,538.0","78,872.0","79,666.0","78,561.0","77,903.0","80,556.0","74,466.0","72,210.0","76,955.0","84,094.0","87,641.0","91,510.0","93,747.0","92,372.0","99,654.0","103,686.0","109,388.0","111,055.0","118,843.0","116,915.0","117,839.0","121,189.0","124,775.0","121,522.0","128,814.0","135,183.0","141,849.0","151,512.0","179,522.0","194,718.0"
"31","13","        Less: Change in farm materials and supplies inventories","W250RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-168.0","1,285.0","-287.0","1,229.0","-1,885.0","864.0","487.0","459.0","-1,145.0","618.0","-574.0","1,232.0","-232.0","-213.0","329.0","-295.0","-249.0","-264.0"
"32","14","      Rent paid to nonoperator landlords","B1013C1","667.0","505.0","313.0","220.0","278.0","332.0","396.0","460.0","434.0","345.0","374.0","450.0","671.0","898.0","1,048.0","1,036.0","1,045.0","1,355.0","1,490.0","1,431.0","1,197.0","1,329.0","1,491.0","1,535.0","1,352.0","1,325.0","1,268.0","1,277.0","1,169.0","1,345.0","1,330.0","1,408.0","1,558.0","1,698.0","1,904.0","1,907.0","2,158.0","2,229.0","2,118.0","2,237.0","2,301.0","2,303.0","2,391.0","3,432.0","5,409.0","5,025.0","4,971.0","4,484.0","4,443.0","5,335.0","6,820.0","7,555.0","7,990.0","8,005.0","7,187.0","10,172.0","9,774.0","7,485.0","8,628.0","8,847.0","10,515.0","11,118.0","10,746.0","11,098.0","10,855.0","11,141.0","11,482.0","12,343.0","13,075.0","12,150.0","9,776.0","10,128.0","10,772.0","9,304.0","8,379.0","8,348.0","7,943.0","7,802.0","7,017.0","8,206.0"
"33","15","Equals: Gross farm value added","B359RC1","8,935.0","6,956.0","5,667.0","3,949.0","4,111.0","4,163.0","6,432.0","5,851.0","7,658.0","5,956.0","5,708.0","5,859.0","8,318.0","12,383.0","14,612.0","14,575.0","15,149.0","17,842.0","19,059.0","22,099.0","17,585.0","18,725.0","21,660.0","20,788.0","18,673.0","18,196.0","17,270.0","17,069.0","16,919.0","19,087.0","17,315.0","18,170.0","18,333.0","18,410.0","18,494.0","17,340.0","19,940.0","20,825.0","20,120.0","20,497.0","22,825.0","23,685.0","25,371.0","29,650.0","46,762.0","44,245.0","45,625.0","43,021.0","43,533.0","50,726.0","60,103.0","51,368.0","64,952.0","60,412.0","44,934.0","64,151.0","63,427.0","59,492.0","61,472.0","60,740.0","73,769.0","77,258.0","70,605.0","80,392.0","71,361.0","83,899.0","69,142.0","93,279.0","87,949.0","79,217.0","71,189.0","73,617.0","76,214.0","72,304.0","92,412.0","118,254.0","102,018.0","93,050.0","116,157.0","132,076.0"
"34","16","Less: Consumption of fixed capital","B366RC1","722.0","716.0","665.0","592.0","555.0","545.0","529.0","546.0","598.0","630.0","619.0","628.0","697.0","820.0","816.0","865.0","896.0","954.0","1,262.0","1,575.0","1,837.0","2,051.0","2,345.0","2,518.0","2,610.0","2,669.0","2,705.0","2,833.0","2,928.0","3,069.0","3,154.0","3,098.0","3,105.0","3,158.0","3,254.0","3,383.0","3,599.0","3,876.0","4,183.0","4,466.0","4,759.0","5,056.0","5,435.0","5,838.0","6,343.0","7,472.0","8,916.0","9,959.0","11,162.0","12,462.0","14,241.0","16,335.0","17,964.0","19,045.0","18,943.0","18,628.0","18,163.0","17,792.0","17,417.0","17,274.0","17,593.0","17,932.0","18,224.0","18,167.0","18,206.0","18,707.0","19,432.0","20,225.0","20,984.0","22,013.0","22,785.0","23,259.0","23,890.0","24,654.0","25,754.0","27,367.0","29,495.0","31,272.0","32,843.0","34,642.0"
"35","17","Equals: Net farm value added","A365RC1","8,213.0","6,240.0","5,002.0","3,357.0","3,556.0","3,618.0","5,903.0","5,305.0","7,060.0","5,326.0","5,089.0","5,231.0","7,621.0","11,563.0","13,796.0","13,710.0","14,253.0","16,888.0","17,797.0","20,524.0","15,748.0","16,674.0","19,315.0","18,270.0","16,063.0","15,527.0","14,565.0","14,236.0","13,991.0","16,018.0","14,161.0","15,072.0","15,228.0","15,252.0","15,240.0","13,957.0","16,341.0","16,949.0","15,937.0","16,031.0","18,066.0","18,629.0","19,936.0","23,812.0","40,419.0","36,773.0","36,709.0","33,062.0","32,371.0","38,264.0","45,862.0","35,033.0","46,988.0","41,367.0","25,991.0","45,523.0","45,264.0","41,700.0","44,055.0","43,466.0","56,176.0","59,326.0","52,381.0","62,225.0","53,155.0","65,192.0","49,710.0","73,054.0","66,965.0","57,204.0","48,404.0","50,358.0","52,324.0","47,650.0","66,658.0","90,887.0","72,523.0","61,778.0","83,314.0","97,434.0"
"36","18","          Compensation of employees","A2006C1","1,304.0","1,181.0","918.0","673.0","620.0","682.0","778.0","871.0","992.0","983.0","992.0","1,033.0","1,252.0","1,634.0","2,030.0","2,207.0","2,306.0","2,542.0","2,793.0","3,000.0","2,817.0","2,821.0","2,932.0","2,868.0","2,746.0","2,606.0","2,598.0","2,611.0","2,710.0","2,872.0","2,952.0","3,093.0","3,225.0","3,319.0","3,413.0","3,457.0","3,558.0","3,623.0","3,629.0","3,768.0","4,023.0","4,215.0","4,211.0","4,349.0","5,127.0","5,990.0","6,482.0","7,345.0","7,794.0","8,172.0","8,899.0","9,198.0","8,955.0","10,014.0","9,660.0","9,748.0","9,904.0","9,271.0","9,412.0","10,576.0","11,409.0","13,435.0","13,236.0","13,008.0","14,191.0","14,435.0","15,484.0","16,028.0","17,143.0","18,213.0","18,908.0","19,723.0","20,885.0","20,798.0","20,501.0","22,335.0","22,610.0","23,135.0","23,518.0","24,375.0"
