"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"35","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","50,409.0","44,856.0","35,059.0","25,394.0","24,656.0","31,110.0","34,511.0","39,710.0","45,233.0","39,700.0","43,883.0","50,447.0","65,785.0","83,071.0","98,789.0","102,264.0","95,489.0","99,351.0","120,617.0","138,409.0","134,744.0","153,097.0","175,708.0","183,368.0","195,932.0","192,859.0","217,733.0","232,700.0","243,103.0","237,126.0","265,986.0","276,366.0","283,733.0","309,760.0","329,895.0","356,075.0","391,228.0","428,983.0","451,150.0","497,802.0","540,461.0","558,313.0","603,040.0","669,422.0","750,771.0","809,842.0","876,661.0","989,727.0","1,119,364.0","1,272,678.0","1,414,431.0","1,534,513.0","1,742,193.0","1,802,613.0","1,929,090.0","2,161,413.0","2,293,903.0","2,383,198.0","2,550,964.0","2,765,395.0","2,899,231.0","3,035,224.0","3,104,136.0","3,241,097.0","3,398,381.0","3,677,566.0","3,887,980.0","4,119,418.0","4,412,482.0","4,668,322.0","4,955,537.0","5,279,431.0","5,252,459.0","5,307,658.0","5,503,738.0","5,877,456.0","6,302,783.0","6,740,302.0","6,970,081.0","6,971,455.0","6,667,729.0"
"36","18","Consumption of fixed capital","B456RC1","4,776.0","4,612.0","4,304.0","3,828.0","3,632.0","3,700.0","3,760.0","3,788.0","4,236.0","4,292.0","4,264.0","4,436.0","4,876.0","5,512.0","5,568.0","5,700.0","5,904.0","6,664.0","8,540.0","9,996.0","10,808.0","11,520.0","13,128.0","13,924.0","14,816.0","15,564.0","16,452.0","18,500.0","20,464.0","21,800.0","22,728.0","23,064.0","23,664.0","24,520.0","25,620.0","27,028.0","29,092.0","31,932.0","35,152.0","38,740.0","42,916.0","47,480.0","51,956.0","56,464.0","63,128.0","74,164.0","88,624.0","97,776.0","110,116.0","125,148.0","144,264.0","166,668.0","192,420.0","212,840.0","219,296.0","228,840.0","244,004.0","258,004.0","270,048.0","287,268.0","303,928.0","321,020.0","336,112.0","344,084.0","359,036.0","380,068.0","408,252.0","435,060.0","466,856.0","499,860.0","539,264.0","590,068.0","631,956.0","654,520.0","668,992.0","695,596.0","742,960.0","800,944.0","849,444.0","898,432.0","901,962.0"
"37","19","Net value added","A457RC1","45,633.0","40,244.0","30,755.0","21,566.0","21,024.0","27,410.0","30,751.0","35,922.0","40,997.0","35,408.0","39,619.0","46,011.0","60,909.0","77,559.0","93,221.0","96,564.0","89,585.0","92,687.0","112,077.0","128,413.0","123,936.0","141,577.0","162,580.0","169,444.0","181,116.0","177,295.0","201,281.0","214,200.0","222,639.0","215,326.0","243,258.0","253,302.0","260,069.0","285,240.0","304,275.0","329,047.0","362,136.0","397,051.0","415,998.0","459,062.0","497,545.0","510,833.0","551,084.0","612,958.0","687,643.0","735,678.0","788,037.0","891,951.0","1,009,248.0","1,147,530.0","1,270,167.0","1,367,845.0","1,549,773.0","1,589,773.0","1,709,794.0","1,932,573.0","2,049,899.0","2,125,194.0","2,280,916.0","2,478,127.0","2,595,303.0","2,714,204.0","2,768,024.0","2,897,013.0","3,039,345.0","3,297,498.0","3,479,728.0","3,684,358.0","3,945,626.0","4,168,462.0","4,416,273.0","4,689,363.0","4,620,503.0","4,653,138.0","4,834,746.0","5,181,860.0","5,559,823.0","5,939,358.0","6,120,637.0","6,073,023.0","5,765,767.0"
"38","20","  Compensation of employees","A460RC1","32,147.0","28,791.0","23,522.0","17,432.0","16,597.0","19,585.0","21,537.0","24,641.0","28,781.0","25,513.0","28,023.0","31,010.0","39,642.0","50,790.0","61,991.0","64,833.0","61,658.0","66,853.0","78,763.0","87,467.0","84,902.0","94,387.0","109,808.0","117,770.0","128,198.0","125,945.0","137,886.0","150,770.0","158,411.0","155,209.0","170,794.0","180,409.0","184,516.0","199,256.0","210,106.0","225,657.0","245,400.0","272,851.0","291,064.0","321,866.0","357,096.0","376,469.0","399,436.0","443,879.0","502,160.0","552,186.0","575,463.0","651,383.0","735,288.0","845,125.0","958,393.0","1,047,164.0","1,157,618.0","1,200,373.0","1,263,054.0","1,400,021.0","1,496,109.0","1,575,408.0","1,678,428.0","1,804,713.0","1,905,676.0","2,005,493.0","2,044,764.0","2,152,894.0","2,244,011.0","2,382,137.0","2,511,467.0","2,631,274.0","2,814,628.0","3,049,652.0","3,256,530.0","3,541,777.0","3,559,380.0","3,544,159.0","3,651,336.0","3,786,723.0","3,976,325.0","4,182,335.0","4,364,185.0","4,427,934.0","4,178,436.0"
"39","21","    Wage and salary accruals","B461RC1","31,763.0","28,419.0","23,183.0","17,139.0","16,324.0","19,277.0","21,207.0","24,059.0","27,562.0","24,183.0","26,588.0","29,469.0","37,755.0","48,561.0","59,278.0","61,781.0","58,611.0","63,608.0","74,759.0","83,441.0","80,689.0","88,948.0","103,053.0","110,547.0","120,353.0","117,730.0","128,511.0","140,085.0","146,487.0","143,301.0","156,935.0","165,053.0","168,575.0","181,160.0","190,566.0","204,546.0","222,158.0","245,240.0","261,618.0","288,123.0","318,844.0","334,938.0","353,485.0","389,878.0","437,318.0","478,533.0","495,060.0","554,586.0","621,569.0","708,962.0","802,507.0","874,674.0","964,258.0","994,953.0","1,044,744.0","1,160,091.0","1,243,009.0","1,307,314.0","1,397,010.0","1,505,992.0","1,590,055.0","1,672,323.0","1,692,327.0","1,771,312.0","1,838,045.0","1,951,260.0","2,077,543.0","2,196,609.0","2,369,290.0","2,568,282.0","2,755,566.0","2,991,110.0","2,989,899.0","2,936,698.0","2,979,049.0","3,105,547.0","3,267,483.0","3,462,304.0","3,627,287.0","3,677,227.0","3,435,734.0"
"40","22","    Supplements to wages and salaries","B462RC1","384.0","372.0","339.0","293.0","273.0","308.0","330.0","582.0","1,219.0","1,330.0","1,435.0","1,541.0","1,887.0","2,229.0","2,713.0","3,052.0","3,047.0","3,245.0","4,004.0","4,026.0","4,213.0","5,439.0","6,755.0","7,223.0","7,845.0","8,215.0","9,375.0","10,685.0","11,924.0","11,908.0","13,859.0","15,356.0","15,941.0","18,096.0","19,540.0","21,111.0","23,242.0","27,611.0","29,446.0","33,743.0","38,252.0","41,531.0","45,951.0","54,001.0","64,842.0","73,653.0","80,403.0","96,797.0","113,719.0","136,163.0","155,886.0","172,490.0","193,360.0","205,420.0","218,310.0","239,930.0","253,100.0","268,094.0","281,418.0","298,721.0","315,621.0","333,170.0","352,437.0","381,582.0","405,966.0","430,877.0","433,924.0","434,665.0","445,338.0","481,370.0","500,964.0","550,667.0","569,481.0","607,461.0","672,287.0","681,176.0","708,842.0","720,031.0","736,898.0","750,707.0","742,702.0"
"41","23","  Taxes on production and imports less subsidies","W325RC1","2,953.0","2,991.0","2,796.0","2,894.0","3,405.0","4,017.0","4,076.0","4,282.0","4,529.0","4,484.0","4,652.0","5,027.0","5,918.0","6,277.0","6,641.0","7,338.0","8,098.0","9,525.0","11,192.0","12,378.0","12,955.0","14,363.0","15,365.0","16,797.0","17,885.0","17,317.0","19,160.0","20,803.0","22,049.0","22,306.0","24,397.0","26,600.0","27,620.0","29,869.0","31,667.0","33,878.0","36,022.0","36,973.0","39,311.0","45,535.0","50,181.0","54,249.0","59,516.0","63,665.0","70,075.0","74,430.0","80,194.0","86,668.0","94,631.0","102,726.0","108,757.0","121,536.0","146,651.0","152,915.0","168,018.0","185,003.0","196,579.0","204,565.0","216,840.0","233,839.0","248,156.0","263,528.0","285,729.0","302,501.0","317,995.0","347,847.0","354,235.0","365,587.0","380,955.0","393,068.0","414,648.0","439,350.0","434,472.0","461,852.0","484,229.0","517,666.0","558,370.0","593,286.0","612,759.0","621,017.0","601,858.0"
"42","24","  Net operating surplus","W326RC1","10,533.0","8,462.0","4,437.0","1,240.0","1,022.0","3,808.0","5,138.0","6,999.0","7,687.0","5,411.0","6,944.0","9,974.0","15,349.0","20,492.0","24,589.0","24,393.0","19,829.0","16,309.0","22,122.0","28,568.0","26,079.0","32,827.0","37,407.0","34,877.0","35,033.0","34,033.0","44,235.0","42,627.0","42,179.0","37,811.0","48,067.0","46,293.0","47,933.0","56,115.0","62,502.0","69,512.0","80,714.0","87,227.0","85,623.0","91,661.0","90,268.0","80,115.0","92,132.0","105,414.0","115,408.0","109,062.0","132,380.0","153,900.0","179,329.0","199,679.0","203,017.0","199,145.0","245,504.0","236,485.0","278,722.0","347,549.0","357,211.0","345,221.0","385,648.0","439,575.0","441,471.0","445,183.0","437,531.0","441,618.0","477,339.0","567,514.0","614,026.0","687,497.0","750,043.0","725,742.0","745,095.0","708,236.0","626,651.0","647,127.0","699,181.0","877,471.0","1,025,128.0","1,163,737.0","1,143,693.0","1,024,072.0","985,473.0"
"43","25","    Net interest and miscellaneous payments","B471RC1","1,358.0","1,606.0","1,778.0","1,765.0","1,738.0","1,684.0","1,670.0","1,600.0","1,590.0","1,524.0","1,476.0","1,335.0","1,237.0","1,220.0","1,060.0","990.0","942.0","653.0","760.0","824.0","951.0","885.0","1,023.0","1,178.0","1,262.0","1,579.0","1,637.0","1,763.0","2,175.0","2,750.0","2,909.0","3,191.0","3,691.0","4,336.0","4,685.0","5,157.0","5,829.0","7,044.0","8,447.0","9,672.0","12,712.0","16,582.0","17,607.0","18,637.0","21,809.0","27,541.0","28,406.0","25,950.0","28,497.0","33,377.0","41,772.0","54,194.0","67,240.0","77,435.0","76,983.0","85,964.0","91,492.0","98,454.0","95,851.0","107,894.0","133,934.0","143,098.0","139,635.0","114,232.0","99,765.0","98,768.0","112,732.0","112,060.0","124,697.0","146,821.0","164,528.0","192,824.0","197,685.0","163,686.0","147,877.0","134,402.0","148,174.0","164,045.0","228,141.0","242,064.0","227,401.0"
"44","26","    Business current transfer payments (net)","W327RC1","310.0","306.0","337.0","352.0","331.0","319.0","312.0","318.0","326.0","297.0","306.0","317.0","367.0","419.0","494.0","630.0","667.0","480.0","573.0","626.0","619.0","629.0","768.0","868.0","1,005.0","904.0","1,036.0","1,097.0","1,169.0","1,249.0","1,334.0","1,361.0","1,522.0","1,678.0","1,708.0","1,979.0","2,228.0","2,706.0","2,812.0","3,051.0","3,165.0","3,314.0","3,700.0","3,968.0","4,673.0","4,056.0","5,026.0","6,990.0","8,976.0","9,512.0","9,470.0","10,207.0","11,434.0","8,821.0","10,546.0","11,741.0","16,078.0","27,306.0","29,890.0","27,402.0","23,997.0","25,357.0","26,606.0","31,307.0","30,057.0","35,280.0","30,712.0","38,016.0","39,176.0","35,174.0","47,090.0","47,910.0","58,915.0","56,256.0","65,183.0","65,527.0","79,317.0","75,804.0","68,630.0","70,417.0","77,768.0"
"45","27","    Corporate profits with IVA and CCAdj","A463RC1","8,865.0","6,550.0","2,322.0","-877.0","-1,047.0","1,805.0","3,156.0","5,081.0","5,771.0","3,590.0","5,162.0","8,322.0","13,745.0","18,853.0","23,035.0","22,773.0","18,220.0","15,176.0","20,789.0","27,118.0","24,509.0","31,313.0","35,616.0","32,831.0","32,766.0","31,550.0","41,562.0","39,767.0","38,835.0","33,812.0","43,824.0","41,741.0","42,720.0","50,101.0","56,109.0","62,376.0","72,657.0","77,477.0","74,364.0","78,938.0","74,391.0","60,219.0","70,825.0","82,809.0","88,926.0","77,465.0","98,948.0","120,960.0","141,856.0","156,790.0","151,775.0","134,744.0","166,830.0","150,229.0","191,193.0","249,844.0","249,641.0","219,461.0","259,907.0","304,279.0","283,540.0","276,728.0","271,290.0","296,079.0","347,517.0","433,466.0","470,582.0","537,421.0","586,170.0","543,747.0","533,477.0","467,502.0","370,051.0","427,185.0","486,121.0","677,542.0","797,637.0","923,888.0","846,922.0","711,591.0","680,304.0"
"46","28","      Taxes on corporate income","B465RC1","1,149.0","740.0","450.0","345.0","488.0","681.0","863.0","1,257.0","1,359.0","912.0","1,330.0","2,675.0","7,352.0","11,112.0","13,732.0","12,557.0","10,184.0","8,573.0","10,777.0","11,681.0","9,262.0","16,764.0","21,104.0","17,677.0","18,369.0","15,528.0","20,115.0","19,919.0","18,981.0","16,064.0","20,682.0","19,142.0","19,419.0","20,591.0","22,754.0","23,888.0","27,137.0","29,492.0","27,828.0","33,534.0","33,344.0","27,286.0","29,995.0","33,795.0","40,409.0","42,849.0","41,908.0","53,495.0","60,578.0","67,556.0","70,619.0","68,203.0","65,994.0","48,763.0","61,721.0","75,940.0","71,083.0","76,238.0","94,230.0","103,953.0","101,208.0","98,453.0","88,598.0","94,429.0","108,041.0","132,356.0","140,323.0","152,928.0","161,359.0","158,668.0","171,371.0","170,193.0","111,245.0","97,106.0","132,889.0","186,989.0","271,866.0","307,639.0","299,318.0","237,807.0","222,059.0"
"47","29","      Profits after tax with IVA and CCAdj","W328RC1","7,716.0","5,810.0","1,872.0","-1,222.0","-1,535.0","1,124.0","2,293.0","3,824.0","4,412.0","2,678.0","3,832.0","5,647.0","6,393.0","7,741.0","9,303.0","10,216.0","8,036.0","6,603.0","10,012.0","15,437.0","15,247.0","14,549.0","14,512.0","15,154.0","14,397.0","16,022.0","21,447.0","19,848.0","19,854.0","17,748.0","23,142.0","22,599.0","23,301.0","29,510.0","33,355.0","38,488.0","45,520.0","47,985.0","46,536.0","45,404.0","41,047.0","32,933.0","40,830.0","49,014.0","48,517.0","34,616.0","57,040.0","67,465.0","81,278.0","89,234.0","81,156.0","66,541.0","100,836.0","101,466.0","129,472.0","173,904.0","178,558.0","143,223.0","165,677.0","200,326.0","182,332.0","178,275.0","182,692.0","201,650.0","239,476.0","301,110.0","330,259.0","384,493.0","424,811.0","385,079.0","362,106.0","297,309.0","258,806.0","330,079.0","353,232.0","490,553.0","525,771.0","616,249.0","547,604.0","473,784.0","458,245.0"
"48","30","        Net dividends","B467RC1","5,077.0","4,957.0","3,757.0","2,396.0","1,981.0","2,677.0","3,170.0","4,298.0","4,424.0","2,745.0","3,425.0","3,710.0","4,144.0","3,761.0","3,943.0","4,055.0","4,068.0","4,856.0","5,359.0","5,877.0","6,040.0","7,375.0","7,042.0","7,053.0","7,243.0","7,357.0","8,415.0","9,007.0","9,226.0","9,115.0","9,816.0","10,455.0","10,576.0","11,590.0","12,444.0","13,996.0","16,195.0","16,751.0","17,273.0","19,038.0","19,026.0","18,295.0","18,145.0","19,672.0","20,750.0","21,532.0","24,571.0","27,775.0","30,911.0","35,926.0","37,639.0","44,651.0","52,502.0","54,059.0","63,247.0","67,206.0","72,004.0","72,857.0","76,251.0","82,165.0","105,362.0","118,299.0","125,539.0","134,266.0","149,182.0","157,976.0","178,025.0","197,550.0","215,946.0","241,033.0","224,667.0","251,327.0","245,419.0","254,793.0","293,403.0","364,487.0","170,857.0","471,129.0","465,232.0","409,301.0","360,981.0"
"49","31","        Undistributed profits with IVA and CCAdj","W332RC1","2,639.0","853.0","-1,885.0","-3,618.0","-3,516.0","-1,553.0","-877.0","-474.0","-12.0","-67.0","407.0","1,937.0","2,249.0","3,980.0","5,360.0","6,161.0","3,968.0","1,747.0","4,653.0","9,560.0","9,207.0","7,174.0","7,470.0","8,101.0","7,154.0","8,665.0","13,032.0","10,841.0","10,628.0","8,633.0","13,326.0","12,144.0","12,725.0","17,920.0","20,911.0","24,492.0","29,325.0","31,234.0","29,263.0","26,366.0","22,021.0","14,638.0","22,685.0","29,342.0","27,767.0","13,084.0","32,469.0","39,690.0","50,367.0","53,308.0","43,517.0","21,890.0","48,334.0","47,407.0","66,225.0","106,698.0","106,554.0","70,366.0","89,426.0","118,161.0","76,970.0","59,976.0","57,153.0","67,384.0","90,294.0","143,134.0","152,234.0","186,943.0","208,865.0","144,046.0","137,439.0","45,982.0","13,387.0","75,286.0","59,829.0","126,066.0","354,914.0","145,120.0","82,372.0","64,483.0","97,264.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","32","    Profits before tax (without IVA and CCAdj)","A446RC1","10,363.0","4,154.0","361.0","-1,446.0","1,730.0","3,019.0","4,057.0","6,827.0","7,178.0","4,142.0","7,304.0","10,171.0","17,951.0","21,669.0","25,180.0","24,032.0","19,679.0","24,245.0","30,959.0","34,615.0","28,482.0","41,964.0","43,044.0","38,342.0","39,885.0","37,381.0","47,530.0","47,642.0","45,988.0","40,440.0","51,038.0","48,494.0","48,253.0","53,234.0","57,998.0","64,627.0","75,444.0","82,172.0","78,772.0","86,803.0","84,776.0","73,892.0","85,024.0","98,690.0","120,074.0","130,308.0","130,911.0","163,190.0","191,396.0","223,267.0","237,522.0","218,071.0","214,063.0","166,029.0","198,940.0","232,042.0","219,359.0","206,487.0","275,087.0","332,939.0","323,324.0","335,599.0","348,917.0","401,311.0","442,092.0","521,065.0","591,349.0","638,766.0","694,207.0","620,126.0","658,998.0","626,847.0","543,021.0","607,461.0","737,722.0","1,024,376.0","1,400,716.0","1,565,879.0","1,426,638.0","1,085,548.0","1,115,800.0"
"53","33","    Profits after tax (without IVA and CCAdj)","A448RC1","8,994.0","3,312.0","-137.0","-1,831.0","1,209.0","2,275.0","3,106.0","5,418.0","5,676.0","3,113.0","5,863.0","7,337.0","10,341.0","10,254.0","11,106.0","11,083.0","8,990.0","15,141.0","19,691.0","22,194.0","18,279.0","24,039.0","20,485.0","18,943.0","19,598.0","19,757.0","25,489.0","25,649.0","24,565.0","21,476.0","27,311.0","25,712.0","25,363.0","29,139.0","31,627.0","36,472.0","44,379.0","48,291.0","45,873.0","47,175.0","44,799.0","39,135.0","46,859.0","56,349.0","70,101.0","77,523.0","79,265.0","97,902.0","116,955.0","138,409.0","147,506.0","130,881.0","129,724.0","99,530.0","118,292.0","134,511.0","119,953.0","96,812.0","144,646.0","191,309.0","177,256.0","190,175.0","210,326.0","252,623.0","271,058.0","327,924.0","373,511.0","407,297.0","448,786.0","371,760.0","400,214.0","361,755.0","339,726.0","415,125.0","493,955.0","718,282.0","988,332.0","1,092,612.0","975,096.0","793,368.0","800,990.0"
"54","34","    Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-44,009.0","-38,219.0","9,110.0"
"55","35","    Capital consumption adjustment","A059RC1","-411.0","-193.0","63.0","163.0","143.0","-72.0","-131.0","-149.0","-565.0","-605.0","-514.0","-589.0","-594.0","-409.0","-35.0","615.0","735.0","-1,733.0","-2,559.0","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-188,684.0","-64,141.0","-127,800.0"
"56",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","36","    Profits before tax (without IVA and CCAdj)","A464RC1","8,712.0","3,404.0","-221.0","-2,133.0","918.0","2,454.0","3,476.0","5,932.0","6,309.0","3,172.0","6,323.0","9,054.0","16,720.0","20,311.0","23,697.0","22,286.0","17,907.0","22,052.0","29,019.0","31,869.0","25,182.0","38,656.0","39,319.0","33,929.0","35,042.0","32,271.0","42,200.0","41,966.0","39,990.0","33,990.0","43,431.0","40,063.0","39,927.0","44,640.0","49,703.0","55,874.0","66,142.0","71,435.0","67,580.0","74,006.0","71,186.0","58,515.0","67,399.0","79,537.0","99,544.0","110,152.0","110,708.0","138,233.0","159,472.0","183,719.0","197,166.0","184,085.0","184,959.0","139,981.0","163,401.0","197,639.0","173,465.0","149,728.0","213,528.0","264,140.0","243,139.0","243,283.0","226,803.0","258,602.0","308,674.0","391,886.0","431,242.0","471,304.0","506,775.0","460,500.0","468,556.0","432,463.0","315,050.0","342,271.0","425,882.0","662,061.0","957,148.0","1,117,914.0","1,058,862.0","806,652.0","784,604.0"
"58","37","    Profits after tax (without IVA and CCAdj)","A466RC1","7,563.0","2,664.0","-671.0","-2,478.0","430.0","1,773.0","2,613.0","4,675.0","4,950.0","2,260.0","4,993.0","6,379.0","9,368.0","9,199.0","9,965.0","9,729.0","7,723.0","13,479.0","18,242.0","20,188.0","15,920.0","21,892.0","18,215.0","16,252.0","16,673.0","16,743.0","22,085.0","22,047.0","21,009.0","17,926.0","22,749.0","20,921.0","20,508.0","24,049.0","26,949.0","31,986.0","39,005.0","41,943.0","39,752.0","40,472.0","37,842.0","31,229.0","37,404.0","45,742.0","59,135.0","67,303.0","68,800.0","84,738.0","98,894.0","116,163.0","126,547.0","115,882.0","118,965.0","91,218.0","101,680.0","121,699.0","102,382.0","73,490.0","119,298.0","160,187.0","141,931.0","144,830.0","138,205.0","164,173.0","200,633.0","259,530.0","290,919.0","318,376.0","345,416.0","301,832.0","297,185.0","262,270.0","203,805.0","245,165.0","292,993.0","475,072.0","685,282.0","810,275.0","759,544.0","568,845.0","562,545.0"
"59","38","    Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-44,009.0","-38,219.0","9,110.0"
"60","39","    Capital consumption adjustment","B470RC1","-319.0","-114.0","129.0","209.0","178.0","-24.0","-93.0","-113.0","-507.0","-545.0","-447.0","-532.0","-504.0","-254.0","111.0","774.0","877.0","-1,613.0","-2,331.0","-2,599.0","-2,529.0","-2,378.0","-2,504.0","-2,079.0","-1,279.0","-403.0","1,098.0","494.0","384.0","77.0","670.0","1,851.0","2,522.0","5,435.0","6,352.0","6,996.0","7,760.0","8,149.0","8,338.0","8,583.0","9,075.0","8,256.0","8,010.0","9,882.0","8,951.0","5,534.0","-1,216.0","-3,160.0","-1,918.0","-3,220.0","-5,253.0","-7,208.0","6,497.0","17,753.0","35,237.0","56,184.0","76,155.0","62,672.0","62,618.0","62,313.0","56,749.0","46,337.0","39,560.0","40,298.0","42,864.0","54,016.0","57,624.0","63,046.0","65,305.0","67,504.0","68,875.0","51,848.0","46,957.0","87,480.0","71,522.0","49,736.0","-128,812.0","-155,993.0","-167,931.0","-56,842.0","-113,410.0"
"61",NA,"  Value added, in millions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","40","    Gross value added of nonfinancial corporate business \2\","B455RX1","320,121.0","297,766.0","269,075.0","228,176.0","222,127.0","253,034.0","275,274.0","314,766.0","341,095.0","315,840.0","353,123.0","398,531.0","478,948.0","544,941.0","608,457.0","620,300.0","574,172.0","554,046.0","592,567.0","639,200.0","633,801.0","716,147.0","756,373.0","783,070.0","839,667.0","830,459.0","930,759.0","960,174.0","972,544.0","934,424.0","1,040,202.0","1,074,983.0","1,099,199.0","1,193,207.0","1,264,859.0","1,354,151.0","1,466,718.0","1,571,899.0","1,614,280.0","1,719,034.0","1,788,525.0","1,774,101.0","1,847,322.0","1,988,529.0","2,111,009.0","2,077,595.0","2,047,090.0","2,214,417.0","2,378,473.0","2,533,979.0","2,612,378.0","2,584,654.0","2,687,869.0","2,622,618.0","2,746,209.0","2,989,384.0","3,120,291.0","3,197,932.0","3,364,671.0","3,560,427.0","3,618,157.0","3,672,607.0","3,655,486.0","3,767,956.0","3,866,509.0","4,115,289.0","4,309,379.0","4,547,965.0","4,843,819.0","5,123,529.0","5,422,547.0","5,707,929.0","5,604,639.0","5,629,315.0","5,767,416.0","6,040,362.0","6,302,783.0","6,536,534.0","6,649,415.0","6,675,510.0","6,286,376.0"
