"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"37","19","  From persons","B246RC1","311.0","272.0","208.0","182.0","148.0","147.0","144.0","142.0","141.0","144.0","136.0","134.0","135.0","138.0","137.0","140.0","151.0","150.0","179.0","242.0","283.0","282.0","303.0","316.0","346.0","374.0","380.0","433.0","522.0","527.0","276.0","301.0","431.0","491.0","473.0","544.0","526.0","730.0","923.0","997.0","1,067.0","1,193.0","1,390.0","1,651.0","1,707.0","1,953.0","2,368.0","2,872.0","3,298.0","3,673.0","4,143.0","4,720.0","5,692.0","6,366.0","7,150.0","8,140.0","9,230.0","10,641.0","11,165.0","12,017.0","13,407.0","14,939.0","18,688.0","21,892.0","23,527.0","25,249.0","26,474.0","27,762.0","30,279.0","31,090.0","34,233.0","38,024.0","42,040.0","45,626.0","49,469.0","53,744.0","56,508.0","59,236.0","63,685.0","68,785.0","73,070.0"
"38","20","Current surplus of government enterprises","B115RC1","105.0","107.0","90.0","88.0","101.0","127.0","166.0","192.0","199.0","181.0","216.0","256.0","301.0","337.0","401.0","428.0","468.0","402.0","387.0","341.0","397.0","432.0","485.0","509.0","555.0","672.0","838.0","869.0","871.0","863.0","1,118.0","1,247.0","1,330.0","1,377.0","1,622.0","1,642.0","1,692.0","1,607.0","1,546.0","1,509.0","1,469.0","1,480.0","1,366.0","1,570.0","1,468.0","875.0","397.0","359.0","314.0","264.0","-320.0","-1,217.0","-2,403.0","-1,601.0","-227.0","1,506.0","3,171.0","2,777.0","3,114.0","4,842.0","6,678.0","6,862.0","7,285.0","8,275.0","9,945.0","10,541.0","13,471.0","15,563.0","14,196.0","12,459.0","13,305.0","10,365.0","8,034.0","6,140.0","3,295.0","954.0","56.0","-1,334.0","-3,897.0","-3,155.0","-3,164.0"
"39","21","    Current expenditures","W024RC1","5,564.0","5,933.0","6,182.0","6,109.0","6,312.0","6,885.0","7,520.0","5,913.0","6,565.0","6,723.0","7,047.0","7,440.0","7,886.0","8,545.0","8,933.0","9,094.0","9,516.0","11,152.0","13,450.0","15,520.0","16,841.0","18,644.0","19,356.0","20,727.0","21,994.0","23,691.0","25,880.0","27,968.0","30,824.0","34,195.0","36,868.0","40,160.0","43,781.0","46,758.0","50,324.0","54,874.0","60,003.0","67,176.0","75,531.0","86,025.0","97,475.0","112,973.0","128,459.0","142,807.0","158,630.0","178,749.0","207,119.0","226,296.0","246,802.0","268,900.0","295,357.0","329,386.0","362,679.0","393,631.0","423,723.0","456,215.0","498,718.0","540,911.0","578,599.0","618,295.0","667,355.0","731,772.0","795,205.0","847,629.0","889,095.0","936,607.0","982,708.0","1,022,098.0","1,063,172.0","1,117,596.0","1,198,604.0","1,281,337.0","1,389,923.0","1,466,780.0","1,535,144.0","1,609,325.0","1,704,493.0","1,778,624.0","1,905,642.0","2,014,390.0","2,014,623.0"
"40","22","Consumption expenditures","A991RC1","4,984.0","5,254.0","5,357.0","5,104.0","5,048.0","5,461.0","5,912.0","4,625.0","5,146.0","5,130.0","5,405.0","5,803.0","6,321.0","7,043.0","7,502.0","7,685.0","8,157.0","9,190.0","10,907.0","12,328.0","13,655.0","14,880.0","16,080.0","17,117.0","18,237.0","19,708.0","21,556.0","23,439.0","25,824.0","28,622.0","30,747.0","33,547.0","36,560.0","38,984.0","41,941.0","45,790.0","50,194.0","56,101.0","62,575.0","70,381.0","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,366,134.0","1,452,431.0","1,430,549.0"
"41","23","Government social benefit payments to persons","B109RC1","146.0","186.0","263.0","407.0","649.0","834.0","1,045.0","725.0","879.0","1,058.0","1,115.0","1,099.0","1,067.0","1,035.0","1,010.0","1,023.0","1,088.0","1,468.0","2,045.0","2,695.0","2,657.0","3,190.0","2,644.0","2,913.0","2,972.0","3,067.0","3,252.0","3,292.0","3,601.0","4,035.0","4,339.0","4,561.0","4,982.0","5,340.0","5,697.0","6,154.0","6,651.0","7,621.0","9,232.0","11,446.0","13,217.0","16,101.0","19,332.0","21,953.0","24,084.0","25,276.0","30,802.0","34,138.0","37,039.0","40,767.0","44,316.0","51,201.0","57,090.0","61,197.0","66,906.0","71,169.0","77,260.0","84,344.0","90,726.0","98,501.0","109,348.0","127,655.0","156,517.0","179,996.0","195,210.0","206,707.0","217,636.0","224,255.0","227,558.0","235,779.0","252,349.0","271,433.0","305,069.0","333,009.0","353,410.0","384,275.0","404,765.0","402,909.0","433,658.0","455,044.0","475,887.0"
"42","24","Interest payments \1\","B111RC1","434.0","493.0","562.0","598.0","615.0","590.0","563.0","563.0","540.0","535.0","527.0","538.0","498.0","467.0","421.0","386.0","271.0","494.0","498.0","497.0","529.0","574.0","632.0","697.0","785.0","916.0","1,072.0","1,237.0","1,399.0","1,538.0","1,782.0","2,052.0","2,239.0","2,434.0","2,674.0","2,920.0","3,140.0","3,430.0","3,698.0","4,171.0","4,384.0","5,313.0","6,544.0","7,501.0","8,456.0","9,620.0","11,064.0","12,511.0","13,682.0","14,898.0","17,240.0","19,358.0","22,844.0","27,125.0","32,295.0","36,991.0","39,375.0","38,181.0","46,192.0","48,419.0","53,178.0","56,758.0","60,799.0","61,034.0","59,371.0","61,393.0","63,477.0","67,320.0","70,638.0","72,773.0","75,218.0","78,754.0","82,959.0","83,480.0","85,144.0","85,612.0","87,326.0","93,003.0","98,716.0","103,949.0","106,789.0"
"43","25","Subsidies","B114RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","370.0","373.0","374.0","7,134.0","2,966.0","1,398.0"
"44","26","Less: Wage accruals less disbursements","B116RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.0","-150.0","-20.0","0.0","0.0","0.0","0.0","175.0","-135.0","-40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","27","    Net state and local government saving","A924RC1","1,508.0","1,338.0","967.0","660.0","369.0","1,213.0","1,147.0","2,288.0","2,019.0","1,965.0","2,021.0","1,954.0","1,914.0","1,511.0","1,465.0","1,575.0","1,594.0","1,486.0","1,429.0","1,230.0","1,458.0","1,312.0","2,570.0","2,988.0","3,495.0","3,230.0","3,507.0","4,400.0","4,192.0","2,879.0","3,779.0","4,298.0","4,284.0","5,239.0","5,702.0","6,386.0","6,529.0","7,758.0","6,989.0","7,492.0","7,979.0","7,108.0","6,468.0","15,627.0","15,712.0","9,331.0","2,469.0","7,377.0","13,136.0","18,675.0","12,999.0","8,783.0","7,555.0","-2,197.0","4,886.0","23,938.0","22,351.0","20,724.0","11,977.0","17,238.0","20,134.0","6,186.0","-5,808.0","-1,394.0","-942.0","8,228.0","9,177.0","22,986.0","36,300.0","46,906.0","41,812.0","41,265.0","-15,918.0","-54,081.0","-38,831.0","-8,361.0","25,928.0","51,039.0","21,676.0","-40,180.0","-19,157.0"
"46","28","Social insurance funds","B118RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","-1.0","-3.0","77.0","68.0","80.0","58.0","66.0","70.0","87.0","98.0","93.0","94.0","103.0","105.0","41.0","25.0","28.0","12.0","14.0","30.0","44.0","90.0","119.0","130.0","144.0","159.0","180.0","228.0","260.0","307.0","377.0","466.0","605.0","986.0","1,487.0","1,772.0","1,318.0","1,304.0","1,224.0","1,209.0","1,427.0","1,315.0","1,864.0","2,192.0","2,523.0","2,330.0","1,977.0","2,359.0","3,140.0","4,192.0","4,639.0","4,045.0","2,817.0","1,173.0","1,693.0","1,707.0","1,980.0","2,603.0","1,517.0","3,391.0","6,908.0","7,408.0","4,670.0","1,853.0","1,975.0","1,932.0"
"47","29","Other","B119RC1","1,508.0","1,338.0","967.0","660.0","369.0","1,213.0","1,147.0","2,288.0","2,019.0","1,965.0","2,021.0","1,954.0","1,914.0","1,510.0","1,464.0","1,576.0","1,597.0","1,409.0","1,361.0","1,150.0","1,400.0","1,245.0","2,500.0","2,901.0","3,397.0","3,137.0","3,413.0","4,297.0","4,087.0","2,838.0","3,754.0","4,269.0","4,272.0","5,225.0","5,672.0","6,341.0","6,438.0","7,639.0","6,859.0","7,348.0","7,820.0","6,927.0","6,240.0","15,367.0","15,405.0","8,954.0","2,002.0","6,771.0","12,150.0","17,188.0","11,227.0","7,465.0","6,251.0","-3,421.0","3,677.0","22,511.0","21,036.0","18,860.0","9,784.0","14,715.0","17,805.0","4,208.0","-8,167.0","-4,534.0","-5,133.0","3,589.0","5,132.0","20,169.0","35,127.0","45,213.0","40,105.0","39,285.0","-18,520.0","-55,598.0","-42,222.0","-15,269.0","18,519.0","46,369.0","19,823.0","-42,154.0","-21,090.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Total receipts","W077RC1","7,237.0","7,453.0","7,317.0","6,906.0","6,791.0","8,195.0","8,776.0","8,317.0","8,776.0","8,950.0","9,303.0","9,639.0","10,078.0","10,289.0","10,600.0","10,865.0","11,316.0","12,874.0","15,199.0","17,199.0","18,846.0","20,580.0","22,577.0","24,423.0","26,287.0","27,761.0","30,385.0","33,495.0","36,661.0","39,743.0","44,121.0","47,464.0","51,355.0","55,522.0","60,168.0","65,981.0","71,279.0","80,078.0","87,608.0","100,358.0","112,297.0","126,293.0","141,930.0","165,704.0","181,654.0","197,250.0","220,562.0","245,694.0","273,025.0","301,285.0","324,574.0","356,768.0","388,017.0","408,380.0","446,569.0","500,220.0","543,048.0","584,653.0","612,905.0","658,624.0","710,888.0","762,948.0","815,202.0","873,134.0","916,363.0","974,758.0","1,024,235.0","1,078,924.0","1,134,693.0","1,200,389.0","1,280,216.0","1,366,361.0","1,425,206.0","1,465,091.0","1,547,772.0","1,652,952.0","1,786,655.0","1,887,071.0","1,986,402.0","2,035,901.0","2,058,775.0"
"50","31","    Current receipts","W023RC1","7,072.0","7,271.0","7,149.0","6,769.0","6,681.0","8,098.0","8,667.0","8,201.0","8,584.0","8,688.0","9,068.0","9,394.0","9,800.0","10,056.0","10,398.0","10,669.0","11,110.0","12,638.0","14,879.0","16,750.0","18,299.0","19,956.0","21,926.0","23,715.0","25,489.0","26,921.0","29,387.0","32,368.0","35,016.0","37,074.0","40,647.0","44,458.0","48,065.0","51,997.0","56,026.0","61,260.0","66,532.0","74,934.0","82,520.0","93,517.0","105,454.0","120,081.0","134,927.0","158,434.0","174,342.0","188,080.0","209,588.0","233,673.0","259,938.0","287,575.0","308,356.0","338,169.0","370,234.0","391,434.0","428,609.0","480,153.0","521,069.0","561,635.0","590,576.0","635,533.0","687,489.0","737,958.0","789,397.0","846,235.0","888,153.0","944,835.0","991,885.0","1,045,084.0","1,099,472.0","1,164,502.0","1,240,416.0","1,322,602.0","1,374,005.0","1,412,699.0","1,496,313.0","1,600,964.0","1,730,421.0","1,829,663.0","1,927,318.0","1,974,210.0","1,995,466.0"
"51","32","    Capital transfer receipts","AD06RC1","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","192.0","262.0","235.0","245.0","278.0","233.0","202.0","196.0","206.0","236.0","320.0","449.0","547.0","624.0","651.0","708.0","798.0","840.0","998.0","1,127.0","1,645.0","2,669.0","3,474.0","3,006.0","3,290.0","3,525.0","4,142.0","4,721.0","4,747.0","5,144.0","5,088.0","6,841.0","6,843.0","6,212.0","7,003.0","7,270.0","7,312.0","9,170.0","10,974.0","12,021.0","13,087.0","13,710.0","16,218.0","18,599.0","17,783.0","16,946.0","17,960.0","20,067.0","21,979.0","23,018.0","22,329.0","23,091.0","23,399.0","24,990.0","25,805.0","26,899.0","28,210.0","29,923.0","32,350.0","33,840.0","35,221.0","35,887.0","39,800.0","43,759.0","51,201.0","52,392.0","51,459.0","51,988.0","56,234.0","57,408.0","59,084.0","61,691.0","63,309.0"
"52","33","  Total expenditures","W079RC1","7,619.0","8,217.0","8,226.0","7,334.0","7,000.0","7,878.0","8,367.0","7,977.0","8,245.0","8,781.0","9,536.0","9,331.0","9,054.0","8,737.0","8,369.0","8,417.0","9,001.0","11,272.0","14,557.0","17,565.0","20,252.0","22,646.0","24,032.0","25,564.0","27,402.0","30,362.0","33,450.0","36,367.0","40,195.0","44,492.0","47,356.0","50,523.0","55,142.0","58,673.0","63,625.0","69,374.0","75,903.0","84,787.0","94,699.0","106,789.0","117,443.0","132,263.0","148,362.0","162,276.0","179,276.0","202,591.0","232,436.0","250,631.0","268,568.0","295,517.0","326,395.0","363,330.0","393,293.0","420,977.0","451,493.0","491,419.0","541,529.0","589,547.0","629,771.0","674,117.0","728,408.0","801,703.0","866,212.0","917,988.0","956,855.0","1,007,732.0","1,060,111.0","1,104,665.0","1,156,376.0","1,215,463.0","1,310,859.0","1,404,462.0","1,524,511.0","1,609,509.0","1,678,852.0","1,757,183.0","1,852,617.0","1,931,400.0","2,074,591.0","2,184,342.0","2,183,753.0"
"53","34","    Current expenditures","W024RC1","5,564.0","5,933.0","6,182.0","6,109.0","6,312.0","6,885.0","7,520.0","5,913.0","6,565.0","6,723.0","7,047.0","7,440.0","7,886.0","8,545.0","8,933.0","9,094.0","9,516.0","11,152.0","13,450.0","15,520.0","16,841.0","18,644.0","19,356.0","20,727.0","21,994.0","23,691.0","25,880.0","27,968.0","30,824.0","34,195.0","36,868.0","40,160.0","43,781.0","46,758.0","50,324.0","54,874.0","60,003.0","67,176.0","75,531.0","86,025.0","97,475.0","112,973.0","128,459.0","142,807.0","158,630.0","178,749.0","207,119.0","226,296.0","246,802.0","268,900.0","295,357.0","329,386.0","362,679.0","393,631.0","423,723.0","456,215.0","498,718.0","540,911.0","578,599.0","618,295.0","667,355.0","731,772.0","795,205.0","847,629.0","889,095.0","936,607.0","982,708.0","1,022,098.0","1,063,172.0","1,117,596.0","1,198,604.0","1,281,337.0","1,389,923.0","1,466,780.0","1,535,144.0","1,609,325.0","1,704,493.0","1,778,624.0","1,905,642.0","2,014,390.0","2,014,623.0"
"54","35","    Gross government investment","A799RC1","2,643.0","2,908.0","2,649.0","1,765.0","1,325.0","1,770.0","1,602.0","2,901.0","2,564.0","2,968.0","3,369.0","2,757.0","2,235.0","1,533.0","868.0","700.0","806.0","1,580.0","2,841.0","4,019.0","5,342.0","5,862.0","6,967.0","7,322.0","7,910.0","9,194.0","10,035.0","11,262.0","12,520.0","13,534.0","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0","28,749.0","30,064.0","30,641.0","33,217.0","39,637.0","43,589.0","43,839.0","42,787.0","49,480.0","56,834.0","63,971.0","64,957.0","64,827.0","66,449.0","74,975.0","84,384.0","92,811.0","98,449.0","106,304.0","114,707.0","127,236.0","132,053.0","134,340.0","135,671.0","143,045.0","153,968.0","163,778.0","178,935.0","186,434.0","205,736.0","224,258.0","240,502.0","253,324.0","259,565.0","269,107.0","281,553.0","304,367.0","333,672.0","348,164.0","355,354.0"
"55","36","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0"
"56","37","    Net purchases of nonproduced assets","AD09RC1","154.0","124.0","111.0","96.0","83.0","73.0","75.0","79.0","86.0","96.0","152.0","207.0","139.0","68.0","54.0","47.0","75.0","70.0","90.0","116.0","199.0","269.0","272.0","252.0","329.0","366.0","616.0","682.0","705.0","776.0","805.0","865.0","992.0","1,057.0","1,151.0","1,258.0","1,294.0","1,371.0","1,381.0","1,414.0","981.0","1,098.0","1,628.0","1,656.0","1,723.0","1,876.0","1,944.0","1,746.0","1,558.0","1,613.0","1,690.0","1,770.0","1,951.0","2,047.0","2,223.0","2,561.0","3,063.0","3,674.0","4,157.0","4,324.0","4,884.0","5,734.0","5,834.0","5,875.0","5,886.0","6,207.0","6,574.0","6,020.0","5,836.0","7,586.0","8,628.0","8,590.0","10,118.0","11,199.0","11,423.0","11,360.0","10,259.0","11,137.0","13,135.0","12,946.0","13,376.0"
"57","38","    Less: Consumption of fixed capital","A919RC1","742.0","748.0","716.0","636.0","720.0","850.0","830.0","916.0","970.0","1,006.0","1,032.0","1,073.0","1,206.0","1,409.0","1,486.0","1,424.0","1,396.0","1,530.0","1,824.0","2,090.0","2,130.0","2,129.0","2,563.0","2,737.0","2,831.0","2,889.0","3,081.0","3,545.0","3,854.0","4,013.0","4,239.0","4,425.0","4,679.0","5,012.0","5,365.0","5,747.0","6,242.0","6,878.0","7,522.0","8,317.0","9,315.0","10,557.0","11,789.0","12,828.0","14,294.0","17,671.0","20,216.0","21,250.0","22,579.0","24,476.0","27,486.0","31,797.0","36,294.0","39,528.0","40,902.0","42,332.0","44,636.0","47,849.0","51,434.0","54,806.0","58,538.0","63,039.0","66,880.0","69,856.0","73,797.0","78,127.0","83,139.0","87,231.0","91,567.0","96,153.0","102,109.0","109,723.0","116,032.0","121,794.0","127,280.0","137,073.0","150,129.0","162,728.0","177,858.0","191,158.0","199,600.0"
"58","39","  Net lending or net borrowing (-)","AD03RC1","-382.0","-764.0","-909.0","-428.0","-209.0","317.0","409.0","340.0","531.0","169.0","-233.0","308.0","1,024.0","1,552.0","2,231.0","2,448.0","2,315.0","1,602.0","642.0","-366.0","-1,406.0","-2,066.0","-1,455.0","-1,141.0","-1,115.0","-2,601.0","-3,065.0","-2,872.0","-3,534.0","-4,749.0","-3,235.0","-3,059.0","-3,787.0","-3,151.0","-3,457.0","-3,393.0","-4,624.0","-4,709.0","-7,091.0","-6,431.0","-5,146.0","-5,970.0","-6,432.0","3,428.0","2,378.0","-5,341.0","-11,874.0","-4,937.0","4,457.0","5,768.0","-1,821.0","-6,562.0","-5,276.0","-12,597.0","-4,924.0","8,801.0","1,519.0","-4,894.0","-16,866.0","-15,493.0","-17,520.0","-38,755.0","-51,010.0","-44,854.0","-40,492.0","-32,974.0","-35,876.0","-25,741.0","-21,683.0","-15,074.0","-30,643.0","-38,101.0","-99,305.0","-144,418.0","-131,080.0","-104,231.0","-65,962.0","-44,329.0","-88,189.0","-148,441.0","-124,978.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","net of interest payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
