"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"36","18","          Durable goods","W114RC1","17.0","23.0","22.0","20.0","57.0","106.0","156.0","131.0","123.0","127.0","140.0","174.0","1,650.0","7,310.0","13,222.0","13,569.0","13,739.0","639.0","432.0","863.0","1,040.0","1,806.0","4,460.0","8,081.0","9,192.0","6,906.0","6,056.0","6,117.0","6,749.0","7,100.0","5,181.0","4,450.0","3,738.0","4,760.0","4,992.0","4,339.0","4,609.0","6,629.0","6,606.0","7,807.0","6,772.0","6,325.0","4,845.0","5,959.0","5,742.0","5,363.0","6,213.0","6,108.0","8,280.0","10,006.0","11,871.0","13,440.0","16,842.0","20,127.0","25,934.0","28,031.0","30,226.0","32,835.0","34,858.0","34,628.0","33,332.0","33,082.0","32,531.0","30,058.0","28,079.0","24,510.0","22,476.0","22,507.0","22,581.0","22,595.0","23,977.0","23,970.0","24,218.0","25,500.0","27,868.0","31,207.0","32,328.0","35,700.0","38,969.0","46,311.0","50,104.0"
"37","19","          Nondurable goods","W115RC1","138.0","152.0","135.0","110.0","238.0","303.0","271.0","355.0","351.0","349.0","665.0","587.0","977.0","6,022.0","8,523.0","10,535.0","7,476.0","1,144.0","657.0","1,541.0","2,884.0","1,412.0","2,400.0","3,256.0","6,612.0","5,459.0","4,137.0","2,533.0","2,993.0","2,823.0","5,049.0","3,026.0","2,717.0","4,441.0","3,831.0","3,987.0","4,342.0","5,072.0","8,492.0","10,354.0","10,588.0","7,368.0","6,516.0","7,126.0","6,207.0","7,786.0","7,860.0","7,976.0","8,969.0","9,729.0","11,426.0","17,414.0","23,038.0","20,579.0","21,871.0","16,823.0","19,494.0","22,647.0","17,187.0","10,483.0","16,566.0","16,706.0","17,009.0","16,313.0","16,762.0","14,445.0","14,889.0","15,525.0","17,325.0","17,786.0","16,034.0","20,129.0","22,978.0","24,496.0","28,297.0","33,848.0","40,615.0","41,777.0","43,447.0","53,543.0","48,809.0"
"38","20","          Services","W116RC1","331.0","301.0","278.0","255.0","371.0","435.0","398.0","492.0","466.0","520.0","675.0","564.0","1,434.0","1,870.0","2,145.0","4,137.0","4,672.0","3,470.0","1,365.0","2,157.0","2,460.0","2,446.0","5,740.0","7,385.0","6,472.0","5,691.0","7,493.0","8,454.0","11,090.0","11,132.0","9,020.0","10,275.0","11,787.0","13,189.0","14,705.0","14,983.0","15,626.0","18,572.0","21,653.0","22,117.0","22,407.0","22,223.0","24,346.0","25,340.0","25,754.0","28,590.0","31,131.0","32,117.0","35,170.0","38,418.0","43,586.0","51,491.0","57,165.0","67,489.0","73,474.0","79,611.0","90,487.0","96,835.0","106,215.0","110,660.0","111,567.0","120,737.0","125,271.0","127,067.0","122,188.0","129,608.0","129,829.0","132,116.0","136,690.0","132,042.0","141,387.0","146,602.0","167,164.0","197,974.0","231,054.0","254,896.0","267,885.0","285,692.0","293,537.0","332,692.0","343,251.0"
"39","21","      Less: Own-account investment \4\","W117RC1","14.0","14.0","18.0","22.0","353.0","398.0","687.0","560.0","469.0","420.0","435.0","451.0","476.0","567.0","336.0","152.0","238.0","48.0","46.0","78.0","106.0","126.0","250.0","376.0","400.0","350.0","300.0","308.0","356.0","416.0","458.0","457.0","491.0","503.0","470.0","474.0","503.0","572.0","485.0","464.0","461.0","514.0","572.0","615.0","612.0","618.0","683.0","716.0","693.0","815.0","982.0","1,155.0","1,274.0","1,496.0","1,695.0","1,961.0","2,283.0","2,397.0","2,706.0","2,940.0","3,415.0","3,708.0","3,986.0","4,134.0","4,205.0","4,035.0","4,149.0","4,033.0","3,979.0","4,094.0","3,797.0","3,233.0","4,103.0","4,460.0","4,405.0","4,475.0","4,643.0","4,746.0","4,725.0","5,210.0","5,730.0"
"40","22","            Sales to other sectors","W118RC1","54.0","38.0","20.0","7.0","7.0","11.0","8.0","6.0","11.0","12.0","16.0","14.0","69.0","310.0","996.0","1,849.0","3,553.0","3,716.0","621.0","373.0","192.0","345.0","603.0","211.0","201.0","306.0","1,005.0","509.0","891.0","866.0","672.0","607.0","526.0","594.0","695.0","718.0","788.0","1,143.0","797.0","830.0","931.0","855.0","912.0","1,715.0","2,195.0","2,771.0","2,310.0","2,142.0","3,060.0","3,713.0","4,576.0","4,961.0","4,901.0","4,635.0","4,382.0","4,676.0","4,605.0","4,461.0","5,152.0","5,849.0","6,019.0","6,637.0","7,345.0","7,154.0","6,796.0","8,985.0","6,504.0","7,136.0","5,116.0","5,977.0","4,693.0","6,561.0","5,037.0","4,860.0","5,478.0","6,108.0","9,090.0","8,065.0","8,164.0","8,079.0","8,733.0"
"41","23","    Defense consumption expenditures \1\","A997RC1","880.0","889.0","856.0","857.0","786.0","703.0","923.0","990.0","976.0","1,045.0","1,165.0","1,675.0","7,107.0","25,134.0","46,790.0","59,062.0","59,256.0","23,610.0","17,204.0","16,266.0","16,854.0","17,148.0","30,082.0","38,884.0","41,199.0","37,056.0","36,841.0","38,724.0","43,124.0","44,041.0","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0","76,531.0","77,053.0","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","574,877.0","634,025.0","666,648.0"
"42","24","      Gross output of general government","W085RC1","936.0","929.0","882.0","873.0","802.0","722.0","943.0","1,010.0","1,000.0","1,070.0","1,189.0","1,709.0","7,272.0","25,702.0","47,837.0","60,597.0","62,033.0","26,293.0","17,234.0","16,383.0","16,946.0","17,244.0","30,589.0","39,083.0","41,418.0","37,273.0","37,303.0","39,116.0","43,637.0","44,703.0","40,492.0","41,451.0","43,035.0","47,004.0","48,705.0","49,237.0","51,142.0","60,837.0","70,312.0","77,342.0","78,407.0","76,802.0","77,301.0","80,139.0","80,476.0","86,075.0","92,080.0","96,396.0","104,969.0","113,587.0","124,751.0","144,951.0","168,885.0","193,023.0","210,029.0","234,544.0","255,425.0","269,725.0","285,688.0","295,844.0","301,832.0","311,248.0","323,057.0","319,237.0","311,773.0","306,776.0","300,657.0","307,242.0","307,996.0","303,456.0","315,983.0","324,921.0","345,554.0","384,939.0","439,717.0","485,813.0","520,196.0","549,635.0","581,044.0","639,274.0","672,141.0"
"43","25","        Value added","W086RC1","721.0","712.0","705.0","663.0","587.0","602.0","713.0","766.0","809.0","860.0","915.0","1,350.0","4,081.0","11,865.0","24,663.0","34,013.0","37,584.0","22,820.0","15,957.0","13,828.0","13,731.0","13,138.0","18,891.0","22,222.0","22,924.0","22,970.0","23,710.0","24,625.0","25,494.0","26,094.0","26,714.0","27,421.0","28,314.0","29,955.0","31,123.0","32,700.0","33,833.0","37,797.0","41,354.0","45,052.0","47,876.0","50,223.0","51,991.0","54,303.0","55,364.0","58,783.0","63,630.0","67,300.0","72,039.0","77,433.0","82,950.0","92,009.0","105,064.0","116,618.0","124,111.0","142,305.0","152,757.0","158,905.0","166,498.0","172,770.0","180,689.0","186,782.0","197,154.0","200,158.0","197,081.0","194,622.0","191,495.0","193,533.0","192,234.0","190,410.0","192,677.0","198,770.0","205,236.0","222,516.0","243,819.0","264,172.0","284,393.0","298,764.0","315,602.0","335,744.0","365,541.0"
"44","26","          Compensation of general government employees","B237RC1","555.0","559.0","562.0","530.0","455.0","456.0","563.0","604.0","632.0","673.0","722.0","1,137.0","3,574.0","10,135.0","20,305.0","27,017.0","29,347.0","14,069.0","7,770.0","6,909.0","7,803.0","7,973.0","13,489.0","16,093.0","16,022.0","15,423.0","15,768.0","16,121.0","16,484.0","16,990.0","17,279.0","17,651.0","18,284.0","19,403.0","20,080.0","21,561.0","22,581.0","26,302.0","29,305.0","32,393.0","34,722.0","36,620.0","38,210.0","40,538.0","41,411.0","44,083.0","47,927.0","50,250.0","53,632.0","57,502.0","61,666.0","68,557.0","78,803.0","87,439.0","92,437.0","107,538.0","115,349.0","118,750.0","123,535.0","126,901.0","131,700.0","134,532.0","141,821.0","143,016.0","137,681.0","133,652.0","129,755.0","132,304.0","131,868.0","130,750.0","132,699.0","138,088.0","144,764.0","162,027.0","182,139.0","199,408.0","215,706.0","225,614.0","238,199.0","252,889.0","278,565.0"
"45","27","          Consumption of general government fixed capital \2\","B432RC1","166.0","153.0","143.0","133.0","132.0","146.0","150.0","162.0","177.0","187.0","193.0","213.0","507.0","1,730.0","4,358.0","6,996.0","8,237.0","8,751.0","8,187.0","6,919.0","5,928.0","5,165.0","5,402.0","6,129.0","6,902.0","7,547.0","7,942.0","8,504.0","9,010.0","9,104.0","9,435.0","9,770.0","10,030.0","10,552.0","11,043.0","11,139.0","11,252.0","11,495.0","12,049.0","12,659.0","13,154.0","13,603.0","13,781.0","13,765.0","13,953.0","14,700.0","15,703.0","17,050.0","18,407.0","19,931.0","21,284.0","23,452.0","26,261.0","29,179.0","31,674.0","34,767.0","37,408.0","40,155.0","42,963.0","45,869.0","48,989.0","52,250.0","55,333.0","57,142.0","59,400.0","60,970.0","61,740.0","61,229.0","60,366.0","59,660.0","59,978.0","60,682.0","60,472.0","60,489.0","61,680.0","64,764.0","68,687.0","73,150.0","77,403.0","82,855.0","86,976.0"
"46","28","        Intermediate goods and services purchased \3\","W087RC1","215.0","217.0","177.0","210.0","215.0","120.0","230.0","244.0","191.0","210.0","274.0","359.0","3,191.0","13,837.0","23,174.0","26,584.0","24,449.0","3,473.0","1,277.0","2,555.0","3,215.0","4,106.0","11,698.0","16,861.0","18,494.0","14,303.0","13,593.0","14,491.0","18,143.0","18,609.0","13,778.0","14,030.0","14,721.0","17,049.0","17,582.0","16,537.0","17,309.0","23,040.0","28,958.0","32,290.0","30,531.0","26,579.0","25,310.0","25,836.0","25,112.0","27,292.0","28,450.0","29,096.0","32,930.0","36,154.0","41,801.0","52,942.0","63,821.0","76,405.0","85,918.0","92,239.0","102,668.0","110,820.0","119,190.0","123,074.0","121,143.0","124,466.0","125,903.0","119,079.0","114,692.0","112,154.0","109,162.0","113,709.0","115,762.0","113,046.0","123,306.0","126,151.0","140,318.0","162,423.0","195,898.0","221,641.0","235,803.0","250,871.0","265,442.0","303,530.0","306,600.0"
"47","29","          Durable goods","A998RC1","12.0","17.0","17.0","16.0","18.0","18.0","18.0","33.0","39.0","39.0","52.0","77.0","1,440.0","7,161.0","13,101.0","13,481.0","13,604.0","532.0","311.0","772.0","962.0","1,727.0","4,379.0","8,007.0","9,123.0","6,829.0","5,991.0","6,052.0","6,689.0","7,051.0","5,138.0","4,390.0","3,626.0","4,572.0","4,718.0","3,962.0","4,154.0","6,152.0","6,178.0","7,451.0","6,454.0","6,061.0","4,582.0","5,678.0","5,516.0","5,155.0","5,971.0","5,828.0","7,951.0","9,583.0","11,334.0","12,773.0","16,209.0","19,551.0","25,068.0","27,092.0","29,266.0","31,867.0","33,774.0","33,475.0","32,027.0","31,568.0","30,971.0","28,379.0","26,410.0","22,930.0","20,943.0","20,820.0","20,866.0","20,944.0","22,225.0","22,134.0","22,292.0","23,235.0","25,686.0","28,781.0","29,548.0","32,770.0","36,072.0","43,083.0","46,712.0"
"48","30","          Nondurable goods","A725RC1","70.0","79.0","81.0","92.0","90.0","25.0","100.0","104.0","43.0","57.0","54.0","100.0","643.0","5,227.0","8,711.0","9,692.0","7,280.0","699.0","304.0","731.0","798.0","866.0","2,291.0","2,752.0","4,227.0","3,226.0","1,671.0","1,728.0","2,171.0","2,098.0","1,755.0","1,905.0","2,324.0","2,925.0","2,661.0","2,919.0","3,208.0","4,716.0","7,299.0","8,425.0","7,609.0","5,352.0","4,439.0","4,701.0","4,264.0","5,204.0","5,084.0","4,485.0","4,536.0","4,856.0","6,239.0","9,968.0","11,813.0","11,468.0","11,314.0","10,429.0","10,021.0","10,230.0","10,294.0","10,580.0","10,845.0","11,049.0","10,677.0","9,424.0","8,465.0","7,563.0","6,325.0","7,646.0","7,581.0","6,987.0","8,150.0","10,423.0","10,262.0","11,486.0","13,411.0","17,101.0","20,889.0","22,086.0","24,098.0","30,800.0","23,803.0"
"49","31","          Services","A489RC1","133.0","121.0","79.0","102.0","107.0","77.0","112.0","107.0","109.0","114.0","168.0","182.0","1,108.0","1,449.0","1,362.0","3,411.0","3,565.0","2,242.0","662.0","1,052.0","1,455.0","1,513.0","5,028.0","6,102.0","5,144.0","4,248.0","5,931.0","6,711.0","9,283.0","9,460.0","6,885.0","7,735.0","8,771.0","9,552.0","10,203.0","9,656.0","9,947.0","12,172.0","15,481.0","16,414.0","16,468.0","15,166.0","16,289.0","15,457.0","15,332.0","16,933.0","17,395.0","18,783.0","20,443.0","21,715.0","24,228.0","30,201.0","35,799.0","45,386.0","49,536.0","54,718.0","63,381.0","68,723.0","75,122.0","79,019.0","78,271.0","81,849.0","84,255.0","81,276.0","79,817.0","81,661.0","81,894.0","85,243.0","87,315.0","85,115.0","92,931.0","93,594.0","107,764.0","127,702.0","156,801.0","175,759.0","185,366.0","196,015.0","205,272.0","229,647.0","236,085.0"
"50","32","      Less: Own-account investment \4\","W088RC1","6.0","6.0","8.0","10.0","10.0","10.0","14.0","16.0","16.0","16.0","16.0","30.0","108.0","280.0","168.0","76.0","118.0","26.0","24.0","40.0","54.0","64.0","126.0","188.0","200.0","176.0","150.0","154.0","178.0","208.0","154.0","163.0","168.0","176.0","166.0","168.0","179.0","213.0","84.0","90.0","101.0","114.0","112.0","132.0","153.0","171.0","223.0","255.0","257.0","291.0","356.0","393.0","468.0","593.0","686.0","821.0","975.0","1,043.0","1,168.0","1,236.0","1,454.0","1,470.0","1,611.0","1,641.0","1,643.0","1,541.0","1,560.0","1,486.0","1,466.0","1,430.0","1,318.0","1,134.0","1,495.0","2,098.0","2,114.0","2,070.0","2,055.0","2,105.0","2,083.0","2,240.0","2,485.0"
"51","33","            Sales to other sectors","W089RC1","50.0","34.0","18.0","6.0","6.0","9.0","6.0","4.0","8.0","9.0","8.0","4.0","57.0","288.0","879.0","1,459.0","2,659.0","2,657.0","6.0","77.0","38.0","32.0","381.0","11.0","19.0","41.0","312.0","238.0","335.0","454.0","229.0","289.0","214.0","265.0","216.0","294.0","405.0","731.0","295.0","161.0","162.0","157.0","136.0","543.0","924.0","1,406.0","989.0","351.0","560.0","611.0","610.0","889.0","1,122.0","1,285.0","627.0","887.0","775.0","798.0","955.0","1,157.0","986.0","1,810.0","1,743.0","2,366.0","2,617.0","4,421.0","2,120.0","2,582.0","2,018.0","1,704.0","1,704.0","1,948.0","2,044.0","2,180.0","2,421.0","2,534.0","3,304.0","3,647.0","4,084.0","3,009.0","3,008.0"
"52","34","    Nondefense consumption expenditures \1\","A542RC1","660.0","681.0","685.0","590.0","899.0","1,684.0","1,278.0","3,345.0","2,888.0","3,449.0","3,729.0","3,180.0","2,302.0","1,999.0","1,459.0","1,938.0","1,462.0","3,297.0","3,630.0","4,891.0","6,430.0","4,887.0","4,268.0","5,274.0","7,087.0","6,855.0","7,069.0","6,298.0","6,334.0","6,813.0","9,837.0","8,735.0","8,957.0","11,251.0","12,447.0","14,022.0","15,139.0","15,850.0","17,023.0","18,202.0","20,171.0","22,054.0","24,884.0","28,164.0","29,423.0","33,425.0","38,652.0","41,357.0","46,534.0","50,631.0","55,134.0","63,766.0","70,955.0","72,133.0","77,733.0","77,062.0","84,657.0","90,145.0","90,141.0","88,281.0","99,083.0","111,009.0","118,611.0","128,915.0","133,705.0","139,894.0","143,161.0","143,366.0","153,019.0","154,277.0","160,341.0","174,170.0","188,141.0","209,829.0","225,075.0","240,171.0","251,001.0","267,120.0","273,918.0","300,421.0","319,742.0"
"53","35","      Gross output of general government","W128RC1","672.0","693.0","697.0","603.0","1,243.0","2,074.0","1,953.0","3,891.0","3,344.0","3,856.0","4,156.0","3,611.0","2,682.0","2,308.0","1,744.0","2,404.0","2,476.0","4,378.0","4,267.0","5,225.0","6,636.0","5,262.0","4,614.0","5,662.0","7,469.0","7,294.0","7,912.0","6,723.0","7,068.0","7,433.0","10,584.0","9,347.0","9,592.0","11,907.0","13,230.0","14,752.0","15,846.0","16,621.0","17,926.0","19,245.0","21,300.0","23,152.0","26,120.0","29,819.0","31,153.0","35,237.0","40,433.0","43,609.0","49,470.0","54,257.0","59,726.0","68,600.0","75,540.0","76,386.0","82,497.0","81,991.0","89,795.0","95,162.0","95,876.0","94,677.0","106,077.0","118,074.0","126,588.0","136,196.0","140,446.0","146,952.0","150,134.0","150,467.0","158,630.0","161,214.0","165,809.0","180,882.0","193,742.0","214,871.0","230,423.0","246,150.0","259,375.0","274,179.0","280,640.0","308,461.0","328,712.0"
"54","36","        Value added","W129RC1","401.0","434.0","439.0","428.0","792.0","1,350.0","1,358.0","3,157.0","2,595.0","3,070.0","2,950.0","2,645.0","1,812.0","943.0","1,028.0","747.0","1,038.0","2,598.0","3,090.0","3,219.0","3,467.0","3,704.0","3,712.0","3,801.0","3,687.0","3,541.0","3,819.0","4,110.0","4,379.0","4,987.0","5,112.0","5,626.0","6,071.0","6,566.0","7,284.0","7,980.0","8,578.0","9,388.0","10,133.0","11,257.0","12,064.0","13,815.0","15,723.0","17,230.0","18,562.0","20,790.0","23,679.0","26,504.0","29,981.0","32,258.0","34,644.0","39,197.0","42,316.0","44,596.0","47,136.0","49,765.0","52,256.0","53,665.0","56,806.0","61,980.0","65,755.0","72,015.0","77,680.0","81,837.0","88,109.0","90,543.0","92,102.0","94,028.0","97,796.0","101,837.0","107,717.0","116,332.0","119,700.0","129,324.0","139,102.0","147,840.0","154,350.0","161,881.0","170,129.0","179,445.0","193,148.0"
"55","37","          Compensation of general government employees","W130RC1","352.0","386.0","390.0","382.0","740.0","1,273.0","1,243.0","3,008.0","2,425.0","2,879.0","2,742.0","2,405.0","1,505.0","559.0","648.0","297.0","622.0","2,119.0","2,535.0","2,647.0","2,876.0","3,122.0","3,093.0","3,182.0","3,053.0","2,923.0","3,190.0","3,483.0","3,743.0","4,335.0","4,449.0","4,953.0","5,373.0","5,808.0","6,403.0","6,974.0","7,405.0","8,002.0","8,570.0","9,510.0","10,140.0","11,715.0","13,449.0","14,846.0","16,023.0","17,961.0","20,457.0","23,057.0","26,298.0","28,256.0","30,142.0","33,979.0","36,286.0","37,869.0","39,880.0","41,824.0","43,603.0","44,332.0","46,757.0","51,072.0","54,001.0","59,333.0","64,039.0","67,681.0","73,263.0","75,202.0","76,056.0","77,395.0","80,227.0","83,503.0","87,893.0","94,875.0","97,332.0","106,354.0","115,629.0","123,603.0","128,742.0","134,531.0","141,282.0","149,080.0","161,176.0"
"56","38","          Consumption of general government fixed capital \2\","B546RC1","49.0","48.0","49.0","46.0","52.0","77.0","115.0","149.0","170.0","191.0","208.0","240.0","307.0","384.0","380.0","450.0","416.0","479.0","555.0","572.0","591.0","582.0","619.0","619.0","634.0","618.0","629.0","627.0","636.0","652.0","663.0","673.0","698.0","758.0","881.0","1,006.0","1,173.0","1,386.0","1,563.0","1,747.0","1,924.0","2,100.0","2,274.0","2,384.0","2,539.0","2,829.0","3,222.0","3,447.0","3,683.0","4,002.0","4,502.0","5,218.0","6,030.0","6,727.0","7,256.0","7,941.0","8,653.0","9,333.0","10,049.0","10,908.0","11,754.0","12,682.0","13,641.0","14,156.0","14,846.0","15,341.0","16,046.0","16,633.0","17,569.0","18,334.0","19,824.0","21,457.0","22,368.0","22,970.0","23,473.0","24,237.0","25,608.0","27,350.0","28,847.0","30,365.0","31,972.0"
"57","39","        Intermediate goods and services purchased \3\","W131RC1","271.0","259.0","258.0","175.0","451.0","724.0","595.0","734.0","749.0","786.0","1,206.0","966.0","870.0","1,365.0","716.0","1,657.0","1,438.0","1,780.0","1,177.0","2,006.0","3,169.0","1,558.0","902.0","1,861.0","3,782.0","3,753.0","4,093.0","2,613.0","2,689.0","2,446.0","5,472.0","3,721.0","3,521.0","5,341.0","5,946.0","6,772.0","7,268.0","7,233.0","7,793.0","7,988.0","9,236.0","9,337.0","10,397.0","12,589.0","12,591.0","14,447.0","16,754.0","17,105.0","19,489.0","21,999.0","25,082.0","29,403.0","33,224.0","31,790.0","35,361.0","32,226.0","37,539.0","41,497.0","39,070.0","32,697.0","40,322.0","46,059.0","48,908.0","54,359.0","52,337.0","56,409.0","58,032.0","56,439.0","60,834.0","59,377.0","58,092.0","64,550.0","74,042.0","85,547.0","91,321.0","98,310.0","105,025.0","112,298.0","110,511.0","129,016.0","135,564.0"
"58","40","          Durable goods","A543RC1","5.0","6.0","5.0","4.0","39.0","88.0","138.0","98.0","84.0","88.0","88.0","97.0","210.0","149.0","121.0","88.0","135.0","107.0","121.0","91.0","78.0","79.0","81.0","74.0","69.0","77.0","65.0","65.0","60.0","49.0","43.0","60.0","112.0","188.0","274.0","377.0","455.0","477.0","428.0","356.0","318.0","264.0","263.0","281.0","226.0","208.0","242.0","280.0","329.0","423.0","537.0","667.0","633.0","576.0","866.0","939.0","960.0","968.0","1,084.0","1,153.0","1,305.0","1,514.0","1,560.0","1,679.0","1,669.0","1,580.0","1,533.0","1,687.0","1,715.0","1,651.0","1,752.0","1,836.0","1,926.0","2,265.0","2,182.0","2,426.0","2,780.0","2,930.0","2,897.0","3,228.0","3,392.0"
"59","41","          Nondurable goods","A729RC1","68.0","73.0","54.0","18.0","148.0","278.0","171.0","251.0","308.0","292.0","611.0","487.0","334.0","795.0","-188.0","843.0","196.0","445.0","353.0","810.0","2,086.0","546.0","109.0","504.0","2,385.0","2,233.0","2,466.0","805.0","822.0","725.0","3,294.0","1,121.0","393.0","1,516.0","1,170.0","1,068.0","1,134.0","356.0","1,193.0","1,929.0","2,979.0","2,016.0","2,077.0","2,425.0","1,943.0","2,582.0","2,776.0","3,491.0","4,433.0","4,873.0","5,187.0","7,446.0","11,225.0","9,111.0","10,557.0","6,394.0","9,473.0","12,417.0","6,893.0","-97.0","5,721.0","5,657.0","6,332.0","6,889.0","8,297.0","6,882.0","8,564.0","7,879.0","9,744.0","10,799.0","7,884.0","9,706.0","12,716.0","13,010.0","14,886.0","16,747.0","19,726.0","19,691.0","19,349.0","22,743.0","25,006.0"
"60","42","            Commodity Credit Corporation inventory change","B826RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","326.0","259.0","164.0","584.0","-430.0","549.0","-383.0","-548.0","84.0","298.0","1,500.0","254.0","-389.0","156.0","2,036.0","1,873.0","2,044.0","156.0","-91.0","294.0","2,127.0","160.0","-769.0","326.0","-179.0","-416.0","-421.0","-1,534.0","-913.0","166.0","710.0","-406.0","-346.0","-376.0","-664.0","-544.0","273.0","170.0","442.0","36.0","-15.0","1,473.0","892.0","1,661.0","2,507.0","-1,846.0","2,245.0","6,390.0","-202.0","-7,069.0","-809.0","-1,500.0","205.0","-632.0","-208.0","-460.0","-195.0","-282.0","-54.0","158.0","125.0","806.0","827.0","140.0","-131.0","-994.0","-533.0","-58.0","-61.0","-390.0","-97.0"
"61","43","            Other nondurable goods","B828RC1","68.0","73.0","54.0","18.0","148.0","278.0","171.0","251.0","308.0","292.0","285.0","228.0","170.0","211.0","242.0","294.0","579.0","993.0","269.0","512.0","586.0","292.0","498.0","348.0","349.0","360.0","422.0","649.0","913.0","431.0","1,167.0","961.0","1,162.0","1,190.0","1,349.0","1,484.0","1,555.0","1,890.0","2,106.0","1,763.0","2,269.0","2,422.0","2,423.0","2,801.0","2,607.0","3,126.0","2,503.0","3,321.0","3,991.0","4,837.0","5,202.0","5,973.0","10,333.0","7,450.0","8,050.0","8,240.0","7,228.0","6,027.0","7,095.0","6,972.0","6,530.0","7,157.0","6,127.0","7,521.0","8,505.0","7,342.0","8,759.0","8,161.0","9,798.0","10,641.0","7,759.0","8,900.0","11,889.0","12,870.0","15,017.0","17,741.0","20,259.0","19,749.0","19,410.0","23,133.0","25,103.0"
"62","44","          Services","A544RC1","198.0","180.0","199.0","153.0","264.0","358.0","286.0","385.0","357.0","406.0","507.0","382.0","326.0","421.0","783.0","726.0","1,107.0","1,228.0","703.0","1,105.0","1,005.0","933.0","712.0","1,283.0","1,328.0","1,443.0","1,562.0","1,743.0","1,807.0","1,672.0","2,135.0","2,540.0","3,016.0","3,637.0","4,502.0","5,327.0","5,679.0","6,400.0","6,172.0","5,703.0","5,939.0","7,057.0","8,057.0","9,883.0","10,422.0","11,657.0","13,736.0","13,334.0","14,727.0","16,703.0","19,358.0","21,290.0","21,366.0","22,103.0","23,938.0","24,893.0","27,106.0","28,112.0","31,093.0","31,641.0","33,296.0","38,888.0","41,016.0","45,791.0","42,371.0","47,947.0","47,935.0","46,873.0","49,375.0","46,927.0","48,456.0","53,008.0","59,400.0","70,272.0","74,253.0","79,137.0","82,519.0","89,677.0","88,265.0","103,045.0","107,166.0"
"63","45","      Less: Own-account investment \4\","W136RC1","8.0","8.0","10.0","12.0","343.0","388.0","673.0","544.0","453.0","404.0","419.0","421.0","368.0","287.0","168.0","76.0","120.0","22.0","22.0","38.0","52.0","62.0","124.0","188.0","200.0","174.0","150.0","154.0","178.0","208.0","304.0","294.0","323.0","327.0","304.0","306.0","324.0","359.0","401.0","374.0","360.0","400.0","460.0","483.0","459.0","447.0","460.0","461.0","436.0","524.0","626.0","762.0","806.0","903.0","1,009.0","1,140.0","1,308.0","1,354.0","1,538.0","1,704.0","1,961.0","2,238.0","2,375.0","2,493.0","2,562.0","2,494.0","2,589.0","2,547.0","2,513.0","2,664.0","2,479.0","2,099.0","2,608.0","2,362.0","2,291.0","2,405.0","2,588.0","2,641.0","2,642.0","2,970.0","3,245.0"
"64","46","            Sales to other sectors","W137RC1","4.0","4.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","8.0","10.0","12.0","22.0","117.0","390.0","894.0","1,059.0","615.0","296.0","154.0","313.0","222.0","200.0","182.0","265.0","693.0","271.0","556.0","412.0","443.0","318.0","312.0","329.0","479.0","424.0","383.0","412.0","502.0","669.0","769.0","698.0","776.0","1,172.0","1,271.0","1,365.0","1,321.0","1,791.0","2,500.0","3,102.0","3,966.0","4,072.0","3,779.0","3,350.0","3,755.0","3,789.0","3,830.0","3,663.0","4,197.0","4,692.0","5,033.0","4,827.0","5,602.0","4,788.0","4,179.0","4,564.0","4,384.0","4,554.0","3,098.0","4,273.0","2,989.0","4,613.0","2,993.0","2,680.0","3,057.0","3,574.0","5,786.0","4,418.0","4,080.0","5,070.0","5,725.0"
