"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"35","17","    Undistributed profits with IVA and CCAdj","A127RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","692.0","607.0","1,193.0","2,798.0","3,236.0","4,765.0","6,224.0","7,217.0","4,903.0","3,262.0","5,898.0","11,418.0","11,269.0","8,872.0","9,672.0","10,880.0","9,944.0","11,428.0","16,480.0","14,712.0","14,474.0","11,928.0","17,529.0","16,948.0","17,396.0","23,223.0","25,728.0","29,175.0","35,259.0","37,995.0","35,766.0","34,088.0","30,255.0","23,442.0","32,882.0","42,249.0","44,625.0","29,122.0","48,704.0","57,303.0","72,633.0","82,776.0","77,818.0","50,163.0","65,173.0","61,503.0","95,719.0","130,269.0","135,587.0","98,271.0","125,089.0","155,069.0","121,520.0","119,963.0","138,001.0","159,512.0","169,740.0","199,362.0","243,943.0","272,310.0","308,207.0","212,601.0","260,092.0","176,257.0","209,952.0","280,600.0","309,156.0","390,503.0","486,381.0","430,267.0","322,369.0","378,335.0","418,361.0"
"36","18","Net interest and miscellaneous payments","W255RC1","4,572.0","4,827.0","4,816.0","4,483.0","3,975.0","4,025.0","4,062.0","3,808.0","3,685.0","3,648.0","3,649.0","3,337.0","3,274.0","3,203.0","2,873.0","2,438.0","2,333.0","1,906.0","2,452.0","2,592.0","2,853.0","3,171.0","3,654.0","4,059.0","4,723.0","5,611.0","6,227.0","6,864.0","8,018.0","9,543.0","9,604.0","10,561.0","12,451.0","14,227.0","15,161.0","17,416.0","19,625.0","22,386.0","25,521.0","27,090.0","32,715.0","39,131.0","43,873.0","47,905.0","55,235.0","70,767.0","81,624.0","85,537.0","101,069.0","115,027.0","138,872.0","181,826.0","232,335.0","271,123.0","285,313.0","327,060.0","341,484.0","367,082.0","366,650.0","385,303.0","434,096.0","444,218.0","418,227.0","387,714.0","364,601.0","362,230.0","358,315.0","371,068.0","407,550.0","479,326.0","481,372.0","539,262.0","544,355.0","506,370.0","504,128.0","461,624.0","543,046.0","652,238.0","739,192.0","815,111.0","788,211.0"
"37","19","Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,028,723.0","1,047,277.0","1,023,886.0"
"38","20","Less: Subsidies \1\","A107RC1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,756.0","53,516.0","59,630.0"
"39","21","Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","700.0","717.0","736.0","731.0","862.0","1,216.0","1,257.0","1,217.0","988.0","1,375.0","1,735.0","1,920.0","1,807.0","1,764.0","1,858.0","2,026.0","2,243.0","2,657.0","3,136.0","3,617.0","3,524.0","3,765.0","4,321.0","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","102,160.0","118,774.0","134,066.0"
"40","22","  To persons (net)","B931RC1","398.0","352.0","427.0","471.0","417.0","405.0","392.0","394.0","375.0","257.0","281.0","287.0","350.0","342.0","387.0","433.0","500.0","428.0","392.0","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,194.0","25,701.0","16,942.0","25,836.0","21,373.0","30,205.0","32,630.0","32,730.0"
"41","23","  To government (net)","W061RC1","113.0","115.0","111.0","108.0","98.0","97.0","114.0","139.0","149.0","153.0","154.0","164.0","177.0","203.0","255.0","379.0","391.0","272.0","325.0","365.0","376.0","307.0","343.0","369.0","375.0","421.0","445.0","500.0","525.0","567.0","442.0","546.0","665.0","694.0","789.0","949.0","1,352.0","1,411.0","1,503.0","1,533.0","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","65,373.0","78,847.0","96,783.0"
"42","24","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","1,994.0","6,582.0","7,297.0","4,553.0"
"43","25","Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-6,552.0","-6,944.0","-8,074.0"
"44",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Net cash flow with IVA","A904RC1","8,474.0","5,864.0","2,766.0","793.0","953.0","2,935.0","3,987.0","4,072.0","5,116.0","5,091.0","5,649.0","7,430.0","8,340.0","10,545.0","12,040.0","13,173.0","11,043.0","10,146.0","14,782.0","21,802.0","22,497.0","20,832.0","23,300.0","25,340.0","25,332.0","27,604.0","33,576.0","33,950.0","35,758.0","34,649.0","41,246.0","41,021.0","42,135.0","48,869.0","52,500.0","57,436.0","65,736.0","71,466.0","72,631.0","74,820.0","75,452.0","73,571.0","87,853.0","102,143.0","111,706.0","108,165.0","143,361.0","162,033.0","190,782.0","217,168.0","233,181.0","230,275.0","273,515.0","293,090.0","336,193.0","383,181.0","407,319.0","388,083.0","431,561.0","483,885.0","470,350.0","493,003.0","528,781.0","551,116.0","588,346.0","635,304.0","719,261.0","778,294.0","849,063.0","790,913.0","885,054.0","861,321.0","944,999.0","1,036,501.0","1,084,773.0","1,190,139.0","1,337,043.0","1,356,144.0","1,303,366.0","1,478,440.0","1,583,994.0"
"46","27","    Undistributed profits with IVA and CCAdj","A127RC1","3,486.0","1,048.0","-1,730.0","-3,199.0","-2,831.0","-929.0","63.0","112.0","692.0","607.0","1,193.0","2,798.0","3,236.0","4,765.0","6,224.0","7,217.0","4,903.0","3,262.0","5,898.0","11,418.0","11,269.0","8,872.0","9,672.0","10,880.0","9,944.0","11,428.0","16,480.0","14,712.0","14,474.0","11,928.0","17,529.0","16,948.0","17,396.0","23,223.0","25,728.0","29,175.0","35,259.0","37,995.0","35,766.0","34,088.0","30,255.0","23,442.0","32,882.0","42,249.0","44,625.0","29,122.0","48,704.0","57,303.0","72,633.0","82,776.0","77,818.0","50,163.0","65,173.0","61,503.0","95,719.0","130,269.0","135,587.0","98,271.0","125,089.0","155,069.0","121,520.0","119,963.0","138,001.0","159,512.0","169,740.0","199,362.0","243,943.0","272,310.0","308,207.0","212,601.0","260,092.0","176,257.0","209,952.0","280,600.0","309,156.0","390,503.0","486,381.0","430,267.0","322,369.0","378,335.0","418,361.0"
"47","28","    Consumption of fixed capital","A438RC1","4,988.0","4,816.0","4,496.0","3,992.0","3,784.0","3,864.0","3,924.0","3,960.0","4,424.0","4,484.0","4,456.0","4,632.0","5,104.0","5,780.0","5,816.0","5,956.0","6,140.0","6,884.0","8,884.0","10,384.0","11,228.0","11,960.0","13,628.0","14,460.0","15,388.0","16,176.0","17,088.0","19,220.0","21,260.0","22,692.0","23,668.0","23,980.0","24,616.0","25,520.0","26,684.0","28,180.0","30,396.0","33,388.0","36,780.0","40,620.0","45,120.0","50,004.0","54,832.0","59,700.0","66,924.0","78,820.0","94,416.0","104,532.0","117,988.0","134,228.0","155,120.0","179,836.0","208,140.0","231,388.0","240,436.0","252,904.0","271,728.0","289,812.0","306,472.0","328,816.0","350,840.0","373,040.0","392,064.0","402,008.0","420,052.0","444,852.0","476,804.0","505,984.0","540,856.0","578,312.0","625,812.0","685,064.0","730,252.0","755,892.0","775,528.0","809,160.0","862,868.0","925,856.0","980,964.0","1,036,832.0","1,041,691.0"
"48","29","    Less: Capital transfers paid (net)","W976RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8.0","-18.0","-24.0","-29.0","-49.0","-93.0","-123.0","-126.0","-88.0","-81.0","-81.0","-83.0","-85.0","-112.0","-77.0","-125.0","-139.0","-194.0","-157.0","-223.0","-241.0","-198.0","-161.0","-164.0","-243.0","-276.0","-202.0","-199.0","-38.0","-8.0","-4.0","0.0","0.0","0.0","2,010.0","0.0","1,284.0","10,404.0","1,446.0","8,910.0","1,486.0","0.0","0.0","0.0","850.0","0.0","-4,795.0","-9.0","-89.0","9,524.0","12,206.0","-21.0","-33.0","-63,273.0","-123,942.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Proprietors' income with IVA and CCAdj","A041RC1","14,055.0","10,923.0","8,374.0","5,066.0","5,311.0","7,037.0","10,138.0","10,392.0","12,520.0","10,584.0","11,116.0","12,257.0","16,638.0","23,352.0","28,263.0","29,402.0","30,820.0","35,689.0","34,479.0","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,096,351.0","1,106,275.0","1,040,993.0"
"51","31","    Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","39,432.0","48,735.0","29,330.0"
"52","32","      Proprietors' income with IVA","A043RC1","5,717.0","3,938.0","3,042.0","1,732.0","2,213.0","2,595.0","4,900.0","3,959.0","5,669.0","4,054.0","4,047.0","4,085.0","6,079.0","9,837.0","11,696.0","11,628.0","12,009.0","14,392.0","14,684.0","17,139.0","12,445.0","13,310.0","15,841.0","14,889.0","12,709.0","12,243.0","11,161.0","11,114.0","11,142.0","13,030.0","10,668.0","11,198.0","11,769.0","11,726.0","11,503.0","10,270.0","12,541.0","13,566.0","12,250.0","12,337.0","13,623.0","13,798.0","14,450.0","18,202.0","30,328.0","25,290.0","24,614.0","20,127.0","19,251.0","23,646.0","26,578.0","17,285.0","25,573.0","20,424.0","13,148.0","27,615.0","27,170.0","28,904.0","34,773.0","32,535.0","38,786.0","37,860.0","33,182.0","41,369.0","37,428.0","40,938.0","28,688.0","43,552.0","37,391.0","33,482.0","33,034.0","34,099.0","34,965.0","22,814.0","40,976.0","54,546.0","49,415.0","35,352.0","45,795.0","55,560.0","35,928.0"
"53","33","      Capital consumption adjustment","B044RC1","-58.0","-41.0","-8.0","18.0","11.0","-15.0","-6.0","-12.0","-31.0","-43.0","-24.0","-20.0","-53.0","-149.0","-153.0","-190.0","-185.0","-181.0","-342.0","-435.0","-456.0","-438.0","-538.0","-576.0","-540.0","-494.0","-445.0","-526.0","-592.0","-608.0","-624.0","-550.0","-520.0","-509.0","-493.0","-489.0","-512.0","-548.0","-608.0","-677.0","-790.0","-904.0","-1,064.0","-1,179.0","-1,253.0","-1,822.0","-2,615.0","-2,917.0","-3,287.0","-3,724.0","-4,428.0","-5,578.0","-6,545.0","-7,110.0","-6,975.0","-6,677.0","-6,194.0","-6,067.0","-5,866.0","-5,733.0","-5,764.0","-5,692.0","-5,678.0","-5,560.0","-5,401.0","-5,342.0","-5,251.0","-5,116.0","-4,803.0","-4,602.0","-4,539.0","-4,467.0","-4,442.0","-4,362.0","-4,441.0","-4,883.0","-5,539.0","-6,017.0","-6,363.0","-6,825.0","-6,598.0"
"54","34","    Nonfarm","A045RC1","8,396.0","7,026.0","5,340.0","3,316.0","3,087.0","4,457.0","5,244.0","6,445.0","6,882.0","6,573.0","7,093.0","8,192.0","10,612.0","13,664.0","16,720.0","17,964.0","18,996.0","21,478.0","20,137.0","22,518.0","22,633.0","24,614.0","27,348.0","28,757.0","29,844.0","30,525.0","33,547.0","35,275.0","37,275.0","37,767.0","40,282.0","40,059.0","41,950.0","44,087.0","45,512.0","49,570.0","51,874.0","55,230.0","58,206.0","62,530.0","64,675.0","65,583.0","71,297.0","79,013.0","84,552.0","90,015.0","97,609.0","115,030.0","130,065.0","147,582.0","158,960.0","161,760.0","162,588.0","161,519.0","184,477.0","212,131.0","225,127.0","239,726.0","265,340.0","308,037.0","318,554.0","332,976.0","339,777.0","379,112.0","417,589.0","449,509.0","492,588.0","545,247.0","595,645.0","658,651.0","718,307.0","787,826.0","840,202.0","871,840.0","894,111.0","984,093.0","1,025,906.0","1,103,626.0","1,056,919.0","1,057,540.0","1,011,663.0"
"55","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","8,949.0","6,950.0","5,290.0","3,427.0","4,003.0","4,914.0","5,655.0","6,895.0","7,330.0","6,781.0","7,679.0","8,650.0","11,663.0","14,483.0","17,187.0","18,333.0","19,358.0","23,373.0","21,867.0","23,226.0","22,242.0","25,735.0","27,828.0","28,609.0","29,970.0","30,484.0","33,708.0","35,580.0","37,436.0","37,880.0","40,344.0","40,014.0","42,033.0","44,087.0","45,473.0","49,479.0","52,160.0","55,716.0","58,701.0","63,430.0","65,533.0","66,615.0","72,603.0","79,925.0","86,550.0","93,786.0","99,454.0","116,616.0","131,334.0","149,148.0","160,163.0","162,689.0","157,839.0","154,985.0","168,927.0","186,282.0","190,463.0","199,805.0","229,615.0","271,726.0","281,427.0","305,250.0","314,225.0","350,896.0","387,322.0","422,805.0","465,437.0","511,421.0","551,192.0","608,840.0","657,712.0","717,321.0","744,910.0","763,632.0","774,924.0","861,742.0","936,327.0","1,004,254.0","950,368.0","888,013.0","850,134.0"
"56","36","      Inventory valuation adjustment","B179RC1","142.0","755.0","611.0","295.0","-525.0","-54.0","-50.0","-120.0","-29.0","221.0","-166.0","-45.0","-615.0","-367.0","-156.0","-69.0","-106.0","-1,705.0","-1,471.0","-410.0","463.0","-1,094.0","-327.0","201.0","-168.0","-49.0","-198.0","-502.0","-300.0","-56.0","-32.0","25.0","3.0","-4.0","-44.0","-56.0","-166.0","-224.0","-204.0","-413.0","-464.0","-533.0","-557.0","-721.0","-1,887.0","-3,393.0","-1,105.0","-1,060.0","-1,111.0","-1,887.0","-2,637.0","-2,890.0","-1,255.0","-503.0","-516.0","-402.0","-186.0","-38.0","-811.0","-1,200.0","-1,320.0","-1,118.0","-120.0","-537.0","-431.0","-738.0","-1,469.0","-404.0","987.0","1,281.0","-885.0","-1,730.0","984.0","-392.0","-1,521.0","-4,228.0","-4,065.0","-3,633.0","-6,247.0","-5,091.0","703.0"
"57","37","      Capital consumption adjustment","B047RC1","-695.0","-679.0","-561.0","-406.0","-391.0","-403.0","-361.0","-330.0","-419.0","-429.0","-420.0","-413.0","-436.0","-452.0","-311.0","-300.0","-256.0","-190.0","-259.0","-298.0","-72.0","-27.0","-153.0","-53.0","42.0","90.0","37.0","197.0","139.0","-57.0","-30.0","20.0","-86.0","4.0","83.0","147.0","-120.0","-262.0","-291.0","-487.0","-394.0","-499.0","-749.0","-191.0","-111.0","-378.0","-740.0","-526.0","-158.0","321.0","1,434.0","1,961.0","6,004.0","7,037.0","16,066.0","26,251.0","34,850.0","39,959.0","36,536.0","37,511.0","38,447.0","28,844.0","25,672.0","28,753.0","30,698.0","27,442.0","28,620.0","34,230.0","43,466.0","48,530.0","61,480.0","72,235.0","94,308.0","108,600.0","120,708.0","126,579.0","93,644.0","103,005.0","112,798.0","174,618.0","160,826.0"
"58","38","  Rental income of persons with CCAdj","A048RC1","6,182.0","5,476.0","4,510.0","3,636.0","2,889.0","2,573.0","2,622.0","2,748.0","3,042.0","3,554.0","3,777.0","3,909.0","4,487.0","5,533.0","6,109.0","6,439.0","6,724.0","7,092.0","7,177.0","7,797.0","8,089.0","9,073.0","10,039.0","11,152.0","12,357.0","13,382.0","13,776.0","14,068.0","14,472.0","15,236.0","16,018.0","16,960.0","17,730.0","18,605.0","19,332.0","19,433.0","19,949.0","20,522.0","20,906.0","20,626.0","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","144,884.0","210,409.0","268,125.0"
"59","39","    Rental income of persons (without CCAdj)","B049RC1","6,319.0","5,606.0","4,603.0","3,661.0","2,912.0","2,626.0","2,672.0","2,811.0","3,138.0","3,660.0","3,883.0","4,028.0","4,640.0","5,715.0","6,322.0","6,693.0","7,011.0","7,428.0","7,634.0","8,310.0","8,602.0","9,599.0","10,624.0","11,753.0","12,956.0","13,974.0","14,380.0","14,692.0","15,093.0","15,848.0","16,625.0","17,543.0","18,284.0","19,133.0","19,846.0","19,955.0","20,514.0","21,145.0","21,595.0","21,426.0","21,832.0","22,076.0","23,332.0","24,454.0","25,465.0","25,952.0","25,635.0","24,601.0","22,559.0","24,425.0","26,807.0","33,370.0","41,927.0","43,884.0","44,066.0","46,078.0","47,989.0","40,238.0","40,891.0","47,211.0","49,638.0","57,205.0","69,029.0","92,082.0","121,858.0","150,960.0","162,983.0","179,055.0","185,464.0","200,706.0","217,884.0","225,624.0","243,351.0","230,016.0","216,152.0","211,753.0","193,030.0","162,763.0","161,450.0","226,213.0","282,639.0"
"60","40","    Capital consumption adjustment","B050RC1","-137.0","-130.0","-93.0","-25.0","-23.0","-53.0","-50.0","-63.0","-96.0","-106.0","-106.0","-119.0","-153.0","-182.0","-213.0","-254.0","-287.0","-336.0","-457.0","-513.0","-513.0","-526.0","-585.0","-601.0","-599.0","-592.0","-604.0","-624.0","-621.0","-612.0","-607.0","-583.0","-554.0","-528.0","-514.0","-522.0","-565.0","-623.0","-689.0","-800.0","-936.0","-1,002.0","-1,149.0","-1,311.0","-1,561.0","-1,904.0","-2,268.0","-2,516.0","-2,934.0","-3,541.0","-4,164.0","-4,876.0","-5,468.0","-5,834.0","-5,901.0","-6,048.0","-6,138.0","-6,411.0","-6,707.0","-6,979.0","-7,224.0","-7,401.0","-7,448.0","-7,463.0","-7,769.0","-8,046.0","-8,416.0","-8,615.0","-8,916.0","-9,238.0","-9,728.0","-10,349.0","-10,980.0","-11,278.0","-11,989.0","-13,370.0","-14,820.0","-16,243.0","-16,566.0","-15,804.0","-14,514.0"
"61","41","  Corporate profits with IVA and CCAdj","A051RC1","10,656.0","7,358.0","2,834.0","-270.0","-272.0","2,382.0","3,858.0","6,044.0","6,854.0","4,801.0","6,400.0","9,648.0","15,277.0","20,434.0","24,744.0","24,783.0","20,192.0","17,940.0","23,487.0","30,875.0","28,710.0","35,635.0","40,801.0","38,839.0","39,117.0","38,334.0","48,999.0","47,985.0","47,639.0","42,458.0","53,826.0","53,096.0","54,187.0","62,345.0","68,335.0","75,524.0","86,529.0","92,546.0","90,175.0","97,251.0","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0","784,166.0","872,192.0","977,784.0","1,246,931.0","1,456,085.0","1,608,312.0","1,541,696.0","1,360,389.0","1,308,927.0"
"62","42","    Corporate profits with IVA","A052RC1","11,067.0","7,551.0","2,771.0","-433.0","-415.0","2,454.0","3,989.0","6,193.0","7,419.0","5,406.0","6,914.0","10,237.0","15,871.0","20,843.0","24,779.0","24,168.0","19,457.0","19,673.0","26,046.0","33,724.0","31,463.0","38,268.0","43,589.0","41,211.0","40,686.0","39,025.0","48,148.0","47,770.0","47,541.0","42,708.0","53,479.0","51,458.0","51,840.0","57,032.0","62,133.0","68,602.0","78,905.0","84,593.0","81,993.0","88,788.0","85,501.0","74,440.0","88,295.0","101,614.0","115,403.0","109,555.0","134,998.0","165,626.0","194,812.0","222,427.0","231,996.0","211,409.0","219,116.0","191,107.0","226,554.0","264,629.0","257,485.0","253,022.0","306,860.0","367,749.0","374,105.0","398,795.0","430,313.0","471,580.0","515,002.0","586,595.0","666,012.0","743,808.0","815,853.0","738,631.0","776,560.0","755,662.0","720,767.0","762,781.0","892,191.0","1,195,148.0","1,609,459.0","1,784,687.0","1,730,380.0","1,424,530.0","1,436,727.0"
"63","43","      Profits before tax (without IVA and CCAdj)","A053RC1","10,595.0","4,291.0","357.0","-1,480.0","1,728.0","3,079.0","4,216.0","6,931.0","7,450.0","4,443.0","7,628.0","10,437.0","18,342.0","22,047.0","25,552.0","24,455.0","20,021.0","24,936.0","31,945.0","35,876.0","29,607.0","43,233.0","44,788.0","40,230.0","41,683.0","39,343.0","49,884.0","50,463.0","49,080.0","42,963.0","53,756.0","51,631.0","51,569.0","57,006.0","62,079.0","69,096.0","80,150.0","86,700.0","83,547.0","92,439.0","91,371.0","80,992.0","92,879.0","108,224.0","134,972.0","147,776.0","145,542.0","179,739.0","210,510.0","246,136.0","272,134.0","253,542.0","243,742.0","198,612.0","233,999.0","268,608.0","257,464.0","245,961.0","323,099.0","389,923.0","390,453.0","411,687.0","425,386.0","474,401.0","519,023.0","599,031.0","684,296.0","740,737.0","801,763.0","722,888.0","780,514.0","772,471.0","712,723.0","765,347.0","903,474.0","1,229,403.0","1,640,158.0","1,822,720.0","1,774,389.0","1,462,749.0","1,427,617.0"
