"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Information processing equipment and software","A679RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,144.0","1,723.0","1,809.0","1,628.0","1,841.0","2,149.0","2,430.0","2,666.0","2,424.0","2,818.0","3,355.0","3,982.0","3,606.0","3,988.0","4,869.0","5,261.0","5,707.0","6,527.0","7,364.0","8,517.0","10,663.0","11,277.0","11,915.0","14,611.0","16,637.0","17,335.0","19,452.0","23,080.0","26,981.0","28,536.0","32,716.0","39,166.0","48,687.0","58,485.0","68,770.0","81,464.0","88,259.0","100,068.0","121,541.0","130,349.0","136,761.0","141,189.0","154,934.0","172,587.0","177,198.0","182,924.0","199,923.0","217,603.0","235,222.0","263,002.0","290,142.0","330,278.0","366,099.0","417,090.0","478,249.0","452,520.0","419,779.0","430,905.0","455,310.0","475,269.0","505,236.0","537,355.0","562,876.0"
"22","4","    Computers, software, and communication","W175RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,799.0","2,571.0","3,111.0","3,603.0","4,035.0","4,463.0","5,291.0","6,683.0","7,255.0","7,852.0","9,897.0","11,554.0","11,825.0","12,865.0","14,863.0","16,762.0","17,651.0","20,225.0","24,883.0","30,732.0","38,590.0","46,589.0","56,164.0","61,768.0","69,783.0","85,992.0","94,490.0","98,084.0","104,006.0","115,873.0","128,601.0","131,494.0","135,084.0","148,076.0","160,901.0","177,448.0","204,200.0","229,020.0","268,859.0","300,936.0","353,302.0","410,956.0","383,248.0","346,503.0","350,283.0","369,304.0","380,074.0","405,880.0","432,136.0","450,911.0"
"23","5","      Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","192.0","261.0","347.0","734.0","927.0","1,163.0","1,698.0","1,869.0","1,925.0","2,440.0","2,722.0","2,774.0","3,472.0","3,539.0","3,868.0","3,586.0","4,403.0","5,666.0","7,563.0","10,163.0","12,522.0","17,128.0","18,871.0","23,891.0","31,609.0","33,734.0","33,410.0","35,762.0","37,956.0","43,093.0","38,643.0","37,704.0","44,014.0","47,935.0","52,385.0","66,110.0","72,793.0","81,375.0","87,887.0","97,231.0","103,178.0","87,556.0","79,725.0","77,643.0","80,212.0","78,889.0","84,890.0","89,231.0","86,667.0"
"24","6","      Software \1\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14.0","127.0","167.0","221.0","433.0","541.0","677.0","1,011.0","1,172.0","1,318.0","1,790.0","2,321.0","2,410.0","2,778.0","3,220.0","3,912.0","4,780.0","5,204.0","5,476.0","6,345.0","8,135.0","9,836.0","11,845.0","14,040.0","16,384.0","20,362.0","23,762.0","25,614.0","28,995.0","34,178.0","41,869.0","47,632.0","53,720.0","57,855.0","64,274.0","68,262.0","74,635.0","85,474.0","107,483.0","125,993.0","157,332.0","184,455.0","186,590.0","183,043.0","191,272.0","205,681.0","218,004.0","229,785.0","245,612.0","264,080.0"
"25","7","      Communication equipment \2\","C275RC1","443.0","339.0","230.0","108.0","80.0","132.0","193.0","246.0","396.0","263.0","312.0","468.0","522.0","341.0","309.0","632.0","724.0","444.0","737.0","725.0","647.0","735.0","853.0","1,076.0","1,192.0","1,048.0","1,161.0","1,438.0","1,703.0","1,484.0","1,765.0","2,252.0","2,683.0","3,035.0","2,868.0","2,995.0","3,451.0","3,974.0","4,214.0","4,609.0","5,667.0","6,511.0","6,641.0","6,615.0","8,104.0","8,982.0","9,285.0","10,618.0","13,741.0","16,824.0","20,292.0","24,231.0","27,191.0","28,857.0","29,508.0","34,021.0","36,994.0","39,060.0","39,249.0","43,739.0","43,639.0","45,219.0","43,660.0","46,207.0","48,692.0","56,801.0","63,455.0","70,753.0","80,001.0","87,056.0","98,739.0","123,323.0","109,102.0","83,735.0","81,368.0","83,411.0","83,181.0","91,205.0","97,293.0","100,164.0"
"26","8","    Medical equipment and instruments","W176RC1","15.0","12.0","9.0","6.0","5.0","6.0","7.0","9.0","14.0","10.0","13.0","11.0","11.0","6.0","12.0","12.0","32.0","75.0","119.0","123.0","111.0","127.0","157.0","156.0","140.0","150.0","190.0","218.0","226.0","204.0","236.0","288.0","320.0","343.0","418.0","479.0","521.0","605.0","821.0","844.0","1,061.0","1,243.0","1,486.0","1,640.0","1,967.0","2,401.0","2,807.0","3,314.0","3,640.0","4,419.0","4,797.0","5,197.0","6,319.0","8,256.0","9,126.0","10,100.0","10,414.0","11,115.0","12,400.0","13,525.0","14,484.0","16,410.0","17,809.0","19,890.0","22,063.0","21,368.0","21,779.0","23,769.0","26,440.0","30,301.0","32,223.0","35,211.0","38,464.0","43,785.0","47,611.0","51,066.0","58,613.0","60,662.0","64,262.0","68,653.0"
"27","9","    Nonmedical instruments","W177RC1","66.0","57.0","42.0","28.0","24.0","26.0","34.0","42.0","61.0","47.0","58.0","50.0","48.0","26.0","55.0","57.0","148.0","162.0","241.0","267.0","250.0","298.0","359.0","382.0","401.0","297.0","420.0","477.0","525.0","464.0","473.0","490.0","479.0","446.0","474.0","495.0","567.0","639.0","722.0","735.0","798.0","892.0","875.0","1,130.0","1,282.0","1,722.0","1,799.0","2,065.0","3,492.0","4,070.0","4,413.0","4,925.0","5,601.0","6,126.0","6,319.0","7,776.0","8,308.0","8,645.0","8,853.0","9,208.0","11,732.0","12,916.0","13,395.0","14,254.0","14,521.0","15,426.0","17,042.0","17,909.0","16,582.0","17,021.0","17,114.0","18,387.0","19,288.0","19,747.0","19,683.0","21,762.0","23,555.0","25,677.0","27,864.0","29,821.0"
"28","10","    Photocopy and related equipment","C285RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","64.0","95.0","107.0","102.0","105.0","119.0","131.0","165.0","176.0","184.0","196.0","218.0","185.0","247.0","296.0","309.0","392.0","622.0","949.0","1,138.0","1,447.0","1,226.0","1,304.0","1,460.0","1,708.0","2,018.0","2,478.0","3,033.0","3,506.0","3,976.0","4,408.0","4,323.0","5,232.0","5,500.0","6,358.0","7,245.0","7,370.0","7,272.0","9,083.0","8,791.0","9,254.0","9,659.0","10,717.0","11,672.0","11,421.0","12,000.0","12,571.0","14,488.0","15,297.0","14,187.0","13,587.0","12,634.0","12,701.0","10,729.0","9,838.0","6,738.0","4,576.0","5,196.0","4,787.0","4,456.0","4,061.0","3,659.0","4,190.0"
"29","11","    Office and accounting equipment","B936RC1","185.0","132.0","96.0","67.0","66.0","81.0","106.0","129.0","158.0","132.0","137.0","159.0","198.0","154.0","109.0","160.0","211.0","399.0","531.0","587.0","518.0","576.0","661.0","685.0","768.0","753.0","863.0","1,026.0","1,310.0","1,262.0","1,233.0","1,224.0","1,042.0","923.0","978.0","978.0","1,000.0","1,289.0","1,253.0","1,180.0","1,395.0","1,240.0","1,131.0","1,339.0","1,935.0","2,590.0","2,303.0","2,704.0","2,828.0","4,234.0","5,185.0","5,701.0","6,135.0","4,739.0","7,568.0","8,590.0","8,346.0","9,663.0","6,271.0","5,611.0","6,098.0","4,957.0","4,636.0","5,132.0","5,630.0","5,683.0","5,794.0","5,857.0","5,763.0","5,140.0","3,722.0","3,857.0","4,782.0","5,168.0","8,132.0","8,391.0","8,571.0","8,956.0","9,434.0","9,301.0"
"30","12","  Industrial equipment","A680RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,158.0","4,599.0","4,610.0","3,723.0","4,477.0","5,669.0","5,929.0","6,715.0","7,050.0","7,252.0","8,844.0","9,625.0","8,211.0","8,525.0","9,375.0","8,801.0","9,253.0","10,027.0","11,433.0","13,680.0","16,150.0","16,919.0","17,280.0","19,051.0","20,282.0","19,459.0","21,409.0","26,023.0","30,659.0","31,329.0","34,120.0","39,443.0","47,731.0","56,162.0","60,743.0","65,485.0","62,669.0","58,879.0","68,140.0","72,469.0","75,415.0","76,712.0","84,182.0","93,325.0","92,142.0","89,313.0","92,961.0","102,233.0","113,620.0","128,961.0","136,521.0","140,418.0","147,355.0","149,126.0","162,910.0","151,879.0","141,734.0","142,560.0","142,030.0","159,643.0","178,421.0","193,192.0","193,806.0"
"31","13","    Fabricated metal products","C263RC1","132.0","112.0","80.0","49.0","40.0","57.0","64.0","74.0","94.0","70.0","80.0","96.0","121.0","117.0","147.0","174.0","215.0","336.0","538.0","541.0","442.0","483.0","659.0","762.0","825.0","877.0","818.0","940.0","1,126.0","1,042.0","949.0","925.0","863.0","793.0","877.0","1,019.0","1,207.0","1,411.0","1,405.0","1,704.0","2,118.0","2,577.0","2,768.0","2,966.0","3,678.0","4,470.0","5,328.0","6,097.0","6,226.0","7,057.0","8,777.0","9,181.0","9,883.0","9,548.0","9,145.0","8,684.0","8,626.0","7,975.0","7,132.0","7,958.0","8,961.0","9,172.0","9,373.0","9,599.0","9,349.0","10,037.0","10,838.0","12,135.0","10,548.0","10,900.0","11,493.0","11,946.0","11,880.0","10,672.0","11,474.0","12,018.0","13,547.0","16,078.0","17,515.0","17,733.0"
"32","14","    Engines and turbines","A668RC1","54.0","45.0","26.0","12.0","10.0","17.0","25.0","43.0","64.0","44.0","54.0","62.0","56.0","26.0","47.0","91.0","193.0","50.0","143.0","216.0","208.0","275.0","225.0","313.0","311.0","455.0","421.0","445.0","632.0","659.0","584.0","556.0","477.0","425.0","423.0","427.0","450.0","546.0","760.0","940.0","1,104.0","1,265.0","1,453.0","1,685.0","1,691.0","1,816.0","1,743.0","1,770.0","1,737.0","1,849.0","1,877.0","1,930.0","2,335.0","1,973.0","1,769.0","1,935.0","2,182.0","1,868.0","2,509.0","2,719.0","3,261.0","3,115.0","3,829.0","3,663.0","3,518.0","3,886.0","3,291.0","3,979.0","3,744.0","4,427.0","5,481.0","7,101.0","10,797.0","11,578.0","10,052.0","4,746.0","5,476.0","6,874.0","7,903.0","9,786.0"
"33","15","    Metalworking machinery","C271RC1","216.0","138.0","83.0","32.0","34.0","67.0","121.0","181.0","247.0","142.0","199.0","440.0","618.0","583.0","549.0","452.0","556.0","727.0","767.0","644.0","436.0","680.0","1,001.0","1,118.0","1,437.0","1,588.0","1,327.0","1,840.0","1,857.0","1,186.0","1,307.0","1,549.0","1,399.0","1,576.0","1,906.0","2,033.0","2,625.0","3,290.0","4,223.0","3,915.0","3,970.0","3,980.0","3,144.0","3,717.0","4,919.0","6,068.0","6,059.0","6,440.0","7,250.0","9,348.0","11,572.0","13,269.0","14,104.0","12,166.0","9,324.0","11,310.0","12,456.0","13,103.0","12,468.0","13,878.0","16,693.0","15,959.0","15,677.0","16,865.0","18,676.0","22,260.0","26,386.0","27,463.0","29,725.0","30,003.0","29,133.0","29,892.0","25,435.0","22,973.0","22,802.0","23,370.0","26,328.0","27,877.0","28,950.0","29,872.0"
"34","16","    Special industry machinery, n.e.c.","C272RC1","376.0","266.0","194.0","123.0","140.0","172.0","210.0","286.0","340.0","255.0","275.0","310.0","329.0","275.0","215.0","334.0","491.0","716.0","1,146.0","1,195.0","976.0","1,159.0","1,362.0","1,206.0","1,288.0","1,155.0","1,428.0","1,673.0","1,691.0","1,528.0","1,660.0","1,928.0","1,853.0","2,042.0","2,066.0","2,395.0","3,108.0","3,466.0","3,324.0","3,460.0","3,745.0","3,921.0","3,791.0","4,216.0","4,840.0","5,356.0","5,162.0","5,524.0","6,130.0","8,246.0","9,365.0","10,483.0","11,336.0","11,881.0","12,378.0","14,405.0","15,789.0","17,118.0","18,731.0","20,863.0","23,677.0","22,550.0","21,278.0","21,799.0","24,316.0","26,375.0","31,158.0","32,787.0","32,807.0","34,211.0","34,828.0","39,611.0","35,240.0","30,733.0","29,560.0","29,343.0","31,777.0","35,320.0","38,444.0","34,749.0"
"35","17","    General industrial, including materials handling, equipment","C273RC1","504.0","359.0","255.0","153.0","150.0","200.0","275.0","383.0","462.0","335.0","387.0","443.0","487.0","348.0","376.0","625.0","898.0","936.0","1,291.0","1,324.0","1,029.0","1,090.0","1,362.0","1,297.0","1,503.0","1,539.0","1,850.0","2,179.0","2,309.0","2,085.0","2,237.0","2,473.0","2,329.0","2,510.0","2,875.0","3,442.0","3,927.0","4,571.0","4,270.0","4,347.0","5,028.0","5,257.0","5,200.0","5,488.0","6,855.0","8,281.0","8,451.0","9,369.0","11,988.0","14,756.0","17,188.0","17,970.0","18,968.0","18,079.0","16,812.0","20,311.0","21,868.0","24,178.0","23,590.0","26,013.0","27,015.0","27,381.0","25,817.0","27,380.0","32,166.0","35,352.0","39,874.0","41,970.0","44,303.0","47,614.0","46,291.0","49,384.0","45,553.0","45,501.0","49,012.0","51,731.0","60,165.0","66,323.0","70,796.0","70,075.0"
"36","18","    Electrical transmission, distribution, and industrial apparatus","C276RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","393.0","714.0","690.0","632.0","790.0","1,060.0","1,233.0","1,351.0","1,436.0","1,408.0","1,767.0","2,010.0","1,711.0","1,788.0","1,944.0","1,880.0","1,907.0","1,880.0","2,117.0","2,363.0","2,866.0","2,937.0","2,914.0","3,086.0","3,282.0","3,103.0","3,337.0","4,040.0","4,668.0","4,586.0","4,920.0","6,112.0","6,475.0","7,383.0","7,910.0","8,859.0","9,022.0","9,451.0","11,495.0","11,548.0","11,173.0","12,282.0","12,751.0","13,718.0","13,965.0","13,339.0","13,655.0","14,208.0","15,710.0","17,414.0","18,187.0","19,291.0","20,200.0","21,900.0","24,976.0","22,974.0","20,277.0","19,660.0","20,822.0","22,350.0","25,949.0","29,584.0","31,591.0"
"37","19","  Transportation equipment","A681RC1","2,107.0","1,561.0","912.0","474.0","534.0","831.0","1,082.0","1,506.0","1,726.0","1,107.0","1,380.0","1,923.0","2,403.0","982.0","899.0","998.0","1,684.0","3,012.0","4,916.0","5,482.0","5,703.0","6,425.0","6,563.0","5,742.0","6,577.0","6,013.0","7,503.0","7,401.0","8,265.0","6,115.0","8,273.0","8,509.0","8,026.0","9,789.0","9,432.0","10,577.0","13,215.0","14,518.0","14,266.0","17,629.0","18,890.0","16,242.0","18,412.0","21,849.0","26,560.0","26,279.0","25,168.0","29,989.0","39,277.0","47,322.0","53,639.0","48,385.0","50,556.0","46,821.0","53,511.0","64,407.0","68,954.0","70,469.0","68,065.0","72,861.0","67,918.0","69,960.0","71,531.0","74,715.0","89,425.0","107,732.0","116,077.0","123,151.0","135,531.0","147,146.0","174,359.0","170,786.0","154,216.0","141,568.0","132,894.0","161,118.0","181,715.0","198,210.0","181,702.0","132,308.0"
