"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"21","3","  Food and beverages purchased for off-premises consumption","DFXARC1","16,252.0","14,830.0","11,911.0","9,034.0","9,488.0","11,706.0","13,280.0","15,123.0","16,018.0","15,119.0","15,163.0","15,892.0","18,159.0","21,616.0","24,251.0","25,977.0","28,216.0","34,896.0","40,192.0","41,838.0","40,354.0","41,410.0","46,016.0","48,419.0","49,285.0","50,573.0","52,047.0","54,166.0","57,135.0","59,768.0","61,597.0","62,556.0","63,747.0","64,656.0","65,870.0","69,491.0","74,442.0","80,610.0","82,559.0","88,831.0","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","486,506.0","513,569.0","537,457.0","559,707.0","569,607.0","593,127.0","628,152.0","665,015.0","697,973.0","740,075.0","784,301.0"
"22","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRC1","14,653.0","13,387.0","10,742.0","8,134.0","8,377.0","9,218.0","10,111.0","11,360.0","12,103.0","11,607.0","11,632.0","12,230.0","13,874.0","16,373.0","18,123.0","19,221.0","20,891.0","26,780.0","31,704.0","34,131.0","33,288.0","34,363.0","38,702.0","40,819.0","41,796.0","43,335.0","44,799.0","46,813.0","49,836.0","52,400.0","53,952.0","54,929.0","56,069.0","56,661.0","57,664.0","61,034.0","65,684.0","71,300.0","72,970.0","78,247.0","83,626.0","90,403.0","92,596.0","98,682.0","109,591.0","124,183.0","136,203.0","145,643.0","156,544.0","171,120.0","190,251.0","207,982.0","221,683.0","231,345.0","239,182.0","252,733.0","262,331.0","273,849.0","281,807.0","298,998.0","319,460.0","341,238.0","351,488.0","354,596.0","362,392.0","378,285.0","388,268.0","402,756.0","412,764.0","422,087.0","444,945.0","463,125.0","482,228.0","490,397.0","510,665.0","539,300.0","569,535.0","594,309.0","629,857.0","669,441.0"
"23","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRC1",".....",".....",".....",".....","178.0","1,461.0","1,953.0","2,472.0","2,587.0","2,376.0","2,432.0","2,557.0","2,962.0","3,596.0","3,994.0","4,701.0","5,091.0","5,655.0","5,928.0","5,168.0","5,007.0","5,142.0","5,146.0","5,502.0","5,602.0","5,560.0","5,685.0","5,872.0","5,908.0","5,958.0","6,356.0","6,493.0","6,569.0","7,002.0","7,285.0","7,622.0","7,947.0","8,486.0","8,853.0","9,865.0","11,014.0","12,327.0","13,785.0","14,901.0","16,009.0","17,665.0","19,234.0","20,469.0","22,065.0","23,777.0","26,773.0","29,952.0","32,442.0","34,667.0","36,805.0","37,352.0","39,696.0","41,670.0","41,762.0","43,077.0","45,256.0","49,298.0","50,858.0","49,294.0","50,537.0","53,313.0","55,000.0","58,676.0","61,598.0","64,037.0","68,274.0","74,014.0","77,193.0","78,929.0","82,187.0","88,551.0","95,137.0","103,250.0","109,831.0","114,484.0"
"24","6","    Food produced and consumed on farms","DFFDRC1","1,599.0","1,443.0","1,169.0","900.0","933.0","1,027.0","1,216.0","1,291.0","1,328.0","1,136.0","1,099.0","1,105.0","1,323.0","1,647.0","2,134.0","2,055.0","2,234.0","2,461.0","2,560.0","2,539.0","2,059.0","1,905.0","2,168.0","2,098.0","1,887.0","1,678.0","1,563.0","1,481.0","1,391.0","1,410.0","1,289.0","1,134.0","1,109.0","993.0","921.0","835.0","811.0","824.0","736.0","719.0","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","301.0","343.0","414.0","387.0","376.0"
"25","7","  Clothing, footwear, and related services","DCAFRC1","10,139.0","8,772.0","7,548.0","5,548.0","5,062.0","6,117.0","6,507.0","7,099.0","7,434.0","7,350.0","7,715.0","8,083.0","9,527.0","11,804.0","14,374.0","15,701.0","17,600.0","19,660.0","20,409.0","21,824.0","21,099.0","21,442.0","23,125.0","23,940.0","24,201.0","24,319.0","25,356.0","26,492.0","26,751.0","27,063.0","28,608.0","29,262.0","29,915.0","31,272.0","32,086.0","34,724.0","36,483.0","39,802.0","41,676.0","45,583.0","48,810.0","49,944.0","53,385.0","57,972.0","63,667.0","66,877.0","71,433.0","76,914.0","84,296.0","94,638.0","101,939.0","108,834.0","119,142.0","122,670.0","132,895.0","144,673.0","154,299.0","165,119.0","176,369.0","188,162.0","201,386.0","206,960.0","210,437.0","223,025.0","230,952.0","239,686.0","244,147.0","252,713.0","262,012.0","273,016.0","287,050.0","297,319.0","294,336.0","295,169.0","302,782.0","315,864.0","331,806.0","347,183.0","359,073.0","355,556.0"
"26","8","    Clothing","DCLTRC1","8,389.0","7,328.0","6,283.0","4,481.0","4,136.0","5,002.0","5,430.0","5,903.0","6,099.0","6,038.0","6,433.0","6,758.0","8,011.0","9,930.0","12,403.0","13,635.0","15,219.0","16,733.0","17,293.0","18,558.0","17,806.0","17,924.0","19,596.0","20,460.0","20,691.0","20,785.0","21,513.0","22,477.0","22,686.0","22,735.0","24,017.0","24,501.0","25,080.0","26,237.0","27,031.0","29,285.0","30,830.0","33,552.0","35,064.0","38,238.0","40,729.0","41,873.0","44,937.0","48,737.0","53,475.0","56,646.0","60,709.0","65,466.0","71,701.0","80,152.0","85,543.0","91,053.0","99,368.0","103,073.0","112,098.0","122,656.0","130,943.0","140,206.0","149,864.0","160,007.0","170,446.0","174,823.0","178,487.0","189,484.0","196,110.0","202,791.0","206,053.0","212,735.0","220,823.0","229,567.0","241,394.0","250,398.0","247,783.0","248,851.0","255,527.0","267,174.0","280,326.0","292,931.0","303,870.0","300,176.0"
"27","9","      Garments","DGARRC1","7,084.0","6,141.0","5,279.0","3,719.0","3,459.0","4,254.0","4,617.0","5,007.0","5,132.0","5,079.0","5,451.0","5,691.0","6,591.0","7,870.0","9,632.0","10,689.0","12,027.0","13,833.0","14,308.0","15,449.0","14,717.0","14,759.0","16,116.0","16,993.0","17,190.0","17,320.0","17,997.0","18,815.0","18,945.0","19,010.0","20,177.0","20,611.0","21,169.0","22,206.0","22,919.0","25,040.0","26,358.0","28,789.0","30,193.0","33,119.0","35,477.0","36,617.0","39,637.0","43,168.0","47,808.0","50,826.0","54,905.0","59,203.0","65,063.0","73,082.0","78,224.0","83,275.0","91,390.0","94,941.0","103,338.0","113,149.0","120,984.0","129,527.0","138,166.0","146,880.0","156,207.0","159,977.0","163,962.0","174,421.0","180,888.0","187,271.0","190,094.0","196,380.0","203,240.0","211,129.0","221,908.0","230,023.0","227,216.0","228,008.0","234,958.0","246,418.0","258,976.0","270,450.0","280,461.0","276,525.0"
"28","10","        Women's and girls' clothing","DWGCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,454.0","12,725.0","13,087.0","13,817.0","14,303.0","15,617.0","16,299.0","17,697.0","18,299.0","20,069.0","21,299.0","21,939.0","24,019.0","25,761.0","28,305.0","29,859.0","32,158.0","34,493.0","37,532.0","42,476.0","45,544.0","48,470.0","53,260.0","55,319.0","60,745.0","66,992.0","72,201.0","77,933.0","83,096.0","87,550.0","92,654.0","94,545.0","96,473.0","103,175.0","106,397.0","108,421.0","108,922.0","111,410.0","113,922.0","118,968.0","126,520.0","132,721.0","132,134.0","133,306.0","137,441.0","144,500.0","151,928.0","158,885.0","165,203.0","162,244.0"
"29","11","        Men's and boys' clothing","DMBCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,435.0","7,582.0","7,764.0","8,055.0","8,239.0","9,044.0","9,604.0","10,597.0","11,351.0","12,437.0","13,390.0","13,724.0","14,747.0","16,331.0","18,175.0","19,303.0","20,874.0","22,549.0","25,065.0","27,601.0","29,236.0","30,894.0","33,548.0","34,524.0","37,092.0","40,190.0","42,459.0","44,884.0","48,049.0","51,723.0","55,584.0","57,381.0","59,392.0","63,009.0","66,065.0","70,095.0","72,209.0","75,838.0","79,957.0","82,193.0","84,621.0","85,874.0","83,203.0","82,445.0","85,075.0","89,057.0","93,559.0","97,424.0","100,643.0","99,520.0"
"30","12","        Children's and infants' clothing","DCICRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","288.0","304.0","318.0","334.0","377.0","379.0","455.0","495.0","543.0","613.0","788.0","954.0","871.0","1,076.0","1,328.0","1,664.0","1,873.0","2,161.0","2,466.0","3,005.0","3,444.0","3,911.0","4,582.0","5,098.0","5,501.0","5,967.0","6,324.0","6,710.0","7,021.0","7,607.0","7,969.0","8,051.0","8,097.0","8,237.0","8,426.0","8,755.0","8,963.0","9,132.0","9,361.0","9,968.0","10,767.0","11,428.0","11,879.0","12,257.0","12,442.0","12,861.0","13,489.0","14,141.0","14,615.0","14,761.0"
"31","13","      Other clothing materials","DOCMRC1","270.0","238.0","205.0","146.0","137.0","163.0","180.0","192.0","196.0","199.0","216.0","241.0","460.0","952.0","1,410.0","1,468.0","1,566.0","896.0","774.0","788.0","772.0","824.0","1,013.0","896.0","816.0","738.0","738.0","777.0","785.0","795.0","832.0","816.0","837.0","891.0","889.0","839.0","898.0","1,024.0","998.0","1,068.0","1,053.0","1,055.0","1,263.0","1,458.0","1,613.0","1,738.0","1,619.0","1,933.0","2,031.0","2,132.0","2,147.0","2,360.0","2,441.0","2,615.0","2,742.0","2,898.0","2,950.0","3,210.0","3,533.0","3,705.0","3,820.0","3,752.0","3,809.0","3,910.0","3,934.0","3,806.0","3,570.0","3,666.0","3,524.0","3,693.0","4,017.0","4,358.0","4,560.0","4,975.0","5,266.0","5,382.0","5,566.0","5,854.0","6,080.0","6,150.0"
"32","14","      Cleaning, repair, and rental of clothing","DCRCRC1","1,035.0","949.0","799.0","616.0","540.0","585.0","633.0","704.0","771.0","760.0","766.0","826.0","960.0","1,108.0","1,361.0","1,478.0","1,626.0","2,004.0","2,211.0","2,321.0","2,317.0","2,341.0","2,467.0","2,571.0","2,685.0","2,727.0","2,778.0","2,885.0","2,956.0","2,930.0","3,008.0","3,074.0","3,074.0","3,140.0","3,223.0","3,406.0","3,574.0","3,739.0","3,873.0","4,051.0","4,199.0","4,201.0","4,037.0","4,111.0","4,054.0","4,082.0","4,185.0","4,330.0","4,607.0","4,938.0","5,172.0","5,418.0","5,537.0","5,517.0","6,018.0","6,609.0","7,009.0","7,469.0","8,165.0","9,422.0","10,419.0","11,094.0","10,716.0","11,153.0","11,288.0","11,714.0","12,389.0","12,689.0","14,059.0","14,745.0","15,469.0","16,017.0","16,007.0","15,868.0","15,303.0","15,374.0","15,784.0","16,627.0","17,329.0","17,501.0"
"33","15","        Laundry and dry cleaning services","DDRYRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,659.0","1,675.0","1,654.0","1,670.0","1,703.0","1,858.0","2,055.0","2,258.0","2,404.0","2,495.0","2,555.0","2,526.0","2,396.0","2,421.0","2,123.0","2,099.0","2,112.0","2,142.0","2,277.0","2,538.0","2,686.0","2,850.0","2,845.0","2,653.0","2,905.0","3,097.0","3,110.0","3,208.0","3,552.0","3,965.0","4,232.0","4,091.0","4,379.0","5,483.0","5,606.0","5,931.0","6,250.0","6,487.0","7,239.0","7,645.0","8,053.0","8,319.0","8,305.0","8,244.0","7,836.0","8,146.0","8,427.0","9,026.0","9,360.0","9,380.0"
"34","16","        Clothing repair, rental, and alterations","DLGRRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,349.0","1,399.0","1,420.0","1,470.0","1,520.0","1,548.0","1,519.0","1,481.0","1,469.0","1,556.0","1,644.0","1,675.0","1,641.0","1,690.0","1,931.0","1,983.0","2,073.0","2,188.0","2,330.0","2,400.0","2,486.0","2,568.0","2,692.0","2,864.0","3,113.0","3,512.0","3,899.0","4,261.0","4,613.0","5,457.0","6,187.0","7,003.0","6,337.0","5,670.0","5,682.0","5,783.0","6,139.0","6,202.0","6,820.0","7,100.0","7,416.0","7,698.0","7,702.0","7,624.0","7,467.0","7,228.0","7,357.0","7,601.0","7,969.0","8,121.0"
"35","17","    Footwear \2\","DFTWRC1","1,750.0","1,444.0","1,265.0","1,067.0","926.0","1,115.0","1,077.0","1,196.0","1,335.0","1,312.0","1,282.0","1,325.0","1,516.0","1,874.0","1,971.0","2,066.0","2,381.0","2,927.0","3,116.0","3,266.0","3,293.0","3,518.0","3,529.0","3,480.0","3,510.0","3,534.0","3,843.0","4,015.0","4,065.0","4,328.0","4,591.0","4,761.0","4,835.0","5,035.0","5,055.0","5,439.0","5,653.0","6,250.0","6,612.0","7,345.0","8,081.0","8,071.0","8,448.0","9,235.0","10,192.0","10,231.0","10,724.0","11,448.0","12,595.0","14,486.0","16,396.0","17,781.0","19,774.0","19,597.0","20,797.0","22,017.0","23,356.0","24,913.0","26,505.0","28,155.0","30,940.0","32,137.0","31,950.0","33,541.0","34,842.0","36,895.0","38,094.0","39,978.0","41,189.0","43,449.0","45,656.0","46,921.0","46,553.0","46,318.0","47,255.0","48,690.0","51,480.0","54,252.0","55,203.0","55,380.0"
"36","18","  Housing, utilities, and fuels","DHUFRC1","14,469.0","14,026.0","13,088.0","11,626.0","10,498.0","10,357.0","10,517.0","11,002.0","11,576.0","11,913.0","12,273.0","12,840.0","13,740.0","14,823.0","15,511.0","16,213.0","16,881.0","18,772.0","21,198.0","23,949.0","25,617.0","28,430.0","31,571.0","34,594.0","37,872.0","40,851.0","43,775.0","46,774.0","49,979.0","53,325.0","56,858.0","60,525.0","64,015.0","68,195.0","72,178.0","76,235.0","80,999.0","85,850.0","91,120.0","97,405.0","105,490.0","113,786.0","124,478.0","136,172.0","149,680.0","166,298.0","184,844.0","204,630.0","228,689.0","255,630.0","287,548.0","327,027.0","367,476.0","401,193.0","434,537.0","471,901.0","513,995.0","546,824.0","582,822.0","625,907.0","667,324.0","709,115.0","747,817.0","783,331.0","826,867.0","879,205.0","926,774.0","975,497.0","1,023,142.0","1,076,806.0","1,137,399.0","1,214,462.0","1,303,242.0","1,349,054.0","1,410,630.0","1,480,618.0","1,603,868.0","1,708,233.0","1,787,176.0","1,870,325.0"
