"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"26","7","  Wholesale trade","A658RX1","5,327.0","2,356.0","-4,165.0","-4,460.0","407.0","2,307.0","4,957.0","3,180.0","1,250.0","-1,851.0","1,068.0","380.0","4,688.0","5,739.0","393.0","9,199.0","1,369.0","5,465.0","-245.0","-2,060.0","-2,214.0","-1,473.0","4,004.0","5,062.0","1,644.0","1,698.0","596.0","-1,946.0","1,958.0","2,043.0","-595.0","-80.0","1,718.0","5,636.0","4,001.0","3,911.0","1,350.0","-858.0","5,013.0","1,918.0","-683.0","797.0","-271.0","-2,237.0","-2,751.0","23.0","803.0","1,788.0","3,258.0","8,482.0","4,630.0","9,776.0","6,122.0","3,288.0","-142.0","-1,934.0","2,302.0","110.0","3,101.0","2,112.0","3,214.0","5,280.0","338.0","3,836.0","2,776.0","6,780.0","8,488.0","5,452.0","3,537.0","7,168.0","3,672.0","4,369.0","9,716.0","6,776.0","5,138.0","703.0","11,928.0","8,485.0","8,796.0","17,952.0","10,692.0","344.0","13,394.0","8,276.0","1,205.0","9,935.0","4,711.0","-757.0","10,214.0","10,515.0","8,402.0","3,614.0","8,765.0","6,777.0","9,796.0","10,843.0","397.0","9,068.0","6,510.0","11,128.0","-1,310.0","9,162.0","12,668.0","3,808.0","7,823.0","-1,445.0","-1,176.0","10,201.0","17,478.0","16,820.0","-2,360.0","22,060.0","-10,810.0","-14,359.0","2,727.0","-4,920.0","3,396.0","19,783.0","15,701.0","1,476.0","13,131.0","9,842.0","15,568.0","13,931.0","22,589.0","9,716.0","3,392.0","20,481.0","15,768.0","8,260.0","9,103.0","4,316.0","11,711.0","13,241.0","-14.0","-3,774.0","19,068.0","-8,576.0","1,965.0","10,755.0","-4,775.0","5,067.0","-2,710.0","-7,920.0","-11,510.0","-16,388.0","14,574.0","9,765.0","14,774.0","13,956.0","29,700.0","7,635.0","9,891.0","6,858.0","2,639.0","5,841.0","9,624.0","9,899.0","19,788.0","-5,112.0","1,391.0","6,709.0","-3,226.0","26,018.0","19,935.0","12,148.0","9,854.0","-3,909.0","-3,595.0","16,601.0","2,333.0","-1,080.0","8,205.0","15,734.0","9,365.0","1,662.0","8,101.0","-13,416.0","4,724.0","17,470.0","2,456.0","9,948.0","5,591.0","17,197.0","4,665.0","4,620.0","10,240.0","5,565.0","-1,034.0","18,326.0","18,782.0","28,748.0","20,236.0","15,017.0","13,181.0","5,424.0","3,312.0","5,106.0","-7,459.0","9,830.0","24,320.0","37,426.0","19,103.0","33,286.0"
"27","8","    Durable goods","A661RX1","949.0","202.0","1,287.0","-1,628.0","1,786.0","2,393.0","2,519.0","1,907.0","346.0","-2,357.0","783.0","-18.0","796.0","3,369.0","-198.0","7,242.0","1,125.0","5,830.0","1,174.0","-814.0","-2,420.0","-2,663.0","-535.0","1,831.0","1,894.0","-702.0","1,093.0","-1,808.0","-175.0","36.0","-234.0","117.0","1,768.0","3,702.0","1,435.0","2,240.0","-40.0","-238.0","27.0","-81.0","-279.0","1,179.0","904.0","-1,318.0","-1,907.0","-553.0","589.0","1,403.0","2,918.0","5,721.0","-924.0","5,624.0","7,416.0","1,394.0","236.0","-1,764.0","-1,372.0","-1,553.0","3,292.0","3,197.0","2,616.0","2,919.0","2,334.0","2,624.0","1,671.0","4,628.0","2,884.0","1,163.0","1,027.0","4,591.0","3,265.0","3,075.0","6,671.0","3,474.0","4,023.0","1,134.0","9,856.0","4,903.0","5,557.0","9,746.0","4,464.0","1,550.0","3,726.0","5,973.0","994.0","4,250.0","2,168.0","1,793.0","5,824.0","7,617.0","4,850.0","2,302.0","4,560.0","914.0","6,720.0","2,909.0","1,671.0","4,424.0","5,076.0","8,047.0","719.0","7,645.0","4,744.0","8,030.0","4,981.0","6,595.0","3,722.0","4,057.0","7,676.0","5,937.0","7,798.0","12,936.0","382.0","-7,165.0","-5,217.0","730.0","1,903.0","11,818.0","8,130.0","1,286.0","5,539.0","5,513.0","7,680.0","9,311.0","17,371.0","10,227.0","3,565.0","13,050.0","12,346.0","2,790.0","8,032.0","139.0","4,059.0","7,718.0","-2,452.0","7,615.0","6,286.0","6,300.0","106.0","5,914.0","1,519.0","5,011.0","-5,064.0","-14,977.0","-14,495.0","-8,898.0","5,272.0","7,669.0","9,126.0","8,585.0","17,632.0","7,645.0","2,479.0","2,370.0","-1,430.0","-517.0","3,823.0","5,860.0","8,743.0","-4,809.0","1,713.0","6,784.0","-7,818.0","15,884.0","13,336.0","-3,065.0","13,990.0","-2,552.0","-889.0","11,165.0","-697.0","-4,028.0","4,089.0","6,079.0","6,730.0","-3,970.0","3,153.0","-13,434.0","-1,148.0","10,572.0","-4,666.0","8,585.0","4,277.0","3,948.0","1,300.0","194.0","6,179.0","6,373.0","-452.0","16,240.0","11,547.0","15,985.0","15,414.0","10,433.0","7,040.0","12,805.0","4,037.0","2,268.0","6,399.0","174.0","16,392.0","26,801.0","9,125.0","19,060.0"
"28","9","    Nondurable goods","A664RX1","3,754.0","1,820.0","-4,370.0","-2,545.0","-919.0","223.0","2,318.0","1,265.0","829.0","270.0","322.0","370.0","3,578.0","2,341.0","479.0","2,308.0","289.0","204.0","-1,166.0","-1,194.0","0.0","877.0","4,038.0","3,048.0","-123.0","2,175.0","-417.0","-213.0","1,991.0","1,877.0","-337.0","-171.0","-5.0","1,929.0","2,479.0","1,630.0","1,384.0","-602.0","4,934.0","2,000.0","-403.0","-403.0","-1,185.0","-901.0","-810.0","588.0","204.0","360.0","271.0","2,631.0","5,649.0","4,032.0","-1,566.0","1,886.0","-380.0","-114.0","3,746.0","1,726.0","-288.0","-1,179.0","538.0","2,308.0","-2,067.0","1,157.0","1,072.0","2,056.0","5,576.0","4,296.0","2,517.0","2,477.0","307.0","1,218.0","2,871.0","3,244.0","1,003.0","-477.0","1,769.0","3,474.0","3,098.0","8,023.0","6,237.0","-1,312.0","9,865.0","2,080.0","173.0","5,750.0","2,567.0","-2,872.0","4,255.0","2,483.0","3,430.0","1,217.0","4,172.0","6,341.0","2,728.0","8,409.0","-1,546.0","4,664.0","1,075.0","2,559.0","-2,328.0","877.0","8,273.0","-5,347.0","2,810.0","-8,551.0","-4,811.0","6,046.0","9,415.0","10,492.0","-9,797.0","8,844.0","-11,108.0","-7,033.0","8,036.0","-5,640.0","1,452.0","7,689.0","7,410.0","147.0","7,575.0","4,236.0","7,853.0","4,324.0","4,480.0","-1,105.0","-403.0","7,032.0","2,919.0","5,545.0","853.0","4,192.0","7,414.0","5,238.0","2,285.0","-10,996.0","12,124.0","-14,123.0","1,681.0","4,573.0","-6,511.0","-210.0","2,551.0","7,972.0","3,927.0","-7,378.0","9,471.0","1,772.0","5,434.0","5,172.0","11,716.0","-627.0","7,921.0","4,732.0","4,684.0","7,196.0","6,130.0","3,841.0","11,857.0","394.0","-646.0","-1,112.0","6,666.0","9,697.0","5,800.0","18,384.0","-6,765.0","-1,279.0","-3,028.0","4,876.0","3,605.0","3,942.0","4,238.0","10,402.0","2,215.0","6,876.0","5,244.0","1,708.0","6,892.0","6,586.0","8,799.0","515.0","989.0","14,783.0","3,733.0","5,118.0","3,909.0","-1,773.0","-603.0","293.0","6,900.0","12,741.0","3,620.0","3,996.0","6,162.0","-9,629.0","-1,220.0","2,908.0","-15,999.0","10,705.0","4,893.0","7,582.0","10,953.0","13,396.0"
"29","10","      Merchant wholesalers","A151RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,542.0","6,292.0","5,071.0","8,085.0","4,476.0","1,344.0","-496.0","-821.0","2,116.0","-1,015.0","1,968.0","248.0","1,584.0","3,511.0","-1,421.0","2,184.0","1,453.0","5,289.0","7,443.0","4,626.0","3,251.0","7,097.0","3,295.0","3,549.0","9,670.0","6,187.0","4,801.0","-140.0","10,940.0","6,209.0","6,952.0","15,734.0","6,822.0","-1,830.0","12,378.0","6,448.0","1,276.0","7,595.0","3,526.0","-1,595.0","8,181.0","8,786.0","6,949.0","2,809.0","9,355.0","5,296.0","9,444.0","9,936.0","5.0","9,828.0","7,563.0","11,707.0","-653.0","8,948.0","10,726.0","3,969.0","7,189.0","-3,726.0","-1,297.0","8,202.0","16,393.0","15,464.0","-3,760.0","16,274.0","-14,445.0","-11,295.0","1,832.0","-4,864.0","3,144.0","16,473.0","11,542.0","2,522.0","11,089.0","9,627.0","17,484.0","14,421.0","25,834.0","13,858.0","3,203.0","17,345.0","18,438.0","4,870.0","8,126.0","1,850.0","5,757.0","9,236.0","10,220.0","3,298.0","10,818.0","-6,614.0","2,780.0","8,983.0","-6,781.0","12,505.0","-5,830.0","-8,017.0","-6,925.0","-14,980.0","9,991.0","10,025.0","14,312.0","9,432.0","26,216.0","8,148.0","10,141.0","6,936.0","7,177.0","6,152.0","10,455.0","8,648.0","21,015.0","-6,866.0","3,074.0","9,916.0","-2,655.0","23,319.0","18,559.0","11,669.0","9,565.0","-7,203.0","-4,289.0","13,422.0","-35.0","1,754.0","4,486.0","14,029.0","10,727.0","1,792.0","8,032.0","-10,488.0","3,114.0","16,670.0","4,109.0","9,783.0","2,259.0","19,723.0","4,886.0","5,260.0","10,163.0","4,262.0","-3,296.0","18,738.0","16,687.0","24,502.0","17,160.0","10,856.0","10,864.0","2,623.0","-230.0","6,159.0","-8,274.0","10,105.0","22,937.0","34,031.0","17,610.0","27,461.0"
"30","11","        Durable goods","C626RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,495.0","4,211.0","-126.0","4,671.0","6,234.0","-26.0","100.0","-1,069.0","-1,055.0","-1,757.0","2,436.0","2,028.0","1,150.0","1,880.0","1,411.0","1,870.0","599.0","3,230.0","2,455.0","1,085.0","991.0","4,727.0","3,264.0","2,659.0","6,561.0","2,683.0","3,811.0","707.0","9,491.0","3,920.0","3,845.0","8,637.0","2,282.0","248.0","3,086.0","5,280.0","818.0","3,736.0","1,724.0","1,470.0","4,578.0","6,856.0","4,145.0","1,669.0","5,243.0","872.0","6,769.0","3,249.0","2,284.0","5,356.0","6,070.0","8,810.0","631.0","7,551.0","3,946.0","7,716.0","4,223.0","4,547.0","2,254.0","4,691.0","7,170.0","7,756.0","6,275.0","9,803.0","-1,481.0","-8,230.0","-5,271.0","2,012.0","2,131.0","10,414.0","5,987.0","-1,941.0","6,878.0","6,465.0","9,327.0","9,743.0","16,801.0","10,229.0","3,954.0","11,589.0","9,319.0","1,551.0","8,481.0","985.0","4,506.0","7,290.0","-183.0","8,477.0","5,440.0","5,726.0","-2,174.0","4,592.0","927.0","4,804.0","-5,752.0","-12,341.0","-12,577.0","-9,401.0","5,383.0","7,387.0","9,966.0","6,792.0","15,757.0","6,541.0","2,265.0","1,637.0","56.0","1,381.0","4,078.0","6,703.0","8,970.0","-5,202.0","2,237.0","8,013.0","-7,342.0","14,847.0","12,957.0","-3,087.0","13,692.0","-5,207.0","-1,080.0","10,492.0","-2,444.0","-3,262.0","2,851.0","4,700.0","8,000.0","-3,656.0","3,996.0","-12,205.0","-3,019.0","11,333.0","-3,144.0","8,920.0","2,740.0","6,763.0","1,952.0","617.0","5,855.0","4,521.0","-2,304.0","16,584.0","10,154.0","13,531.0","13,629.0","8,186.0","5,244.0","10,376.0","1,752.0","2,657.0","5,209.0","861.0","15,571.0","25,033.0","8,534.0","14,817.0"
"31","12","        Nondurable goods","C627RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17.0","2,006.0","5,191.0","3,325.0","-1,871.0","1,374.0","-583.0","267.0","3,142.0","747.0","-489.0","-1,769.0","421.0","1,593.0","-2,779.0","303.0","838.0","2,012.0","4,874.0","3,459.0","2,221.0","2,313.0","3.0","862.0","3,012.0","3,444.0","945.0","-843.0","1,354.0","2,224.0","3,034.0","6,941.0","4,502.0","-2,073.0","9,275.0","1,059.0","453.0","3,830.0","1,798.0","-3,208.0","3,542.0","1,711.0","2,731.0","1,110.0","4,047.0","4,573.0","2,484.0","6,794.0","-2,448.0","4,406.0","1,276.0","2,582.0","-1,385.0","1,081.0","6,904.0","-4,168.0","3,006.0","-8,004.0","-3,133.0","3,445.0","8,566.0","7,318.0","-8,874.0","6,313.0","-12,278.0","-3,032.0","6,713.0","-6,548.0","984.0","5,904.0","5,400.0","4,396.0","4,113.0","3,077.0","8,085.0","4,515.0","8,797.0","3,452.0","-877.0","5,573.0","9,079.0","3,311.0","-522.0","826.0","1,181.0","1,849.0","10,241.0","-5,108.0","5,211.0","-12,195.0","4,882.0","4,291.0","-7,978.0","7,731.0","67.0","5,005.0","6,524.0","-5,493.0","4,602.0","2,457.0","4,149.0","2,477.0","10,368.0","1,325.0","8,515.0","5,756.0","7,991.0","5,262.0","6,863.0","1,456.0","13,217.0","-1,329.0","726.0","1,272.0","6,472.0","8,228.0","5,003.0","17,608.0","-6,236.0","-1,803.0","-3,594.0","2,319.0","3,021.0","6,123.0","1,592.0","10,270.0","2,340.0","6,605.0","4,206.0","3,240.0","7,367.0","4,966.0","8,663.0","105.0","-828.0","14,247.0","3,184.0","5,319.0","4,363.0","-785.0","-895.0","739.0","6,495.0","11,279.0","2,670.0","2,259.0","5,876.0","-9,511.0","-2,360.0","3,650.0","-15,351.0","10,207.0","7,026.0","8,120.0","9,486.0","12,979.0"
"32","13","      Nonmerchant wholesalers","A152RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","732.0","2,176.0","-187.0","1,809.0","1,624.0","1,759.0","289.0","-1,008.0","247.0","947.0","1,073.0","1,657.0","1,501.0","1,696.0","1,512.0","1,545.0","1,230.0","1,508.0","1,179.0","890.0","357.0","292.0","442.0","845.0","333.0","713.0","445.0","753.0","1,198.0","2,237.0","1,864.0","2,445.0","3,700.0","1,930.0","1,248.0","1,833.0","-44.0","2,311.0","1,159.0","768.0","2,021.0","1,730.0","1,445.0","794.0","-525.0","1,459.0","359.0","893.0","386.0","-754.0","-1,034.0","-564.0","-649.0","206.0","1,901.0","-168.0","622.0","2,297.0","146.0","1,954.0","948.0","1,288.0","1,425.0","5,712.0","3,602.0","-3,011.0","877.0","-59.0","251.0","3,250.0","4,088.0","-1,019.0","1,993.0","218.0","-1,771.0","-410.0","-3,007.0","-3,921.0","203.0","3,119.0","-2,361.0","3,309.0","1,079.0","2,312.0","5,350.0","3,683.0","-8,662.0","-6,089.0","7,369.0","-1,844.0","-557.0","1,815.0","1,681.0","-6,521.0","2,734.0","-59.0","-4,319.0","-1,542.0","4,387.0","-92.0","640.0","4,343.0","3,611.0","-363.0","-95.0","20.0","-4,137.0","-206.0","-672.0","1,280.0","-1,151.0","1,727.0","-1,650.0","-3,111.0","-581.0","2,736.0","1,397.0","479.0","275.0","3,323.0","699.0","3,193.0","2,373.0","-2,840.0","3,731.0","1,711.0","-1,341.0","-120.0","96.0","-2,943.0","1,636.0","798.0","-1,688.0","150.0","3,379.0","-2,595.0","-244.0","-674.0","35.0","1,317.0","2,382.0","-546.0","2,083.0","4,275.0","3,103.0","4,289.0","2,354.0","2,943.0","3,751.0","-1,179.0","910.0","-360.0","1,307.0","3,310.0","1,429.0","5,930.0"
"33","14","        Durable goods","C628RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","426.0","1,311.0","-602.0","914.0","1,155.0","1,052.0","105.0","-562.0","-283.0","71.0","744.0","958.0","1,140.0","855.0","747.0","643.0","824.0","1,182.0","427.0","106.0","71.0","106.0","141.0","424.0","355.0","706.0","316.0","351.0","664.0","902.0","1,447.0","1,196.0","1,730.0","987.0","611.0","740.0","166.0","535.0","404.0","301.0","1,124.0","826.0","690.0","549.0","-350.0","63.0","189.0","-156.0","-401.0","-548.0","-573.0","-300.0","89.0","324.0","753.0","497.0","732.0","1,759.0","1,233.0","-360.0","616.0","-1,220.0","1,398.0","2,788.0","1,452.0","625.0","-103.0","-977.0","-126.0","1,420.0","1,892.0","2,554.0","-898.0","-598.0","-1,085.0","-85.0","912.0","269.0","-214.0","1,490.0","2,711.0","1,055.0","-152.0","-667.0","-253.0","534.0","-1,872.0","-502.0","833.0","617.0","1,823.0","1,207.0","514.0","284.0","440.0","-2,478.0","-1,889.0","183.0","42.0","415.0","-440.0","1,642.0","1,930.0","1,069.0","232.0","645.0","-1,226.0","-1,539.0","-116.0","-556.0","6.0","220.0","-390.0","-868.0","-555.0","1,185.0","580.0","-46.0","517.0","2,183.0","145.0","775.0","1,471.0","-724.0","1,132.0","1,288.0","-979.0","-334.0","-678.0","-1,278.0","1,613.0","-505.0","-1,400.0","-168.0","1,415.0","-2,426.0","-559.0","-373.0","369.0","1,729.0","1,647.0","-105.0","1,393.0","2,402.0","1,790.0","2,157.0","1,711.0","2,350.0","2,138.0","-336.0","1,156.0","-630.0","906.0","1,867.0","619.0","4,112.0"
"34","15","        Nondurable goods","C629RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","283.0","774.0","703.0","916.0","283.0","629.0","211.0","-424.0","779.0","1,138.0","214.0","642.0","142.0","857.0","786.0","1,000.0","287.0","72.0","864.0","1,009.0","360.0","215.0","357.0","427.0","-143.0","-212.0","71.0","424.0","500.0","1,497.0","71.0","1,278.0","2,063.0","929.0","645.0","1,226.0","-363.0","2,282.0","899.0","533.0","763.0","915.0","764.0","77.0","-76.0","2,053.0","152.0","1,669.0","1,416.0","0.0","-370.0","-223.0","-1,178.0","-365.0","1,321.0","-1,278.0","-514.0","-23.0","-2,059.0","3,423.0","235.0","3,804.0","-428.0","3,012.0","2,420.0","-5,100.0","1,351.0","1,552.0","569.0","2,008.0","2,341.0","-5,740.0","4,223.0","1,307.0","-546.0","-399.0","-5,637.0","-5,744.0","630.0","1,692.0","-7,391.0","2,849.0","1,763.0","3,852.0","6,409.0","3,416.0","-7,526.0","-6,228.0","6,986.0","-2,681.0","-2,625.0","524.0","1,292.0","-8,220.0","2,675.0","3,341.0","-2,634.0","-2,228.0","5,494.0","-759.0","1,513.0","3,074.0","1,681.0","-2,168.0","-504.0","-1,031.0","-3,516.0","2,263.0","-761.0","2,921.0","-1,822.0","2,139.0","-1,695.0","-2,889.0","210.0","1,735.0","935.0","792.0","-588.0","683.0","731.0","3,111.0","683.0","-2,703.0","3,200.0","85.0","-146.0","383.0","1,273.0","-1,833.0","-566.0","1,990.0","123.0","503.0","2,197.0","622.0","643.0","-268.0","-590.0","-1,244.0","377.0","-579.0","439.0","1,710.0","1,159.0","2,157.0","282.0","0.0","1,482.0","-1,010.0","-664.0","539.0","272.0","1,353.0","887.0","1,206.0"
"35","16","  Retail trade","A153RX1","-1,373.0","1,731.0","-3,236.0","9,695.0","10,312.0","1,182.0","2,199.0","4,367.0","-4,075.0","-1,884.0","8,189.0","-6,929.0","2,029.0","5,616.0","9,461.0","12,679.0","10,008.0","1,915.0","-7,278.0","-3,569.0","-5,684.0","-4,708.0","3,999.0","5,811.0","1,881.0","4,690.0","1,776.0","-2,605.0","467.0","590.0","1,538.0","-2,184.0","8,841.0","5,548.0","3,980.0","7,123.0","1,494.0","407.0","-1,289.0","367.0","523.0","4,076.0","3,688.0","1,993.0","-4,478.0","-2,803.0","-212.0","2,500.0","5,212.0","8,471.0","974.0","-981.0","16,351.0","745.0","2,358.0","-1,290.0","-9,972.0","569.0","2,454.0","1,629.0","5,386.0","2,695.0","5,281.0","5,871.0","3,651.0","85.0","4,390.0","7,819.0","6,245.0","7,814.0","6,862.0","-4,232.0","15,379.0","6,686.0","3,383.0","7,265.0","8,559.0","13,075.0","-816.0","8,329.0","1,615.0","-3,244.0","-3,788.0","5,304.0","8,575.0","8,935.0","-618.0","16,131.0","4,833.0","4,720.0","12,619.0","6,987.0","-3,202.0","6,639.0","5,363.0","-8,510.0","25,420.0","12,696.0","23,249.0","-446.0","6,938.0","10,353.0","7,350.0","14,894.0","12,351.0","15,948.0","106.0","15,834.0","-3,974.0","-2,504.0","-7,435.0","5,100.0","-24,053.0","-7,432.0","5,864.0","-3,778.0","20,559.0","10,387.0","7,414.0","4,463.0","8,187.0","7,619.0","10,033.0","8,589.0","16,564.0","9,274.0","3,131.0","13,223.0","821.0","14,690.0","-11,166.0","-4,797.0","-7,827.0","-4,513.0","-3,322.0","-3,518.0","3,273.0","14,184.0","12,033.0","6,852.0","-17,527.0","1,362.0","12,913.0","-12,517.0","7,849.0","17,329.0","13,735.0","16,164.0","37,891.0","14,254.0","2,846.0","34,219.0","5,392.0","11,734.0","14,165.0","31,970.0","27,211.0","2,401.0","-14,022.0","-1,526.0","41,254.0","20,255.0","-4,311.0","29,954.0","-8,657.0","11,284.0","11,909.0","16,871.0","31,273.0","2,584.0","-824.0","26,517.0","-15,438.0","14,835.0","1,215.0","-7,300.0","-22,762.0","4,856.0","13,050.0","7,090.0","-4,511.0","10,351.0","2,976.0","10,192.0","39,720.0","8,391.0","2,913.0","12,373.0","16,315.0","30,633.0","15,559.0","21,828.0","23,015.0","18,299.0","5,287.0","3,473.0","-15,013.0","16,109.0","23,732.0","5,631.0","3,286.0","21,030.0","15,906.0","11,322.0"
"36","17","    Durable goods","C630RX1","6,287.0","1,595.0","1,860.0","1,655.0","7,373.0","847.0","381.0","1,929.0","-2,100.0","-3,443.0","9,062.0","-7,484.0","-2,780.0","3,836.0","3,905.0","13,313.0","3,289.0","3,567.0","-1,014.0","-2,891.0","-3,045.0","-3,101.0","402.0","3,627.0","2,771.0","2,288.0","2,865.0","-3,113.0","-1,475.0","346.0","111.0","-2,207.0","4,999.0","4,717.0","928.0","3,704.0","1,125.0","-3,049.0","-1,758.0","-381.0","-265.0","3,156.0","3,498.0","2,151.0","-4,131.0","-3,601.0","-1,753.0","877.0","3,130.0","4,875.0","-996.0","-2,995.0","10,293.0","1,601.0","704.0","-616.0","-8,423.0","-1,108.0","-1,095.0","-586.0","1,019.0","307.0","4,023.0","2,467.0","569.0","-966.0","2,414.0","6,116.0","4,430.0","2,949.0","4,019.0","-5,615.0","10,763.0","4,621.0","3,125.0","2,027.0","4,549.0","8,576.0","-2,131.0","3,869.0","-3,659.0","-4,630.0","-2,854.0","2,921.0","5,030.0","8,245.0","-3,066.0","13,219.0","1,861.0","-384.0","8,374.0","4,488.0","-3,196.0","2,651.0","2,282.0","-12,632.0","17,677.0","10,374.0","17,557.0","-6,432.0","3,423.0","3,953.0","3,332.0","11,024.0","7,777.0","13,092.0","4,891.0","5,845.0","347.0","-4,068.0","-4,865.0","12,260.0","-17,454.0","1,510.0","7,941.0","-4,722.0","7,875.0","5,734.0","8,819.0","4,197.0","6,473.0","4,390.0","7,774.0","6,053.0","9,533.0","964.0","-42.0","11,992.0","5,504.0","11,409.0","-11,039.0","-7,272.0","-9,860.0","-10,849.0","-7,691.0","-2,114.0","-2,698.0","11,021.0","1,883.0","1,152.0","-12,597.0","-524.0","12,252.0","-12,937.0","5,203.0","7,963.0","6,896.0","9,296.0","18,008.0","3,587.0","-3,249.0","23,798.0","4,016.0","7,501.0","4,347.0","24,592.0","18,507.0","2,421.0","-18,320.0","-2,233.0","32,995.0","12,589.0","-6,729.0","22,353.0","-14,178.0","10,324.0","8,448.0","16,090.0","21,770.0","-7,453.0","-6,671.0","19,915.0","-15,198.0","11,454.0","3,988.0","-5,173.0","-24,994.0","2,016.0","8,438.0","-4,485.0","-2,314.0","5,980.0","-2,625.0","3,835.0","23,885.0","5,849.0","-2,702.0","8,760.0","14,440.0","12,399.0","10,940.0","14,393.0","16,132.0","11,505.0","2,978.0","4,542.0","-11,334.0","14,279.0","15,610.0","255.0","1,062.0","11,006.0","10,419.0","9,786.0"
