"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"35","17","    Government social benefits to persons","A063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,428.0","28,089.0","28,843.0","30,341.0","31,317.0","33,913.0","37,504.0","45,752.0","53,306.0","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,280.0","189,122.0","203,175.0","227,087.0","270,841.0","307,194.0","342,446.0","369,945.0","380,405.0","402,638.0","428,018.0","447,384.0","475,863.0","519,431.0","572,714.0","648,231.0","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,578.0","1,141,337.0","1,247,949.0","1,316,047.0","1,398,575.0","1,482,742.0","1,583,630.0","1,687,812.0","1,843,234.0","2,072,022.0"
"36","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1",".....",".....",".....",".....",".....",".....",".....",".....","1.0","10.0","14.0","35.0","88.0","130.0","165.0","209.0","273.0","378.0","463.0","552.0","664.0","954.0","1,872.0","2,177.0","2,979.0","3,633.0","4,915.0","5,652.0","7,321.0","8,478.0","10,175.0","11,130.0","12,614.0","14,298.0","15,245.0","16,018.0","18,067.0","20,794.0","25,821.0","30,488.0","33,077.0","38,634.0","44,666.0","49,784.0","60,909.0","70,333.0","81,528.0","93,296.0","105,340.0","116,923.0","132,517.0","154,787.0","182,143.0","204,635.0","222,223.0","237,775.0","252,995.0","268,900.0","282,580.0","300,205.0","325,555.0","351,773.0","381,691.0","414,372.0","444,720.0","476,584.0","508,895.0","536,873.0","563,509.0","574,740.0","588,600.0","620,510.0","667,664.0","706,098.0","740,393.0","790,171.0","844,652.0","943,289.0","1,003,745.0","1,070,287.0","1,156,692.0"
"37","19","      Government unemployment insurance benefits","B223RC1",".....",".....",".....",".....",".....",".....",".....",".....","2.0","393.0","435.0","534.0","358.0","350.0","81.0","63.0","448.0","1,133.0","829.0","850.0","1,865.0","1,457.0","884.0","1,068.0","1,046.0","2,221.0","1,516.0","1,520.0","1,899.0","4,146.0","2,754.0","2,996.0","4,295.0","3,104.0","2,971.0","2,688.0","2,299.0","1,875.0","2,191.0","2,139.0","2,241.0","3,985.0","5,811.0","5,669.0","4,370.0","6,774.0","17,619.0","15,784.0","12,661.0","9,141.0","9,406.0","15,746.0","15,574.0","25,148.0","26,225.0","15,851.0","15,725.0","16,325.0","14,495.0","13,197.0","14,298.0","18,018.0","26,601.0","38,900.0","34,117.0","23,544.0","21,414.0","21,995.0","19,852.0","19,482.0","20,308.0","20,560.0","31,717.0","53,199.0","52,810.0","35,994.0","31,328.0","29,918.0","32,333.0","50,590.0","121,983.0"
"38","20","      Veterans benefits","B224RC1","558.0","599.0","1,576.0","782.0","555.0","444.0","471.0","1,881.0","584.0","524.0","541.0","546.0","516.0","506.0","521.0","957.0","2,975.0","6,971.0","6,958.0","5,935.0","5,282.0","7,707.0","4,582.0","4,329.0","4,112.0","4,160.0","4,448.0","4,379.0","4,523.0","4,666.0","4,591.0","4,571.0","4,959.0","4,651.0","4,840.0","4,720.0","4,915.0","4,860.0","5,593.0","5,920.0","6,698.0","7,658.0","8,753.0","9,738.0","10,442.0","11,828.0","14,471.0","14,367.0","13,817.0","13,873.0","14,439.0","15,011.0","16,093.0","16,369.0","16,631.0","16,415.0","16,687.0","16,731.0","16,593.0","16,866.0","17,326.0","17,831.0","18,317.0","19,337.0","20,038.0","20,101.0","20,863.0","21,704.0","22,557.0","23,477.0","24,340.0","25,185.0","26,779.0","29,825.0","32,196.0","34,476.0","36,816.0","39,325.0","42,061.0","45,594.0","51,973.0"
"39","21","      Family assistance \1\","B226RC1",".....",".....",".....",".....","72.0","80.0","115.0","218.0","397.0","509.0","566.0","630.0","718.0","778.0","818.0","850.0","900.0","1,057.0","295.0","364.0","475.0","551.0","552.0","539.0","545.0","573.0","613.0","633.0","714.0","836.0","934.0","991.0","1,146.0","1,288.0","1,356.0","1,500.0","1,650.0","1,854.0","2,256.0","2,824.0","3,545.0","4,836.0","6,195.0","6,923.0","7,218.0","7,955.0","9,305.0","10,105.0","10,639.0","10,776.0","11,078.0","12,516.0","13,144.0","12,889.0","13,847.0","14,480.0","15,185.0","16,138.0","16,415.0","16,890.0","17,485.0","19,187.0","21,132.0","22,242.0","22,826.0","23,163.0","22,637.0","20,325.0","17,877.0","17,429.0","17,920.0","18,440.0","18,106.0","17,684.0","18,367.0","18,371.0","18,216.0","18,226.0","18,457.0","18,874.0","19,795.0"
"40","22","      Other","B227RC1","233.0","270.0","345.0","492.0","647.0","823.0","998.0","588.0","616.0","706.0","681.0","649.0","626.0","558.0","517.0","595.0","546.0","583.0","1,883.0","2,180.0","2,571.0","2,748.0","2,648.0","2,881.0","2,992.0","3,160.0","3,262.0","3,408.0","3,675.0","4,100.0","4,463.0","4,740.0","5,075.0","5,502.0","5,929.0","6,391.0","6,982.0","8,121.0","9,891.0","11,935.0","13,412.0","16,624.0","19,987.0","22,694.0","25,689.0","31,666.0","40,211.0","43,728.0","46,665.0","52,462.0","59,647.0","72,781.0","80,240.0","83,405.0","91,019.0","95,884.0","102,046.0","109,924.0","117,301.0","128,705.0","144,767.0","165,905.0","200,490.0","234,628.0","255,012.0","269,748.0","286,410.0","300,301.0","305,955.0","316,794.0","336,444.0","355,883.0","397,071.0","441,143.0","472,281.0","519,563.0","551,730.0","552,872.0","591,216.0","657,889.0","721,579.0"
"41","23","    Other current transfer receipts, from business (net)","B931RC1","398.0","352.0","427.0","471.0","417.0","405.0","392.0","394.0","375.0","257.0","281.0","287.0","350.0","342.0","387.0","433.0","500.0","428.0","392.0","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,194.0","25,701.0","16,942.0","25,836.0","21,373.0","30,205.0","32,630.0","32,730.0"
"42","24","  Less: Contributions for government social insurance, domestic","A061RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,634.0","6,923.0","7,106.0","8,074.0","9,091.0","9,987.0","11,413.0","11,384.0","13,834.0","16,444.0","17,005.0","19,117.0","21,669.0","22,387.0","23,416.0","31,336.0","34,867.0","38,695.0","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,453.0","778,917.0","827,308.0","872,717.0","921,829.0","959,338.0","990,599.0","965,913.0"
"43","25","Less: Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0","1,490,935.0","1,432,409.0","1,101,744.0"
"44","26","Equals: Disposable personal income","A067RC1","83,209.0","74,569.0","64,235.0","49,123.0","45,986.0","52,757.0","59,255.0","67,323.0","72,150.0","66,519.0","71,374.0","76,761.0","93,738.0","118,519.0","135,381.0","148,295.0","152,201.0","161,420.0","171,082.0","190,480.0","190,240.0","209,943.0","230,843.0","243,211.0","258,416.0","264,136.0","283,139.0","302,875.0","319,657.0","330,371.0","350,052.0","365,187.0","381,559.0","404,858.0","424,951.0","462,253.0","497,835.0","537,402.0","575,111.0","624,700.0","673,821.0","735,509.0","801,392.0","868,998.0","978,138.0","1,071,696.0","1,187,254.0","1,302,347.0","1,434,984.0","1,607,330.0","1,790,861.0","2,002,661.0","2,237,111.0","2,412,707.0","2,599,844.0","2,891,456.0","3,079,348.0","3,258,809.0","3,435,308.0","3,726,305.0","3,991,377.0","4,254,015.0","4,444,876.0","4,736,731.0","4,921,615.0","5,184,312.0","5,457,013.0","5,759,623.0","6,074,591.0","6,498,949.0","6,803,307.0","7,327,174.0","7,648,460.0","8,009,679.0","8,377,778.0","8,889,417.0","9,277,293.0","9,915,675.0","10,403,140.0","10,806,380.0","10,917,293.0"
"45","27","Less: Personal outlays","A068RC1","79,598.0","71,621.0","61,844.0","49,651.0","46,762.0","52,262.0","56,746.0","63,127.0","67,877.0","65,248.0","68,211.0","72,413.0","82,307.0","89,965.0","100,806.0","109,677.0","121,163.0","145,890.0","163,815.0","177,256.0","180,887.0","195,019.0","211,499.0","222,862.0","237,148.0","244,324.0","263,598.0","277,226.0","292,802.0","302,186.0","323,953.0","338,858.0","349,679.0","371,396.0","391,834.0","421,708.0","455,132.0","493,134.0","520,935.0","572,223.0","621,357.0","666,081.0","720,970.0","791,536.0","875,207.0","957,515.0","1,061,311.0","1,179,552.0","1,309,682.0","1,464,955.0","1,633,410.0","1,806,352.0","2,000,371.0","2,148,794.0","2,372,918.0","2,595,192.0","2,825,749.0","3,012,356.0","3,211,870.0","3,469,688.0","3,726,396.0","3,977,323.0","4,131,682.0","4,388,664.0","4,636,229.0","4,913,629.0","5,170,756.0","5,478,482.0","5,794,167.0","6,157,471.0","6,595,527.0","7,114,078.0","7,443,544.0","7,727,479.0","8,088,023.0","8,585,686.0","9,149,601.0","9,680,723.0","10,224,267.0","10,519,951.0","10,458,730.0"
"46","28","  Personal consumption expenditures","DPCERC1","77,388.0","70,139.0","60,673.0","48,712.0","45,943.0","51,458.0","55,927.0","62,182.0","66,834.0","64,264.0","67,205.0","71,286.0","81,068.0","89,003.0","99,902.0","108,652.0","119,984.0","144,310.0","161,990.0","175,027.0","178,497.0","192,229.0","208,532.0","219,526.0","233,077.0","240,000.0","258,764.0","271,671.0","286,863.0","296,186.0","317,704.0","331,795.0","342,185.0","363,336.0","382,713.0","411,454.0","443,811.0","480,893.0","507,783.0","558,001.0","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,013.0","8,285,080.0","8,819,002.0","9,322,662.0","9,826,438.0","10,129,919.0","10,089,069.0"
"47","29","  Personal interest payments \2\","B069RC1","1,532.0","875.0","664.0","524.0","464.0","482.0","499.0","610.0","706.0","667.0","704.0","799.0","904.0","659.0","439.0","420.0","437.0","672.0","943.0","1,275.0","1,566.0","2,038.0","2,229.0","2,555.0","3,187.0","3,410.0","3,983.0","4,563.0","4,867.0","4,991.0","5,457.0","6,242.0","6,517.0","6,963.0","7,935.0","8,941.0","9,945.0","10,679.0","11,147.0","12,184.0","13,990.0","15,213.0","16,551.0","18,140.0","19,805.0","21,152.0","23,692.0","23,904.0","27,018.0","31,903.0","36,201.0","43,622.0","49,336.0","59,495.0","69,214.0","77,042.0","89,389.0","94,507.0","91,688.0","93,996.0","103,861.0","111,298.0","114,956.0","111,286.0","106,996.0","113,001.0","130,573.0","147,308.0","159,679.0","169,454.0","176,504.0","200,308.0","203,735.0","191,274.0","182,669.0","190,289.0","210,834.0","230,082.0","256,821.0","237,699.0","213,925.0"
"48","30","  Personal current transfer payments","W211RC1","678.0","607.0","507.0","415.0","355.0","322.0","320.0","335.0","337.0","317.0","302.0","328.0","335.0","303.0","465.0","605.0","742.0","908.0","882.0","954.0","824.0","752.0","738.0","781.0","884.0","914.0","851.0","992.0","1,072.0","1,009.0","792.0","821.0","977.0","1,097.0","1,186.0","1,313.0","1,376.0","1,562.0","2,005.0","2,038.0","2,243.0","2,567.0","2,806.0","3,166.0","3,389.0","3,431.0","3,831.0","4,394.0","4,841.0","5,431.0","6,042.0","6,904.0","11,529.0","13,804.0","15,128.0","17,067.0","18,752.0","21,103.0","23,222.0","25,636.0","28,045.0","30,572.0","36,653.0","40,487.0","45,639.0","49,822.0","52,903.0","57,566.0","63,862.0","69,529.0","76,239.0","83,399.0","91,002.0","97,014.0","101,341.0","110,317.0","119,765.0","127,979.0","141,008.0","152,333.0","155,736.0"
"49","31","    To government","W062RC1","335.0","301.0","228.0","198.0","164.0","160.0","158.0","159.0","162.0","164.0","151.0","150.0","156.0","180.0","216.0","248.0","269.0","247.0","219.0","276.0","318.0","314.0","349.0","369.0","410.0","437.0","430.0","488.0","567.0","574.0","320.0","342.0","476.0","543.0","530.0","602.0","578.0","778.0","982.0","1,039.0","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,151.0","66,717.0","71,411.0","76,382.0","82,300.0","87,876.0","92,215.0"
"50","32","    To the rest of the world (net)","B070RC1","343.0","306.0","279.0","217.0","191.0","162.0","162.0","176.0","175.0","153.0","151.0","178.0","179.0","123.0","249.0","357.0","473.0","661.0","663.0","678.0","506.0","438.0","389.0","412.0","474.0","477.0","421.0","504.0","505.0","435.0","472.0","479.0","501.0","554.0","656.0","711.0","798.0","784.0","1,023.0","999.0","1,115.0","1,286.0","1,351.0","1,380.0","1,554.0","1,363.0","1,338.0","1,376.0","1,375.0","1,575.0","1,714.0","1,952.0","5,578.0","6,738.0","6,998.0","7,899.0","8,327.0","9,144.0","10,028.0","10,790.0","11,552.0","12,220.0","14,082.0","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,634.0","41,190.0","43,600.0","48,354.0","51,597.0","58,708.0","64,457.0","63,521.0"
"51","33","Equals: Personal saving","A071RC1","3,611.0","2,948.0","2,391.0","-528.0","-776.0","495.0","2,509.0","4,196.0","4,273.0","1,271.0","3,163.0","4,348.0","11,431.0","28,554.0","34,575.0","38,618.0","31,038.0","15,530.0","7,267.0","13,224.0","9,353.0","14,924.0","19,344.0","20,349.0","21,268.0","19,812.0","19,541.0","25,649.0","26,855.0","28,185.0","26,099.0","26,329.0","31,880.0","33,462.0","33,117.0","40,545.0","42,703.0","44,268.0","54,176.0","52,477.0","52,464.0","69,428.0","80,422.0","77,462.0","102,931.0","114,181.0","125,943.0","122,795.0","125,302.0","142,375.0","157,451.0","196,309.0","236,740.0","263,913.0","226,926.0","296,264.0","253,599.0","246,453.0","223,438.0","256,617.0","264,981.0","276,692.0","313,194.0","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,755.0","303,731.0","127,692.0","234,952.0","178,873.0","286,429.0","458,563.0"
"52","34","  Personal saving as a percentage of disposable personal income","A072RC1","4.3","4.0","3.7","-1.1","-1.7","0.9","4.2","6.2","5.9","1.9","4.4","5.7","12.2","24.1","25.5","26.0","20.4","9.6","4.2","6.9","4.9","7.1","8.4","8.4","8.2","7.5","6.9","8.5","8.4","8.5","7.5","7.2","8.4","8.3","7.8","8.8","8.6","8.2","9.4","8.4","7.8","9.4","10.0","8.9","10.5","10.7","10.6","9.4","8.7","8.9","8.8","9.8","10.6","10.9","8.7","10.2","8.2","7.6","6.5","6.9","6.6","6.5","7.0","7.3","5.8","5.2","5.2","4.9","4.6","5.3","3.1","2.9","2.7","3.5","3.5","3.4","1.4","2.4","1.7","2.7","4.2"
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","35","  Personal income excluding current transfer receipts, millions of chained (2005) dollars \3\","W875RX1","797,154.0","744,574.0","699,944.0","607,092.0","590,097.0","649,625.0","712,841.0","793,522.0","842,156.0","788,645.0","848,938.0","906,726.0","1,052,423.0","1,210,092.0","1,373,373.0","1,413,514.0","1,385,420.0","1,311,383.0","1,275,427.0","1,337,041.0","1,322,531.0","1,434,466.0","1,540,640.0","1,612,874.0","1,687,168.0","1,677,946.0","1,792,491.0","1,887,882.0","1,925,243.0","1,916,734.0","2,012,146.0","2,073,219.0","2,125,494.0","2,240,918.0","2,325,659.0","2,463,838.0","2,623,231.0","2,779,128.0","2,883,369.0","3,032,065.0","3,168,103.0","3,228,860.0","3,304,233.0","3,507,460.0","3,712,022.0","3,670,035.0","3,621,698.0","3,803,952.0","3,979,886.0","4,207,626.0","4,333,052.0","4,337,198.0","4,462,835.0","4,505,183.0","4,599,456.0","4,949,937.0","5,132,137.0","5,292,613.0","5,436,088.0","5,648,408.0","5,819,158.0","5,893,268.0","5,839,922.0","5,979,541.0","6,074,770.0","6,289,692.0","6,486,957.0","6,761,031.0","7,086,534.0","7,595,043.0","7,864,799.0","8,327,769.0","8,411,144.0","8,387,200.0","8,493,138.0","8,776,412.0","8,977,304.0","9,404,818.0","9,645,370.0","9,504,568.0","9,075,110.0"
"55",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","    Total, millions of chained (2005) dollars \3\","A067RX1","792,014.0","741,095.0","714,914.0","619,927.0","601,596.0","660,288.0","723,946.0","815,147.0","842,775.0","795,111.0","861,381.0","918,633.0","1,056,322.0","1,187,803.0","1,242,598.0","1,287,171.0","1,270,247.0","1,259,421.0","1,211,886.0","1,277,018.0","1,285,232.0","1,401,489.0","1,442,859.0","1,489,625.0","1,561,898.0","1,582,980.0","1,689,979.0","1,772,235.0","1,815,305.0","1,833,052.0","1,913,480.0","1,963,899.0","2,030,757.0","2,129,599.0","2,209,489.0","2,368,706.0","2,514,699.0","2,647,300.0","2,763,495.0","2,889,187.0","2,981,377.0","3,108,792.0","3,249,106.0","3,406,633.0","3,638,229.0","3,610,227.0","3,691,251.0","3,838,335.0","3,970,735.0","4,156,530.0","4,253,827.0","4,295,620.0","4,410,012.0","4,506,532.0","4,655,714.0","4,989,140.0","5,144,766.0","5,315,038.0","5,402,362.0","5,635,585.0","5,785,107.0","5,896,316.0","5,945,925.0","6,155,276.0","6,258,173.0","6,458,995.0","6,651,568.0","6,870,927.0","7,113,521.0","7,538,772.0","7,766,687.0","8,161,527.0","8,360,069.0","8,637,076.0","8,853,943.0","9,155,098.0","9,277,293.0","9,650,668.0","9,860,609.0","9,911,291.0","9,993,220.0"
"57",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","      Current dollars","A229RC0","683","605","517","393","366","417","465","525","559","512","545","581","703","879","990","1,072","1,088","1,142","1,187","1,299","1,275","1,384","1,496","1,550","1,620","1,627","1,713","1,800","1,866","1,897","1,976","2,020","2,077","2,170","2,245","2,408","2,562","2,733","2,894","3,112","3,324","3,586","3,859","4,140","4,615","5,010","5,497","5,972","6,514","7,220","7,956","8,794","9,726","10,390","11,095","12,232","12,911","13,540","14,146","15,206","16,134","17,004","17,532","18,436","18,909","19,678","20,470","21,355","22,255","23,534","24,356","25,944","26,805","27,799","28,805","30,287","31,318","33,157","34,445","35,450","35,505"
"59","38","      Chained (2005) dollars","A229RX0","6,498","6,016","5,759","4,961","4,786","5,220","5,684","6,359","6,535","6,118","6,574","6,953","7,918","8,808","9,087","9,301","9,078","8,907","8,409","8,709","8,615","9,240","9,352","9,491","9,788","9,748","10,225","10,535","10,599","10,526","10,803","10,865","11,052","11,413","11,672","12,342","12,939","13,465","13,904","14,392","14,706","15,158","15,644","16,228","17,166","16,878","17,091","17,600","18,025","18,670","18,897","18,863","19,173","19,406","19,868","21,105","21,571","22,083","22,246","22,997","23,385","23,568","23,453","23,958","24,044","24,517","24,951","25,475","26,061","27,299","27,805","28,899","29,299","29,976","30,442","31,193","31,318","32,271","32,648","32,514","32,500"
"60","39","  Population (midperiod, thousands)","B230RC0","121,878","123,188","124,149","124,949","125,690","126,485","127,362","128,181","128,961","129,969","131,028","132,122","133,402","134,860","136,739","138,397","139,928","141,389","144,126","146,631","149,188","151,684","154,287","156,954","159,565","162,391","165,275","168,221","171,274","174,141","177,130","180,760","183,742","186,590","189,300","191,927","194,347","196,599","198,752","200,745","202,736","205,089","207,692","209,924","211,939","213,898","215,981","218,086","220,289","222,629","225,106","227,726","230,008","232,218","234,333","236,394","238,506","240,683","242,843","245,061","247,387","250,181","253,530","256,922","260,282","263,455","266,588","269,714","272,958","276,154","279,328","282,418","285,335","288,133","290,845","293,502","296,229","299,052","302,025","304,831","307,483"
"61",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","40","    Disposable personal income, current dollars","A067RP1",".....","-10.4","-13.9","-23.5","-6.4","14.7","12.3","13.6","7.2","-7.8","7.3","7.5","22.1","26.4","14.2","9.5","2.6","6.1","6.0","11.3","-0.1","10.4","10.0","5.4","6.3","2.2","7.2","7.0","5.5","3.4","6.0","4.3","4.5","6.1","5.0","8.8","7.7","7.9","7.0","8.6","7.9","9.2","9.0","8.4","12.6","9.6","10.8","9.7","10.2","12.0","11.4","11.8","11.7","7.8","7.8","11.2","6.5","5.8","5.4","8.5","7.1","6.6","4.5","6.6","3.9","5.3","5.3","5.5","5.5","7.0","4.7","7.7","4.4","4.7","4.6","6.1","4.4","6.9","4.9","3.9","1.0"
"63","41","    Disposable personal income, chained (2005) dollars","A067RL1",".....","-6.4","-3.5","-13.3","-3.0","9.8","9.6","12.6","3.4","-5.7","8.3","6.6","15.0","12.4","4.6","3.6","-1.3","-0.9","-3.8","5.4","0.6","9.0","3.0","3.2","4.9","1.3","6.8","4.9","2.4","1.0","4.4","2.6","3.4","4.9","3.8","7.2","6.2","5.3","4.4","4.5","3.2","4.3","4.5","4.8","6.8","-0.8","2.2","4.0","3.4","4.7","2.3","1.0","2.7","2.2","3.3","7.2","3.1","3.3","1.6","4.3","2.7","1.9","0.8","3.5","1.7","3.2","3.0","3.3","3.5","6.0","3.0","5.1","2.4","3.3","2.5","3.4","1.3","4.0","2.2","0.5","0.8"
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Consists of aid to families with dependent children and, beginning with 1996, assistance programs operating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","under the Personal Responsibility and Work Opportunity Reconciliation Act of 1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
