"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"43","25","        Nonfarm","A1646C1","22,548.0","22,665.0","24,643.0","27,386.0","28,796.0","29,881.0","30,560.0","33,577.0","35,318.0","37,329.0","37,823.0","39,964.0","39,714.0","41,563.0","43,662.0","45,064.0","49,114.0","51,416.0","54,756.0","57,725.0","62,064.0","64,226.0","65,134.0","70,820.0","78,455.0","83,950.0","89,451.0","97,059.0","114,460.0","129,448.0","146,949.0","158,292.0","161,190.0","161,984.0","160,791.0","183,473.0","210,867.0","224,101.0","238,736.0","263,708.0","306,182.0","316,638.0","331,431.0","337,978.0","377,204.0","415,643.0","447,073.0","490,081.0","542,905.0","593,002.0","656,673.0","716,855.0","786,462.0","838,804.0","870,561.0","892,878.0","981,781.0","1,023,476.0","1,100,658.0","1,053,364.0","1,053,267.0"
"44","26","      Net interest","B1649C1","454.0","516.0","584.0","713.0","753.0","761.0","811.0","902.0","1,011.0","1,133.0","1,266.0","1,318.0","1,373.0","1,495.0","1,748.0","2,015.0","2,485.0","2,918.0","3,450.0","3,782.0","4,211.0","5,058.0","6,049.0","7,177.0","8,409.0","11,227.0","14,002.0","15,484.0","17,090.0","19,291.0","22,146.0","28,074.0","34,511.0","43,974.0","50,814.0","54,098.0","68,636.0","76,210.0","81,832.0","77,283.0","85,801.0","101,873.0","98,724.0","91,909.0","82,408.0","79,852.0","86,549.0","85,249.0","90,742.0","99,792.0","113,494.0","106,694.0","122,715.0","127,428.0","101,612.0","98,106.0","96,902.0","139,030.0","160,343.0","183,857.0","82,045.0"
"45","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,182.0","8,604.0","8,353.0","8,565.0","8,815.0","8,999.0","9,095.0","8,807.0","9,851.0","9,838.0","10,285.0","11,518.0","13,151.0","12,893.0","15,133.0","18,885.0","20,037.0","21,385.0","21,534.0","22,379.0","25,724.0","29,379.0","34,874.0","27,803.0","24,736.0","29,663.0","32,514.0","31,775.0","31,914.0","34,885.0","40,608.0","46,757.0","49,771.0","54,209.0","51,953.0","65,499.0","70,135.0","81,221.0","94,771.0","102,996.0","103,487.0","108,232.0","116,071.0","132,184.0","140,930.0","155,612.0","160,302.0","178,656.0","188,484.0","194,480.0"
"46","28","    Other private business","A1650C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,094.0","11,578.0","12,239.0","12,829.0","13,679.0","14,256.0","15,031.0","15,741.0","16,463.0","17,330.0","18,105.0","19,387.0","20,606.0","22,793.0","25,752.0","26,841.0","29,223.0","30,876.0","33,880.0","35,936.0","38,675.0","43,786.0","51,549.0","57,063.0","60,997.0","67,850.0","76,029.0","78,108.0","81,299.0","83,859.0","87,350.0","93,069.0","99,625.0","103,955.0","103,446.0","106,220.0","108,387.0","110,880.0","116,502.0","119,848.0","123,297.0","129,071.0","135,006.0","132,699.0","131,857.0","140,232.0","149,354.0","161,784.0","181,342.0","201,020.0"
"47","29","      Compensation of employees","A1651C1","786.0","821.0","951.0","1,056.0","1,087.0","1,155.0","1,186.0","1,251.0","1,313.0","1,345.0","1,368.0","1,429.0","1,492.0","1,660.0","1,823.0","1,949.0","2,037.0","2,133.0","2,290.0","2,606.0","2,769.0","3,022.0","3,213.0","3,449.0","3,752.0","4,117.0","4,374.0","4,718.0","5,125.0","5,695.0","6,243.0","6,918.0","7,610.0","8,236.0","8,667.0","9,274.0","10,056.0","10,710.0","11,157.0","11,633.0","11,849.0","12,585.0","13,109.0","13,283.0","13,751.0","14,194.0","14,624.0","15,096.0","15,795.0","17,082.0","19,848.0","21,661.0","23,751.0","25,008.0","27,963.0","29,696.0","32,213.0","33,999.0","36,664.0","39,468.0","41,796.0"
"48","30","        Wage and salary accruals","B1652C1","755.0","788.0","909.0","1,000.0","1,030.0","1,098.0","1,122.0","1,182.0","1,238.0","1,261.0","1,284.0","1,338.0","1,389.0","1,546.0","1,692.0","1,805.0","1,884.0","1,971.0","2,098.0","2,394.0","2,545.0","2,778.0","2,944.0","3,144.0","3,394.0","3,699.0","3,921.0","4,207.0","4,513.0","4,996.0","5,647.0","6,250.0","6,854.0","7,393.0","7,777.0","8,284.0","8,939.0","9,495.0","9,883.0","10,331.0","10,527.0","11,163.0","11,571.0","11,676.0","12,029.0","12,397.0","12,690.0","13,099.0","13,676.0","14,797.0","16,990.0","18,498.0","20,133.0","20,971.0","23,337.0","24,896.0","26,816.0","28,394.0","30,837.0","33,212.0","35,295.0"
"49","31","        Supplements to wages and salaries","B1653C1","31.0","33.0","42.0","56.0","57.0","57.0","64.0","69.0","75.0","84.0","84.0","91.0","103.0","114.0","131.0","144.0","153.0","162.0","192.0","212.0","224.0","244.0","269.0","305.0","358.0","418.0","453.0","511.0","612.0","699.0","596.0","668.0","756.0","842.0","890.0","990.0","1,116.0","1,216.0","1,274.0","1,302.0","1,323.0","1,422.0","1,538.0","1,607.0","1,721.0","1,798.0","1,934.0","1,998.0","2,119.0","2,284.0","2,858.0","3,163.0","3,618.0","4,037.0","4,626.0","4,800.0","5,397.0","5,605.0","5,826.0","6,256.0","6,500.0"
"50","32","      Proprietors' income with IVA and CCAdj","A1654C1","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","318.0","345.0","387.0","425.0","448.0","456.0","458.0","474.0","481.0","466.0","449.0","449.0","477.0","558.0","602.0","564.0","550.0","570.0","617.0","633.0","668.0","570.0","604.0","728.0","1,004.0","1,264.0","1,026.0","990.0","1,632.0","1,855.0","1,916.0","1,545.0","1,799.0","1,908.0","1,946.0","2,436.0","2,507.0","2,342.0","2,643.0","1,978.0","1,452.0","1,364.0","1,398.0","1,279.0","1,233.0","2,312.0","2,430.0","2,968.0","3,555.0","4,273.0"
"51","33","      Rental income of persons with CCAdj","W155RC1","4,557.0","4,448.0","4,809.0","5,115.0","5,233.0","5,324.0","5,422.0","5,379.0","5,450.0","5,410.0","5,634.0","5,485.0","5,487.0","5,553.0","5,602.0","5,848.0","5,826.0","6,021.0","6,076.0","5,994.0","6,082.0","6,023.0","6,234.0","6,270.0","7,329.0","8,656.0","8,486.0","8,659.0","8,704.0","9,497.0","10,147.0","11,399.0","14,333.0","20,115.0","24,221.0","25,808.0","28,516.0","32,540.0","29,002.0","27,409.0","25,750.0","25,342.0","29,221.0","34,394.0","42,145.0","47,557.0","52,074.0","56,108.0","58,412.0","61,293.0","60,718.0","60,537.0","60,731.0","64,576.0","58,774.0","55,013.0","55,040.0","56,773.0","59,351.0","69,310.0","81,115.0"
"52","34","      Net interest","B1657C1","687.0","801.0","931.0","1,057.0","1,185.0","1,323.0","1,479.0","1,636.0","1,778.0","2,020.0","2,225.0","2,399.0","2,604.0","2,845.0","3,059.0","3,352.0","3,696.0","4,023.0","4,343.0","4,579.0","4,937.0","5,321.0","5,914.0","6,569.0","7,327.0","8,261.0","9,369.0","10,873.0","11,802.0","13,085.0","14,352.0","15,975.0","18,077.0","20,186.0","22,097.0","23,770.0","26,387.0","30,014.0","33,827.0","36,078.0","38,569.0","41,617.0","43,269.0","44,133.0","40,139.0","35,222.0","32,938.0","32,278.0","31,452.0","31,256.0","31,210.0","32,234.0","34,064.0","34,564.0","35,371.0","35,574.0","38,475.0","42,158.0","46,943.0","52,229.0","57,324.0"
"53","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,463.0","1,650.0","1,794.0","1,920.0","2,082.0","2,241.0","2,396.0","2,558.0","2,803.0","3,076.0","3,290.0","3,577.0","3,841.0","3,827.0","4,116.0","4,048.0","4,423.0","4,675.0","4,986.0","4,561.0","3,715.0","3,196.0","2,408.0","1,350.0","1,141.0","1,627.0","1,739.0","3,132.0","4,547.0","5,836.0","5,890.0","5,925.0","6,016.0","6,012.0","4,527.0","4,148.0","2,398.0","2,879.0","4,228.0","6,094.0","7,413.0","9,161.0","9,460.0","9,312.0","10,341.0","12,192.0","13,994.0","15,858.0","16,780.0","16,512.0"
"54","36","    Government enterprises","W474RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,983.0","6,386.0","6,547.0","7,006.0","7,933.0","8,446.0","8,969.0","9,267.0","9,746.0","11,118.0","11,996.0","12,786.0","13,804.0","15,686.0","16,400.0","18,372.0","18,983.0","22,246.0","23,250.0","26,132.0","28,500.0","30,691.0","35,045.0","38,317.0","42,794.0","47,377.0","54,004.0","56,450.0","59,047.0","66,595.0","72,192.0","75,060.0","82,893.0","90,015.0","91,720.0","96,383.0","102,122.0","106,028.0","108,887.0","111,327.0","115,724.0","117,437.0","116,212.0","122,629.0","123,466.0","126,454.0","124,576.0","128,769.0","131,253.0","134,044.0"
"55","37","      Compensation of employees","A1658C1","2,267.0","2,512.0","2,640.0","2,945.0","3,432.0","3,451.0","3,498.0","3,752.0","3,934.0","4,170.0","4,629.0","5,008.0","5,459.0","5,713.0","6,110.0","6,580.0","7,097.0","7,623.0","8,275.0","8,833.0","9,948.0","10,976.0","12,818.0","14,044.0","15,209.0","16,767.0","19,301.0","22,224.0","24,048.0","25,937.0","28,333.0","31,382.0","35,784.0","40,621.0","42,797.0","45,974.0","49,288.0","53,441.0","55,571.0","58,890.0","64,022.0","67,263.0","73,493.0","77,220.0","81,783.0","83,039.0","86,783.0","88,992.0","91,674.0","94,783.0","98,033.0","101,628.0","108,293.0","112,165.0","116,284.0","116,496.0","125,211.0","128,067.0","132,984.0","137,805.0","140,988.0"
"56","38","        Wage and salary accruals","B1659C1","2,245.0","2,483.0","2,599.0","2,899.0","3,387.0","3,417.0","3,491.0","3,695.0","3,823.0","3,992.0","4,387.0","4,661.0","5,055.0","5,285.0","5,656.0","6,079.0","6,548.0","7,056.0","7,686.0","8,226.0","9,284.0","10,171.0","11,736.0","12,524.0","13,538.0","14,908.0","16,783.0","18,536.0","19,761.0","20,927.0","22,882.0","24,998.0","28,246.0","31,691.0","33,137.0","35,299.0","38,107.0","40,821.0","42,467.0","44,964.0","48,286.0","50,563.0","54,674.0","57,112.0","60,060.0","60,705.0","63,347.0","65,064.0","67,181.0","69,403.0","72,026.0","74,554.0","79,906.0","82,207.0","85,410.0","86,936.0","91,633.0","93,003.0","96,211.0","99,732.0","102,162.0"
"57","39","        Supplements to wages and salaries","B1660C1","22.0","29.0","41.0","46.0","45.0","34.0","7.0","57.0","111.0","178.0","242.0","347.0","404.0","428.0","454.0","501.0","549.0","567.0","589.0","607.0","664.0","805.0","1,082.0","1,520.0","1,671.0","1,859.0","2,518.0","3,688.0","4,287.0","5,010.0","5,451.0","6,384.0","7,538.0","8,930.0","9,660.0","10,675.0","11,181.0","12,620.0","13,104.0","13,926.0","15,736.0","16,700.0","18,819.0","20,108.0","21,723.0","22,334.0","23,436.0","23,928.0","24,493.0","25,380.0","26,007.0","27,074.0","28,387.0","29,958.0","30,874.0","29,560.0","33,578.0","35,064.0","36,773.0","38,073.0","38,826.0"
"58","40","      Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-6,552.0","-6,944.0"
"59","41","Households and institutions","W503RC1","11,701.0","12,812.0","14,298.0","15,941.0","17,820.0","20,024.0","21,933.0","24,192.0","26,246.0","28,556.0","31,215.0","34,010.0","37,590.0","40,131.0","43,566.0","46,445.0","49,396.0","52,877.0","57,010.0","61,433.0","66,181.0","72,810.0","79,077.0","87,276.0","94,813.0","102,825.0","111,875.0","122,791.0","133,366.0","144,817.0","161,320.0","179,845.0","206,628.0","235,489.0","263,587.0","290,030.0","318,777.0","345,308.0","373,072.0","408,679.0","450,171.0","488,974.0","533,382.0","571,089.0","612,164.0","646,862.0","688,482.0","733,399.0","772,806.0","818,006.0","870,622.0","932,523.0","994,660.0","1,057,850.0","1,112,521.0","1,146,715.0","1,201,626.0","1,261,335.0","1,334,746.0","1,405,788.0","1,516,039.0"
"60","42","  Households","W504RC1","8,290.0","9,048.0","10,214.0","11,465.0","12,959.0","14,668.0","16,129.0","17,852.0","19,352.0","20,975.0","22,834.0","24,809.0","27,103.0","28,965.0","31,264.0","33,081.0","34,825.0","36,825.0","38,961.0","41,280.0","43,371.0","46,500.0","49,691.0","54,416.0","58,539.0","62,527.0","67,053.0","72,834.0","78,975.0","85,373.0","94,984.0","105,444.0","121,524.0","138,987.0","155,255.0","169,524.0","185,522.0","202,423.0","216,750.0","233,105.0","254,210.0","274,352.0","296,957.0","314,859.0","333,964.0","352,440.0","380,444.0","405,589.0","428,570.0","454,264.0","481,588.0","518,373.0","554,945.0","591,855.0","611,019.0","616,464.0","642,593.0","682,973.0","725,600.0","765,887.0","841,873.0"
"61","43","    Compensation of employees","W151RC1","2,363.0","2,356.0","2,572.0","2,661.0","2,614.0","2,690.0","2,570.0","3,052.0","3,267.0","3,322.0","3,503.0","3,552.0","3,797.0","3,734.0","3,807.0","3,831.0","3,916.0","3,968.0","4,023.0","4,182.0","4,377.0","4,439.0","4,501.0","4,556.0","4,637.0","4,819.0","4,588.0","4,635.0","5,412.0","5,932.0","6,538.0","6,378.0","6,103.0","6,163.0","6,250.0","6,283.0","7,292.0","7,341.0","7,739.0","7,729.0","8,344.0","8,963.0","9,428.0","9,191.0","10,219.0","10,843.0","11,236.0","12,029.0","12,153.0","12,193.0","14,129.0","12,880.0","13,759.0","13,057.0","12,816.0","14,228.0","15,162.0","15,339.0","16,474.0","18,092.0","18,973.0"
"62","44","      Wage and salary accruals","B1661C1","2,361.0","2,353.0","2,569.0","2,648.0","2,601.0","2,677.0","2,551.0","3,028.0","3,242.0","3,297.0","3,477.0","3,525.0","3,762.0","3,698.0","3,768.0","3,786.0","3,869.0","3,921.0","3,964.0","4,122.0","4,318.0","4,376.0","4,440.0","4,492.0","4,572.0","4,746.0","4,513.0","4,555.0","5,326.0","5,845.0","6,434.0","6,271.0","5,999.0","6,036.0","6,135.0","6,166.0","7,147.0","7,192.0","7,586.0","7,572.0","8,170.0","8,778.0","9,223.0","8,971.0","9,956.0","10,533.0","10,915.0","11,693.0","11,814.0","11,856.0","13,782.0","12,547.0","13,419.0","12,761.0","12,523.0","13,909.0","14,827.0","15,000.0","16,118.0","17,711.0","18,579.0"
"63","45","      Supplements to wages and salaries","B1662C1","3.0","4.0","4.0","14.0","14.0","14.0","20.0","25.0","26.0","26.0","26.0","28.0","35.0","36.0","39.0","45.0","47.0","47.0","58.0","60.0","59.0","63.0","61.0","63.0","65.0","73.0","75.0","79.0","85.0","86.0","104.0","107.0","104.0","127.0","115.0","117.0","145.0","149.0","153.0","157.0","174.0","185.0","205.0","220.0","263.0","310.0","321.0","336.0","339.0","337.0","347.0","333.0","340.0","296.0","293.0","319.0","335.0","339.0","356.0","381.0","394.0"
"64","46","    Rental income of persons with CCAdj","B1156C1","3,238.0","3,639.0","4,264.0","4,922.0","5,917.0","7,029.0","7,959.0","8,394.0","8,617.0","9,059.0","9,599.0","10,537.0","11,469.0","12,174.0","13,001.0","13,481.0","13,605.0","13,926.0","14,443.0","14,910.0","14,542.0","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","71,146.0","123,913.0"
"65","47","    Net interest","A2015C1","1,262.0","1,419.0","1,620.0","1,909.0","2,206.0","2,491.0","2,886.0","3,293.0","3,904.0","4,573.0","5,238.0","5,887.0","6,568.0","7,246.0","8,141.0","8,830.0","9,752.0","10,664.0","11,468.0","12,154.0","13,122.0","14,515.0","15,944.0","18,181.0","20,978.0","24,021.0","27,512.0","32,055.0","36,082.0","42,616.0","50,308.0","60,191.0","71,539.0","83,270.0","99,280.0","112,734.0","125,568.0","142,241.0","156,564.0","165,931.0","176,170.0","190,150.0","205,045.0","211,933.0","213,628.0","204,712.0","204,917.0","221,901.0","231,330.0","246,223.0","257,675.0","276,056.0","303,248.0","324,928.0","341,164.0","348,211.0","371,936.0","423,854.0","491,151.0","541,775.0","557,921.0"
"66","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1","1,426.0","1,633.0","1,758.0","1,972.0","2,221.0","2,456.0","2,714.0","3,112.0","3,563.0","4,020.0","4,494.0","4,832.0","5,269.0","5,811.0","6,316.0","6,939.0","7,553.0","8,267.0","9,028.0","10,034.0","11,330.0","12,675.0","14,407.0","15,913.0","17,265.0","18,575.0","19,495.0","21,537.0","24,200.0","26,898.0","27,617.0","27,886.0","30,124.0","33,832.0","36,747.0","39,112.0","42,111.0","44,645.0","48,715.0","53,765.0","56,293.0","59,240.0","63,058.0","67,814.0","69,180.0","72,096.0","75,535.0","75,771.0","75,861.0","83,730.0","82,512.0","85,452.0","86,980.0","89,965.0","101,078.0","108,505.0","115,960.0","125,926.0","134,589.0","134,873.0","141,066.0"
"67","49","  Nonprofit institutions serving households","W505RC1","3,411.0","3,764.0","4,084.0","4,476.0","4,861.0","5,356.0","5,804.0","6,340.0","6,894.0","7,581.0","8,381.0","9,201.0","10,487.0","11,166.0","12,302.0","13,364.0","14,571.0","16,052.0","18,049.0","20,153.0","22,810.0","26,310.0","29,386.0","32,860.0","36,274.0","40,298.0","44,822.0","49,957.0","54,391.0","59,444.0","66,336.0","74,401.0","85,104.0","96,502.0","108,332.0","120,506.0","133,255.0","142,885.0","156,322.0","175,574.0","195,961.0","214,622.0","236,425.0","256,230.0","278,200.0","294,422.0","308,038.0","327,810.0","344,236.0","363,742.0","389,034.0","414,150.0","439,715.0","465,995.0","501,502.0","530,251.0","559,033.0","578,362.0","609,146.0","639,901.0","674,166.0"
"68","50","    Compensation of employees","W152RC1","3,239.0","3,576.0","3,882.0","4,262.0","4,631.0","5,112.0","5,546.0","6,064.0","6,595.0","7,256.0","8,032.0","8,852.0","10,098.0","10,729.0","11,818.0","12,826.0","13,952.0","15,347.0","17,236.0","19,201.0","21,709.0","25,038.0","27,899.0","31,041.0","34,308.0","38,191.0","42,555.0","47,331.0","51,646.0","56,439.0","62,960.0","70,547.0","80,426.0","90,681.0","101,073.0","111,845.0","122,622.0","132,198.0","144,378.0","163,306.0","182,506.0","200,241.0","221,365.0","240,108.0","261,092.0","275,263.0","289,430.0","307,965.0","322,953.0","341,193.0","365,480.0","389,938.0","415,445.0","441,039.0","476,539.0","506,353.0","535,581.0","555,804.0","587,033.0","616,259.0","648,958.0"
"69","51","      Wage and salary accruals","W481RC1","3,177.0","3,510.0","3,801.0","4,139.0","4,499.0","4,957.0","5,367.0","5,868.0","6,377.0","7,003.0","7,720.0","8,435.0","9,575.0","10,164.0","11,155.0","12,059.0","13,120.0","14,417.0","16,092.0","17,854.0","20,298.0","23,345.0","25,873.0","28,592.0","31,339.0","34,536.0","38,348.0","42,475.0","46,148.0","50,078.0","56,185.0","62,889.0","71,844.0","80,879.0","90,186.0","98,545.0","106,707.0","114,645.0","125,003.0","141,568.0","159,033.0","173,446.0","190,976.0","206,261.0","223,366.0","234,707.0","246,734.0","262,931.0","276,268.0","292,234.0","311,337.0","329,299.0","351,711.0","374,415.0","400,034.0","421,321.0","441,868.0","458,354.0","485,907.0","513,326.0","543,108.0"
"70","52","      Supplements to wages and salaries","W482RC1","62.0","66.0","81.0","123.0","132.0","155.0","179.0","196.0","218.0","253.0","312.0","417.0","523.0","565.0","663.0","767.0","832.0","930.0","1,144.0","1,347.0","1,411.0","1,693.0","2,026.0","2,449.0","2,969.0","3,655.0","4,207.0","4,856.0","5,498.0","6,361.0","6,775.0","7,659.0","8,581.0","9,803.0","10,887.0","13,299.0","15,915.0","17,554.0","19,375.0","21,737.0","23,473.0","26,796.0","30,389.0","33,847.0","37,726.0","40,556.0","42,696.0","45,034.0","46,685.0","48,959.0","54,143.0","60,639.0","63,734.0","66,624.0","76,505.0","85,032.0","93,713.0","97,451.0","101,126.0","102,932.0","105,850.0"
"71","53","    Rental income of persons","W159RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","145.0","153.0","133.0","103.0","98.0","97.0","186.0","198.0","234.0","379.0","595.0","820.0","951.0","966.0","1,115.0","1,094.0","1,095.0","1,079.0","1,073.0","1,154.0","1,266.0","1,553.0","1,743.0","2,086.0","2,564.0","2,795.0","3,135.0","3,471.0","3,641.0","3,586.0","3,983.0","4,153.0","3,834.0","3,808.0","3,642.0","3,785.0","4,426.0","5,120.0"
"72","54","    Net interest","B1131C1","57.0","62.0","65.0","65.0","69.0","71.0","74.0","76.0","77.0","80.0","81.0","86.0","98.0","112.0","123.0","140.0","184.0","230.0","302.0","390.0","470.0","567.0","682.0","769.0","843.0","946.0","1,104.0","1,388.0","1,428.0","1,515.0","1,891.0","2,343.0","2,954.0","3,744.0","4,787.0","5,910.0","7,713.0","7,489.0","8,620.0","8,710.0","9,731.0","10,404.0","10,765.0","11,416.0","11,940.0","13,771.0","12,666.0","13,407.0","14,468.0","15,158.0","15,646.0","15,906.0","15,794.0","15,826.0","15,248.0","14,189.0","13,387.0","12,277.0","11,184.0","11,427.0","11,762.0"
"73","55","    Taxes on production and imports","B1320C1","115.0","126.0","137.0","149.0","161.0","173.0","184.0","200.0","222.0","245.0","268.0","263.0","291.0","325.0","361.0","398.0","435.0","475.0","511.0","562.0","631.0","705.0","805.0","905.0","969.0","1,028.0","1,059.0","1,140.0","1,221.0","1,304.0","1,287.0","1,277.0","1,345.0","1,482.0","1,652.0","1,801.0","1,953.0","2,083.0","2,230.0","2,464.0","2,646.0","2,904.0","3,141.0","3,441.0","3,615.0","3,645.0","3,855.0","3,875.0","4,020.0","4,257.0","4,437.0","4,665.0","4,890.0","5,147.0","5,563.0","5,875.0","6,257.0","6,639.0","7,144.0","7,789.0","8,326.0"
"74","56","General government","A194RC1","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,359,422.0","1,428,882.0"
"75","57","  Compensation of employees","A194RC1","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,359,422.0","1,428,882.0"
"76","58","    Wage and salary accruals","B1663C1","16,775.0","18,344.0","20,034.0","26,330.0","29,991.0","30,921.0","31,414.0","32,901.0","34,979.0","37,021.0","39,735.0","41,393.0","44,127.0","47,186.0","50,691.0","53,947.0","58,377.0","62,854.0","70,703.0","78,257.0","87,405.0","95,429.0","105,496.0","114,256.0","124,349.0","133,891.0","143,729.0","157,704.0","169,145.0","181,661.0","197,136.0","212,138.0","233,215.0","254,158.0","274,400.0","289,496.0","310,031.0","333,042.0","354,753.0","378,153.0","403,751.0","430,543.0","464,375.0","491,653.0","511,941.0","528,305.0","546,149.0","563,962.0","580,880.0","602,408.0","629,212.0","659,135.0","699,805.0","739,677.0","787,703.0","826,389.0","861,175.0","898,486.0","938,940.0","989,369.0","1,039,108.0"
"77","59","    Supplements to wages and salaries","B1664C1","1,302.0","1,777.0","1,206.0","1,411.0","1,536.0","1,488.0","1,630.0","1,895.0","2,245.0","2,762.0","3,168.0","3,468.0","3,947.0","4,405.0","4,763.0","5,393.0","6,031.0","6,426.0","7,716.0","9,148.0","10,396.0","12,032.0","13,897.0","16,639.0","18,728.0","21,527.0","26,010.0","31,894.0","37,208.0","43,334.0","47,536.0","53,966.0","62,287.0","71,026.0","78,319.0","85,784.0","100,397.0","110,647.0","115,879.0","121,396.0","128,568.0","136,558.0","145,361.0","155,857.0","165,320.0","172,349.0","177,928.0","179,575.0","185,882.0","189,768.0","191,452.0","203,920.0","212,155.0","227,461.0","246,436.0","283,034.0","304,749.0","329,300.0","348,333.0","370,053.0","389,774.0"
"78","60","Rest of the world","A192RC1","1,456.0","1,280.0","1,440.0","1,892.0","1,985.0","1,899.0","2,095.0","2,449.0","2,796.0","3,055.0","2,628.0","2,761.0","3,113.0","3,519.0","4,093.0","4,477.0","4,920.0","5,279.0","5,070.0","5,393.0","6,085.0","6,115.0","6,393.0","7,594.0","8,558.0","12,619.0","15,520.0","13,004.0","16,847.0","20,292.0","21,581.0","31,931.0","34,185.0","32,935.0","36,510.0","37,085.0","36,290.0","26,546.0","17,612.0","17,655.0","23,362.0","25,924.0","34,423.0","29,910.0","29,140.0","31,182.0","24,076.0","29,656.0","31,670.0","23,450.0","17,317.0","27,802.0","37,745.0","51,909.0","49,110.0","68,690.0","91,209.0","97,148.0","72,416.0","115,719.0","141,907.0"
"79","61","  Compensation of employees","A4187C1","86.0","58.0","78.0","14.0","2.0","-7.0","-57.0","-70.0","-82.0","-78.0","-72.0","-81.0","-155.0","-144.0","-95.0","-63.0","-54.0","5.0","24.0","30.0","12.0","22.0","23.0","21.0","-1.0","-13.0","-22.0","-43.0","-37.0","-62.0","-99.0","-71.0","-98.0","-156.0","-192.0","-173.0","-211.0","-215.0","-1,782.0","-1,356.0","-867.0","-1,285.0","-2,307.0","-2,751.0","-2,965.0","-3,320.0","-4,015.0","-4,090.0","-4,125.0","-4,402.0","-4,563.0","-5,213.0","-4,690.0","-5,215.0","-5,574.0","-5,704.0","-6,148.0","-6,407.0","-6,613.0","-7,100.0","-7,325.0"
