"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Gross domestic product","A191RC1","103,608.0","91,213.0","76,490.0","58,721.0","56,402.0","65,980.0","73,304.0","83,766.0","91,867.0","86,124.0","92,170.0","101,430.0","126,741.0","161,909.0","198,607.0","219,759.0","223,049.0","222,228.0","244,095.0","269,118.0","267,232.0","293,744.0","339,260.0","358,298.0","379,327.0","380,354.0","414,720.0","437,428.0","461,055.0","467,169.0","506,627.0","526,438.0","544,758.0","585,656.0","617,760.0","663,639.0","719,115.0","787,692.0","832,445.0","909,843.0","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,143.0","11,867,753.0","12,638,381.0","13,398,917.0","14,077,628.0","14,441,415.0","14,256,272.0"
"20","2","Plus: Income receipts from the rest of the world","B645RC1","1,140.0","1,041.0","767.0","528.0","438.0","438.0","522.0","570.0","728.0","640.0","683.0","610.0","731.0","708.0","699.0","758.0","756.0","1,092.0","1,597.0","2,031.0","1,944.0","2,186.0","2,756.0","2,857.0","2,843.0","3,039.0","3,507.0","3,933.0","4,268.0","3,869.0","4,269.0","4,888.0","5,307.0","5,940.0","6,530.0","7,239.0","7,881.0","8,071.0","8,682.0","10,102.0","11,779.0","12,833.0","14,011.0","16,278.0","23,541.0","29,820.0","28,024.0","32,363.0","37,200.0","46,252.0","68,321.0","79,092.0","92,024.0","100,993.0","101,882.0","121,865.0","112,441.0","110,997.0","122,814.0","151,622.0","177,170.0","188,510.0","168,141.0","151,797.0","155,214.0","184,096.0","229,267.0","245,831.0","279,502.0","286,226.0","319,467.0","380,501.0","323,025.0","313,506.0","353,317.0","448,568.0","573,037.0","721,052.0","861,766.0","809,211.0","589,425.0"
"21","3","Less: Income payments to the rest of the world","A655RC1","374.0","332.0","252.0","164.0","138.0","159.0","181.0","308.0","359.0","261.0","310.0","330.0","315.0","297.0","368.0","434.0","491.0","440.0","487.0","575.0","664.0","746.0","864.0","872.0","944.0","944.0","1,058.0","1,137.0","1,213.0","1,241.0","1,508.0","1,775.0","1,788.0","1,847.0","2,053.0","2,319.0","2,602.0","3,001.0","3,289.0","4,017.0","5,664.0","6,440.0","6,417.0","7,720.0","10,922.0","14,300.0","15,020.0","15,516.0","16,908.0","24,671.0","36,390.0","44,907.0","59,089.0","64,483.0","64,797.0","85,575.0","85,895.0","93,385.0","105,159.0","128,260.0","151,246.0","154,087.0","138,231.0","122,657.0","124,032.0","160,020.0","199,611.0","214,161.0","256,052.0","268,909.0","291,665.0","342,756.0","271,116.0","264,396.0","284,627.0","357,359.0","475,889.0","648,636.0","746,047.0","667,304.0","484,476.0"
"22","4","Equals: Gross national product","A001RC1","104,374.0","91,922.0","77,005.0","59,085.0","56,702.0","66,259.0","73,645.0","84,028.0","92,236.0","86,503.0","92,543.0","101,710.0","127,157.0","162,320.0","198,938.0","220,083.0","223,314.0","222,880.0","245,205.0","270,574.0","268,512.0","295,184.0","341,152.0","360,283.0","381,226.0","382,449.0","417,169.0","440,224.0","464,110.0","469,797.0","509,388.0","529,551.0","548,277.0","589,749.0","622,237.0","668,559.0","724,394.0","792,762.0","837,838.0","915,928.0","990,546.0","1,044,719.0","1,134,411.0","1,246,443.0","1,394,888.0","1,514,972.0","1,650,704.0","1,841,430.0","2,050,422.0","2,315,343.0","2,594,159.0","2,822,328.0","3,159,772.0","3,289,704.0","3,571,691.0","3,967,185.0","4,244,016.0","4,477,679.0","4,754,009.0","5,123,784.0","5,508,070.0","5,834,950.0","6,022,004.0","6,371,446.0","6,698,532.0","7,109,236.0","7,444,311.0","7,870,126.0","8,355,812.0","8,810,812.0","9,381,286.0","9,989,227.0","10,338,076.0","10,691,426.0","11,210,833.0","11,958,962.0","12,735,529.0","13,471,333.0","14,193,347.0","14,583,322.0","14,361,221.0"
"23","5","Less: Consumption of fixed capital","A262RC1","9,667.0","9,451.0","8,795.0","7,686.0","7,405.0","7,774.0","7,812.0","8,086.0","8,976.0","9,233.0","9,260.0","9,680.0","11,050.0","13,681.0","16,499.0","19,544.0","21,109.0","23,096.0","26,649.0","28,465.0","29,180.0","29,942.0","33,792.0","36,285.0","38,637.0","40,596.0","42,786.0","47,104.0","50,844.0","53,255.0","55,413.0","56,584.0","58,182.0","60,558.0","63,332.0","66,366.0","70,719.0","76,454.0","82,935.0","90,418.0","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,760,018.0","1,847,086.0","1,863,992.0"
"24","6","        Private","A024RC1","8,709.0","8,501.0","7,886.0","6,869.0","6,498.0","6,697.0","6,713.0","6,855.0","7,654.0","7,843.0","7,821.0","8,147.0","9,020.0","10,146.0","10,261.0","10,656.0","11,042.0","12,314.0","16,058.0","18,854.0","20,499.0","22,027.0","25,162.0","26,740.0","28,205.0","29,470.0","31,057.0","34,341.0","37,249.0","39,388.0","40,960.0","41,583.0","42,631.0","44,079.0","45,878.0","48,297.0","51,860.0","56,481.0","61,559.0","67,422.0","74,490.0","81,702.0","89,528.0","97,713.0","109,459.0","127,835.0","150,449.0","165,544.0","186,148.0","211,962.0","244,462.0","282,290.0","323,249.0","356,438.0","369,519.0","387,466.0","412,774.0","439,063.0","464,485.0","497,114.0","529,604.0","560,416.0","585,433.0","599,900.0","626,383.0","660,953.0","704,619.0","743,352.0","789,710.0","841,567.0","907,237.0","986,828.0","1,051,593.0","1,094,033.0","1,135,933.0","1,200,874.0","1,290,810.0","1,391,388.0","1,469,573.0","1,536,165.0","1,538,754.0"
"25","7","          Domestic business","W276RC1","7,603.0","7,401.0","6,878.0","6,044.0","5,689.0","5,803.0","5,825.0","5,916.0","6,599.0","6,747.0","6,703.0","6,969.0","7,712.0","8,726.0","8,733.0","9,007.0","9,285.0","10,325.0","13,497.0","15,889.0","17,321.0","18,564.0","21,171.0","22,415.0","23,614.0","24,628.0","25,831.0","28,620.0","31,172.0","33,054.0","34,297.0","34,628.0","35,427.0","36,611.0","38,059.0","40,003.0","42,933.0","46,859.0","51,191.0","56,096.0","61,937.0","68,155.0","74,601.0","81,168.0","90,611.0","106,096.0","125,750.0","138,454.0","155,455.0","176,416.0","203,511.0","235,390.0","271,191.0","300,679.0","311,393.0","325,951.0","347,978.0","369,884.0","390,338.0","417,610.0","444,396.0","469,817.0","490,593.0","500,927.0","521,165.0","549,420.0","585,954.0","619,158.0","658,470.0","702,082.0","756,841.0","824,313.0","876,541.0","908,506.0","935,434.0","978,714.0","1,045,725.0","1,123,284.0","1,188,500.0","1,252,313.0","1,257,721.0"
"26","8","            Capital consumption allowances","Y0000C1","6,302.0","6,358.0","6,279.0","5,794.0","5,429.0","5,260.0","5,277.0","5,362.0","5,488.0","5,564.0","5,639.0","5,828.0","6,476.0","7,534.0","8,021.0","8,878.0","9,292.0","7,885.0","9,880.0","11,794.0","13,527.0","14,940.0","17,107.0","18,813.0","20,948.0","22,941.0","25,670.0","27,882.0","30,196.0","31,527.0","33,383.0","35,153.0","36,614.0","40,891.0","43,337.0","46,061.0","49,360.0","53,379.0","57,785.0","62,595.0","68,787.0","73,816.0","79,418.0","88,299.0","96,788.0","107,563.0","118,439.0","128,474.0","146,107.0","165,472.0","189,711.0","216,911.0","269,334.0","309,381.0","347,860.0","393,455.0","445,556.0","458,469.0","475,283.0","501,278.0","521,312.0","521,222.0","530,101.0","541,304.0","567,395.0","605,105.0","651,080.0","697,350.0","757,197.0","810,562.0","883,767.0","945,292.0","1,018,826.0","1,110,877.0","1,125,305.0","1,138,823.0","965,636.0","1,027,654.0","1,089,685.0","1,340,161.0","1,269,636.0"
"27","9","            Less: Capital consumption adjustment","Y0004C1","-1,301.0","-1,043.0","-599.0","-250.0","-260.0","-543.0","-548.0","-554.0","-1,111.0","-1,183.0","-1,064.0","-1,141.0","-1,236.0","-1,192.0","-712.0","-129.0","7.0","-2,440.0","-3,617.0","-4,095.0","-3,794.0","-3,624.0","-4,064.0","-3,602.0","-2,666.0","-1,687.0","-161.0","-738.0","-976.0","-1,527.0","-914.0","525.0","1,187.0","4,280.0","5,278.0","6,058.0","6,427.0","6,520.0","6,594.0","6,499.0","6,850.0","5,661.0","4,817.0","7,131.0","6,177.0","1,467.0","-7,311.0","-9,980.0","-9,348.0","-10,944.0","-13,800.0","-18,479.0","-1,857.0","8,702.0","36,467.0","67,504.0","97,578.0","88,585.0","84,945.0","83,668.0","76,916.0","51,405.0","39,508.0","40,377.0","46,230.0","55,685.0","65,126.0","78,192.0","98,727.0","108,480.0","126,926.0","120,979.0","142,285.0","202,371.0","189,871.0","160,109.0","-80,089.0","-95,630.0","-98,815.0","87,848.0","11,915.0"
"28","10","          Households and institutions","W279RC1","1,106.0","1,100.0","1,008.0","825.0","809.0","894.0","888.0","939.0","1,055.0","1,096.0","1,118.0","1,178.0","1,308.0","1,420.0","1,528.0","1,649.0","1,757.0","1,989.0","2,561.0","2,965.0","3,178.0","3,463.0","3,991.0","4,325.0","4,591.0","4,842.0","5,226.0","5,721.0","6,077.0","6,334.0","6,663.0","6,955.0","7,204.0","7,468.0","7,819.0","8,294.0","8,927.0","9,622.0","10,368.0","11,326.0","12,553.0","13,547.0","14,927.0","16,545.0","18,848.0","21,739.0","24,699.0","27,090.0","30,693.0","35,546.0","40,951.0","46,900.0","52,058.0","55,759.0","58,126.0","61,515.0","64,796.0","69,179.0","74,147.0","79,504.0","85,208.0","90,599.0","94,840.0","98,973.0","105,218.0","111,533.0","118,665.0","124,194.0","131,240.0","139,485.0","150,396.0","162,515.0","175,052.0","185,527.0","200,499.0","222,160.0","245,085.0","268,104.0","281,073.0","283,852.0","281,032.0"
"29","11","        Government","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","290,445.0","310,921.0","325,238.0"
"30","12","          General government","A265RC1","828.0","815.0","775.0","691.0","771.0","900.0","932.0","1,043.0","1,108.0","1,159.0","1,205.0","1,286.0","1,755.0","3,238.0","5,946.0","8,577.0","9,758.0","10,438.0","10,192.0","9,147.0","8,194.0","7,403.0","8,040.0","8,900.0","9,744.0","10,407.0","10,965.0","11,904.0","12,658.0","12,880.0","13,427.0","13,910.0","14,395.0","15,245.0","16,144.0","16,674.0","17,358.0","18,337.0","19,598.0","21,035.0","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","242,353.0","259,530.0","272,219.0"
"31","13","          Government enterprises","A266RC1","130.0","135.0","134.0","126.0","136.0","177.0","167.0","188.0","214.0","231.0","234.0","247.0","275.0","297.0","292.0","311.0","309.0","344.0","399.0","464.0","487.0","512.0","590.0","645.0","688.0","719.0","764.0","859.0","937.0","987.0","1,026.0","1,091.0","1,156.0","1,234.0","1,310.0","1,395.0","1,501.0","1,636.0","1,778.0","1,961.0","2,200.0","2,471.0","2,786.0","3,115.0","3,505.0","4,261.0","5,069.0","5,523.0","6,007.0","6,657.0","7,579.0","8,786.0","9,977.0","10,868.0","11,503.0","12,168.0","12,930.0","13,770.0","14,619.0","15,622.0","16,724.0","17,869.0","18,833.0","19,786.0","21,120.0","22,387.0","23,618.0","24,641.0","25,955.0","27,096.0","28,647.0","30,677.0","32,131.0","33,652.0","35,363.0","38,471.0","41,875.0","44,610.0","48,092.0","51,391.0","53,019.0"
"32","14","Equals: Net national product","A027RC1","94,707.0","82,471.0","68,210.0","51,399.0","49,297.0","58,485.0","65,833.0","75,942.0","83,260.0","77,270.0","83,283.0","92,030.0","116,107.0","148,639.0","182,439.0","200,539.0","202,205.0","199,784.0","218,556.0","242,109.0","239,332.0","265,242.0","307,360.0","323,998.0","342,589.0","341,853.0","374,383.0","393,120.0","413,266.0","416,542.0","453,975.0","472,967.0","490,095.0","529,191.0","558,905.0","602,193.0","653,675.0","716,308.0","754,903.0","825,510.0","891,355.0","936,406.0","1,016,638.0","1,119,292.0","1,254,106.0","1,351,286.0","1,460,325.0","1,633,260.0","1,818,646.0","2,053,929.0","2,295,258.0","2,478,243.0","2,766,430.0","2,856,162.0","3,120,586.0","3,492,838.0","3,738,573.0","3,939,204.0","4,182,915.0","4,512,770.0","4,856,618.0","5,143,748.0","5,297,644.0","5,627,095.0","5,920,517.0","6,290,069.0","6,574,851.0","6,957,609.0","7,392,007.0","7,790,265.0","8,286,896.0","8,804,903.0","9,081,855.0","9,386,447.0","9,856,781.0","10,526,197.0","11,194,154.0","11,810,656.0","12,433,329.0","12,736,236.0","12,497,229.0"
"33","15","Less: Statistical discrepancy","A030RC1","765.0","-414.0","771.0","301.0","544.0","399.0","-211.0","1,200.0","-30.0","685.0","1,300.0","1,089.0","339.0","-875.0","-1,797.0","2,579.0","3,869.0","1,169.0","2,268.0","-493.0","1,820.0","1,374.0","3,576.0","2,747.0","3,966.0","3,114.0","2,380.0","-1,767.0","-74.0","956.0","479.0","-952.0","-589.0","318.0","-824.0","774.0","1,499.0","6,173.0","4,506.0","4,315.0","2,871.0","6,877.0","11,014.0","8,946.0","8,019.0","9,814.0","16,306.0","23,470.0","21,213.0","26,055.0","46,973.0","45,292.0","36,581.0","4,750.0","49,695.0","31,539.0","42,301.0","67,744.0","32,873.0","-9,533.0","56,105.0","84,200.0","79,737.0","109,992.0","135,795.0","108,809.0","52,522.0","25,920.0","-13,974.0","-85,321.0","-71,067.0","-133,986.0","-103,354.0","-22,072.0","16,611.0","-7,849.0","-79,660.0","-220,572.0","-14,828.0","101,036.0","217,273.0"
"34","16","Equals: National income","A032RC1","93,942.0","82,885.0","67,439.0","51,098.0","48,753.0","58,086.0","66,044.0","74,742.0","83,290.0","76,585.0","81,983.0","90,941.0","115,768.0","149,514.0","184,236.0","197,960.0","198,336.0","198,615.0","216,288.0","242,602.0","237,512.0","263,868.0","303,784.0","321,251.0","338,623.0","338,739.0","372,003.0","394,887.0","413,340.0","415,586.0","453,496.0","473,919.0","490,684.0","528,873.0","559,729.0","601,419.0","652,176.0","710,135.0","750,397.0","821,195.0","888,484.0","929,529.0","1,005,624.0","1,110,346.0","1,246,087.0","1,341,472.0","1,444,019.0","1,609,790.0","1,797,433.0","2,027,874.0","2,248,285.0","2,432,951.0","2,729,849.0","2,851,412.0","3,070,891.0","3,461,299.0","3,696,272.0","3,871,460.0","4,150,042.0","4,522,303.0","4,800,513.0","5,059,548.0","5,217,907.0","5,517,103.0","5,784,722.0","6,181,260.0","6,522,329.0","6,931,689.0","7,405,981.0","7,875,586.0","8,357,963.0","8,938,889.0","9,185,209.0","9,408,519.0","9,840,170.0","10,534,046.0","11,273,814.0","12,031,228.0","12,448,157.0","12,635,200.0","12,279,956.0"
"35","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","10,656.0","7,358.0","2,834.0","-270.0","-272.0","2,382.0","3,858.0","6,044.0","6,854.0","4,801.0","6,400.0","9,648.0","15,277.0","20,434.0","24,744.0","24,783.0","20,192.0","17,940.0","23,487.0","30,875.0","28,710.0","35,635.0","40,801.0","38,839.0","39,117.0","38,334.0","48,999.0","47,985.0","47,639.0","42,458.0","53,826.0","53,096.0","54,187.0","62,345.0","68,335.0","75,524.0","86,529.0","92,546.0","90,175.0","97,251.0","94,471.0","82,506.0","96,074.0","111,426.0","124,505.0","115,126.0","133,310.0","161,605.0","191,843.0","218,427.0","225,354.0","201,423.0","223,268.0","205,716.0","259,831.0","318,607.0","332,545.0","314,126.0","367,842.0","426,618.0","425,562.0","434,449.0","457,275.0","496,227.0","543,704.0","628,226.0","716,185.0","801,501.0","884,833.0","812,421.0","856,273.0","819,222.0","784,166.0","872,192.0","977,784.0","1,246,931.0","1,456,085.0","1,608,312.0","1,541,696.0","1,360,389.0","1,308,927.0"
"36","18","      Taxes on production and imports less subsidies \1\","W254RC1","6,848.0","6,967.0","6,592.0","6,514.0","6,763.0","7,236.0","7,482.0","8,269.0","8,696.0","8,554.0","8,457.0","9,169.0","10,740.0","11,151.0","12,023.0","12,834.0","14,124.0","15,674.0","17,910.0","19,421.0","20,647.0","22,365.0","23,997.0","26,712.0","28,978.0","28,994.0","31,668.0","33,881.0","35,929.0","36,806.0","39,994.0","43,401.0","44,954.0","48,109.0","51,152.0","54,540.0","57,702.0","59,262.0","64,126.0","72,233.0","79,322.0","86,636.0","95,818.0","101,292.0","111,990.0","121,595.0","130,798.0","141,263.0","152,564.0","161,962.0","171,570.0","190,530.0","224,171.0","225,916.0","241,977.0","268,708.0","286,773.0","298,478.0","317,263.0","344,962.0","371,439.0","397,997.0","429,603.0","453,288.0","466,444.0","512,725.0","523,091.0","545,520.0","577,805.0","603,105.0","628,376.0","662,716.0","668,968.0","721,401.0","757,745.0","817,016.0","869,263.0","935,457.0","973,967.0","993,761.0","964,256.0"
