"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"31","12","    Retail trade","N5012C1","695,250.0","695,412.0","699,096.0","708,759.0","714,645.0","718,588.0","725,145.0","734,505.0","748,818.0","760,531.0","762,483.0","767,333.0","783,675.0","785,999.0","790,078.0","797,116.0","822,274.0","862,216.0","861,830.0","892,157.0","896,267.0","890,815.0","907,986.0","920,235.0","914,936.0","928,719.0","910,327.0","901,923.0","865,521.0","869,612.0","861,102.0","848,558.0","835,481.0","844,604.0","836,526.0","840,930.0","875,354.0"
"32","13","    Transportation and warehousing","N5013C1","273,169.0","275,922.0","254,458.0","262,333.0","260,072.0","259,530.0","262,505.0","268,493.0","272,915.0","268,427.0","278,547.0","283,796.0","291,818.0","305,026.0","303,850.0","304,587.0","323,854.0","330,111.0","335,134.0","342,542.0","356,648.0","362,147.0","360,428.0","363,767.0","362,066.0","369,537.0","362,240.0","356,407.0","343,102.0","338,701.0","334,842.0","337,326.0","320,408.0","310,072.0","309,266.0","313,005.0","329,649.0"
"33","14","    Information","N5014C1","306,255.0","312,868.0","293,285.0","275,245.0","298,185.0","301,307.0","297,108.0","302,315.0","262,293.0","300,836.0","339,519.0","336,548.0","331,968.0","353,067.0","372,717.0","372,651.0","396,534.0","413,707.0","410,459.0","411,565.0","414,013.0","430,972.0","432,864.0","420,102.0","435,926.0","418,001.0","460,777.0","467,572.0","444,955.0","436,982.0","444,910.0","385,350.0","412,165.0","414,262.0","419,953.0","448,351.0","453,491.0"
"34","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,675,465.0","1,652,520.0","1,648,890.0","1,644,452.0","1,651,585.0","1,660,431.0","1,629,012.0","1,633,422.0","1,638,766.0","1,665,337.0","1,693,748.0","1,730,692.0","1,748,525.0","1,764,509.0","1,787,999.0","1,839,603.0","1,959,018.0","1,937,988.0","2,015,886.0","2,081,050.0","2,098,783.0","2,139,156.0","2,124,935.0","2,200,459.0","2,136,643.0","2,200,143.0","2,209,089.0","2,223,528.0","2,243,816.0","2,273,269.0","2,238,350.0","2,204,330.0","2,185,297.0","2,203,541.0","2,254,852.0","2,305,581.0","2,359,977.0"
"35","16","    Professional and business services \1\","N5016C1","1,150,598.0","1,171,462.0","1,182,108.0","1,180,974.0","1,193,486.0","1,208,819.0","1,221,053.0","1,226,556.0","1,278,117.0","1,274,707.0","1,262,972.0","1,275,478.0","1,299,356.0","1,323,561.0","1,367,444.0","1,406,530.0","1,450,614.0","1,458,604.0","1,516,576.0","1,535,444.0","1,591,535.0","1,599,156.0","1,635,316.0","1,666,738.0","1,677,000.0","1,669,000.0","1,701,874.0","1,716,589.0","1,749,654.0","1,754,698.0","1,769,540.0","1,649,857.0","1,721,991.0","1,728,711.0","1,700,124.0","1,743,706.0","1,760,731.0"
"36","17","    Educational services, health care, and social assistance","N5017C1","737,656.0","746,448.0","756,976.0","770,763.0","793,323.0","810,775.0","826,011.0","839,393.0","856,488.0","866,580.0","877,565.0","893,225.0","913,521.0","931,058.0","950,141.0","955,954.0","970,235.0","990,706.0","1,002,973.0","1,010,161.0","1,036,262.0","1,053,917.0","1,064,644.0","1,082,621.0","1,083,931.0","1,107,279.0","1,122,918.0","1,146,315.0","1,147,036.0","1,159,395.0","1,174,227.0","1,190,953.0","1,200,125.0","1,221,748.0","1,230,453.0","1,244,835.0","1,268,007.0"
"37","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","343,532.0","350,154.0","353,171.0","350,139.0","354,994.0","361,009.0","364,647.0","370,506.0","369,772.0","372,638.0","378,689.0","386,980.0","399,634.0","406,385.0","410,708.0","407,725.0","420,396.0","434,529.0","437,976.0","446,465.0","453,392.0","456,541.0","460,726.0","471,909.0","476,268.0","480,841.0","482,743.0","488,834.0","472,931.0","477,335.0","478,082.0","471,745.0","464,735.0","464,926.0","472,170.0","470,219.0","484,314.0"
"38","19","    Other services, except government","N5019C1","271,181.0","271,330.0","271,979.0","271,264.0","288,653.0","293,291.0","298,680.0","302,006.0","295,624.0","297,409.0","298,726.0","302,116.0","308,816.0","310,919.0","314,992.0","317,814.0","332,931.0","337,230.0","336,760.0","338,434.0","345,060.0","350,134.0","352,682.0","358,980.0","361,631.0","364,169.0","367,438.0","372,242.0","371,700.0","372,369.0","374,250.0","375,588.0","366,911.0","363,912.0","368,920.0","368,387.0","371,212.0"
"39","20","  Government","B436RC1","1,046,761.0","1,060,965.0","1,083,853.0","1,091,478.0","1,119,803.0","1,131,994.0","1,149,242.0","1,167,091.0","1,199,623.0","1,214,932.0","1,223,202.0","1,231,282.0","1,258,617.0","1,271,285.0","1,280,309.0","1,292,932.0","1,321,862.0","1,329,316.0","1,340,578.0","1,349,591.0","1,376,510.0","1,389,903.0","1,406,324.0","1,421,355.0","1,447,409.0","1,464,731.0","1,479,838.0","1,495,807.0","1,521,877.0","1,536,888.0","1,551,144.0","1,559,989.0","1,579,296.0","1,597,470.0","1,603,347.0","1,609,522.0","1,624,697.0"
"40","21","Rest of the world","A192RC1","41,136.0","49,600.0","26,975.0","89,925.0","51,018.0","32,779.0","47,403.0","65,238.0","51,822.0","65,552.0","65,573.0","91,816.0","110,597.0","85,818.0","96,796.0","71,626.0","106,824.0","96,227.0","107,113.0","78,429.0","80,509.0","75,517.0","61,930.0","71,705.0","63,953.0","76,127.0","138,476.0","184,321.0","171,022.0","128,868.0","160,750.0","106,986.0","99,942.0","92,624.0","121,521.0","105,709.0","131,901.0"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
