"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","      Electricity, gas, and other fuels","DEGFRG3",9.586,9.415,9.03,8.508,8.322,8.508,8.339,8.342,8.355,8.305,8.199,8.291,8.478,8.791,9.054,9.213,9.215,9.372,9.972,10.873,10.931,11.087,11.337,11.447,11.648,11.691,11.797,11.964,12.226,12.219,12.343,12.558,12.773,12.778,12.825,12.76,12.818,12.932,13.085,13.28,13.546
"34","27","        Electricity","DELCRG3",24.898,24.11,23.188,22.49,22.232,21.614,20.967,20.29,19.863,19.564,19.244,19.036,18.918,18.801,18.774,18.732,18.636,17.902,17.687,17.852,18.016,18.039,18.208,18.372,18.606,18.701,18.936,18.984,19.079,19.319,19.575,19.865,19.939,19.939,19.865,19.798,19.724,19.724,19.865,20.014,20.452
"35","28","        Natural gas","DGHERG3",7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,8.213,8.344,8.344,8.344,8.391,8.391,8.433,8.433,8.522,8.658
"36","29","        Fuel oil and other fuels","DFULRG3",3.506,3.442,3.241,2.924,2.814,2.986,2.919,2.972,3.015,3.006,2.959,3.046,3.193,3.435,3.635,3.76,3.772,3.98,4.487,5.217,5.242,5.388,5.605,5.685,5.853,5.878,5.942,6.142,6.465,6.371,6.46,6.365,6.601,6.609,6.734,6.611,6.755,6.934,7.149,7.377,7.532
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",16.642,15.828,13.944,12.04,11.885,12.615,12.733,12.889,13.741,13.306,13.245,13.436,14.47,16.847,19.579,22.542,24.572,25.356,27.969,29.102,27.997,28.311,30.974,30.68,30.93,30.987,30.887,31.227,31.908,32.149,32.907,33.47,33.599,33.695,33.84,34.021,34.144,34.7,35.592,37.136,38.524
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRG3",18.281,17.642,15.485,13.067,13.509,14.753,14.584,14.929,16.351,15.88,15.784,16.242,17.738,20.455,23.638,27.476,30.234,30.249,31.991,33.396,32.57,33.592,37.746,37.197,37.248,37.228,37.189,37.916,38.852,38.934,40.359,40.736,41.063,41.211,41.302,41.519,41.559,42.349,43.766,45.498,47.377
"39","32","    Household textiles","DTEXRG3",26.063,23.98,19.859,16.407,17.385,19.586,19.596,19.503,20.321,18.594,17.844,18.432,21.116,27.271,31.499,35.796,38.7,40.888,50.104,51.618,45.228,45.781,49.958,46.011,45.409,44.268,44.081,44.539,44.863,44.848,45.069,46.516,47.377,47.251,47.417,47.462,47.761,48.425,49.736,51.54,53.144
"40","33","    Household appliances \6\","DHAPRG3",53.551,51.176,47.343,41.335,39.118,39.529,38.976,39.509,40.939,41.042,40.52,39.155,41.171,47.235,52.248,55.713,58.459,58.606,64.485,68.131,66.26,65.5,70.174,70.252,69.849,68.877,66.751,63.828,63.027,61.615,61.603,60.892,59.783,58.502,57.461,56.912,55.753,55.046,55.276,56.582,58.046
"41","34","    Glassware, tableware, and household utensils \7\","DUTERG3",13.586,13.186,11.955,11.15,10.9,12.078,13.154,12.388,12.582,12.578,12.585,12.591,12.879,14.508,16.321,18.407,19.139,19.008,19.478,19.824,20.503,21.245,23.262,23.819,24.425,24.76,25.232,27.316,28.792,29.613,29.605,30.535,30.914,31.71,32.771,33.375,33.362,34.071,35.065,37.793,39.366
"42","35","    Tools and equipment for house and garden","DTOORG3",25.408,24.349,21.473,19.194,19.097,21.126,21.191,21.427,23.302,22.969,22.673,23.185,25.216,28.67,31.098,34.077,35.681,37.636,41.625,43.473,42.342,43.159,47.36,46.539,47.185,47.704,48.862,50.866,52.931,54.101,55.636,56.016,57.624,58.595,58.873,58.46,57.415,56.346,56.235,58.537,60.866
"43","36","    Other household goods and services \8\","DOGSRG3",7.145,6.731,5.927,5.141,4.857,4.946,5.025,5.172,5.561,5.343,5.416,5.509,5.841,6.663,8.016,9.368,10.365,11.103,12.445,12.916,12.447,12.391,13.354,13.621,14.057,14.409,14.49,14.752,15.315,15.77,16.349,16.919,16.97,17.157,17.365,17.595,17.967,18.536,19.09,20.085,20.89
"44","37","  Health","DHLTRG3",4.11,4.112,3.875,3.483,3.402,3.467,3.597,3.652,3.732,3.793,3.773,3.861,3.942,4.143,4.387,4.627,4.783,5.101,5.6,5.914,6.005,6.118,6.387,6.641,6.883,7.074,7.285,7.52,7.817,8.104,8.311,8.75,8.871,9.002,9.175,9.42,9.657,10.017,10.541,11.098,11.779
"45","38","    Medical products, appliances, and equipment","DMPARG3",15.453,15.362,15.121,14.507,13.773,13.359,13.094,13.088,13.181,13.258,13.245,13.261,13.396,13.668,13.845,14.005,14.124,14.417,15.429,16.273,16.598,16.788,17.438,17.662,17.718,17.805,18.008,18.387,18.984,19.543,19.828,19.852,19.502,19.051,18.785,18.732,18.721,18.826,18.823,18.885,19.17
"46","39","      Pharmaceutical and other medical products \9\","DPHMRG3",15.058,14.977,14.705,14.147,13.399,12.88,12.542,12.549,12.644,12.736,12.676,12.662,12.814,13.127,13.203,13.304,13.399,13.671,14.779,15.655,15.907,16.104,16.684,16.901,17.032,17.19,17.365,17.756,18.3,18.924,19.207,19.166,18.694,18.15,17.835,17.746,17.682,17.72,17.593,17.572,17.769
"47","40","        Pharmaceutical products","DPNPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.085,19.041,18.563,18.013,17.697,17.607,17.543,17.581,17.452,17.43,17.626
"48","41","        Other medical products","DOMPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.396,29.447,29.084,28.648,28.359,28.288,28.214,28.289,28.182,28.235,28.523
"49","42","      Therapeutic appliances and equipment","DTAERG3",17.375,17.246,17.108,16.264,15.571,15.519,15.49,15.438,15.526,15.562,15.706,15.817,15.909,16.068,16.57,16.925,17.125,17.499,18.266,19.055,19.629,19.806,20.718,20.976,20.787,20.641,20.949,21.299,22.115,22.427,22.721,23.046,23.326,23.365,23.363,23.496,23.754,24.185,24.837,25.369,26.129
"50","43","    Outpatient services","DOUTRG3",4.317,4.421,4.092,3.505,3.506,3.617,3.849,3.927,4.008,4.164,4.122,4.273,4.351,4.602,4.986,5.332,5.485,5.761,6.102,6.366,6.438,6.482,6.646,6.974,7.344,7.656,7.954,8.274,8.578,8.867,9.16,9.376,9.56,9.839,10.073,10.34,10.677,11.283,12.007,12.677,13.589
"51","44","      Physician services \10\","DPHYRG3",4.118,4.211,3.9,3.357,3.372,3.48,3.699,3.776,3.839,3.978,3.947,4.087,4.164,4.397,4.786,5.097,5.222,5.469,5.764,5.998,6.029,6.06,6.215,6.557,6.899,7.179,7.505,7.832,8.158,8.437,8.717,8.93,9.139,9.404,9.617,9.883,10.2,10.843,11.579,12.222,13.122
"52","45","      Dental services","DDENRG3",3.869,3.977,3.679,3.099,3.072,3.153,3.383,3.438,3.557,3.705,3.666,3.813,3.854,4.111,4.395,4.745,4.948,5.242,5.623,5.917,6.093,6.159,6.319,6.525,6.899,7.211,7.36,7.588,7.777,8.005,8.208,8.371,8.417,8.659,8.894,9.136,9.434,9.74,10.229,10.784,11.551
"53","46","      Paramedical services","DPMSRG3",4.938,5.049,4.66,4.05,4.051,4.217,4.439,4.551,4.607,4.828,4.718,4.885,5.049,5.272,5.772,6.159,6.27,6.547,6.935,7.213,7.27,7.325,7.492,7.88,8.266,8.658,9.044,9.433,9.767,10.155,10.641,10.914,11.18,11.522,11.795,12.056,12.467,13.241,14.132,14.957,15.957
"54","47","        Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","        Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","        Other professional medical services \11\","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Hospital and nursing home services","DHPNRG3",1.859,1.756,1.653,1.549,1.48,1.549,1.618,1.652,1.721,1.687,1.687,1.721,1.79,1.928,2.066,2.238,2.41,2.789,3.374,3.649,3.718,3.89,4.2,4.407,4.579,4.682,4.82,4.957,5.198,5.439,5.561,6.283,6.449,6.581,6.803,7.1,7.308,7.528,8.003,8.566,9.159
"58","51","      Hospitals \12\","DHSPRG3",1.738,1.641,1.545,1.448,1.384,1.448,1.512,1.545,1.609,1.577,1.577,1.609,1.673,1.802,1.931,2.092,2.253,2.607,3.154,3.411,3.476,3.636,3.926,4.119,4.28,4.377,4.505,4.634,4.859,5.085,5.198,5.905,6.062,6.188,6.391,6.672,6.869,7.073,7.519,8.043,8.608
"59","52","      Nursing homes","DNRSRG3",2.859,2.7,2.542,2.383,2.277,2.383,2.489,2.542,2.647,2.595,2.594,2.647,2.753,2.965,3.177,3.442,3.706,4.289,5.189,5.612,5.719,5.983,6.46,6.777,7.042,7.201,7.413,7.625,7.995,8.366,8.553,8.964,9.178,9.349,9.744,10.141,10.425,10.761,11.442,12.289,13.081
"60","53","  Transportation","DTRNRG3",11.571,11.23,10.235,9.893,9.491,9.86,9.883,9.99,10.151,10.209,9.969,9.868,10.407,11.476,11.736,11.821,11.915,12.803,14.035,15.261,15.88,16.075,16.854,17.438,17.676,17.625,17.867,18.559,19.513,19.926,20.604,20.691,20.824,21.126,21.215,21.327,21.527,21.667,22.194,22.892,23.649
"61","54","    Motor vehicles","DMTRRG3",6.968,6.777,6.509,6.156,5.573,5.87,5.747,5.773,5.887,6.214,6.053,6.149,6.794,9.464,10.149,10.942,11.394,18.067,20.29,22.138,23.049,23.041,23.986,25.135,24.64,23.751,24.051,25.233,27.001,28.162,29.811,29.306,29.636,30.186,30.387,30.668,30.227,29.909,30.269,31.302,31.871
"62","55","      New motor vehicles","DNMVRG3",18.129,17.608,16.802,15.761,14.24,15.077,14.838,14.957,15.239,15.999,15.597,15.637,16.805,19.998,21.255,23.89,18.637,21.844,24.75,27.065,29.647,29.845,31.118,33.977,34.261,34.813,31.477,33.147,35.055,36.325,37.903,37.413,37.421,37.269,37.046,36.95,36.123,35.457,35.784,36.796,37.371
"63","56","      Net purchases of used motor vehicles","DNPVRG3",0.429,0.447,0.552,0.658,0.627,0.567,0.458,0.394,0.418,0.535,0.51,0.773,1.499,2.725,2.935,3.121,3.4,6.932,7.443,8.023,6.456,6.156,6.345,5.273,4.106,1.433,7.607,7.795,8.908,9.555,10.737,10.333,11.043,12.545,13.495,14.504,14.943,15.451,15.857,16.868,17.406
"64","57","    Motor vehicle operation","DMVORG3",10.905,10.396,9.014,8.888,8.683,9.061,9.139,9.346,9.567,9.362,9.048,8.87,9.222,9.847,9.959,10.118,10.1,10.38,11.343,12.318,12.56,12.69,13.331,13.604,14.13,14.417,14.595,15.027,15.586,15.588,15.807,16.086,16.044,16.163,16.227,16.224,16.742,17.079,17.653,18.141,18.875
"65","58","      Motor vehicle parts and accessories","DMVPRG3",37.454,34.849,29.79,27.437,27.996,28.816,29.054,29.193,30.721,30.116,29.721,28.148,28.555,32.72,33.684,36.047,36.101,36.95,38.286,39.046,38.952,40.029,45.225,45.143,44.527,43.563,43.674,44.226,44.609,44.738,44.449,43.094,41.834,41.925,42.606,42.634,44.252,45.172,46.279,47.977,49.53
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRG3",8.308,7.934,6.709,6.978,6.918,7.262,7.277,7.515,7.694,7.485,7.142,7.022,7.336,7.68,7.755,7.77,7.71,7.904,8.86,9.936,10.145,10.16,10.369,10.579,11.027,11.266,11.385,11.729,12.237,12.117,12.289,12.644,12.52,12.598,12.568,12.486,12.958,13.256,13.694,13.896,14.354
"67","60","      Motor vehicle maintenance and repair","DVMRRG3",8.881,8.587,8.062,7.011,6.26,6.467,6.698,6.701,6.72,6.72,6.7,6.678,6.972,7.584,7.665,7.772,7.833,8.086,8.757,9.241,9.471,9.68,10.396,10.669,11.235,11.635,11.888,12.348,12.789,12.999,13.276,13.508,13.862,14.043,14.216,14.39,14.686,14.924,15.568,16.392,17.447
"68","61","      Other motor vehicle services","DOVSRG3",15.719,15.414,14.834,13.621,12.704,13.013,13.105,13.032,12.986,12.935,13.03,13.034,13.518,14.362,13.908,13.92,13.982,14.862,15.823,17.155,18.202,18.279,19.305,20.767,22.269,22.681,22.806,22.987,23.856,24.959,25.758,25.889,26.008,26.092,26.088,26.156,26.283,26.383,26.568,26.77,27.09
"69","62","    Public transportation","DPUBRG3",9.276,9.307,8.871,8.368,8.055,8.168,8.308,8.242,8.165,8.253,8.307,8.095,8.132,8.541,8.772,8.687,8.813,9.105,9.742,10.554,11.636,12.421,13.302,13.868,14.383,14.871,15.31,15.811,16.424,17.12,17.817,18.413,19.134,19.891,19.73,20.074,20.367,20.876,21.607,22.487,24.022
"70","63","      Ground transportation \13\","DGRDRG3",5.542,5.565,5.303,5.003,4.815,4.886,4.97,4.929,4.883,4.941,4.97,4.845,4.867,5.109,5.246,5.192,5.274,5.461,5.841,6.317,6.986,7.487,8.047,8.409,8.75,9.092,9.411,9.763,10.202,10.588,11.018,11.292,11.656,12.074,12.251,12.566,12.803,13.262,13.974,14.717,15.636
"71","64","      Air transportation","DAITRG3",34.342,23.829,23.752,20.973,20.922,17.77,18.721,18.737,18.753,16.534,17.808,16.749,16.933,18.532,19.35,20.409,19.05,17.866,19.428,22.222,22.597,22.222,22.434,22.7,22.675,22.338,22.027,22.009,22.012,23.529,24.497,26.213,27.921,29.36,27.242,27.119,27.239,27.304,27.339,27.921,30.05
"72","65","      Water transportation","DWATRG3",25.064,24.51,24.64,24.496,24.32,24.83,24.45,24.892,24.892,23.709,24.099,23.897,24.732,25.276,25.997,27.037,27.021,27.028,26.98,28.513,27.509,27.221,27.221,27.221,26.621,26.826,26.621,26.836,26.836,26.836,27.787,28.895,29.525,29.941,30.698,31.044,32.009,33.261,34.288,35.861,38.275
"73","66","  Communication","DCMCRG3",28.732,28.72,28.557,28.512,28.497,28.342,28.336,28.135,28.033,27.88,27.795,27.936,28.346,29.966,31.162,32.287,32.882,33.113,34.172,36.006,37.452,39.981,41.09,42.767,44.215,43.858,43.576,44.182,45.056,46.391,47.612,48.477,48.68,48.733,49.666,49.947,49.396,48.513,49.245,50.095,50.871
"74","67","    Telephone and facsimile equipment","DTCERG3",12.094,11.417,9.952,8.495,8.733,9.92,9.984,10.361,11.483,11.314,11.582,11.891,13.318,15.56,18.24,21.642,24.058,23.783,23.612,23.578,22.795,23.345,25.686,25.379,25.69,25.275,25.317,26.391,27.041,27.658,28.23,28.395,28.378,27.8,27.766,27.775,29.147,30.569,31.579,33.2,35.039
"75","68","    Postal and delivery services","DPSSRG3",4.682,4.494,4.243,4.166,4.265,4.439,4.572,4.498,4.705,4.556,4.502,4.597,4.889,5.21,5.619,6.003,6.155,6.411,7.144,7.621,7.835,8.016,8.532,9.063,9.314,9.654,9.85,10.06,10.286,10.586,11.065,11.444,11.552,11.658,13.379,13.813,13.922,14.033,14.412,16.345,16.833
