"","Table 2#8#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"12","4","  Nondurable goods","DNDGRA3",29.607,29.659,30.232,29.716,30.306,30.217,30.05,30.128,30.406,30.417,30.284,30.442,30.479,30.184,30.709,31.277,30.399,30.695,30.802,30.558,30.471,30.762,30.77,30.362,30.55,30.76,31.129,31.108,31.229,31.34,31.09,31.238,31.42,31.464,31.697,31.861,31.879,31.793,32.139,32.07,32.224,31.901,32.086,32.24,32.615,32.353,32.518,32.615,32.724,32.494,32.801,32.703,32.717,32.934,32.982,33.309,32.961,32.82,32.976,33.332,33.283,33.668,33.873,33.775,34.479,34.494,34.81,35.111,34.835,35.051,34.495,35.411,35.228,35.622,35.109,35.68,35.86,35.433,36.055,36.056,36.463,37.642,37.403,37.557,37.7,37.833,37.888,38.253,37.961,38.282,38.65,38.249,38.42,38.258,38.401,38.339,38.578,38.817,38.897,39.051,38.985,39.121,38.706,38.996,39.346,38.732,39.131,39.715,39.635,39.82,40.435,40.185,40.328,40.852,41.204,41.253,40.841,40.902,41.488,40.935,41.335,41.703,41.657,41.593,41.97,41.406,41.671,42.111,41.654,42.229,42.015,42.032
"13","5","Services","DSERRA3",18.656,18.802,18.847,18.91,19.05,19.184,19.213,19.29,19.408,19.451,19.521,19.638,19.667,19.697,19.777,19.911,19.957,19.931,19.907,19.886,19.935,20.038,20.131,20.138,20.247,20.249,20.415,20.518,20.634,20.647,20.609,20.635,20.742,20.905,21.039,21.134,21.158,21.213,21.304,21.457,21.576,21.595,21.645,21.71,21.83,21.905,22.04,22.061,22.027,22.074,22.166,22.276,22.277,22.438,22.59,22.748,22.826,22.926,23.007,23.162,23.294,23.381,23.534,23.606,23.712,23.87,23.945,24.014,24.159,24.244,24.374,24.486,24.571,24.645,24.72,24.899,25.021,25.133,25.259,25.353,25.469,25.65,25.805,25.918,25.957,26.038,26.182,26.269,26.35,26.41,26.53,26.527,26.623,26.678,26.853,27.019,27.091,27.041,27.164,27.257,27.346,27.479,27.627,27.761,27.814,27.859,27.947,28.099,28.32,28.325,28.573,28.716,28.787,29.057,29.121,29.216,29.341,29.436,29.568,29.648,29.713,29.879,29.85,30.015,30.222,30.302,30.284,30.426,30.549,30.723,30.855,30.812
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRA3",15.665,15.923,16.193,16.137,16.289,16.348,16.302,16.433,16.656,16.477,16.474,16.423,16.527,16.643,16.802,17.147,16.759,16.739,16.771,16.813,16.92,17.027,16.875,16.677,16.693,16.781,17.036,16.962,17.113,17.142,17.164,17.206,17.301,17.473,17.677,17.801,17.827,17.791,17.955,18.092,18.242,18.124,18.183,18.232,18.504,18.382,18.696,18.811,18.753,18.689,18.805,18.922,18.904,19.172,19.268,19.3,19.303,19.296,19.46,19.716,19.803,19.968,20.006,20.037,20.341,20.464,20.613,20.715,20.641,20.779,20.629,20.727,21.002,21.337,21.473,21.593,21.55,21.326,21.593,21.775,22.265,22.403,22.474,22.474,22.69,22.895,23.115,23.075,22.801,22.865,23.039,23.182,23.433,23.342,23.352,23.366,23.489,23.324,23.493,23.744,23.704,23.89,23.851,23.936,24.141,23.856,24.007,24.296,24.555,24.573,24.966,24.912,25.115,25.288,25.551,25.608,25.601,25.674,25.743,25.717,25.913,26.061,25.921,26.11,26.253,26.234,26.146,26.377,26.483,26.521,26.5,26.492
"16","7","  Food \1\","DFXARA3",48.075,47.869,47.246,47.286,48.346,48.427,48.116,48.341,48.463,48.5,48.205,49.171,48.4,48.039,48.937,49.104,48.59,48.588,49.011,48.316,48.078,48.207,49.003,47.904,48.616,48.775,48.935,49.245,49.229,49.46,48.638,49.362,49.651,49.338,49.287,49.751,49.287,49.523,49.445,49.122,49.556,49.392,49.546,49.811,49.942,49.547,49.492,49.547,49.657,49.284,49.646,49.642,49.936,49.838,50.196,50.498,49.662,50.156,50.417,50.137,50.33,50.377,50.909,50.921,51.703,51.631,52.098,52.405,52.012,52.034,51.656,53.402,52.71,53.395,52.713,53.386,53.489,53.135,53.826,54.342,54.044,56.823,55.899,56.719,56.2,56.248,56.207,56.482,56.281,56.264,57.26,55.994,56.25,55.716,56.489,56.482,57.165,57.273,57.594,57.954,57.443,57.575,56.745,57.412,57.875,57.53,57.736,59.029,58.281,58.271,59.821,59.207,59.674,60.664,60.973,61.161,60.589,60.558,61.846,60.938,61.682,62.158,61.793,61.47,62.342,61.028,61.372,62.054,61.256,62.599,62.185,61.946
"17","8","  Energy goods and services \2\","DNRGRA3",38.18,37.889,37.846,37.356,37.904,38.345,38.384,38.011,37.813,38.341,38.791,37.388,37.921,38.19,40.082,39.888,39.091,39.404,38.857,38.783,39.308,39.157,39.195,39.552,39.07,38.63,38.949,40.334,40.094,40.28,39.814,39.276,39.471,39.491,40.135,40.1,40.619,40.742,41.75,41.109,41.019,41.258,41.445,41.336,41.094,41.962,42.302,42.704,43.573,43.664,43.154,42.536,42.808,42.369,42.449,43.222,43.776,42.545,42.603,44.391,43.974,44.326,44.522,44.845,44.586,45.479,45.621,46.448,46.294,47.222,45.614,45.847,45.313,46.355,46.611,47.092,47.283,47.815,48.382,47.896,48.19,48.723,48.691,48.398,48.836,48.583,48.993,49.768,50.044,50.466,50.348,50.81,50.921,51.025,50.653,51.562,50.584,51.681,50.71,50.885,52.925,52.502,52.555,51.299,51.631,52.222,53.28,53.639,53.771,54.124,54.264,54,53.479,53.983,54.344,54.796,55.077,54.692,54.769,55.41,55.643,56.269,56.931,56.213,56.373,56.424,56.779,57.269,57.394,57.954,58.428,58.351
"18","9","  Market-based PCE \3\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
