"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"19","12","Income receipts on assets","W074RC1",4.3,5.2,5.5,5.9,7.8,10.2,11.2,10.4,11.7,14.7,20.1,26.3,32,36.7,41.4,47.7,54.8,58.4,58.2,60.5,65.7,68.5,68,64.8,61.3,63.3,68.5,73.4,78.2,81.5,85.8,94.3,90,79.6,74,77.1,88.3,103.5,114.5,106.8,93.3,90.9
"20","13","  Interest receipts \1\","B112RC1",3.6,4.3,4.6,4.9,6.6,8.9,9.8,9,10.4,13.3,18.1,23.1,28.5,33.1,37,42.6,49.3,52,52.7,55.9,61.4,64.1,63.1,59.6,56.2,58,63,67.5,71.9,75.2,79.1,86.7,82.1,71.5,64.6,66.7,76.4,90.9,100.6,91.9,78.7,75
"21","14","  Dividends","B081RC1",NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2.1,2.3,2.4,2.9,2.5,2.6
"22","15","  Rents and royalties","S230541",0.8,0.8,0.9,1,1.1,1.3,1.3,1.3,1.3,1.3,1.9,3.1,3.3,3.5,4.3,4.9,5.4,6.2,5.3,4.4,4.1,4.2,4.5,4.8,4.5,4.5,4.5,4.6,4.8,4.6,5.1,6.3,6.5,6.6,7.6,8.5,9.8,10.3,11.5,12,12.1,13.4
"23","16","Current transfer receipts","W075RC1",16.2,21.1,25.2,34,37.3,39.3,48.7,55,61.4,71.1,72.7,79.5,81,79.1,82.4,89,94.5,105,100,109,118.1,133.5,158.2,180.3,198.1,212.3,224.2,234,246.4,265.3,291.1,313.9,348,382.3,421.3,439.4,454.3,456.7,485.1,505,597.8,655.9
"24","17","  Federal grants-in-aid","B089RC1",14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,164,175.1,184.2,191.1,198.4,212.6,232.9,247.3,276.1,304.2,338,349.2,361.2,359,380.8,395.5,482.4,531.5
"25","18","  From business (net)","W076RC1",0.5,0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.2,3.6,4.2,4.4,6.7,4.9,5.4,6.4,7.1,7.9,9.2,10.5,12,13.5,15.2,17.7,21.6,24,28.6,29.8,32.6,33.8,36.5,36.5,38.4,41.3,44.3,46.1,50.3
"26","19","  From persons","B246RC1",1.1,1.2,1.4,1.7,1.7,2,2.4,2.9,3.3,3.7,4.1,4.7,5.7,6.4,7.2,8.1,9.2,10.6,11.2,12,13.4,14.9,18.7,21.9,23.5,25.2,26.5,27.8,30.3,31.1,34.2,38,42,45.6,49.5,53.7,56.5,59.2,63.1,65.2,69.4,74.1
"27","20","Current surplus of government enterprises","B115RC1",1.5,1.5,1.4,1.6,1.5,0.9,0.4,0.4,0.3,0.3,-0.3,-1.2,-2.4,-1.6,-0.2,1.5,3.2,2.8,3.1,4.8,6.7,6.9,7.3,8.3,9.9,10.5,13.5,15.6,14.2,12.5,13.3,10.4,8,6.1,3.3,1,0.1,-1.3,-9.1,-12.3,-10.5,-10.8
"28","21","    Current expenditures","W024RC1",97.5,113,128.5,142.8,158.6,178.7,207.1,226.3,246.8,268.9,295.4,329.4,362.7,393.6,423.7,456.2,498.7,540.9,578.6,618.3,667.4,731.8,795.2,847.6,889.1,936.6,982.7,1022.1,1063.2,1117.6,1198.6,1281.3,1389.9,1466.8,1535.1,1609.3,1704.5,1778.6,1910.8,2017,2031.7,2090
"29","22","Consumption expenditures","A991RC1",79.8,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,418.1,441.4,471,504.5,547,577.5,606.2,634.2,668.2,701.3,730.2,764.5,808.6,870.6,930.6,994.2,1049.4,1096.5,1139.1,1212,1282.3,1368.9,1449.2,1425.5,1443.5
"30","23","Government social benefit payments to persons","B109RC1",13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.3,271.4,305.1,333,353.4,384.3,404.8,402.9,433.7,456.7,498.1,534.6
"31","24","Interest payments \1\","B111RC1",4.4,5.3,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,39.4,38.2,46.2,48.4,53.2,56.8,60.8,61,59.4,61.4,63.5,67.3,70.6,72.8,75.2,78.8,83,83.5,85.1,85.6,87.3,93,101.1,108.1,106.7,110.4
"32","25","Subsidies","B114RC1",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,7.1,3,1.4,1.6
"33","26","Less: Wage accruals less disbursements","B116RC1",0,0,0.2,-0.2,0,0,0,0,0,0.2,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","27","    Net state and local government saving","A924RC1",8,7.1,6.5,15.6,15.7,9.3,2.5,7.4,13.1,18.7,13,8.8,7.6,-2.2,4.9,23.9,22.4,20.7,12,17.2,20.1,6.2,-5.8,-1.4,-0.9,8.2,9.2,23,36.3,46.9,41.8,41.3,-15.9,-54.1,-38.8,-8.4,25.9,51,12.2,-72.2,-78,-25.3
"35","28","Social insurance funds","B118RC1",0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.5,3.4,6.9,7.4,4.7,1.9,1.2,1.7,1.9
"36","29","Other","B119RC1",7.8,6.9,6.2,15.4,15.4,9,2,6.8,12.2,17.2,11.2,7.5,6.3,-3.4,3.7,22.5,21,18.9,9.8,14.7,17.8,4.2,-8.2,-4.5,-5.1,3.6,5.1,20.2,35.1,45.2,40.1,39.3,-18.5,-55.6,-42.2,-15.3,18.5,46.4,10.4,-73.4,-79.7,-27.3
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Total receipts","W077RC1",112.3,126.3,141.9,165.7,181.7,197.3,220.6,245.7,273,301.3,324.6,356.8,388,408.4,446.6,500.2,543,584.7,612.9,658.6,710.9,762.9,815.2,873.1,916.4,974.8,1024.2,1078.9,1134.7,1200.4,1280.2,1366.4,1425.2,1465.1,1547.8,1653,1786.7,1887.1,1982,2007.6,2020.9,2143
"39","31","    Current receipts","W023RC1",105.5,120.1,134.9,158.4,174.3,188.1,209.6,233.7,259.9,287.6,308.4,338.2,370.2,391.4,428.6,480.2,521.1,561.6,590.6,635.5,687.5,738,789.4,846.2,888.2,944.8,991.9,1045.1,1099.5,1164.5,1240.4,1322.6,1374,1412.7,1496.3,1601,1730.4,1829.7,1923.1,1944.8,1953.6,2064.7
"40","32","    Capital transfer receipts","AD06RC1",6.8,6.2,7,7.3,7.3,9.2,11,12,13.1,13.7,16.2,18.6,17.8,16.9,18,20.1,22,23,22.3,23.1,23.4,25,25.8,26.9,28.2,29.9,32.4,33.8,35.2,35.9,39.8,43.8,51.2,52.4,51.5,52,56.2,57.4,58.9,62.8,67.3,78.3
"41","33","  Total expenditures","W079RC1",117.4,132.3,148.4,162.3,179.3,202.6,232.4,250.6,268.6,295.5,326.4,363.3,393.3,421,451.5,491.4,541.5,589.5,629.8,674.1,728.4,801.7,866.2,918,956.9,1007.7,1060.1,1104.7,1156.4,1215.5,1310.9,1404.5,1524.5,1609.5,1678.9,1757.2,1852.6,1931.4,2075,2188.8,2196.3,2237
"42","34","    Current expenditures","W024RC1",97.5,113,128.5,142.8,158.6,178.7,207.1,226.3,246.8,268.9,295.4,329.4,362.7,393.6,423.7,456.2,498.7,540.9,578.6,618.3,667.4,731.8,795.2,847.6,889.1,936.6,982.7,1022.1,1063.2,1117.6,1198.6,1281.3,1389.9,1466.8,1535.1,1609.3,1704.5,1778.6,1910.8,2017,2031.7,2090
"43","35","    Gross government investment","A799RC1",28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,329,348.8,349.3,336.5
"44","36","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0,0
"45","37","    Net purchases of nonproduced assets","AD09RC1",1,1.1,1.6,1.7,1.7,1.9,1.9,1.7,1.6,1.6,1.7,1.8,2,2,2.2,2.6,3.1,3.7,4.2,4.3,4.9,5.7,5.8,5.9,5.9,6.2,6.6,6,5.8,7.6,8.6,8.6,10.1,11.2,11.4,11.4,10.3,11.1,13.8,14.1,14.4,14.5
"46","38","    Less: Consumption of fixed capital","A919RC1",9.3,10.6,11.8,12.8,14.3,17.7,20.2,21.3,22.6,24.5,27.5,31.8,36.3,39.5,40.9,42.3,44.6,47.8,51.4,54.8,58.5,63,66.9,69.9,73.8,78.1,83.1,87.2,91.6,96.2,102.1,109.7,116,121.8,127.3,137.1,150.1,162.7,178.7,191.2,199,204
"47","39","  Net lending or net borrowing (-)","AD03RC1",-5.1,-6,-6.4,3.4,2.4,-5.3,-11.9,-4.9,4.5,5.8,-1.8,-6.6,-5.3,-12.6,-4.9,8.8,1.5,-4.9,-16.9,-15.5,-17.5,-38.8,-51,-44.9,-40.5,-33,-35.9,-25.7,-21.7,-15.1,-30.6,-38.1,-99.3,-144.4,-131.1,-104.2,-66,-44.3,-93.1,-181.1,-175.4,-94
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","net of interest payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
