"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Durable goods","DDURRA3",4.459,4.553,4.616,4.917,4.892,4.925,5.008,4.937,4.846,5.267,5.518,5.737,5.957,6.008,7.432,6.513,6.718,5.754,5.65,5.632,5.664,5.774,5.432,6.368,6.582,6.544,6.503,6.321,6.124,6.421,6.448,6.845,7.46,7.865,8.119,7.906,7.544,7.555,7.421,7.66,7.8,7.616,7.564,7.475,6.978,6.871,7.014,7.271,7.665,7.954,8.108,7.721,7.969,8.15,8.085,7.882,7.449,7.604,7.789,8.167,8.344,8.567,8.63,9.01,9.19,9.387,9.503,9.653,10.029,10.291,10.631,10.304,11.263,11.281,11.666,12.158,12.736,12.228,12.629,12.624,12.385,12.918,12.814,12.847,13.645,13.936,14.563,14.477,14.75,14.71
"12","4","    Motor vehicles and parts","DMOTRA3",6.968,7.092,6.709,7.64,8.145,7.685,7.904,8.367,8.702,10.569,10.92,10.961,11.761,12.314,15.118,14.015,13.476,11.317,10.4,9.705,9.824,10.239,8.375,11.989,13.08,12.789,12.657,11.738,10.992,12.196,11.781,12.966,15.28,16.793,17.39,16.169,14.348,13.821,13.363,14.33,15.301,14.673,14.231,14.267,12.033,11.862,11.871,12.648,13.944,14.805,15.391,13.554,14.969,15.536,15.825,14.944,13.014,13.372,13.774,14.983,15.686,16.297,16.068,17.425,17.948,18.428,18.455,18.823,19.282,19.491,20.413,18.56,22.417,21.971,22.708,22.966,24.39,21.985,22.642,22.521,21.397,23.306,22.628,21.991,24.833,25.247,26.779,26.445,27.124,26.602
"13","5","    Furnishings and durable household equipment","DFDHRA3",8.663,8.924,9.347,9.807,9.401,9.905,10.094,9.477,8.751,8.975,9.747,10.546,10.356,10.005,12.993,10.466,11.733,9.739,9.934,10.262,10.183,10.177,10.293,10.845,10.598,10.723,10.705,10.733,10.514,10.492,10.646,11.106,11.717,11.867,12.307,12.294,12.453,12.841,12.604,12.637,12.516,12.495,12.426,12.136,12.137,11.936,12.347,12.536,12.775,13.054,13.119,13.188,12.968,13.084,12.69,12.628,12.611,12.781,13.011,13.284,13.327,13.488,13.831,13.935,14.186,14.331,14.706,14.939,15.642,16.166,16.35,16.598,16.606,16.828,17.331,18.231,18.53,18.49,19.065,18.91,18.975,19.168,19.187,19.371,19.695,20.153,20.812,20.653,20.805,21.017
"14","6","    Recreational goods and vehicles","DREQRA3",0.557,0.57,0.594,0.607,0.578,0.587,0.583,0.553,0.565,0.561,0.581,0.608,0.691,0.69,0.846,0.738,0.761,0.687,0.71,0.741,0.764,0.775,0.788,0.83,0.87,0.87,0.866,0.87,0.887,0.912,0.951,0.99,1.012,1.043,1.072,1.09,1.089,1.115,1.114,1.126,1.102,1.077,1.095,1.067,1.07,1.048,1.085,1.117,1.185,1.207,1.21,1.214,1.198,1.215,1.179,1.189,1.194,1.228,1.262,1.284,1.278,1.303,1.345,1.376,1.394,1.443,1.462,1.488,1.588,1.681,1.735,1.788,1.825,1.92,1.998,2.177,2.287,2.37,2.504,2.587,2.591,2.619,2.686,2.82,2.874,2.903,3.038,3.054,3.125,3.166
"15","7","    Other durable goods","DODGRA3",6.419,6.388,6.597,6.621,6.605,6.622,6.65,6.671,6.503,6.472,6.408,6.535,6.56,6.671,7.08,6.822,6.976,6.866,6.98,7.198,7.248,7.422,7.576,7.841,7.851,7.771,7.677,7.624,7.514,7.857,8.289,8.458,8.228,8.543,8.58,8.891,8.73,8.852,9.037,9.214,8.97,8.741,9.246,9.175,9.008,8.952,9.191,9.371,9.232,9.407,9.447,9.607,9.449,9.612,9.459,9.446,9.422,9.531,9.723,10.055,10.223,10.572,10.631,10.886,10.77,10.927,11.107,11.023,11.443,11.708,12.221,12.239,12.684,12.569,13.098,14.155,15.294,15.019,15.147,14.935,14.912,15.332,15.192,15.489,15.868,16.789,17.039,17.181,17.481,17.457
"16","8","  Nondurable goods","DNDGRA3",21.725,22.097,22.199,21.908,21.98,22.195,22.059,22.346,22.431,22.492,22.294,22.658,22.947,23.213,23.614,23.09,23.515,23.172,23.66,23.937,23.738,24.29,24.717,25.079,25.235,25.351,25.118,25.154,25.396,25.328,25.647,26.079,26.35,26.836,27.017,27.565,27.876,27.806,27.824,28.047,28.217,28.324,28.717,28.529,28.273,28.529,29.05,29.449,29.832,30.08,30.195,30.381,30.457,30.79,30.61,30.631,30.813,31.226,31.249,31.674,31.937,32.065,32.314,32.495,32.673,32.784,33.084,33.042,33.608,34.249,34.919,34.986,35.32,35.658,36.191,37.534,37.807,38.165,38.44,38.333,38.764,39.052,39.016,39.193,39.964,40.455,41.099,41.108,41.565,41.656
"17","9","    Food and beverages purchased for off-premises consumption","DFXARA3",36.839,37.575,37.425,36.494,36.565,37.191,36.349,37.019,37.055,37.048,36.878,36.853,37.675,37.831,37.908,37.529,37.738,37.65,38.32,38.065,37.861,38.898,39.426,39.728,40.567,40.615,40.327,40.333,41.03,40.897,41.785,42.464,42.719,43.374,43.722,44.378,45.053,44.846,44.857,45.217,45.55,45.985,46.418,46.307,45.953,45.89,46.315,46.875,47.73,48.02,48.307,48.625,48.459,48.76,48.469,48.372,48.775,49.311,49.217,49.458,49.418,49.357,49.766,49.529,49.529,49.805,50.119,50.237,50.539,51.418,52.171,52.364,52.939,53.336,54.071,56.48,56.218,56.342,56.502,56.229,57.344,57.658,57.344,58.098,58.791,59.848,60.908,61.114,61.878,61.613
"18","10","    Clothing and footwear","DCLORA3",12.266,12.118,12.315,12.302,12.187,12.263,12.379,12.657,12.675,12.516,12.06,12.532,12.511,12.727,13.193,12.607,12.872,12.401,12.663,12.841,12.743,13.195,13.595,13.893,13.409,13.735,13.474,13.284,13.439,13.44,13.388,13.685,13.843,14.223,14.107,14.407,14.414,14.466,14.601,14.582,14.4,14.339,14.645,14.271,14.131,14.402,14.725,14.979,15.036,15.423,15.317,15.464,15.51,15.617,15.364,15.305,15.443,15.604,15.731,16.157,16.241,16.422,16.496,16.629,16.563,16.665,16.961,16.805,17.499,17.96,18.225,18.406,18.424,18.393,18.777,19.492,19.906,19.979,20.208,20.027,20.039,20.193,20.283,20.163,20.729,20.873,21.231,21.08,21.291,21.372
"19","11","    Gasoline and other energy goods","DGOERA3",28.035,28.988,29.286,29.213,29.88,29.946,30.251,29.907,29.638,30.082,30.098,30.451,30.611,31.771,32.386,31.604,32.858,32.615,33.452,34.168,34.032,34.421,34.939,35.361,35.487,35.368,35.762,35.681,35.88,35.983,36.722,37.689,38.301,39.238,39.646,40.728,41.132,41.214,40.71,41.608,42.182,41.678,42.492,42.39,42.629,43.904,44.686,45.086,45.166,45.254,45.09,45.088,45.47,46.537,45.732,45.738,45.181,46.341,45.308,45.435,46.721,46.825,46.766,47.869,49.034,48.523,48.365,48.771,49.627,50.851,52.403,52.192,51.949,53.271,54.514,55.106,55.149,56.538,57.296,57.584,57.479,58.035,57.902,58.962,60.192,60.279,60.918,60.802,62.14,62.937
"20","12","    Other nondurable goods","DONGRA3",11.314,11.793,11.94,11.957,12.126,12.081,12.249,12.235,12.522,12.841,12.976,13.476,13.6,13.729,14.194,13.83,14.361,14.005,14.387,15.169,14.877,14.944,15.166,15.568,15.842,15.771,15.534,15.921,15.761,15.642,15.678,15.783,16.058,16.264,16.56,17.033,17.273,17.156,17.16,17.324,17.641,17.777,18.021,18.024,17.648,17.872,18.539,18.857,19.164,19.169,19.435,19.545,19.793,20.162,20.391,20.625,20.788,21.095,21.367,21.928,22.376,22.593,22.922,23.284,23.638,23.731,24.059,23.903,24.338,24.658,25.353,25.208,25.76,26.16,26.366,27.288,27.901,28.495,28.75,28.825,29.131,29.421,29.529,29.247,30.025,30.379,30.806,30.86,30.984,31.229
"21","13","Services","DSERRA3",11.757,11.927,11.901,11.839,11.966,12.154,12.219,12.342,12.42,12.483,12.457,12.495,12.65,12.97,13.171,13.254,13.616,13.708,13.88,13.915,14.087,14.307,14.497,14.704,14.854,15.032,15.124,15.012,15.152,15.414,15.682,15.872,16.058,16.176,16.342,16.668,16.828,16.989,17.168,17.392,17.459,17.609,17.738,17.933,17.916,18.175,18.419,18.53,18.769,19.048,19.304,19.537,19.714,19.933,19.909,20.102,20.304,20.6,20.662,21.026,21.225,21.542,21.728,22.002,22.089,22.33,22.721,23.031,23.403,23.729,24.039,24.368,24.645,25.018,25.36,25.791,26.059,26.343,26.56,26.85,27.099,27.361,27.734,27.968,28.406,28.853,29.226,29.55,29.814,30.18
"22","14","  Household consumption expenditures (for services)","DHCERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.689,19.99,20.265,20.497,20.648,20.864,20.829,21.043,21.275,21.573,21.633,22.007,22.212,22.564,22.775,23.08,23.172,23.412,23.807,24.114,24.476,24.821,25.158,25.515,25.82,26.198,26.533,26.972,27.251,27.572,27.821,28.148,28.399,28.655,29.016,29.232,29.694,30.181,30.583,30.931,31.219,31.609
"23","15","    Housing and utilities","DHUTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.03,21.237,21.618,21.924,22.225,22.445,22.674,23.05,23.235,23.585,23.787,24.226,24.533,24.891,25.209,25.688,25.922,25.978,26.432,26.677,27.048,27.306,27.652,28.094,28.379,28.814,29.19,29.549,29.802,30.128,30.486,30.812,31.023,31.488,31.825,32.351,32.766,32.916,33.426,33.933,34.451,34.791
"24","16","    Health care","DHLCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.998,16.12,16.178,16.135,16.356,16.474,16.045,16.38,16.554,17.018,17.158,17.424,17.848,18.333,18.837,19.274,19.522,19.693,19.828,20.161,20.957,21.77,22.509,22.939,23.321,23.248,22.823,22.805,23.199,24.018,24.677,25.326,25.409,25.448,25.417,25.482,26.162,27.164,27.809,28.517,29.002,29.368
"25","17","    Transportation services","DTRSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.106,19.393,19.794,20.039,20.152,20.194,20.245,20.286,20.252,20.372,20.472,20.769,20.943,21.21,21.27,21.504,21.739,21.985,22.286,22.616,22.901,23.206,23.554,23.817,23.979,24.358,24.766,25.13,25.382,25.935,25.914,26.673,26.992,27.09,27.505,27.842,28.363,28.828,29.386,29.839,30.334,30.797
"26","18","    Recreation services","DRCARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.764,11.023,11.097,11.23,11.491,11.62,11.665,11.777,11.893,12.031,12.161,12.46,12.468,12.931,12.657,12.844,13.025,13.081,13.685,13.178,13.696,13.572,13.689,14.168,14.24,14.215,14.234,14.497,14.569,14.975,15.322,15.769,15.878,15.499,16.141,15.167,16.048,16.581,16.798,17.2,17.468,17.773
"27","19","    Food services and accommodations","DFSARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.669,28.036,28.643,28.965,28.486,28.915,28.532,28.568,28.794,28.569,28.51,28.999,29.285,29.573,29.897,30.245,30.291,30.391,30.442,30.848,31.553,31.958,32.219,32.479,33.223,34.161,34.654,35.334,35.976,36.043,36.256,35.929,35.63,35.32,35.706,36.065,37.434,37.76,38.173,38.216,38.179,39.007
"28","20","    Financial services and insurance","DIFSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.087,15.583,15.884,16.183,16.165,16.373,16.4,16.308,17.063,17.475,17.02,17.214,16.964,17.307,17.162,17.233,16.985,17.41,18.016,18.669,18.56,18.845,19.329,19.352,19.657,19.987,20.356,21.111,21.265,21.141,20.921,20.577,21.398,21.77,22.497,22.411,22.083,23.354,23.525,23.652,23.089,23.377
"29","21","    Other services","DOTSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.685,23.189,23.228,23.466,23.703,23.975,23.802,24.007,24.169,24.601,24.684,25.133,25.324,25.566,25.78,25.818,25.643,26.377,26.858,27.352,27.381,27.746,27.732,28.117,28.28,28.818,29.745,30.467,30.668,30.882,30.963,31.698,32.12,32.792,33.096,33.512,33.635,33.754,33.892,33.861,34.318,34.608
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.836,4.806,4.777,4.903,5.22,5.397,5.473,5.439,5.329,5.496,5.551,5.701,5.781,5.719,5.651,5.584,5.599,5.764,5.977,6.184,6.492,6.552,6.542,6.54,6.501,6.686,6.957,7.166,7.243,7.15,7.047,6.949,7.082,7.293,7.611,7.888,7.98,7.965,7.981,8.005,7.987,8.029
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.305,14.979,14.695,14.705,15.356,15.701,15.432,15.647,15.572,16.29,16.343,16.648,16.914,16.999,17.12,17.23,17.463,17.862,18.21,18.601,19.239,19.449,19.552,19.553,19.882,20.317,20.793,21.23,21.638,21.941,22.016,22.153,22.445,22.999,23.597,24.107,24.444,24.949,25.098,25.49,25.819,26.177
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.858,21.209,20.647,20.368,21.054,21.405,20.693,21.211,21.281,22.429,22.425,22.745,23.134,23.439,23.832,24.195,24.647,25.134,25.417,25.802,26.496,26.808,27.04,27.047,27.798,28.319,28.757,29.236,29.918,30.726,31.083,31.556,31.888,32.604,33.198,33.698,34.208,35.262,35.534,36.282,36.982,37.625
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.927,16.258,16.464,16.458,16.658,16.882,16.835,16.86,16.837,17.072,17.223,17.65,17.858,18.153,18.306,18.63,18.749,18.999,19.29,19.491,19.925,20.281,20.657,20.712,21.271,21.49,21.878,22.45,22.9,22.914,23.218,23.353,23.435,23.779,23.976,24.053,24.698,25.105,25.587,25.711,25.965,26.199
"35","26","  Energy goods and services \5\","DNRGRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.972,37.868,38.069,38.173,38.731,39.461,38.983,39.301,38.883,40.236,39.52,39.909,41.037,41.128,41.292,42.323,43.464,42.571,43.149,43.18,44.274,44.97,46.121,46.227,46.093,47.397,48.156,48.604,48.804,50.093,50.693,51.08,50.992,52.104,51.828,53.047,54.053,53.821,54.739,54.957,56.281,56.337
"36","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
