"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","            Compensation of general government employees","A194RC1",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5
"12","5","            Consumption of general government fixed capital \2\","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.4,10.2,9.1,8.2,7.4,8,8.9,9.7,10.4,11,11.9,12.7,12.9,13.4,13.9,14.4,15.2,16.1,16.7,17.4,18.3,19.6,21,22.5
"13","6","          Intermediate goods and services purchased \3\","W104RC1",2,2.1,2.1,2,2.3,3.2,3.1,3.7,3.5,4,4.4,4.1,7,18,26.4,30.7,28.5,8,5.8,8.1,10.6,10.6,17.5,23.6,27.2,23.3,23.7,23,27.3,28.6,27.6,26.7,27.9,32.5,34.3,35.3,38,45.2,53.2,59,61.6
"14","7","            Durable goods","W105RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.4,0.4,0.4,1.8,7.4,13.3,13.6,13.8,0.7,0.5,1,1.2,2,4.7,8.3,9.4,7.2,6.3,6.4,7.1,7.5,5.6,4.9,4.2,5.3,5.6,5,5.3,7.5,7.5,8.9,8.1
"15","8","            Nondurable goods","W106RC1",0.9,1,1,1,1.1,1.5,1.5,1.7,1.6,1.8,2.1,2,2.4,7.5,9.8,11.8,8.7,2.4,2.2,3.2,4.8,3.7,4.6,5.4,8.7,7.6,6.6,4.9,5.5,5.9,8.7,6.9,6.9,8.8,8.4,8.9,9.7,10.9,14.7,17.3,18.4
"16","9","            Services","W107RC1",1,1,1,0.9,1.1,1.4,1.4,1.6,1.5,1.8,1.9,1.8,2.7,3.2,3.3,5.3,5.9,4.9,3,3.9,4.5,4.9,8.3,9.9,9.1,8.5,10.7,11.7,14.6,15.2,13.3,14.9,16.8,18.4,20.4,21.4,22.9,26.8,31,32.8,35.1
"17","10","        Less: Own-account investment \4\","W108RC1",0.1,0.1,0.1,0.1,0.6,1.3,1.3,2.6,2,2.7,2.4,2,1.7,1.2,0.4,0.2,0.3,0.1,0.2,0.3,0.3,0.4,0.6,0.8,0.8,0.8,0.7,0.8,0.9,1,1.3,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.7,1.8,1.9
"18","11","              Sales to other sectors","W109RC1",0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.8,1.1,1.8,2.7,4.4,4.7,1.7,1.6,1.6,1.9,2.3,2,2.1,2.3,3.2,2.9,3.5,3.9,3.9,4.1,4.4,5,5.6,6.2,7.1,8.3,9,10.3,11.5
"19","12","Federal consumption expenditures \1\","A957RC1",1.5,1.6,1.5,1.4,1.7,2.4,2.2,4.3,3.9,4.5,4.9,4.9,9.4,27.1,48.2,61,60.7,26.9,20.8,21.2,23.3,22,34.4,44.2,48.3,43.9,43.9,45,49.5,50.9,49.9,49.7,51.6,57.8,60.8,62.8,65.7,75.7,87,95.3,98.3
"20","13","      Gross output of general government","W110RC1",1.6,1.6,1.6,1.5,2,2.8,2.9,4.9,4.3,4.9,5.3,5.3,10,28,49.6,63,64.5,30.7,21.5,21.6,23.6,22.5,35.2,44.7,48.9,44.6,45.2,45.8,50.7,52.1,51.1,50.8,52.6,58.9,61.9,64,67,77.5,88.2,96.6,99.7
"21","14","        Value added","W111RC1",1.1,1.1,1.1,1.1,1.4,2,2.1,3.9,3.4,3.9,3.9,4,5.9,12.8,25.7,34.8,38.6,25.4,19,17,17.2,16.8,22.6,26,26.6,26.5,27.5,28.7,29.9,31.1,31.8,33,34.4,36.5,38.4,40.7,42.4,47.2,51.5,56.3,59.9
"22","15","          Compensation of general government employees","B568RC1",0.9,0.9,1,0.9,1.2,1.7,1.8,3.6,3.1,3.6,3.5,3.5,5.1,10.7,21,27.3,30,16.2,10.3,9.6,10.7,11.1,16.6,19.3,19.1,18.3,19,19.6,20.2,21.3,21.7,22.6,23.7,25.2,26.5,28.5,30,34.3,37.9,41.9,44.9
"23","16","          Consumption of general government fixed capital \2\","B995RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,2.1,4.7,7.4,8.7,9.2,8.7,7.5,6.5,5.7,6,6.7,7.5,8.2,8.6,9.1,9.6,9.8,10.1,10.4,10.7,11.3,11.9,12.1,12.4,12.9,13.6,14.4,15.1
"24","17","        Intermediate goods and services purchased \3\","W113RC1",0.5,0.5,0.4,0.4,0.7,0.8,0.8,1,0.9,1,1.5,1.3,4.1,15.2,23.9,28.2,25.9,5.3,2.5,4.6,6.4,5.7,12.6,18.7,22.3,18.1,17.7,17.1,20.8,21.1,19.3,17.8,18.2,22.4,23.5,23.3,24.6,30.3,36.8,40.3,39.8
"25","18","          Durable goods","W114RC1",0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,1.7,7.3,13.2,13.6,13.7,0.6,0.4,0.9,1,1.8,4.5,8.1,9.2,6.9,6.1,6.1,6.7,7.1,5.2,4.5,3.7,4.8,5,4.3,4.6,6.6,6.6,7.8,6.8
"26","19","          Nondurable goods","W115RC1",0.1,0.2,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.7,0.6,1,6,8.5,10.5,7.5,1.1,0.7,1.5,2.9,1.4,2.4,3.3,6.6,5.5,4.1,2.5,3,2.8,5,3,2.7,4.4,3.8,4,4.3,5.1,8.5,10.4,10.6
"27","20","          Services","W116RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.6,1.4,1.9,2.1,4.1,4.7,3.5,1.4,2.2,2.5,2.4,5.7,7.4,6.5,5.7,7.5,8.5,11.1,11.1,9,10.3,11.8,13.2,14.7,15,15.6,18.6,21.7,22.1,22.4
"28","21","      Less: Own-account investment \4\","W117RC1",0,0,0,0,0.4,0.4,0.7,0.6,0.5,0.4,0.4,0.5,0.5,0.6,0.3,0.2,0.2,0,0,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5
"29","22","            Sales to other sectors","W118RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1,1.8,3.6,3.7,0.6,0.4,0.2,0.3,0.6,0.2,0.2,0.3,1,0.5,0.9,0.9,0.7,0.6,0.5,0.6,0.7,0.7,0.8,1.1,0.8,0.8,0.9
"30","23","    Defense consumption expenditures \1\","A997RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1,1.2,1.7,7.1,25.1,46.8,59.1,59.3,23.6,17.2,16.3,16.9,17.1,30.1,38.9,41.2,37.1,36.8,38.7,43.1,44,40.1,41,42.7,46.6,48.3,48.8,50.6,59.9,69.9,77.1,78.1
"31","24","      Gross output of general government","W085RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1.1,1.2,1.7,7.3,25.7,47.8,60.6,62,26.3,17.2,16.4,16.9,17.2,30.6,39.1,41.4,37.3,37.3,39.1,43.6,44.7,40.5,41.5,43,47,48.7,49.2,51.1,60.8,70.3,77.3,78.4
"32","25","        Value added","W086RC1",0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.4,4.1,11.9,24.7,34,37.6,22.8,16,13.8,13.7,13.1,18.9,22.2,22.9,23,23.7,24.6,25.5,26.1,26.7,27.4,28.3,30,31.1,32.7,33.8,37.8,41.4,45.1,47.9
"33","26","          Compensation of general government employees","B237RC1",0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,1.1,3.6,10.1,20.3,27,29.3,14.1,7.8,6.9,7.8,8,13.5,16.1,16,15.4,15.8,16.1,16.5,17,17.3,17.7,18.3,19.4,20.1,21.6,22.6,26.3,29.3,32.4,34.7
"34","27","          Consumption of general government fixed capital \2\","B432RC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.5,1.7,4.4,7,8.2,8.8,8.2,6.9,5.9,5.2,5.4,6.1,6.9,7.5,7.9,8.5,9,9.1,9.4,9.8,10,10.6,11,11.1,11.3,11.5,12,12.7,13.2
"35","28","        Intermediate goods and services purchased \3\","W087RC1",0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,3.2,13.8,23.2,26.6,24.4,3.5,1.3,2.6,3.2,4.1,11.7,16.9,18.5,14.3,13.6,14.5,18.1,18.6,13.8,14,14.7,17,17.6,16.5,17.3,23,29,32.3,30.5
"36","29","          Durable goods","A998RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,1.4,7.2,13.1,13.5,13.6,0.5,0.3,0.8,1,1.7,4.4,8,9.1,6.8,6,6.1,6.7,7.1,5.1,4.4,3.6,4.6,4.7,4,4.2,6.2,6.2,7.5,6.5
"37","30","          Nondurable goods","A725RC1",0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.6,5.2,8.7,9.7,7.3,0.7,0.3,0.7,0.8,0.9,2.3,2.8,4.2,3.2,1.7,1.7,2.2,2.1,1.8,1.9,2.3,2.9,2.7,2.9,3.2,4.7,7.3,8.4,7.6
"38","31","          Services","A489RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1.1,1.4,1.4,3.4,3.6,2.2,0.7,1.1,1.5,1.5,5,6.1,5.1,4.2,5.9,6.7,9.3,9.5,6.9,7.7,8.8,9.6,10.2,9.7,9.9,12.2,15.5,16.4,16.5
"39","32","      Less: Own-account investment \4\","W088RC1",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
"40","33","            Sales to other sectors","W089RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.9,1.5,2.7,2.7,0,0.1,0,0,0.4,0,0,0,0.3,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.7,0.3,0.2,0.2
"41","34","    Nondefense consumption expenditures \1\","A542RC1",0.7,0.7,0.7,0.6,0.9,1.7,1.3,3.3,2.9,3.4,3.7,3.2,2.3,2,1.5,1.9,1.5,3.3,3.6,4.9,6.4,4.9,4.3,5.3,7.1,6.9,7.1,6.3,6.3,6.8,9.8,8.7,9,11.3,12.4,14,15.1,15.9,17,18.2,20.2
"42","35","      Gross output of general government","W128RC1",0.7,0.7,0.7,0.6,1.2,2.1,2,3.9,3.3,3.9,4.2,3.6,2.7,2.3,1.7,2.4,2.5,4.4,4.3,5.2,6.6,5.3,4.6,5.7,7.5,7.3,7.9,6.7,7.1,7.4,10.6,9.3,9.6,11.9,13.2,14.8,15.8,16.6,17.9,19.2,21.3
"43","36","        Value added","W129RC1",0.4,0.4,0.4,0.4,0.8,1.4,1.4,3.2,2.6,3.1,3,2.6,1.8,0.9,1,0.7,1,2.6,3.1,3.2,3.5,3.7,3.7,3.8,3.7,3.5,3.8,4.1,4.4,5,5.1,5.6,6.1,6.6,7.3,8,8.6,9.4,10.1,11.3,12.1
"44","37","          Compensation of general government employees","W130RC1",0.4,0.4,0.4,0.4,0.7,1.3,1.2,3,2.4,2.9,2.7,2.4,1.5,0.6,0.6,0.3,0.6,2.1,2.5,2.6,2.9,3.1,3.1,3.2,3.1,2.9,3.2,3.5,3.7,4.3,4.4,5,5.4,5.8,6.4,7,7.4,8,8.6,9.5,10.1
"45","38","          Consumption of general government fixed capital \2\","B546RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1.2,1.4,1.6,1.7,1.9
"46","39","        Intermediate goods and services purchased \3\","W131RC1",0.3,0.3,0.3,0.2,0.5,0.7,0.6,0.7,0.7,0.8,1.2,1,0.9,1.4,0.7,1.7,1.4,1.8,1.2,2,3.2,1.6,0.9,1.9,3.8,3.8,4.1,2.6,2.7,2.4,5.5,3.7,3.5,5.3,5.9,6.8,7.3,7.2,7.8,8,9.2
"47","40","          Durable goods","A543RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.4,0.4,0.3
"48","41","          Nondurable goods","A729RC1",0.1,0.1,0.1,0,0.1,0.3,0.2,0.3,0.3,0.3,0.6,0.5,0.3,0.8,-0.2,0.8,0.2,0.4,0.4,0.8,2.1,0.5,0.1,0.5,2.4,2.2,2.5,0.8,0.8,0.7,3.3,1.1,0.4,1.5,1.2,1.1,1.1,0.4,1.2,1.9,3
"49","42","            Commodity Credit Corporation inventory change","B826RC1",0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,-0.4,0.5,-0.4,-0.5,0.1,0.3,1.5,0.3,-0.4,0.2,2,1.9,2,0.2,-0.1,0.3,2.1,0.2,-0.8,0.3,-0.2,-0.4,-0.4,-1.5,-0.9,0.2,0.7
"50","43","            Other nondurable goods","B828RC1",0.1,0.1,0.1,0,0.1,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.6,1,0.3,0.5,0.6,0.3,0.5,0.3,0.3,0.4,0.4,0.6,0.9,0.4,1.2,1,1.2,1.2,1.3,1.5,1.6,1.9,2.1,1.8,2.3
"51","44","          Services","A544RC1",0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.8,0.7,1.1,1.2,0.7,1.1,1,0.9,0.7,1.3,1.3,1.4,1.6,1.7,1.8,1.7,2.1,2.5,3,3.6,4.5,5.3,5.7,6.4,6.2,5.7,5.9
"52","45","      Less: Own-account investment \4\","W136RC1",0,0,0,0,0.3,0.4,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4
"53","46","            Sales to other sectors","W137RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.9,1.1,0.6,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.7,0.3,0.6,0.4,0.4,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.7,0.8
"54","47","State and local consumption expenditures \1\","A991RC1",5,5.3,5.4,5.1,5,5.5,5.9,4.6,5.1,5.1,5.4,5.8,6.3,7,7.5,7.7,8.2,9.2,10.9,12.3,13.7,14.9,16.1,17.1,18.2,19.7,21.6,23.4,25.8,28.6,30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.8
"55","48","      Gross output of general government","W138RC1",5.5,5.9,6,5.7,5.8,6.9,7.2,7.2,7.2,7.9,7.9,7.9,8.2,8.4,8.4,8.5,9,10.2,12.2,13.8,15.3,16.7,18.1,19.3,20.5,22.1,24.2,26.3,29,32.2,34.8,37.9,41.3,44.3,47.9,52.3,57.6,64.5,72,81.2,91.9
"56","49","        Value added","W139RC1",4.1,4.2,4.3,4.1,4.1,4.6,4.8,4.4,4.7,4.9,5,5.1,5.3,5.6,5.9,6.1,6.5,7.4,8.8,10.2,11.1,11.8,13.2,14.4,15.5,16.9,18.2,20.4,22.6,24.7,26.5,28.9,31.6,34.2,37.1,40.4,44.2,49.6,55.5,62.5,70
"57","50","          Compensation of general government employees","B251RC1",3.5,3.6,3.7,3.6,3.5,3.9,4.2,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.7,4.9,5.4,6.2,7.3,8.5,9.4,10.1,11.2,12.3,13.3,14.7,15.8,17.6,19.6,21.6,23.1,25.5,27.9,30.2,32.9,35.9,39.3,44.1,49.5,55.9,62.6
"58","51","          Consumption of general government fixed capital \2\","B986RC1",0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.1,1.1,1.2,1.5,1.7,1.7,1.7,2,2.2,2.2,2.2,2.4,2.8,3,3.1,3.3,3.5,3.7,3.9,4.2,4.5,4.9,5.5,6,6.6,7.4
"59","52","        Intermediate goods and services purchased \3\","W140RC1",1.5,1.6,1.7,1.6,1.7,2.3,2.3,2.7,2.5,3,2.9,2.8,2.9,2.8,2.5,2.5,2.6,2.8,3.4,3.6,4.2,4.9,4.9,4.9,4.9,5.2,6,5.9,6.4,7.5,8.3,8.9,9.7,10.1,10.8,11.9,13.4,14.9,16.5,18.7,21.8
"60","53","          Durable goods","B989RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3
"61","54","          Nondurable goods","B337RC1",0.7,0.8,0.9,0.8,0.9,1.2,1.2,1.3,1.3,1.5,1.4,1.4,1.5,1.4,1.3,1.3,1.3,1.3,1.6,1.7,2,2.3,2.2,2.1,2.1,2.1,2.5,2.4,2.5,3.1,3.6,3.9,4.1,4.3,4.6,4.9,5.4,5.8,6.2,6.9,7.8
"62","55","          Services","A988RC1",0.6,0.7,0.7,0.7,0.7,1,1,1.1,1.1,1.3,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.4,1.7,1.8,2.1,2.5,2.5,2.5,2.6,2.8,3.2,3.2,3.5,4.1,4.3,4.6,5,5.2,5.7,6.4,7.3,8.3,9.3,10.7,12.7
"63","56","      Less: Own-account investment \4\","W144RC1",0.1,0.1,0.1,0.1,0.3,0.9,0.7,2,1.5,2.2,1.9,1.5,1.2,0.6,0.1,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.4
"64","57","            Sales to other sectors","W145RC1",0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1.1,1.3,1.4,1.6,1.7,1.8,1.9,2,2.2,2.4,2.6,3,3.2,3.5,3.9,4.4,4.9,5.5,6.3,7.2,8.2,9.5,10.6
"65","58","              Tuition and related educational charges","B1065C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1.2,1.4,1.6,1.9
"66","59","              Health and hospital charges","B1066C1",0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1,1,1.3,1.3,1.5,1.8,2.1,2.5,3.2,3.5
"67","60","              Other sales","W146RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.2,1.3,1.3,1.4,1.6,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.9,3.2,3.6,3.9,4.3,4.7,5.2
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
