"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","3","  Employee and self-employed contributions","A1585C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.6,0.9,1.4,1.8,1.9,1.5,1.6,1.5,1.5,2.1,2.5,2.7,2.8,3.4,3.9,4.3,5,5,5.9,7.1,7.3,7.8,9.1,9.6,10.1,14.2,16.6,18.4,21
"12","4","  Employer contributions","A1580C1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5,3.8,2.9,3.2,3.2,3.9,3.9,4,4.3,4.9,5.4,6,6,7.5,8.9,9.2,10.8,12,12.2,12.6,16.3,17.4,19.3,22.1
"13","5","    Government","L313051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.4,2.9,1.4,0.5,0.9,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.5,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.6,2,2.4,2.8
"14","6","    Other","L313061",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.3,2.1,2.1,2.4,2.3,2.3,3.1,3.7,3.7,3.8,4.1,4.5,5,5.5,5.4,6.8,8.1,8.3,9.8,10.8,11,11.4,14.7,15.4,17,19.3
"15","7","  From the rest of the world","W781RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
"16","8","Interest received","L313071",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.5,1.8,2.1,2.5
"17","9","    Current expenditures","A1670C1",0,0,0,0,0,0,0,0.1,0.2,0.7,0.8,0.9,0.8,0.8,0.7,0.7,1.4,3.7,2.7,2.6,3.9,6.2,4.5,4.8,5.6,7.5,8.2,9,11.1,14.8,15.2,16.7,20,20.3,21.4,21.7,23.6,26.1,31.8,36.8,40.1
"18","10","Administrative expenses (consumption expenditures)","L313091",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.5,0.5,0.4,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.9,1,0.9,1.1,1.5
"19","11","Government social benefits","W026RC1",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,16.1,19.2,19.6,20.6,20.9,22.7,25.1,30.9,35.7,38.6
"20","12","  To persons","A1588C1",0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.8,0.6,0.7,0.4,0.5,1.2,3.5,2.6,2.4,3.6,5.9,4.1,4.5,5.3,7.2,7.7,8.5,10.7,14.2,14.6,15.9,19,19.3,20.3,20.6,22.3,24.7,30.3,35.1,38
"21","13","  To the rest of the world","W872RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6
"22","14","    Net saving","B243RC1",0.1,0.1,0.1,0,0,0,0,0.2,1.4,1,1,1,1.6,2.2,3.3,3.9,4.3,3.2,3.2,2.4,1.5,-0.3,2.6,2.7,2.1,1.2,1.5,1.7,1.1,-2.7,-0.7,0.4,-2.3,-0.6,0.8,1.3,0.4,6,4.1,3.2,5.7
"23",NA,"          State and local"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","    Current receipts","A743RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1.1
"25","16","Contributions for government social insurance","B104RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1
"26","17","  Employee and self-employed contributions","B738RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"27","18","  Employer contributions","A744RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7
"28","19","    Government","B739RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"29","20","    Other","B740RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6
"30","21","Interest received","B746RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"31","22","    Current expenditures","A745RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1
"32","23","Administrative expenses (consumption expenditures)","B741RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"33","24","Government social benefit payments to persons","B742RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9
"34","25","    Net saving","B118RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2
