"","Table 2#3#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"13","6","    Recreational goods and vehicles","DREQRV1",-16.7,-20.7,-17.8,-6.7,3.7,-1,-1.1,2.5,-0.4,-2.4,1.5,2.1,13.9,0.1,8.8,2.7,2.5,15.4,5.8,3.8,-0.9,2.1,-3.5,-1.3,-3.2,-3.1,1.1,3.5,2.7,-2.9,0.7,-0.5,-1.1,-0.2,-1.2,-1.4,-1.1,0.6,2,2.3
"14","7","    Other durable goods","DODGRV1",-1.8,-4.5,-10.1,0.3,3.8,-1.9,2.1,0.9,-3.3,0.8,3,8.8,15.3,5,11.6,4,0,5.7,1.1,-0.5,-1.4,6.1,-0.2,0.5,-2.1,-1.3,1,0.7,0.1,0.5,0.3,-0.2,-0.4,0.5,2.6,-0.5,0,2.4,2.2,5
"15","8","  Nondurable goods","DNDGRV1",-5.2,-14.5,-14.2,-0.5,10.6,3.3,0.3,3.5,-4.9,-1.6,0.9,8.4,16.4,11.9,5.8,4.4,8.3,12.9,6.1,-3.2,0.3,8.6,1.1,-0.3,0.2,-0.6,1.4,2.9,2.4,0.1,1.2,0.4,0.5,1,1.3,1.8,3.2,1.8,3.6,4.3
"16","9","    Food and beverages purchased for off-premises consumption","DFXARV1",-6.4,-19.2,-18.2,0.5,12.4,7.8,0.2,3.1,-7.6,-1,0.6,10.5,19.6,15.2,2.7,3,10.4,15.2,4.9,-4,0.5,10.5,2.4,-1.9,-0.1,-1.8,0.7,3,4.2,-1,0.8,0.5,0.8,1.1,2,2,4.2,0.1,3,4.5
"17","10","    Clothing and footwear","DCLORV1",-4.6,-12.6,-17.9,1.9,15.9,-1.8,0.1,5.3,-2.4,-2.3,1.1,9.8,19.8,11.8,12.9,8.7,8.3,8,6.1,-4.3,-0.8,8.7,-1.7,-0.2,0.2,-0.3,1.9,1.5,0.4,0.9,1.3,0.6,0.3,0.9,0.9,0.9,2.8,4.1,5.7,5.4
"18","11","    Gasoline and other energy goods","DGOERV1",-3.3,-11.1,-2.4,-2.1,5.5,-0.9,2.7,2,-1.8,-3.4,0.1,4.6,5.9,3.5,2.1,-0.2,4,12.4,13.8,1.5,1.1,2.8,1.8,3.8,1.6,1.1,3.1,4.6,-1.1,1.4,1.8,0.1,0.5,0.3,-0.9,3.4,2.4,3.3,1.8,3.1
"19","12","    Other nondurable goods","DONGRV1",-3.5,-4.7,-5.5,-5,2.5,-0.1,-0.5,3.5,-1.6,-1,1.8,3.1,9.3,6.7,5.8,3.4,4.6,13.8,5.6,-2.2,0.4,6.5,0.4,1.5,0.3,1,1.7,3.2,2.4,1.6,1.6,0.2,0.3,1.4,1.5,1.4,2,2.4,3.8,3.7
"20","13","Services","DSERRV1",-2.9,-7,-9.7,-6.3,-1.3,2.2,1.6,3.7,0.1,-0.3,0.8,3.5,7.1,6.2,4.6,3.3,6.1,7.3,5.3,1.7,2.6,4.9,3.7,3.9,2.5,1.7,2.4,2.9,2.4,2.7,2.7,1.8,1.9,1.5,1.9,1.9,2.9,3.3,4.3,5.2
"21","14","  Household consumption expenditures (for services)","DHCERV1",-2.8,-7,-9.8,-6.4,-1.6,2.3,1.6,3.7,0.2,-0.3,0.8,3.5,7,6.2,4.6,3.3,5.9,7,5.2,1.7,2.5,4.8,3.8,4,2.5,1.7,2.3,2.9,2.4,2.7,3,1.8,1.9,1.5,1.9,1.8,2.9,3.3,4.3,5.2
"22","15","    Housing and utilities","DHUTRV1",-2.7,-5.2,-9.4,-9.1,-7.6,0.3,1.6,3.7,2.5,-0.2,0.3,1.3,2.1,0.5,0.8,1,1.7,3.2,5.3,2.9,3,3.8,3.9,4.5,2.7,1.5,1.5,1.8,1.9,1.6,1.9,1.3,1.1,1.1,0.9,0.9,1.4,1.7,2.3,3.2
"23","16","    Health care","DHLCRV1",0.2,-7,-11.9,-1.5,3.7,5.8,2,2.7,2,-0.7,3.1,2.5,6.4,8,7.4,4.5,8.5,10.8,5.6,1.4,2.1,4.6,4.9,4.8,3.5,3.5,3.6,4.1,3.9,2.9,6.7,2.3,2.5,2.8,3.4,3.1,4.4,6.4,6.3,7.1
"24","17","    Transportation services","DTRSRV1",-0.8,-5.1,-7.7,-5.7,2,2.2,-0.6,-0.6,0.7,0.4,-1.8,1.8,6.1,2.2,-0.5,1.3,3.4,7.4,7.3,6.9,4.5,7.1,3.7,4.7,3.4,2.4,3.4,3.7,2.9,2.9,2.2,2.9,2.2,0.4,1.3,1.7,1.8,3.7,4.5,6.2
"25","18","    Recreation services","DRCARV1",-1.9,-4.5,-4.8,-5.7,0.7,1.4,1.9,3.7,1.9,-0.9,0.9,3.6,5.3,7.4,12.3,5,6.5,7.7,3.6,1.8,0.8,3.3,3.6,4.6,4.3,3.3,3,3.7,3.8,2.4,3.7,2.8,2.4,2.2,2.8,2,2.6,3.5,5.4,4.2
"26","19","    Food services and accommodations","DFSARV1",-6.1,-13.7,-15.6,-3.3,7.6,7.5,0.2,3.6,-4.7,-2,1.2,9,16.9,12.2,4.3,3.3,11.2,11.6,4.6,-2.7,1.8,7.5,2.2,-0.9,1.1,-0.2,1.1,3.3,2.5,3.6,2.7,2,2.5,2.2,1.6,2,3.9,5.5,5.2,6
"27","20","    Financial services and insurance","DIFSRV1",-2.3,-9.1,-11,-4.6,3.6,4.3,4.5,4.4,-2.4,-0.7,2.8,2.6,6.8,4.6,4.2,3.8,10.6,4.3,5.2,1.8,1.9,1.2,6.1,11.4,3.6,3,3.2,3.3,1.6,5.7,4.4,3.4,4.1,0.1,4.2,2.5,6,2.3,7.4,8.9
"28","21","    Other services","DOTSRV1",-3.5,-7.3,-8,-4.5,1.5,1.1,1.6,5,-0.7,1.2,0.8,4.6,8.9,11.6,10.5,6.3,4.6,6.9,5,2.2,2.4,5.1,3.7,3.7,1.7,1.6,3.5,3.4,2.7,2.9,2.8,1.1,1.6,2.2,2.2,2.6,2.9,3.2,4.4,4.8
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRV1",-3.8,-8.6,-7.1,-3.8,5.5,0.7,2.7,5.2,-2.6,0.2,-0.1,4.8,8.5,7.3,4.6,3.5,10.3,16.3,7.7,0.9,4,8.4,0.2,1.8,2.5,2.6,4.6,4.5,2.6,1.8,-6.4,1,1.4,1.6,0.5,2.8,3.7,3.2,3.8,6.2
"30","23","    Gross output of nonprofit institutions \2\","DNPERV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.9,1.9,2.4,2.4,2.9,3.5,4.6,5.3,6.5
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,2.3,2.1,2.8,3.4,3,3.4,5.2,5.9,6.6
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRV1",-3.7,-8.3,-11,-4.8,2.4,1.1,1.1,4.1,-0.5,-0.8,1,5.2,11,7.8,7.1,4.6,6.2,8.5,5.5,0.1,1.5,6.1,2,2.2,1.1,1,2.3,3,2.2,2.2,1.8,1.3,1.4,1.3,1.5,1.3,2.3,3.1,4.3,4.7
"34","26","  Energy goods and services \5\","DNRGRV1",-2.9,-8.6,-2.2,-1.7,3.3,-1.1,1.4,1.1,-1.5,-2.8,-0.1,3.2,4.1,2.4,1.3,-0.2,2,8.8,10.4,1.2,0.8,2.2,1.5,2.9,1.2,1,2.2,3.2,-0.5,1.2,2.3,0.4,0.3,0.1,-0.6,2.1,1.6,2.2,1.5,2.7
"35","27","  Market-based PCE \6\","DPCMRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
