"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"20","13","Equals: Disposable personal income","A067RC1",4736.7,4921.6,5184.3,5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7
"21","14","Less: Personal outlays","A068RC1",4388.7,4636.2,4913.6,5170.8,5478.5,5794.2,6157.5,6595.5,7114.1,7443.5,7727.5
"22","15","        Personal consumption expenditures","DPCERC1",4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2
"23","16","        Personal interest payments \1\","B069RC1",111.3,107,113,130.6,147.3,159.7,169.5,176.5,200.3,203.7,191.3
"24","17","        Personal current transfer payments","W211RC1",40.5,45.6,49.8,52.9,57.6,63.9,69.5,76.2,83.4,91,97
"25","18","          To government","W062RC1",26,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4
"26","19","          To the rest of the world (net)","B070RC1",14.5,17.1,18.9,20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6
"27","20","Equals: Personal saving","A071RC1",348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2
"28","21","    Personal saving as a percentage of disposable personal income","A072RC1",7.3,5.8,5.2,5.2,4.9,4.6,5.3,3.1,2.9,2.7,3.5
"29","22","Household income","W380RC1",5321.1,5542.9,5847.6,6167,6558.2,6966,7499.8,7883.7,8530.9,8865.2,9050.3
"30","23","  Compensation of employees, received","W209RC1",3647.2,3790.6,3980.9,4178.8,4387.7,4668.6,5023.9,5348.8,5788.8,5979.3,6110.8
"31","24","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3
"32","25","  Rental income of households with capital consumption adjustment","W381RC1",83.1,112.3,140.8,152,167.6,173.4,188,204.5,211.7,228.4,214.6
"33","26","  Household income receipts on assets","W382RC1",877.9,868.4,912.7,965.1,1038,1119.7,1229.7,1204.5,1315,1307.4,1276.1
"34","27","    Household interest income","W383RC1",700.6,677.6,690.2,726.4,757.9,804.9,892.8,880.3,948.4,947.7,888.5
"35","28","    Household dividend income","W384RC1",177.3,190.9,222.5,238.7,280.1,314.8,336.9,324.2,366.5,359.8,387.5
"36","29","  Household current transfer receipts","W385RC1",753,799.3,836.2,887.8,936.2,963.3,995.3,1040.4,1103.7,1212.5,1310
"37","30","    Government social benefits","W401RC1",721.3,767.5,803.6,850.3,891,919.6,941,976,1028.3,1127.3,1232.4
"38","31","    From business (net)","W379RC1",10.4,8,6.7,11.7,15.2,11.5,17.1,22.8,31.3,34,23.3
"39","32","    From nonprofit institutions \2\","W386RC1",21.2,23.8,26,25.9,30,32.3,37.2,41.5,44.1,51.2,54.2
"40","33","  Less: Contributions for government social insurance, domestic","A061RC1",455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5
"41","34","Less: Household current taxes","W055RC1",610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4
"42","35","Equals: Disposable household income","W388RC1",4710.6,4896.4,5157.1,5423.1,5726.3,6039.8,6473.4,6776.2,7298.6,7630.3,7999.9
"43","36","Less: Household outlays","W389RC1",4378.8,4625.5,4898.3,5152.3,5466.8,5799.2,6154,6596,7117.2,7421.5,7691.6
"44","37","        Household consumption expenditures","W390RC1",4144.5,4389,4648.4,4880.1,5157.9,5458.4,5787.5,6197.4,6665,6962.6,7234.2
"45","38","          Purchases from business and government","W391RC1",3836.1,4060.3,4306.1,4523.9,4784.8,5061.3,5367.9,5757.5,6198.4,6460.8,6689.5
"46","39","          Purchases from nonprofit institutions \3\","W392RC1",308.5,328.7,342.3,356.2,373.1,397,419.6,439.9,466.6,501.8,544.7
"47","40","        Household interest payments \1\","B069RC1",111.3,107,113,130.6,147.3,159.7,169.5,176.5,200.3,203.7,191.3
"48","41","        Household transfer payments","W394RC1",122.9,129.5,136.9,141.6,161.6,181.2,197,222.1,251.9,255.1,266.1
"49","42","          To government","W395RC1",25.8,28.4,30.7,32.4,34.6,37.7,39.3,43.3,48.1,52.6,56.1
"50","43","          To the rest of the world (net)","W396RC1",12.7,14.8,16.5,17.7,19.6,21.7,23.7,25.7,27.7,30.9,33.2
"51","44","          To nonprofit institutions \4\","W397RC1",84.4,86.3,89.7,91.5,107.5,121.8,133.9,153.1,176,171.6,176.8
"52","45","Equals: Household saving","W398RC1",331.8,270.9,258.8,270.8,259.5,240.6,319.4,180.1,181.4,208.9,308.3
"53","46","    Household saving as a percentage of household disposable income","W399RC1",7,5.5,5,5,4.5,4,4.9,2.7,2.5,2.7,3.9
"54","47","Nonprofit institution income","W400RC1",131.7,135.3,142.9,151.3,170.9,188.8,196.7,221.8,248.7,241,240.8
"55","48","  Rental income of nonprofit institutions with capital consumption adjustment","W159RC1",1.6,1.7,2.1,2.6,2.8,3.1,3.5,3.6,3.6,4,4.2
"56","49","  Nonprofit institution income receipts on assets","W402RC1",31.8,32,35,40.2,42.7,45.8,39.5,42.3,45.7,38.6,33.5
"57","50","    Nonprofit institution interest income","W403RC1",21.5,20.6,22.5,25.5,26.5,30.9,26.5,30.6,35.7,28.8,23.3
"58","51","    Nonprofit institution dividend income","W404RC1",10.3,11.5,12.4,14.7,16.2,14.9,13,11.7,10,9.7,10.2
"59","52","  Nonprofit institution transfer receipts","W405RC1",98.4,101.6,105.8,108.5,125.4,139.9,153.8,175.9,199.5,198.4,203.2
"60","53","    From government","W406RC1",8.2,9.2,9.5,9.9,10.2,10.2,10.9,11.6,12.3,14,15.5
"61","54","    From business (net)","W407RC1",5.8,6.1,6.6,7.1,7.7,7.9,8.9,11.1,11.2,12.7,10.9
"62","55","    From households \4\","W397RC1",84.4,86.3,89.7,91.5,107.5,121.8,133.9,153.1,176,171.6,176.8
"63","56","Less: Nonprofit institution outlays","W412RC1",115.5,120.9,130.9,135.8,149.2,149,174.7,194.2,217,244.9,266.9
"64","57","      Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRC1",92.3,94.6,102.4,107.2,115.7,112.2,131,145.4,165.4,186.2,205
"65","58","        Gross output of nonprofit institutions \5\","DNPERC1",400.8,423.3,444.7,463.4,488.8,509.3,550.5,585.3,632,688,749.7
"66","59","          Health","DHLGRC1",229,243.9,253.7,263.4,274,287.7,308.4,324.6,342.3,369,403.4
"67","60","          Recreation","DRCGRC1",14.6,15.6,16.2,16.8,17.2,18,19,20.9,23.1,25.1,26.5
"68","61","          Education","DEDGRC1",56.5,59.8,63.1,67,71.8,74.7,80.8,86.3,93.8,103,110.4
"69","62","          Social services","DSSGRC1",31,33.4,35.3,38.3,40.7,44.6,50,56.5,65.4,75.5,82.5
"70","63","          Religious organizations","DREORC1",31.4,33,36.6,38.6,42.6,44.2,47.8,49.8,53.6,58.1,61.7
"71","64","          Foundations and grantmaking and giving establishments","DFXORC1",9.3,9.8,9.2,9.1,8.8,8.2,9.4,11.4,13.5,16.7,18.1
"72","65","          Social advocacy establishments","DSAORC1",3.8,4.1,4.3,4.7,5,5.3,5.5,6,6.8,7.6,9.4
"73","66","          Civic and social organizations","DCIORC1",5.2,5.5,5.6,5.8,5.9,5.9,6.5,7,7.8,8.5,9.3
"74","67","          Professional advocacy","DSNGRC1",19.9,18.3,20.6,19.7,22.9,20.8,23.1,22.7,25.8,24.6,28.2
"75","68","        Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",308.5,328.7,342.3,356.2,373.1,397,419.6,439.9,466.6,501.8,544.7
"76","69","          Health","DHLRRC1",228.6,243.5,252.1,259.9,270.1,287.1,302,314.9,331.7,356,392.9
"77","70","          Recreation","DRCRRC1",7.4,8.1,8.6,9.1,9.4,9.8,10.2,11,11.5,12.1,12.2
"78","71","          Education","DEDRRC1",32.1,34.1,36.2,38.5,41.9,44.6,47.6,50.4,54.2,58.5,59.6
"79","72","          Social services","DSSRRC1",14.3,15.8,17.2,19.1,20.9,23.4,26.6,29.9,34.8,40.4,45.1
"80","73","          Religious organizations","DRELRC1",3.4,3.5,3.8,4,4.4,4.6,4.7,4.8,4.9,5,4.9
"81","74","          Foundations and grantmaking and giving establishments","DGIVRC1",0.8,0.9,0.8,0.8,0.8,0.9,0.9,0.8,0.7,0.6,0.4
"82","75","          Social advocacy establishments","DSASRC1",0.9,1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7
"83","76","          Civic and social organizations","DCISRC1",3.9,4.2,4.4,4.7,4.9,4.9,5.4,5.6,5.9,6,6.1
"84","77","          Professional advocacy","DSNRRC1",17,17.7,18.2,19,19.6,20.5,20.9,21.1,21.3,21.6,21.7
"85","78","      Nonprofit institution current transfer payments","W419RC1",23.2,26.2,28.6,28.7,33.5,36.7,43.7,48.8,51.7,58.7,61.9
"86","79","        To government \6\","W420RC1",0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.7,0.6,0.3,0.2
"87","80","        To the rest of the world (net)","W421RC1",1.7,2.2,2.4,2.5,3.1,4,5.9,6.5,6.9,7.2,7.5
"88","81","        To households \2\","W386RC1",21.2,23.8,26,25.9,30,32.3,37.2,41.5,44.1,51.2,54.2
"89","82","Equals: Nonprofit institution saving","W422RC1",16.3,14.5,11.9,15.5,21.6,39.9,22.1,27.6,31.7,-4,-26.1
"90","83","    Nonprofit institution saving as a percentage of nonprofit income and receipts from sales","W423RC1",3.7,3.1,2.5,3,4,6.8,3.6,4.2,4.4,-0.5,-3.3
"91",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","84","  Nonprofit institution income included in personal income \7\","W424RC1",47.4,49,53.2,59.8,63.4,67.1,62.8,68.7,72.7,69.3,64
"93","85","  Transfer payments between nonprofit institutions \8\","W426RC1",25.4,26.9,26.3,28,32.5,34.3,42.2,47.5,55.1,59.3,60.3
"94","86","  Nonprofit institution income and receipts from sales","W442RC1",440.2,464,485.2,507.5,543.9,585.9,616.3,661.7,715.4,742.8,785.5
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2. Includes benefits paid to members, specific assistance to individuals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","and grants and allocations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","4. Includes individual contributions and bequests from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","5. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","government, and the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","6. Consists of excise taxes paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","7. Consists of rental income of nonprofit institutions (line 48), income receipts on assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","(line 49), transfer receipts from government (line 53), and transfer receipts from business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","(line 54).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","8. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","households through the support of other nonprofit institutions, plus their payments to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Note. Estimates in this table exclude nonprofit institutions serving business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
