"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"21","12","    Consumption expenditures","A997RZ2",-1.44,-3.2,-2.56,-1.93,-2.19,-0.91,-0.66,-0.44,0.26,0.27,0.31,0.97,1.44,1.79,1.49,0.88,1.75,1.31,1.04,0.32,-0.2,-0.18,-0.03,-1.35,-0.97,-1.06,-0.81,-0.31,-0.32,-0.55,0.31,-0.17,0.67,1.22,1.66,1.08,0.23,0.18,0.37,1.28,1.25,0.67
"22","13","    Gross investment","A788RZ2",-0.66,-0.46,-1.71,-0.79,0.36,0.66,0.38,0.34,0.08,-0.02,0.56,0.3,0.43,0.58,0.89,0.8,1.23,0.94,0.6,-0.49,0.04,0.17,-0.32,-0.19,-0.59,-0.31,-0.18,-0.03,-0.38,0.05,0.11,0.06,0.14,0.35,0.27,0.26,0.13,0.22,0.18,0.56,0.23,0.19
"23","14","      Structures","A808RZ2",0.05,-0.12,0.15,-0.07,-0.01,-0.06,-0.02,-0.07,0.01,0.01,-0.09,0.08,-0.03,0.09,0.11,-0.02,0.14,0.06,0.06,-0.06,-0.14,-0.04,-0.13,0.04,-0.01,0.02,0.05,-0.04,-0.03,-0.03,-0.04,-0.01,-0.02,0.02,0.06,-0.03,-0.01,0,0.06,0.12,0.13,0.01
"24","15","      Equipment and software","A873RZ2",-0.71,-0.34,-1.86,-0.72,0.37,0.73,0.4,0.41,0.08,-0.03,0.65,0.21,0.46,0.49,0.78,0.82,1.09,0.88,0.54,-0.43,0.18,0.21,-0.19,-0.23,-0.58,-0.33,-0.23,0.01,-0.35,0.08,0.15,0.07,0.15,0.33,0.21,0.29,0.15,0.22,0.13,0.45,0.1,0.19
"25","16","  Nondefense","A825RZ2",0.28,-0.11,0.52,0.82,-0.08,0.63,0.42,0.12,0.55,0.81,0.14,0.73,0.18,-0.64,0.64,-0.24,0.69,0.4,-0.01,-0.59,0.86,0.89,0.26,0.77,-0.08,-0.18,-0.05,-0.1,0.33,0.1,0.26,0.28,0.54,0.86,0.35,0.12,0.11,0.39,-0.1,0.75,0.78,0.9
"26","17","    Consumption expenditures","A542RZ2",0.45,-0.03,0.44,0.76,-0.12,0.57,0.35,-0.01,0.45,0.46,0.19,0.57,0.19,-0.49,0.39,-0.38,0.56,0.35,-0.19,-0.46,0.74,0.72,0.1,0.56,-0.14,0.1,-0.16,-0.26,0.36,-0.1,0.08,0.46,0.56,0.71,0.33,0.13,0.04,0.27,-0.11,0.65,0.72,0.68
"27","18","    Gross investment","A798RZ2",-0.17,-0.09,0.08,0.06,0.05,0.05,0.07,0.13,0.1,0.35,-0.05,0.16,-0.01,-0.15,0.25,0.14,0.13,0.05,0.18,-0.13,0.12,0.17,0.16,0.2,0.06,-0.28,0.11,0.16,-0.02,0.19,0.17,-0.18,-0.02,0.15,0.02,-0.01,0.08,0.12,0.02,0.11,0.06,0.22
"28","19","      Structures","A830RZ2",-0.15,0.01,0.09,0.03,0.08,-0.03,0.04,0.08,0.04,0.19,-0.09,0.02,-0.02,-0.22,-0.03,0.03,0.02,0.05,0.09,-0.24,-0.02,0.08,0.08,0.08,0.06,-0.1,0.01,0.01,-0.11,0.04,-0.03,-0.17,-0.02,0.09,0.01,-0.08,-0.07,0.02,0.04,-0.01,0.03,0.13
"29","20","      Equipment and software","B880RZ2",-0.02,-0.09,-0.02,0.03,-0.03,0.08,0.03,0.06,0.06,0.16,0.04,0.14,0.01,0.08,0.27,0.12,0.11,-0.01,0.09,0.11,0.14,0.09,0.08,0.12,0,-0.17,0.1,0.15,0.08,0.16,0.2,-0.01,0.01,0.06,0.01,0.08,0.15,0.09,-0.02,0.12,0.02,0.09
"30","21","State and local","A829RZ2",1.59,1.36,1.57,1.18,1.56,2.13,2.12,0.43,0.21,1.88,0.85,-0.04,-1.15,0.03,0.63,1.91,3.3,3.43,0.78,2.01,2.03,2.29,1.18,1.24,0.85,1.54,1.62,1.45,2.24,2.52,2.91,1.86,2.49,2.22,-0.04,-0.11,-0.15,0.57,0.88,0,-0.57,-1.09
"31","22","  Consumption expenditures","A991RZ2",2.14,2.16,1.92,1.57,1.49,2.03,2.23,0.64,0.89,0.95,0.31,-0.1,-0.18,0.66,0.51,0.83,2.28,2.77,0.53,1.5,1.48,1.47,0.93,1.1,0.96,1.24,1.15,0.93,1.37,2.17,1.92,1.17,1.85,1.77,-0.16,-0.01,0.2,0.37,0.8,-0.11,-0.33,-0.63
"32","23","  Gross investment","A799RZ2",-0.55,-0.81,-0.35,-0.39,0.07,0.11,-0.11,-0.21,-0.68,0.93,0.54,0.06,-0.97,-0.64,0.12,1.09,1.01,0.66,0.25,0.51,0.55,0.82,0.25,0.15,-0.11,0.3,0.47,0.51,0.87,0.35,0.99,0.69,0.64,0.45,0.12,-0.1,-0.34,0.21,0.08,0.11,-0.24,-0.46
"33","24","    Structures","A842RZ2",-0.64,-0.86,-0.36,-0.54,-0.09,-0.02,-0.09,-0.18,-0.65,0.85,0.4,-0.05,-0.96,-0.73,-0.09,0.8,0.73,0.48,0.17,0.35,0.17,0.6,0.27,0.03,-0.19,0.06,0.28,0.43,0.6,-0.01,0.69,0.53,0.58,0.42,0.06,-0.17,-0.44,0.03,-0.17,0.01,-0.25,-0.5
"34","25","    Equipment and software","B881RZ2",0.09,0.05,0.02,0.14,0.16,0.13,-0.03,-0.03,-0.03,0.08,0.14,0.1,-0.01,0.09,0.21,0.29,0.28,0.18,0.09,0.16,0.38,0.21,-0.03,0.11,0.08,0.24,0.19,0.08,0.27,0.36,0.3,0.16,0.06,0.03,0.07,0.07,0.1,0.18,0.25,0.1,0.01,0.04
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
