"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"30","23","      Luggage and similar personal items (part of 119)","DLUGRX1",6.5,6.6,6.9,7.9,9.9,11.6,11.3,12.4,14,16.4,20.5,23.3,24.6,24.6,24,25.6
"31","24","      Telephone and facsimile equipment (67)","DTCERX1",1.6,1.7,1.7,2,2.6,3.3,3.9,4.6,6.3,8,9.4,12.8,16.3,17.4,17.4,18.8
"32","25","  Nondurable goods","DNDGRX1",1437.7,1479.2,1522.7,1580.2,1660.7,1714.5,1745.4,1780.1,1840.7,1892.8,1953.4,2005,2042.9,2019.1,1983.4,2041.3
"33","26","    Food and beverages purchased for off-premises consumption","DFXARX1",548.4,553.9,558.8,565.5,587.3,600.5,607.5,608.9,616.5,623.9,644.5,663,673.2,666,657.3,673.1
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX1",481.8,484.5,487,491.3,509.8,519,524.4,525.5,533.4,539.7,558.2,572.2,580.5,574,566.3,577.1
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX1",66.3,69,71.3,73.8,77,81.1,82.8,83,82.8,83.8,86,90.4,92.4,91.7,90.7,95.8
"36","29","      Food produced and consumed on farms (6)","DFFDRX1",0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3
"37","30","    Clothing and footwear","DCLORX1",201.1,210.8,217.8,231.1,246.2,258.1,260.6,268.6,282.6,296,314,328.7,340.1,338.1,322.4,341
"38","31","      Garments","DGARRX1",163,170.7,176.4,186.8,198.4,208.1,210.3,217.5,229.3,240.7,256.3,267.7,276.8,275.9,263.9,279.7
"39","32","        Women's and girls' clothing (10)","DWGCRX1",91.2,95.7,97.9,105,113.7,121,122.7,127.5,134.8,142.3,152.5,159,164.8,164.9,157.4,166.6
"40","33","        Men's and boys' clothing (11)","DMBCRX1",63.7,66.9,70,72.6,75,76.9,76.8,78.6,82.9,86.3,91,95.5,98.4,97.1,93.1,99.1
"41","34","        Children's and infants' clothing (12)","DCICRX1",8,8.1,8.4,9.2,9.7,10.2,10.7,11.3,11.7,12.2,12.9,13.2,13.7,13.9,13.3,14
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRX1",38.1,40.2,41.5,44.3,47.9,50.2,50.4,51.2,53.3,55.3,57.7,61,63.3,62.2,58.5,61.4
"43","36","    Gasoline and other energy goods","DGOERX1",264.3,268.5,273.9,283.7,292.4,287.1,289.2,294,301.9,305.9,303.8,296.9,294.4,280.6,281.1,281.3
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX1",233.8,238.8,246.1,256.1,263.5,261.3,263.6,267.5,276.3,282.1,283.8,278.9,276.8,265.3,263.1,264.2
"45","38","      Fuel oil and other fuels (29)","DFULRX1",32.2,31.1,28.9,28.5,29.9,26.3,26.1,27,26,24,20,18,17.6,15.4,17.8,17
"46","39","    Other nondurable goods","DONGRX1",442.8,462.4,487.9,514.1,546,574,592.7,612.2,642,668.2,691.1,717.3,737.5,739.7,725.8,750.7
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRX1",116.9,125.1,136.9,154.4,173,189.3,205.8,218,234.7,247.5,254.7,265.7,276.7,280.6,284.8,286.9
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRX1",58.8,61.6,64.9,70.6,78.7,85.5,89.5,95.7,101.6,107.7,119.1,128.3,137.6,138.1,132.2,145.5
"49","42","      Household supplies (parts of 32 and 36)","DHOURX1",72.9,76.2,79.7,81.2,84.8,85.5,86,88.1,93.9,98,102.2,105.9,109,107.9,102.9,107.4
"50","43","      Personal care products (part of 118)","DOPCRX1",52.7,56,59,61.7,65.4,68.6,70.5,72.7,75.7,78.6,81.5,84.6,86.5,88,85.5,91.5
"51","44","      Tobacco (127)","DTOBRX1",90,91.2,91.5,88.2,82.3,80.3,78.9,76.1,74.7,74.1,71.1,69.9,66.9,64.7,60.7,58.8
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRX1",53.7,53.8,54.8,55.4,57.4,59.5,57.2,56.3,56.1,57.2,57.5,58.1,56.5,56.1,54,58.8
"53","46","      Net expenditures abroad by U.S. residents (131)","DNFRRX1",1.9,2.1,4.2,4.6,4.5,5.2,5.6,6,5.8,5.4,5,4.9,4.7,4.7,6.1,5.1
"54","47","Services","DSERRX1",4208.5,4331.7,4465.3,4662.1,4853.1,5093.6,5219.1,5318.5,5418.2,5562.7,5726.8,5875.6,5990.2,6017,5935.5,5991.8
"55","48","  Household consumption expenditures (for services)","DHCERX1",4068.9,4183.6,4327.6,4511,4690.8,4918.2,5029.3,5109.8,5199.4,5345.1,5515.1,5640.6,5745.2,5745.6,5660.5,5714
"56","49","    Housing and utilities","DHUTRX1",1234.8,1261.6,1290.3,1329.7,1371.7,1413.6,1451.4,1461.9,1480.2,1512.8,1582.6,1616.8,1626.6,1637.8,1654.9,1669.2
"57","50","      Housing","DHSGRX1",1017.3,1037.1,1066,1100.6,1138.7,1174.2,1213.7,1219.4,1233,1264.1,1328.9,1367.1,1373.1,1387.8,1403.7,1410.7
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRX1",253.5,253.8,257.3,261.8,266.2,267.9,272.6,270.4,261,261.3,264.7,273.7,288.2,295.3,308.9,313.9
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX1",752,771.3,796.3,825.9,859.2,890.7,925.7,933.5,956.3,984.8,1044.5,1073.7,1066.8,1075.1,1077.2,1079.2
"60","53","        Rental value of farm dwellings (22)","DFARRX1",11.5,11.6,11.9,12.3,12.6,14.8,14.7,14.6,14.9,17.2,18.8,18.8,17.2,16.6,16.5,16.4
"61","54","        Group housing (23)","DGRHRX1",1,1.1,1,1.1,1.1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,1
"62","55","      Household utilities","DUTLRX1",218.6,225.7,225.3,230,233.6,240,237.6,242.8,247.6,248.8,253.7,250,253.6,250.4,251.7,258.8
"63","56","        Water supply and sanitation (25)","DWRSRX1",55.4,57.2,58.5,59.4,61.3,61.9,62.5,63.1,64,63.5,63.7,65.8,66.1,66.3,65.6,65
"64","57","        Electricity and gas","DELGRX1",163.1,168.4,166.8,170.5,172.2,178,175,179.6,183.5,185.3,190,184.2,187.5,184.1,186.2,194.1
"65","58","          Electricity (27)","DELCRX1",101.8,103.5,103.2,110.6,111.6,115.5,113.3,118.6,120.6,123,128.7,125.8,127.4,125.5,123,131.3
"66","59","          Natural gas (28)","DGHERX1",64.3,69.4,67.5,60.8,61.4,63.4,62.6,61.2,63.3,62.4,61.2,58.4,60.2,58.6,64.1,62.4
"67","60","    Health care","DHLCRX1",947.6,967.2,997.2,1029.6,1045.7,1081.6,1135.6,1202.4,1228.3,1267.4,1308.9,1333,1364,1396.5,1423.1,1442.9
"68","61","      Outpatient services","DOUTRX1",423.1,434.7,445,459.3,468.2,490.3,518,552.4,577.8,604.9,625.9,641,653.5,674.5,679.1,679.4
"69","62","        Physician services (44)","DPHYRX1",209.1,214.2,219.9,227.9,234.1,248.7,263,284.1,301.7,317.7,330.5,340.5,342.8,355.9,356.6,351.7
"70","63","        Dental services (45)","DDENRX1",71,71.5,72.8,74.9,76.6,79.7,83.5,87.1,86.6,88.7,89.1,88.7,89.8,89.8,87.1,86.1
"71","64","        Paramedical services (46)","DPMSRX1",144.1,150.1,153.2,157.4,158.3,162.6,172.2,181.7,189.6,198.5,206.3,211.9,221,229.1,235.9,242.3
"72","65","      Hospital and nursing home services","DHPNRX1",526.4,534.1,554.2,572.4,579.4,592.7,618.7,650.9,650.7,662.6,683,692,710.6,722.1,743.9,762.9
"73","66","        Hospitals (51)","DHSPRX1",425.3,430.5,446.9,462.3,471.1,484.3,510,540.9,537.9,549.3,567.9,576.7,592.7,602.6,623.6,641.1
"74","67","        Nursing homes (52)","DNRSRX1",101,103.7,107.4,110.1,108.3,108.3,108.6,110.1,112.8,113.3,115,115.4,117.9,119.5,120.4,121.9
"75","68","    Transportation services","DTRSRX1",213.9,231.4,248.8,259.2,273.5,286.3,283.6,275.9,276.9,283.8,286,285.5,287.9,272,248.1,250.2
"76","69","      Motor vehicle services","DMVSRX1",160.9,174.5,189.5,195.4,205.8,213.4,212.5,203.9,202.8,205.8,209.6,209.9,211,199.6,179.3,179.9
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRX1",124.6,130.1,134.7,139.5,144.3,148.7,150.9,148.8,151.8,153.5,155.1,150.8,150.9,140.9,128.6,127.7
"78","71","        Other motor vehicle services (61)","DOVSRX1",37.7,44.9,54.3,55.5,60.7,63.7,61,54.8,51,52.4,54.5,59.1,60.2,58.9,50.8,52.3
"79","72","      Public transportation","DPUBRX1",53,57,59.7,63.9,67.7,72.7,71,71.9,74.1,78,76.3,75.6,76.9,72.4,68.8,70.3
"80","73","        Ground transportation (63)","DGRDRX1",23,22.4,22.8,24.6,25.7,26.4,27,26.7,25.4,26.2,26.2,27,26.7,26.7,25.8,25.5
"81","74","        Air transportation (64)","DAITRX1",30.3,34,35.9,38.3,40.8,44.5,42.2,43.2,46.3,49.3,47.7,46,47.5,43,40.3,42.2
"82","75","        Water transportation (65)","DWATRX1",0.8,1.1,1.3,1.4,1.5,1.8,2,2.1,2.3,2.5,2.5,2.6,2.7,2.8,2.8,2.8
"83","76","    Recreation services","DRCARX1",245.3,256.4,264.5,273.3,286.7,295.3,294.9,296.8,306.1,322.1,328.2,339.9,353.2,348.6,334.8,341.4
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX1",96.9,100.4,103.1,106.1,106.2,106.9,105.6,106.3,108,111.4,115.2,118.9,123.2,123,118.5,122.2
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX1",68.1,69.1,69.4,72.5,77.4,80.6,81.4,79,80.7,85.4,85.4,86.9,91.9,93.3,92.2,93.1
"86","79","      Gambling (91)","DGAMRX1",57.9,62.4,66.3,66.9,73.1,76.6,77.2,80.4,85.6,92,92.9,97.9,99.4,94.1,89.1,89.1
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRX1",22.6,24.6,25.9,28.1,30,31.2,30.7,31.1,31.8,33.2,34.7,36.3,38.6,38.3,35.2,37.1
"88","81","    Food services and accommodations","DFSARX1",416,418.8,428,439.2,450,470.5,469.9,477.2,495,515.1,533.9,551.6,559.1,553.9,534.3,551
"89","82","      Food services","DFSERX1",365.2,365.8,370.9,381.4,390.9,408,411.3,417.3,431.6,447.8,461.3,475.2,481.2,473.8,455.7,467.3
"90","83","        Purchased meals and beverages (102)","DPMBRX1",355.4,355.9,361.1,371.5,380.9,397.9,401,406.9,421,436.9,449.5,462.2,468,460.9,442.8,455.2
"91","84","        Food furnished to employees (including military) (103)","DFOORX1",9.8,9.8,9.8,9.9,10,10.1,10.3,10.4,10.7,10.9,11.8,13,13.2,12.9,12.9,12.1
"92","85","      Accommodations (104)","DACCRX1",50.6,52.8,57,57.7,59,62.4,58.5,59.9,63.3,67.2,72.7,76.4,77.9,80,78.6,84
"93","86","    Financial services and insurance","DIFSRX1",489.9,508.2,525.7,559.1,606.2,666,661.3,658.9,659.2,675.5,698.4,716.4,739.8,732.3,676.1,667.8
"94","87","      Financial services","DFNLRX1",251.8,277.9,293.8,319.5,360.4,404.9,399.4,399.2,393.6,412,424,443.8,472.5,477.1,441.7,441.1
"95","88","        Financial services furnished without payment (107)","DIMPRX1",179.9,195,199.8,201.7,210,216.8,218.4,214.1,202.2,217.6,219.9,222.1,237.7,245.9,222.6,228.8
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRX1",79.8,90.6,100.4,121.3,151.6,187.8,180.9,185,191.6,194.4,204.1,221.7,234.7,231.1,219.3,211.6
"97","90","      Insurance","DINSRX1",251.8,238.7,238.5,244.5,247.2,260.7,262,259.6,266,263.5,274.4,272.6,267.5,255.4,234.7,227.1
"98","91","        Life insurance (110)","DLIFRX1",88.8,80,80.5,77.4,75,79.7,75.8,66.8,65.8,73.7,76.6,78.9,79.1,77.8,72,71.2
"99","92","        Net household insurance (111)","DFINRX1",6.2,6.3,5.7,6.5,6.6,6.5,6.5,6,5.5,6.1,6.2,6,6.9,7.3,6.4,6.6
"100","93","        Net health insurance (112)","DHINRX1",103.6,98.9,97.5,104.6,108.9,117.3,122,130,138.1,125.8,134,130.3,124.3,115.1,104.5,98.7
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRX1",52.5,52.7,53.8,55.2,56,56.2,57.2,57,57.1,58,57.6,57.4,57.3,55.5,52.1,51
"102","95","    Other services","DOTSRX1",524.3,542,574.1,621.7,656.7,704.2,732.6,737,753.9,768.4,777.1,797.4,815,805,789.5,791.7
"103","96","      Communication","DCOMRX1",89.4,97.5,107.5,117.7,132.9,153,163.2,167.5,171.4,179.1,184.4,195.2,212.1,218.2,213.4,220.9
"104","97","        Telecommunication services (71)","DTCSRX1",77.2,83.9,92.9,101.2,111.9,125.3,134.7,136.1,137.1,142.1,145.9,153.3,155.7,158,150.8,153.5
"105","98","        Postal and delivery services (68)","DPSSRX1",11.6,12,12.2,12.3,12,11.9,11.1,10.3,9.4,9,8.6,8.4,8.4,7.9,7.3,6.7
"106","99","        Internet access (72)","DINTRX1",1.7,2.8,3.6,5.2,9.7,16.3,17.8,21.2,25.1,28,29.9,33.5,50.2,55.6,60.1,66.9
"107","100","      Education services","DTEDRX1",153,157.4,161.8,166.5,170.4,176.3,179.6,175.5,174.2,170.6,170.3,171.5,174.2,176.1,176.8,179.8
"108","101","        Higher education (97)","DHEDRX1",93.1,95.7,99,102.3,105.5,109.9,113,110.9,111,108.8,108.7,109.2,110.2,111.5,113,115.3
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRX1",34.2,34.2,33.5,32.7,32.7,32.5,32.6,32,31.8,31.7,31.7,31.9,32.4,32.4,32.5,32.5
"110","103","        Commercial and vocational schools (99)","DVEDRX1",25.5,27.4,29.1,31.4,32.1,33.9,34,32.6,31.4,30.1,29.9,30.4,31.6,32.2,31.3,31.9
"111","104","      Professional and other services (121)","DPRSRX1",127.7,130,132.1,136.1,139.3,140.1,143,142.8,147.9,148,148.6,148.2,150.2,148.4,139.8,135.7
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX1",74.8,77,80.7,85.3,89.2,93.4,92.8,94.6,96.4,100.5,102.5,103.7,103.6,101.2,95.8,94.6
"113","106","      Social services and religious activities (120)","DSOCRX1",79.3,81,83.4,88,93.2,98.8,106.2,110.6,114.4,118.4,121,124.4,129.2,131.6,133,136.4
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRX1",47.6,47.9,50.8,55.3,54.9,56.3,53.4,51.3,52.4,55,55.3,55.6,57.5,57.3,52.1,49.8
"115","108","      Net foreign travel","DFORRX1",-28.7,-32,-27.9,-14.7,-14,-8.2,-2.3,-3.9,-2.2,-2.9,-5,-1,-10.7,-25.6,-19.5,-22.9
"116","109","        Foreign travel by U.S. residents (129)","DFTRRX1",72.8,75.9,82.8,93.2,96.3,106.8,101,94.6,91.8,98.6,99.8,104.1,102.3,99.1,94.5,97.1
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX1",101.6,107.8,110.7,107.9,110.3,115,103.4,98.5,93.9,101.5,104.7,105.1,113,124.7,114,120
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",142.2,150.9,140.5,153.9,164.9,177.8,191.3,209,218.7,217.6,211.7,235.1,245.2,272.9,277.1,280
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERX1",636.4,653.4,663.8,696.7,721,749,785.3,831.1,844.1,860.5,874.3,902.5,926,954.9,970.7,989.2
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRX1",497.2,505.4,526.8,546,558.6,573.1,595.2,622.5,625.2,642.8,662.6,667.5,681.1,683.4,695,710.3
"121","114","  Residual","A965RX1",-202.3,-176.8,-151.3,-118.1,-78.3,-49.7,-39.4,-24.4,-14.9,-4.5,-0.1,-3.8,-17,-26,-30.1,-60.9
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Note.  Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","chained-dollar estimates are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
