"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"26","19","    Housing","DHSGRA3",33.069,34.287,35.89,37.77,39.647,41.766,42.96,44.176,45.265,47.526,49.457,51.091,52.386,52.697,53.765,55.989,58.177,59.732,61.464,63.359,65.007,66.64,68.15,69.943,71.458,74.371,76.556,78.044,80.22,82.822,85.687,88.356,91.334,91.757,92.787,95.127,100,102.873,103.324,104.436,105.629,106.154
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRA3",48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,108.878,111.561,116.698,118.588
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRA3",28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.138,102.929,103.13,103.32
"29","22","      Rental value of farm dwellings","DFARRA3",59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,91.356,88.135,87.783,87.315
"30","23","      Group housing","DGRHRA3",294.158,293.634,281.516,272.045,271.399,288.023,302.104,292.664,251.604,211.89,191.1,165.785,147.847,141.305,115.595,117.399,106.319,93.917,89.858,97.549,105.505,113.925,119.198,104.497,108.925,107.449,112.16,120.443,118.247,124.151,124.892,124.051,118.906,108.004,107.703,103.687,100,100.389,104.001,105.305,106.507,108.047
"31","24","    Household utilities and fuels","DUTFRA3",60.387,61.719,62.603,66.768,69.586,67.117,69.529,72.693,74.504,76.615,76.063,73.919,70.621,70.412,72.377,73.284,75.594,76.158,78.385,81.926,83.472,81.732,83.372,82.942,86.839,88.776,90.204,92.68,92.012,93.703,95.391,96.877,95.955,98.127,99.663,99.54,100,97.907,99.082,96.923,98.412,100.669
"32","25","      Water supply and sanitation","DWRSRA3",39.228,41.672,42.395,46.073,48.375,50.557,51.14,50.583,50.687,51.283,54.689,57.184,56.871,56.491,58.574,62.542,66.96,71.115,74.163,76.018,78.854,79.163,78.02,76.554,80.222,83.842,86.982,89.81,91.791,93.265,96.231,97.2,98.107,99.088,100.412,99.654,100,103.262,103.759,104.09,102.975,101.965
"33","26","      Electricity, gas, and other fuels","DEGFRA3",65.139,66.178,67.092,71.329,74.245,70.687,73.494,77.456,79.635,82.076,80.679,77.641,73.786,73.605,75.57,75.929,77.861,77.702,79.762,83.713,84.954,82.694,85.067,84.922,88.891,90.329,91.226,93.593,92.089,93.851,95.098,96.76,95.258,97.815,99.421,99.503,100,96.316,97.69,94.812,97.082,100.434
"34","27","        Electricity","DELCRA3",33.321,35.338,36.658,38.836,41.216,42.224,45.048,47.161,51.465,53.953,54.957,57.391,57.014,57.424,60.993,61.494,63.587,64.216,67.205,70.052,71.044,71.55,73.614,72.342,76.473,78.066,79.123,80.419,80.179,85.89,86.726,89.705,88.033,92.111,93.703,95.574,100,97.693,98.972,97.496,95.518,102.023
"35","28","        Natural gas","DGHERA3",98.926,100.278,101.13,105.323,102.247,101.24,104.166,105.567,102.016,105.416,103.772,103.323,99.37,101.455,98.357,98.56,99.817,94.33,95.014,101.779,105.567,97.415,100.979,103.669,106.667,105.803,104.994,113.261,110.242,99.244,100.254,103.489,102.289,99.986,103.311,101.974,100,95.413,98.236,95.741,104.64,101.873
"36","29","        Fuel oil and other fuels","DFULRA3",299.422,279.105,270.402,297.999,322.93,253.25,251.469,280.954,271.104,267.431,241.721,185.089,154.422,144.294,147.158,146.72,149.255,159.323,153.545,159.769,154.316,139.467,140.95,145.336,149.007,156.364,161.006,155.789,144.431,142.469,149.599,131.371,130.565,135.006,130.244,119.844,100,90.157,88.282,77.083,89.036,84.892
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRA3",28.134,27.951,28.426,30.603,33.317,32.531,30.457,31.873,33.958,35.847,37.398,36.594,36.272,35.125,37.353,40.807,42.462,45.265,46.576,48.204,50.28,50.252,49.111,51.024,53.71,57.08,59.702,62.015,65.029,69.293,74.695,79.422,81.397,85.061,89.638,95.578,100,103.661,105.299,102.282,94.588,99.566
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRA3",22.318,21.921,22.729,25.434,28.009,27.967,26.511,28.192,31.048,32.551,33.95,31.862,30.856,28.952,31.943,35.469,37.01,40.26,42.886,44.208,46.722,45.489,44.128,44.794,46.81,49.494,51.516,53.957,57.253,61.605,68.026,74.884,77.625,82.566,86.542,93.586,100,105.061,107.453,102.06,92.782,100.336
"39","32","    Household textiles","DTEXRA3",22.723,21.978,21.567,22.243,24.138,22.343,21.746,22.665,23.27,24.374,25.189,25.191,25.837,24.986,27.218,30.193,32.376,36.398,38.23,38.934,39.318,39.121,39.312,41.758,44.53,48.593,52.238,56.806,60.696,64.184,68.798,72.587,74.774,78.931,86.382,93.669,100,107.227,111.66,112.399,109.2,121.074
"40","33","    Household appliances \6\","DHAPRA3",26.465,27.185,28.728,31.968,35.117,34.941,32.292,33.335,35.634,36.393,37.964,37.038,36.123,32.988,35.321,38.371,42.112,44.96,45.613,47.433,49.745,49.567,49.368,51.762,53.767,55.186,58.136,59.216,59.635,64.726,72.06,77.576,81.001,85.306,89.518,97.809,100,100.34,97.145,93.681,85.234,90.729
"41","34","    Glassware, tableware, and household utensils \7\","DUTERA3",20.878,20.563,20.949,21.928,23.958,23.448,22.031,23.529,25.391,27.683,28.502,28.559,29.072,30.252,30.951,32.585,33.171,33.971,33.117,35.362,37.473,38.55,38.042,40.344,42.782,45.457,48.359,51.051,53.27,57.491,66.142,73.999,80.057,89.467,94.678,97.334,100,104.932,104.464,100.594,94.701,102.606
"42","35","    Tools and equipment for house and garden","DTOORA3",11.261,11.61,12.499,13.795,16.174,17.279,17.815,19.783,22.439,25.041,27.382,27.733,28.154,27.543,29.004,31.548,31.565,33.912,35.788,38.364,42.157,43.852,44.153,47.84,51.484,55.205,57.411,59.058,61.818,67.481,73.19,76.339,79.124,82.219,88.741,96.017,100,103.374,101.605,99.026,89.734,94.844
"43","36","    Other household goods and services \8\","DOGSRA3",50.97,50.724,49.68,51.126,54.108,51.08,46.256,47.262,48.279,51.446,53.666,53.969,53.996,53.929,55.625,60.406,61.464,63.67,63.771,65.588,67.165,68.233,65.59,68.121,71.87,76.979,79.612,81.057,84.776,88.447,90.191,90.935,89.401,88.93,92.767,96.958,100,101.915,105.021,103.793,96.572,96.576
"44","37","  Health","DHLTRA3",26.455,28.173,30.021,32.171,34.529,35.814,37.46,39.013,40.68,42.662,44.371,45.711,47.791,47.926,49.52,50.614,52.267,54.068,56.427,58.85,59.833,62.13,63.14,64.86,65.383,66.213,67.867,69.717,72.449,75.679,77.932,81.304,85.607,90.674,93.453,96.821,100,102.317,105.148,107.442,109.358,110.993
"45","38","    Medical products, appliances, and equipment","DMPARA3",14.015,15.782,16.288,17.744,19.184,20.225,20.467,21.003,21.062,22.539,24.493,25.484,26.143,26.298,27.85,29.694,31.115,32.891,34.791,37.154,39.112,41.855,41.739,42.039,43.268,45.301,47.774,51.21,55.919,62.554,69.37,75.501,80.606,85.486,91.737,96.769,100,104.422,109.283,110.745,112.109,114.321
"46","39","      Pharmaceutical and other medical products \9\","DPHMRA3",13.905,15.767,16.504,17.972,19.407,20.422,20.517,21.142,21.116,22.646,24.619,25.676,26.28,26.247,27.586,28.967,29.892,31.222,32.716,34.383,36.419,38.533,39.4,39.825,41.14,42.95,45.894,49.128,53.757,60.6,67.912,74.31,80.774,85.572,92.121,97.148,100,104.303,108.608,110.174,111.802,112.621
"47","40","        Pharmaceutical products","DPNPRA3",13.816,15.64,16.36,17.853,19.273,20.176,20.276,20.951,20.909,22.413,24.403,25.502,26.165,26.16,27.486,28.835,29.732,31.042,32.522,34.181,36.187,38.275,39.13,39.579,40.928,42.786,45.804,49.11,53.81,60.649,67.967,74.353,80.85,85.655,92.21,97.192,100,104.252,108.501,110.062,111.741,112.441
"48","41","        Other medical products","DOMPRA3",19.79,23.901,25.657,25.821,28.194,35.397,35.239,33.234,34.086,37.099,38.281,37.14,34.437,32.866,35.045,38.362,41.056,43.633,46.095,48.35,52.379,56.174,57.905,56.638,55.463,53.892,51.531,49.687,49.191,56.244,63.044,70.278,74.155,78.303,84.334,93.303,100,108.868,118.395,120.412,117.179,129.69
"49","42","      Therapeutic appliances and equipment","DTAERA3",15.35,16.834,16.442,17.94,19.487,20.686,21.489,21.725,22.101,23.471,25.47,26.267,27.18,28.083,30.603,34.527,38.203,42.076,45.919,51.609,53.273,59.15,54.1,53.758,54.546,57.749,57.81,62.308,67.464,73.067,77.291,81.977,79.57,84.91,89.403,94.458,100,105.16,113.479,114.291,113.974,125.334
"50","43","    Outpatient services","DOUTRA3",23.45,24.512,24.829,26.228,28.829,29.412,30.529,31.173,32.696,33.525,34.702,35.896,38.489,38.477,40.858,42.943,45.231,47.018,50.756,53.84,55.485,59.054,60.992,64.312,64.627,65.329,67.59,69.45,71.092,73.373,74.794,78.324,82.758,88.256,92.308,96.631,100,102.404,104.398,107.752,108.488,108.541
"51","44","      Physician services \10\","DPHYRA3",28.66,30.107,30.89,32.497,34.901,35.297,36.363,35.868,37.701,38.344,39.868,41.972,44.587,44.619,46.594,48.466,50.758,52.132,56.386,59.694,60.277,62.173,63.123,65.035,62.922,62.215,63.272,64.795,66.539,68.948,70.817,75.234,79.553,85.943,91.269,96.108,100,102.999,103.697,107.655,107.866,106.399
"52","45","      Dental services","DDENRA3",42.015,44.815,44.407,46.873,53.013,54.291,55.698,58.838,60.856,62.779,62.75,62.688,67.194,67.198,68.409,69.085,71.185,72.367,74.905,74.514,74.944,75.208,73.631,76.256,76.252,77.713,79.699,80.23,81.699,84.053,85.979,89.375,93.662,97.739,97.147,99.556,100,99.455,100.707,100.7,97.767,96.568
"53","46","      Paramedical services","DPMSRA3",9.689,9.653,9.562,10.288,11.924,12.51,13.542,14.906,15.772,16.475,17.444,17.691,19.537,19.462,22.617,25.322,27.561,30.047,33.247,36.98,40.612,47.795,52.406,58.194,62.651,65.468,69.858,72.752,74.266,76.291,76.76,78.834,83.502,88.083,91.944,96.227,100,102.75,107.153,111.096,114.393,117.477
"54","47","        Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.495,34.593,39.227,47.761,54.686,64.32,73.539,81.325,90.686,95.172,93.101,89.924,84.985,81.211,83.986,85.034,89.615,95.142,100,105.678,112.808,118.277,125.473,133.669
"55","48","        Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.252,26.562,29.775,33.382,36.465,39.419,39.577,40.62,39.85,42.139,47.259,54.547,60.185,68.542,77.195,80.854,88.115,95.432,100,105.708,107.381,114.467,119.384,119.524
"56","49","        Other professional medical services \11\","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.625,40.485,43.71,51.063,54.889,59.455,62.606,63.406,66.611,68.85,71.229,74.56,76.483,79.99,84.661,91.21,93.931,96.925,100,100.716,104.466,107.031,108.237,109.662
"57","50","    Hospital and nursing home services","DHPNRA3",35.351,37.515,42.187,45.489,47.799,49.98,53.078,56.325,59.042,62.647,64.692,66.299,68.398,68.692,69.283,68.752,69.723,71.466,72.361,73.949,73.641,74.277,74.855,75.608,76.002,76.401,77.073,78.206,81.145,83.809,84.841,86.79,90.587,95.305,95.284,97.019,100,101.326,104.041,105.737,108.927,111.711
"58","51","      Hospitals \12\","DHSPRA3",37.439,39.58,44.353,47.899,50.184,52.631,56.047,59.668,62.495,66.244,68.581,70.141,72.552,73.165,72.73,71.351,71.995,73.371,74.471,75.246,74.26,73.759,74.144,74.483,74.558,74.814,74.891,75.796,78.684,81.407,82.946,85.277,89.806,95.237,94.719,96.727,100,101.537,104.356,106.11,109.8,112.877
"59","52","      Nursing homes","DNRSRA3",25.321,27.363,31.273,33.481,35.661,36.78,38.564,40.291,42.405,45.22,46.104,47.746,48.574,47.648,52.297,55.308,57.648,60.945,60.893,66.225,69.212,75.608,77.198,80.235,82.456,83.684,87.794,90.194,93.365,95.694,94.114,94.146,94.375,95.682,98.071,98.459,100,100.281,102.477,103.888,104.631,105.971
"60","53","  Transportation","DTRNRA3",32.819,31.945,35.546,38.838,41.361,37.536,37.933,42.18,45.354,46.887,45.731,41.751,41.959,42.355,46.694,51.825,56.547,59.901,59.646,62.682,63.33,62.703,58.21,61.827,64.821,68.74,70.079,73.803,78.386,83.907,89.59,92.137,94.172,95.963,97.983,99.843,100,98.045,98.729,90.825,85.84,86.893
"61","54","    Motor vehicles","DMTRRA3",27.805,24.041,29.029,33.206,36.113,28.965,28.828,35.875,39.995,41.61,38.38,32.453,33.042,33.987,41.176,48.726,55.891,60.567,57.704,60.843,60.671,59.161,51.225,55.931,58.743,62.059,60.524,63.289,67.796,75.797,83.269,86.117,91.508,96.994,99.761,100.959,100,96.237,98.155,83.856,78.204,79.824
"62","55","      New motor vehicles","DNMVRA3",28.858,24.5,30.643,35.555,39.12,30.335,30.358,38.559,43.869,45.812,41.626,34.157,35.098,36.711,46.143,53.929,61.689,67.266,62.773,66.308,65.351,61.846,49.905,54.59,58.159,61.077,58.117,59.14,62.299,69.243,77.278,81.49,89.444,96.275,100.912,101.921,100,94.24,95.338,76.851,68.156,71.808
"63","56","      Net purchases of used motor vehicles","DNPVRA3",26.522,25.078,25.339,26.772,27.249,25.956,25.203,28.603,28.925,29.518,29.383,28.601,28.001,26.862,27.683,34.565,40.093,42.306,43.813,45.893,47.682,51.279,54.177,58.882,59.634,63.917,65.759,72.477,80.02,90.401,96.538,96.287,95.965,98.533,97.169,98.797,100,100.629,104.343,99.404,100.841,97.874
"64","57","    Motor vehicle operation","DMVORA3",36.66,38.969,41.395,43.623,45.723,44.126,45.278,47.067,49.415,50.962,51.217,48.819,49.542,49.592,52.105,55.611,58.856,60.805,62.785,65.91,67.276,67.117,64.784,68.06,71.507,75.702,79.57,83.957,88.816,91.772,95.728,97.229,97.029,95.597,96.848,98.723,100,99.073,98.89,94.127,89.451,90.038
"65","58","      Motor vehicle parts and accessories","DMVPRA3",23.414,25.175,28.467,31.718,36.199,36.229,35.945,37.087,39.36,42.107,43.47,42.921,44.604,45.446,50.635,54.275,55.946,56.258,56.747,61.412,61.631,64.349,62.759,64.423,70.209,77.35,80.804,86.158,90.042,91.601,95.761,97.094,93.568,92.891,94.446,97.364,100,99.508,99.853,92.735,84.717,88.102
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRA3",50.227,53.336,55.919,58.198,61.224,58.209,59.942,62.34,64.25,65.731,64.85,61.148,62.074,62.848,64.251,66.27,67.572,70.855,72.752,74.71,76.382,75.742,74.968,78.035,79.99,80.985,82.399,84.145,86.7,90.242,92.843,92.087,92.866,94.257,97.35,99.398,100,98.258,97.523,93.488,92.722,93.088
"67","60","      Motor vehicle maintenance and repair","DVMRRA3",37.354,39.381,41.267,42.951,42.747,41.542,42.973,44.744,48.358,49.715,51.128,48.516,48.274,46.639,50.819,56.679,64.258,65.74,69.337,73.977,75.5,74.136,66.774,68.462,71.161,76.01,80.329,83.898,86.832,89.921,93.04,95.837,97.285,95.95,97.824,98.926,100,97.208,97.294,90.849,82.884,82.317
"68","61","      Other motor vehicle services","DOVSRA3",9.436,10.345,11.322,12.217,12.321,12.112,12.775,13.445,14.441,14.742,14.854,15.599,16.454,15.695,16.325,21.33,24.926,25.348,25.577,27.099,28.401,29.545,32.626,41.864,49.487,58.984,69.227,82.402,99.594,101.787,111.368,116.936,111.926,100.55,93.674,96.091,100,108.54,110.428,108.048,93.313,95.977
"69","62","    Public transportation","DPUBRA3",35.39,35.132,35.917,38.803,40.864,43.462,42.354,45.042,47.481,48.35,50.171,45.559,40.897,41.029,43.491,46.946,48.732,53.233,54.58,56.73,57.748,58.815,58.823,59.254,60.9,66.354,69.474,74.708,78.179,83.68,88.71,95.244,92.977,94.216,97.053,102.144,100,98.999,100.696,94.804,90.054,92.126
"70","63","      Ground transportation \13\","DGRDRA3",88.85,87.455,87.328,88.889,90.093,93.72,91.206,91.861,92.12,89.438,89.541,81.142,74.154,71.067,70.485,71.054,71.6,67.56,66.34,71.675,73.326,76.718,79.282,80.264,82.865,85.839,87.748,85.384,86.993,93.958,98.031,100.63,102.958,101.985,97.133,99.919,100,103.174,102.02,101.763,98.385,97.521
"71","64","      Air transportation","DAITRA3",19.877,19.948,21.009,24.335,26.677,28.985,28.282,31.563,34.642,36.56,38.897,35.352,31.39,32.374,35.64,39.816,41.794,49.171,51.455,52.4,53.306,53.833,53.207,53.601,54.648,60.637,63.554,71.377,75.288,80.292,85.715,93.485,88.509,90.7,97.198,103.475,100,96.507,99.595,90.318,84.64,88.481
"72","65","      Water transportation","DWATRA3",0.493,0.529,0.557,0.642,0.754,0.832,0.827,0.929,1.041,1.086,1.266,1.391,1.479,1.635,3.201,6.232,10.19,13.972,15.191,17.346,16.047,12.047,7.214,4.772,9.739,19.859,32.23,44.355,52.266,55.112,59.28,70.53,80.88,84.137,93.829,100.429,100,103.462,108.024,111.834,111.577,110.887
"73","66","  Communication","DCMCRA3",10.905,11.667,12.058,12.828,14.078,14.628,15.989,16.969,18.174,19.821,21.513,22.872,23.424,24.211,25.014,25.364,26.775,27.792,29.889,31.411,33.344,34.75,35.844,39.248,41.271,44.058,46.503,50.7,55.834,61.223,69.417,80.198,85.852,88.502,91.597,96.53,100,107.242,117.676,121.308,118.812,123.301
