"","Table 2#5#5# Personal Consumption Expenditures by Type of Expend","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","4","  Purchased meals and beverages (n.d.) \1\","APMBRC1",2.9,2.8,2.5,2.1,1.8,2.2,2.6,3,3.5,3.4,3.6,3.9,4.6,5.7,7.1,8.1,9.5,10.9,10.9,11,10.8,11.1,12.7,13.6,14.1,14.4,14.9,15.6,16.3,16.4,17.5,18.1,18.5,19.6,20.5,21.9,23.9,25.9,26.8,30.2,32.7,36.5,38.7,43,48.3,53.2,60.4,68,75,85,96.7,105.9,115.9,123.3,133.3,142.4,150,161.5,176.6,195.4,209.8,227.7,236.4,246,258.3,266.8,274,282,294.9,311.9,326.9,348.8,362.8,380,406.5
"12","5","  Food furnished to employees (including military) (n.d.)","AFOORC1",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.9,1.7,2.4,2.8,1.3,1,1,1,1.1,1.6,1.8,1.7,1.5,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.8,1.9,2,2.1,2.1,2,2,2.2,2.7,3.2,3.6,3.7,4.3,4.9,5.5,6.2,6.5,6.4,6.4,6.2,6,5.7,6.1,6.5,6.8,6.9,7.1,7.3,7.5,7.8,8,8.2,8.5,8.8,9.1,9.4,9.7,10.4
"13","6","  Food produced and consumed on farms (n.d.)","BFFDRC1",1.6,1.4,1.2,0.9,0.9,1,1.2,1.3,1.3,1.1,1.1,1.1,1.3,1.6,2.1,2.1,2.2,2.5,2.6,2.5,2.1,1.9,2.2,2.1,1.9,1.7,1.6,1.5,1.4,1.4,1.2,1.1,1,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.2,1.1,1,1,0.9,0.9,0.9,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5
"14","7","  Tobacco products (n.d.)","BTOBRC1",1.7,1.5,1.5,1.3,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.9,3.4,3.7,4,4.1,4.3,4.5,4.9,5.1,4.9,5.1,5.3,5.7,6,6.6,6.9,7.1,7.2,7.5,7.6,8.1,8.5,8.9,9.4,9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,48.7,47.3,49.2,51.4,53.8,58.9,71.6,78.5,84,89.1,88.1
"15","8","  Addenda: Food excluding alcoholic beverages (n.d.)","BFXARC1",19.5,18,14.7,11.4,10.9,12.2,13.6,15.3,16.5,15.6,15.7,16.6,19.2,23.3,27.4,29.9,33.2,39,43.7,46.3,44.8,46,52.4,55.3,56.3,57.7,59.3,61.7,65.2,67.9,70,71.6,73.1,74.6,76.4,81.1,87.8,95.5,98.4,106.8,114.8,125.1,129.3,139.3,155.6,175.6,194.6,211.9,229.5,253.4,283.8,310.6,334.4,351.7,369.2,391.5,408.6,429.9,452.1,486.7,520.8,558.6,575.6,586.8,608.6,635.4,654.3,678.7,702.9,732.8,771.7,816.5,855.6,889.8,941.8
"16","9","           Alcoholic beverages purchased for off-premise consumption (n.d.)","BAOPRC1",NA,NA,NA,NA,0.2,1.5,1.9,2.5,2.6,2.4,2.4,2.5,3,3.6,4,4.7,5.1,5.6,5.9,5.1,5,5.1,5.1,5.5,5.6,5.5,5.7,5.8,5.9,5.9,6.3,6.5,6.5,7,7.2,7.6,7.9,8.4,8.8,9.8,10.9,12.3,13.7,14.8,15.9,17.6,19.1,20.3,21.9,23.6,26.6,29.7,32.2,34.4,36.5,37.1,39.4,41.3,41.4,42.7,44.9,48.9,50.4,48.9,50.1,52.9,54.6,58.2,61.2,63.2,66.1,71.2,73.7,75.5,79.9
"17","10","           Other alcoholic beverages (n.d.)","BAPMRC1",NA,NA,NA,NA,0.5,0.5,0.6,0.7,0.9,0.9,1,1.1,1.2,1.5,1.9,2.1,2.4,2.7,2.7,2.8,2.7,2.8,3.2,3.4,3.5,3.5,3.6,3.8,4,4,4.3,4.3,4.3,4.5,4.6,4.8,5.1,5.4,5.2,5.6,5.8,6.4,6.6,7.3,8.1,8.6,9.5,10.3,11.2,12.6,14.3,15.7,16.9,17.3,18,18.8,19.5,20.8,21.7,24.1,26,29.3,31.5,33.7,33.1,32.3,32,31.8,32.2,33.8,35.4,37.5,38.7,40.6,42.8
"18","11","Clothing, accessories, and jewelry","A496RC1",11.2,9.7,8.2,6,5.4,6.6,7,7.7,8.1,8,8.4,8.9,10.5,13.1,16,17.5,19.6,22,22.8,24.2,23.3,23.7,25.6,26.6,27,27.2,28.4,29.7,30,30.3,32,32.7,33.5,35,36,39.1,41.4,45.5,47.8,52.5,56.2,57.6,61.8,67.1,74.7,79.3,85.6,93.7,102.8,115.1,123.4,132.3,143.8,147,161.1,175.8,188.3,204.1,218.9,235.7,252.5,261.5,263.5,280.9,293.4,306.3,314.5,327.2,337.4,356.3,379.6,397,397.1,404.4,412.3
"19","12","  Shoes (n.d.)","BSHURC1",1.7,1.4,1.2,1,0.9,1.1,1,1.1,1.3,1.3,1.2,1.3,1.4,1.8,1.9,2,2.3,2.8,3,3.1,3.1,3.3,3.3,3.3,3.3,3.3,3.6,3.8,3.8,4.1,4.4,4.5,4.6,4.8,4.8,5.2,5.4,6,6.4,7.1,7.8,7.8,8.1,8.9,9.8,9.9,10.3,11.1,12.2,14.1,16,17.4,19.3,19.2,20.4,21.6,22.9,24.5,26,27.6,30.4,31.5,31.3,32.9,34.2,36.4,37.6,39.5,40.7,43,45.4,47,47.8,49.3,50.7
"20","13","  Clothing and accessories except shoes \2\","A497RC1",7.7,6.7,5.7,4,3.7,4.6,5,5.4,5.5,5.5,5.9,6.2,7.1,8.5,10.5,11.6,13.1,15.1,15.6,16.8,16,16,17.5,18.5,18.7,18.9,19.6,20.5,20.6,20.7,22,22.4,23,24.2,24.9,27.1,28.6,31.2,32.6,35.9,38.5,39.8,43.4,47.4,52.6,56,60.4,65.5,71.8,80.1,85,89.8,97.7,101.1,110.3,120.8,129.1,138.5,148.2,157.7,168.4,172.4,177.2,188.7,195.3,201.4,203.9,210.4,217,227.5,240.6,250.4,249.6,252.5,256
"21","14","    Women's and children's (n.d.)","AWCLRC1",4.7,4.1,3.5,2.4,2.3,2.8,3.1,3.2,3.3,3.3,3.6,3.8,4.3,5.3,6.9,7.8,8.8,9.7,9.9,10.9,10.2,10,10.9,11.6,12,12,12.5,13.1,13.3,13.5,14.3,14.6,15,15.8,16.4,17.8,18.6,20.2,20.9,23,24.6,25.6,28.1,30.4,33.7,36,38.8,42.1,45.9,51.7,55,58,63.2,65.7,72.1,79.4,85.3,92.1,98.4,104.2,110.7,113,115.6,123.4,127,129.1,129.5,132.4,135,141.2,149.9,156.7,156.5,158.3,160.4
"22","15","    Men's and boys' (n.d.)","AMCLRC1",3,2.6,2.2,1.6,1.5,1.8,1.9,2.2,2.3,2.2,2.3,2.4,2.8,3.2,3.5,3.8,4.3,5.4,5.6,5.9,5.8,6,6.6,6.8,6.8,6.8,7.1,7.4,7.4,7.2,7.7,7.8,8,8.3,8.5,9.3,9.9,11,11.8,12.9,13.9,14.3,15.3,17,18.9,20,21.6,23.3,25.8,28.4,30.1,31.8,34.5,35.5,38.2,41.4,43.8,46.4,49.8,53.5,57.6,59.4,61.5,65.3,68.3,72.3,74.4,78,82.1,86.3,90.7,93.7,93.1,94.2,95.6
"23","16","  Standard clothing issued to military personnel (n.d.)","BMICRC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,1,1,1.1,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5
"24","17","  Cleaning, storage, and repair of clothing and shoes (s.)","A478RC1",1.1,1,0.9,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.5,1.6,1.7,2.2,2.4,2.5,2.5,2.5,2.7,2.8,2.9,2.9,3,3.1,3.2,3.1,3.2,3.3,3.3,3.4,3.5,3.6,3.8,4,4.1,4.3,4.5,4.5,4.3,4.5,4.4,4.4,4.5,4.7,4.9,5.3,5.5,5.7,5.9,5.8,6.3,6.9,7.3,7.7,8.4,9.6,10.6,11.3,11,11.4,11.4,11.7,12.3,12.5,13.6,14.3,15.1,15.7,15.8,15.8,14.7
"25","18","  Jewelry and watches (d.)","BJRYRC1",0.6,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.9,1,1.2,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2,1.9,1.9,2,2.2,2.4,2.7,3.2,3.5,3.8,4,4.1,4.4,4.8,6,7,8.1,9.8,11,12.3,13,15,16,15.6,17.4,19.8,21.1,24.3,26.2,28.3,29.2,30.3,30.2,31.6,34,36.4,38.4,40.7,40.9,43.9,48.1,50.6,49.2,51,53.6
"26","19","  Other (s.) \3\","ACOTRC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.2,1.2,1.3,1.3,1.5,1.8,1.9,2.2,2.5,2.7,3.2,3.7,4.2,4.8,5.1,6.5,6.7,7.8,9,9.9,12.3,13.8,15.8,13.7,16,18.1,20.1,22.1,23.7,24.8,27.2,30.1,32.9,34.5,35.5,36.7
"27","20","Personal care","A532RC1",1.1,1,1,0.8,0.7,0.8,0.8,0.9,1,1,1,1,1.2,1.4,1.6,1.8,2,2.1,2.2,2.3,2.3,2.4,2.7,2.9,3.1,3.4,3.7,4.1,4.6,4.9,5.2,5.6,6.1,6.7,7,7.5,8.1,9,9.8,10.5,10.9,11.5,11.7,12.3,13.6,14.8,16.1,17.5,19.9,21.9,23.8,25.5,27.1,28,32.2,35.5,38.8,42.3,46.5,50.1,53.8,56.9,58.5,62,64.4,68.1,72.8,77,82.9,86.2,89.5,93.4,94.5,95.8,96.9
"28","21","  Toilet articles and preparations (n.d.)","BTLGRC1",0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.2,2.4,2.6,2.7,3,3.3,3.6,3.9,4.2,4.5,5,5.4,5.9,6.2,6.6,6.9,7.4,8.3,9.3,10.3,11.3,12.6,14,15.5,16.9,18.4,19.3,21.4,23.7,25.7,27.7,30,31.8,33.9,36,36.9,37.9,40.3,43.2,45.9,48.9,51.6,52.6,53.9,55,54.4,54.2,53.2
"29","22","  Barbershops, beauty parlors, and health clubs (s.)","BBBBRC1",0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1,1,1.1,1.2,1.3,1.4,1.6,1.7,2,2.2,2.3,2.5,2.6,2.8,3.1,3.2,3.4,3.6,4,4.4,4.6,4.6,4.9,4.8,4.9,5.2,5.5,5.8,6.2,7.3,8,8.3,8.6,8.7,8.7,10.9,11.8,13.1,14.5,16.5,18.3,19.9,20.9,21.6,24.1,24.1,24.9,26.8,28.1,31.2,33.6,35.6,38.4,40.1,41.6,43.7
"30","23","Housing","A174RC1",11.7,11.2,10.5,9.2,8.1,7.8,7.9,8.2,8.8,9.2,9.4,9.7,10.4,11.2,11.8,12.3,12.8,14.2,16,17.9,19.6,21.7,24.3,27,29.9,32.3,34.4,36.7,39.3,42,45,48.2,51.2,54.7,58,61.4,65.4,69.5,74.1,79.8,86.9,94.1,102.8,112.6,123.3,134.8,147.7,162.2,180.2,202.4,227.3,256.2,289.7,315.2,341,374.5,412.7,448.4,483.7,521.5,557.4,597.9,631.1,658.5,683.9,726.1,764.4,800.1,842.6,894.6,948.4,1006.5,1073.7,1144.8,1188.4
"31","24","  Owner-occupied nonfarm dwellings--space rent (s.) \4\","AOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.9,455.1,474.1,504.9,531.2,557.7,588.3,627.5,668.4,712.2,768.7,820.7,859.6
"32","25","  Tenant-occupied nonfarm dwellings--rent (s.) \5\","ATENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.2,126.8,133.8,140.1,150.7,157.7,163.6,168.5,176.8,186.6,192,199,209,219,227.5,240.7,258.7,262.3
"33","26","  Rental value of farm dwellings (s.)","BFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.7,9.9,10.2,10.7,11.4,11.8,11.9
"34","27","  Other (s.) \6\","AOHORC1",0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.4,1.4,1.4,1.5,1.5,1.6,1.8,1.9,2.1,2.3,2.6,2.9,3.2,3.5,3.6,4.4,4.9,5.3,6,6.9,7.5,8.4,9.8,10.8,12.4,13.2,14.3,16.6,18.5,19.6,22.4,24.6,26.4,28.1,29.8,32.6,33.2,35.5,37.2,40.7,45.7,48.3,50.9,56,52.9,53.6,54.7
"35","28","Household operation","A534RC1",10.7,9.5,8.4,6.8,6.4,7.2,7.7,8.8,9.4,8.8,9.6,10.4,11.8,12.7,13.1,14,15.5,19.9,23.7,26.1,25.7,29.1,31.1,31.5,33,33.7,37.3,39.8,41.2,42.4,45,46.7,48.2,51,54,58.4,62.1,67.2,70.8,76.3,81.1,84.8,90.1,99.5,111.4,123.6,135.7,152,170.5,189.6,212,233.3,254.5,271.9,296.7,322.8,343.6,359.6,376.3,398.6,423.2,433.3,444.3,466,497.5,529.6,553.5,586.6,616.2,641.8,675.2,719.3,740.3,746,779.6
"36","29","  Furniture, including mattresses and bedsprings (d.)","BFNRRC1",1.2,0.9,0.8,0.5,0.5,0.5,0.7,0.8,0.9,0.8,0.9,1.1,1.3,1.3,1.2,1.3,1.5,2.2,2.5,2.8,2.7,3.1,3.2,3.5,3.7,3.8,4.4,4.6,4.5,4.5,4.8,4.7,4.8,5.1,5.5,6.1,6.5,7,7.3,7.9,8.4,8.6,9.2,10.4,11.8,12.5,12.8,14.1,16.3,18,20.3,20.7,21.7,21,23.8,27.2,29.3,32.5,34.5,35.9,39.5,38.4,37.7,39,42,45.7,48.5,52.2,56.5,59.6,63.5,67.6,67.2,68.3,69.5
"37","30","  Kitchen and other household appliances (d.) \7\","BAPPRC1",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.6,0.7,0.8,1.1,0.7,0.3,0.2,0.3,1.6,2.9,3.1,2.8,3.6,3.5,3.5,3.6,3.7,4.1,4.3,4.3,4.1,4.4,4.3,4.3,4.3,4.5,4.9,4.9,5.3,5.5,6.2,6.8,7.3,7.9,9,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.2,25.8,26.5,26.7,26.4,27.5,29.2,30.4,30.8,31.5,33.1
"38","31","  China, glassware, tableware, and utensils (d.)","BCHNRC1",0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.8,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.9,1.9,2.1,2.4,2.7,2.9,3.3,3.4,3.5,3.6,4,4.6,5.1,5.6,6.3,7.1,8.3,9.3,10.3,11.5,12.5,13,13.7,14,14.8,14.7,15.9,17.1,17.9,18.1,19.6,20.7,22.3,23.4,24.5,25.5,27.2,29.3,31,31,31.8,32.2
"39","32","  Other durable house furnishings (d.) \8\","AODHRC1",1.1,0.9,0.8,0.6,0.5,0.6,0.6,0.8,0.9,0.8,0.9,1,1.2,1.3,1.4,1.4,1.5,2.2,2.4,2.7,2.7,3.1,3.5,3.2,3.1,2.9,3.3,3.6,3.8,3.8,4.1,4.2,4.3,4.6,5.1,5.8,6.3,6.9,7.2,7.9,8,7.9,8.1,9,10.3,11.5,12,13.5,15.2,17,18.9,20,21.2,21.7,24.5,27.7,29.4,32.7,36.3,38.3,38.6,38.6,37.3,38.8,41.7,46,48.8,52,55.5,59.1,63.8,67.3,67.6,69.2,71.9
"40","33","  Semidurable house furnishings (n.d.) \9\","BSDHRC1",0.7,0.6,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.9,1.1,1.3,1.5,1.5,2,2.1,2.4,2.3,2.6,2.8,2.6,2.6,2.4,2.6,2.7,2.7,2.6,2.7,2.8,2.9,3.2,3.3,3.7,3.9,4.3,4.6,4.9,4.9,4.9,5,5.3,5.9,6.3,6.6,7.2,7.9,8.7,9.7,10.6,11.8,12.4,13.7,15.4,16.4,18.3,19.3,20.8,21.7,22.5,23.3,25.6,26.8,28.5,29.4,30.5,31.4,32.8,35.1,36.5,36.5,37.4,37.9
"41","34","  Cleaning and polishing preparations, and miscellaneous household supplies and paper products (n.d)","ACLPRC1",0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.9,1.5,1.6,1.6,1.8,2,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.5,3.7,4.2,4.6,4.9,5.3,5.7,6.3,6.7,7.1,7.6,8.2,8.4,8.9,10,11.4,12.5,13.5,14.6,16.8,19.4,21.9,24,25.7,27.1,29.2,30.6,32,33.1,35.1,37.1,38.9,39.7,41.1,43.5,46.4,48.8,51.4,53.9,55.9,59.2,61.6,64.5,66.6,69.1
"42","35","  Stationery and writing supplies (n.d.)","BSTYRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.3,2.3,2.2,2.4,2.7,2.9,3.1,3.3,3.7,4.5,5,5.5,6.2,6.6,7.1,8,8.5,9,10,11.1,12.4,13.2,13.9,14.9,15.4,16,16.3,16.5,16.9,17.7,18.5,19,18.3,18.1,17.7
"43","36","  Household utilities","A535RC1",3.1,3.1,2.9,2.6,2.6,2.7,2.8,3,3,3,3.1,3.4,3.6,3.9,4.1,4.2,4.5,5,5.8,6.6,6.5,7.3,7.9,8.3,8.7,9.4,10.2,11,11.6,12.3,12.9,13.5,14.1,14.8,15.7,16.5,17.4,18.3,19.3,20.1,21.4,22.9,25,27.8,31.1,36.8,43.1,49.3,56.2,62.1,70.5,82.4,91.1,100.3,109.1,115.3,121.3,119.6,123.2,130.8,138.2,141.1,148.6,151.4,164.1,170.2,174.6,185.8,188.7,187.5,191.4,209.9,224.9,221.9,242.4
"44","37","    Electricity (s.)","BELCRC1",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.9,9.8,10.9,12.2,13.7,16.6,20,22.4,26,29,31.8,38.4,43.9,48.6,53.3,57.2,61.2,62.6,65.4,69.1,72,74.2,79.2,79.3,85.7,87.6,91,94.1,94.5,97.1,97.2,102.3,108,111.7,116.1
