"","Table 6#20D# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9"
"44","37","  Retail trade","N3337C0",18120,21882,18927,20496,22518,32877
"45","38","  Transportation and warehousing","N3338C0",4655,5085,4733,5783,4509,4773
"46","39","    Air transportation","N3339C0",364,385,356,802,NA,NA
"47","40","    Rail transportation","N3340C0",507,953,358,694,NA,NA
"48","41","    Water transportation","N3341C0",276,220,240,376,NA,NA
"49","42","    Truck transportation","N3342C0",1310,1230,1257,1343,NA,NA
"50","43","    Transit and ground passenger transportation","N3343C0",201,214,198,515,NA,NA
"51","44","    Pipeline transportation","N3344C0",542,525,616,347,NA,NA
"52","45","    Other transportation and support activities \2\","N3345C0",1127,1126,1302,1330,NA,NA
"53","46","    Warehousing and storage","N3346C0",328,432,406,376,NA,NA
"54","47","  Information","N3347C0",20343,22588,26795,17862,14981,16096
"55","48","    Publishing industries (includes software)","N3348C0",2289,1351,3882,2938,NA,NA
"56","49","    Motion picture and sound recording industries","N3349C0",674,634,835,724,NA,NA
"57","50","    Broadcasting and telecommunications","N3350C0",16347,19446,20580,14232,NA,NA
"58","51","    Information and data processing services","N3351C0",1033,1157,1498,-32,NA,NA
"59","52","  Finance and insurance","N3391C0",46025,41979,68727,58230,59824,61417
"60","53","    Federal Reserve banks","N3353C0",343,374,410,428,NA,NA
"61","54","    Credit intermediation and related activities","N3392C0",7322,8749,11998,8122,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3393C0",11062,6489,10070,10699,NA,NA
"63","56","    Insurance carriers and related activities","N3356C0",11031,4523,11342,9099,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3357C0",16267,21844,34907,29882,NA,NA
"65","58","  Real estate and rental and leasing","N3358C0",14313,13044,15581,15715,16847,17874
"66","59","    Real estate","N3359C0",12037,11401,13653,14167,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3360C0",2276,1643,1928,1548,NA,NA
"68","61","  Professional, scientific, and technical services","N3361C0",19050,17848,21406,22656,22292,23706
"69","62","    Legal services","N3362C0",1804,2367,2950,4563,NA,NA
"70","63","    Computer systems design and related services","N3363C0",3029,2667,2648,2309,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3364C0",14217,12814,15808,15784,NA,NA
"72","65","  Management of companies and enterprises \5\","N3365C0",21854,28840,28261,26407,32707,37917
"73","66","  Administrative and waste management services","N3368C0",7872,4415,5167,5184,5993,6371
"74","67","    Administrative and support services","N3369C0",4434,3208,4450,4576,NA,NA
"75","68","    Waste management and remediation services","N3370C0",3438,1207,717,608,NA,NA
"76","69","  Educational services","N3371C0",320,524,536,681,489,521
"77","70","  Health care and social assistance","N3372C0",5861,6988,7737,9929,12491,13256
"78","71","    Ambulatory health care services","N3373C0",3745,4876,6042,8029,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3377C0",1341,1336,773,658,NA,NA
"80","73","    Social assistance","N3378C0",775,776,922,1242,NA,NA
"81","74","  Arts, entertainment, and recreation","N3379C0",2309,2900,3261,2986,3353,3563
"82","75","    Performing arts, spectator sports, museums, and related activities","N3380C0",1254,1468,1445,1568,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3381C0",1055,1432,1816,1418,NA,NA
"84","77","  Accommodation and food services","N3382C0",5192,5589,5521,5720,6177,6590
"85","78","    Accommodation","N3383C0",1767,1908,1365,1293,NA,NA
"86","79","    Food services and drinking places","N3384C0",3425,3681,4156,4427,NA,NA
"87","80","  Other services, except government","N3385C0",3443,3064,3516,3839,3562,3781
"88","81","Rest of the world","A3374C0",42461,41697,29497,40862,42583,20558
"89","82","  Receipts from the rest of the world \6\","B3375C0",83438,92659,86334,87401,85430,82135
"90","83","  Less: Payments to the rest of the world \7\","B3376C0",40977,50962,56837,46539,42847,61577
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of (1) receipts by U.S. residents of dividends from foreign corporations, plus (2)",NA,NA,NA,NA,NA,NA,NA,NA
"102","earnings distributed by unincorporated foreign affiliates to their U.S. parents.",NA,NA,NA,NA,NA,NA,NA,NA
"103","7. Consists of (1) payments by U.S. corporations of dividends to foreign residents, plus (2)",NA,NA,NA,NA,NA,NA,NA,NA
"104","earnings distributed by unincorporated U.S. affiliates to their foreign parents.",NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
