"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","4","      Private industries","A132RC1",45.5,41,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79,84,82.6,91.3,105.6,116.5,114,124.6,142.3,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228,243,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.4,501.2,560,611.8,638.6,710.8,791.6,901.2,1018.7,1116.2,1231.7,1286.2,1359.8,1507,1621.6,1717.9,1848.1,2001.6,2116.2,2236.3,2276.2,2411.1,2496,2625.9,2793.8,2975.2,3209.5,3486.2,3736.9,4054.5,4126.9,4113.7,4205.6
"12","5","      Government","B202RC1",5,5.2,5.3,5,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16,26.6,33,34.9,20.7,17.5,19,20.8,22.6,29.2,33.3,34.4,34.9,36.6,38.8,41,44.1,46.1,49.2,52.5,56.3,60,64.9,69.9,78.4,86.5,96.7,105.6,117.2,126.6,137.6,148.8,161,176.1,188.8,202.5,219.7,237.3,261.5,285.8,307.5,325.2,347.9,374.1,397,422.6,451.3,480.2,517.7,546.8,569.2,586.8,606.2,625.5,644.4,668.1,697.3,729.3,774.7,815.9,862.6,897.9
"13","6","    Supplements to wages and salaries","A038RC1",0.7,0.7,0.6,0.6,0.5,0.6,0.7,1,1.8,2,2.2,2.3,2.7,3.2,3.8,4.5,5.8,7.6,7,6.4,7.1,8,9.8,10.5,11.2,11.9,13.5,15.5,17.6,18.2,21.1,23.6,24.8,27.8,30.4,32.9,35.7,42.3,46.1,52.3,59.3,65.7,74.4,86.4,102.5,118,134.3,159.6,186.4,214.9,245,274.2,308.3,332.1,358,400.5,429.2,455.3,479.5,514.2,548.9,584.2,622.3,670.9,712.2,747.5,757.7,767.3,787,836.7,885.7,953.4,999.3,1093.2,1185.5
"14","7","      Employer contributions for employee pension and insurance funds","B040RC1",0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.8,0.8,0.8,0.9,0.9,1,1.2,1.5,2,2.3,2.5,3,3.4,3.8,4.7,5.7,6.4,7,7.3,8.4,9.8,11.2,11.9,13.3,14.3,15.2,16.6,18,20.3,22.7,25.5,28.1,32.4,36.5,41.8,47.9,55.2,62.7,73.3,87.6,105.2,125.3,143.4,162.4,185.2,204.7,222.4,238.1,261.5,281.5,297.5,313.2,329.6,355.2,377.8,407.1,442.5,472.4,493.3,493.6,492.5,497.5,529.7,562.4,609.9,642.7,729.6,808.9
"15","8","      Employer contributions for government social insurance","B039RC1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5.1,3.9,3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.8,254.1,264,274.9,289.5,307,323.3,343.5,356.6,363.6,376.6
"16","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14.2,11.1,8.5,5.1,5.4,7.1,10.2,10.4,12.6,10.6,11.2,12.3,16.7,23.4,28.3,29.4,30.8,35.6,34.5,39.3,34.7,37.6,42.7,43.1,42.1,42.3,44.3,45.8,47.9,50.1,50.7,50.8,53.2,55.4,56.5,59.4,63.9,68.2,69.8,74.3,77.4,78.4,84.8,95.9,113.5,113.1,119.5,132.2,145.7,166.6,180.1,174.1,183,176.3,192.5,243.3,262.3,275.7,302.2,341.6,363.3,380.6,377.1,427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,771.9,769.6,834.1
"17","10","    Farm","B042RC1",5.8,4,3.1,1.8,2.3,2.7,5,4,5.7,4.1,4.1,4.1,6.1,9.7,11.6,11.5,11.8,14.2,14.4,16.7,12,12.9,15.3,14.3,12.1,11.7,10.6,10.5,10.4,12.3,10,10.5,11,11,10.8,9.6,11.8,12.8,11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,19.7,9.7,21.8
"18","11","    Nonfarm","A045RC1",8.4,7,5.3,3.3,3.1,4.4,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,18,19,21.4,20.2,22.6,22.7,24.7,27.4,28.8,30,30.6,33.7,35.4,37.4,37.8,40.6,40.3,42.2,44.4,45.7,49.8,52.1,55.4,58.4,62.8,64.7,65.7,71.6,79.1,84.6,89.9,97.8,115.2,130,147.1,158.3,162.8,164.3,163.3,186.5,222.7,241.5,253.1,273.5,314.7,330.3,348.7,350.4,393,422.6,439.4,469.5,505.9,541.8,598.4,649.7,705.7,752.2,759.9,812.3
"19","12","  Rental income of persons with capital consumption adjustment","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.8,3,3.6,3.8,3.9,4.5,5.5,6.1,6.5,6.7,7.1,7.2,7.9,8.2,9.2,10.1,11.2,12.5,13.5,13.9,14.2,14.6,15.4,16.2,17.1,17.9,18.8,19.5,19.6,20.2,20.8,21.2,20.9,21.2,21.4,22.4,23.4,24.3,24.3,23.7,22.3,20.7,22.1,23.8,30,38,38.8,37.8,40.2,41.9,33.5,33.5,40.6,43.1,50.7,60.3,78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,167.4,170.9,153.8
"20","13","  Personal income receipts on assets","W210RC1",12.5,11.7,10.3,8.4,7.4,8,8.3,9.8,10,8.4,9.1,9.3,9.8,9.5,9.7,9.9,10.6,12.3,13.9,15.1,16,18.6,19.1,19.9,21.6,23.2,25.7,28.2,30.6,31.9,34.6,37.9,40.1,44.1,47.9,53.8,59.4,64.1,69,75.2,84.1,93.5,101,109.6,124.7,146.4,162.2,178.4,205.3,234.8,274.7,338.7,421.9,488.4,529.6,607.9,654,695.5,717,769.3,878,924,932,910.9,901.8,950.8,1016.4,1089.2,1181.7,1283.2,1264.2,1387,1380,1334.6,1322.7
"21","14","    Personal interest income","A064RC1",6.7,6.3,6.2,5.8,5.4,5.5,5.4,5.2,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.3,6,6.7,7.6,8.1,8.8,9.7,10.5,11.3,12.7,14,15.2,16.9,18.9,20.3,22,24.5,26.2,29.1,31.7,35.6,39.2,43.4,47.5,51.6,59.9,69.2,75.9,82.8,94.8,113.2,129.3,139.5,160.6,184,217.3,274.7,348.3,410.8,446.3,517.2,556.6,589.5,604.9,639.5,720.2,755.2,751.7,723.4,699.6,716.8,763.2,793,848.7,933.2,928.6,1011,1011,946.7,929.9
"22","15","    Personal dividend income","B703RC1",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,32.9,39,44.7,50.7,57.4,64,73.6,77.6,83.3,90.6,97.4,106,112.2,129.7,157.8,168.8,180.3,187.4,202.2,234,253.2,296.2,333,349.9,335.6,376.1,369,387.9,392.8
"23","16","  Personal current transfer receipts","A577RC1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.6,543.4,595.2,666.4,749.4,790.1,827.3,877.4,925,951.2,978.6,1022.1,1084,1193.9,1282.7,1335.4
"24","17","    Government social benefits to persons","A063RC1",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.8,53.3,59,71.7,85.4,94.8,108.6,128.6,163.1,177.3,189.1,203.2,227.1,270.8,307.2,342.4,369.9,380.4,402.6,428,447.4,476,519.9,573.1,648.5,729.8,775.7,812.2,858.4,902.1,931.8,952.6,988,1041.6,1143.9,1248.9,1306.4
"25","18","      Old-age, survivors, disability, and health insurance benefits","B222RC1",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1,1.9,2.2,3,3.6,4.9,5.7,7.3,8.5,10.2,11.1,12.6,14.3,15.2,16,18.1,20.8,25.8,30.5,33.1,38.6,44.7,49.8,60.9,70.3,81.5,93.3,105.3,116.9,132.5,154.8,182.1,204.6,222.2,237.8,253,268.9,282.6,300.2,325.6,351.8,381.7,414.4,443.4,475.4,506.8,537.7,563.2,575.1,588.9,620.8,668.5,708.3,733.8
"26","19","      Government unemployment insurance benefits","B223RC1",NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.5,0.4,0.4,0.1,0.1,0.4,1.1,0.8,0.9,1.9,1.5,0.9,1.1,1,2.2,1.5,1.5,1.9,4.1,2.8,3,4.3,3.1,3,2.7,2.3,1.9,2.2,2.1,2.2,4,5.8,5.7,4.4,6.8,17.6,15.8,12.7,9.1,9.4,15.7,15.6,25.1,26.2,15.9,15.7,16.3,14.5,13.2,14.3,18,26.6,38.9,34.1,23.5,21.4,22,19.9,19.5,20.3,20.3,31.7,53.2,52.8
"27","20","      Veterans benefits","B224RC1",0.6,0.6,1.6,0.8,0.6,0.4,0.5,1.9,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1,3,7,7,5.9,5.3,7.7,4.6,4.3,4.1,4.2,4.4,4.4,4.5,4.7,4.6,4.6,5,4.7,4.8,4.7,4.9,4.9,5.6,5.9,6.7,7.7,8.8,9.7,10.4,11.8,14.5,14.4,13.8,13.9,14.4,15,16.1,16.4,16.6,16.4,16.7,16.7,16.6,16.9,17.3,17.8,18.3,19.3,20.1,20.1,20.9,21.7,22.5,23.4,24.3,25.1,26.7,29.9,32.3
"28","21","      Family assistance \1\","B226RC1",NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.4,1.5,1.7,1.9,2.3,2.8,3.5,4.8,6.2,6.9,7.2,8,9.3,10.1,10.6,10.8,11.1,12.5,13.1,12.9,13.8,14.5,15.2,16.1,16.4,16.9,17.5,19.2,21.1,22.2,22.8,23.2,22.6,20.3,17.9,17.4,17.9,18.4,18.1,17.7,18.3
"29","22","      Other","B227RC1",0.2,0.3,0.3,0.5,0.6,0.8,1,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.6,1.9,2.2,2.6,2.7,2.6,2.9,3,3.2,3.3,3.4,3.7,4.1,4.5,4.7,5.1,5.5,5.9,6.4,7,8.1,9.9,11.9,13.4,16.6,20,22.7,25.7,31.7,40.2,43.7,46.7,52.5,59.6,72.8,80.2,83.4,91,95.9,102,109.9,117.3,128.8,145.3,166.2,200.8,234.9,255.3,270,286.7,300.4,308.3,317.3,336.7,357,398.9,440,469.2
"30","23","    Other current transfer receipts, from business(net)","B931RC1",0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.5,22.2,17.9,19.6,14.4,15.1,19,22.9,19.4,26,34.1,42.4,50,33.7,28.9
"31","24","  Less: Contributions for government social insurance","A061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.7,508.2,532.8,555.2,587.2,624.2,661.4,702.7,731.1,748.3,773.2
"32","25","Less: Personal current taxes","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.4,437.3,489.1,505,566.1,592.8,586.7,610.6,646.6,690.7,744.1,832.1,926.3,1027,1107.5,1235.7,1237.3,1051.2,1001.9
"33","26","Equals: Disposable personal income","A067RC1",83.4,74.7,64.3,49.2,46.1,52.8,59.3,67.4,72.2,66.6,71.4,76.8,93.8,118.6,135.4,148.3,152.2,161.4,171.2,190.6,190.4,210.1,231,243.4,258.6,264.3,283.3,303,319.8,330.5,350.5,365.4,381.8,405.1,425.1,462.5,498.1,537.5,575.3,625,674,735.7,801.8,869.1,978.3,1071.6,1187.4,1302.5,1435.7,1608.3,1793.5,2009,2246.1,2421.2,2608.4,2912,3109.3,3285.1,3458.3,3748.7,4021.7,4285.8,4464.3,4751.4,4911.9,5151.8,5408.2,5688.5,5988.8,6395.9,6695,7194,7486.8,7827.7,8159.9
"34","27","Less: Personal outlays","A068RC1",79.6,71.6,61.8,49.7,46.8,52.3,56.7,63.1,67.9,65.3,68.2,72.4,82.3,90,100.8,109.7,121.2,145.9,163.8,177.3,180.9,195,211.5,222.9,237.1,244.3,263.6,277.2,292.8,302.2,323.9,338.8,349.6,371.3,391.8,421.7,455.1,493.1,520.9,572.2,621.4,666.2,721.2,791.9,875.6,958,1061.9,1180.2,1310.4,1465.8,1634.4,1807.5,2001.8,2150.4,2374.8,2597.3,2829.3,3016.7,3216.9,3475.8,3734.5,3986.4,4140.1,4385.4,4627.9,4902.4,5157.3,5460,5770.5,6119.1,6536.4,7025.6,7354.5,7668.5,8049.3
"35","28","  Personal consumption expenditures","A002RC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.6,331.7,342.1,363.3,382.7,411.4,443.8,480.9,507.8,558,605.2,648.5,701.9,770.6,852.4,933.4,1034.4,1151.9,1278.6,1428.5,1592.2,1757.1,1941.1,2077.3,2290.6,2503.3,2720.3,2899.7,3100.2,3353.6,3598.5,3839.9,3986.1,4235.3,4477.9,4743.3,4975.8,5256.8,5547.4,5879.5,6282.5,6739.4,7055,7376.1,7760.9
"36","29","  Personal interest payments \2\","B069RC1",1.5,0.9,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.7,0.4,0.4,0.4,0.7,0.9,1.3,1.6,2,2.2,2.6,3.2,3.4,4,4.6,4.9,5,5.5,6.2,6.5,7,7.9,8.9,9.9,10.7,11.1,12.2,14,15.2,16.6,18.1,19.8,21.2,23.7,23.9,27,31.9,36.2,43.6,49.3,59.5,69.2,77,90.4,96.1,93.6,96.8,108.2,116.1,118.5,111.8,107.3,112.8,132.7,150.3,163.9,174.5,181,204.7,212.2,197.2,185.3
"37","30","  Personal current transfer payments","W211RC1",0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.7,0.9,0.9,1,0.8,0.8,0.7,0.8,0.9,0.9,0.8,1,1.1,1,0.8,0.8,1,1.1,1.2,1.3,1.4,1.6,2,2,2.2,2.6,2.8,3.1,3.4,3.4,3.8,4.4,4.8,5.4,5.9,6.8,11.4,13.6,15,16.9,18.6,20.9,23.1,25.4,27.8,30.4,35.6,38.3,42.7,46.3,48.9,52.9,59.2,65.2,73,81.5,87.2,95.3,103.1
"38","31","    To government","W062RC1",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1,1.3,1.5,1.8,1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.5,30.9,32.6,34.9,38.2,40.6,44.7,50,54.2,59.5,64.9
"39","32","    To the rest of the world (net)","B070RC1",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.3,1.4,1.5,1.3,1.3,1.3,1.3,1.5,1.6,1.8,5.5,6.6,6.9,7.8,8.2,9,9.9,10.6,11.4,12,13,12.3,14.2,15.4,16.2,18,21,24.6,28.3,31.5,33,35.7,38.2
"40","33","Equals: Personal saving","A071RC1",3.8,3.1,2.5,-0.5,-0.7,0.5,2.6,4.3,4.3,1.3,3.2,4.4,11.5,28.6,34.6,38.7,31.1,15.5,7.4,13.4,9.5,15.1,19.5,20.5,21.5,20,19.7,25.8,27,28.3,26.7,26.7,32.2,33.8,33.3,40.8,43,44.4,54.4,52.8,52.5,69.5,80.6,77.2,102.7,113.6,125.6,122.3,125.3,142.5,159.1,201.4,244.3,270.8,233.6,314.8,280,268.4,241.4,272.9,287.1,299.4,324.2,366,284,249.5,250.9,228.4,218.3,276.8,158.6,168.5,132.3,159.2,110.6
"41","34","  Personal saving as a percentage of disposable personal income","A072RC1",4.5,4.1,3.9,-0.9,-1.5,1,4.3,6.3,6,2,4.5,5.7,12.2,24.1,25.6,26.1,20.4,9.6,4.3,7,5,7.2,8.4,8.4,8.3,7.6,6.9,8.5,8.5,8.6,7.6,7.3,8.4,8.3,7.8,8.8,8.6,8.3,9.5,8.4,7.8,9.4,10.1,8.9,10.5,10.6,10.6,9.4,8.7,8.9,8.9,10,10.9,11.2,9,10.8,9,8.2,7,7.3,7.1,7,7.3,7.7,5.8,4.8,4.6,4,3.6,4.3,2.4,2.3,1.8,2,1.4
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","35","    Total, billions of chained (2000) dollars \3\","A067RX1",712.7,666.8,643.5,558.4,542.3,594.5,652.2,733.6,758.6,715.5,774.9,826.5,950.7,1069.9,1119.9,1160.7,1145.3,1132.7,1090.3,1148.4,1155.8,1260,1297.3,1339.4,1404.5,1422.1,1516.7,1589.7,1628.5,1642.6,1715.5,1759.7,1819.2,1908.2,1979.1,2122.8,2253.3,2371.9,2475.9,2588,2668.7,2781.7,2907.9,3046.5,3252.3,3228.5,3302.6,3432.2,3552.9,3718.8,3811.2,3857.7,3960,4044.9,4177.7,4494.1,4645.2,4791,4874.5,5082.6,5224.8,5324.2,5351.7,5536.3,5594.2,5746.4,5905.7,6080.9,6295.8,6663.9,6861.3,7194,7333.3,7559.5,7733.8
