"","Table 7#18# Relation of Wages and Salaries in the National Incom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Total wages and salaries, BLS \1\","BA06RC1","1,479,187.0","1,563,540.0","1,718,002.0","1,847,999.0","1,961,526.0","2,107,867.0","2,280,602.0","2,415,119.0","2,564,522.0","2,626,972.0","2,781,676.0","2,884,472.0","3,033,677.0","3,215,921.0","3,414,515.0","3,674,032.0","3,967,072.0","4,235,579.0","4,587,709.0","4,695,225.0","4,714,375.0","4,826,252.0","5,087,562.0","5,351,949.0","5,692,569.0","6,018,089.0","6,142,159.0","5,858,165.0"
"20","2","Plus: Adjustment for misreporting on employment tax returns \2\","BA07RC1","25,604.0","26,951.0","28,156.0","29,935.0","31,851.0","33,399.0","36,321.0","38,194.0","40,237.0","42,548.0","43,578.0","44,958.0","46,481.0","48,041.0","49,630.0","52,432.0","54,999.0","57,790.0","60,690.0","65,138.0","68,815.0","72,592.0","77,014.0","75,965.0","81,268.0","95,728.0","91,367.0","89,214.0"
"21","3","      Adjustment for wages and salaries not covered or not fully covered by unemployment insurance","W873RC1","82,730.0","87,466.0","98,536.0","104,846.0","108,958.0","115,000.0","122,859.0","129,738.0","136,390.0","145,008.0","148,287.0","147,160.0","150,681.0","154,060.0","152,196.0","150,107.0","159,550.0","166,657.0","179,299.0","191,839.0","214,116.0","240,753.0","261,114.0","273,068.0","295,056.0","307,906.0","325,518.0","326,741.0"
"22","4","        Government","W787RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","69,871.0","70,307.0","72,063.0","70,880.0","69,587.0","71,788.0","75,848.0","79,629.0","78,811.0","89,505.0","102,897.0","110,888.0","119,847.0","123,415.0","128,778.0","137,309.0","143,638.0"
"23","5","        Other","W786RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","77,289.0","80,374.0","81,997.0","81,316.0","80,520.0","87,762.0","90,809.0","99,670.0","113,028.0","124,611.0","137,856.0","150,226.0","153,221.0","171,641.0","179,128.0","188,209.0","183,103.0"
"24","6","Equals: Wage and salary disbursements, NIPAs","A576RC1","1,587,521.0","1,677,957.0","1,844,695.0","1,982,780.0","2,102,334.0","2,256,266.0","2,439,783.0","2,583,050.0","2,741,149.0","2,814,527.0","2,973,540.0","3,076,590.0","3,230,839.0","3,418,022.0","3,616,341.0","3,876,569.0","4,181,621.0","4,460,027.0","4,827,698.0","4,952,201.0","4,997,307.0","5,139,598.0","5,425,691.0","5,700,980.0","6,068,893.0","6,421,726.0","6,559,043.0","6,274,118.0"
"25","7","Plus: Wage accruals less disbursements, NIPAs","A062RC1","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","-15,756.0","6,447.0","17,619.0","16,369.0","3,648.0","-2,933.0","-705.0","5,150.0","0.0","0.0","0.0","15,000.0","-15,000.0","5,000.0","1,250.0","-6,250.0","-5,000.0","5,000.0"
"26","8","Equals: Wage and salary accruals, NIPAs","A034RC1","1,587,517.0","1,677,513.0","1,844,915.0","1,982,550.0","2,102,335.0","2,256,266.0","2,439,782.0","2,583,051.0","2,741,199.0","2,814,478.0","2,957,785.0","3,083,037.0","3,248,458.0","3,434,391.0","3,619,989.0","3,873,638.0","4,180,916.0","4,465,176.0","4,827,698.0","4,952,202.0","4,997,306.0","5,154,598.0","5,410,691.0","5,705,982.0","6,070,143.0","6,415,473.0","6,554,044.0","6,279,120.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Total annual wages of workers covered by state unemployment insurance (UI) laws and by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Unemployment Compensation for Federal Employees program.  Data for the most recent year are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","preliminary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. Consists of unreported wages and salaries paid by employers and of unreported tips.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BLS Bureau of Labor Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
