"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      Personal consumption expenditures","DPCERC1","605,124.0","648,301.0","701,613.0","770,230.0","852,013.0","932,932.0","1,033,788.0","1,151,254.0","1,277,823.0","1,427,621.0","1,591,167.0","1,755,826.0","1,939,506.0","2,075,495.0","2,288,576.0","2,501,083.0","2,717,608.0","2,896,746.0","3,096,960.0","3,350,056.0","3,594,490.0","3,835,453.0","3,980,073.0","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,013.0","8,285,080.0","8,819,002.0","9,322,662.0","9,806,312.0","10,104,487.0","10,001,328.0"
"20","2","Household consumption expenditures \1\","DPHCRC1","595,042.0","637,211.0","689,282.0","756,615.0","837,386.0","916,499.0","1,015,737.0","1,131,187.0","1,256,032.0","1,403,150.0","1,563,363.0","1,723,937.0","1,903,238.0","2,035,404.0","2,245,670.0","2,453,492.0","2,667,262.0","2,841,379.0","3,038,428.0","3,283,297.0","3,522,774.0","3,755,838.0","3,895,829.0","4,144,548.0","4,388,972.0","4,648,434.0","4,880,114.0","5,157,889.0","5,458,378.0","5,787,490.0","6,197,376.0","6,665,005.0","6,962,602.0","7,234,189.0","7,592,198.0","8,075,064.0","8,604,929.0","9,082,315.0","9,552,143.0","9,825,663.0","9,742,473.0"
"21","3","  Food and beverages purchased for off-premises consumption","DFXARC1","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","486,506.0","513,569.0","537,457.0","559,707.0","569,607.0","593,127.0","628,152.0","665,015.0","697,973.0","737,420.0","775,209.0","777,875.0"
"22","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRC1","83,626.0","90,403.0","92,596.0","98,682.0","109,591.0","124,183.0","136,203.0","145,643.0","156,544.0","171,120.0","190,251.0","207,982.0","221,683.0","231,345.0","239,182.0","252,733.0","262,331.0","273,849.0","281,807.0","298,998.0","319,460.0","341,238.0","351,488.0","354,596.0","362,392.0","378,285.0","388,268.0","402,756.0","412,764.0","422,087.0","444,945.0","463,125.0","482,228.0","490,397.0","510,665.0","539,300.0","569,535.0","594,309.0","627,863.0","662,647.0","664,005.0"
"23","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRC1","11,014.0","12,327.0","13,785.0","14,901.0","16,009.0","17,665.0","19,234.0","20,469.0","22,065.0","23,777.0","26,773.0","29,952.0","32,442.0","34,667.0","36,805.0","37,352.0","39,696.0","41,670.0","41,762.0","43,077.0","45,256.0","49,298.0","50,858.0","49,294.0","50,537.0","53,313.0","55,000.0","58,676.0","61,598.0","64,037.0","68,274.0","74,014.0","77,193.0","78,929.0","82,187.0","88,551.0","95,137.0","103,250.0","109,203.0","112,136.0","113,457.0"
"24","6","    Food produced and consumed on farms","DFFDRC1","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","301.0","343.0","414.0","354.0","426.0","413.0"
"25","7","  Clothing, footwear, and related services","DCAFRC1","48,810.0","49,944.0","53,385.0","57,972.0","63,667.0","66,877.0","71,433.0","76,914.0","84,296.0","94,638.0","101,939.0","108,834.0","119,142.0","122,670.0","132,895.0","144,673.0","154,299.0","165,119.0","176,369.0","188,162.0","201,386.0","206,960.0","210,437.0","223,025.0","230,952.0","239,686.0","244,147.0","252,713.0","262,012.0","273,016.0","287,050.0","297,319.0","294,336.0","295,169.0","302,782.0","315,864.0","331,806.0","347,183.0","356,671.0","352,083.0","339,534.0"
"26","8","    Clothing","DCLTRC1","40,729.0","41,873.0","44,937.0","48,737.0","53,475.0","56,646.0","60,709.0","65,466.0","71,701.0","80,152.0","85,543.0","91,053.0","99,368.0","103,073.0","112,098.0","122,656.0","130,943.0","140,206.0","149,864.0","160,007.0","170,446.0","174,823.0","178,487.0","189,484.0","196,110.0","202,791.0","206,053.0","212,735.0","220,823.0","229,567.0","241,394.0","250,398.0","247,783.0","248,851.0","255,527.0","267,174.0","280,326.0","292,931.0","301,525.0","296,957.0","286,244.0"
"27","9","      Garments","DGARRC1","35,477.0","36,617.0","39,637.0","43,168.0","47,808.0","50,826.0","54,905.0","59,203.0","65,063.0","73,082.0","78,224.0","83,275.0","91,390.0","94,941.0","103,338.0","113,149.0","120,984.0","129,527.0","138,166.0","146,880.0","156,207.0","159,977.0","163,962.0","174,421.0","180,888.0","187,271.0","190,094.0","196,380.0","203,240.0","211,129.0","221,908.0","230,023.0","227,216.0","228,008.0","234,958.0","246,418.0","258,976.0","270,450.0","278,286.0","273,525.0","263,599.0"
"28","10","        Women's and girls' clothing","DWGCRC1","21,299.0","21,939.0","24,019.0","25,761.0","28,305.0","29,859.0","32,158.0","34,493.0","37,532.0","42,476.0","45,544.0","48,470.0","53,260.0","55,319.0","60,745.0","66,992.0","72,201.0","77,933.0","83,096.0","87,550.0","92,654.0","94,545.0","96,473.0","103,175.0","106,397.0","108,421.0","108,922.0","111,410.0","113,922.0","118,968.0","126,520.0","132,721.0","132,134.0","133,306.0","137,441.0","144,500.0","151,928.0","158,885.0","164,288.0","160,754.0","154,753.0"
"29","11","        Men's and boys' clothing","DMBCRC1","13,390.0","13,724.0","14,747.0","16,331.0","18,175.0","19,303.0","20,874.0","22,549.0","25,065.0","27,601.0","29,236.0","30,894.0","33,548.0","34,524.0","37,092.0","40,190.0","42,459.0","44,884.0","48,049.0","51,723.0","55,584.0","57,381.0","59,392.0","63,009.0","66,065.0","70,095.0","72,209.0","75,838.0","79,957.0","82,193.0","84,621.0","85,874.0","83,203.0","82,445.0","85,075.0","89,057.0","93,559.0","97,424.0","99,413.0","98,256.0","94,894.0"
"30","12","        Children's and infants' clothing","DCICRC1","788.0","954.0","871.0","1,076.0","1,328.0","1,664.0","1,873.0","2,161.0","2,466.0","3,005.0","3,444.0","3,911.0","4,582.0","5,098.0","5,501.0","5,967.0","6,324.0","6,710.0","7,021.0","7,607.0","7,969.0","8,051.0","8,097.0","8,237.0","8,426.0","8,755.0","8,963.0","9,132.0","9,361.0","9,968.0","10,767.0","11,428.0","11,879.0","12,257.0","12,442.0","12,861.0","13,489.0","14,141.0","14,585.0","14,515.0","13,952.0"
"31","13","      Other clothing materials","DOCMRC1","1,053.0","1,055.0","1,263.0","1,458.0","1,613.0","1,738.0","1,619.0","1,933.0","2,031.0","2,132.0","2,147.0","2,360.0","2,441.0","2,615.0","2,742.0","2,898.0","2,950.0","3,210.0","3,533.0","3,705.0","3,820.0","3,752.0","3,809.0","3,910.0","3,934.0","3,806.0","3,570.0","3,666.0","3,524.0","3,693.0","4,017.0","4,358.0","4,560.0","4,975.0","5,266.0","5,382.0","5,566.0","5,854.0","5,996.0","5,968.0","5,862.0"
"32","14","      Cleaning, repair, and rental of clothing","DCRCRC1","4,199.0","4,201.0","4,037.0","4,111.0","4,054.0","4,082.0","4,185.0","4,330.0","4,607.0","4,938.0","5,172.0","5,418.0","5,537.0","5,517.0","6,018.0","6,609.0","7,009.0","7,469.0","8,165.0","9,422.0","10,419.0","11,094.0","10,716.0","11,153.0","11,288.0","11,714.0","12,389.0","12,689.0","14,059.0","14,745.0","15,469.0","16,017.0","16,007.0","15,868.0","15,303.0","15,374.0","15,784.0","16,627.0","17,243.0","17,464.0","16,783.0"
"33","15","        Laundry and dry cleaning services","DDRYRC1","2,555.0","2,526.0","2,396.0","2,421.0","2,123.0","2,099.0","2,112.0","2,142.0","2,277.0","2,538.0","2,686.0","2,850.0","2,845.0","2,653.0","2,905.0","3,097.0","3,110.0","3,208.0","3,552.0","3,965.0","4,232.0","4,091.0","4,379.0","5,483.0","5,606.0","5,931.0","6,250.0","6,487.0","7,239.0","7,645.0","8,053.0","8,319.0","8,305.0","8,244.0","7,836.0","8,146.0","8,427.0","9,026.0","9,359.0","9,471.0","9,112.0"
"34","16","        Clothing repair, rental, and alterations","DLGRRC1","1,644.0","1,675.0","1,641.0","1,690.0","1,931.0","1,983.0","2,073.0","2,188.0","2,330.0","2,400.0","2,486.0","2,568.0","2,692.0","2,864.0","3,113.0","3,512.0","3,899.0","4,261.0","4,613.0","5,457.0","6,187.0","7,003.0","6,337.0","5,670.0","5,682.0","5,783.0","6,139.0","6,202.0","6,820.0","7,100.0","7,416.0","7,698.0","7,702.0","7,624.0","7,467.0","7,228.0","7,357.0","7,601.0","7,884.0","7,993.0","7,671.0"
"35","17","    Footwear \2\","DFTWRC1","8,081.0","8,071.0","8,448.0","9,235.0","10,192.0","10,231.0","10,724.0","11,448.0","12,595.0","14,486.0","16,396.0","17,781.0","19,774.0","19,597.0","20,797.0","22,017.0","23,356.0","24,913.0","26,505.0","28,155.0","30,940.0","32,137.0","31,950.0","33,541.0","34,842.0","36,895.0","38,094.0","39,978.0","41,189.0","43,449.0","45,656.0","46,921.0","46,553.0","46,318.0","47,255.0","48,690.0","51,480.0","54,252.0","55,146.0","55,126.0","53,290.0"
"36","18","  Housing, utilities, and fuels","DHUFRC1","105,490.0","113,786.0","124,478.0","136,172.0","149,680.0","166,298.0","184,844.0","204,630.0","228,689.0","255,630.0","287,548.0","327,027.0","367,476.0","401,193.0","434,537.0","471,901.0","513,995.0","546,824.0","582,822.0","625,907.0","667,324.0","709,115.0","747,817.0","783,331.0","826,867.0","879,205.0","926,774.0","975,497.0","1,023,142.0","1,076,806.0","1,137,399.0","1,214,462.0","1,303,242.0","1,349,054.0","1,410,630.0","1,480,618.0","1,603,868.0","1,708,233.0","1,779,387.0","1,861,249.0","1,899,221.0"
"37","19","    Housing","DHSGRC1","84,207.0","91,040.0","99,725.0","108,730.0","118,990.0","130,045.0","142,420.0","156,034.0","173,353.0","194,495.0","218,026.0","245,916.0","277,830.0","302,480.0","327,163.0","358,441.0","394,682.0","429,228.0","461,750.0","497,345.0","531,470.0","570,438.0","601,788.0","634,533.0","665,948.0","712,583.0","756,172.0","794,234.0","839,282.0","893,933.0","950,490.0","1,010,486.0","1,085,759.0","1,134,517.0","1,176,116.0","1,233,890.0","1,328,897.0","1,416,275.0","1,472,855.0","1,533,170.0","1,581,640.0"
"38","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRC1","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","61,835.0","70,950.0","78,614.0","85,536.0","94,646.0","108,307.0","119,301.0","126,824.0","133,753.0","140,127.0","150,669.0","157,633.0","163,882.0","168,752.0","176,679.0","186,233.0","191,213.0","199,384.0","208,990.0","218,730.0","227,926.0","241,929.0","249,150.0","247,106.0","253,681.0","264,687.0","283,410.0","311,112.0","326,332.0","346,113.0"
"39","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRC1","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,385.0","201,023.0","218,189.0","235,996.0","258,101.0","280,785.0","304,497.0","329,438.0","357,613.0","384,868.0","412,788.0","436,687.0","462,819.0","488,461.0","526,209.0","559,814.0","592,467.0","629,459.0","674,050.0","720,267.0","768,886.0","829,759.0","870,850.0","913,823.0","962,526.0","1,044,497.0","1,111,028.0","1,141,254.0","1,184,505.0","1,211,933.0"
"40","22","      Rental value of farm dwellings","DFARRC1","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","20,917.0","19,496.0","21,290.0","22,516.0"
"41","23","      Group housing","DGRHRC1","492.0","510.0","511.0","510.0","530.0","590.0","661.0","680.0","632.0","571.0","555.0","526.0","512.0","529.0","460.0","493.0","476.0","447.0","447.0","505.0","568.0","640.0","694.0","625.0","668.0","674.0","721.0","795.0","803.0","870.0","902.0","928.0","929.0","877.0","901.0","890.0","884.0","920.0","993.0","1,043.0","1,078.0"
"42","24","    Household utilities and fuels","DUTFRC1","21,283.0","22,746.0","24,753.0","27,442.0","30,690.0","36,253.0","42,424.0","48,596.0","55,336.0","61,135.0","69,522.0","81,111.0","89,646.0","98,713.0","107,374.0","113,460.0","119,313.0","117,596.0","121,072.0","128,562.0","135,854.0","138,677.0","146,029.0","148,798.0","160,919.0","166,622.0","170,602.0","181,263.0","183,860.0","182,873.0","186,909.0","203,976.0","217,483.0","214,537.0","234,514.0","246,728.0","274,971.0","291,958.0","306,532.0","328,079.0","317,581.0"
"43","25","      Water supply and sanitation","DWRSRC1","2,758.0","3,162.0","3,559.0","4,011.0","4,438.0","4,920.0","5,460.0","6,005.0","6,669.0","7,531.0","8,409.0","9,398.0","10,476.0","11,657.0","13,107.0","14,938.0","16,978.0","19,078.0","21,074.0","22,881.0","25,260.0","27,149.0","28,819.0","30,294.0","33,498.0","36,733.0","39,337.0","42,069.0","44,058.0","46,214.0","48,740.0","50,440.0","52,379.0","54,609.0","57,309.0","60,194.0","63,579.0","68,822.0","72,547.0","76,543.0","80,008.0"
"44","26","      Electricity, gas, and other fuels","DEGFRC1","18,525.0","19,584.0","21,194.0","23,431.0","26,252.0","31,333.0","36,964.0","42,591.0","48,667.0","53,604.0","61,113.0","71,713.0","79,170.0","87,056.0","94,267.0","98,522.0","102,335.0","98,518.0","99,998.0","105,681.0","110,594.0","111,528.0","117,210.0","118,504.0","127,421.0","129,889.0","131,265.0","139,194.0","139,802.0","136,659.0","138,169.0","153,536.0","165,104.0","159,928.0","177,205.0","186,534.0","211,392.0","223,136.0","233,985.0","251,536.0","237,573.0"
"45","27","        Electricity","DELCRC1","8,772.0","9,604.0","10,622.0","11,803.0","13,303.0","16,101.0","19,388.0","21,633.0","25,174.0","28,042.0","30,741.0","37,187.0","42,472.0","47,018.0","51,576.0","55,321.0","59,254.0","60,621.0","63,253.0","66,834.0","69,681.0","71,809.0","76,636.0","76,774.0","82,749.0","84,505.0","87,581.0","90,491.0","90,704.0","93,408.0","93,578.0","98,359.0","103,368.0","107,106.0","111,532.0","115,871.0","128,720.0","140,940.0","148,673.0","155,829.0","157,752.0"
"46","28","        Natural gas","DGHERC1","5,245.0","5,615.0","6,075.0","6,641.0","6,755.0","7,513.0","9,259.0","10,991.0","12,610.0","14,211.0","16,227.0","19,317.0","21,174.0","25,813.0","29,316.0","29,569.0","29,754.0","26,758.0","25,731.0","27,392.0","29,190.0","26,960.0","28,297.0","29,587.0","32,308.0","32,645.0","30,689.0","34,452.0","35,864.0","31,683.0","32,236.0","39,270.0","46,236.0","38,533.0","48,863.0","52,285.0","61,646.0","59,916.0","61,704.0","67,603.0","56,925.0"
"47","29","        Fuel oil and other fuels","DFULRC1","4,508.0","4,365.0","4,497.0","4,987.0","6,194.0","7,719.0","8,317.0","9,967.0","10,883.0","11,351.0","14,145.0","15,209.0","15,524.0","14,225.0","13,375.0","13,632.0","13,327.0","11,139.0","11,014.0","11,455.0","11,723.0","12,759.0","12,277.0","12,143.0","12,364.0","12,739.0","12,995.0","14,251.0","13,234.0","11,568.0","12,355.0","15,907.0","15,500.0","14,289.0","16,810.0","18,378.0","21,026.0","22,280.0","23,608.0","28,104.0","22,896.0"
"48","30","  Furnishings, household equipment, and routine household maintenance","DFHHRC1","45,381.0","46,617.0","48,764.0","53,519.0","59,945.0","64,605.0","67,804.0","75,042.0","84,020.0","93,595.0","104,324.0","110,736.0","118,283.0","121,040.0","132,337.0","147,102.0","155,992.0","168,658.0","176,892.0","186,561.0","197,475.0","200,559.0","199,110.0","209,399.0","221,891.0","238,615.0","251,693.0","263,722.0","277,270.0","296,846.0","319,652.0","342,491.0","351,095.0","363,539.0","376,468.0","400,430.0","423,860.0","445,411.0","453,593.0","445,184.0","419,532.0"
"49","31","    Furniture, furnishings, and floor coverings \5\","DFURRC1","15,000.0","15,073.0","15,919.0","18,054.0","20,497.0","22,083.0","22,574.0","24,830.0","28,265.0","31,111.0","34,462.0","35,252.0","36,625.0","35,943.0","40,598.0","45,971.0","49,164.0","54,432.0","58,991.0","62,096.0","66,067.0","65,269.0","63,768.0","66,016.0","69,818.0","75,148.0","78,797.0","83,291.0","88,426.0","95,438.0","104,708.0","114,449.0","117,060.0","122,179.0","125,841.0","134,940.0","143,005.0","149,658.0","149,766.0","141,137.0","129,961.0"
"50","32","    Household textiles","DTEXRC1","4,739.0","4,669.0","4,669.0","4,915.0","5,445.0","5,766.0","6,035.0","6,549.0","7,152.0","7,863.0","8,696.0","9,433.0","10,357.0","10,842.0","12,396.0","14,252.0","15,577.0","17,747.0","19,166.0","20,089.0","20,376.0","20,436.0","20,545.0","21,986.0","23,435.0","25,571.0","27,109.0","28,854.0","30,130.0","31,039.0","32,955.0","34,243.0","34,036.0","34,955.0","36,193.0","38,184.0","40,220.0","42,109.0","42,733.0","41,794.0","39,790.0"
"51","33","    Household appliances \6\","DHAPRC1","7,252.0","7,656.0","8,283.0","9,277.0","10,220.0","10,711.0","10,998.0","11,992.0","13,290.0","14,265.0","15,700.0","16,105.0","16,640.0","16,142.0","17,809.0","19,439.0","20,938.0","22,285.0","22,801.0","23,793.0","24,961.0","24,758.0","24,446.0","25,533.0","26,659.0","27,711.0","29,025.0","29,626.0","29,783.0","32,041.0","35,145.0","37,639.0","39,295.0","41,158.0","42,401.0","44,997.0","47,601.0","49,958.0","50,224.0","49,316.0","46,388.0"
"52","34","    Glassware, tableware, and household utensils \7\","DUTERC1","3,505.0","3,561.0","3,735.0","4,083.0","4,715.0","5,213.0","5,732.0","6,511.0","7,321.0","8,558.0","9,537.0","10,550.0","11,815.0","12,809.0","13,351.0","14,084.0","14,397.0","15,142.0","15,123.0","16,271.0","17,502.0","18,360.0","18,537.0","20,050.0","21,145.0","22,766.0","23,743.0","24,772.0","25,682.0","28,326.0","31,909.0","35,274.0","37,115.0","39,973.0","41,415.0","43,376.0","45,361.0","47,759.0","48,945.0","47,970.0","46,572.0"
"53","35","    Tools and equipment for house and garden","DTOORC1","1,530.0","1,569.0","1,674.0","1,845.0","2,168.0","2,461.0","2,772.0","3,188.0","3,692.0","4,209.0","4,856.0","5,255.0","5,706.0","5,998.0","6,466.0","7,039.0","7,270.0","7,678.0","8,123.0","8,714.0","9,238.0","9,693.0","9,867.0","10,677.0","11,492.0","12,541.0","13,046.0","13,643.0","14,486.0","15,422.0","16,378.0","17,077.0","17,603.0","18,077.0","19,113.0","20,775.0","22,310.0","23,420.0","23,196.0","22,599.0","20,795.0"
"54","36","    Other household goods and services \8\","DOGSRC1","13,355.0","14,089.0","14,484.0","15,345.0","16,900.0","18,371.0","19,693.0","21,972.0","24,300.0","27,589.0","31,073.0","34,141.0","37,140.0","39,306.0","41,717.0","46,317.0","48,646.0","51,374.0","52,688.0","55,598.0","59,331.0","62,043.0","61,947.0","65,137.0","69,342.0","74,878.0","79,973.0","83,536.0","88,763.0","94,580.0","98,557.0","103,809.0","105,986.0","107,197.0","111,505.0","118,158.0","125,363.0","132,507.0","138,729.0","142,368.0","136,026.0"
"55","37","  Health","DHLTRC1","50,019.0","56,849.0","63,384.0","70,422.0","78,680.0","88,653.0","102,718.0","116,758.0","131,576.0","149,369.0","169,876.0","195,473.0","228,860.0","254,921.0","287,133.0","315,155.0","345,323.0","378,377.0","419,876.0","470,722.0","518,984.0","583,725.0","638,374.0","700,443.0","741,682.0","779,896.0","826,008.0","868,313.0","919,881.0","979,652.0","1,033,335.0","1,109,594.0","1,209,404.0","1,317,081.0","1,403,832.0","1,500,649.0","1,601,456.0","1,688,079.0","1,789,674.0","1,882,676.0","1,973,070.0"
"56","38","    Medical products, appliances, and equipment","DMPARC1","7,960.0","9,186.0","9,659.0","10,580.0","11,505.0","12,570.0","13,718.0","14,909.0","15,885.0","18,167.0","21,036.0","23,812.0","26,946.0","29,739.0","34,008.0","38,677.0","43,128.0","48,217.0","53,865.0","60,671.0","67,775.0","77,523.0","82,615.0","87,658.0","92,873.0","99,435.0","106,122.0","116,246.0","128,932.0","147,606.0","169,745.0","191,169.0","212,839.0","234,208.0","254,563.0","270,919.0","285,504.0","307,347.0","324,256.0","335,466.0","349,846.0"
"57","39","      Pharmaceutical and other medical products \9\","DPHMRC1","6,294.0","7,282.0","7,720.0","8,413.0","9,095.0","9,868.0","10,680.0","11,652.0","12,371.0","14,218.0","16,509.0","18,740.0","21,286.0","23,496.0","26,872.0","30,318.0","33,510.0","37,207.0","41,265.0","45,903.0","51,906.0","59,118.0","65,101.0","69,561.0","73,991.0","79,060.0","85,109.0","93,241.0","103,671.0","119,792.0","140,041.0","159,000.0","181,006.0","200,165.0","219,566.0","234,493.0","247,268.0","267,136.0","280,992.0","291,203.0","305,922.0"
"58","40","        Pharmaceutical products","DPNPRC1","6,135.0","7,086.0","7,506.0","8,197.0","8,858.0","9,560.0","10,349.0","11,320.0","12,009.0","13,799.0","16,051.0","18,260.0","20,799.0","22,988.0","26,297.0","29,659.0","32,774.0","36,386.0","40,365.0","44,929.0","50,794.0","57,868.0","63,756.0","68,196.0","72,609.0","77,692.0","83,758.0","91,918.0","102,346.0","118,258.0","138,306.0","157,050.0","178,948.0","198,000.0","217,308.0","232,077.0","244,722.0","264,387.0","278,050.0","288,165.0","302,862.0"
