"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"65","44","Health","G170441","8,154.0","8,902.0","9,746.0","10,608.0","12,293.0","14,780.0","17,708.0","20,941.0","24,334.0","27,906.0","32,507.0","39,077.0","46,581.0","54,169.0","61,213.0","68,377.0","73,737.0","79,745.0","86,312.0","91,652.0","103,974.0","113,948.0","124,162.0","139,608.0","154,053.0","168,169.0","186,652.0","202,870.0","215,945.0","215,875.0","215,542.0","223,997.0","253,861.0","272,875.0","289,315.0","315,438.0","345,114.0","413,383.0","442,012.0","477,989.0","519,031.0"
"66","45","Recreation and culture","G170451","9.0","31.0","63.0","43.0","66.0","139.0","91.0","234.0","190.0","239.0","205.0","312.0","408.0","264.0","231.0","782.0","330.0","476.0","392.0","427.0","406.0","489.0","500.0","458.0","412.0","430.0","423.0","378.0","349.0","348.0","462.0","435.0","467.0","492.0","518.0","556.0","591.0","574.0","585.0","598.0","600.0"
"67","46","Education","G170461","1,312.0","1,973.0","2,496.0","3,194.0","3,746.0","4,502.0","6,688.0","6,357.0","5,713.0","5,708.0","5,993.0","6,890.0","7,724.0","6,967.0","7,622.0","7,341.0","7,424.0","7,069.0","7,137.0","7,629.0","9,441.0","9,116.0","9,418.0","10,639.0","12,663.0","12,287.0","13,087.0","12,802.0","13,847.0","15,412.0","15,890.0","15,625.0","18,447.0","20,664.0","21,142.0","22,642.0","23,740.0","23,923.0","25,508.0","30,134.0","40,768.0"
"68","47","Income security","G170471","36,369.0","44,834.0","53,579.0","59,049.0","68,885.0","84,469.0","108,957.0","117,023.0","123,419.0","130,253.0","146,003.0","175,529.0","198,467.0","223,300.0","236,857.0","235,647.0","247,169.0","259,646.0","266,071.0","281,014.0","300,556.0","326,675.0","362,131.0","402,612.0","418,969.0","430,956.0","448,234.0","467,079.0","478,756.0","491,645.0","510,950.0","536,629.0","571,651.0","629,016.0","660,169.0","684,594.0","717,724.0","752,917.0","796,804.0","890,306.0","1,056,184.0"
"69","48","      State and local","B109RC1","13,217.0","16,101.0","19,332.0","21,953.0","24,084.0","25,276.0","30,802.0","34,138.0","37,039.0","40,767.0","44,316.0","51,201.0","57,090.0","61,197.0","66,906.0","71,169.0","77,260.0","84,344.0","90,726.0","98,501.0","109,348.0","127,655.0","156,517.0","179,996.0","195,210.0","206,707.0","217,636.0","224,255.0","227,558.0","235,779.0","252,349.0","271,433.0","305,069.0","333,009.0","353,410.0","384,275.0","404,765.0","402,909.0","433,724.0","455,164.0","492,083.0"
"70","49","General public service","G170491","75.0","82.0","67.0","70.0","141.0","265.0","169.0","32.0","35.0","30.0","26.0","24.0","22.0","351.0","356.0","176.0","303.0","358.0","415.0","475.0","518.0","558.0","556.0","567.0","591.0","615.0","645.0","704.0","798.0","945.0","1,084.0","1,212.0","1,148.0","972.0","740.0","622.0","595.0","836.0","1,140.0","1,057.0","849.0"
"71","50","Public order and safety","G170501",".....",".....",".....",".....","2.0","4.0","6.0","8.0","9.0","11.0","12.0","15.0","18.0","21.0","24.0","28.0","32.0","36.0","41.0","46.0","52.0","60.0","65.0","69.0","75.0","84.0","92.0","99.0","106.0","112.0","119.0","130.0","138.0","141.0","144.0","147.0","156.0","168.0","181.0","191.0","197.0"
"72","51","Economic affairs","G170511","12.0","12.0","12.0","16.0","13.0","161.0","577.0","897.0","934.0","1,908.0","1,687.0","1,724.0","1,423.0","1,058.0","952.0","779.0","929.0","943.0","912.0","927.0","944.0","941.0","933.0","1,122.0","1,062.0","1,076.0","1,085.0","943.0","1,034.0","1,076.0","1,092.0","1,043.0","1,437.0","1,621.0","1,439.0","1,274.0","1,183.0","1,306.0","1,016.0","1,096.0","1,473.0"
"73","52","Health","G170521","4,640.0","5,554.0","6,853.0","8,336.0","9,769.0","11,542.0","14,351.0","15,996.0","17,527.0","19,514.0","21,984.0","25,144.0","29,429.0","32,281.0","36,172.0","39,046.0","42,672.0","47,112.0","51,626.0","57,008.0","65,239.0","78,454.0","102,411.0","122,096.0","135,469.0","145,216.0","155,338.0","163,940.0","168,596.0","175,582.0","189,563.0","205,341.0","234,972.0","258,911.0","274,262.0","300,197.0","315,412.0","311,384.0","337,332.0","352,325.0","384,115.0"
"74","53","Education","G170531","629.0","772.0","955.0","1,083.0","1,169.0","1,307.0","1,562.0","1,739.0","1,882.0","2,082.0","2,234.0","2,428.0","2,608.0","2,749.0","2,890.0","3,147.0","3,545.0","3,879.0","4,045.0","4,177.0","4,623.0","5,274.0","5,675.0","6,017.0","6,649.0","7,584.0","8,714.0","9,051.0","9,148.0","9,826.0","10,482.0","11,501.0","12,987.0","14,127.0","15,379.0","17,083.0","18,775.0","20,713.0","22,850.0","25,135.0","27,596.0"
"75","54","Income security","G170541","7,861.0","9,681.0","11,445.0","12,448.0","12,990.0","11,997.0","14,137.0","15,466.0","16,652.0","17,222.0","18,373.0","21,866.0","23,590.0","24,737.0","26,512.0","27,993.0","29,779.0","32,016.0","33,687.0","35,868.0","37,972.0","42,368.0","46,877.0","50,125.0","51,364.0","52,132.0","51,762.0","49,518.0","47,876.0","48,238.0","50,009.0","52,206.0","54,387.0","57,237.0","61,446.0","64,952.0","68,644.0","68,502.0","71,205.0","75,360.0","77,854.0"
"76",NA,"Grants-in-aid to state and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","55","      Federal \2\","B089RC1","14,565.0","19,317.0","23,217.0","31,701.0","34,760.0","36,273.0","45,145.0","50,733.0","56,568.0","65,528.0","66,339.0","72,343.0","72,481.0","69,498.0","71,559.0","76,676.0","80,854.0","87,605.0","83,927.0","91,615.0","98,339.0","111,448.0","131,597.0","149,125.0","164,005.0","175,074.0","184,216.0","191,095.0","198,407.0","212,601.0","232,900.0","247,302.0","276,085.0","304,161.0","338,005.0","349,182.0","361,229.0","359,042.0","380,752.0","396,213.0","484,589.0"
"78","56","General public service","G170561","121.0","247.0","244.0","2,891.0","7,365.0","6,505.0","6,545.0","7,616.0","8,604.0","8,307.0","7,244.0","7,204.0","4,889.0","5,201.0","5,347.0","5,027.0","5,052.0","6,468.0","759.0","1,042.0","649.0","671.0","909.0","843.0","910.0","1,120.0","1,022.0","2,124.0","2,432.0","2,385.0","3,627.0","2,113.0","2,411.0","2,519.0","12,463.0","2,982.0","3,064.0","2,362.0","2,736.0","2,616.0","2,723.0"
"79","57","National defense","G170571","375.0","370.0","355.0","364.0","408.0","407.0","430.0","469.0","655.0","739.0","839.0","1,010.0","1,143.0","1,169.0","1,172.0","1,486.0","1,676.0","1,856.0","1,908.0","1,902.0","2,114.0","2,582.0","2,851.0","2,845.0","2,978.0","2,813.0","2,715.0","2,771.0","2,908.0","3,116.0","3,198.0","3,162.0","2,930.0","3,190.0","3,670.0","3,672.0","3,952.0","3,771.0","3,838.0","4,110.0","3,903.0"
"80","58","Public order and safety","G170581","48.0","117.0","215.0","361.0","490.0","598.0","686.0","658.0","616.0","485.0","480.0","495.0","400.0","254.0","192.0","225.0","253.0","386.0","490.0","370.0","411.0","441.0","706.0","1,115.0","1,066.0","1,127.0","1,245.0","1,315.0","2,517.0","3,490.0","3,890.0","4,508.0","4,923.0","3,807.0","2,887.0","4,029.0","5,395.0","5,814.0","5,422.0","5,676.0","5,691.0"
"81","59","Economic affairs","G170591","1,635.0","1,810.0","2,369.0","3,521.0","3,823.0","3,677.0","6,432.0","7,632.0","9,329.0","15,126.0","12,779.0","11,560.0","9,880.0","6,876.0","7,037.0","6,986.0","7,141.0","7,274.0","7,153.0","7,460.0","7,724.0","8,220.0","8,338.0","8,101.0","8,327.0","8,996.0","9,015.0","8,279.0","8,720.0","8,922.0","9,188.0","9,380.0","9,941.0","11,026.0","11,455.0","12,291.0","11,926.0","12,210.0","12,452.0","13,725.0","15,652.0"
"82","60","  Transportation","G170641","0.0","0.0","2.0","9.0","4.0","5.0","6.0","14.0","34.0","44.0","64.0","55.0","50.0","63.0","44.0","44.0","47.0","44.0","49.0","51.0","38.0","38.0","35.0","36.0","40.0","49.0","57.0","38.0","30.0","28.0","17.0","6.0","0.0","4.0","0.0","0.0","2.0","2.0","0.0","29.0","108.0"
"83","61","  Space","G170651","62.0","67.0","66.0","64.0","63.0","65.0","75.0","73.0","72.0","74.0","85.0","118.0","132.0","127.0","123.0","148.0","121.0","127.0","165.0","174.0","191.0","217.0","257.0","357.0","411.0","474.0","475.0","394.0","578.0","861.0","863.0","816.0","868.0","1,007.0","965.0","561.0","546.0","552.0","616.0","696.0","379.0"
"84","62","  Other economic affairs","W695RC1","1,573.0","1,743.0","2,301.0","3,448.0","3,756.0","3,607.0","6,351.0","7,545.0","9,223.0","15,008.0","12,630.0","11,387.0","9,698.0","6,686.0","6,870.0","6,794.0","6,973.0","7,103.0","6,939.0","7,235.0","7,495.0","7,965.0","8,046.0","7,708.0","7,876.0","8,473.0","8,483.0","7,847.0","8,112.0","8,033.0","8,308.0","8,558.0","9,073.0","10,015.0","10,490.0","11,730.0","11,378.0","11,656.0","11,836.0","13,000.0","15,165.0"
"85","63","    General economic and labor affairs","G170601","821.0","916.0","1,443.0","2,321.0","2,325.0","2,217.0","5,090.0","6,014.0","7,540.0","13,032.0","10,344.0","8,621.0","6,663.0","3,807.0","3,759.0","3,258.0","3,385.0","3,445.0","3,365.0","3,342.0","3,434.0","3,426.0","3,464.0","3,805.0","3,797.0","4,316.0","4,256.0","4,120.0","4,309.0","4,294.0","4,449.0","4,635.0","4,712.0","5,493.0","5,212.0","6,077.0","5,166.0","5,093.0","5,296.0","5,093.0","6,674.0"
"86","64","    Agriculture","G170611","345.0","391.0","468.0","664.0","943.0","807.0","575.0","639.0","586.0","728.0","808.0","810.0","783.0","734.0","715.0","788.0","854.0","931.0","910.0","976.0","1,097.0","1,286.0","1,452.0","1,193.0","1,384.0","1,505.0","1,530.0","1,111.0","950.0","900.0","878.0","783.0","840.0","874.0","875.0","890.0","880.0","936.0","1,027.0","1,139.0","1,422.0"
"87","65","    Energy","G170621","168.0","165.0","145.0","176.0","187.0","187.0","317.0","395.0","383.0","489.0","634.0","961.0","1,126.0","935.0","1,077.0","1,262.0","1,324.0","1,274.0","1,243.0","1,283.0","1,359.0","1,466.0","1,389.0","1,026.0","1,099.0","1,119.0","1,062.0","1,046.0","1,082.0","1,044.0","1,107.0","1,114.0","1,054.0","1,174.0","1,277.0","1,305.0","1,327.0","1,270.0","1,260.0","1,872.0","2,636.0"
"88","66","    Natural resources","G170631","239.0","271.0","245.0","287.0","301.0","396.0","369.0","497.0","714.0","759.0","844.0","995.0","1,126.0","1,210.0","1,319.0","1,486.0","1,410.0","1,453.0","1,421.0","1,634.0","1,605.0","1,787.0","1,741.0","1,684.0","1,596.0","1,533.0","1,635.0","1,570.0","1,771.0","1,795.0","1,874.0","2,026.0","2,467.0","2,474.0","3,126.0","3,458.0","4,005.0","4,357.0","4,253.0","4,896.0","4,433.0"
"89","67","Housing and community services","G170661","728.0","1,433.0","1,674.0","1,885.0","1,961.0","1,830.0","2,247.0","2,935.0","3,019.0","3,006.0","3,783.0","4,538.0","4,452.0","4,082.0","3,927.0","4,275.0","4,314.0","4,564.0","4,234.0","4,132.0","3,886.0","3,443.0","3,441.0","3,467.0","3,737.0","5,109.0","6,109.0","6,479.0","7,831.0","11,222.0","11,977.0","12,973.0","13,085.0","14,293.0","14,383.0","14,057.0","14,035.0","14,878.0","20,705.0","17,230.0","16,761.0"
"90","68","Health","G170671","2,369.0","4,332.0","4,909.0","6,962.0","6,709.0","8,979.0","10,309.0","12,031.0","13,030.0","14,029.0","15,836.0","17,610.0","20,661.0","21,249.0","22,229.0","24,048.0","26,714.0","29,227.0","31,802.0","35,932.0","40,265.0","48,922.0","63,536.0","76,124.0","86,129.0","90,014.0","97,247.0","101,729.0","104,351.0","111,133.0","123,198.0","133,398.0","152,663.0","169,555.0","185,996.0","201,261.0","208,893.0","203,132.0","216,926.0","226,045.0","286,491.0"
"91","69","Recreation and culture","G170681","52.0","55.0","79.0","112.0","125.0","177.0","170.0","186.0","188.0","255.0","279.0","375.0","347.0","271.0","214.0","299.0","192.0","153.0","134.0","108.0","95.0","86.0","93.0","97.0","108.0","121.0","117.0","260.0","209.0","239.0","230.0","259.0","283.0","366.0","383.0","458.0","431.0","526.0","479.0","475.0","487.0"
"92","70","Education","G170691","3,146.0","3,665.0","3,909.0","4,436.0","3,926.0","4,965.0","5,544.0","4,547.0","5,501.0","6,075.0","7,225.0","7,880.0","7,945.0","7,458.0","6,781.0","7,812.0","8,556.0","8,958.0","8,483.0","9,896.0","10,790.0","11,291.0","12,673.0","14,093.0","15,017.0","15,739.0","15,293.0","17,120.0","16,883.0","18,286.0","20,469.0","21,311.0","23,719.0","27,744.0","34,114.0","38,778.0","40,059.0","41,994.0","40,169.0","42,074.0","59,637.0"
"93","71","Income security","G170701","6,091.0","7,288.0","9,463.0","11,169.0","9,953.0","9,135.0","12,782.0","14,659.0","15,626.0","17,506.0","17,874.0","21,671.0","22,764.0","22,938.0","24,660.0","26,518.0","26,956.0","28,719.0","28,964.0","30,773.0","32,405.0","35,792.0","39,050.0","42,440.0","45,733.0","50,035.0","51,453.0","51,018.0","52,556.0","53,808.0","57,123.0","60,198.0","66,130.0","71,661.0","72,654.0","71,654.0","73,474.0","74,355.0","78,025.0","84,262.0","93,244.0"
"94","72","  Disability","G170711","48.0","56.0","69.0","73.0","122.0","171.0","216.0","237.0","260.0","287.0","311.0","360.0","462.0","564.0","637.0","638.0","683.0","754.0","751.0","797.0","863.0","776.0","430.0","426.0","938.0","1,003.0","1,196.0","1,283.0","1,388.0","1,428.0","1,649.0","1,635.0","1,681.0","1,763.0","1,799.0","1,873.0","1,971.0","1,969.0","1,867.0","1,946.0","2,257.0"
"95","73","  Welfare and social services","G170731","5,246.0","6,232.0","8,439.0","9,964.0","8,622.0","7,756.0","11,188.0","12,709.0","13,584.0","15,456.0","15,530.0","18,613.0","19,296.0","19,423.0","20,954.0","22,788.0","23,374.0","24,804.0","25,142.0","26,853.0","28,259.0","31,293.0","35,154.0","37,865.0","39,289.0","42,661.0","45,132.0","44,255.0","46,035.0","46,608.0","49,638.0","53,195.0","57,703.0","62,483.0","62,407.0","62,313.0","62,803.0","63,288.0","67,870.0","72,459.0","78,953.0"
"96","74","  Unemployment","G170741","570.0","678.0","719.0","876.0","768.0","893.0","1,188.0","1,342.0","1,507.0","1,480.0","1,612.0","1,985.0","2,050.0","2,097.0","2,348.0","2,304.0","2,369.0","2,499.0","2,478.0","2,614.0","2,480.0","2,762.0","3,025.0","3,549.0","3,600.0","3,202.0","3,341.0","3,337.0","3,159.0","3,332.0","3,419.0","3,064.0","3,259.0","3,561.0","3,529.0","3,424.0","3,406.0","3,411.0","3,296.0","3,695.0","4,822.0"
"97","75","  Other","G170751","227.0","322.0","236.0","256.0","441.0","315.0","190.0","371.0","275.0","283.0","421.0","713.0","956.0","854.0","721.0","788.0","530.0","662.0","593.0","509.0","803.0","961.0","441.0","600.0","1,906.0","3,169.0","1,784.0","2,143.0","1,974.0","2,440.0","2,417.0","2,304.0","3,487.0","3,854.0","4,919.0","4,044.0","5,294.0","5,687.0","4,992.0","6,162.0","7,212.0"
"98",NA,"Subsidies:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","76","      Government","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,575.0","52,783.0","60,344.0"
"100","77","Economic affairs","G170791","4,114.0","4,171.0","3,731.0","5,217.0","3,639.0","1,226.0","2,206.0","2,486.0","4,041.0","5,266.0","3,945.0","4,331.0","4,685.0","6,326.0","11,839.0","10,997.0","10,114.0","13,799.0","18,776.0","16,759.0","13,213.0","11,506.0","10,433.0","11,668.0","16,103.0","10,852.0","10,419.0","10,189.0","10,268.0","14,744.0","24,063.0","26,070.0","38,048.0","17,004.0","22,505.0","17,765.0","29,166.0","20,746.0","17,094.0","19,308.0","25,413.0"
"101","78","  Transportation","G170841","263.0","257.0","416.0","496.0","563.0","665.0","1,398.0","1,678.0","2,111.0","2,185.0","2,516.0","3,037.0","2,740.0","2,777.0","2,458.0","2,494.0","2,310.0","1,889.0","1,937.0","2,149.0","2,055.0","1,882.0","1,921.0","2,129.0","2,175.0","2,149.0","2,109.0","1,643.0","1,613.0","1,130.0","1,145.0","1,238.0","6,193.0","1,872.0","4,226.0","2,323.0","2,223.0","2,166.0","1,877.0","2,098.0","2,632.0"
"102","79","  Other economic affairs","W696RC1","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","808.0","1,930.0","3,081.0","1,429.0","1,294.0","1,945.0","3,549.0","9,381.0","8,503.0","7,804.0","11,910.0","16,839.0","14,610.0","11,158.0","9,624.0","8,512.0","9,539.0","13,928.0","8,703.0","8,310.0","8,546.0","8,655.0","13,614.0","22,918.0","24,832.0","31,855.0","15,132.0","18,279.0","15,442.0","26,943.0","18,580.0","15,217.0","17,210.0","22,781.0"
"103","80","    General economic and labor affairs","G170801",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12.0","57.0","86.0","73.0","100.0","97.0","92.0","130.0","203.0","206.0","190.0","215.0","274.0","368.0","810.0","939.0","927.0","940.0","968.0","1,210.0","1,880.0","2,166.0","2,073.0","2,473.0","2,546.0","2,792.0","3,313.0","4,972.0","9,884.0"
"104","81","    Agriculture","G170811","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","734.0","1,819.0","3,030.0","1,376.0","1,285.0","1,933.0","3,492.0","9,295.0","8,430.0","7,704.0","11,813.0","16,747.0","14,480.0","10,887.0","9,298.0","8,214.0","9,169.0","13,401.0","7,879.0","7,279.0","7,340.0","7,496.0","12,380.0","21,513.0","23,222.0","22,431.0","12,414.0","16,524.0","12,969.0","24,397.0","15,788.0","11,904.0","12,238.0","12,897.0"
"105","82","    Energy","G170821",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,024.0","385.0","-319.0","0.0","0.0","0.0","0.0","0.0","0.0"
"106","83","    Natural resources","G170831","0.0","0.0","0.0","0.0","0.0","0.0","0.0","74.0","111.0","51.0","53.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","68.0","120.0","108.0","155.0","253.0","456.0","221.0","267.0","232.0","294.0","437.0","400.0","520.0","167.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"107","84","Housing and community services","G170871","420.0","606.0","944.0","1,419.0","1,591.0","2,081.0","2,288.0","2,639.0","3,059.0","3,670.0","4,586.0","5,469.0","6,788.0","8,691.0","9,465.0","10,068.0","11,246.0","11,096.0","11,506.0","12,743.0","14,215.0","15,487.0","17,055.0","18,420.0","20,578.0","21,671.0","24,393.0","25,045.0","23,542.0","21,624.0","21,146.0","19,770.0","20,674.0","24,386.0","26,552.0","28,621.0","31,747.0","30,606.0","37,481.0","33,475.0","34,931.0"
"108","85","      Federal","B096RC1","4,509.0","4,753.0","4,641.0","6,583.0","5,149.0","3,191.0","4,336.0","4,936.0","6,890.0","8,697.0","8,204.0","9,446.0","11,071.0","14,563.0","20,862.0","20,680.0","21,033.0","24,589.0","30,007.0","29,150.0","27,052.0","26,619.0","27,076.0","29,700.0","36,318.0","32,183.0","34,502.0","34,903.0","33,374.0","35,922.0","44,780.0","45,306.0","51,057.0","40,481.0","48,973.0","46,016.0","60,540.0","50,978.0","47,441.0","49,811.0","58,941.0"
"109","86","Economic affairs","G170911","4,089.0","4,147.0","3,697.0","5,164.0","3,558.0","1,110.0","2,048.0","2,297.0","3,831.0","5,027.0","3,618.0","3,977.0","4,283.0","5,872.0","11,397.0","10,612.0","9,787.0","13,493.0","18,501.0","16,407.0","12,837.0","11,132.0","10,021.0","11,280.0","15,740.0","10,512.0","10,109.0","9,858.0","9,832.0","14,298.0","23,634.0","25,536.0","30,383.0","16,095.0","22,421.0","17,395.0","28,793.0","20,372.0","16,715.0","18,916.0","25,010.0"
"110","87","  Transportation","G170961","238.0","233.0","382.0","443.0","482.0","549.0","1,240.0","1,489.0","1,901.0","1,946.0","2,189.0","2,683.0","2,338.0","2,323.0","2,016.0","2,109.0","1,983.0","1,583.0","1,662.0","1,797.0","1,679.0","1,508.0","1,509.0","1,741.0","1,812.0","1,809.0","1,799.0","1,312.0","1,177.0","684.0","716.0","704.0","5,552.0","1,348.0","3,823.0","1,953.0","1,850.0","1,792.0","1,498.0","1,706.0","2,229.0"
"111","88","  Other economic affairs","W697RC1","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","808.0","1,930.0","3,081.0","1,429.0","1,294.0","1,945.0","3,549.0","9,381.0","8,503.0","7,804.0","11,910.0","16,839.0","14,610.0","11,158.0","9,624.0","8,512.0","9,539.0","13,928.0","8,703.0","8,310.0","8,546.0","8,655.0","13,614.0","22,918.0","24,832.0","24,831.0","14,747.0","18,598.0","15,442.0","26,943.0","18,580.0","15,217.0","17,210.0","22,781.0"
"112","89","    General economic and labor affairs","G170921",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12.0","57.0","86.0","73.0","100.0","97.0","92.0","130.0","203.0","206.0","190.0","215.0","274.0","368.0","810.0","939.0","927.0","940.0","968.0","1,210.0","1,880.0","2,166.0","2,073.0","2,473.0","2,546.0","2,792.0","3,313.0","4,972.0","9,884.0"
"113","90","    Agriculture","G170931","3,851.0","3,914.0","3,315.0","4,721.0","3,076.0","561.0","808.0","734.0","1,819.0","3,030.0","1,376.0","1,285.0","1,933.0","3,492.0","9,295.0","8,430.0","7,704.0","11,813.0","16,747.0","14,480.0","10,887.0","9,298.0","8,214.0","9,169.0","13,401.0","7,879.0","7,279.0","7,340.0","7,496.0","12,380.0","21,513.0","23,222.0","22,431.0","12,414.0","16,524.0","12,969.0","24,397.0","15,788.0","11,904.0","12,238.0","12,897.0"
"114","91","    Natural resources","G170951",".....",".....",".....",".....",".....",".....",".....","74.0","111.0","51.0","53.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","68.0","120.0","108.0","155.0","253.0","456.0","221.0","267.0","232.0","294.0","437.0","400.0","520.0","167.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"115","92","Housing and community services","G170981","420.0","606.0","944.0","1,419.0","1,591.0","2,081.0","2,288.0","2,639.0","3,059.0","3,670.0","4,586.0","5,469.0","6,788.0","8,691.0","9,465.0","10,068.0","11,246.0","11,096.0","11,506.0","12,743.0","14,215.0","15,487.0","17,055.0","18,420.0","20,578.0","21,671.0","24,393.0","25,045.0","23,542.0","21,624.0","21,146.0","19,770.0","20,674.0","24,386.0","26,552.0","28,621.0","31,747.0","30,606.0","30,726.0","30,895.0","33,931.0"
"116","93","      State and local","B114RC1","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","370.0","373.0","374.0","7,134.0","2,972.0","1,403.0"
"117","94","Economic affairs","G171001","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","370.0","373.0","374.0","379.0","392.0","403.0"
"118","95","  Transportation","G171021","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","641.0","524.0","403.0","370.0","373.0","374.0","379.0","392.0","403.0"
"119","96","  Energy","G171011",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,024.0","385.0","-319.0","0.0","0.0","0.0","0.0","0.0","0.0"
"120","97","Housing and community services","G171041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,755.0","2,580.0","1,000.0"
"121",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","98","      Government","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","495,531.0","503,378.0"
"123","99","General public service","G171061","1,807.0","1,506.0","1,710.0","1,851.0","2,362.0","3,280.0","4,126.0","4,088.0","3,893.0","4,468.0","5,084.0","5,718.0","5,811.0","6,119.0","6,163.0","6,605.0","7,484.0","8,612.0","9,485.0","9,269.0","10,395.0","12,635.0","13,581.0","13,653.0","13,208.0","14,018.0","16,336.0","16,817.0","17,949.0","19,755.0","22,067.0","24,166.0","25,202.0","28,100.0","27,623.0","30,498.0","31,037.0","30,684.0","33,745.0","37,248.0","38,439.0"
"124","100","National defense","A788RC1","11,347.0","11,073.0","7,504.0","7,468.0","8,735.0","11,066.0","13,031.0","15,297.0","16,737.0","17,801.0","21,397.0","24,290.0","28,935.0","34,746.0","41,873.0","48,692.0","57,506.0","62,920.0","66,414.0","61,277.0","62,697.0","65,915.0","63,411.0","61,556.0","55,492.0","52,962.0","51,822.0","51,649.0","45,329.0","45,753.0","48,176.0","49,208.0","50,939.0","57,043.0","62,758.0","69,576.0","74,210.0","80,973.0","86,930.0","101,676.0","107,464.0"
