"","Table 2#5#6 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"84","66","  Communication","DCMCRX1","90,265.0","98,412.0","108,377.0","118,837.0","134,743.0","155,670.0","166,645.0","171,788.0","176,662.0","185,905.0","192,759.0","208,459.0","227,461.0","233,817.0","234,056.0"
"85","67","    Telephone and facsimile equipment","DTCERX1","1,562.0","1,664.0","1,750.0","2,015.0","2,616.0","3,323.0","3,920.0","4,599.0","5,346.0","6,523.0","7,543.0","9,025.0","10,323.0","11,103.0","12,555.0"
"86","68","    Postal and delivery services","DPSSRX1","11,614.0","11,990.0","12,160.0","12,255.0","11,957.0","11,877.0","11,099.0","10,308.0","9,378.0","9,326.0","9,261.0","8,968.0","8,950.0","8,482.0","7,580.0"
"87","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRX1","9,285.0","9,616.0","9,802.0","9,768.0","9,484.0","9,332.0","8,731.0","8,140.0","7,289.0","7,353.0","7,273.0","6,985.0","7,032.0","6,806.0","6,021.0"
"88","70","      Other delivery services (by non-USPS facilities)","DODSRX1","2,287.0","2,319.0","2,282.0","2,448.0","2,448.0","2,541.0","2,362.0","2,158.0","2,101.0","1,972.0","1,988.0","1,982.0","1,921.0","1,693.0","1,568.0"
"89","71","    Telecommunication services","DTCSRX1","77,172.0","83,913.0","92,856.0","101,226.0","111,927.0","125,348.0","134,657.0","136,144.0","137,072.0","142,122.0","146,067.0","156,796.0","160,010.0","162,614.0","159,791.0"
"90","72","    Internet access","DINTRX1","1,719.0","2,774.0","3,568.0","5,175.0","9,675.0","16,329.0","17,792.0","21,207.0","25,055.0","27,971.0","29,888.0","33,776.0","50,513.0","54,961.0","58,915.0"
"91","73","  Recreation","DRRLRX1","390,301.0","420,500.0","452,095.0","495,109.0","551,328.0","600,580.0","623,608.0","657,757.0","699,106.0","756,057.0","807,396.0","866,662.0","926,096.0","936,965.0","929,254.0"
"92","74","    Video and audio equipment, computers, and related services","DVPIRX1","55,649.0","65,084.0","75,880.0","92,856.0","114,100.0","134,005.0","149,286.0","166,608.0","184,573.0","211,957.0","239,432.0","272,708.0","307,848.0","330,341.0","343,779.0"
"93","75","      Video and audio equipment","DVAARX1","31,043.0","33,326.0","34,906.0","41,218.0","49,881.0","59,127.0","66,281.0","74,945.0","81,235.0","93,536.0","107,766.0","125,825.0","143,117.0","156,371.0","163,653.0"
"94","76","      Information processing equipment \14\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"95","77","      Services related to video and audio goods and computers","DSVCRX1","53,247.0","54,479.0","55,518.0","58,315.0","63,359.0","66,906.0","68,152.0","66,274.0","68,615.0","74,098.0","75,723.0","78,335.0","83,610.0","85,405.0","85,116.0"
"96","78","    Sports and recreational goods and related services","DODRRX1","86,070.0","91,281.0","97,312.0","107,734.0","121,947.0","135,571.0","141,975.0","151,621.0","162,805.0","175,344.0","188,400.0","201,101.0","212,560.0","207,272.0","202,346.0"
"97","79","      Sports and recreational vehicles","DWHLRX1","24,027.0","25,505.0","27,771.0","30,506.0","33,113.0","35,664.0","35,627.0","36,982.0","41,448.0","45,738.0","47,741.0","48,519.0","49,451.0","43,584.0","40,145.0"
"98","80","      Other sporting and recreational goods","DORIRX1","60,068.0","63,800.0","67,556.0","74,774.0","85,635.0","95,966.0","101,825.0","109,596.0","116,263.0","124,478.0","135,249.0","146,897.0","157,108.0","158,458.0","157,835.0"
"99","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERX1","2,266.0","2,268.0","2,450.0","2,944.0","3,485.0","4,103.0","4,498.0","4,923.0","5,079.0","5,160.0","5,410.0","5,738.0","6,147.0","5,689.0","5,049.0"
"100","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRX1","96,916.0","100,435.0","103,080.0","106,085.0","106,231.0","106,873.0","105,612.0","106,294.0","107,081.0","109,373.0","110,554.0","113,738.0","116,622.0","117,740.0","113,891.0"
"101","83","      Membership clubs and participant sports centers","DMDFRX1","23,529.0","24,857.0","28,640.0","28,610.0","28,742.0","28,453.0","27,991.0","28,563.0","28,455.0","29,612.0","30,532.0","30,750.0","32,059.0","31,875.0","30,584.0"
"102","84","      Amusements parks, campgrounds, and related recreational services","DORSRX1","39,140.0","39,475.0","37,138.0","37,443.0","36,604.0","36,373.0","35,230.0","32,986.0","32,972.0","33,860.0","34,920.0","36,133.0","38,054.0","39,285.0","37,746.0"
"103","85","      Admissions to specified spectator amusements","DADMRX1","30,441.0","32,409.0","33,241.0","35,852.0","36,515.0","37,427.0","37,686.0","39,406.0","40,170.0","40,203.0","39,214.0","40,632.0","40,732.0","40,675.0","39,865.0"
"104","86","        Motion picture theaters","DMOVRX1","8,368.0","8,669.0","9,139.0","9,784.0","10,132.0","10,321.0","10,397.0","10,756.0","10,526.0","10,187.0","9,083.0","9,094.0","8,888.0","8,773.0","9,298.0"
"105","87","        Live entertainment, excluding sports","DLIGRX1","10,503.0","10,651.0","10,852.0","11,835.0","12,123.0","12,424.0","12,838.0","13,302.0","13,525.0","13,583.0","13,786.0","14,405.0","13,939.0","14,031.0","12,975.0"
"106","88","        Spectator sports","DSPERX1","11,540.0","13,090.0","13,244.0","14,224.0","14,239.0","14,665.0","14,422.0","15,322.0","16,103.0","16,427.0","16,345.0","17,133.0","17,900.0","17,866.0","17,583.0"
"107","89","      Museums and libraries","DMUSRX1","3,728.0","3,621.0","3,653.0","3,986.0","4,218.0","4,556.0","4,682.0","5,361.0","5,538.0","5,718.0","5,889.0","6,224.0","5,790.0","5,916.0","5,687.0"
"108","90","    Magazines, newspapers, books, and stationery","DNBSRX1","71,500.0","72,802.0","75,320.0","76,583.0","80,819.0","84,768.0","82,515.0","82,006.0","84,755.0","89,225.0","93,074.0","97,474.0","101,245.0","100,866.0","97,926.0"
"109","91","    Gambling","DGAMRX1","57,914.0","62,441.0","66,271.0","66,939.0","73,058.0","76,612.0","77,201.0","80,394.0","85,892.0","92,812.0","95,637.0","100,621.0","104,287.0","101,420.0","99,419.0"
"110","92","    Pets, pet products, and related services","DPETRX1","35,766.0","37,647.0","39,726.0","41,670.0","43,874.0","45,841.0","46,875.0","48,476.0","49,771.0","51,093.0","53,131.0","54,819.0","57,139.0","56,309.0","54,011.0"
"111","93","    Photographic goods and services","DPHORX1","17,737.0","17,606.0","17,032.0","17,608.0","18,105.0","18,261.0","17,901.0","17,686.0","18,156.0","18,586.0","18,720.0","18,787.0","20,532.0","20,700.0","19,384.0"
"112","94","    Package tours \15\","DXHLRX1","7,144.0","7,629.0","7,476.0","8,141.0","8,917.0","9,102.0","8,363.0","8,062.0","7,918.0","8,225.0","8,450.0","8,011.0","8,510.0","8,209.0","8,268.0"
"113","95","  Education","DEDURX1","164,586.0","168,661.0","172,997.0","177,990.0","182,418.0","188,199.0","191,001.0","186,729.0","185,295.0","181,540.0","180,657.0","181,173.0","183,339.0","185,139.0","185,233.0"
"114","96","    Educational books","DEBKRX1","11,478.0","11,187.0","11,167.0","11,422.0","11,966.0","11,814.0","11,404.0","11,175.0","11,061.0","10,800.0","10,235.0","9,612.0","9,114.0","8,354.0","7,675.0"
"115","97","    Higher education","DHEDRX1","93,123.0","95,668.0","98,956.0","102,329.0","105,513.0","109,913.0","112,957.0","110,929.0","111,022.0","108,795.0","108,837.0","109,272.0","110,237.0","112,140.0","113,919.0"
"116","98","    Nursery, elementary, and secondary schools","DNEHRX1","34,235.0","34,188.0","33,521.0","32,691.0","32,678.0","32,494.0","32,606.0","32,016.0","31,849.0","31,856.0","31,782.0","31,989.0","32,478.0","32,549.0","32,334.0"
"117","99","    Commercial and vocational schools \16\","DVEDRX1","25,502.0","27,390.0","29,140.0","31,369.0","32,085.0","33,884.0","34,033.0","32,610.0","31,375.0","30,082.0","29,803.0","30,301.0","31,535.0","32,143.0","31,317.0"
"118","100","  Food services and accommodations","DFSARX1","416,034.0","418,778.0","428,042.0","439,192.0","450,032.0","470,546.0","469,889.0","477,229.0","493,562.0","508,751.0","525,308.0","541,601.0","551,205.0","547,552.0","527,732.0"
"119","101","    Food services","DFSERX1","365,187.0","365,755.0","370,940.0","381,391.0","390,883.0","408,032.0","411,282.0","417,283.0","431,005.0","443,097.0","455,317.0","469,623.0","477,707.0","472,139.0","456,464.0"
"120","102","      Purchased meals and beverages \17\","DPMBRX1","355,379.0","355,915.0","361,094.0","371,494.0","380,876.0","397,897.0","401,015.0","406,907.0","420,328.0","432,158.0","443,529.0","456,632.0","464,533.0","459,243.0","443,608.0"
"121","103","      Food furnished to employees (including military)","DFOORX1","9,790.0","9,821.0","9,832.0","9,890.0","10,003.0","10,137.0","10,268.0","10,377.0","10,678.0","10,940.0","11,789.0","12,990.0","13,173.0","12,894.0","12,856.0"
"122","104","    Accommodations \18\","DACCRX1","50,601.0","52,873.0","57,046.0","57,729.0","59,075.0","62,432.0","58,559.0","59,902.0","62,527.0","65,646.0","69,991.0","71,979.0","73,494.0","75,379.0","71,179.0"
"123","105","  Financial services and insurance","DIFSRX1","489,422.0","507,760.0","525,226.0","558,634.0","605,623.0","665,381.0","660,732.0","658,334.0","657,795.0","691,776.0","712,619.0","735,436.0","766,388.0","770,934.0","743,014.0"
"124","106","    Financial services","DFNLRX1","251,829.0","277,953.0","293,928.0","319,608.0","360,511.0","404,977.0","399,494.0","399,293.0","393,167.0","414,573.0","427,208.0","448,056.0","478,039.0","486,211.0","470,057.0"
"125","107","      Financial services furnished without payment","DIMPRX1","179,897.0","195,034.0","199,817.0","201,733.0","210,012.0","216,850.0","218,366.0","214,077.0","202,309.0","217,942.0","220,041.0","222,260.0","237,931.0","254,095.0","244,169.0"
"126","108","      Financial service charges, fees, and commissions","DOFIRX1","79,822.0","90,598.0","100,483.0","121,348.0","151,664.0","187,869.0","180,958.0","185,069.0","190,930.0","196,612.0","207,168.0","225,707.0","240,028.0","232,038.0","225,876.0"
