"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"19","1","    National income without capital consumption adjustment","J422RC1","881,634.0","923,868.0","1,000,807.0","1,103,215.0","1,239,910.0","1,340,005.0","1,451,330.0","1,619,770.0","1,806,781.0","2,038,818.0","2,262,085.0","2,451,430.0","2,731,706.0","2,842,710.0","3,034,424.0","3,393,795.0","3,598,694.0","3,782,875.0","4,065,097.0"
"20","2","Domestic industries","J423RC1","875,519.0","917,472.0","993,215.0","1,094,651.0","1,227,290.0","1,324,483.0","1,438,322.0","1,602,920.0","1,786,486.0","2,017,235.0","2,230,148.0","2,417,245.0","2,698,771.0","2,806,205.0","2,997,338.0","3,357,510.0","3,572,149.0","3,765,262.0","4,047,443.0"
"21","3","  Private industries","J736RC1","756,449.0","785,794.0","849,173.0","936,810.0","1,056,443.0","1,137,731.0","1,231,433.0","1,376,499.0","1,540,691.0","1,749,344.0","1,939,203.0","2,095,704.0","2,343,655.0","2,421,505.0","2,585,984.0","2,906,452.0","3,081,943.0","3,245,013.0","3,495,610.0"
"22","4","    Agriculture, forestry, and fishing","J424RC1","21,471.0","22,118.0","23,969.0","28,152.0","43,817.0","42,580.0","43,466.0","41,734.0","41,056.0","47,798.0","56,632.0","50,766.0","61,720.0","58,755.0","47,468.0","63,018.0","62,650.0","61,308.0","66,172.0"
"23","5","    Mining","J734RC1","9,240.0","10,449.0","10,767.0","11,898.0","14,028.0","20,639.0","24,843.0","26,177.0","31,774.0","34,994.0","42,481.0","64,543.0","89,182.0","80,775.0","64,114.0","67,064.0","60,379.0","42,909.0","43,130.0"
"24","6","    Construction","J735RC1","45,566.0","47,951.0","52,659.0","58,314.0","66,149.0","70,609.0","70,541.0","80,856.0","89,520.0","105,659.0","118,888.0","125,135.0","125,924.0","124,412.0","131,338.0","152,792.0","167,721.0","186,215.0","201,470.0"
"25","7","    Manufacturing","J426RC1","236,826.0","230,335.0","242,408.0","267,875.0","301,222.0","316,916.0","333,162.0","382,666.0","434,139.0","489,073.0","535,649.0","552,195.0","611,899.0","595,084.0","624,468.0","696,288.0","717,830.0","718,920.0","770,372.0"
"26","8","      Durable goods","J428RC1","141,296.0","132,294.0","139,564.0","157,671.0","180,419.0","184,900.0","188,894.0","219,998.0","254,432.0","291,396.0","314,837.0","315,806.0","345,610.0","327,277.0","347,695.0","406,559.0","415,601.0","422,776.0","450,908.0"
"27","9","      Nondurable goods","J427RC1","95,530.0","98,042.0","102,845.0","110,204.0","120,803.0","132,016.0","144,268.0","162,667.0","179,706.0","197,676.0","220,813.0","236,390.0","266,290.0","267,807.0","276,775.0","289,729.0","302,228.0","296,145.0","319,464.0"
"28","10","    Transportation and public utilities","J737RC1","70,022.0","74,514.0","81,908.0","90,467.0","99,051.0","106,737.0","116,986.0","133,839.0","148,598.0","166,908.0","178,470.0","195,928.0","217,459.0","233,724.0","252,510.0","278,116.0","287,282.0","303,367.0","321,729.0"
"29","11","      Transportation","J429RC1","31,474.0","33,078.0","36,467.0","40,546.0","45,181.0","49,818.0","49,778.0","58,456.0","65,185.0","73,685.0","80,922.0","84,876.0","89,109.0","87,427.0","95,080.0","107,616.0","109,447.0","119,130.0","127,767.0"
"30","12","      Communication","J430RC1","20,466.0","22,440.0","23,947.0","26,543.0","29,109.0","31,490.0","34,100.0","38,217.0","41,980.0","47,926.0","51,527.0","58,313.0","66,187.0","72,455.0","77,071.0","80,615.0","85,369.0","91,265.0","94,010.0"
"31","13","      Electric, gas, and sanitary services","J431RC1","18,082.0","18,995.0","21,493.0","23,376.0","24,759.0","25,430.0","33,109.0","37,167.0","41,433.0","45,298.0","46,019.0","52,740.0","62,160.0","73,841.0","80,360.0","89,887.0","92,465.0","92,973.0","99,952.0"
"32","14","    Wholesale trade","J433RC1","64,200.0","68,216.0","73,713.0","82,028.0","91,827.0","103,898.0","113,162.0","120,536.0","132,879.0","149,872.0","169,297.0","179,300.0","199,021.0","202,843.0","215,381.0","249,057.0","259,700.0","272,322.0","286,339.0"
"33","15","    Retail trade","J434RC1","89,649.0","95,379.0","103,842.0","112,720.0","124,385.0","130,176.0","145,481.0","164,535.0","181,779.0","203,328.0","220,192.0","227,183.0","249,631.0","264,079.0","292,293.0","326,315.0","350,580.0","377,042.0","400,745.0"
"34","16","    Finance, insurance, and real estate","J435RC1","114,658.0","122,836.0","136,418.0","148,273.0","161,778.0","176,753.0","195,573.0","213,649.0","238,689.0","273,361.0","303,424.0","344,317.0","390,121.0","425,387.0","475,909.0","530,007.0","578,015.0","627,214.0","671,610.0"
"35","17","    Services","J437RC1","104,817.0","113,996.0","123,489.0","137,083.0","154,186.0","169,423.0","188,219.0","212,507.0","242,257.0","278,351.0","314,170.0","356,337.0","398,698.0","436,446.0","482,503.0","543,795.0","597,786.0","655,716.0","734,043.0"
"36","18","  Government","B436RC1","119,070.0","131,678.0","144,042.0","157,841.0","170,847.0","186,752.0","206,889.0","226,421.0","245,795.0","267,891.0","290,945.0","321,541.0","355,116.0","384,700.0","411,354.0","451,058.0","490,206.0","520,249.0","551,833.0"
"37","19","Rest of the world","A192RC1","6,115.0","6,393.0","7,594.0","8,558.0","12,619.0","15,520.0","13,004.0","16,847.0","20,292.0","21,581.0","31,931.0","34,185.0","32,935.0","36,510.0","37,085.0","36,290.0","26,546.0","17,612.0","17,655.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
