"","Table C#1# GDP and Other Major NIPA Aggregates                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"18","70","  Gross domestic purchases","B712RG3",20.365,20.646,20.865,21.139,21.385,21.725,22.102,22.724,23.389,24.38,25.58,26.964,28.351,29.619,31.343,34.546,37.761,39.938,42.634,45.663,49.669,54.876,59.896,63.296,65.515,67.822,69.76,71.338,73.527,76.043,78.934,82.144,84.836,86.828,88.73,90.583,92.483,94.145,95.44,96.06,97.556,100,101.994,103.583,105.966,109.21,112.981
"19",NA,"Implicit price deflators [2000=100]"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","80","  Gross domestic product","A191RD3",20.751,21.041,21.278,21.569,21.798,22.131,22.535,23.176,23.893,24.913,26.149,27.534,28.911,30.166,31.849,34.725,38.002,40.196,42.752,45.757,49.548,54.043,59.119,62.726,65.207,67.655,69.713,71.25,73.196,75.694,78.556,81.59,84.444,86.385,88.381,90.259,92.106,93.852,95.414,96.472,97.868,100,102.399,104.187,106.404,109.426,112.737
"21","90","  Gross national product","A001RD3",20.727,21.018,21.255,21.547,21.777,22.111,22.516,23.158,23.874,24.893,26.127,27.512,28.889,30.145,31.83,34.699,37.976,40.175,42.731,45.737,49.527,54.015,59.095,62.699,65.184,67.631,69.695,71.227,73.181,75.679,78.549,81.589,84.44,86.375,88.382,90.262,92.114,93.863,95.42,96.475,97.869,100,102.396,104.179,106.396,109.416,112.726
"22",NA,"Percent change from preceding period"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"  Chain-type price index"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","100","    Gross domestic product","A191RV1",1.2,1.4,1.1,1.4,1.1,1.5,1.8,2.8,3.1,4.3,5,5.3,5,4.3,5.6,9,9.5,5.8,6.4,7,8.3,9.1,9.4,6.1,3.9,3.8,3,2.2,2.7,3.4,3.8,3.9,3.5,2.3,2.3,2.1,2,1.9,1.7,1.1,1.4,2.2,2.4,1.7,2.1,2.8,3
"25","110","    Gross domestic purchases","A712RV1",1.2,1.4,1.1,1.3,1.2,1.6,1.7,2.8,2.9,4.2,4.9,5.4,5.1,4.5,5.8,10.2,9.3,5.8,6.8,7.1,8.8,10.5,9.1,5.7,3.5,3.5,2.9,2.3,3.1,3.4,3.8,4.1,3.3,2.3,2.2,2.1,2.1,1.8,1.4,0.6,1.6,2.5,2,1.6,2.3,3.1,3.5
"26",NA,"  Implicit price deflators"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","120","    Gross domestic product","A191RI1",1.2,1.4,1.1,1.4,1.1,1.5,1.8,2.8,3.1,4.3,5,5.3,5,4.3,5.6,9,9.4,5.8,6.4,7,8.3,9.1,9.4,6.1,4,3.8,3,2.2,2.7,3.4,3.8,3.9,3.5,2.3,2.3,2.1,2,1.9,1.7,1.1,1.4,2.2,2.4,1.7,2,2.6,2.8
"28","130","    Gross national product","A001RI1",1.2,1.4,1.1,1.4,1.1,1.5,1.8,2.9,3.1,4.3,5,5.3,5,4.3,5.6,9,9.4,5.8,6.4,7,8.3,9.1,9.4,6.1,4,3.8,3.1,2.2,2.7,3.4,3.8,3.9,3.5,2.3,2.3,2.1,2.1,1.9,1.7,1.1,1.4,2.2,2.4,1.7,2,2.6,2.8
