"","Table 5#4#3# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Office \1\","W031RA3",31.829,25.379,14.859,8.918,5.64,6.674,8.193,10.645,12.666,9.194,9.503,11.165,12.186,4.061,0.801,1.328,4.689,22.849,14.423,18.91,16.41,19.794,18.504,13.725,21.453,27.216,36.829,42.419,38.258,39.541,43.702,46.526,52.153,56.768,54.221,57.37,68.959,67.149,65.284,71.004,80.118
"12","5","    Health care","W032RA3",10.147,10.262,7.16,4.147,1.602,1.556,1.815,2.61,3.629,3.519,3.271,3.543,4.347,2.139,0.678,1.482,2.345,6.126,5.064,5.66,7.7,12.273,12.877,11.445,10.324,11.692,12.537,12.738,16.01,18.231,18.113,19.257,23.809,29.053,29.384,35.063,37.643,36.959,34.025,38.123,47.643
"13","6","      Hospitals and special care","C311RA3",8.414,9.568,7.132,4.082,1.242,1.026,1.134,1.802,2.82,3.185,2.82,2.928,3.812,2.159,0.756,1.714,2.341,4.602,4.44,4.568,7.528,12.895,13.849,12.695,10.165,11.101,10.824,10.292,15.062,17.711,16.972,18.036,23.059,29.106,29.881,36.695,38.357,37.741,34.258,38.686,49.562
"14","7","        Hospitals","W033RA3",7.622,8.667,6.461,3.698,1.125,0.929,1.027,1.632,2.555,2.885,2.555,2.653,3.454,1.956,0.685,1.553,2.121,4.169,4.022,4.138,6.819,11.681,12.546,11.5,9.208,10.056,9.805,9.324,13.644,16.037,15.368,16.331,20.879,26.355,27.057,33.226,34.732,34.174,31.02,35.029,44.877
"15","8","        Special care","W034RA3",14.809,16.839,12.552,7.185,2.185,1.805,1.995,3.171,4.964,5.605,4.964,5.154,6.71,3.8,1.33,3.016,4.121,8.099,7.814,8.039,13.248,22.694,24.374,22.342,17.89,19.537,19.049,18.114,26.508,31.228,29.925,31.802,40.657,51.321,52.687,64.701,67.632,66.546,60.404,68.211,87.388
"16","9","      Medical buildings","W035RA3",16.189,12.908,7.558,4.536,2.869,3.395,4.167,5.414,6.442,4.676,4.833,5.679,6.198,2.066,0.407,0.675,2.385,11.621,7.336,9.618,8.347,10.068,9.412,6.981,10.912,13.843,18.732,21.576,19.459,20.14,22.262,23.692,26.555,28.903,27.628,29.218,35.12,34.191,33.241,36.149,40.773
"17","10","    Multimerchandise shopping","W036RA3",30.52,24.335,14.248,8.551,5.408,6.4,7.856,10.207,12.145,8.816,9.112,10.705,11.685,3.894,0.768,1.273,4.496,21.909,13.829,18.133,15.735,18.98,17.743,13.16,20.571,26.097,35.315,40.674,36.684,37.033,40.851,43.656,49.112,53.356,50.699,53.73,64.876,63.172,61.432,67.079,75.99
"18","11","    Food and beverage establishments","W037RA3",62.243,49.629,29.058,17.44,11.029,13.051,16.021,20.817,24.768,17.979,18.583,21.833,23.83,7.942,1.566,2.597,9.169,44.681,28.204,36.98,32.091,38.708,36.185,26.839,41.952,53.222,72.021,82.952,74.814,75.525,83.343,89.038,100.196,108.855,103.435,109.567,132.407,128.86,125.378,136.876,155.031
"19","12","    Warehouses","W038RA3",25.626,20.432,11.963,7.18,4.541,5.373,6.596,8.57,10.197,7.402,7.651,8.989,9.811,3.27,0.645,1.069,3.775,18.396,11.612,15.225,13.212,15.936,14.897,11.05,17.272,21.912,29.651,34.152,30.801,31.094,34.313,36.657,41.251,44.816,42.585,45.13,54.517,53.072,51.6,56.374,63.827
"20","13","    Other commercial \2\","W039RA3",33.326,26.572,15.558,9.337,5.905,6.988,8.578,11.145,13.261,9.626,9.95,11.689,12.759,4.252,0.838,1.39,4.909,23.923,15.1,19.799,17.182,20.724,19.374,14.37,22.461,28.495,38.56,44.413,40.056,44.515,49.59,52.334,58.186,64.373,63.279,66.847,79.473,77.938,76.038,81.897,91.325
"21","14","  Manufacturing","B307RA3",46.251,28.869,13.854,5.133,12.045,11.179,9.039,14.436,23.755,11.352,12.91,20.95,34.384,12.851,5.342,7.407,21.698,47.07,40.068,29.537,21.127,23.219,40.812,43.599,41.689,39.001,42.698,56.099,59.52,41.015,36.578,49.578,48.499,48.987,49.177,59.108,81.729,101.582,89.354,86.048,90.479
"22","15","  Power and communication","W003RA3",23.686,23.6,16.227,9.178,4.696,5.103,6.209,8.927,11.425,11.007,12.434,13.456,14.3,11.458,6.716,8.914,10.25,16.297,24.65,29.506,31.04,30.887,30.982,31.273,34.396,31.426,29.919,34.957,36.295,34.912,33.471,33.778,31.641,31.836,33.983,36.985,40.915,46.653,51.051,56.74,56.733
"23","16","    Power","W028RA3",25.795,25.215,19.163,10.599,5.368,6.019,7.581,11.265,13.913,13.464,15.6,16.324,16.047,12.866,8.545,11.292,12.528,17.483,27.59,31.663,37.471,38.825,38.86,38.22,42.37,37.509,34.134,37.668,40.207,40.045,37.709,36.907,35.265,34.978,36.952,39.39,43.889,51.618,58.7,66.886,62.821
"24","17","      Electric","B571RA3",15.208,16.995,10.628,5.758,3.126,3.162,4.068,6.237,9.036,10.976,12.543,12.666,11.64,9.091,4.964,5.606,8.282,13.812,21.107,25.829,31.63,28.338,27.011,31.039,34.448,31.833,26.775,29.654,33.545,34.615,29.556,29.691,27.958,27.9,30.035,31.359,35.492,41.646,49.275,53.576,54.2
"25","18","      Other power","W029RA3",66.818,56.325,52.466,29.529,14.071,17.224,21.33,30.889,32.522,22.05,26.288,29.452,32.38,26.982,22.459,33.714,28.691,31.637,52.194,54.821,61.625,77.518,81.883,66.021,73.064,60.273,62.252,68.336,66.566,62.214,69.006,64.916,63.435,62.341,63.898,70.528,76.455,90.293,95.261,118.875,96.009
"26","19","    Communication","B314RA3",19.077,19.754,10.647,6.418,3.376,3.346,3.611,4.534,6.742,6.378,6.418,8.047,11.089,8.871,3.287,4.455,5.966,14.033,19.106,25.426,18.556,15.318,15.544,17.781,18.851,19.822,22.285,30.891,29.547,25.134,25.749,28.723,25.298,26.625,29.312,33.777,36.662,38.321,37.171,37.762,46.68
"27","20","  Mining exploration, shafts, and wells","E318RA3",27.718,21.325,11.961,15.018,12.412,17.6,21.395,25.486,33.03,28.62,26.893,30.261,31.334,21.341,19.435,26.544,29.281,33.796,37.712,46.296,46.865,55.621,58.469,65.054,71.081,78.609,84.56,81.824,77.235,72.214,74.139,69.592,70.872,74.339,69.772,74.759,73.847,69.98,66.897,67.298,70.139
"28","21","    Petroleum and natural gas","B319RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.727,41.805,51.972,52.932,62.703,65.858,73.876,80.685,90.041,97.071,94.008,88.823,81.811,83.702,78,79.144,82.992,77.307,83.214,82.134,77.567,73.94,73.341,75.934
"29","22","    Mining","B320RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.642,13.311,13.374,12.082,14.877,15.889,14.949,16.491,14.546,14.673,13.841,12.669,17.492,19.309,20.832,22.571,23.788,24.976,25.106,25.073,24.909,24.73,29.447,32.866
"30","23","  Other structures","W004RA3",43.816,40.883,29.156,16.838,13.196,14.509,15.824,19.427,21.598,18.989,20.212,19.982,22.735,18.5,18.608,22.912,26.07,51.725,40.762,40.767,41.275,40.751,39.86,40.064,41.544,43.761,43.851,43.405,43.422,45.43,50.16,55.698,54.434,55.555,58.773,64.449,72.471,75.196,73.595,65.007,64.485
"31","24","    Religious","C309RA3",60.005,59.732,44.067,27.21,13.86,12.158,15.938,18.151,20.195,23.396,21.931,26.427,25.916,11.613,2.077,3.61,8.343,20.773,25.677,45.94,67.735,77.407,75.432,64.909,76.419,98.623,113.88,121.406,125.731,128.634,142.384,152.493,151.471,154.135,146.637,142.377,166.869,153.344,138.051,133.487,114.258
"32","25","    Educational and vocational","W044RA3",19.732,21.005,20.403,12.871,3.793,3.245,3.889,8.572,7.764,7.367,7.189,9.037,9.736,3.615,0.835,1.451,3.971,13.501,14.254,18.615,20.346,22.368,23.145,22.954,27.726,35.367,30.651,34.03,30.57,34.394,31.731,34.251,36.971,40.788,39.926,43.33,43.957,53.137,54.713,57.043,50.094
"33","26","    Lodging","W045RA3",11.475,10.63,7.622,4.172,3.207,2.94,3.063,3.851,4.565,5.551,5.864,4.685,4.85,2.146,0.752,1.308,2.445,6.505,3.846,6.122,7.301,6.977,7.232,6.549,7.494,9.202,7.392,8.789,9.151,11.897,15.499,18.627,22.029,20.539,25.723,39.395,38.909,35.879,30.962,28.721,29.81
"34","27","    Amusement and recreation","W046RA3",58.364,53.597,39.535,23.24,19.875,17,16.509,19.198,22.626,26.71,27.803,23.201,23.56,10.723,3.74,6.473,11.924,30.888,19.713,28.856,34.499,34.741,33.241,31.137,36.5,43.869,37.391,41.868,45.855,57.393,67.194,81.779,78.052,80.728,88.1,85.82,112.001,114.35,110.249,56.378,66.736
"35","28","    Transportation","W047RA3",178.699,175.936,122.74,71.228,59.882,73.936,74.592,88.66,96.108,72.813,82.986,89.273,99.53,104.235,122.953,152.68,148.741,125.988,115.078,114.678,108.256,97.029,104.63,111.763,107.555,89.739,82.474,87.99,81.879,62.149,58.571,61.329,53.468,53.939,60.322,63.21,69.353,76.94,70.737,72.844,75.174
"36","29","      Air","W048RA3",103.661,95.53,69.662,39.815,32.724,28.715,28.649,34.379,40.614,48.542,50.84,41.662,42.644,19.185,6.703,11.625,21.547,56.448,34.903,52.901,63.179,62.244,61.598,56.871,65.995,80.035,66.56,76.408,81.94,104.188,122.552,148.191,142.002,146.39,159.691,154.623,202.981,205.993,199.377,93.227,110.063
"37","30","      Land \3\","W049RA3",178.844,176.393,122.918,71.357,60.022,74.636,75.313,89.501,96.855,72.475,82.831,89.782,100.298,106.411,126.405,156.773,152.117,126.485,116.646,115.007,107.701,96.18,104.059,111.716,106.813,87.644,80.951,86.056,79.466,57.997,53.354,54.825,47.128,47.376,53.2,56.445,60.072,67.736,61.695,70.076,71.501
"38","31","    Farm","B316RA3",52.307,28.342,14.129,5.43,8.81,11.913,26.652,33.689,40.033,34.603,39.701,31.556,38.814,34.659,42.139,41.613,38.15,151.518,143.566,134.235,130.445,131.917,124.263,131.454,117.837,113.75,107.329,110.894,102.857,116.968,156.426,168.698,162.896,178.63,180.567,178.251,179.819,185.447,206.249,184.468,181.339
"39","32","    Other \4\","W050RA3",52.011,44.609,34.132,24.84,26.33,19.248,15.758,13.946,17.071,17.251,17.003,17.497,16.515,8.617,3.014,5.16,8.734,20.252,19.469,19.302,23.28,31.565,19.681,22.321,29.779,32.485,37.433,31.507,42.586,44.267,49.805,66.067,59.938,63.822,69.774,72.743,89.746,97.694,89.954,87.748,105.968
"40","33","    Brokers' commissions on sale of structures","B321RA3",40.297,31.466,21.478,15.862,16.462,14.49,15.99,18.477,20.92,15.69,16.591,19.934,25.25,12.732,9.003,10.46,17.834,43.941,31.466,26.236,20.92,21.306,20.92,19.72,22.464,23.364,27.437,26.965,27.437,31.08,32.066,36.848,39.02,41.925,41.159,44.964,55.756,59.191,55.386,47.388,41.714
"41","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RA3",21.407,13.155,11.145,6.246,5.174,6.725,9.207,11.481,12.358,12.494,17.572,19.711,20.803,10.736,6.683,5.845,6.625,26.404,33.687,40.37,37.393,51.086,42.803,42.088,43.639,47.355,54.983,50.454,47.416,47.885,59.995,55.893,56.131,61.541,68.75,72.865,70.817,64.727,62.969,71.417,73.491
"43","36","  Permanent site","B943RA3",51.13,27.411,24.945,11.247,7.076,8.216,15.612,24.978,27.965,29.23,40.719,45.177,49.267,22.531,11.038,8.111,9.046,53.214,70.773,87.804,82.894,121.969,97.393,91.753,94.765,104.208,123.131,106.602,96.912,99.381,126.585,111.835,111.223,126.843,143.889,153.58,146.85,128.85,122.825,144.33,148.497
"44","37","    Single-family structures","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.249,131.28,116.066,109.982,117.309,125.259,137.435,134.294,119.596,117.209,128.856,122.344
"45","38","    Multifamily structures","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.767,100.044,88.026,110.898,161.265,216.451,215.003,193.255,162.028,140.742,203.328,252.939
"46","39","  Other structures","A863RA3",6.358,5.854,4.125,3.63,4.089,5.791,5.807,4.565,4.39,3.977,5.782,6.725,6.337,4.662,4.349,4.556,5.237,12.501,14.594,16.078,14.152,15.206,15.016,16.668,17.457,18.29,20.219,21.602,21.865,21.356,25.764,26.913,27.545,27.866,30.087,31.375,31.648,31.543,31.927,33.73,34.721
"47","40","    Manufactured homes","B945RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.013,9.795,11.588,5.932,7.036,7.496,12.048,12.37,13.473,21.98,32.647,35.314,34.631,39.102,38.315,37.997,48.168,61.708,84.457,102.359,114.134,129.859,184.185,232.718
"48","41","    Dormitories","B295RA3",72.102,60.342,23.358,16.383,14.518,16.87,18.978,21.493,26.034,23.358,28.062,27.089,26.197,12.896,3.569,5.434,8.192,27.413,19.465,22.223,26.197,24.331,24.575,23.196,33.172,36.74,40.958,52.637,58.72,75.103,79.804,77.545,104.802,171.791,148.022,182.332,197.404,182.593,143.09,117.201,91.65
"49","42","    Improvements","B946RA3",6.626,6.103,3.864,2.844,3.992,4.963,6.317,7.097,6.987,6.247,6.73,6.812,6.994,3.932,2.599,3.297,5.304,16.882,21.037,24.401,21.551,22.956,22.239,24.148,25.269,25.621,27.984,29.697,31.163,30.681,34.63,36.936,37.667,34.628,35.874,35.855,34.986,35.863,36.285,35.428,34.895
"50","43","    Brokers' commissions and other ownership transfer costs \5\","B758RA3",6.637,6.182,5.652,6.009,5.554,8.639,6.893,6.036,5.654,5.252,5.533,6.16,6.034,5.849,6.049,6.599,6.541,8.998,7.716,6.615,6.883,7.878,8.391,9.437,9.956,11.471,12.497,12.156,11.956,13.153,16.077,15.459,16.026,18.362,20.937,22.48,23.741,23.107,24.259,27.119,27.71
"51","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures","W040RA3",28.304,21.163,15.013,8.57,6.71,7.692,9.952,13.646,16.141,14.429,17.27,19.213,21.543,11.628,7.318,8.267,10.749,29.093,33.143,38.604,36.514,45.996,42.094,41.417,43.842,46.513,52.203,52.112,50.503,49.63,56.619,56.068,56.64,60.704,64.747,69.797,73.058,71.986,69.881,74.895,77.954
"54","46","    Nonresidential structures \6\","A771RA3",32.548,27.886,18.028,11.106,8.605,9.668,10.706,14.024,17.761,14.273,15.162,17.25,20.229,12.488,9.079,11.87,15.59,28.614,27.35,29.687,29.074,31.337,33.897,33.748,36.753,38.017,40.187,45.251,45.069,42.597,43.851,47.407,48.232,50.625,51.211,56.397,64.908,69.054,67.1,68.032,71.776
"55","47","    Residential structures \7\","A756RA3",26.599,15.695,13.183,6.536,5.232,6.236,10.212,14.786,16.1,16.274,21.658,23.67,25.569,12.064,6.218,5.27,6.689,32.171,42.174,51.443,47.59,65.537,54.39,53.083,55.06,59.484,69.454,63.608,60.223,61.187,75.392,69.979,70.295,76.58,84.958,90.167,87.375,80.023,77.606,87.761,90.209
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","by power utilities for their own use. Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Includes buildings and structures used by the retail, wholesale and selected service industries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Consists of auto dealerships, garages, service stations, drug stores, restaurants, mobile structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","and other structures used for commercial purposes. Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","insurance, state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","fees for surveys and engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
