"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"16","8","Less: Netting and grossing differences","M318081",0.7,0.5,0.5,0.6,0.7,0.4,0.5,0.6,0.4,-0.2,-0.4,0,-0.3,-0.8,-0.1,-0.5
"17","9","  Current surplus of government enterprises \4\","W705MC1",0,0,0,0,0,0,0,0.2,0.6,0.9,0.9,0.8,0.7,0.8,1,1.3
"18","10","  Interest receipts \5\","W704MC1",0,0,0,0,0,0,0,0,-0.6,-1.4,-1.5,-1.6,-1.7,-1.8,-1.8,-2.1
"19","11","  Other \6\","M318111",0.7,0.5,0.5,0.6,0.7,0.4,0.5,0.4,0.4,0.3,0.3,0.8,0.8,0.2,0.7,0.3
"20","12","Plus: Timing differences","M318121",-1.8,-1.4,-4.5,1.2,0.7,-0.2,-3,4.6,0.5,-1.2,2.4,1.3,0.8,0.5,-1.6,-6
"21","13","  Taxes on corporate income","M318131",-2.3,-1.9,-4.1,0.8,0.4,-0.7,-2.8,3.7,-0.3,-1.6,1.4,0.9,1.3,0.5,-1.1,-5.2
"22","14","  Federal and state unemployment insurance taxes","M318141",-0.1,0,-0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.5,-0.1,-0.2,0,0,-0.1
"23","15","  Withheld personal income tax and social security contributions","M318151",0.4,0.3,-0.1,0.2,0.3,0.3,0,0.5,0.6,0.2,0.3,0.4,-0.5,0.1,-0.1,0.1
"24","16","  Excise taxes","M318161",0.1,0.1,-0.3,0.1,0,0.2,-0.1,0.1,0.1,0,0.1,0,0.1,-0.1,-0.4,-0.8
"25","17","  Other","M318171",-0.1,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0.1,0,0
"26","18","Equals: Federal government current receipts, NIPAs","M318181",63.8,67.9,64.5,66.1,74.4,78.6,75.5,82.5,91.8,92.2,101,106.8,112.4,116.3,127.9,142.1
"27",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","Cash payments to the public","M318191",68,76.8,71.9,70.5,72.5,80,83.5,94.8,94.3,99.5,107.7,113.8,120.3,122.4,137.8,155.1
"29","20","Less: Coverage differences","M318201",3.3,5,0.4,-0.2,-0.8,1.9,1.1,5,3,3.1,6.5,3.7,5.3,4.2,3.5,-1.5
"30","21","  Federal employee pension and insurance fund transactions \1\","M318221",-6.1,-6.5,-6.6,-6.8,-7,-7.8,-8.4,-8.8,-9,-9.5,-10,-10.5,-10.9,-11.5,-12.4,-13.4
"31","22","    Interest accrued","M318231",-2.2,-2.5,-2.9,-3.2,-3.6,-4.1,-4.7,-5.2,-5.5,-6,-6.5,-7.1,-7.6,-8.2,-8.9,-9.6
"32","23","    Contributions accrued (employer)","M318241",-4.5,-4.7,-4.6,-4.4,-4.4,-4.8,-5,-5.1,-5.2,-5.3,-5.5,-5.7,-5.9,-6.2,-6.9,-7.6
"33","24","    Benefits paid","M318251",0.7,0.7,0.8,0.9,1,1.1,1.3,1.5,1.6,1.8,2,2.2,2.6,2.9,3.3,3.9
"34","25","    Administrative expenses","M318261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","26","  District of Columbia","L318271",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"36","27","  Federal Home Loan banks and Federal land banks","L318281",-0.3,0,-0.3,0.2,0.4,0.1,-0.5,1.1,0.4,-0.3,1.1,0.5,1.8,1.2,1.8,-3
"37","28","  Net investment \7\","M318291",8.3,9.5,8,4.3,3.2,4.7,5.1,6.8,7,7.7,9.1,8.8,8.4,7.2,7.5,9.7
"38","29","  Capital transfers paid \8\","M318301",0.5,0.5,0.6,0.6,0.8,1.1,1.8,2.7,2.9,2.7,3,3.1,3.8,4.2,4.2,4.2
"39","30","  Financial transactions","M318311",1.6,1.8,-0.6,1.3,2.4,4.4,3.4,4.3,2.5,3.2,4.8,2.8,3.7,3.9,4,2.1
"40","31","    Loan disbursements less loan repayments and sales \9\","M318321",1.6,1.8,-0.7,0.9,1.6,3,2.5,3.3,1.4,1.9,3.7,1.6,2.8,3,3.5,2.1
"41","32","    Net purchases of foreign currency","M318341",0,0,0.1,0.4,0.8,1.4,0.9,1,1.1,1.3,1.1,1.2,0.9,0.9,0.5,0
"42","33","  Other \10\","M318351",-0.8,-0.5,-0.8,0,-0.8,-0.9,-0.5,-1.3,-1.1,-1,-1.7,-1.3,-1.8,-1.1,-2,-1.6
"43","34","Less: Netting and grossing differences","M318401",0.7,0.5,0.5,0.6,0.7,0.4,0.5,0.6,0.4,-0.2,-0.4,0,-0.3,-0.8,-0.1,-0.5
"44","35","  Current surplus of government enterprises \4\","W707MC1",0,0,0,0,0,0,0,0.2,0.6,0.9,0.9,0.8,0.7,0.8,1,1.3
"45","36","  Interest receipts \5\","W706MC1",0,0,0,0,0,0,0,0,-0.6,-1.4,-1.5,-1.6,-1.7,-1.8,-1.8,-2.1
"46","37","  Other \6\","M318431",0.7,0.5,0.5,0.6,0.7,0.4,0.5,0.4,0.4,0.3,0.3,0.8,0.8,0.2,0.7,0.3
"47","38","Plus: Timing differences","M318441",-0.3,0.6,0.9,0.1,0.3,0.4,2.7,0.9,0.6,0.6,2.2,0.6,1,0.8,-0.2,-0.6
"48","39","  Purchases (increase in payables net of advances) \11\","M318451",-0.7,0.1,0.1,-0.2,-0.3,0.3,2,0.2,0.3,0.3,0.4,-0.5,-1.2,0.9,-0.3,-0.8
"49","40","  Interest payments","M318461",0.8,0.7,0.6,0.5,0.5,0.4,0.3,0.9,0.5,0.2,0.7,0.9,0.9,0.8,0.8,0.7
"50","41","  Current transfer payments","M318471",0,0,0.1,0,0,0,0,0,0.1,-0.2,0.3,0.1,0,0,0,0.2
"51","42","  Subsidies","L318421",0,0,0.2,-0.1,-0.2,0.2,-0.1,-0.1,0,0,0.3,0.1,0.4,-0.1,0.2,-0.1
"52","43","  Checks outstanding and certain other accounts","L318431",-0.4,-0.3,-0.1,-0.1,0.2,-0.6,0.6,-0.1,-0.3,0.3,0.5,-0.1,0.9,-0.9,-0.9,-0.6
"53","44","Equals: Federal government current expenditures, NIPAs","M318491",63.7,71.9,71.9,70.2,73,78.1,84.5,90,91.6,97.3,103.8,110.6,116.4,119.8,134.2,156.6
"54",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","Consolidated cash budget surplus or deficit (-) (1-19)","M318501",0,-5.3,-0.2,-2.7,4.5,2.1,-1.6,-13.1,0.7,-2.3,-5.8,-4,-4.8,-2.7,-3.3,-1.5
"56","46","Plus: Net investment (28)","M318291",8.3,9.5,8,4.3,3.2,4.7,5.1,6.8,7,7.7,9.1,8.8,8.4,7.2,7.5,9.7
"57","47","Less: Net capital transfers received (4-29)","M318521",0.4,0.3,0.3,0.3,0.4,0.3,-0.4,-1.4,-1.3,-0.8,-0.9,-1,-1.4,-1.5,-1.1,-1.2
"58","48","Less: Federal employee retirement plans (3-21)","M318531",6.5,6.9,7,7.2,7.6,8.4,9.1,9.6,9.8,10.4,10.9,11.4,11.9,12.6,13.5,14.6
"59","49","Less: Other coverage differences (5+6+7-26-27-30-33)","M318541",-0.1,-1,2.4,-0.6,-1.2,-3,-1.8,-3.3,-1,-0.8,-3.8,-1.2,-3.2,-3.4,-3.2,3.8
"60","50","Less: Timing differences (38-12)","M318551",1.6,1.9,5.4,-1.1,-0.4,0.7,5.7,-3.7,0.1,1.8,-0.2,-0.7,0.3,0.3,1.4,5.4
"61","51","Equals: Net federal government saving, national income and product accounts (18-44)","M318561",0,-4,-7.4,-4.1,1.4,0.5,-9,-7.5,0.2,-5.1,-2.7,-3.8,-4,-3.5,-6.3,-14.5
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","or net worth of their own. Table 7.23 shows transactions of the federal government defined-benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","subsectors. Contributions for publicly administered insurance funds are transactions with the household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","sector and include the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Consists largely of sales of land, receipts from offshore oil leases, and U.S. Treasury receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","from sales of foreign currencies to government agencies. Includes certain revenues collected from and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","repaid to U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. Prior to 1959, the current surplus of government enterprises is not included in current receipts;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","the current surplus of government enterprises is included in current expenditures, which are shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","of the current surplus of government enterprises. For fiscal year 1959, the estimate represents the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","last two quarters of the fiscal year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","5. Prior to 1960, interest receipts are not included in current receipts; interest receipts are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","in current expenditures, which are shown net of interest receipts. For fiscal year 1960, the estimate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","represents the last two quarters of the fiscal year.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","6. Includes proprietary receipts that are netted against outlays in the cash budget and classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","receipts in the NIPAs. Also includes some transactions that are not reflected in the cash budget data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","but are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","8. Consists of investment grants to state and local governments and maritime construction subsidies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","9. Also includes the financial transactions of deposit insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","10. Consists largely of offshore oil leases and purchases of land, certain purchases of foreign currency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","from the U.S. Treasury by government agencies, net expenditures of foreign currencies, grants to the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","District of Columbia, and net purchases of silver and minor coin metal. Includes repayments of certain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","collections from the U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","11. Consists largely of real estate transactions, sales of military equipment to foreign countries,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","purchases of farm commodities, and purchases of defense equipment and supplies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. In this time period, fiscal year estimates reflect a July 1-June 30 fiscal year. NIPA quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and fiscal year estimates in this table are consistent with the not seasonally adjusted estimates published",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","in table 3.22.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
