"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"44","35","  Services provided without payment by domestic securities brokers","L319311",0,0,0,0,0,0,0,0,0,0,0
"45","36","  Purchases of land","L319321",1,1,1.1,1.2,1.3,1.5,1.5,1.6,1.6,1.7,1.8
"46","37","  Indian tribal government expenditures","W725RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","38","  Imputed banking and insurance services","W726RC1",-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.6,-0.7
"48","39","  Other","L319331",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,-0.1,0.1,0
"49","40","Less: Netting and grossing differences","L319341",8.6,9.4,10.1,11,12,13.1,14.3,15.8,17.4,19.3,21.5
"50","41","  Current expenditures of government enterprises \8\","W723RC1",5,5.4,5.8,6.1,6.5,7.1,7.6,8.1,8.7,9.6,10.5
"51","42","  Government sales included in Census total revenue \9\","L319161",3.3,3.7,4,4.6,5.2,5.7,6.5,7.4,8.3,9.4,10.5
"52","43","  Insurance claims included in Census total revenue","W724RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
"53","44","  Employer contributions to own social insurance funds","L319381",0,0,0,0,0,0,0,0,0,0,0
"54","45","Less: Statistical differences, expenditure \10\","LA0000321",0,0,0,0,0,0,0,0,0,0,0
"55","46","Plus: Timing and other differences \11\","L319391",-0.8,-1,-1.2,-0.5,-1.4,0,0.2,0.3,-0.6,1.7,0.2
"56","47","Equals: State and local government current expenditures, NIPAs","L319401",37.1,39.8,43.5,47,49.7,54.1,58.8,65,72.5,82.5,94
"57",NA,"      Net state and local government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","48","Census total revenue less Census total expenditures (1-26)","L319411",-4.6,-0.7,-2.5,-1.1,-0.4,0.9,1.2,2.7,0.6,1.3,0.6
"59","49","Plus: Net investment (34)","L319301",10.2,9.8,10.5,10.8,11.2,12.2,13.2,14.3,15.7,16.4,18
"60","50","Less: Net capital transfers received (10)","L319101",2.7,3,2.8,3,3.3,4,4.5,4.5,4.5,5.5,6.6
"61","51","Less: State and local employee retirement plans (3-28)","L319441",3.9,4.1,4.7,4.9,5.2,5.6,5.9,6.9,7.4,8.5,10.2
"62","52","Less: Other coverage differences (8+9+11+12+13+14+15-33-35-36-37-38-39)","L319451",-2.3,-0.9,-1.8,-1.1,-0.6,-0.9,-0.7,0,0.2,-1.4,-0.9
"63","53","Less: Timing and other differences (21+46-22-45)","L319461",-0.4,0.3,0.1,0.2,-0.7,0.2,0.7,0.5,0,-0.2,-0.6
"64","54","Equals: State and local government net saving, national income and product accounts (25-47)","L319471",1.8,2.6,2.3,2.7,3.6,4.1,3.9,5.2,4.1,5.4,3.3
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","on behalf of households, which are the effective owners. Pensions plans are classified as financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","corporations that receive contributions and property income on behalf of plan participants but do not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","have saving or net worth of their own. Table 7.24 shows the transactions of the state and local government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Consists of employee and employer contributions, except general government employer contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","to own retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","4. Prior to 1985, capital gains (net of losses) of state and local employee retirement plans is included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","in line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","5. Unemployment insurance is recorded as a federal program in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Consists of Census Bureau data on revenue received from the federal government, less NIPA federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","grants, federal capital grants, federal subsidies, and research and development sales to the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","7. Consists of estate and gift taxes, federal investment grants, and disaster-related insurance benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","8. Excludes current expenditures of Indian tribal government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","9. Consists of current-account sales by general government that are classified as revenues in Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Bureau data and as reductions to current expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","10. Statistical differences result from updates to the Census Bureau state and local government finance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","estimates that have not yet been incorporated into the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","11. Includes timing differences that arise from restating the Census Bureau data to a year ending June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","30. Census Bureau measures of state and local government revenue and expenditures (lines 1 and 26) primarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","represent a fiscal year ending June 30, but some governments use other fiscal years. The NIPA measures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","shown in this table are for the fiscal year ending June 30, and are consistent with the not seasonally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","adjusted estimates in table 3.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","12. Net investment is gross investment less consumption of fixed capital for government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","and general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
