"","Table 6#3C# Wages and Salaries by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"42","35","        Rubber and miscellaneous plastics products","B4135C0",19231,20271,21312,22298,22495,24314,25698,27558,28901,29954,32101,33864,34629,36076
"43","36","        Leather and leather products","B4136C0",2156,2261,2295,2344,2293,2338,2374,2371,2308,2189,2194,2165,2085,2069
"44","37","    Transportation and public utilities","A4137C0",154125,162648,169589,180219,185792,195049,201420,212531,221445,232650,249127,268752,293491,315295
"45","38","      Transportation","A4138C0",80203,85854,90554,95828,98672,103568,107323,114184,119624,125966,135251,146185,156389,165277
"46","39","        Railroad transportation","Q4139C0",11584,11211,11089,10743,10898,11536,11175,11207,11242,11539,11770,12652,12655,12461
"47","40","        Local and interurban passenger transit","B4140C0",4420,5010,5339,5685,6014,6391,6805,7432,7938,8623,9306,10067,10726,11027
"48","41","        Trucking and warehousing \2\","Q4141C0",33559,31969,33382,34727,35202,37140,39202,42632,45051,47311,50932,54959,58944,62005
"49","42","        Water transportation","B4142C0",5054,5213,5431,5807,6147,6125,6157,6381,6421,6566,7090,7553,7838,8384
"50","43","        Transportation by air \2\","B4143C0",18616,24715,26908,29603,30776,32124,33186,34770,36257,38667,41706,45187,49629,53371
"51","44","        Pipelines, except natural gas","B4144C0",723,774,769,832,894,980,947,922,854,828,842,842,852,866
"52","45","        Transportation services","B4145C0",6246,6962,7635,8431,8743,9273,9851,10840,11860,12432,13604,14924,15744,17162
"53","46","      Communications","A4146C0",41877,43293,43759,47224,48067,50159,52043,55236,58617,62559,68530,75606,87632,97011
"54","47","        Telephone and telegraph","Q4147C0",32737,33862,33991,36428,37253,38678,40074,42404,44217,46541,51653,56739,66307,73714
"55","48","        Radio and television","Q4148C0",9140,9431,9768,10796,10814,11481,11970,12832,14400,16019,16877,18866,21324,23297
"56","49","      Electric, gas, and sanitary services","Q4149C0",32045,33501,35276,37168,39053,41321,42053,43111,43204,44125,45346,46962,49470,53006
"57","50","    Wholesale trade","B4150C0",155045,169968,181732,188706,191476,202072,204433,216561,233470,246560,266995,289971,309526,333064
"58","51","    Retail trade","B4151C0",223171,240017,253072,263211,268282,278376,292002,310842,328552,344612,365296,392218,420605,450337
"59","52","    Finance, insurance, and real estate","A4152C0",176899,191283,197251,208002,215155,238393,249813,255814,269421,295473,325962,366875,392011,432689
"60","53","      Depository institutions","B4153C0",49669,52948,55293,57376,57159,60455,61267,62667,65338,69552,74442,79948,84025,85692
"61","54","      Nondepository institutions","B4154C0",10229,10821,11128,11907,12611,15315,18084,18236,18525,21593,25608,32912,35325,36058
"62","55","      Security and commodity brokers","B4155C0",27919,28976,26830,27772,29919,40396,44108,42673,48185,57744,68278,79812,89121,115381
"63","56","      Insurance carriers","Q4156C0",37996,41020,43643,47504,51051,54366,56234,58916,61049,64659,68526,75660,79466,82560
"64","57","      Insurance agents, brokers, and service","B4157C0",16034,18076,18976,20340,21080,21834,22566,24067,25369,27032,29046,30953,32396,34496
"65","58","      Real estate","B4158C0",26400,29123,30423,31046,30739,31924,33132,34920,35839,38290,41940,47160,50333,53910
"66","59","      Holding and other investment offices","B4159C0",8651,10318,10959,12057,12597,14101,14421,14336,15116,16602,18122,20430,21345,24592
"67","60","    Services","A4160C0",468540,521445,573283,633897,664364,719289,767417,813256,878860,948363,1031109,1133495,1232358,1361992
"68","61","      Hotels and other lodging places","B4161C0",19103,21535,23354,25161,25584,26650,27484,28597,30156,31994,34377,37340,40739,44109
"69","62","      Personal services","B4162C0",13625,14751,15586,16605,17045,17866,18593,19274,20402,21579,23103,24663,26236,27894
"70","63","      Business services","B4163C0",74890,84901,95150,105887,107380,119423,130641,143294,166260,191925,224611,264815,310274,365021
"71","64","      Auto repair, services, and parking","B4164C0",14336,15574,16784,18199,17851,18555,19798,21150,22742,24787,26471,28320,30513,32895
"72","65","      Miscellaneous repair services","B4165C0",6825,7749,8561,9196,8298,8826,9391,9043,9993,10815,11317,12091,12413,12982
"73","66","      Motion pictures","B4166C0",7292,7769,8515,9923,9991,10270,11484,12418,14173,16157,17705,18959,19688,20894
"74","67","      Amusement and recreation services","B4167C0",13831,15236,16614,19062,20149,22488,24477,26030,28993,31592,34341,37224,40624,44355
"75","68","      Health services","B4168C0",149863,165259,181466,203277,222330,240815,257927,273224,284345,297398,311910,327780,341436,360267
"76","69","      Legal services","B4169C0",28071,32264,34816,38052,39051,41638,42416,43325,44481,46367,49150,53318,56758,62280
"77","70","      Educational services","B4170C0",24674,27106,29349,31417,33899,36687,38827,41105,43598,46283,49376,53757,57857,62932
"78","71","      Social services and membership organizations","A4171C0",39514,44838,49381,53964,58404,62161,67134,72059,77634,82188,88220,96448,104729,113700
"79","72","        Social services","B4172C0",16692,18788,21195,23797,26367,29180,31528,34183,37214,39543,42559,46795,51179,56302
"80","73","        Membership organizations","B4173C0",22822,26050,28186,30166,32037,32981,35606,37876,40419,42645,45661,49653,53550,57398
"81","74","      Other services \3\","B4174C0",68942,76294,84929,93932,95411,103953,108712,112823,124389,135465,148669,164999,178543,201245
"82","75","      Private households","Q411RC0",7572,8170,8778,9223,8971,9956,10533,10915,11693,11814,11856,13782,12547,13419
"83","76","  Government","B202RC0",423117,452037,481106,519049,548765,572001,589010,609496,629026,648094,671887,701313,733766,779787
"84","77","    Federal","A4177C0",138372,146174,151149,160396,168808,173527,173712,174024,173700,174648,176268,178872,183516,194988
"85","78","      General government","A4178C0",113594,119547,123770,130685,138025,140729,141516,140388,139344,139236,140220,141924,145800,154248
"86","79","        Civilian","B4179C0",61476,65766,68403,72409,76619,79759,83676,84840,84792,85524,86364,87876,90276,96288
"87","80","        Military \4\","B4180C0",52118,53781,55367,58276,61406,60970,57840,55548,54552,53712,53856,54048,55524,57960
"88","81","      Government enterprises","B4181C0",24778,26627,27379,29711,30783,32798,32196,33636,34356,35412,36048,36948,37716,40740
"89","82","    State and local","A4182C0",284745,305863,329957,358653,379957,398474,415298,435472,455326,473446,495619,522441,550250,584799
"90","83","      General government","A4183C0",264559,284204,306773,333726,353647,371111,386531,405325,423982,440856,461284,486083,511975,543989
"91","84","        Education","B4184C0",137431,147755,159481,173286,183922,191946,200536,209732,220496,230952,243477,257914,272334,290446
"92","85","        Other \1\","B4185C0",127128,136449,147292,160440,169725,179165,185995,195593,203486,209904,217807,228169,239641,253543
"93","86","      Government enterprises \1\","B4186C0",20186,21659,23184,24927,26310,27363,28767,30147,31344,32590,34335,36358,38275,40810
"94","87","Rest of the world","A4187C0",-1356,-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402,-4563,-7170,-6565
"95","88","  Receipts from the rest of the world","B4188C0",994,995,1017,1172,1290,1796,1820,1943,2179,2181,2270,2437,4246,4395
"96","89","  Less:  Payments to the rest of the world \5\","B4189C0",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,11416,10960
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","3. Consists of museums, botanical and zoological gardens; engineering and management services; and services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
