"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","    Other","W734RC1",2.2,2.4,2.5,2.7,3,3.1,3.2,3.5,3.7,4,4.3,4.6,4.9,5.3,5.7,6.4,7.1,7.6,8.3,8.9,9.5,10,10.4,11.6,11.3,11.9,12.5,12.3,13,13.6,14.1,14.3,14.4,14.9,16,16.9,17.5,18.4,19,18.8,20.3,22.5,22.9,23.7,24,24.3
"13","6","  Taxes on production and imports","W7735C1",29.9,32.7,36.3,40.7,44.7,48.4,51.8,57.7,63.4,70.3,77.1,83.4,92.7,97,106.8,119.7,129,134.9,144.3,155.2,163.5,175.4,180.8,195.9,206.3,220.8,231.3,245,255.4,268.8,283,294.8,300.8,309.6,328.9,352.3,385.3,409.1,424,425.4,393.2,415.5,438,450.8,473.9,487.3
"14","7","    Sales taxes","W736RC1",25.7,28.2,31.4,35.2,38.8,42,44.7,49.9,55,60.8,65.7,70,76.5,80.3,90,100.9,109,115.8,124.6,135.1,142.3,152.5,157.5,169.7,179.4,191.7,200.5,211.8,221.3,233.3,245.9,255.5,259.9,268,282,300.5,325.6,346.6,359,354.3,335.6,354.7,370.7,382.4,402.5,416
"15","8","    Property taxes","W737RC1",0.9,0.9,1,1.1,1.2,1.1,1.4,1.5,1.5,1.9,2.3,2.6,2.7,2.8,3,3.4,3.5,3.6,3.7,3.8,4.3,4.6,4.9,6.1,5.9,7,7.2,8.2,8.1,8.5,9.1,7.8,8.1,7.7,9.1,8.3,9.1,9.7,9.8,9.7,10.4,10.7,9.9,9.7,10.3,10.7
"16","9","    Other","W738RC1",3.3,3.6,3.9,4.4,4.7,5.3,5.6,6.3,6.9,7.6,9,10.8,13.6,13.9,13.8,15.5,16.5,15.6,16,16.3,17,18.3,18.3,20.1,21,22.1,23.6,25,26,27,27.9,31.6,32.8,33.9,37.8,43.5,50.6,52.7,55.2,61.3,47.2,50.1,57.4,58.8,61.2,60.7
"17","10","  Taxes on corporate income","W739RC1",3.4,3.5,4,5,5.7,6.3,6.9,9.1,10.8,11.5,12.9,13.7,14.5,13.1,14.9,17.4,18.7,20.7,21.8,23.8,22.4,20.5,21.6,22.2,24.5,27.5,29.2,29.9,31,31.6,32.3,31.7,25.9,25,27.5,33.8,44.5,48,46.9,38.4,38.4,39.8,42,43.7,46.2,48.6
"18","11","Contributions for government social insurance","W740RC1",1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,10.8,13.7,15.8,19.9,24.7,24.6,21.5,18.9,18.7,18.6,18.1,18.2,18,18.6,18.9
"19","12","Income receipts on assets","W741RC1",2.1,2.5,2.7,2.9,3.9,5,5.6,5.3,6.1,7.4,10.3,13.4,15.6,17.5,19.5,22.4,26.1,27.5,28.4,30.8,32.8,33.9,34.1,33.6,32.4,33.9,36.9,39.4,41.8,43.3,46.6,49.3,46.5,42.4,42,44.4,50.6,59.2,65,60.1,52.2,51.3,52,51.9,51.9,52.8
"20","13","  Interest receipts","W742RC1",1.8,2.2,2.3,2.5,3.3,4.4,5,4.7,5.4,6.7,9.2,11.2,13.2,15.3,17.2,19.8,23.4,24.6,25.6,28,30.2,31.4,31.2,30.4,29.4,30.6,33.4,35.3,37.5,39.2,42.5,44.3,41.4,37.2,35.9,37.4,42.7,50.7,55.3,49.6,43,42.4,42.4,41.3,40.8,41.1
"21","14","  Dividends","W743RC1",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2,2.1,2.2,2.6,2.1,2.3,2.6,3.3,3.7,3.8
"22","15","  Rents and royalties","W744RC1",0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,1.1,2,2.2,2.1,2.2,2.5,2.6,2.7,2.6,2.7,2.4,2.3,2.6,2.7,2.5,2.5,2.6,2.7,2.7,2.4,2.6,3.6,3.7,3.7,4.4,5.1,6,6.5,7.5,7.9,7,6.6,7,7.3,7.4,7.8
"23","16","Current transfer receipts","W745RC1",13.7,16.6,19.9,26.4,26.6,28.6,35.4,39.1,42.8,47.4,50.1,56.5,59.7,58.7,62.4,67.7,72.2,81.5,80.3,88,98.1,112.4,136.7,158,172.7,183.7,191.3,197.9,207.2,219.3,238.2,258.8,289.7,317.7,340.5,363.4,374.1,376,397.9,416.1,501.7,540.2,510.2,486.8,497,545.8
"24","17","  Federal grants-in-aid","W746RC1",12.4,15.2,18.4,24.6,24.5,26.3,32.4,35.4,38.8,43.1,45.9,52.1,54.6,52.7,55,59,62.6,69.3,69.4,76.2,85.1,97.6,117.1,134.3,147.6,156.9,164,168.9,174.1,182.9,199.1,212.6,238.9,263.5,285.1,303.4,312.2,314.2,332.2,346.6,432.8,473.3,442.2,416.7,423.2,469.3
"25","18","  Local government grants-in-aid","W747RC1",0.8,0.9,1,1.1,1.2,1.3,1.7,2.3,2.4,2.5,2.2,2.3,2.7,3.1,4.2,5,5.2,5.3,5.5,5.6,5.8,6.2,7.6,9,10.1,11,11.1,12,13.5,13.3,12.9,14,14.9,15.5,16.4,17.6,16.6,15.6,17.7,17.7,16.5,16.6,16.9,16.8,16.4,16.6
"26","19","  From business (net)","W748RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,2.8,0.9,1.1,1.3,1.6,2,2.6,2.9,3.4,4.1,5,6.6,9.8,11.4,15,16.1,17.2,16.6,17.7,18.4,18.2,19,21.1,21.7,20.1,19.8,20.1,23.7,22.2
"27","20","  From persons","W749RC1",0.4,0.4,0.4,0.5,0.7,0.8,1,1.2,1.4,1.5,1.6,1.7,2,2.3,2.6,3,3.6,4.1,4.5,5.2,5.9,6.9,10,12.1,12.1,12.4,12.2,12,13,13.2,14.9,17.2,19.8,21.5,22.3,24.6,26.9,28,29,30.7,30.7,30.1,31.4,33.1,33.8,34.8
"28","21","  From the rest of the world","LA0000201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"29","22","Current surplus of government enterprises","W750RC1",0.7,0.7,0.7,0.8,0.9,0.9,1,1.2,1.4,1.5,1.6,1.6,1.6,2.1,2.7,3.5,4.5,5.1,5.4,6.4,7.1,7.3,7.5,7.9,8.5,9.1,10,10.6,10.7,10.5,10,8.6,7.7,8.1,9.2,9.9,10.8,9.8,6.9,6.1,7,7.2,8.9,12.2,14.1,15.2
"30","23","    Current expenditures","W751RC1",62.8,72.8,82.9,92.9,103.3,116.5,134.8,145.6,158,174.2,193.8,217.8,239.8,257,274.7,297.5,327.9,352.3,374.8,402.7,440.8,480.7,532.2,580.8,614.6,649.8,685,708.1,735.5,774,836.1,896,984,1037.5,1086.6,1139.7,1195.2,1239.7,1324.9,1383.9,1455,1487.1,1492.9,1506.1,1543.4,1602
"31","24","Consumption expenditures","W752RC1",22.4,25.8,28.8,31.5,35.3,42.1,49.1,52.8,57.5,63.1,70,78.8,86.9,93.7,99.5,106.9,117.4,124.9,132.7,142.4,153.9,167.2,175.4,183.9,193.1,204.5,213.6,219.7,231.4,248.3,272.6,292.8,314.4,320.3,319.2,327.1,347.4,361.2,384.6,407.7,411.7,411.2,413.1,415.8,422.6,437.5
"32","25","Current transfer payments","W753RC1",37.2,43.3,49.6,56,61.9,67.2,77,83.9,90.7,100.3,111.8,125.9,138,146.2,155.8,169.6,186.4,201.5,216.9,234.3,257,284.2,323.7,360.5,386.5,410.5,433.8,452.7,469.8,497.1,536.9,579.4,631.8,674.7,709.8,757.4,789.1,812.9,867.7,904.7,939.4,970.3,976.2,979.7,1009.3,1063.2
"33","26","  Government social benefit payments to persons","W754RC1",10.8,12.9,15.3,17.5,19.4,19.9,24.2,26.9,29.1,32,35.4,41.3,46.7,51,55.9,59.8,65.2,71.4,77.4,84.4,94.4,111,137.6,159.5,173.6,184.4,194.8,202.5,206.8,214.6,230.3,248.4,281,307.2,326.2,355.8,375.2,371.3,398.5,418.6,453,481.5,488.7,497.2,520.6,566.7
"34","27","  Grants-in-aid to local governments","W755RC1",26.4,30.4,34.3,38.5,42.6,47.3,52.8,57,61.6,68.2,76.3,84.6,91.3,95.3,99.9,109.8,121.2,130.1,139.5,149.8,162.6,173.1,186.1,201,212.9,226.2,239,250.3,263,282.4,306.6,331,350.7,367.5,383.5,401.6,413.9,441.7,469.2,486.1,486.3,488.8,487.5,482.5,488.6,496.5
"35","28","  Current transfer payments to the rest of the world","LA0000191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","29","Interest payments","W756RC1",2.9,3.4,4.2,5,5.4,6.4,7.5,7.7,8.5,9.3,10.3,11.1,12.6,14.6,16.7,17.9,20.8,22.2,20.9,21.2,24.7,23.8,27.3,30.4,29.1,28.4,30.8,27.9,25.7,19.8,17.1,13.5,20.2,31.5,47.5,44.5,46.8,52.3,51.8,54.1,87.3,88.4,87.4,94.2,95.1,84.3
"37","30","  To persons and business \1\","Y707RC1",2.9,3.4,4.2,5,5.4,6.4,7.5,7.7,8.5,9.3,10.3,11.1,12.6,14.6,16.7,17.9,20.8,22.2,20.9,21.2,24.7,23.8,27.3,30.4,29.1,28.4,30.8,27.9,25.7,19.8,17.1,13.5,20.2,31.5,47.5,44.5,46.8,52.3,51.8,52.8,86.3,87.5,86.4,93.1,94,83.2
"38","31","  To the rest of the world","Y708RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.9,1,1.1,1.1,1.1
"39","32","Subsidies","W757RC1",0.2,0.3,0.3,0.5,0.7,0.9,1.1,1.2,1.4,1.6,1.8,2,2.3,2.5,2.8,3.1,3.3,3.6,4.2,4.8,5.2,5.5,5.8,6,6,6.3,6.7,7.7,8.6,8.9,9.6,10.3,17.7,10.9,10.1,10.6,11.8,13.4,20.8,17.3,16.6,17.2,16.3,16.4,16.4,17
"40","33","    Net state government saving","W759RC1",-1.2,-3.7,-4.7,2.2,-0.1,-4.4,-9,-4,0.1,3,1,-1.8,-3.4,-12.4,-5.5,6.2,0.6,1.7,0.2,0.4,-5.6,-11.5,-28.1,-29.4,-29.8,-28.1,-31.8,-21.8,-15.9,-9.9,-23.6,-28.4,-79.5,-119.7,-116.1,-91,-58.7,-45.2,-76.5,-119.3,-187.5,-150.3,-133.3,-131.9,-106.4,-88.2
"41","34","Social insurance funds","W760RC1",0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.4,3.2,7.3,7.2,4.6,2.7,1.7,2.2,3.2,4.4,4.2,4.1,4.2
"42","35","Other","W761RC1",-1.3,-3.9,-5,1.9,-0.4,-4.8,-9.5,-4.6,-0.9,1.5,-0.8,-3.2,-4.7,-13.6,-6.7,4.8,-0.7,-0.1,-2,-2.1,-7.9,-13.4,-30.5,-32.6,-34,-32.8,-35.8,-24.7,-17.1,-11.6,-25.3,-30.3,-82.1,-121.1,-119.4,-98.3,-65.9,-49.9,-79.2,-121.1,-189.6,-153.5,-137.7,-136,-110.4,-92.5
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Total receipts","W762RC1",65.3,72.4,81.9,98.6,106.2,115.6,130.3,146.4,162.9,182.1,201,223.6,243.1,250.8,276.5,312.5,339.1,365.2,385.5,414.5,446.6,481.4,516.8,564.8,599.1,637.4,669.5,703.3,737.6,782.5,834,891.5,932.3,947.8,998.8,1076.6,1167.1,1226.7,1279.3,1298,1302.8,1374.3,1397.1,1410.9,1473.9,1549.7
"45","37","    Current receipts","W730RC1",61.6,69.1,78.2,95,103.1,112.1,125.8,141.7,158.1,177.2,194.8,216,236.4,244.7,269.3,303.7,328.6,354,375,403.1,435.2,469.2,504.1,551.4,584.8,621.6,653.2,686.2,719.6,764.1,812.5,867.7,904.5,917.8,970.5,1048.7,1136.5,1194.5,1248.3,1264.6,1267.6,1336.8,1359.6,1374.2,1437,1513.8
"46","38","    Capital transfer receipts","W764RC1",3.7,3.3,3.6,3.6,3.1,3.5,4.5,4.7,4.8,4.9,6.2,7.7,6.6,6.2,7.2,8.7,10.6,11.1,10.5,11.5,11.4,12.3,12.7,13.4,14.3,15.7,16.3,17.1,18,18.4,21.5,23.8,27.9,30,28.3,27.9,30.6,32.2,30.9,33.4,35.2,37.5,37.5,36.6,36.9,35.9
"47","39","  Total expenditures","W765RC1",71.4,81.9,92.7,102.7,113,126,143.8,154.2,165.4,182.9,204.9,229.3,249.5,264.6,283.1,310.2,344.3,370.6,394.2,424.3,463.1,505.7,557.4,606.2,640.4,677.9,713.5,735.6,766.4,806.4,873.3,937.8,1030.6,1084.5,1131.5,1188,1244.1,1285,1369.1,1428.7,1500.9,1531.2,1533.1,1540.7,1574.2,1634.8
"48","40","    Current expenditures","W751RC1",62.8,72.8,82.9,92.9,103.3,116.5,134.8,145.6,158,174.2,193.8,217.8,239.8,257,274.7,297.5,327.9,352.3,374.8,402.7,440.8,480.7,532.2,580.8,614.6,649.8,685,708.1,735.5,774,836.1,896,984,1037.5,1086.6,1139.7,1195.2,1239.7,1324.9,1383.9,1455,1487.1,1492.9,1506.1,1543.4,1602
"49","41","    Gross government investment","W767RC1",12.8,13.9,14.6,15.2,15.8,17.3,17.8,17.6,17,18.8,22.4,24.9,25.4,24.8,26,30.8,35.3,38.6,41.3,45,47.2,51.7,53.3,54.8,56.9,61.1,63.9,64.8,70,73,79.8,87.5,95.2,97.5,97.3,100,105.8,113.6,118,124.4,128.5,129.1,129.6,128.3,127.1,131.8
"50","42","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0,0,0,0,0,0
"51","43","    Net purchases of nonproduced assets","W768RC1",0.2,0.2,0.7,0.7,0.7,0.9,0.9,0.8,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1,1.3,1.5,1.6,1.6,1.7,1.9,1.9,1.7,1.6,1.6,1.6,1.6,2,2.5,2.6,2.7,3.2,3.4,3.2,1.7,2.1,3.7,3.6,3.2,2.5,1.9,2,2.2,2.3
"52","44","    Less: Consumption of fixed capital","W769RC1",4.3,5,5.6,6.1,6.8,8.6,9.6,9.9,10.3,10.9,12.2,14.2,16.5,18.1,18.5,19,20,21.5,23.4,24.9,26.5,28.4,30.1,31.2,32.8,34.6,36.9,38.8,40.8,42.6,45.1,48.3,51.2,53.7,55.9,59.3,65,70.4,77.5,83.2,85.8,87.4,91.3,95.6,98.5,101.2
"53","45","  Net lending or net borrowing (-)","W770RC1",-6.1,-9.5,-10.8,-4.1,-6.7,-10.5,-13.6,-7.8,-2.5,-0.8,-3.9,-5.6,-6.4,-13.8,-6.6,2.3,-5.1,-5.5,-8.7,-9.8,-16.5,-24.3,-40.6,-41.4,-41.3,-40.5,-44,-32.3,-28.8,-23.9,-39.4,-46.3,-98.3,-136.7,-132.7,-111.4,-77,-58.3,-89.8,-130.7,-198.1,-156.9,-136,-129.9,-100.2,-85.2
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Interest payments includes interest accrued on the actuarial liabilities of defined benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","plans for state government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","the consolidated state and local government account totals because grants-in-aid from states to local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","governments and from local to state governments are netted in the consolidated account totals. In addition,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","the receipt category 'surplus of government enterprises' and the expenditure category 'subsidies' do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","not sum to the consolidated account totals because the level of government making subsidy payments accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for them as subsidies while recipient governments account for them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
