"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","2","Nonresidential","A008RZ2",5.04,-0.65,-0.04,6.01,8.79,0.56,-6.63,4.22,7.68,9.5,6.91,0.01,4.66,-2.82,-0.36,12.46,4.92,-1.29,0.06,3.55,4.08,0.8,-2.97,2.23,5.55,5.79,7.04,6.79,7.99,8.07,7.23,6.77,-1.79,-5.06,1.32,3.52,4.59,4.62,4.03,-0.53,-12.33,1.99,6.24,7.41,2.48,4.92
"12","3","  Structures","B009RZ2",1.23,0.06,-0.4,0.71,1.78,-0.48,-2.46,0.56,0.89,2.89,2.65,1.32,2.08,-0.46,-3.17,3.34,1.68,-2.63,-0.6,0.13,0.4,0.29,-2.31,-1.17,-0.05,0.3,1.01,0.92,1.2,0.86,0.02,1.23,-0.25,-3.02,-0.58,-0.06,0.24,1.05,2.07,1.19,-4.22,-3.55,0.41,2.27,0.28,1.45
"13","4","    Commercial and health care","W001RZ2",0.99,0.09,0.7,0.74,0.37,-0.5,-1.73,-0.09,0.31,0.76,1.08,0.64,0.63,0.72,-0.28,1.91,1.46,-0.75,-0.35,0.28,-0.12,-0.36,-1.99,-0.52,0.26,0.3,0.38,0.5,0.7,0.44,0.26,0.47,-0.35,-1.08,-0.4,0.14,-0.05,0.34,0.61,-0.26,-2.29,-1.54,-0.02,0.36,0.15,0.55
"14","5","    Manufacturing","C307RZ2",0.21,-0.14,-0.74,-0.43,0.65,0.44,-0.16,-0.3,0.09,0.99,0.82,-0.7,0.52,-0.15,-1.23,0.11,0.33,-0.48,-0.06,0.14,0.5,0.39,-0.27,-0.27,-0.63,0.4,0.44,0.14,-0.12,0.08,-0.41,0.06,-0.05,-0.81,-0.09,0.03,0.15,0.08,0.23,0.39,0.1,-0.76,-0.08,0.26,0.08,0.21
"15","6","    Power and communication","W003RZ2",0,0.5,0.05,0.25,0.36,-0.36,-0.46,0.54,-0.09,0.24,0.18,0.05,0.13,-0.28,-0.7,0.09,-0.04,0.22,-0.37,-0.17,0.11,-0.2,0.5,0.2,-0.16,-0.29,0.05,-0.36,-0.08,0.33,0.37,0.34,0.08,-0.06,-0.21,-0.4,0.07,0.12,0.85,0.32,0.05,-0.78,-0.33,0.79,-0.19,0.24
"16","7","    Mining exploration, shafts, and wells \1\","E318RZ2",0.07,-0.1,-0.12,0.1,0.1,0.28,0.35,0.22,0.38,0.45,0.23,1.43,0.92,-0.56,-1.17,0.61,-0.45,-1.39,-0.04,0.15,-0.17,0.24,-0.04,-0.32,0.23,-0.04,-0.21,0.08,0.22,-0.2,-0.2,0.25,0.24,-0.52,0.24,0.12,0.23,0.25,-0.06,0.29,-1.3,0.63,1.12,0.61,0.13,0.34
"17","8","    Other structures \2\","W004RZ2",-0.04,-0.29,-0.29,0.05,0.31,-0.35,-0.47,0.19,0.2,0.45,0.34,-0.1,-0.12,-0.2,0.2,0.63,0.37,-0.24,0.22,-0.26,0.07,0.22,-0.51,-0.26,0.25,-0.07,0.35,0.56,0.48,0.21,0,0.11,-0.17,-0.55,-0.12,0.04,-0.15,0.25,0.44,0.45,-0.78,-1.1,-0.28,0.24,0.12,0.1
"18","9","  Equipment","Y033RZ2",3.24,-0.7,0.32,4.61,6.54,0.78,-4.25,2.52,6.11,5.94,3.23,-1.76,1.49,-3.03,1.83,7.38,2.11,0.44,0.14,2.43,1.99,-0.79,-1.74,2.27,4.81,4.76,4.77,3.87,4.43,5.17,4.84,3.75,-1.63,-1.93,1.09,2.52,3.07,2.71,1.03,-2.34,-7.79,5.02,4.85,4.1,1.23,2.18
"19","10","    Information processing equipment","Y034RZ2",1.41,0.82,0.56,1.1,1.37,1.1,-0.29,1.3,2.11,2.67,1.83,1.55,1.67,0.11,1.99,3.42,1.28,0.95,0.57,1.17,1.26,0.18,0.27,1.96,1.9,1.9,2.76,2.91,2.88,3.29,3,2.84,-0.17,-0.61,1.12,1.17,0.95,1.32,1.21,0.05,-1.04,1.25,0.21,0.75,0.44,0.43
"20","11","      Computers and peripheral equipment","B935RZ2",0.49,0.34,0.47,0.72,0.11,0.42,0,0.57,0.63,1.26,0.91,0.97,1.18,0.05,1.51,2.13,0.99,0.58,0.94,0.56,0.85,-0.05,0.32,1.37,1.15,1,2.04,2.01,2.08,2.14,1.97,1.06,0.12,0.2,0.39,0.45,0.39,0.7,0.41,0.19,-0.01,0.38,-0.08,0.23,0.13,-0.1
"21","12","      Other \3\","A937RZ2",0.92,0.49,0.08,0.38,1.26,0.68,-0.29,0.72,1.48,1.41,0.92,0.58,0.49,0.06,0.48,1.3,0.29,0.37,-0.37,0.6,0.4,0.23,-0.06,0.59,0.75,0.89,0.72,0.9,0.8,1.15,1.03,1.78,-0.29,-0.81,0.73,0.72,0.56,0.62,0.8,-0.14,-1.03,0.86,0.29,0.52,0.31,0.53
"22","13","    Industrial equipment","A680RZ2",0.77,0.16,-0.98,0.8,1.76,0.79,-1.86,0.06,0.67,1.19,0.76,-0.47,-0.18,-0.94,-0.84,1.32,0.42,-0.04,-0.23,0.45,0.64,-0.56,-0.61,0.17,0.79,0.84,0.94,0.38,0.21,0.4,0.05,0.7,-0.61,-0.52,0.03,-0.13,0.56,0.55,0.22,-0.36,-1.76,-0.04,1.6,0.78,-0.22,0.58
"23","14","    Transportation equipment","A681RZ2",0.47,-2.07,0.77,1.56,1.98,-1,-1.39,1.07,2.11,1.11,0.46,-1.89,-0.25,-0.95,1,1.59,0.34,-0.33,-0.41,0.46,-0.78,-0.09,-0.2,0.18,1.43,1.43,0.67,0.3,0.64,0.73,1.58,-0.19,-0.81,-0.75,-0.55,0.94,0.86,0.53,-0.31,-1.66,-3.37,3.12,2.11,1.56,0.96,1.09
"24","15","    Other equipment \4\","A862RZ2",0.59,0.38,-0.03,1.14,1.44,-0.11,-0.72,0.09,1.22,0.98,0.19,-0.94,0.25,-1.25,-0.31,1.04,0.07,-0.14,0.2,0.36,0.88,-0.32,-1.2,-0.04,0.69,0.59,0.4,0.28,0.7,0.76,0.2,0.4,-0.05,-0.05,0.5,0.54,0.71,0.31,-0.09,-0.37,-1.63,0.69,0.93,1.01,0.04,0.08
"25","16","  Intellectual property products","Y001RZ2",0.57,-0.01,0.04,0.69,0.47,0.26,0.09,1.14,0.68,0.67,1.03,0.45,1.1,0.66,0.98,1.74,1.13,0.9,0.53,0.99,1.69,1.3,1.08,1.14,0.79,0.73,1.26,1.99,2.36,2.04,2.38,1.8,0.09,-0.1,0.81,1.06,1.27,0.86,0.93,0.63,-0.32,0.52,0.98,1.04,0.97,1.3
"26","17","    Software \5\","B985RZ2",0.3,0.3,0.08,0.22,0.17,0.21,0.25,0.15,0.07,0.26,0.33,0.27,0.29,0.3,0.42,0.66,0.5,0.34,0.42,0.63,1.04,0.75,0.64,0.96,0.68,0.57,0.57,0.99,1.77,1.45,1.76,1.2,0.07,-0.01,0.64,0.93,0.58,0.36,0.52,0.46,0.02,-0.13,0.85,0.67,0.37,0.73
"27","18","    Research and development \6\","Y006RZ2",0.44,0.03,-0.01,0.29,0.4,0.02,-0.1,0.42,0.34,0.45,0.41,0.37,0.41,0.35,0.43,0.8,0.65,0.32,0.15,0.33,0.53,0.45,0.41,0.03,-0.06,0,0.44,0.77,0.5,0.45,0.53,0.43,0.11,-0.23,-0.06,0.09,0.46,0.47,0.47,0.29,-0.27,0.27,0.11,0.3,0.55,0.48
"28","19","    Entertainment, literary, and artistic originals","Y020RZ2",-0.17,-0.33,-0.03,0.18,-0.1,0.03,-0.06,0.57,0.27,-0.04,0.29,-0.19,0.4,0.02,0.13,0.28,-0.01,0.24,-0.04,0.03,0.12,0.09,0.03,0.15,0.17,0.16,0.25,0.23,0.09,0.14,0.09,0.17,-0.09,0.14,0.23,0.05,0.24,0.03,-0.07,-0.12,-0.08,0.37,0.02,0.08,0.05,0.08
"29","20","Residential","A011RZ2",0.86,-1.4,6.9,5.4,-0.22,-6.12,-3.18,5.62,5.88,2.09,-1.15,-5.96,-1.98,-3.86,7.89,3.73,0.58,3.1,0.55,-0.26,-0.91,-2.24,-2.18,3.24,2.12,2.39,-0.93,2.08,0.63,2.16,1.6,0.17,0.22,1.6,2.69,3.22,2.25,-2.65,-6.01,-6.25,-4.39,-0.49,0.1,2.37,1.75,0.35
"30","21","  Structures","A012RZ2",0.78,-1.45,6.82,5.26,-0.3,-6.14,-3.13,5.58,5.81,2.03,-1.21,-5.96,-1.97,-3.84,7.82,3.66,0.53,3.05,0.53,-0.28,-0.91,-2.22,-2.15,3.22,2.11,2.39,-0.93,2.08,0.63,2.13,1.56,0.14,0.22,1.58,2.67,3.18,2.23,-2.66,-6,-6.23,-4.35,-0.51,0.08,2.36,1.72,0.33
"31","22","    Permanent site","A943RZ2",0.52,-1.68,5.62,4.36,-0.11,-6.01,-3.86,4.34,4.87,0.9,-1.23,-5.12,-1,-2.54,6.11,2.6,-0.2,1.68,0.22,-0.59,-0.38,-1.42,-1.87,2.02,0.93,1.69,-0.99,1.26,0.07,1.25,1.01,0.11,0.08,0.58,1.56,2.04,1.35,-1.72,-4.58,-4.49,-3.71,-0.27,-0.22,1.35,1.57,0.73
"32","23","      Single family","A944RZ2",-0.67,-1.56,4.07,2.62,-0.33,-3.26,-0.98,4.42,4.13,0.56,-1.85,-4.78,-0.88,-2,5.13,1.82,-0.1,1.58,1,-0.16,-0.38,-1.14,-1.42,2.27,1.18,1.4,-1.27,1.11,-0.04,1.27,0.9,0.14,0.02,0.5,1.52,1.9,1.17,-1.74,-4.34,-4.26,-3.04,0.45,-0.25,1.03,1.24,0.37
"33","24","      Multifamily","C292RZ2",1.2,-0.12,1.55,1.74,0.23,-2.75,-2.88,-0.08,0.74,0.35,0.63,-0.34,-0.12,-0.55,0.99,0.78,-0.1,0.11,-0.78,-0.43,-0.01,-0.29,-0.45,-0.24,-0.26,0.29,0.28,0.15,0.11,-0.02,0.12,-0.03,0.06,0.08,0.05,0.14,0.18,0.01,-0.23,-0.23,-0.66,-0.71,0.03,0.32,0.33,0.36
"34","25","    Other structures \7\","A863RZ2",0.26,0.22,1.2,0.91,-0.19,-0.13,0.73,1.23,0.94,1.13,0.02,-0.84,-0.97,-1.3,1.7,1.05,0.73,1.37,0.31,0.32,-0.53,-0.79,-0.28,1.2,1.18,0.7,0.05,0.82,0.55,0.87,0.54,0.03,0.14,1.01,1.11,1.14,0.88,-0.93,-1.42,-1.74,-0.65,-0.24,0.3,1.01,0.15,-0.4
"35","26","  Equipment","B013RZ2",0.08,0.05,0.08,0.13,0.09,0.01,-0.05,0.04,0.06,0.06,0.06,0,0,-0.02,0.07,0.07,0.05,0.05,0.03,0.02,0,-0.02,-0.02,0.02,0.01,0,0.01,0,0,0.03,0.04,0.03,0.01,0.01,0.03,0.05,0.02,0.01,-0.01,-0.02,-0.04,0.02,0.02,0.01,0.03,0.02
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","27","  Private fixed investment in structures","A349RZ2",2.01,-1.39,6.43,5.98,1.48,-6.62,-5.59,6.14,6.7,4.92,1.44,-4.64,0.1,-4.3,4.65,7,2.21,0.42,-0.07,-0.14,-0.51,-1.92,-4.46,2.05,2.06,2.69,0.08,3,1.82,2.99,1.57,1.37,-0.03,-1.44,2.09,3.12,2.48,-1.61,-3.93,-5.05,-8.57,-4.06,0.5,4.63,2.01,1.78
"38","28","  Private fixed investment in new structures","W040RZ2",1.95,-1.52,5.99,5.59,1.35,-6.7,-6.02,5.65,6.18,4.47,1.59,-3.87,0.67,-3.82,3.51,6.64,1.79,0.05,-0.08,-0.43,-0.19,-1.64,-4.53,1.62,1.85,2.49,0.13,2.54,1.36,2.3,1.24,1.33,-0.3,-1.85,1.26,2.08,1.81,-0.77,-2.73,-3.87,-8.27,-3.93,0.28,3.96,1.55,2.14
"39","29","    Nonresidential structures \8\","A771RZ2",1.25,0.12,-0.34,0.72,1.74,-0.5,-2.46,0.58,0.84,2.87,2.67,1.33,2.1,-0.47,-3.14,3.32,1.66,-2.62,-0.6,0.11,0.41,0.32,-2.29,-1.17,-0.06,0.29,1,0.9,1.12,0.92,0.02,1.22,-0.39,-2.83,-0.56,-0.1,0.2,1.05,2.1,1.17,-4.21,-3.51,0.39,2.25,0.28,1.44
"40","30","    Residential structures \9\","A756RZ2",0.69,-1.64,6.33,4.87,-0.39,-6.2,-3.56,5.07,5.33,1.6,-1.08,-5.21,-1.43,-3.35,6.66,3.32,0.13,2.67,0.52,-0.55,-0.6,-1.96,-2.24,2.79,1.91,2.2,-0.86,1.64,0.24,1.38,1.22,0.11,0.1,0.98,1.82,2.18,1.61,-1.82,-4.83,-5.04,-4.06,-0.42,-0.11,1.71,1.27,0.71
"41","31","  Private fixed investment in information processing equipment and software","A679RZ2",1.71,1.12,0.64,1.32,1.54,1.31,-0.04,1.45,2.18,2.93,2.17,1.82,1.96,0.41,2.41,4.09,1.78,1.29,0.99,1.8,2.29,0.93,0.9,2.92,2.58,2.46,3.33,3.9,4.65,4.73,4.77,4.04,-0.1,-0.62,1.76,2.1,1.53,1.68,1.74,0.51,-1.02,1.12,1.06,1.41,0.81,1.16
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and recreational structures, net purchases of used structures, and brokers' commissions on the sale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","and related equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","and oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","6. Research and development investment excludes expenditures for software development. Software development",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and brokers' commissions on the sale of residential structures and adjoining land, and other ownership",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","8. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
