"","Table 5#9#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"20","13","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RG3",59.725,61.571,63.788,66.316,68.755,70.242,72.089,75.953,83.291,90.04,95.5,99.85,100,99.312,102.099,105.214,107.483,110.328
"22","15","      New","B831RG3",59.87,61.692,63.941,66.658,68.954,70.468,72.327,76.3,83.139,89.855,95.299,99.758,100,99.338,102.215,105.309,107.638,110.437
"23","16","        Residential","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RG3",55.475,57.752,60.684,63.182,65.18,66.706,68.621,72.97,80.176,88.336,93.788,97.838,100,97.183,99.346,102.029,103.478,106.476
"25","18","        Commercial","W183RG3",63.621,65.897,68.675,71.774,74.688,76.204,78.49,82.973,89.661,97.989,102.391,104.174,100,95.45,96.226,97.488,101.918,107.966
"26","19","        Health care","W184RG3",63.699,65.945,68.674,71.82,75.014,76.476,78.764,83.218,90.24,98.27,102.974,104.702,100,96.054,96.787,97.982,100.214,103.356
"27","20","        Educational","W185RG3",54.481,56.846,59.122,61.564,63.808,65.787,67.271,70.834,76.348,81.666,89.503,93.942,100,99.777,102.473,106.128,107.802,111.375
"28","21","        Public safety","W186RG3",63.287,65.525,68.367,71.374,74.477,75.941,78.244,82.581,89.731,97.486,102.601,104.076,100,95.814,96.579,97.905,102.373,108.406
"29","22","        Amusement and recreation","W187RG3",63.62,65.875,68.667,71.68,74.765,76.454,78.596,82.963,90.044,98.079,102.73,104.529,100,95.978,96.739,98.112,102.262,109
"30","23","        Transportation","W188RG3",50.252,51.238,52.979,55.677,57.707,59.278,60.283,63.207,71.507,79.597,90.166,98.077,100,101.349,106.227,111.738,114.53,115.914
"31","24","        Power","W189RG3",61.696,62.973,63.61,66.161,68.168,70.446,71.711,75.918,80.466,86.145,91.482,100.972,100,103.608,107.42,110.899,113.264,115.543
"32","25","        Highways and streets","W190RG3",50.163,51.202,53.069,55.71,57.719,59.286,60.305,62.773,71.927,78.848,90.514,98.092,100,101.461,106.265,111.522,114.411,115.949
"33","26","        Conservation and development","W191RG3",64.463,65.613,66.554,68.776,70.193,71.247,73.557,77.023,83.307,88.365,92.222,97.547,100,100.441,104.611,109.235,111.397,113.139
"34","27","        Other \4\","W192RG3",61.915,62.337,63.801,67.099,69.731,71.815,72.588,77.255,84.161,90.353,96.286,99.82,100,103.072,107.217,110.852,112.78,115.821
"35","28","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RG3",55.284,57.027,59.167,61.812,63.938,65.725,67.268,71.145,78.167,84.748,92.688,97.75,100,100.385,103.901,107.857,110.299,113.118
"37","30","    New","B843RG3",55.088,56.825,58.951,61.589,63.694,65.475,66.978,70.808,77.829,84.401,92.455,97.635,100,100.436,103.993,107.979,110.388,113.079
"38","31","      Residential","W147RG3",67.057,68.88,71.992,75.345,79.178,81.27,85.797,93.161,100.166,106.702,107.651,104.098,100,98.47,99.168,99.952,105.439,113.467
"39","32","      Office","W193RG3",54.971,57.762,60.722,63.153,65.189,66.712,68.59,72.869,80.413,88.263,93.792,97.764,100,97.616,99.706,102.514,104.057,106.928
"40","33","      Commercial","W194RG3",63.741,66.548,68.861,72.101,75.12,76.671,79.111,84.034,91.15,98.67,102.845,104.353,100,96.02,96.752,98.143,102.371,108.952
"41","34","      Health care","W195RG3",63.659,66.052,68.844,71.93,75.102,76.591,78.973,83.956,90.951,98.496,102.692,104.202,100,95.86,96.601,97.764,99.998,103.103
"42","35","      Educational","W148RG3",54.472,56.829,59.082,61.489,63.775,65.698,67.198,70.826,76.451,81.369,89.473,93.646,100,99.623,102.533,105.978,107.624,111.29
"43","36","      Public safety","W196RG3",63.554,66.139,68.855,71.95,75.065,76.576,79.021,83.899,90.944,98.538,102.699,104.236,100,95.901,96.642,97.946,102.458,108.535
"44","37","      Amusement and recreation","W197RG3",63.611,66.106,68.89,71.972,75.048,76.579,78.967,83.858,90.87,98.517,102.697,104.216,100,95.871,96.598,97.914,102.479,108.609
"45","38","      Transportation","W198RG3",52.67,55.123,56.942,59.562,59.875,62.864,64.482,69.013,75.461,82.525,92.243,98.946,100,100.931,105.541,111.064,113.92,115.312
"46","39","      Power","W199RG3",61.763,63.109,63.649,66.313,68.259,70.493,71.75,75.955,80.654,86.201,92.55,100.02,100,103.226,107.158,110.645,112.976,115.238
"47","40","      Highways and streets","W149RG3",50.209,51.229,53.017,55.711,57.721,59.264,60.285,63.227,71.721,79.432,90.122,98.131,100,101.449,106.237,111.663,114.587,115.971
"48","41","      Sewer systems","W150RG3",61.768,62.638,64.798,67.494,70.111,71.463,72.735,77.208,84.081,90.324,96.289,99.95,100,103.047,107.247,110.909,112.828,116.03
"49","42","      Water systems","W168RG3",61.809,62.653,64.796,67.506,70.123,71.481,72.716,77.143,84.054,90.365,96.2,99.978,100,103.085,107.219,110.943,112.812,116.019
"50","43","      Conservation and development","W169RG3",64.276,65.443,66.418,68.628,69.985,71.022,73.4,77.105,83.385,88.345,92.261,97.009,100,100.183,104.784,109.121,111.212,112.957
"51","44","      Other \5\","W200RG3",66.876,68.364,70.812,73.92,77.335,79.412,83.099,89.233,96.449,103.996,105.022,103.219,100,102.032,103.863,104.513,108.18,113.658
"52","45","    Net purchases of used structures","B870RG3",63.544,65.523,68.257,71.205,75.03,77.158,80.457,86.402,93.309,100.098,102.404,102.531,100,98.233,99.924,102.557,106.43,114.755
"53","46","Equipment","Y054RG3",115.883,111.964,109.902,108.181,105.158,102.71,101.802,101.682,101.455,100.524,99.731,99.964,100,100.128,101.186,101.689,101.549,102.089
"54","47","  Federal","Y058RG3",106.799,104.445,104.259,102.828,100.201,98.242,98.195,98.537,99.075,99.228,99,99.731,100,100.586,102.254,102.594,102.443,102.787
"55","48","    National defense","Y050RG3",99.519,98.368,99.547,98.557,96.325,94.869,95.364,96.006,96.837,97.384,97.838,99.375,100,100.685,102.566,102.886,102.792,103.024
"56","49","      Aircraft","B874RG3",104.226,103.042,119.788,114.12,106.927,102.119,102.178,100.023,97.446,96.304,95.805,99.402,100,101.018,103.494,100.944,98.414,98.196
"57","50","      Missiles","B875RG3",92.206,93.706,90.17,89.465,88.432,87.491,90.376,92.591,94.593,96.088,96.649,99.416,100,101.873,106.015,107.761,108.508,106.285
"58","51","      Ships","B876RG3",78.757,78.387,77.69,79.593,79.513,79.99,81.462,84.622,87.025,89.849,93.978,97.838,100,102.226,107.255,108.536,108.963,110.574
"59","52","      Vehicles","B877RG3",96.051,94.708,95.548,93.764,92.194,91.805,92.429,92.754,92.908,91.635,95.788,97.327,100,100.049,101.321,105.028,106.41,107.807
"60","53","      Electronics","Y051RG3",185.794,167.14,150.797,143.585,133.816,126.498,120.311,116.962,113.256,110.765,106.758,102.959,100,98.314,97.528,97.453,97.418,97.318
"61","54","      Other equipment","B879RG3",90.732,90.922,90.898,91.385,91.39,91.347,92.267,93.367,96.089,97.531,97.504,99.04,100,100.929,102.184,103.234,104.313,104.803
"62","55","    Nondefense","Y066RG3",139.703,131.851,126.004,122.747,118.3,113.964,111.393,110.3,109.448,107.879,104.591,101.465,100,100.11,100.784,101.209,100.792,101.642
"63","56","  State and local","Y070RG3",132.7,126.187,121.208,119.007,115.319,112.024,109.56,108.523,106.655,103.316,101.32,100.498,100,99.005,98.485,99.411,99.291,100.266
"64","57","Intellectual property products \2\","Y055RG3",84.493,84.925,86.415,88.94,89.637,89.785,90.767,92.14,93.776,95.216,97.337,99.999,100,102.312,104.556,105.776,106.758,108.291
"65","58","  Federal","Y059RG3",83.193,83.833,85.428,87.997,88.654,88.92,90.152,91.754,93.56,95.07,97.294,99.992,100,102.621,105.02,106.232,107.213,108.839
"66","59","    National defense","Y052RG3",83.045,83.731,85.405,88.088,88.455,88.568,89.838,91.562,93.587,95.324,97.684,100.333,100,102.135,105.048,106.747,107.563,109.196
"67","60","      Software","Y053RG3",94.051,92.628,94.132,96.911,97.446,97.161,96.522,96.197,96.868,97.893,98.903,100.186,100,99.491,99.918,99.892,100.378,100.34
"68","61","      Research and development","Y076RG3",81.775,82.782,84.492,87.176,87.518,87.686,89.171,91.105,93.263,95.069,97.562,100.348,100,102.426,105.634,107.552,108.411,110.279
"69","62","    Nondefense","Y067RG3",83.378,83.981,85.514,87.996,88.869,89.251,90.451,91.945,93.544,94.836,96.926,99.673,100,103.049,105.011,105.823,106.934,108.554
"70","63","      Software","Y068RG3",90.36,89.81,91.785,94.89,95.834,95.626,95.317,94.969,95.833,97.179,98.486,100.102,100,99.76,100.571,100.921,101.792,102.055
"71","64","      Research and development","Y069RG3",81.882,82.722,84.154,86.491,87.348,87.863,89.37,91.236,92.989,94.269,96.542,99.569,100,103.828,106.073,107.004,108.177,110.167
"72","65","  State and local","Y071RG3",92.275,91.385,92.247,94.529,95.444,94.914,94.412,94.398,95.004,96.03,97.572,100.037,100,100.688,102.127,103.385,104.366,105.462
"73","66","    Software","Y072RG3",102.815,100.182,100.809,103.285,103.917,102.557,99.91,97.943,97.632,98.792,99.499,100.823,100,99.593,100.023,100.663,101.28,101.163
"74","67","    Research and development","Y073RG3",83.35,84.029,85.119,87.24,88.422,88.6,89.873,91.527,92.937,93.85,96.071,99.438,100,101.488,103.681,105.428,106.705,108.838
"75",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","68","  Government enterprise gross fixed investment","A882RG3",65.951,66.903,68.444,70.733,72.143,73.742,75.055,78.952,84.679,90.143,95.766,99.788,100,101.616,104.878,108.376,110.63,113.114
"77","69","    Federal","A883RG3",94.41,92.659,92.498,92.804,92.402,91.711,91.231,91.737,94.029,96.052,97.537,99.577,100,100.196,102.503,104.521,105.942,107.159
"78","70","      Structures","B884RG3",62.437,64.392,66.483,68.069,70.207,71.564,73.478,77.489,84.192,89.979,95.11,99.651,100,100.038,103.596,107.41,109.439,111.717
"79","71","      Equipment","Y074RG3",146.249,135.666,128.972,123.864,116.871,110.891,106.274,103.32,102.762,101.584,99.54,98.38,100,100.952,102.658,104.704,106.244,107.56
"80","72","      Intellectual property products","Y075RG3",92.214,91.182,92.976,95.988,96.801,96.443,95.941,95.535,96.304,97.545,98.739,100.242,100,99.899,100.997,101.405,102.308,102.474
"81","73","    State and local","A886RG3",63.451,64.718,66.498,69.003,70.557,72.316,73.756,77.889,83.882,89.654,95.62,99.805,100,101.741,105.093,108.722,111.046,113.642
"82","74","      Structures","B887RG3",58.732,60.26,62.294,65.06,66.886,68.995,70.711,75.356,82.068,88.636,95.366,99.985,100,101.883,105.792,109.747,112.348,115.247
"83","75","      Equipment","Y077RG3",102.325,100.669,99.93,99.704,98.359,96.866,96.189,96.682,97.555,97.381,97.488,98.557,100,100.887,100.653,102.365,103.15,104.191
"84","76","      Intellectual property products","Y078RG3",104.225,101.451,102.004,104.444,105.015,103.574,100.712,98.504,98.031,99.109,99.7,100.911,100,99.499,99.828,100.371,100.908,100.69
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Structures, software, and research and development include compensation of government employees engaged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
