"","Table 6#11C# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",372622,393948,433319,463044,502096,557606,592540,619776,648272,690098,724205,813948,899695,978997
"46","36","    Pension plans \2\","Y235RC0",201055,203857,223124,227746,241578,265185,277888,294083,324204,363630,395804,447093,501290,542893
"47","37","    Private insurance funds","B4939C0",171567,190091,210195,235298,260518,292421,314652,325693,324068,326468,328401,366855,398405,436104
"48","38","      Group insurance","B4940C0",148136,165261,182097,203463,225544,255274,278138,290565,290237,292669,293884,330893,360154,396983
"49","39","        Group health insurance","B4930C0",137578,154393,170933,191189,213439,242191,264630,275247,274220,275666,276779,312625,340010,379965
"50","40","        Group life insurance","B4931C0",10558,10868,11164,12274,12105,13083,13508,15318,16017,17003,17105,18268,20144,17018
"51","41","      Workers' compensation","B4932C0",20535,23256,26351,29471,32459,35004,34752,33833,32377,31167,32268,33933,36368,37355
"52","42","      Supplemental unemployment","B4933C0",2896,1574,1747,2364,2515,2143,1762,1295,1454,2632,2249,2029,1883,1766
"53","43","  Publicly administered government employee insurance funds","Y391RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Includes defined benefit and defined contributions plans. Additional detail is available in tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Includes cash benefit payments and withdrawals. Additional detail is available in tables 7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
