"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"46","38","    Capital transfer receipts","W864RC1",1.2,1.2,1.3,1.3,1.4,1.6,1.7,1.8,2,2.9,3.2
"47","39","  Total expenditures","W865RC1",31,33.9,36.8,38.8,41.6,45.7,50.5,55.7,61.3,69.7,76.4
"48","40","    Current expenditures","W851RC1",25.5,27.9,30.7,32.3,34.7,37.9,41.6,46.1,50.6,57.5,64.9
"49","41","    Gross government investment","W867RC1",7.6,8.2,8.5,8.9,9.5,10.5,11.8,12.8,14.3,16.1,16
"50","42","    Capital transfer payments","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","    Net purchases of nonproduced assets","W868RC1",0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8
"52","44","    Less: Consumption of fixed capital","W869RC1",2.5,2.6,2.7,2.9,3.1,3.3,3.6,3.9,4.3,4.7,5.3
"53","45","  Net lending or net borrowing (-)","W870RC1",-2.8,-2.6,-2.7,-1.8,-1.5,-1.9,-2.8,-3.4,-2.8,-4.3,-3.1
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Interest payments includes interest accrued on the actuarial liabilities of defined benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","plans for local government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Interest payments includes interest accrued on the actuarial liabilities of defined benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","plans for local government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","the consolidated state and local government account totals because grants-in-aid from states to local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","governments and from local to state governments are netted in the consolidated account totals. In addition,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","the receipt category 'surplus of government enterprises' and the expenditure category 'subsidies' do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","not sum to the consolidated account totals because the level of government making subsidy payments accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","for them as subsidies while recipient governments account for them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
