"","Table 6#8D# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"68","61","      Funds, trusts, and other financial vehicles","N4661C0",17,17,17,16,15,16,16,17,17,8,8,7,6,4,3,3,6
"69","62","    Real estate and rental and leasing","N4662C0",2188,2219,2245,2326,2322,2388,2454,2480,2549,2511,2454,2275,2190,2191,2240,2324,2333
"70","63","      Real estate","N4663C0",1583,1603,1617,1671,1697,1772,1837,1859,1914,1892,1842,1733,1688,1693,1730,1804,1814
"71","64","      Rental and leasing services and lessors of intangible assets \5\","N4664C0",605,616,628,656,625,616,618,620,635,619,612,542,502,498,510,520,520
"72","65","    Professional, scientific, and technical services","N4665C0",6901,7201,7576,7781,7489,7525,7695,7943,8268,8507,8664,8290,8242,8446,8694,8920,9082
"73","66","      Legal services","N4666C0",1188,1207,1223,1268,1272,1326,1331,1340,1354,1324,1336,1288,1263,1281,1280,1287,1279
"74","67","      Computer systems design and related services","N4667C0",1102,1218,1338,1363,1219,1194,1222,1283,1349,1434,1516,1479,1517,1571,1662,1754,1814
"75","68","      Miscellaneous professional, scientific, and technical services \6\","N4668C0",4612,4776,5015,5150,4999,5005,5142,5321,5565,5750,5813,5524,5461,5594,5751,5879,5989
"76","69","    Management of companies and enterprises \7\","N4669C0",1581,1614,1626,1634,1624,1661,1669,1743,1762,1809,1818,1795,1791,1826,1883,1975,2008
"77","70","    Administrative and waste management services","N4670C0",7643,8026,8383,7944,7767,7655,7997,8236,8446,8635,8302,7528,7747,8028,8309,8542,8828
"78","71","      Administrative and support services","N4671C0",7338,7718,8072,7618,7437,7327,7666,7894,8094,8270,7934,7176,7386,7655,7929,8153,8428
"79","72","      Waste management and remediation services","N4672C0",306,309,311,326,330,328,330,341,351,366,368,352,361,373,381,389,400
"80","73","    Educational services","N4673C0",2186,2257,2338,2445,2567,2602,2708,2740,2813,2875,2975,3023,3077,3133,3190,3264,3281
"81","74","    Health care and social assistance","N4674C0",12109,12318,12589,12870,13266,13603,13814,14130,14651,14940,15310,15567,15798,15974,16606,16957,17331
"82","75","      Ambulatory health care services","N4675C0",4128,4149,4251,4390,4541,4766,4855,5002,5234,5356,5462,5596,5756,5917,6081,6207,6390
"83","76","      Hospitals","N4690C0",3449,3508,3536,3765,3873,3931,3982,4069,4149,4254,4361,4410,4423,4442,4510,4522,4522
"84","77","      Nursing and residential care facilities","N4691C0",2320,2356,2404,2472,2520,2554,2573,2606,2665,2689,2762,2806,2855,2882,2913,2929,2993
"85","78","      Social assistance","N4692C0",2212,2305,2398,2243,2332,2352,2404,2453,2603,2641,2725,2755,2765,2734,3103,3300,3425
"86","79","    Arts, entertainment, and recreation","N4693C0",1691,1744,1838,1877,1909,1931,1937,2017,2017,2088,2095,2011,1978,1993,2040,2138,2194
"87","80","      Performing arts, spectator sports, museums, and related activities","N4694C0",677,683,712,716,733,757,747,787,782,804,819,779,748,767,784,824,835
"88","81","      Amusements, gambling, and recreation industries","N4695C0",1014,1061,1125,1161,1176,1175,1190,1230,1234,1283,1276,1232,1230,1226,1256,1314,1358
"89","82","    Accommodation and food services","N4696C0",8254,8508,8717,8595,8611,8738,8770,9206,9500,9655,9650,9170,9117,9400,9800,10052,10348
"90","83","      Accommodation","N4697C0",1621,1666,1708,1724,1668,1658,1481,1717,1724,1741,1761,1596,1585,1635,1664,1713,1735
"91","84","      Food services and drinking places","N4698C0",6633,6843,7008,6871,6943,7080,7289,7489,7776,7914,7888,7574,7532,7765,8135,8339,8613
"92","85","    Other services, except government","N4699C0",6483,6562,6651,6606,6839,6891,6915,6890,6942,7013,7028,6820,6607,6546,6728,6760,6951
"93","86","  Government","A4376C0",18701,18844,19101,19431,19804,19922,19916,19933,20008,20279,20551,20629,20520,20235,20003,19908,20125
"94","87","    Federal","A4377C0",4205,4162,4171,4134,4196,4253,4210,4165,4155,4207,4284,4339,4400,4340,4279,4216,4162
"95","88","      General government","A4378C0",3417,3370,3391,3356,3409,3486,3474,3439,3437,3444,3525,3660,3780,3749,3705,3654,3607
"96","89","        Civilian","B4379C0",1846,1821,1844,1808,1832,1884,1882,1889,1890,1902,1959,2075,2181,2158,2140,2108,2108
"97","90","        Military \8\","B4380C0",1571,1549,1547,1548,1577,1602,1592,1550,1547,1542,1566,1585,1599,1591,1565,1546,1499
"98","91","      Government enterprises","B4381C0",788,792,780,778,787,767,736,726,718,763,759,679,620,591,574,562,555
"99","92","    State and local","A4382C0",14496,14682,14930,15297,15608,15669,15706,15768,15853,16072,16267,16290,16120,15895,15724,15692,15963
"100","93","      General government","A4383C0",13548,13726,13961,14279,14536,14583,14602,14668,14747,14925,15112,15137,14982,14766,14649,14597,14845
"101","94","        Education","B4384C0",7234,7372,7572,7742,7898,7912,7952,7997,8040,8127,8214,8218,8186,8089,8154,8041,8037
"102","95","        Other \9\","B4385C0",6314,6354,6389,6537,6638,6671,6650,6671,6707,6798,6898,6919,6796,6677,6495,6556,6808
"103","96","      Government enterprises \9\","B4386C0",948,956,969,1018,1072,1086,1104,1100,1106,1147,1155,1153,1138,1129,1075,1095,1118
"104","97","Rest of the world \10\","A4387C0",-401,-441,-396,-541,-549,-592,-628,-665,-686,-725,-1100,-802,-822,-826,-979,-1027,-1068
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. Equals the number of full-time equivalent employees plus the number of self-employed persons. Unpaid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","family workers are not included.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","3. Consists of furniture and home furnishings stores; electronics and appliance stores; building material",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","and garden equipment and supplies dealers; health and personal care stores; gasoline stations; clothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","and clothing accessories stores; sporting goods, hobby, book, and music stores; miscellaneous store",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","4. Consists of scenic and sightseeing transportation; transportation support activities; and couriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","5. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","6. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","and related services; specialized design services; management, scientific, and technical consulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","services; scientific research and development services; advertising and related services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","7. Consists of offices of bank and other holding companies and of corporate, subsidiary, and regional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","8. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","9. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","10. Includes estimates of foreign professional workers and undocumented Mexican migratory workers employed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
