"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","            Compensation of general government employees","A194RA3",68.264,68.284,68.383,68.333,68.734,70.365,71.555,72.101,72.788,74.24,74.922,75.857,75.968,76.478,76.516,76.952,78.73,80.13,81.356,83.16,84.841,86.715,87.174,87.202,87.202,87.175,87.239,87.312,87.946,88.886,89.488,90.906,92.505,94.226,95.142,95.338,95.713,95.94,96.826,98.503,100,100.133,99.07,98.239,97.126,97.179
"12","5","            Consumption of general government fixed capital \2\","A265RA3",37.507,38.322,38.533,38.556,38.711,39.026,39.474,40.074,40.754,41.54,42.485,43.635,44.915,46.367,48.164,50.477,53.422,56.723,60.021,62.989,65.549,67.928,69.836,71.16,71.987,72.436,72.792,73.299,73.927,74.864,76.163,77.567,79.091,80.674,82.6,84.999,87.67,90.573,93.668,96.94,100,102.544,104.732,106.126,106.812,107.062
"13","6","          Intermediate goods and services purchased \3\","W104RA3",28.372,27.568,28.057,29.584,28.57,29.238,30.309,29.811,31.155,32.074,32.698,33.181,34.528,36.312,39.467,40.158,43.871,47.887,48.397,48.584,50.869,52.502,54.735,56.032,56.388,58.243,58.979,59.997,62.762,65.573,69.901,72.181,78.266,83.949,85.987,88.508,89.345,91.231,92.075,94.103,100,99.822,94.461,92.475,87.846,86.703
"14","7","            Durable goods","W105RA3",31.721,29.734,24.247,29.386,28.151,26.171,27.337,26.18,30.684,33.073,35.424,36.77,41.296,44.458,51.396,52.81,56.734,60.862,64.428,66.398,65.416,64.405,63.074,59.443,56.393,51.993,50.523,51.142,52.874,55.696,60.035,61.901,64.468,66.745,69.573,74.413,75.613,80.541,86.075,94.82,100,100.735,96.203,96.012,87.689,84.295
"15","8","            Nondurable goods","W106RA3",36.694,31.576,32.197,33.747,31.177,31.429,33.044,33.548,35.18,36.513,36.345,36.897,39.312,39.021,41.967,40.453,44.242,51.156,47.979,44.67,50.612,50.889,53.447,55.352,57.523,58.819,60.929,62.096,65.527,70.414,73.72,77.612,83.9,87.583,87.921,90.398,91.333,92.68,94.563,94.148,100,96.571,92.112,90.259,87.68,87.379
"16","9","            Services","W107RA3",23.857,25.156,26.969,27.664,27.36,28.79,29.572,28.727,29.244,29.642,30.285,30.551,30.645,33.26,35.72,37.334,40.971,43.708,45.072,46.306,47.743,50.411,53.149,55.097,55.382,58.531,59.142,60.164,62.828,64.878,69.519,71.261,77.75,84.598,87.128,89.35,90.102,91.829,91.66,94.002,100,101.087,95.227,92.983,87.792,86.501
"17","10","        Less: Own-account investment \4\","W108RA3",43.466,43.36,43.106,44.176,43.93,44.507,43.615,42.685,41.262,43.123,46.066,47.569,47.356,48.335,50.746,54.235,58.486,62.453,64.88,66.737,70.377,73.182,73.568,72.919,72.179,71.473,71.25,70.873,72.717,73.68,74.858,77.6,84.955,88.022,88.953,89.17,91.715,94.706,97.514,99.346,100,97.665,98.253,97.175,95.052,93.401
"18","11","        Less: Sales to other sectors \5\","W109RA3",31.701,32.82,35.343,39.43,41.417,41.922,41.352,42.878,45.264,47.707,50.302,50.606,51.918,52.843,54.281,54.643,56.475,58.534,59.911,61.444,62.936,64.295,66.632,69.18,71.866,75.098,76.462,78.009,79.612,82.395,83.909,88.591,92.719,94.469,95.117,96.035,97.332,99.148,99.178,98.778,100,102.36,103.221,101.76,101.587,102.052
"19","12","Federal consumption expenditures \1\","A957RA3",64.344,60.534,57.968,56.3,53.403,53.241,53.085,52.232,53.068,53.956,54.583,56.816,59.205,61.201,64.38,64.958,68.49,71.784,73.177,73.363,75.183,76.748,77.731,76.588,74.535,72.469,70.275,68.978,69.234,67.853,68.881,69.171,71.841,76.289,81.26,84.643,85.651,87.123,88.011,93.871,100,104.446,101.709,100.843,95.158,92.983
"20","13","      Gross output of general government","W110RA3",63.886,60.219,57.738,56.657,54.012,53.994,53.568,52.61,53.569,54.571,55.391,57.467,59.639,61.517,64.637,65.393,68.951,72.283,73.803,74.134,75.936,77.596,78.57,77.36,75.217,73.504,70.958,69.679,69.52,68.363,69.075,69.615,72.26,76.613,81.496,84.746,86.105,87.509,88.277,94.035,100,104.333,101.988,100.774,95.25,93.163
"21","14","        Value added","W111RA3",82.281,79.654,76.801,73.946,71.917,72.027,71.855,72.147,72.543,73.62,73.891,75.222,76.602,78.14,80.239,82.444,85.26,87.464,90.321,92.144,93.637,95.352,95.951,94.427,92.888,90.334,87.478,85.438,83.99,83.12,82.509,82.974,83.331,84.758,87.018,88.371,89.589,90.336,91.634,95.118,100,103.418,104.515,104.426,102.465,101.551
"22","15","          Compensation of general government employees","B568RA3",120.073,113.663,108.013,102.736,98.972,99.356,98.902,99.051,99.174,100.505,99.93,101.23,102.304,103.298,104.858,105.896,107.371,107.196,108.431,108.275,108.45,109.582,109.223,105.567,102.567,98.133,93.322,89.914,87.676,86.381,85.196,85.914,86.211,88.207,90.909,91.568,91.697,90.865,90.891,94.298,100,103.65,103.824,102.779,99.395,98.123
"23","16","          Consumption of general government fixed capital \2\","B995RA3",45.13,45.715,45.404,44.845,44.49,44.347,44.434,44.835,45.447,46.242,47.228,48.507,50.068,51.987,54.43,57.524,61.398,65.694,69.955,73.596,76.319,78.554,80.092,80.805,80.828,80.298,79.562,79.021,78.461,78.079,78.131,78.293,78.718,79.403,81.034,83.4,86.276,89.506,92.849,96.46,100,103.031,105.68,107.194,107.611,107.298
"24","17","        Intermediate goods and services purchased \3\","W113RA3",37.778,32.915,30.967,32.436,28.8,28.599,27.839,25.266,26.915,27.779,29.244,32.048,34.939,37.062,41.146,40.108,44.337,48.884,48.621,47.017,49.153,50.666,52.098,51.359,48.454,47.958,45.916,45.739,47.407,45.864,48.492,49.137,55.115,63.82,72.752,78.991,80.572,83.023,82.944,92.312,100,105.81,97.949,94.957,83.821,79.88
"25","18","          Durable goods","W114RA3",41.012,36.866,26.91,33.709,30.758,26.908,28.392,25.9,32.484,35.865,39.217,41.52,48.079,52.506,62.591,63.763,68.925,73.803,78.604,81.082,78.36,76.063,72.923,66.237,60.462,52.136,47.713,47.782,48.212,48.585,51.818,51.7,52.313,55.206,60.329,66.729,67.696,73.878,80.671,94.096,100,103.065,97.742,97.724,85.684,80.202
"26","19","          Nondurable goods","W115RA3",96.89,62.469,55.93,59.829,45.575,44.359,42.195,35.361,35.112,37.977,38.218,45.269,55.082,51.577,58.092,46.124,53.361,70.572,52.37,32.97,54.493,49.617,52.597,52.255,52.954,45.511,44.771,43.459,48.806,52.495,47.463,53.698,62.196,67.481,77.602,85.277,86.853,85.718,85.221,91.45,100,100.55,92.869,88.48,77.469,73.155
"27","20","          Services","W116RA3",25.6,25.958,27.466,26.84,24.967,26.052,24.946,23.275,23.966,23.654,24.901,26.774,26.642,29.846,31.626,32.794,36.126,37.805,39.814,40.674,40.568,44.288,46.612,47.334,44.557,47.182,45.526,45.477,46.819,44.005,47.673,47.558,54.228,64.638,74.101,80.049,81.749,84.167,82.886,92.165,100,107.309,98.971,95.772,84.776,81.176
"28","21","      Less: Own-account investment \4\","W117RA3",55.062,54.223,53.468,55.648,55.277,55.098,54.307,54.293,52.726,54.322,56.619,58.165,58.362,59.644,63.909,67.692,72.71,76.625,79.546,80.912,83.676,86.434,84.828,84.138,82.762,80.514,79.335,76.897,75.219,75.205,74.323,75.438,83.833,88.025,90.429,89.99,92.487,94.771,97.529,98.818,100,99.74,102.542,103.1,102.055,98.735
"29","22","      Less: Sales to other sectors","W118RA3",55.452,52.575,50.161,93.186,106.077,121.557,95.364,79.621,103.225,112.375,124.718,115.461,106.513,100.444,93.881,99.685,99.925,104.55,113.27,124.198,120.185,126.659,137.592,127.38,113.333,147.454,105.067,110.153,76.894,92.384,69.207,91.68,69.167,65.227,71.43,76.047,107.623,99.115,80.759,92.773,100,109.998,127.565,86.336,80.472,91.143
"30","23","    Defense consumption expenditures \1\","A997RA3",82.458,75.8,70.102,65.68,61.162,59.506,58.273,57.049,57.392,57.82,58.337,60.035,63.023,66.523,69.535,71.283,75.059,79.065,81.91,83.798,84.323,84.656,85.95,82.392,79.627,76.13,73.111,71.829,70.774,68.85,70.01,69.013,70.986,74.836,80.653,84.779,85.721,86.577,87.964,94.034,100,103.705,102.112,99.67,93.023,89.5
"31","24","      Gross output of general government","W085RA3",80.777,74.387,68.892,65.188,61.114,59.699,58.114,56.533,56.916,57.344,57.886,59.63,62.603,66.13,69.043,71.023,74.864,78.891,81.719,83.614,84.112,84.657,85.67,82.275,79.538,76.511,72.992,71.764,70.552,68.59,69.666,68.851,71.075,75.047,80.767,84.709,85.846,86.959,88.317,94.27,100,103.533,102.26,99.855,93.347,89.832
"32","25","        Value added","W086RA3",105.041,99.768,93.824,88.04,84.224,82.845,81.706,80.518,80.058,80.491,80.283,81.049,83.412,85.837,88.408,91.468,95.457,98.875,102.533,104.331,106.079,106.958,107.383,103.864,100.9,97.165,93.279,90.213,87.578,85.231,83.431,82.496,82.49,83.597,85.911,87.917,89.389,89.9,91.128,94.781,100,103.206,104.689,103.748,101.335,99.592
"33","26","          Compensation of general government employees","B237RA3",154.522,143.31,132.418,122.371,116.091,114.413,112.813,110.574,109.584,110.373,109.492,110.137,113.534,116.14,117.929,119.573,121.829,122.283,123.398,121.892,121.888,121.109,120.677,113.746,108.901,103.271,97.649,93.498,90.072,87.202,85.077,84.445,84.981,87.181,90.217,91.884,92.212,90.835,90.531,93.936,100,103.243,104.279,102.248,98.633,96.587
"34","27","          Consumption of general government fixed capital \2\","B432RA3",57.618,57.348,55.837,54.033,52.574,51.515,50.83,50.601,50.613,50.725,51.083,51.899,53.258,55.39,58.478,62.578,67.906,73.889,79.798,84.692,88.095,90.574,91.841,91.874,90.895,89.142,87.074,85.16,83.383,81.628,80.204,78.956,78.34,78.117,79.455,81.928,85.074,88.454,92.073,96.117,100,103.147,105.35,106.155,105.654,104.392
"35","28","        Intermediate goods and services purchased \3\","W087RA3",51.616,43.71,38.567,37.521,32.748,31.213,29.033,26.963,28.362,28.776,30.163,32.857,36.239,40.69,43.785,44.468,47.943,52.493,54.245,56.176,55.173,55.304,56.971,53.828,51.439,49.354,46.37,47.425,47.991,46.546,51.243,50.592,55.629,63.304,73.61,80.217,80.888,82.843,84.385,93.553,100,103.998,98.852,94.416,82.253,76.292
"36","29","          Durable goods","A998RA3",45.964,41.157,29.628,36.8,33.589,29.101,30.681,27.782,34.766,38.319,41.727,44.025,51.555,56.754,67.89,69.026,74.729,80.208,85.277,87.889,84.493,81.457,77.74,69.944,63.592,54.535,49.686,49.303,49.498,49.909,53.024,52.499,52.868,55.044,60.467,66.888,67.404,73.381,80.591,94.208,100,102.488,97.356,97.226,84.845,78.691
"37","30","          Nondurable goods","A725RA3",262.643,182.828,149.469,152.3,113.158,97.787,80.998,65.013,61.377,62.213,64.09,70.076,74.113,73.777,77.266,73.138,71.285,90.356,88.517,85.751,83.046,74.13,75.486,69.825,64.028,58.257,47.716,52.683,53.059,54.816,61.261,64.273,66.108,75.515,81.769,93.008,93.625,91.527,92.558,95.57,100,96.413,98.767,94.388,80.681,72.824
"38","31","          Services","A489RA3",31.015,28.711,29.243,24.649,22.656,23.757,21.939,21.947,21.855,21.039,21.617,24.027,26.012,31.325,31.441,32.733,36.293,38.841,39.749,41.993,42.014,44.316,47.793,46.476,45.764,46.339,44.728,45.818,46.511,44.225,49.165,48.122,54.739,63.641,75.522,81.641,82.355,83.833,84.053,93.095,100,105.368,99.075,93.655,81.81,76.205
"39","32","      Less: Own-account investment \4\","W088RA3",46.32,45.534,44.71,47.696,47.913,46.896,45.251,44.846,43.577,44.157,45.976,46.728,48.188,52.207,59.559,66.046,73.08,78.261,79.861,80.689,82.478,82.772,78,75.275,71.771,68.297,66.815,64.376,62.799,61.849,61.112,63.97,73.559,81.244,84.052,83.292,86.628,91.569,98.809,100.326,100,100.011,107.644,107.607,104.112,101.026
"40","33","      Less: Sales to other sectors","W089RA3",25.818,24.063,19.232,95.684,152.543,200.785,126.286,41.707,64.131,63.284,58.654,77.537,88.984,94.541,44.114,59.249,52.568,52.429,61.02,71.895,58.132,99.405,88.085,108.732,115.088,191.999,92.088,107.321,82.592,68.324,66.725,73.551,73.344,75.712,82.192,82.24,103.491,126.491,92.419,101.721,100,93.865,98.811,90.264,90.936,86.559
"41","34","    Nondefense consumption expenditures \1\","A542RA3",31.613,32.852,35.757,38.976,39.033,41.61,43.429,43.254,44.992,46.731,47.565,50.827,52.059,51.087,54.631,52.857,55.931,57.835,56.338,53.109,57.544,61.602,61.97,65.617,64.952,65.63,65.005,63.678,66.402,66.037,66.819,69.504,73.477,79.043,82.418,84.39,85.525,88.18,88.103,93.554,100,105.859,100.948,103.089,99.23,99.594
"42","35","      Gross output of general government","W128RA3",34.155,35.208,37.881,41.357,41.247,43.729,45.383,45.54,47.53,49.569,50.896,53.588,54.259,52.989,56.529,54.904,57.938,59.942,58.921,56.199,60.559,64.408,65.315,68.318,67.303,68.043,67.297,65.921,67.69,68.001,68.051,71.049,74.46,79.508,82.855,84.826,86.595,88.545,88.201,93.592,100,105.817,101.487,102.485,98.781,99.312
"43","36","        Value added","W129RA3",46.272,47.847,49.865,51.692,52.556,55.089,56.482,59.159,60.935,63.052,64.1,66.361,66.134,66.204,67.53,68.304,69.154,69.312,70.838,72.734,73.814,76.964,77.858,79.636,80.43,79.757,78.525,78.09,78.492,79.917,81.149,83.777,84.695,86.622,88.796,89.109,89.919,91.05,92.461,95.669,100,103.759,104.237,105.519,104.281,104.679
"44","37","          Compensation of general government employees","W130RA3",67.236,68.116,70.361,72.425,72.603,76.232,77.567,81.411,83.239,85.39,85.278,87.59,85.009,83.404,84.605,84.65,84.843,83.604,85.07,87.221,87.701,92.063,91.818,93.477,93.404,90.771,87.154,84.825,84.304,85.284,85.447,88.098,88.049,89.748,91.945,91.063,90.885,90.91,91.46,94.87,100,104.282,103.129,103.601,100.57,100.459
"45","38","          Consumption of general government fixed capital \2\","B546RA3",24.295,26.301,27.973,29.477,30.954,32.325,33.68,35.124,36.747,38.716,40.788,42.863,44.773,46.335,47.677,49.042,50.43,51.861,53.346,54.891,56.479,58.297,60.273,62.101,63.79,65.311,66.827,68.613,70.115,72.063,74.627,77.197,79.393,81.624,83.754,85.938,88.354,91.324,94.194,97.054,100,102.83,106.249,108.993,111.001,112.331
"46","39","        Intermediate goods and services purchased \3\","W131RA3",13.129,13.355,16.483,21.842,20.325,22.47,24.304,20.95,22.976,24.661,26.218,29.129,30.883,27.997,34.035,29.349,35.034,39.401,34.854,25.598,34.979,39.724,40.601,45.575,41.456,44.668,44.824,41.761,46.01,44.24,42.04,45.719,53.898,65.007,70.701,76.069,79.815,83.443,79.502,89.351,100,110.081,95.807,96.225,87.511,88.316
"47","40","          Durable goods","A543RA3",3.474,3.968,5.134,8.125,7.364,7.973,8.551,8.951,11.676,13.277,15.607,17.499,16.532,15.063,16.299,17.643,18.152,17.906,20.274,21.524,24.181,27.676,29.224,31.789,31.042,29.234,28.599,32.543,35.108,35.115,39.449,43.451,46.605,57.156,58.994,65.183,71.322,79.939,81.636,92.648,100,110.614,102.808,104.249,96.747,100.256
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",10.562,13.4,16.451,20.05,19.248,20.312,18.432,18.26,18.049,26.6,26.118,25.381,47.525,35.484,44.317,46.165,40.121,34.213,39.691,39.482,35.306,37.537,32.866,40.856,44.549,37.38,42.188,36.375,44.403,48.309,35.956,40.891,54.317,59.492,73.289,81.868,82.283,80.113,77.977,88.149,100,105.639,86.253,81.982,73.505,73.551
"51","44","          Services","A544RA3",15.156,20.761,24.185,31.783,30.144,31.206,31.561,26.456,28.768,29.559,32.299,32.956,28.022,26.494,31.998,32.886,35.71,35.492,39.935,37.649,37.253,44.237,43.846,49.403,41.793,49.165,47.403,44.677,47.548,43.492,44.137,46.234,53.03,67.023,70.713,76.251,80.313,84.98,80.116,89.96,100,111.884,98.764,100.738,91.716,92.793
"52","45","      Less: Own-account investment \4\","W136RA3",66.813,65.911,65.27,66.243,65.027,66.062,66.517,67.068,65.096,68.133,71.083,73.749,72.123,69.441,69.195,69.035,71.083,73.129,77.895,80.004,84.099,90.262,93.072,95.189,96.735,96.175,95.418,93.005,91.205,92.438,91.37,90.196,97.008,96.658,98.54,98.512,99.939,98.841,95.907,96.909,100,99.398,96.089,97.404,99.464,95.85
"53","46","      Less: Sales to other sectors","W137RA3",71.268,67.822,67.026,92.501,86.577,88.002,83.867,101.028,126.37,140.447,160.817,139.427,121.65,110.185,123.224,124.89,128.653,136.082,144.971,156.141,157.48,144.326,168.43,138.893,111.998,119.656,112.488,111.382,73.142,106.878,70.276,102.46,66.117,58.125,64.122,71.706,109.856,81.265,73.077,86.848,100,120.71,146.643,84.307,74.261,94.485
"54","47","State and local consumption expenditures \1\","A991RA3",39.149,41.524,43.597,45.243,46.788,48.876,51.261,51.995,52.994,54.063,54.395,54.211,53.974,54.829,55.529,56.695,59.243,61.928,63.19,65.42,67.788,70,71.512,73.111,74.364,76.411,78.234,79.688,81.806,85.138,88.018,89.865,92.904,95.436,94.827,94.919,95.466,96.179,97.729,97.945,100,97.438,94.83,93.98,93.571,94.204
"55","48","      Gross output of general government","W138RA3",37.645,39.814,41.942,43.655,45.156,46.899,48.922,49.816,50.827,52.084,52.773,52.774,52.843,53.754,54.62,55.667,58.126,60.721,61.977,64.037,66.327,68.371,70.008,71.805,73.394,75.48,77.424,78.884,81.162,84.289,87.04,89.395,92.849,95.25,94.854,95.101,95.676,96.709,98.09,98.169,100,98.316,96.313,95.51,95.124,95.661
"56","49","        Value added","W139RA3",47.036,49.135,51.149,52.927,54.792,56.786,58.512,59.29,60.205,61.623,62.75,63.622,63.61,64.044,63.794,64.194,66.045,67.969,69.314,71.69,73.904,76.117,77.113,78.431,79.506,80.89,82.489,83.763,85.415,87.237,88.673,90.544,92.706,94.524,95.127,95.459,96.138,96.938,98.301,99.609,100,99.326,98.215,97.698,97.501,98.05
"57","50","          Compensation of general government employees","B251RA3",51.015,53.258,55.427,57.331,59.34,61.499,63.344,64.053,64.965,66.497,67.648,68.472,68.242,68.589,68.092,68.33,70.236,72.176,73.41,75.849,78.014,80.123,80.829,81.959,82.843,84.106,85.601,86.706,88.196,89.801,90.932,92.559,94.543,96.184,96.537,96.584,97.039,97.62,98.793,99.892,100,98.973,97.499,96.74,96.366,96.848
"58","51","          Consumption of general government fixed capital \2\","B986RA3",24.653,25.888,27.007,28.037,29.073,30.138,31.143,32.053,32.843,33.614,34.491,35.423,36.244,36.941,37.691,38.713,40.109,41.762,43.487,45.349,47.616,50.196,52.672,54.977,57.117,59.18,61.348,63.592,66.188,69.309,72.675,76.139,79.479,82.531,84.936,87.382,89.721,92.117,94.839,97.621,100,101.854,103.38,104.604,105.669,106.699
"59","52","        Intermediate goods and services purchased \3\","W140RA3",21.404,23.574,25.799,27.357,28.222,29.504,31.879,32.905,34.01,34.96,34.954,33.697,33.874,35.389,37.822,39.792,43.087,46.674,47.741,49.204,51.57,53.271,56.029,58.694,61.251,64.679,67.279,69.088,72.563,78.26,83.691,87.038,93.171,96.815,94.26,94.326,94.679,96.203,97.62,95.189,100,96.167,92.313,90.928,90.16,90.671
"60","53","          Durable goods","B989RA3",15.955,18.045,20.854,23.208,25.034,26.31,26.977,28.135,29.131,29.858,30.518,30.208,31.343,32.395,33.892,35.902,37.734,40.746,42.218,43.372,45.374,46.512,48.202,49.646,51.176,53.445,57.038,58.626,62.665,69.823,76.236,81.696,87.865,89.04,87.602,89.519,91.169,93.659,96.712,96.243,100,96.153,93.178,92.645,91.623,92.318
"61","54","          Nondurable goods","B337RA3",21.188,23.456,25.805,26.757,27.128,27.759,30.408,32.979,35.151,36.037,35.749,34.194,34.051,34.852,36.604,38.541,41.207,44.903,46.265,47.675,49.583,51.185,53.631,56.106,58.64,62.076,64.875,66.64,69.602,74.782,80.115,83.423,89.157,92.442,90.397,91.631,92.411,94.368,96.828,94.801,100,95.618,91.924,90.675,90.104,90.758
"62","55","          Services","A988RA3",22.121,24.222,26.27,28.072,29.103,30.812,33.202,33.092,33.449,34.463,34.565,33.416,33.705,35.79,38.794,40.762,44.622,48.188,49.033,50.558,53.218,55.036,58.09,60.997,63.68,67.231,69.613,71.467,75.152,80.965,86.357,89.528,95.875,99.927,97.011,96.299,96.311,97.505,98.177,95.357,100,96.493,92.479,90.948,90.064,90.47
"63","56","      Less: Own-account investment \4\","W144RA3",31.383,32.219,32.609,32.288,32.187,33.762,32.702,30.615,29.303,31.554,35.345,36.838,36.162,36.827,37.235,40.461,43.944,48.014,49.939,52.313,56.851,59.698,62.081,61.476,61.378,62.241,62.992,64.712,70.157,72.121,75.399,79.783,86.1,88.037,87.477,88.355,90.948,94.638,97.496,99.852,100,95.661,94.099,91.444,88.297,88.221
"64","57","      Less: Sales to other sectors","W145RA3",31.049,32.348,35.102,37.559,39.104,38.966,39.492,41.778,43.245,45.414,47.589,48.368,50.212,51.476,53.274,53.423,55.331,57.316,58.464,59.707,61.373,62.581,64.67,67.572,70.726,73.103,75.653,77.104,79.666,82.1,84.281,88.481,93.34,95.245,95.742,96.56,97.043,99.139,99.662,98.934,100,102.164,102.598,102.169,102.142,102.347
"65","58","        Tuition and related educational charges","B1065A3",41.919,48.82,54.979,58.373,62.956,62.751,62.839,64.869,67.517,71.189,73.21,75.65,77.285,77.152,79.466,79.348,79.283,79.939,80.453,82.941,85.453,87.359,88.76,90.437,89.324,89.413,89.736,90.002,92.051,94.594,97.416,100.782,101.352,101.426,101.384,98.206,98.228,99.232,99.065,98.86,100,102.281,101.492,99.654,98.464,97.277
"66","59","        Health and hospital charges","B1066A3",25.46,25.924,30.218,34.638,38.433,39.613,40.691,43.248,44.042,47.12,51.096,51.524,54.775,56.411,57.851,56.475,57.789,59.305,59.343,59.364,59.848,60.474,63.026,66.68,70.622,73.413,76.705,76.383,78.247,80.528,81.866,85.871,93.092,93.529,91.874,92.222,90.081,92.565,94.982,97.107,100,102.156,103.808,103.928,104.635,106.002
"67","60","        Other sales \5\","W146RA3",29.137,29.655,30.433,31.203,30.537,29.617,29.836,31.766,33.286,34.308,35.054,35.663,36.334,37.502,39.345,40.902,43.762,46.456,48.795,50.828,53.395,54.974,56.688,59.033,62.68,65.36,67.807,71.958,75.59,78.151,81.093,85.88,89.708,94.341,97.915,101.476,105.754,107.954,106.312,101.433,100,102.097,101.696,101.487,101.28,100.907
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
