"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144"
"30","22","A     Leather and allied product manufacturing","KP3160",916,950,948,933,907,926,919,896,893,870,871,933,926,922,903,876,858,858,825,831,830,762,833,922,807,797,796,788,811,788,829,822,824,823,818,894,792,741,800,824,815,806,830,807,751,794,779,884,819,767,778,725,742,697,661,664,650,685,672,736,757,758,744,803,827,863,880,880,905,879,909,866,781,735,674,639,600,579,591,575,545,570,579,566,563,552,564,575,578,611,600,612,599,593,593,490,642,596,579,609,660,601,566,588,563,532,570,554,551,574,588,561,556,567,572,554,561,589,523,550,576,598,599,579,576,571,574,572,596,574,542,547,535,521,524,550,523,495,502,503,528
"31","23","A     Paper manufacturing","KP3220",13299,13624,13566,13878,13608,13563,13512,13633,13671,13819,13993,13972,13917,13733,13848,13842,13991,13836,13832,13818,13683,13727,13521,14120,14119,14382,13647,13703,13647,13740,13702,14370,14153,13959,14369,14398,14302,14079,14201,14130,13612,13669,13730,13278,13668,13279,13517,13692,13289,13812,13524,13258,13005,12785,12789,12830,12540,12820,12644,12289,12712,12161,12439,12654,12886,12641,12999,13519,13136,13189,12826,13254,13125,13087,13027,12734,12542,12590,12408,12227,12225,12306,12225,12211,12682,12347,12559,12482,12313,12772,12603,12651,12448,12283,12433,12414,12741,12819,12844,12732,12705,12864,12480,12348,12127,12491,12608,12633,12976,12736,12761,12750,12871,12664,12457,12502,12276,12263,12182,12966,12159,12132,12086,12173,12162,12102,12254,12105,12192,12037,12088,11956,12136,11828,11937,11918,11706,11782,11954,11798,11625
"32","24","A     Printing and related support activities","KP3230",8414,8531,8279,8426,8537,8517,8465,8414,8649,8591,8488,8552,8536,8491,8556,8581,8546,8523,8639,8618,8647,8655,8803,8353,8707,8641,8698,8612,8553,8712,8674,8654,8648,8522,8763,8763,8626,8761,8610,8597,9088,9002,8806,8678,8655,8465,8497,8604,8580,8657,8565,8291,8540,8304,8254,8267,8011,8106,7999,7980,8077,7864,8077,8022,8073,8049,8037,8148,8140,8206,8090,8125,7996,8049,7949,8044,7872,7647,7551,7663,7674,7590,7754,7813,7698,7629,7782,7701,7738,8012,7938,7700,7857,7861,7863,7999,8044,8057,8041,7982,7928,7989,7868,7950,8100,8003,7825,7840,7939,7982,7925,8026,8185,8124,8049,7978,7912,7845,7994,8015,8076,8088,8118,8084,8077,8033,8082,8064,7950,8181,8172,7908,7809,7572,7782,7870,7635,7632,7671,7447,7395
"33","25","A     Petroleum and coal product manufacturing","KP3240",19022,19088,18564,19088,20035,19821,20162,20309,19954,19609,19581,18911,19305,19459,19825,19471,19936,19912,19038,19714,19955,19441,18785,19888,19263,20439,20206,18665,19482,20168,19955,19694,19417,20437,20925,19582,20309,19769,18908,19239,20027,19748,19493,19673,19279,19938,19459,18911,19656,19475,18830,18998,19334,18346,20071,20005,18477,20577,20738,22565,22595,22069,20766,18754,19731,19712,19692,19561,18709,18098,18498,19169,18531,16022,16107,17477,19504,18618,18444,18464,18451,18829,18648,18659,18015,17920,19785,19509,19539,19729,19404,19632,19548,19902,19587,20623,20554,19860,22148,21708,22613,22228,22219,21794,20429,19529,20919,20770,21709,20268,21892,21126,21738,20476,21860,20206,19614,21127,19828,19969,19352,18919,19924,19307,19680,19271,19277,18426,18851,20834,19266,19108,18546,17577,18583,20374,20209,19455,18904,18736,15529
"34","26","A     Chemical manufacturing","KP3250",35912,36613,36348,36806,36730,36703,36651,36775,36943,37126,37603,37054,37388,37382,36703,36364,36692,36824,36148,36304,36696,35846,36395,36689,36089,36821,36587,36712,36324,36922,36644,36815,36782,37036,37291,36661,37364,36873,36734,37602,37221,37488,37645,37525,37829,37211,37095,37780,36336,37913,36708,35835,36602,35317,36399,36739,35281,35870,35868,35496,35540,34927,34358,35200,35313,36290,34432,34444,35959,35594,35683,35833,35838,36327,36349,34830,35088,35849,37792,36795,37672,37945,36872,37424,37289,36942,38333,37889,38367,38685,38757,38521,38523,39502,39783,39194,39724,39330,39954,39889,39759,39828,40307,41278,40296,39928,41232,40412,41714,40531,41052,41555,41844,41578,41983,42217,40435,40037,40040,40081,39703,40107,40045,40587,40722,40316,40424,39917,39762,40172,39544,39886,39514,38782,38654,39136,39071,39535,38697,37004,35035
"35","27","A     Plastics and rubber product manufacturing","KP3260",12991,13168,13092,13442,13196,13338,13500,13442,13713,13833,13974,14077,13846,13998,13754,13816,13817,13707,13891,14032,14085,14222,14138,14304,14287,14985,14527,14307,14433,14484,14327,14574,14664,14737,15009,15072,15105,14820,15038,15248,15076,15201,14715,14702,14789,14566,14401,14225,13944,14619,14200,13870,14033,13900,14341,14216,14006,14064,13948,14071,14297,14324,14261,14983,14902,14665,15051,14863,14725,14999,15032,15151,15258,15123,15263,14693,14964,15003,15328,14922,15126,15184,14570,15056,14986,14360,15408,15435,15150,15397,15415,15448,15111,15049,15166,15397,15374,15272,15441,15171,15245,15124,15062,15264,15779,15631,15734,15582,15593,15639,15446,15271,15666,15817,15397,15607,15455,15043,15043,15341,15249,15139,15308,15435,15475,15293,15466,15190,15201,15429,15370,14894,14949,14860,14654,14677,14743,14943,14785,14250,14310
"36","28","A Merchant wholesale industries","KP42W0",184382,189081,187468,187104,188939,190426,191037,190233,193567,193260,193579,193712,197615,198507,200172,201631,201225,201574,203322,204523,205673,206592,207788,210037,208803,213111,214645,213993,218222,219494,220279,220325,221412,224260,225744,226094,227168,223533,225336,227919,227072,229784,229542,230309,230472,231267,229643,232711,231390,231507,229219,227859,228694,225276,228795,228810,228105,227203,228591,228720,229927,230852,228257,232072,233111,234778,233715,235569,234036,232158,236356,233633,234044,230513,231996,232199,233087,235696,238060,236773,237680,239115,239955,239684,238512,242234,248481,247046,246753,248197,247678,249850,249192,248484,251789,255406,256263,255565,251910,255947,256203,256414,256825,258995,260577,264825,263886,264828,266032,267588,267906,266253,267284,267503,269131,271502,272733,273971,271236,273846,272086,271520,273336,275661,276705,277941,277530,283345,283763,284635,281925,277935,280505,276630,276085,278362,279886,281250,277107,277201,274068
"37","29","A   Durable goods merchant wholesale industries","KP42WD0",89098,92340,90956,92045,92739,93676,94585,93692,96429,96072,96585,96223,98517,99149,100400,101224,100619,101498,102091,102474,102047,102939,103251,104233,105383,108310,108893,109211,111246,111784,113017,113148,114071,115607,116450,118152,118360,116846,117720,118193,118613,119026,118372,119289,119506,120008,119418,118415,118862,119350,118408,116880,117167,115026,115726,116469,114234,112751,113667,113334,114197,115493,113775,116106,116736,117062,116944,118210,117223,115988,116715,114853,116308,114331,116567,116259,116562,118078,119253,118496,120110,120971,121982,122392,121761,124444,129473,130308,130225,131027,131257,131376,129784,131283,133007,135668,134753,134527,134145,135787,135955,136965,137549,138652,139399,142660,142588,145304,145126,145258,145067,143867,145708,145436,146579,147524,147431,148410,148997,150763,149781,148196,149345,149933,149425,150083,150163,152445,152780,152915,154448,151223,153777,150879,153415,154969,153885,155632,153917,150591,150725
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KP42110",13732,13986,14012,13690,14190,14365,14097,13310,14210,14228,14040,13008,14108,14039,14617,14623,14599,14467,14656,14854,14891,14506,14798,14847,14860,16392,15844,15975,16224,16429,16687,16416,16737,17046,16797,17013,16815,16766,16619,16820,16425,16638,16419,16572,16520,16657,16690,16678,17000,17003,17219,17275,17642,17351,17407,17572,16700,17733,17630,17287,17684,18066,17886,18257,18238,18362,18664,19865,18928,18560,19158,19042,19077,18157,18666,18784,18836,19085,19168,18992,19211,19166,19956,20443,19086,20175,20536,21146,20641,20876,20575,20664,20916,20932,20354,20635,20422,21027,21107,20685,20843,21210,21608,22328,21667,22376,22348,22968,23348,23742,23075,22968,23645,23445,23865,23711,23302,24566,24475,25895,24475,24638,24694,25118,23345,23154,23247,23799,24896,24272,24167,23522,23937,23250,24223,23514,23356,22393,21619,21172,21238
"39","31","D     Furniture and home furnishings wholesalers","KP42120",3264,3458,3239,3305,3208,3211,3255,3207,3499,3440,3364,3433,3496,3356,3435,3404,3381,3456,3412,3453,3422,3334,3486,3437,3438,3527,3482,3509,3580,3553,3740,3663,3631,3732,3664,3756,3796,3865,3831,3914,3955,3928,3909,3917,3977,3915,3871,3846,3879,3861,3864,3779,3682,3699,3648,3708,3625,3680,3646,3589,3671,3607,3671,3683,3669,3837,3673,3617,3610,3598,3684,3499,3637,3703,3667,3642,3682,3696,3791,3727,3764,3732,3740,3776,3782,3789,3867,3871,3926,3844,3872,3994,3993,3847,3827,3880,3837,3842,3810,3894,3851,3964,3911,3952,3926,4041,3930,4015,4021,4048,4026,4019,4026,4031,4076,4082,4167,4176,4272,4273,4260,4235,4277,4218,4421,4236,4238,4095,4145,4269,4130,4057,4239,4032,3917,4107,3906,3880,3907,3880,3904
"40","32","D     Lumber and other construction materials wholesalers","KP42130",4912,5128,5032,5105,4915,5063,5051,5079,5122,5090,5033,5180,5219,5183,5134,5211,5273,5371,5511,5545,5564,5696,5767,5771,5576,5685,5708,5763,5874,5904,5854,5797,5983,6099,6260,6094,6114,5926,5949,5826,5872,5901,5785,5831,5897,5960,5959,6017,5968,6049,5992,6116,6168,5924,6077,6118,6028,6171,6293,6488,6544,6785,6500,6573,6356,6346,6146,6269,6344,6428,6362,6353,6678,6432,6657,6582,6619,6891,7164,7220,7434,7608,7626,7239,7395,7318,7942,7977,7978,7841,7868,8049,7728,7700,7907,8212,8377,8202,8013,8056,8103,8114,8282,8420,8556,8840,9052,9141,9689,8906,8813,8633,8504,8574,8517,8524,8183,8151,8101,8248,7935,7527,7896,7879,7857,7932,7596,7464,7379,7355,7361,6926,6852,6758,6826,7144,7072,7108,7006,6565,6574
"41","33","D     Professional and commercial equipment wholesalers","KP42140",11911,12607,12417,12750,13145,13458,13430,13594,14183,14347,14898,15057,15464,15951,16133,16679,16429,17031,17285,17832,17763,18281,17934,18669,19102,19648,20172,20379,20897,21278,21714,21896,21948,22511,22775,22922,22346,22285,22689,22569,22269,22111,22031,22820,22788,22952,22666,21692,22847,23224,23207,23301,23628,23309,23445,23098,22854,22159,22909,23243,23483,23771,23760,23806,24593,25135,24857,25623,26109,25807,26321,25604,25922,26098,26480,26598,26264,26198,26474,26365,26450,26750,27314,27672,28415,28666,28815,28664,28924,29821,30616,29510,28914,29865,30461,30857,30516,30592,30705,31102,31882,31844,32157,32800,33745,33402,33379,34363,33992,34114,35588,34776,34846,34896,35191,35747,36435,37117,36976,37204,37877,37935,38153,38537,38925,39644,39792,40362,40041,41011,41696,41140,41260,41193,42136,42634,42323,43194,43387,43204,43470
"42","34","D       Computers and software wholesalers","KP42430",5060,5346,5288,5611,5871,6074,6110,6354,6698,6708,7130,7172,7411,7761,8034,8530,8464,8975,8926,9048,8942,9222,9165,9444,10123,10649,11008,11147,11525,11496,12218,12361,12253,12923,12799,13022,12711,12617,13074,12892,12666,12232,12100,12751,12502,12703,12636,11594,12666,12628,12632,12245,12653,12515,12375,12208,12561,11990,12311,12500,12468,12643,12547,12401,13278,13915,14001,14686,14756,14520,14142,14212,14097,14444,14602,15095,14348,14398,14735,14395,14502,15244,15437,15917,16690,16747,17116,17321,17101,17870,18695,17373,16758,17415,18634,19036,19395,19477,19311,19801,20823,20100,20583,21266,21992,21192,20985,21250,21489,21972,22343,22548,22174,22643,23065,23598,24414,25016,25279,25435,25620,25772,26856,26264,27810,29743,28981,29199,29101,30274,31834,30910,29957,30444,31641,31382,31719,32987,32503,32880,34266
"43","35","D       Other professional and commercial equipment wholesalers","KP424X0",7735,8227,8071,7919,8004,8081,7980,7761,7980,8206,8234,8388,8537,8613,8414,8346,8126,8124,8521,9022,9082,9312,8975,9463,9089,9049,9195,9259,9382,9827,9470,9504,9676,9534,9946,9867,9617,9662,9605,9674,9603,9886,9937,10078,10290,10261,10044,10082,10192,10575,10552,10965,10918,10739,10972,10795,10303,10136,10543,10688,10911,11027,11084,11224,11264,11270,10983,11151,11503,11412,12077,11454,11785,11709,11914,11707,11901,11819,11832,11949,11952,11750,12072,12071,12193,12352,12259,12032,12350,12605,12754,12642,12529,12882,12677,12761,12338,12355,12522,12564,12624,12944,12934,13064,13388,13519,13596,14152,13782,13649,14486,13850,14053,13889,13910,14059,14184,14391,14194,14280,14645,14623,14346,14813,14483,14227,14606,14889,14724,14916,14796,14770,15170,14964,15139,15529,15229,15341,15613,15382,15099
"44","36","D     Metal and mineral (except petroleum) wholesalers","KP42150",7621,7843,7565,7869,7795,8006,7913,7903,8109,8025,7992,8065,7895,7854,8095,7877,7830,7927,7916,8054,8055,8046,7999,8032,8419,8338,8341,8192,8175,8035,8158,7930,7961,8242,8402,8560,8940,8572,8639,8530,8503,8520,8489,8458,8436,8422,8540,8604,8261,8379,8135,8329,8414,8323,8226,8399,8194,7971,7868,7453,7458,7365,7262,7695,7639,7826,7738,7540,7422,7539,7039,6804,6911,6731,6942,6860,7077,7074,7292,7118,7262,7148,7220,7305,7372,7603,8424,8313,7949,8218,8116,8264,8124,7955,7996,8213,8143,8144,8037,8216,8258,8401,8315,8444,8412,8870,8691,9123,8529,8656,8651,8504,8445,8539,8449,8389,8595,8479,8772,8544,8661,8541,8359,8263,8136,8025,8086,8127,7887,8075,7929,7908,8053,7591,7682,7300,7228,7049,7063,7073,7325
"45","37","D     Electrical goods wholesalers","KP42160",13782,14019,14136,14200,14428,14532,14821,14925,14793,14531,14605,14813,14677,14892,15073,15158,15286,15063,15239,15135,15145,15524,15366,15293,15465,15950,16143,16312,16602,16852,17131,17391,17673,18016,18489,19189,19566,19154,19312,19604,19881,20480,20323,20625,20571,20298,20281,20382,20197,19483,19293,18528,18046,17152,17454,17443,17344,17510,17778,17311,17476,17516,17242,17696,17888,17392,17528,17397,17318,17208,17460,17333,17261,17376,17668,17451,17180,17831,18043,17718,18318,18876,18831,18622,18842,19425,19651,20347,21219,20778,20628,20864,20509,20428,20758,21057,21287,20458,21210,21903,21610,21679,21676,21853,21766,22387,22068,22212,22471,22811,22848,22689,23704,23489,24060,24757,24797,24656,25239,25632,25526,25369,25262,25057,25201,25583,25761,25984,26648,26629,28003,26931,26963,26455,27377,28200,28473,28929,28930,27978,28161
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4776,4805,4821,4977,4843,4838,4979,4874,4962,5020,4980,5009,5150,5119,4980,5043,5108,5201,5223,5149,5117,5108,5245,5303,5285,5295,5377,5316,5394,5362,5398,5405,5378,5333,5401,5434,5510,5503,5600,5570,5715,5676,5585,5573,5634,5661,5580,5600,5477,5516,5396,5085,5387,5157,5223,5323,5289,5400,5437,5450,5469,5669,5445,5520,5371,5328,5339,5429,5319,5263,5249,5193,5387,5243,5390,5367,5413,5398,5456,5427,5518,5451,5468,5428,5483,5387,5771,5723,5637,5705,5636,5619,5655,5667,5704,5765,5824,5777,5748,5678,5699,5753,5737,5770,5808,6142,6212,6243,6013,6208,6231,6267,6494,6211,6206,6224,6087,6095,5962,6254,5990,6092,5944,6220,6031,6127,6115,6137,6140,6186,6093,6053,5985,5750,5904,5840,5886,5821,5807,5400,5397
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18074,19093,18491,18703,18880,19091,19504,19143,19453,19764,19574,19695,20678,20755,20510,20868,20867,20723,20401,20366,20467,20052,20362,20364,20182,20187,20605,20397,20657,20703,20810,20840,20633,20706,20629,20882,21120,20696,20740,20968,20834,21403,21307,21206,21223,21250,21177,20729,20648,21328,21026,20372,20221,19883,19902,20297,20166,18567,18929,18831,18285,18269,18281,18791,18992,18819,18541,18081,18459,18103,17828,17778,18120,17543,17918,17950,18288,18434,18554,18775,18651,18341,18168,18501,18256,18868,20139,19669,19507,19572,19967,20064,19511,20391,20448,21427,20677,20598,20107,21172,21087,21215,21291,20881,21146,21656,21681,22011,21950,22179,22018,22309,22122,22250,22131,22577,22346,21955,22231,22113,22589,21824,22590,22348,22646,22804,22898,23257,23810,23601,23638,23688,23914,24037,24118,24443,24472,25253,24147,24431,23912
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12565,12887,12690,12817,12573,12275,12788,12738,13153,12616,12889,12646,12571,12606,13019,12853,12371,12670,12822,12339,11858,12570,12546,12685,13210,13418,13289,13413,13881,13659,13501,13772,14097,13877,13983,14262,14139,14067,14324,14387,15154,14373,14526,14291,14468,14909,14667,14872,14602,14525,14296,14156,14047,14327,14441,14557,14086,13559,13204,13762,14246,14570,13867,14179,14181,14277,14706,14743,14140,13902,14134,13715,13772,13623,13740,13620,13698,13915,13752,13581,13900,14348,14211,14028,13898,13976,14686,14968,15010,15038,14843,14890,14950,15206,16207,16204,16242,16438,16188,15857,15600,15673,15568,15385,15709,15911,16168,16217,16244,15875,15587,15336,15674,15684,15943,15660,15768,15870,15509,15462,15387,15210,15381,15637,16117,16149,16071,16837,15897,15794,16114,15541,16635,16248,16178,16931,16492,17319,17423,16464,16326
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",95988,97339,97195,95573,96756,97287,96903,97069,97521,97598,97357,97912,99479,99711,100065,100685,100937,100305,101497,102344,104069,104031,104951,106237,103618,104904,105880,104843,107051,107799,107280,107189,107333,108638,109280,107861,108769,106651,107593,109719,108451,110761,111178,111034,110988,111300,110276,114271,112533,112176,110838,110976,111519,110227,113009,112305,113774,114341,114821,115285,115632,115271,114385,115879,116289,117612,116678,117279,116719,116063,119437,118536,117570,115989,115398,115858,116424,117529,118717,118176,117573,118160,118047,117424,116871,118004,119434,117350,117150,117799,117102,119041,119833,117842,119425,120478,122079,121621,118555,120890,120985,120329,120226,121289,122110,123300,122510,121163,122385,123682,124123,123600,123046,123460,124006,125375,126561,126894,123949,124884,124098,124858,125572,127172,128486,129067,128649,132004,132111,132763,129315,128209,128605,127360,125183,126017,128017,127980,125708,127995,125318
"50","42","D     Paper and paper products wholesalers","KP42210",6195,6473,6315,6485,6068,6083,6131,6232,6248,6229,6243,6079,6107,6150,6309,6344,6286,6365,6357,6410,6553,6604,6670,6831,6812,6917,6631,6833,6903,6984,6951,6932,6938,7003,6991,6733,6960,6863,6932,6634,6614,6523,6615,6617,6588,6571,6582,6601,6540,6541,6468,6505,6492,6423,6395,6475,6199,6296,6451,6444,6403,6453,6405,6466,6518,6564,6600,6520,6491,6477,6547,6511,6584,6509,6580,6498,6411,6468,6538,6366,6617,6791,6603,6749,6648,6894,7015,7062,7040,7020,6942,6879,6967,7028,7085,7039,7053,7036,6810,6936,6954,6951,7116,7416,7597,7382,7352,7440,7361,7256,7320,7277,7293,7142,7066,7012,6843,6904,6891,6825,6859,6921,6927,6960,6953,6995,6996,7006,6953,6921,6918,6876,6806,6747,6732,7098,6929,6811,7063,6844,6522
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9299,9431,9697,9711,9864,9978,10147,10222,10226,10189,10295,10367,10921,11047,10799,10417,10459,10394,10674,10732,10879,11095,11140,11476,11669,11786,11939,12336,12446,12415,12514,12630,12527,12533,12935,13294,12849,12996,13517,13603,13903,14148,14307,14396,14365,14704,14840,15087,15686,15503,15361,15473,15871,16224,16456,16787,17545,18116,17795,18113,18353,18668,18891,18971,18871,19211,18658,18809,19158,18922,19818,19469,19540,19806,19998,20276,20609,20660,21143,21345,20806,21225,20897,21140,20691,20685,21340,21243,21333,21180,21856,21761,22143,22302,22578,21995,23808,22902,22228,23155,22847,23244,22797,22555,23952,23438,23778,23668,23578,24202,23955,24016,24263,24253,24000,24187,23846,23767,23381,23660,23585,23427,23935,23949,23995,23821,24162,24374,23557,24380,24397,24383,24551,24680,23865,23767,23973,24041,24550,24540,24359
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6913,6949,6818,7068,6929,6842,7206,7102,7074,6920,7025,7151,7290,7247,7216,7014,6880,6809,6903,6914,6555,7060,6790,6812,6963,6837,7365,7158,7220,7164,7107,7119,7203,7148,7208,7295,7173,7294,7389,7450,7467,7585,7384,7280,7398,7412,7304,7734,7504,7536,7124,7423,7824,7405,7382,7453,7519,7685,7821,7677,7590,7890,8055,8137,8209,8163,8339,8474,8132,7989,8398,7777,8117,7787,7835,7697,7802,7769,7917,7956,8147,8025,8219,8244,8076,8410,8456,8198,8291,8171,8029,8265,8338,8114,8119,8618,8278,8329,8426,8707,8781,8616,8756,8328,8308,8831,8605,9090,9150,8729,8846,9053,8924,9341,9381,9361,9478,9769,9556,9420,9260,9720,9410,9346,9465,9743,9701,9931,9800,9451,9946,9636,9859,9523,9599,9985,10446,9555,10229,10114,10086
"53","45","D     Grocery and related products wholesalers","KP42240",27761,27900,28153,27884,27861,28211,28036,27781,27481,27160,27839,27767,28231,28846,28541,28721,28843,29206,29256,29166,29359,29308,29349,29382,28847,29363,29607,29642,30025,29682,29800,30386,30644,30900,31444,31254,31321,31439,31245,31634,31343,31960,31906,32160,31773,31753,32014,33359,31799,31512,31441,31757,31189,31272,31678,31223,31070,31129,31744,31594,31779,31836,31120,31842,32116,32419,32606,33014,33070,33078,33292,33156,32884,33434,33281,33224,33297,33444,33886,33262,32905,32416,32227,31412,32201,32164,32693,31772,31025,31403,31762,32240,31912,31409,31581,32116,31829,31912,31240,31860,32196,32405,32861,33004,32731,32832,33097,32440,32789,33122,32990,32851,32942,33107,33182,33752,33375,33556,33805,34266,34732,34823,35085,35006,35339,35464,35247,35511,35743,35592,35885,35799,36147,35762,35037,35590,35528,34710,34790,34923,34525
"54","46","D     Farm product raw material wholesalers","KP42250",7998,8138,7156,7372,7456,7621,7391,7698,8108,9077,7991,7944,8135,7449,7244,7584,7617,7360,7743,8343,8745,8366,8346,8749,7993,8322,8214,8136,8739,8900,9396,8452,9172,9308,8830,8716,8527,8120,8316,8783,8459,9188,9777,9872,9396,9151,8701,9058,8667,9469,9400,9225,9085,8438,8805,8788,8680,8764,8585,8350,8740,8589,8566,9118,8740,9068,8781,8130,7859,8261,9013,9438,9003,8392,8289,8169,8044,8782,8709,8852,8455,9095,9014,8862,8489,8454,8240,8396,7958,8023,8267,9179,9105,9701,9608,9594,9337,9446,8601,9330,9175,9265,9456,9261,10041,10168,10156,9451,9372,9543,10112,9890,9902,10038,10196,10248,10213,9265,8239,8490,8857,8439,8763,9483,9976,9660,10433,11428,11434,10139,10559,9798,10131,9514,9824,9408,9901,9754,10073,10672,10012
"55","47","D     Chemical and allied products wholesalers","KP42260",4585,4683,4778,4836,4784,4946,5004,4883,4968,4867,4824,4837,4919,4910,4741,4771,4815,4753,4734,4821,4811,4913,4891,4824,4839,4589,4834,4755,4840,5055,4907,4929,4856,4881,4981,4973,4975,4756,4998,5069,4990,5091,5012,5098,5131,5161,5072,5219,5005,5075,5078,4958,4993,4984,5171,5084,5013,5066,5131,5132,5249,5338,5045,5304,5451,5289,5218,5305,5370,5218,5147,5031,5132,4907,4966,5049,5052,5009,5098,4950,5050,5087,5077,5079,4996,5002,5081,5032,4984,5074,5071,5085,4965,4968,5119,5095,5255,5260,5046,5326,5338,5437,5335,5399,5235,5046,5164,5109,4883,4989,4995,4951,4955,5016,5036,5018,5041,5040,5085,5226,5283,5106,5219,5194,5125,5011,5038,5147,5239,5379,5100,5091,4978,4980,4870,4881,4914,5050,5085,4838,4675
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",15890,15690,16461,14842,15915,16277,15994,16163,15779,15323,16009,16056,16153,16629,17715,17593,17403,18222,18090,18453,18897,18687,19265,20190,19086,19563,19872,17327,18027,18265,17482,17107,16772,16842,16493,15217,15860,15037,14289,15596,15127,15284,15926,15592,15875,16031,15401,16415,16827,16085,16126,15780,16169,15554,16519,15933,17077,17125,17632,18339,17959,16449,16521,16571,16784,17310,16445,16955,16933,16524,17305,17046,16360,15127,14959,15366,16451,16113,15550,15277,15925,15341,15780,15478,15547,16186,16113,15037,15840,15994,14402,14373,15178,13702,14377,14509,14963,15002,14767,14585,14671,14070,13918,14734,14261,14739,14300,14169,14413,14916,15396,14616,14395,14203,14520,14825,15928,16830,15511,15611,14840,15746,15063,15773,15644,15716,15505,16563,16750,17646,15246,15597,15764,15993,15281,15540,15928,16583,15018,16059,15675
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4850,4913,5006,4761,5040,4958,5088,5073,5178,5143,5113,5400,5117,5149,5247,5318,5319,5139,5360,5304,5649,5527,5420,5521,5602,5573,5574,5657,5723,5731,5678,5784,5935,5998,5986,5886,5985,5824,5958,5964,5851,5989,5864,5972,6007,6069,6081,5972,6211,6137,5731,6005,5968,6003,6063,5935,5904,5882,6085,6330,6146,6361,6464,6414,6367,6414,6385,6445,6335,6232,6277,6599,6281,6448,6431,6355,6327,6365,6627,6697,6379,6607,6544,6559,6475,6295,6264,6416,6692,6549,6593,6381,6711,6647,6646,6816,6752,6721,6794,6788,6799,6810,6632,6814,6649,6731,6705,6578,6875,6951,6833,6955,6903,7056,6994,7260,7306,7280,7491,7341,7360,7316,7652,7491,7674,7736,7713,7634,7777,7824,7711,7826,7656,7555,7793,7816,7828,7838,7791,7732,7974
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",12680,13346,13566,12931,13379,12921,12455,12418,12727,12498,12351,12646,12861,12870,13322,13840,14129,13244,13349,13187,13700,13439,14306,14001,13033,13291,13213,13365,13605,14157,13764,14033,13386,14110,14388,14302,15060,14251,14912,14962,14682,14984,14416,14104,14483,14468,14336,14850,14296,14304,14097,13841,13940,13899,14557,14587,14831,14362,13788,13707,13768,13620,13341,13097,13297,13307,13637,13745,13536,13432,13653,13416,13607,13701,13201,13262,12555,12878,13193,13383,13286,13451,13561,13816,13707,13859,14283,14278,14084,14416,14413,15068,14577,14459,14584,15009,15052,15230,14849,14628,14628,14186,14174,14105,14205,14751,14240,14128,14773,14454,13896,14771,14402,14530,14590,14553,14551,14122,14351,14345,14012,13757,14350,14223,14751,15499,14493,14276,14473,14669,14821,14118,13603,13335,13195,13278,13459,13274,12863,12510,12233
"59","51","A Retail trade industries","KP440",215011,216880,217363,216848,214952,218291,221423,222324,222324,222556,224552,224643,225783,226714,229000,231954,233591,234939,233573,232863,236234,239592,241679,243976,245342,248562,249958,248666,252334,252334,253767,255594,256354,256617,259778,264434,263437,265845,267353,263599,264248,263886,265186,266133,268810,267677,266731,267401,269392,269644,268233,271968,272356,271224,271386,273603,268432,289478,281720,280550,280728,282557,281161,284216,280167,284445,286723,288494,283514,285617,287186,289656,290913,284979,289626,290775,293537,296225,300761,304610,302029,301747,307192,305706,306873,307256,312251,308492,312256,306620,312232,312504,317834,317002,318267,322495,320437,321995,321511,325326,324300,331637,334538,327474,323133,325605,331108,332052,341254,339504,340905,341634,339802,339592,341317,340988,341046,344845,346177,348796,349705,352069,353334,352220,357178,353129,353786,355525,357591,356841,359082,354600,355421,354491,355626,355979,357500,354589,349769,347868,343138
