"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Wage and salary accruals","A4102C1",3381,3415.7,3458.7,3498.5,3533.3,3598.2,3654.3,3710.6,3778.3,3836.7,3904.9,3992.2,4079.6,4149.7,4220.8,4291.9,4380.6,4423.1,4484.8,4593.2,4759.7,4786.7,4878.8,4904.3,4993.2,4966.6,4937.6,4932.2,4969,5008.8,5011.7,5022,5066.8,5129.1,5190.2,5255.1,5281.8,5369.9,5474.9,5540.8,5590.5,5658,5764.9,5836.2,5965.4,6025.1,6082,6234.5,6325.4,6379.3,6419.7,6514.6,6540.3,6546.5,6574.9,6531,6366.1,6265.3
"12","4","    Disbursements","W269RC1",3364.6,3399.4,3442.3,3482.2,3529.7,3594.6,3650.6,3707,3781.3,3839.6,3907.9,3995.2,4080.3,4150.4,4221.5,4292.6,4375.4,4417.9,4479.6,4588,4759.7,4786.7,4878.8,4904.3,4993.2,4966.6,4937.6,4932.2,4969,5008.8,5011.7,5022,5055.4,5115.4,5165.2,5245.1,5285.4,5391.3,5499.9,5550.8,5590.5,5658,5764.9,5816.2,5985.4,6025.1,6082,6209.5,6350.4,6379.3,6419.7,6514.6,6540.3,6546.5,6574.9,6551,6346.1,6265.3
"13","5","      To persons","W270RC1",3358.4,3393.1,3436.1,3475.8,3523.6,3588.3,3644.3,3700.3,3774.8,3833,3901.1,3988.2,4073.5,4143.5,4214.4,4285.2,4367.6,4410,4471.6,4579.9,4752.2,4779.2,4871.5,4896.6,4985.1,4958.6,4929.5,4924,4960.7,5000.2,5003.5,5013.6,5046.8,5107.2,5156.7,5236.4,5276.6,5382.4,5491,5541.4,5581.4,5648.8,5755.4,5806.8,5976,6015.7,6072.6,6199.8,6340.6,6369.2,6409.6,6504.2,6529.9,6536.2,6564.6,6540.5,6335.8,NA
"14","6","      To the rest of the world","B4189C1",6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,7.8,7.9,8,8.1,7.5,7.5,7.4,7.7,8,8,8.1,8.2,8.4,8.5,8.2,8.4,8.6,8.3,8.5,8.7,8.7,8.9,8.9,9.4,9.1,9.2,9.5,9.4,9.4,9.4,9.4,9.8,9.7,10.1,10.1,10.4,10.4,10.3,10.3,10.5,10.3,NA
"15","7","    Wage accruals less disbursements","A062RC1",16.4,16.4,16.4,16.4,3.6,3.6,3.6,3.6,-2.9,-2.9,-2.9,-2.9,-0.7,-0.7,-0.7,-0.7,5.2,5.2,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,11.4,13.6,25,10,-3.5,-21.5,-25,-10,0,0,0,20,-20,0,0,25,-25,0,0,0,0,0,0,-20,20,0
"16","8","  Supplements to wages and salaries","A038RC1",758.5,759.7,761.8,763.1,766.1,770.1,773.2,776.1,780.5,785.6,794.8,807.1,823.2,836.8,849.2,860.1,870.9,880,892.5,911.6,937,949.5,971.5,986.6,1005.8,1018.5,1033.3,1050.8,1074.9,1098.4,1122.6,1158.3,1194.9,1222.9,1241,1253.2,1263.9,1272.8,1287.4,1306.8,1336.9,1351.9,1370.1,1377.4,1394.8,1401.3,1408.7,1422.6,1438.6,1447.5,1457.1,1472.1,1484.5,1493.5,1501.4,1506.8,1500.2,1498.4
"17","9","Taxes on production and imports","W056RC1",554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745.2,756.9,772.1,777,787.9,799.5,813,826.9,843.5,855.7,867.9,886.5,905.6,925.1,939.6,950.3,971.5,983.3,991.6,1000.7,1015.3,1025.2,1032.2,1042.3,1042.5,1050.8,1058.5,1037.3,1018.8,1026.5
"18","10","Less: Subsidies \1\","A107RC1",34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,44.9,57.1,47,47.3,44.8,43.6,44.9,52.2,56.9,61,62.1,63.7,55.6,51.4,49.8,48.7,49.2,58.3,56,55.4,53.1,52.9,52.9,55.2,55.5,55.1
"19","11","Net operating surplus","W271RC1",1719.6,1739.7,1797.6,1824.4,1884,1946.3,1971.9,2033.8,2082.6,2103.7,2170.6,2182,2166,2205.7,2263.2,2274.5,2314.9,2331,2344.8,2379.8,2428.6,2463.6,2459.4,2428,2475.4,2513.1,2505.2,2425.5,2507.2,2523.5,2505.6,2550.1,2557.7,2597.5,2636.6,2710,2826.2,2904.1,2959.7,3015.2,3136.6,3186.3,3240.6,3380.3,3481.4,3532,3598.6,3546.9,3459.9,3551.3,3490.9,3477.6,3476.3,3497.6,3538.3,3307,3314.2,NA
"20","12","  Private enterprises","W260RC1",1706.4,1726.7,1784.6,1811.1,1870.1,1932.3,1957.3,2018.9,2068.6,2089,2156.6,2168.2,2153.1,2192.2,2249.4,2261.5,2299.8,2316.3,2330.6,2367.5,2416.1,2452.6,2451.7,2422.6,2471.1,2510.1,2497.3,2424.5,2502.9,2519.2,2496.5,2542.5,2548.3,2589.6,2630.2,2705.8,2822.5,2902.2,2959.4,3016,3138.4,3189.4,3245.1,3384.9,3483.9,3535.9,3603.2,3552.9,3468.3,3558.2,3495.8,3483.6,3481.9,3503.9,3545.2,3315.9,3324.9,NA
"21","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",424.2,416.2,414.3,415.3,412.4,430.2,443.3,463.1,473.3,479.4,490.3,506,537.4,559.7,573,570.8,555.1,560.5,571.8,592.1,627.6,643.2,652.7,646.4,655.7,663.9,658.7,649.5,631.3,613.1,598,595.9,603.4,599.3,592.9,586.4,564.4,565.7,566.5,580.6,630.4,658.7,697.3,729.4,768.8,827.7,844.1,879.6,902,939.2,980.9,1034.3,1024.7,1039.9,1035.2,1072.5,1036.3,NA
"22","14","    Business current transfer payments (net)","B029RC1",44.7,45.7,46.8,46.2,48.1,49.2,49.9,67.8,48.4,48.6,54.5,53.7,60.3,61.4,63.8,75.3,66.3,67.2,69.1,73.2,80.8,84.6,88.9,93.5,99.9,102.8,102.6,99.8,90.3,84.2,79.4,75.6,77.3,75.8,75.8,75.7,77.8,80,79,89.9,96.5,99.6,95.2,92.3,82.8,79.3,83.6,86.1,97.8,99,105,107,114.8,112.6,116,131.8,137.9,145.2
"23","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",500.4,506.3,520,537.4,560.2,586.5,588.6,599.4,619.6,619.4,632.8,641.1,663.6,677,692.9,716.6,729.6,738.9,750.6,768.1,783.7,819.4,826.7,840.1,867.4,871.6,878.1,865.8,880.5,884.2,893.3,903.2,889.6,919.1,945.8,968.1,1002.1,1029.8,1040.1,1063.1,1046.8,1054,1082.6,1095.8,1126.9,1133.2,1131.2,1140.6,1094.2,1096,1093.2,1102.1,1115.2,1111.9,1114.4,1083.6,1037.8,1023.4
"24","16","    Rental income of persons with capital consumption adjustment","A048RC1",151,153,152.8,161.5,166.7,168.4,172.1,174.5,174.9,175.9,176.4,178.9,182.7,188.6,195.7,198.8,203,206.9,209.2,213.5,214.6,212.1,213.3,221.1,225.3,230.6,239.5,234.1,229.2,231.7,212.7,201.4,209.7,204.2,186.2,216.6,204.2,197.1,196.8,195.4,190.7,181.5,168.4,172.3,161.3,153.2,140.3,131.2,121.1,140.3,150.2,168,179.9,202.8,222.2,236.7,245.9,255.2
"25","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",586.1,605.5,650.7,650.7,682.6,698,703.4,714.2,752.3,765.8,802.5,788.5,709.1,705.5,724,700,745.8,742.8,729.8,720.6,709.4,693.2,670.2,621.6,622.7,641.3,618.4,575.5,671.6,706,713.2,766.4,768.3,791.1,829.6,859.1,974,1029.6,1077,1087,1174,1195.7,1201.7,1295.2,1344,1342.4,1404.1,1315.4,1253.2,1283.7,1166.6,1072.3,1047.4,1036.7,1057.4,791.3,867,NA
"26","18","      Taxes on corporate income","A054RC1",217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.1,496.6,460.7,469.5,466.5,440,430.1,323.2,317.5,304.8,223.3,270.3,NA
"27","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",368.5,390.7,429,433.4,461,464.6,469.7,477,514.1,522.8,547.4,543.1,460.6,460,471.8,452.8,489.6,488.7,470.7,454.9,435.1,420.1,415.5,363.3,398.2,424.6,423.4,398.4,492.3,520.1,519.5,556,536.8,564.1,582.3,589.8,696.4,731.4,756.6,758.9,768.9,800.1,798.7,849.4,883.3,867.4,907.5,854.7,783.7,817.2,726.6,642.2,724.2,719.2,752.6,568,596.6,NA
"28","20","        Net dividends","A449RC1",209.6,211.2,229.9,235.8,243.6,249.6,263.4,272.7,273.4,275.7,285,301.9,304.8,313.2,307.3,311.5,297.3,298,279.1,308.4,334.9,355.4,366.6,336.9,326.3,309.9,341.6,342.4,346,356.6,338.3,363.8,333.5,423.6,394.5,419.4,451.3,447.4,456.2,597.3,434.5,373.6,232.7,144.9,542.3,565.7,648.6,750.9,665.2,664.4,636.6,600.3,548.5,529.9,514.7,580,515.3,NA
"29","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",158.9,179.4,199.2,197.6,217.3,215,206.3,204.3,240.7,247.2,262.4,241.1,155.8,146.9,164.5,141.3,192.3,190.8,191.6,146.5,100.2,64.7,48.9,26.4,71.9,114.7,81.8,56,146.3,163.5,181.1,192.2,203.3,140.6,187.8,170.3,245.2,284,300.4,161.6,334.4,426.4,565.9,704.5,341,301.6,258.8,103.8,118.5,152.8,90,41.9,175.7,189.4,237.9,-11.9,81.3,NA
"30","22","  Current surplus of government enterprises \1\","A108RC1",13.2,13,13.1,13.2,13.9,14,14.6,14.9,13.9,14.7,14,13.8,12.9,13.5,13.7,13,15.1,14.7,14.2,12.4,12.5,11,7.7,5.3,4.4,3,7.9,0.9,4.3,4.4,9.1,7.6,9.4,7.9,6.3,4.3,3.7,1.9,0.3,-0.9,-1.8,-3.1,-4.5,-4.5,-2.4,-3.8,-4.7,-6,-8.4,-6.9,-4.9,-6,-5.6,-6.3,-6.9,-8.9,-10.7,-8.9
"31","23","Consumption of fixed capital","A262RC1",851.4,864.1,875.7,886.7,896.2,906.3,917.7,929.9,943.5,957.1,970.3,984.3,997.3,1011.9,1027.9,1045,1063.2,1083.2,1104.2,1127.1,1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1726.7,1749.4,1771.2,1792.8,1813.6,1835.6,1858.2,1881,1883.6,1874.1
"32","24","  Private","A024RC1",688.6,699.9,710.3,719.8,728.3,737.8,748.1,759.3,771.4,783.5,795.8,808.1,820.6,834,848.3,863.5,879.6,897.1,916,936.2,957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1443.1,1461.4,1478.7,1495.1,1510.6,1527,1544.4,1562.6,1561.3,1550.2
"33","25","  Government","A264RC1",162.8,164.2,165.4,166.9,167.9,168.5,169.6,170.6,172.2,173.6,174.5,176.1,176.7,178,179.7,181.5,183.5,186,188.2,190.9,193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,283.7,288,292.5,297.6,303,308.5,313.8,318.4,322.3,323.8
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Statistical discrepancy","A030RC1",76.3,57.6,34.7,41.5,23.3,36.7,29.2,14.5,-9.2,17.1,-13.7,-50.1,-60.8,-106,-120.1,-54.4,-96,-86.7,-53.8,-47.8,-220.9,-86.9,-153.6,-74.6,-211.6,-109,-89.6,-3.2,-43.2,-45.3,20.6,-20.4,-7.2,-29.6,61.4,41.7,29.9,0,-38.7,-22.6,-29,-67.7,-67.5,-154.5,-192.2,-190.7,-253.4,-246,-121.1,-97.1,64.9,94,69.8,126.7,68.3,139.4,152.1,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
